USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Limestone CU02-11A           W1R1Fa AREF
copy of splib05a r 8575                                     
       0.350000       0.115544       0.000000
       0.351000       0.115544       0.000000
       0.352000       0.115585       0.000000
       0.353000       0.115984       0.000000
       0.354000       0.116365       0.000000
       0.355000       0.116708       0.000000
       0.356000       0.117009       0.000000
       0.357000       0.117292       0.000000
       0.358000       0.117592       0.000000
       0.359000       0.117925       0.000000
       0.360000       0.118269       0.000000
       0.361000       0.118591       0.000000
       0.362000       0.118876       0.000000
       0.363000       0.119156       0.000000
       0.364000       0.119468       0.000000
       0.365000       0.119834       0.000000
       0.366000       0.120215       0.000000
       0.367000       0.120562       0.000000
       0.368000       0.120848       0.000000
       0.369000       0.121113       0.000000
       0.370000       0.121409       0.000000
       0.371000       0.121771       0.000000
       0.372000       0.122175       0.000000
       0.373000       0.122590       0.000000
       0.374000       0.122995       0.000000
       0.375000       0.123407       0.000000
       0.376000       0.123846       0.000000
       0.377000       0.124325       0.000000
       0.378000       0.124828       0.000000
       0.379000       0.125332       0.000000
       0.380000       0.125822       0.000000
       0.381000       0.126305       0.000000
       0.382000       0.126791       0.000000
       0.383000       0.127288       0.000000
       0.384000       0.127801       0.000000
       0.385000       0.128331       0.000000
       0.386000       0.128878       0.000000
       0.387000       0.129424       0.000000
       0.388000       0.129952       0.000000
       0.389000       0.130452       0.000000
       0.390000       0.130947       0.000000
       0.391000       0.131462       0.000000
       0.392000       0.132010       0.000000
       0.393000       0.132571       0.000000
       0.394000       0.133114       0.000000
       0.395000       0.133621       0.000000
       0.396000       0.134098       0.000000
       0.397000       0.134559       0.000000
       0.398000       0.135017       0.000000
       0.399000       0.135479       0.000000
       0.400000       0.135954       0.000000
       0.401000       0.136444       0.000000
       0.402000       0.136933       0.000000
       0.403000       0.137404       0.000000
       0.404000       0.137843       0.000000
       0.405000       0.138258       0.000000
       0.406000       0.138656       0.000000
       0.407000       0.139049       0.000000
       0.408000       0.139450       0.000000
       0.409000       0.139876       0.000000
       0.410000       0.140330       0.000000
       0.411000       0.140789       0.000000
       0.412000       0.141223       0.000000
       0.413000       0.141613       0.000000
       0.414000       0.141984       0.000000
       0.415000       0.142367       0.000000
       0.416000       0.142780       0.000000
       0.417000       0.143212       0.000000
       0.418000       0.143642       0.000000
       0.419000       0.144058       0.000000
       0.420000       0.144468       0.000000
       0.421000       0.144885       0.000000
       0.422000       0.145316       0.000000
       0.423000       0.145754       0.000000
       0.424000       0.146188       0.000000
       0.425000       0.146613       0.000000
       0.426000       0.147037       0.000000
       0.427000       0.147473       0.000000
       0.428000       0.147928       0.000000
       0.429000       0.148395       0.000000
       0.430000       0.148865       0.000000
       0.431000       0.149332       0.000000
       0.432000       0.149797       0.000000
       0.433000       0.150263       0.000000
       0.434000       0.150731       0.000000
       0.435000       0.151200       0.000000
       0.436000       0.151669       0.000000
       0.437000       0.152136       0.000000
       0.438000       0.152602       0.000000
       0.439000       0.153066       0.000000
       0.440000       0.153529       0.000000
       0.441000       0.153987       0.000000
       0.442000       0.154438       0.000000
       0.443000       0.154878       0.000000
       0.444000       0.155309       0.000000
       0.445000       0.155731       0.000000
       0.446000       0.156145       0.000000
       0.447000       0.156549       0.000000
       0.448000       0.156944       0.000000
       0.449000       0.157327       0.000000
       0.450000       0.157698       0.000000
       0.451000       0.158057       0.000000
       0.452000       0.158403       0.000000
       0.453000       0.158739       0.000000
       0.454000       0.159067       0.000000
       0.455000       0.159388       0.000000
       0.456000       0.159703       0.000000
       0.457000       0.160012       0.000000
       0.458000       0.160315       0.000000
       0.459000       0.160611       0.000000
       0.460000       0.160895       0.000000
       0.461000       0.161167       0.000000
       0.462000       0.161430       0.000000
       0.463000       0.161687       0.000000
       0.464000       0.161944       0.000000
       0.465000       0.162202       0.000000
       0.466000       0.162463       0.000000
       0.467000       0.162729       0.000000
       0.468000       0.162993       0.000000
       0.469000       0.163248       0.000000
       0.470000       0.163491       0.000000
       0.471000       0.163729       0.000000
       0.472000       0.163971       0.000000
       0.473000       0.164224       0.000000
       0.474000       0.164484       0.000000
       0.475000       0.164746       0.000000
       0.476000       0.165008       0.000000
       0.477000       0.165271       0.000000
       0.478000       0.165539       0.000000
       0.479000       0.165813       0.000000
       0.480000       0.166090       0.000000
       0.481000       0.166367       0.000000
       0.482000       0.166642       0.000000
       0.483000       0.166921       0.000000
       0.484000       0.167208       0.000000
       0.485000       0.167508       0.000000
       0.486000       0.167816       0.000000
       0.487000       0.168131       0.000000
       0.488000       0.168447       0.000000
       0.489000       0.168766       0.000000
       0.490000       0.169086       0.000000
       0.491000       0.169410       0.000000
       0.492000       0.169740       0.000000
       0.493000       0.170080       0.000000
       0.494000       0.170431       0.000000
       0.495000       0.170788       0.000000
       0.496000       0.171144       0.000000
       0.497000       0.171495       0.000000
       0.498000       0.171845       0.000000
       0.499000       0.172199       0.000000
       0.500000       0.172561       0.000000
       0.501000       0.172929       0.000000
       0.502000       0.173300       0.000000
       0.503000       0.173673       0.000000
       0.504000       0.174044       0.000000
       0.505000       0.174412       0.000000
       0.506000       0.174775       0.000000
       0.507000       0.175138       0.000000
       0.508000       0.175505       0.000000
       0.509000       0.175879       0.000000
       0.510000       0.176256       0.000000
       0.511000       0.176631       0.000000
       0.512000       0.177002       0.000000
       0.513000       0.177368       0.000000
       0.514000       0.177733       0.000000
       0.515000       0.178097       0.000000
       0.516000       0.178464       0.000000
       0.517000       0.178833       0.000000
       0.518000       0.179207       0.000000
       0.519000       0.179582       0.000000
       0.520000       0.179957       0.000000
       0.521000       0.180331       0.000000
       0.522000       0.180702       0.000000
       0.523000       0.181073       0.000000
       0.524000       0.181442       0.000000
       0.525000       0.181812       0.000000
       0.526000       0.182184       0.000000
       0.527000       0.182558       0.000000
       0.528000       0.182934       0.000000
       0.529000       0.183309       0.000000
       0.530000       0.183684       0.000000
       0.531000       0.184057       0.000000
       0.532000       0.184428       0.000000
       0.533000       0.184799       0.000000
       0.534000       0.185169       0.000000
       0.535000       0.185540       0.000000
       0.536000       0.185914       0.000000
       0.537000       0.186285       0.000000
       0.538000       0.186653       0.000000
       0.539000       0.187014       0.000000
       0.540000       0.187371       0.000000
       0.541000       0.187725       0.000000
       0.542000       0.188080       0.000000
       0.543000       0.188436       0.000000
       0.544000       0.188793       0.000000
       0.545000       0.189150       0.000000
       0.546000       0.189507       0.000000
       0.547000       0.189862       0.000000
       0.548000       0.190214       0.000000
       0.549000       0.190563       0.000000
       0.550000       0.190913       0.000000
       0.551000       0.191263       0.000000
       0.552000       0.191611       0.000000
       0.553000       0.191957       0.000000
       0.554000       0.192298       0.000000
       0.555000       0.192635       0.000000
       0.556000       0.192970       0.000000
       0.557000       0.193304       0.000000
       0.558000       0.193635       0.000000
       0.559000       0.193965       0.000000
       0.560000       0.194294       0.000000
       0.561000       0.194619       0.000000
       0.562000       0.194942       0.000000
       0.563000       0.195261       0.000000
       0.564000       0.195577       0.000000
       0.565000       0.195889       0.000000
       0.566000       0.196198       0.000000
       0.567000       0.196505       0.000000
       0.568000       0.196813       0.000000
       0.569000       0.197122       0.000000
       0.570000       0.197428       0.000000
       0.571000       0.197728       0.000000
       0.572000       0.198018       0.000000
       0.573000       0.198302       0.000000
       0.574000       0.198583       0.000000
       0.575000       0.198863       0.000000
       0.576000       0.199141       0.000000
       0.577000       0.199417       0.000000
       0.578000       0.199689       0.000000
       0.579000       0.199957       0.000000
       0.580000       0.200218       0.000000
       0.581000       0.200474       0.000000
       0.582000       0.200723       0.000000
       0.583000       0.200968       0.000000
       0.584000       0.201209       0.000000
       0.585000       0.201446       0.000000
       0.586000       0.201680       0.000000
       0.587000       0.201912       0.000000
       0.588000       0.202143       0.000000
       0.589000       0.202373       0.000000
       0.590000       0.202601       0.000000
       0.591000       0.202829       0.000000
       0.592000       0.203056       0.000000
       0.593000       0.203283       0.000000
       0.594000       0.203508       0.000000
       0.595000       0.203728       0.000000
       0.596000       0.203943       0.000000
       0.597000       0.204151       0.000000
       0.598000       0.204351       0.000000
       0.599000       0.204542       0.000000
       0.600000       0.204728       0.000000
       0.601000       0.204911       0.000000
       0.602000       0.205093       0.000000
       0.603000       0.205271       0.000000
       0.604000       0.205445       0.000000
       0.605000       0.205613       0.000000
       0.606000       0.205782       0.000000
       0.607000       0.205958       0.000000
       0.608000       0.206144       0.000000
       0.609000       0.206338       0.000000
       0.610000       0.206532       0.000000
       0.611000       0.206724       0.000000
       0.612000       0.206913       0.000000
       0.613000       0.207098       0.000000
       0.614000       0.207282       0.000000
       0.615000       0.207462       0.000000
       0.616000       0.207639       0.000000
       0.617000       0.207814       0.000000
       0.618000       0.207989       0.000000
       0.619000       0.208164       0.000000
       0.620000       0.208342       0.000000
       0.621000       0.208522       0.000000
       0.622000       0.208704       0.000000
       0.623000       0.208885       0.000000
       0.624000       0.209066       0.000000
       0.625000       0.209247       0.000000
       0.626000       0.209426       0.000000
       0.627000       0.209604       0.000000
       0.628000       0.209781       0.000000
       0.629000       0.209957       0.000000
       0.630000       0.210129       0.000000
       0.631000       0.210296       0.000000
       0.632000       0.210456       0.000000
       0.633000       0.210615       0.000000
       0.634000       0.210775       0.000000
       0.635000       0.210939       0.000000
       0.636000       0.211108       0.000000
       0.637000       0.211279       0.000000
       0.638000       0.211451       0.000000
       0.639000       0.211623       0.000000
       0.640000       0.211794       0.000000
       0.641000       0.211964       0.000000
       0.642000       0.212135       0.000000
       0.643000       0.212308       0.000000
       0.644000       0.212486       0.000000
       0.645000       0.212664       0.000000
       0.646000       0.212839       0.000000
       0.647000       0.213007       0.000000
       0.648000       0.213173       0.000000
       0.649000       0.213341       0.000000
       0.650000       0.213514       0.000000
       0.651000       0.213689       0.000000
       0.652000       0.213866       0.000000
       0.653000       0.214043       0.000000
       0.654000       0.214219       0.000000
       0.655000       0.214392       0.000000
       0.656000       0.214564       0.000000
       0.657000       0.214735       0.000000
       0.658000       0.214907       0.000000
       0.659000       0.215081       0.000000
       0.660000       0.215255       0.000000
       0.661000       0.215428       0.000000
       0.662000       0.215599       0.000000
       0.663000       0.215768       0.000000
       0.664000       0.215938       0.000000
       0.665000       0.216110       0.000000
       0.666000       0.216282       0.000000
       0.667000       0.216455       0.000000
       0.668000       0.216629       0.000000
       0.669000       0.216803       0.000000
       0.670000       0.216977       0.000000
       0.671000       0.217151       0.000000
       0.672000       0.217324       0.000000
       0.673000       0.217494       0.000000
       0.674000       0.217661       0.000000
       0.675000       0.217829       0.000000
       0.676000       0.217999       0.000000
       0.677000       0.218174       0.000000
       0.678000       0.218350       0.000000
       0.679000       0.218524       0.000000
       0.680000       0.218693       0.000000
       0.681000       0.218860       0.000000
       0.682000       0.219029       0.000000
       0.683000       0.219203       0.000000
       0.684000       0.219380       0.000000
       0.685000       0.219558       0.000000
       0.686000       0.219737       0.000000
       0.687000       0.219916       0.000000
       0.688000       0.220095       0.000000
       0.689000       0.220275       0.000000
       0.690000       0.220455       0.000000
       0.691000       0.220633       0.000000
       0.692000       0.220809       0.000000
       0.693000       0.220985       0.000000
       0.694000       0.221163       0.000000
       0.695000       0.221343       0.000000
       0.696000       0.221526       0.000000
       0.697000       0.221710       0.000000
       0.698000       0.221894       0.000000
       0.699000       0.222079       0.000000
       0.700000       0.222265       0.000000
       0.701000       0.222452       0.000000
       0.702000       0.222640       0.000000
       0.703000       0.222830       0.000000
       0.704000       0.223020       0.000000
       0.705000       0.223209       0.000000
       0.706000       0.223396       0.000000
       0.707000       0.223578       0.000000
       0.708000       0.223760       0.000000
       0.709000       0.223943       0.000000
       0.710000       0.224128       0.000000
       0.711000       0.224315       0.000000
       0.712000       0.224500       0.000000
       0.713000       0.224683       0.000000
       0.714000       0.224864       0.000000
       0.715000       0.225047       0.000000
       0.716000       0.225231       0.000000
       0.717000       0.225417       0.000000
       0.718000       0.225603       0.000000
       0.719000       0.225788       0.000000
       0.720000       0.225970       0.000000
       0.721000       0.226150       0.000000
       0.722000       0.226327       0.000000
       0.723000       0.226502       0.000000
       0.724000       0.226678       0.000000
       0.725000       0.226858       0.000000
       0.726000       0.227039       0.000000
       0.727000       0.227221       0.000000
       0.728000       0.227403       0.000000
       0.729000       0.227584       0.000000
       0.730000       0.227763       0.000000
       0.731000       0.227939       0.000000
       0.732000       0.228114       0.000000
       0.733000       0.228292       0.000000
       0.734000       0.228473       0.000000
       0.735000       0.228656       0.000000
       0.736000       0.228838       0.000000
       0.737000       0.229019       0.000000
       0.738000       0.229199       0.000000
       0.739000       0.229377       0.000000
       0.740000       0.229554       0.000000
       0.741000       0.229732       0.000000
       0.742000       0.229910       0.000000
       0.743000       0.230089       0.000000
       0.744000       0.230267       0.000000
       0.745000       0.230444       0.000000
       0.746000       0.230618       0.000000
       0.747000       0.230790       0.000000
       0.748000       0.230960       0.000000
       0.749000       0.231126       0.000000
       0.750000       0.231292       0.000000
       0.751000       0.231456       0.000000
       0.752000       0.231621       0.000000
       0.753000       0.231787       0.000000
       0.754000       0.231956       0.000000
       0.755000       0.232129       0.000000
       0.756000       0.232302       0.000000
       0.757000       0.232474       0.000000
       0.758000       0.232642       0.000000
       0.759000       0.232808       0.000000
       0.760000       0.232977       0.000000
       0.761000       0.233149       0.000000
       0.762000       0.233322       0.000000
       0.763000       0.233492       0.000000
       0.764000       0.233656       0.000000
       0.765000       0.233817       0.000000
       0.766000       0.233977       0.000000
       0.767000       0.234139       0.000000
       0.768000       0.234301       0.000000
       0.769000       0.234461       0.000000
       0.770000       0.234615       0.000000
       0.771000       0.234767       0.000000
       0.772000       0.234917       0.000000
       0.773000       0.235066       0.000000
       0.774000       0.235218       0.000000
       0.775000       0.235373       0.000000
       0.776000       0.235533       0.000000
       0.777000       0.235694       0.000000
       0.778000       0.235854       0.000000
       0.779000       0.236010       0.000000
       0.780000       0.236162       0.000000
       0.781000       0.236311       0.000000
       0.782000       0.236457       0.000000
       0.783000       0.236603       0.000000
       0.784000       0.236751       0.000000
       0.785000       0.236902       0.000000
       0.786000       0.237058       0.000000
       0.787000       0.237216       0.000000
       0.788000       0.237375       0.000000
       0.789000       0.237533       0.000000
       0.790000       0.237686       0.000000
       0.791000       0.237834       0.000000
       0.792000       0.237978       0.000000
       0.793000       0.238123       0.000000
       0.794000       0.238270       0.000000
       0.795000       0.238418       0.000000
       0.796000       0.238561       0.000000
       0.797000       0.238699       0.000000
       0.798000       0.238833       0.000000
       0.799000       0.238968       0.000000
       0.800000       0.239106       0.000000
       0.801000       0.239247       0.000000
       0.802000       0.239391       0.000000
       0.803000       0.239538       0.000000
       0.804000       0.239685       0.000000
       0.805000       0.239830       0.000000
