USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Muscovite-medhi-Al CU91-252D W1R1Fc AREF
copy of splib05a r 8805                                     
       0.350000       0.097169       0.000000
       0.351000       0.097169       0.000000
       0.352000       0.097641       0.000000
       0.353000       0.097933       0.000000
       0.354000       0.097865       0.000000
       0.355000       0.097311       0.000000
       0.356000       0.096356       0.000000
       0.357000       0.095139       0.000000
       0.358000       0.093834       0.000000
       0.359000       0.092747       0.000000
       0.360000       0.092217       0.000000
       0.361000       0.092443       0.000000
       0.362000       0.093062       0.000000
       0.363000       0.093570       0.000000
       0.364000       0.093599       0.000000
       0.365000       0.093344       0.000000
       0.366000       0.093134       0.000000
       0.367000       0.093186       0.000000
       0.368000       0.093258       0.000000
       0.369000       0.092994       0.000000
       0.370000       0.092219       0.000000
       0.371000       0.091492       0.000000
       0.372000       0.091554       0.000000
       0.373000       0.092850       0.000000
       0.374000       0.094633       0.000000
       0.375000       0.095863       0.000000
       0.376000       0.095798       0.000000
       0.377000       0.094907       0.000000
       0.378000       0.093962       0.000000
       0.379000       0.093553       0.000000
       0.380000       0.093552       0.000000
       0.381000       0.093653       0.000000
       0.382000       0.093645       0.000000
       0.383000       0.093709       0.000000
       0.384000       0.094124       0.000000
       0.385000       0.095031       0.000000
       0.386000       0.096024       0.000000
       0.387000       0.096560       0.000000
       0.388000       0.096275       0.000000
       0.389000       0.095528       0.000000
       0.390000       0.094858       0.000000
       0.391000       0.094683       0.000000
       0.392000       0.094929       0.000000
       0.393000       0.095404       0.000000
       0.394000       0.095930       0.000000
       0.395000       0.096409       0.000000
       0.396000       0.096762       0.000000
       0.397000       0.096942       0.000000
       0.398000       0.097030       0.000000
       0.399000       0.097142       0.000000
       0.400000       0.097350       0.000000
       0.401000       0.097555       0.000000
       0.402000       0.097616       0.000000
       0.403000       0.097459       0.000000
       0.404000       0.097287       0.000000
       0.405000       0.097375       0.000000
       0.406000       0.097888       0.000000
       0.407000       0.098576       0.000000
       0.408000       0.099084       0.000000
       0.409000       0.099164       0.000000
       0.410000       0.099000       0.000000
       0.411000       0.098885       0.000000
       0.412000       0.099030       0.000000
       0.413000       0.099309       0.000000
       0.414000       0.099513       0.000000
       0.415000       0.099508       0.000000
       0.416000       0.099459       0.000000
       0.417000       0.099603       0.000000
       0.418000       0.100097       0.000000
       0.419000       0.100759       0.000000
       0.420000       0.101325       0.000000
       0.421000       0.101604       0.000000
       0.422000       0.101692       0.000000
       0.423000       0.101761       0.000000
       0.424000       0.101948       0.000000
       0.425000       0.102256       0.000000
       0.426000       0.102652       0.000000
       0.427000       0.103113       0.000000
       0.428000       0.103644       0.000000
       0.429000       0.104254       0.000000
       0.430000       0.104942       0.000000
       0.431000       0.105641       0.000000
       0.432000       0.106271       0.000000
       0.433000       0.106777       0.000000
       0.434000       0.107211       0.000000
       0.435000       0.107652       0.000000
       0.436000       0.108163       0.000000
       0.437000       0.108762       0.000000
       0.438000       0.109453       0.000000
       0.439000       0.110224       0.000000
       0.440000       0.110982       0.000000
       0.441000       0.111621       0.000000
       0.442000       0.112067       0.000000
       0.443000       0.112399       0.000000
       0.444000       0.112732       0.000000
       0.445000       0.113150       0.000000
       0.446000       0.113619       0.000000
       0.447000       0.114070       0.000000
       0.448000       0.114455       0.000000
       0.449000       0.114798       0.000000
       0.450000       0.115141       0.000000
       0.451000       0.115507       0.000000
       0.452000       0.115846       0.000000
       0.453000       0.116088       0.000000
       0.454000       0.116189       0.000000
       0.455000       0.116205       0.000000
       0.456000       0.116216       0.000000
       0.457000       0.116283       0.000000
       0.458000       0.116388       0.000000
       0.459000       0.116495       0.000000
       0.460000       0.116577       0.000000
       0.461000       0.116648       0.000000
       0.462000       0.116730       0.000000
       0.463000       0.116839       0.000000
       0.464000       0.116957       0.000000
       0.465000       0.117060       0.000000
       0.466000       0.117129       0.000000
       0.467000       0.117168       0.000000
       0.468000       0.117189       0.000000
       0.469000       0.117208       0.000000
       0.470000       0.117256       0.000000
       0.471000       0.117373       0.000000
       0.472000       0.117578       0.000000
       0.473000       0.117828       0.000000
       0.474000       0.118062       0.000000
       0.475000       0.118236       0.000000
       0.476000       0.118374       0.000000
       0.477000       0.118512       0.000000
       0.478000       0.118684       0.000000
       0.479000       0.118896       0.000000
       0.480000       0.119146       0.000000
       0.481000       0.119436       0.000000
       0.482000       0.119766       0.000000
       0.483000       0.120137       0.000000
       0.484000       0.120546       0.000000
       0.485000       0.120967       0.000000
       0.486000       0.121373       0.000000
       0.487000       0.121744       0.000000
       0.488000       0.122105       0.000000
       0.489000       0.122491       0.000000
       0.490000       0.122933       0.000000
       0.491000       0.123432       0.000000
       0.492000       0.123985       0.000000
       0.493000       0.124588       0.000000
       0.494000       0.125227       0.000000
       0.495000       0.125885       0.000000
       0.496000       0.126548       0.000000
       0.497000       0.127205       0.000000
       0.498000       0.127845       0.000000
       0.499000       0.128467       0.000000
       0.500000       0.129099       0.000000
       0.501000       0.129779       0.000000
       0.502000       0.130533       0.000000
       0.503000       0.131341       0.000000
       0.504000       0.132173       0.000000
       0.505000       0.133002       0.000000
       0.506000       0.133820       0.000000
       0.507000       0.134622       0.000000
       0.508000       0.135407       0.000000
       0.509000       0.136188       0.000000
       0.510000       0.136979       0.000000
       0.511000       0.137795       0.000000
       0.512000       0.138642       0.000000
       0.513000       0.139527       0.000000
       0.514000       0.140451       0.000000
       0.515000       0.141397       0.000000
       0.516000       0.142344       0.000000
       0.517000       0.143276       0.000000
       0.518000       0.144205       0.000000
       0.519000       0.145150       0.000000
       0.520000       0.146124       0.000000
       0.521000       0.147118       0.000000
       0.522000       0.148119       0.000000
       0.523000       0.149120       0.000000
       0.524000       0.150137       0.000000
       0.525000       0.151197       0.000000
       0.526000       0.152314       0.000000
       0.527000       0.153472       0.000000
       0.528000       0.154647       0.000000
       0.529000       0.155819       0.000000
       0.530000       0.156991       0.000000
       0.531000       0.158171       0.000000
       0.532000       0.159365       0.000000
       0.533000       0.160581       0.000000
       0.534000       0.161828       0.000000
       0.535000       0.163109       0.000000
       0.536000       0.164418       0.000000
       0.537000       0.165745       0.000000
       0.538000       0.167084       0.000000
       0.539000       0.168438       0.000000
       0.540000       0.169817       0.000000
       0.541000       0.171222       0.000000
       0.542000       0.172645       0.000000
       0.543000       0.174072       0.000000
       0.544000       0.175496       0.000000
       0.545000       0.176929       0.000000
       0.546000       0.178393       0.000000
       0.547000       0.179896       0.000000
       0.548000       0.181416       0.000000
       0.549000       0.182918       0.000000
       0.550000       0.184381       0.000000
       0.551000       0.185817       0.000000
       0.552000       0.187250       0.000000
       0.553000       0.188696       0.000000
       0.554000       0.190148       0.000000
       0.555000       0.191591       0.000000
       0.556000       0.193018       0.000000
       0.557000       0.194442       0.000000
       0.558000       0.195880       0.000000
       0.559000       0.197342       0.000000
       0.560000       0.198798       0.000000
       0.561000       0.200208       0.000000
       0.562000       0.201545       0.000000
       0.563000       0.202825       0.000000
       0.564000       0.204078       0.000000
       0.565000       0.205326       0.000000
       0.566000       0.206568       0.000000
       0.567000       0.207797       0.000000
       0.568000       0.209005       0.000000
       0.569000       0.210182       0.000000
       0.570000       0.211318       0.000000
       0.571000       0.212409       0.000000
       0.572000       0.213459       0.000000
       0.573000       0.214481       0.000000
       0.574000       0.215480       0.000000
       0.575000       0.216449       0.000000
       0.576000       0.217378       0.000000
       0.577000       0.218260       0.000000
       0.578000       0.219104       0.000000
       0.579000       0.219927       0.000000
       0.580000       0.220734       0.000000
       0.581000       0.221511       0.000000
       0.582000       0.222233       0.000000
       0.583000       0.222887       0.000000
       0.584000       0.223490       0.000000
       0.585000       0.224068       0.000000
       0.586000       0.224638       0.000000
       0.587000       0.225191       0.000000
       0.588000       0.225707       0.000000
       0.589000       0.226175       0.000000
       0.590000       0.226610       0.000000
       0.591000       0.227034       0.000000
       0.592000       0.227463       0.000000
       0.593000       0.227880       0.000000
       0.594000       0.228259       0.000000
       0.595000       0.228581       0.000000
       0.596000       0.228852       0.000000
       0.597000       0.229085       0.000000
       0.598000       0.229290       0.000000
       0.599000       0.229478       0.000000
       0.600000       0.229658       0.000000
       0.601000       0.229836       0.000000
       0.602000       0.230010       0.000000
       0.603000       0.230174       0.000000
       0.604000       0.230323       0.000000
       0.605000       0.230453       0.000000
       0.606000       0.230560       0.000000
       0.607000       0.230643       0.000000
       0.608000       0.230698       0.000000
       0.609000       0.230728       0.000000
       0.610000       0.230735       0.000000
       0.611000       0.230733       0.000000
       0.612000       0.230740       0.000000
       0.613000       0.230767       0.000000
       0.614000       0.230796       0.000000
       0.615000       0.230803       0.000000
       0.616000       0.230771       0.000000
       0.617000       0.230710       0.000000
       0.618000       0.230641       0.000000
       0.619000       0.230577       0.000000
       0.620000       0.230517       0.000000
       0.621000       0.230453       0.000000
       0.622000       0.230384       0.000000
       0.623000       0.230325       0.000000
       0.624000       0.230296       0.000000
       0.625000       0.230305       0.000000
       0.626000       0.230318       0.000000
       0.627000       0.230291       0.000000
       0.628000       0.230193       0.000000
       0.629000       0.230054       0.000000
       0.630000       0.229920       0.000000
       0.631000       0.229824       0.000000
       0.632000       0.229761       0.000000
       0.633000       0.229711       0.000000
       0.634000       0.229661       0.000000
       0.635000       0.229609       0.000000
       0.636000       0.229556       0.000000
       0.637000       0.229503       0.000000
       0.638000       0.229449       0.000000
       0.639000       0.229392       0.000000
       0.640000       0.229330       0.000000
       0.641000       0.229258       0.000000
       0.642000       0.229168       0.000000
       0.643000       0.229059       0.000000
       0.644000       0.228944       0.000000
       0.645000       0.228838       0.000000
       0.646000       0.228754       0.000000
       0.647000       0.228683       0.000000
       0.648000       0.228613       0.000000
       0.649000       0.228535       0.000000
       0.650000       0.228452       0.000000
       0.651000       0.228369       0.000000
       0.652000       0.228294       0.000000
       0.653000       0.228229       0.000000
       0.654000       0.228179       0.000000
       0.655000       0.228144       0.000000
       0.656000       0.228119       0.000000
       0.657000       0.228095       0.000000
       0.658000       0.228068       0.000000
       0.659000       0.228034       0.000000
       0.660000       0.227994       0.000000
       0.661000       0.227949       0.000000
       0.662000       0.227905       0.000000
       0.663000       0.227867       0.000000
       0.664000       0.227842       0.000000
       0.665000       0.227830       0.000000
       0.666000       0.227828       0.000000
       0.667000       0.227836       0.000000
       0.668000       0.227853       0.000000
       0.669000       0.227879       0.000000
       0.670000       0.227912       0.000000
       0.671000       0.227944       0.000000
       0.672000       0.227968       0.000000
       0.673000       0.227978       0.000000
       0.674000       0.227983       0.000000
       0.675000       0.227996       0.000000
       0.676000       0.228027       0.000000
       0.677000       0.228077       0.000000
       0.678000       0.228143       0.000000
       0.679000       0.228221       0.000000
       0.680000       0.228303       0.000000
       0.681000       0.228380       0.000000
       0.682000       0.228445       0.000000
       0.683000       0.228503       0.000000
       0.684000       0.228560       0.000000
       0.685000       0.228624       0.000000
       0.686000       0.228700       0.000000
       0.687000       0.228795       0.000000
       0.688000       0.228910       0.000000
       0.689000       0.229033       0.000000
       0.690000       0.229149       0.000000
       0.691000       0.229247       0.000000
       0.692000       0.229336       0.000000
       0.693000       0.229429       0.000000
       0.694000       0.229537       0.000000
       0.695000       0.229654       0.000000
       0.696000       0.229773       0.000000
       0.697000       0.229888       0.000000
       0.698000       0.230007       0.000000
       0.699000       0.230140       0.000000
       0.700000       0.230295       0.000000
       0.701000       0.230460       0.000000
       0.702000       0.230618       0.000000
       0.703000       0.230759       0.000000
       0.704000       0.230891       0.000000
       0.705000       0.231027       0.000000
       0.706000       0.231176       0.000000
       0.707000       0.231338       0.000000
       0.708000       0.231507       0.000000
       0.709000       0.231679       0.000000
       0.710000       0.231855       0.000000
       0.711000       0.232034       0.000000
       0.712000       0.232217       0.000000
       0.713000       0.232405       0.000000
       0.714000       0.232599       0.000000
       0.715000       0.232798       0.000000
       0.716000       0.232993       0.000000
       0.717000       0.233169       0.000000
       0.718000       0.233323       0.000000
       0.719000       0.233470       0.000000
       0.720000       0.233637       0.000000
       0.721000       0.233839       0.000000
       0.722000       0.234064       0.000000
       0.723000       0.234292       0.000000
       0.724000       0.234506       0.000000
       0.725000       0.234708       0.000000
       0.726000       0.234903       0.000000
       0.727000       0.235095       0.000000
       0.728000       0.235279       0.000000
       0.729000       0.235449       0.000000
       0.730000       0.235604       0.000000
       0.731000       0.235759       0.000000
       0.732000       0.235936       0.000000
       0.733000       0.236148       0.000000
       0.734000       0.236374       0.000000
       0.735000       0.236585       0.000000
       0.736000       0.236760       0.000000
       0.737000       0.236909       0.000000
       0.738000       0.237052       0.000000
       0.739000       0.237203       0.000000
       0.740000       0.237366       0.000000
       0.741000       0.237538       0.000000
       0.742000       0.237719       0.000000
       0.743000       0.237903       0.000000
       0.744000       0.238083       0.000000
       0.745000       0.238257       0.000000
       0.746000       0.238426       0.000000
       0.747000       0.238595       0.000000
       0.748000       0.238766       0.000000
       0.749000       0.238933       0.000000
       0.750000       0.239091       0.000000
       0.751000       0.239234       0.000000
       0.752000       0.239374       0.000000
       0.753000       0.239524       0.000000
       0.754000       0.239692       0.000000
       0.755000       0.239864       0.000000
       0.756000       0.240019       0.000000
       0.757000       0.240143       0.000000
       0.758000       0.240252       0.000000
       0.759000       0.240369       0.000000
       0.760000       0.240509       0.000000
       0.761000       0.240653       0.000000
       0.762000       0.240777       0.000000
       0.763000       0.240864       0.000000
       0.764000       0.240933       0.000000
       0.765000       0.241012       0.000000
       0.766000       0.241118       0.000000
       0.767000       0.241238       0.000000
       0.768000       0.241346       0.000000
       0.769000       0.241424       0.000000
       0.770000       0.241479       0.000000
       0.771000       0.241524       0.000000
       0.772000       0.241568       0.000000
       0.773000       0.241612       0.000000
       0.774000       0.241652       0.000000
       0.775000       0.241687       0.000000
       0.776000       0.241717       0.000000
       0.777000       0.241743       0.000000
       0.778000       0.241767       0.000000
       0.779000       0.241787       0.000000
       0.780000       0.241801       0.000000
       0.781000       0.241805       0.000000
       0.782000       0.241795       0.000000
       0.783000       0.241767       0.000000
       0.784000       0.241717       0.000000
       0.785000       0.241655       0.000000
       0.786000       0.241596       0.000000
       0.787000       0.241548       0.000000
       0.788000       0.241502       0.000000
       0.789000       0.241443       0.000000
       0.790000       0.241363       0.000000
       0.791000       0.241266       0.000000
       0.792000       0.241162       0.000000
       0.793000       0.241056       0.000000
       0.794000       0.240948       0.000000
       0.795000       0.240831       0.000000
       0.796000       0.240704       0.000000
       0.797000       0.240572       0.000000
       0.798000       0.240441       0.000000
       0.799000       0.240314       0.000000
       0.800000       0.240181       0.000000
       0.801000       0.240023       0.000000
       0.802000       0.239832       0.000000
       0.803000       0.239619       0.000000
       0.804000       0.239401       0.000000
       0.805000       0.239193       0.000000
