USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Nontronite+others CU00-13A   W1R1Fb AREF
copy of splib05a r 8851                                     
       0.350000       0.078490       0.000000
       0.351000       0.078490       0.000000
       0.352000       0.079512       0.000000
       0.353000       0.080535       0.000000
       0.354000       0.081563       0.000000
       0.355000       0.082593       0.000000
       0.356000       0.083609       0.000000
       0.357000       0.084590       0.000000
       0.358000       0.085514       0.000000
       0.359000       0.086355       0.000000
       0.360000       0.087083       0.000000
       0.361000       0.087685       0.000000
       0.362000       0.088193       0.000000
       0.363000       0.088655       0.000000
       0.364000       0.089108       0.000000
       0.365000       0.089544       0.000000
       0.366000       0.089947       0.000000
       0.367000       0.090309       0.000000
       0.368000       0.090653       0.000000
       0.369000       0.091012       0.000000
       0.370000       0.091416       0.000000
       0.371000       0.091885       0.000000
       0.372000       0.092432       0.000000
       0.373000       0.093073       0.000000
       0.374000       0.093830       0.000000
       0.375000       0.094720       0.000000
       0.376000       0.095756       0.000000
       0.377000       0.096915       0.000000
       0.378000       0.098167       0.000000
       0.379000       0.099480       0.000000
       0.380000       0.100826       0.000000
       0.381000       0.102175       0.000000
       0.382000       0.103514       0.000000
       0.383000       0.104887       0.000000
       0.384000       0.106354       0.000000
       0.385000       0.107955       0.000000
       0.386000       0.109648       0.000000
       0.387000       0.111373       0.000000
       0.388000       0.113087       0.000000
       0.389000       0.114813       0.000000
       0.390000       0.116593       0.000000
       0.391000       0.118458       0.000000
       0.392000       0.120396       0.000000
       0.393000       0.122385       0.000000
       0.394000       0.124405       0.000000
       0.395000       0.126451       0.000000
       0.396000       0.128522       0.000000
       0.397000       0.130613       0.000000
       0.398000       0.132706       0.000000
       0.399000       0.134779       0.000000
       0.400000       0.136814       0.000000
       0.401000       0.138809       0.000000
       0.402000       0.140765       0.000000
       0.403000       0.142683       0.000000
       0.404000       0.144573       0.000000
       0.405000       0.146447       0.000000
       0.406000       0.148307       0.000000
       0.407000       0.150123       0.000000
       0.408000       0.151857       0.000000
       0.409000       0.153482       0.000000
       0.410000       0.155024       0.000000
       0.411000       0.156519       0.000000
       0.412000       0.157993       0.000000
       0.413000       0.159413       0.000000
       0.414000       0.160734       0.000000
       0.415000       0.161925       0.000000
       0.416000       0.163006       0.000000
       0.417000       0.164011       0.000000
       0.418000       0.164963       0.000000
       0.419000       0.165852       0.000000
       0.420000       0.166654       0.000000
       0.421000       0.167352       0.000000
       0.422000       0.167949       0.000000
       0.423000       0.168453       0.000000
       0.424000       0.168871       0.000000
       0.425000       0.169208       0.000000
       0.426000       0.169469       0.000000
       0.427000       0.169666       0.000000
       0.428000       0.169847       0.000000
       0.429000       0.170070       0.000000
       0.430000       0.170374       0.000000
       0.431000       0.170724       0.000000
       0.432000       0.171073       0.000000
       0.433000       0.171374       0.000000
       0.434000       0.171605       0.000000
       0.435000       0.171749       0.000000
       0.436000       0.171786       0.000000
       0.437000       0.171698       0.000000
       0.438000       0.171464       0.000000
       0.439000       0.171073       0.000000
       0.440000       0.170555       0.000000
       0.441000       0.169950       0.000000
       0.442000       0.169304       0.000000
       0.443000       0.168693       0.000000
       0.444000       0.168201       0.000000
       0.445000       0.167901       0.000000
       0.446000       0.167816       0.000000
       0.447000       0.167957       0.000000
       0.448000       0.168345       0.000000
       0.449000       0.169035       0.000000
       0.450000       0.170089       0.000000
       0.451000       0.171556       0.000000
       0.452000       0.173415       0.000000
       0.453000       0.175628       0.000000
       0.454000       0.178154       0.000000
       0.455000       0.180930       0.000000
       0.456000       0.183890       0.000000
       0.457000       0.186964       0.000000
       0.458000       0.190079       0.000000
       0.459000       0.193155       0.000000
       0.460000       0.196124       0.000000
       0.461000       0.198944       0.000000
       0.462000       0.201583       0.000000
       0.463000       0.204013       0.000000
       0.464000       0.206236       0.000000
       0.465000       0.208261       0.000000
       0.466000       0.210100       0.000000
       0.467000       0.211774       0.000000
       0.468000       0.213307       0.000000
       0.469000       0.214722       0.000000
       0.470000       0.216031       0.000000
       0.471000       0.217244       0.000000
       0.472000       0.218373       0.000000
       0.473000       0.219431       0.000000
       0.474000       0.220432       0.000000
       0.475000       0.221391       0.000000
       0.476000       0.222311       0.000000
       0.477000       0.223197       0.000000
       0.478000       0.224051       0.000000
       0.479000       0.224878       0.000000
       0.480000       0.225681       0.000000
       0.481000       0.226464       0.000000
       0.482000       0.227233       0.000000
       0.483000       0.227994       0.000000
       0.484000       0.228752       0.000000
       0.485000       0.229505       0.000000
       0.486000       0.230250       0.000000
       0.487000       0.230982       0.000000
       0.488000       0.231707       0.000000
       0.489000       0.232427       0.000000
       0.490000       0.233147       0.000000
       0.491000       0.233871       0.000000
       0.492000       0.234601       0.000000
       0.493000       0.235339       0.000000
       0.494000       0.236080       0.000000
       0.495000       0.236818       0.000000
       0.496000       0.237549       0.000000
       0.497000       0.238276       0.000000
       0.498000       0.239003       0.000000
       0.499000       0.239736       0.000000
       0.500000       0.240474       0.000000
       0.501000       0.241219       0.000000
       0.502000       0.241970       0.000000
       0.503000       0.242727       0.000000
       0.504000       0.243493       0.000000
       0.505000       0.244264       0.000000
       0.506000       0.245038       0.000000
       0.507000       0.245806       0.000000
       0.508000       0.246566       0.000000
       0.509000       0.247324       0.000000
       0.510000       0.248089       0.000000
       0.511000       0.248869       0.000000
       0.512000       0.249658       0.000000
       0.513000       0.250450       0.000000
       0.514000       0.251239       0.000000
       0.515000       0.252023       0.000000
       0.516000       0.252801       0.000000
       0.517000       0.253573       0.000000
       0.518000       0.254342       0.000000
       0.519000       0.255112       0.000000
       0.520000       0.255886       0.000000
       0.521000       0.256665       0.000000
       0.522000       0.257447       0.000000
       0.523000       0.258232       0.000000
       0.524000       0.259017       0.000000
       0.525000       0.259797       0.000000
       0.526000       0.260572       0.000000
       0.527000       0.261344       0.000000
       0.528000       0.262117       0.000000
       0.529000       0.262894       0.000000
       0.530000       0.263671       0.000000
       0.531000       0.264442       0.000000
       0.532000       0.265201       0.000000
       0.533000       0.265949       0.000000
       0.534000       0.266688       0.000000
       0.535000       0.267418       0.000000
       0.536000       0.268138       0.000000
       0.537000       0.268847       0.000000
       0.538000       0.269544       0.000000
       0.539000       0.270234       0.000000
       0.540000       0.270925       0.000000
       0.541000       0.271626       0.000000
       0.542000       0.272365       0.000000
       0.543000       0.273172       0.000000
       0.544000       0.274054       0.000000
       0.545000       0.274916       0.000000
       0.546000       0.275638       0.000000
       0.547000       0.276141       0.000000
       0.548000       0.276498       0.000000
       0.549000       0.276821       0.000000
       0.550000       0.277203       0.000000
       0.551000       0.277657       0.000000
       0.552000       0.278178       0.000000
       0.553000       0.278756       0.000000
       0.554000       0.279366       0.000000
       0.555000       0.279981       0.000000
       0.556000       0.280581       0.000000
       0.557000       0.281165       0.000000
       0.558000       0.281739       0.000000
       0.559000       0.282308       0.000000
       0.560000       0.282868       0.000000
       0.561000       0.283415       0.000000
       0.562000       0.283945       0.000000
       0.563000       0.284461       0.000000
       0.564000       0.284968       0.000000
       0.565000       0.285468       0.000000
       0.566000       0.285959       0.000000
       0.567000       0.286437       0.000000
       0.568000       0.286897       0.000000
       0.569000       0.287341       0.000000
       0.570000       0.287768       0.000000
       0.571000       0.288182       0.000000
       0.572000       0.288591       0.000000
       0.573000       0.289008       0.000000
       0.574000       0.289438       0.000000
       0.575000       0.289874       0.000000
       0.576000       0.290302       0.000000
       0.577000       0.290709       0.000000
       0.578000       0.291084       0.000000
       0.579000       0.291418       0.000000
       0.580000       0.291707       0.000000
       0.581000       0.291969       0.000000
       0.582000       0.292229       0.000000
       0.583000       0.292506       0.000000
       0.584000       0.292794       0.000000
       0.585000       0.293083       0.000000
       0.586000       0.293363       0.000000
       0.587000       0.293633       0.000000
       0.588000       0.293892       0.000000
       0.589000       0.294141       0.000000
       0.590000       0.294378       0.000000
       0.591000       0.294602       0.000000
       0.592000       0.294812       0.000000
       0.593000       0.295010       0.000000
       0.594000       0.295198       0.000000
       0.595000       0.295380       0.000000
       0.596000       0.295560       0.000000
       0.597000       0.295742       0.000000
       0.598000       0.295928       0.000000
       0.599000       0.296119       0.000000
       0.600000       0.296311       0.000000
       0.601000       0.296503       0.000000
       0.602000       0.296695       0.000000
       0.603000       0.296889       0.000000
       0.604000       0.297085       0.000000
       0.605000       0.297282       0.000000
       0.606000       0.297475       0.000000
       0.607000       0.297664       0.000000
       0.608000       0.297848       0.000000
       0.609000       0.298028       0.000000
       0.610000       0.298207       0.000000
       0.611000       0.298382       0.000000
       0.612000       0.298552       0.000000
       0.613000       0.298718       0.000000
       0.614000       0.298879       0.000000
       0.615000       0.299039       0.000000
       0.616000       0.299197       0.000000
       0.617000       0.299355       0.000000
       0.618000       0.299512       0.000000
       0.619000       0.299668       0.000000
       0.620000       0.299824       0.000000
       0.621000       0.299979       0.000000
       0.622000       0.300136       0.000000
       0.623000       0.300295       0.000000
       0.624000       0.300460       0.000000
       0.625000       0.300632       0.000000
       0.626000       0.300810       0.000000
       0.627000       0.300989       0.000000
       0.628000       0.301167       0.000000
       0.629000       0.301347       0.000000
       0.630000       0.301530       0.000000
       0.631000       0.301720       0.000000
       0.632000       0.301914       0.000000
       0.633000       0.302109       0.000000
       0.634000       0.302303       0.000000
       0.635000       0.302495       0.000000
       0.636000       0.302686       0.000000
       0.637000       0.302875       0.000000
       0.638000       0.303064       0.000000
       0.639000       0.303255       0.000000
       0.640000       0.303449       0.000000
       0.641000       0.303644       0.000000
       0.642000       0.303840       0.000000
       0.643000       0.304036       0.000000
       0.644000       0.304231       0.000000
       0.645000       0.304428       0.000000
       0.646000       0.304628       0.000000
       0.647000       0.304831       0.000000
       0.648000       0.305037       0.000000
       0.649000       0.305248       0.000000
       0.650000       0.305458       0.000000
       0.651000       0.305665       0.000000
       0.652000       0.305867       0.000000
       0.653000       0.306069       0.000000
       0.654000       0.306276       0.000000
       0.655000       0.306495       0.000000
       0.656000       0.306721       0.000000
       0.657000       0.306945       0.000000
       0.658000       0.307163       0.000000
       0.659000       0.307377       0.000000
       0.660000       0.307592       0.000000
       0.661000       0.307810       0.000000
       0.662000       0.308032       0.000000
       0.663000       0.308258       0.000000
       0.664000       0.308485       0.000000
       0.665000       0.308714       0.000000
       0.666000       0.308944       0.000000
       0.667000       0.309174       0.000000
       0.668000       0.309405       0.000000
       0.669000       0.309637       0.000000
       0.670000       0.309873       0.000000
       0.671000       0.310110       0.000000
       0.672000       0.310346       0.000000
       0.673000       0.310581       0.000000
       0.674000       0.310815       0.000000
       0.675000       0.311051       0.000000
       0.676000       0.311290       0.000000
       0.677000       0.311531       0.000000
       0.678000       0.311772       0.000000
       0.679000       0.312013       0.000000
       0.680000       0.312253       0.000000
       0.681000       0.312496       0.000000
       0.682000       0.312741       0.000000
       0.683000       0.312989       0.000000
       0.684000       0.313237       0.000000
       0.685000       0.313484       0.000000
       0.686000       0.313731       0.000000
       0.687000       0.313977       0.000000
       0.688000       0.314221       0.000000
       0.689000       0.314464       0.000000
       0.690000       0.314710       0.000000
       0.691000       0.314958       0.000000
       0.692000       0.315207       0.000000
       0.693000       0.315456       0.000000
       0.694000       0.315703       0.000000
       0.695000       0.315948       0.000000
       0.696000       0.316192       0.000000
       0.697000       0.316435       0.000000
       0.698000       0.316678       0.000000
       0.699000       0.316921       0.000000
       0.700000       0.317163       0.000000
       0.701000       0.317407       0.000000
       0.702000       0.317651       0.000000
       0.703000       0.317896       0.000000
       0.704000       0.318141       0.000000
       0.705000       0.318386       0.000000
       0.706000       0.318630       0.000000
       0.707000       0.318871       0.000000
       0.708000       0.319106       0.000000
       0.709000       0.319336       0.000000
       0.710000       0.319564       0.000000
       0.711000       0.319793       0.000000
       0.712000       0.320027       0.000000
       0.713000       0.320261       0.000000
       0.714000       0.320492       0.000000
       0.715000       0.320714       0.000000
       0.716000       0.320930       0.000000
       0.717000       0.321146       0.000000
       0.718000       0.321363       0.000000
       0.719000       0.321580       0.000000
       0.720000       0.321792       0.000000
       0.721000       0.321997       0.000000
       0.722000       0.322198       0.000000
       0.723000       0.322397       0.000000
       0.724000       0.322598       0.000000
       0.725000       0.322799       0.000000
       0.726000       0.322998       0.000000
       0.727000       0.323194       0.000000
       0.728000       0.323386       0.000000
       0.729000       0.323572       0.000000
       0.730000       0.323753       0.000000
       0.731000       0.323927       0.000000
       0.732000       0.324097       0.000000
       0.733000       0.324263       0.000000
       0.734000       0.324424       0.000000
       0.735000       0.324581       0.000000
       0.736000       0.324734       0.000000
       0.737000       0.324884       0.000000
       0.738000       0.325032       0.000000
       0.739000       0.325178       0.000000
       0.740000       0.325321       0.000000
       0.741000       0.325457       0.000000
       0.742000       0.325587       0.000000
       0.743000       0.325714       0.000000
       0.744000       0.325843       0.000000
       0.745000       0.325978       0.000000
       0.746000       0.326113       0.000000
       0.747000       0.326238       0.000000
       0.748000       0.326347       0.000000
       0.749000       0.326447       0.000000
       0.750000       0.326547       0.000000
       0.751000       0.326651       0.000000
       0.752000       0.326758       0.000000
       0.753000       0.326862       0.000000
       0.754000       0.326959       0.000000
       0.755000       0.327048       0.000000
       0.756000       0.327127       0.000000
       0.757000       0.327199       0.000000
       0.758000       0.327266       0.000000
       0.759000       0.327335       0.000000
       0.760000       0.327407       0.000000
       0.761000       0.327477       0.000000
       0.762000       0.327538       0.000000
       0.763000       0.327583       0.000000
       0.764000       0.327615       0.000000
       0.765000       0.327638       0.000000
       0.766000       0.327654       0.000000
       0.767000       0.327667       0.000000
       0.768000       0.327678       0.000000
       0.769000       0.327688       0.000000
       0.770000       0.327695       0.000000
       0.771000       0.327699       0.000000
       0.772000       0.327697       0.000000
       0.773000       0.327689       0.000000
       0.774000       0.327675       0.000000
       0.775000       0.327655       0.000000
       0.776000       0.327630       0.000000
       0.777000       0.327601       0.000000
       0.778000       0.327569       0.000000
       0.779000       0.327534       0.000000
       0.780000       0.327494       0.000000
       0.781000       0.327448       0.000000
       0.782000       0.327396       0.000000
       0.783000       0.327339       0.000000
       0.784000       0.327277       0.000000
       0.785000       0.327210       0.000000
       0.786000       0.327134       0.000000
       0.787000       0.327051       0.000000
       0.788000       0.326962       0.000000
       0.789000       0.326872       0.000000
       0.790000       0.326784       0.000000
       0.791000       0.326696       0.000000
       0.792000       0.326602       0.000000
       0.793000       0.326500       0.000000
       0.794000       0.326390       0.000000
       0.795000       0.326274       0.000000
       0.796000       0.326153       0.000000
       0.797000       0.326031       0.000000
       0.798000       0.325909       0.000000
       0.799000       0.325788       0.000000
       0.800000       0.325667       0.000000
       0.801000       0.325545       0.000000
       0.802000       0.325420       0.000000
       0.803000       0.325290       0.000000
       0.804000       0.325156       0.000000
       0.805000       0.325017       0.000000
