USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Antigorite+.33DryGrass AMX25 W1R1Fa AREF
copy of splib05a r 12029                                    
       0.350000       0.101743       0.000000
       0.351000       0.101743       0.000000
       0.352000       0.101743       0.000000
       0.353000       0.101743       0.000000
       0.354000       0.101743       0.000000
       0.355000       0.102001       0.000000
       0.356000       0.102253       0.000000
       0.357000       0.102495       0.000000
       0.358000       0.102725       0.000000
       0.359000       0.102968       0.000000
       0.360000       0.103252       0.000000
       0.361000       0.103596       0.000000
       0.362000       0.103972       0.000000
       0.363000       0.104339       0.000000
       0.364000       0.104670       0.000000
       0.365000       0.104984       0.000000
       0.366000       0.105310       0.000000
       0.367000       0.105673       0.000000
       0.368000       0.106059       0.000000
       0.369000       0.106449       0.000000
       0.370000       0.106827       0.000000
       0.371000       0.107197       0.000000
       0.372000       0.107566       0.000000
       0.373000       0.107939       0.000000
       0.374000       0.108313       0.000000
       0.375000       0.108683       0.000000
       0.376000       0.109046       0.000000
       0.377000       0.109396       0.000000
       0.378000       0.109728       0.000000
       0.379000       0.110042       0.000000
       0.380000       0.110349       0.000000
       0.381000       0.110667       0.000000
       0.382000       0.111007       0.000000
       0.383000       0.111365       0.000000
       0.384000       0.111734       0.000000
       0.385000       0.112112       0.000000
       0.386000       0.112516       0.000000
       0.387000       0.112967       0.000000
       0.388000       0.113480       0.000000
       0.389000       0.114038       0.000000
       0.390000       0.114615       0.000000
       0.391000       0.115192       0.000000
       0.392000       0.115775       0.000000
       0.393000       0.116375       0.000000
       0.394000       0.116999       0.000000
       0.395000       0.117624       0.000000
       0.396000       0.118221       0.000000
       0.397000       0.118767       0.000000
       0.398000       0.119265       0.000000
       0.399000       0.119722       0.000000
       0.400000       0.120144       0.000000
       0.401000       0.120532       0.000000
       0.402000       0.120882       0.000000
       0.403000       0.121196       0.000000
       0.404000       0.121486       0.000000
       0.405000       0.121768       0.000000
       0.406000       0.122053       0.000000
       0.407000       0.122337       0.000000
       0.408000       0.122611       0.000000
       0.409000       0.122869       0.000000
       0.410000       0.123124       0.000000
       0.411000       0.123390       0.000000
       0.412000       0.123678       0.000000
       0.413000       0.123985       0.000000
       0.414000       0.124306       0.000000
       0.415000       0.124635       0.000000
       0.416000       0.124970       0.000000
       0.417000       0.125310       0.000000
       0.418000       0.125654       0.000000
       0.419000       0.126003       0.000000
       0.420000       0.126360       0.000000
       0.421000       0.126723       0.000000
       0.422000       0.127084       0.000000
       0.423000       0.127431       0.000000
       0.424000       0.127757       0.000000
       0.425000       0.128074       0.000000
       0.426000       0.128399       0.000000
       0.427000       0.128744       0.000000
       0.428000       0.129096       0.000000
       0.429000       0.129440       0.000000
       0.430000       0.129763       0.000000
       0.431000       0.130079       0.000000
       0.432000       0.130408       0.000000
       0.433000       0.130762       0.000000
       0.434000       0.131133       0.000000
       0.435000       0.131506       0.000000
       0.436000       0.131871       0.000000
       0.437000       0.132235       0.000000
       0.438000       0.132608       0.000000
       0.439000       0.132998       0.000000
       0.440000       0.133401       0.000000
       0.441000       0.133809       0.000000
       0.442000       0.134217       0.000000
       0.443000       0.134627       0.000000
       0.444000       0.135043       0.000000
       0.445000       0.135468       0.000000
       0.446000       0.135895       0.000000
       0.447000       0.136315       0.000000
       0.448000       0.136722       0.000000
       0.449000       0.137117       0.000000
       0.450000       0.137503       0.000000
       0.451000       0.137883       0.000000
       0.452000       0.138255       0.000000
       0.453000       0.138615       0.000000
       0.454000       0.138962       0.000000
       0.455000       0.139304       0.000000
       0.456000       0.139648       0.000000
       0.457000       0.140001       0.000000
       0.458000       0.140365       0.000000
       0.459000       0.140736       0.000000
       0.460000       0.141117       0.000000
       0.461000       0.141518       0.000000
       0.462000       0.141951       0.000000
       0.463000       0.142424       0.000000
       0.464000       0.142934       0.000000
       0.465000       0.143472       0.000000
       0.466000       0.144029       0.000000
       0.467000       0.144605       0.000000
       0.468000       0.145199       0.000000
       0.469000       0.145810       0.000000
       0.470000       0.146428       0.000000
       0.471000       0.147044       0.000000
       0.472000       0.147647       0.000000
       0.473000       0.148232       0.000000
       0.474000       0.148794       0.000000
       0.475000       0.149329       0.000000
       0.476000       0.149838       0.000000
       0.477000       0.150321       0.000000
       0.478000       0.150779       0.000000
       0.479000       0.151215       0.000000
       0.480000       0.151628       0.000000
       0.481000       0.152020       0.000000
       0.482000       0.152395       0.000000
       0.483000       0.152755       0.000000
       0.484000       0.153102       0.000000
       0.485000       0.153437       0.000000
       0.486000       0.153756       0.000000
       0.487000       0.154060       0.000000
       0.488000       0.154353       0.000000
       0.489000       0.154641       0.000000
       0.490000       0.154930       0.000000
       0.491000       0.155216       0.000000
       0.492000       0.155498       0.000000
       0.493000       0.155775       0.000000
       0.494000       0.156051       0.000000
       0.495000       0.156332       0.000000
       0.496000       0.156625       0.000000
       0.497000       0.156925       0.000000
       0.498000       0.157227       0.000000
       0.499000       0.157529       0.000000
       0.500000       0.157829       0.000000
       0.501000       0.158126       0.000000
       0.502000       0.158421       0.000000
       0.503000       0.158712       0.000000
       0.504000       0.158997       0.000000
       0.505000       0.159275       0.000000
       0.506000       0.159548       0.000000
       0.507000       0.159819       0.000000
       0.508000       0.160090       0.000000
       0.509000       0.160359       0.000000
       0.510000       0.160622       0.000000
       0.511000       0.160877       0.000000
       0.512000       0.161125       0.000000
       0.513000       0.161366       0.000000
       0.514000       0.161603       0.000000
       0.515000       0.161836       0.000000
       0.516000       0.162066       0.000000
       0.517000       0.162294       0.000000
       0.518000       0.162518       0.000000
       0.519000       0.162737       0.000000
       0.520000       0.162951       0.000000
       0.521000       0.163159       0.000000
       0.522000       0.163362       0.000000
       0.523000       0.163562       0.000000
       0.524000       0.163759       0.000000
       0.525000       0.163955       0.000000
       0.526000       0.164151       0.000000
       0.527000       0.164344       0.000000
       0.528000       0.164535       0.000000
       0.529000       0.164720       0.000000
       0.530000       0.164904       0.000000
       0.531000       0.165088       0.000000
       0.532000       0.165275       0.000000
       0.533000       0.165463       0.000000
       0.534000       0.165650       0.000000
       0.535000       0.165835       0.000000
       0.536000       0.166016       0.000000
       0.537000       0.166194       0.000000
       0.538000       0.166370       0.000000
       0.539000       0.166545       0.000000
       0.540000       0.166723       0.000000
       0.541000       0.166906       0.000000
       0.542000       0.167097       0.000000
       0.543000       0.167296       0.000000
       0.544000       0.167503       0.000000
       0.545000       0.167707       0.000000
       0.546000       0.167893       0.000000
       0.547000       0.168051       0.000000
       0.548000       0.168189       0.000000
       0.549000       0.168321       0.000000
       0.550000       0.168457       0.000000
       0.551000       0.168599       0.000000
       0.552000       0.168749       0.000000
       0.553000       0.168905       0.000000
       0.554000       0.169065       0.000000
       0.555000       0.169227       0.000000
       0.556000       0.169388       0.000000
       0.557000       0.169548       0.000000
       0.558000       0.169706       0.000000
       0.559000       0.169864       0.000000
       0.560000       0.170020       0.000000
       0.561000       0.170174       0.000000
       0.562000       0.170327       0.000000
       0.563000       0.170479       0.000000
       0.564000       0.170629       0.000000
       0.565000       0.170778       0.000000
       0.566000       0.170925       0.000000
       0.567000       0.171070       0.000000
       0.568000       0.171212       0.000000
       0.569000       0.171355       0.000000
       0.570000       0.171498       0.000000
       0.571000       0.171642       0.000000
       0.572000       0.171789       0.000000
       0.573000       0.171936       0.000000
       0.574000       0.172085       0.000000
       0.575000       0.172233       0.000000
       0.576000       0.172380       0.000000
       0.577000       0.172526       0.000000
       0.578000       0.172669       0.000000
       0.579000       0.172807       0.000000
       0.580000       0.172939       0.000000
       0.581000       0.173068       0.000000
       0.582000       0.173196       0.000000
       0.583000       0.173326       0.000000
       0.584000       0.173458       0.000000
       0.585000       0.173592       0.000000
       0.586000       0.173726       0.000000
       0.587000       0.173861       0.000000
       0.588000       0.173995       0.000000
       0.589000       0.174127       0.000000
       0.590000       0.174259       0.000000
       0.591000       0.174391       0.000000
       0.592000       0.174524       0.000000
       0.593000       0.174659       0.000000
       0.594000       0.174793       0.000000
       0.595000       0.174927       0.000000
       0.596000       0.175060       0.000000
       0.597000       0.175191       0.000000
       0.598000       0.175322       0.000000
       0.599000       0.175451       0.000000
       0.600000       0.175578       0.000000
       0.601000       0.175702       0.000000
       0.602000       0.175823       0.000000
       0.603000       0.175943       0.000000
       0.604000       0.176061       0.000000
       0.605000       0.176177       0.000000
       0.606000       0.176291       0.000000
       0.607000       0.176402       0.000000
       0.608000       0.176512       0.000000
       0.609000       0.176622       0.000000
       0.610000       0.176731       0.000000
       0.611000       0.176840       0.000000
       0.612000       0.176948       0.000000
       0.613000       0.177053       0.000000
       0.614000       0.177157       0.000000
       0.615000       0.177259       0.000000
       0.616000       0.177361       0.000000
       0.617000       0.177465       0.000000
       0.618000       0.177570       0.000000
       0.619000       0.177679       0.000000
       0.620000       0.177789       0.000000
       0.621000       0.177900       0.000000
       0.622000       0.178010       0.000000
       0.623000       0.178119       0.000000
       0.624000       0.178228       0.000000
       0.625000       0.178338       0.000000
       0.626000       0.178446       0.000000
       0.627000       0.178551       0.000000
       0.628000       0.178650       0.000000
       0.629000       0.178744       0.000000
       0.630000       0.178833       0.000000
       0.631000       0.178917       0.000000
       0.632000       0.178998       0.000000
       0.633000       0.179077       0.000000
       0.634000       0.179155       0.000000
       0.635000       0.179232       0.000000
       0.636000       0.179309       0.000000
       0.637000       0.179385       0.000000
       0.638000       0.179462       0.000000
       0.639000       0.179540       0.000000
       0.640000       0.179619       0.000000
       0.641000       0.179698       0.000000
       0.642000       0.179777       0.000000
       0.643000       0.179853       0.000000
       0.644000       0.179927       0.000000
       0.645000       0.180002       0.000000
       0.646000       0.180077       0.000000
       0.647000       0.180152       0.000000
       0.648000       0.180228       0.000000
       0.649000       0.180303       0.000000
       0.650000       0.180378       0.000000
       0.651000       0.180454       0.000000
       0.652000       0.180531       0.000000
       0.653000       0.180609       0.000000
       0.654000       0.180687       0.000000
       0.655000       0.180765       0.000000
       0.656000       0.180843       0.000000
       0.657000       0.180921       0.000000
       0.658000       0.181001       0.000000
       0.659000       0.181082       0.000000
       0.660000       0.181162       0.000000
       0.661000       0.181240       0.000000
       0.662000       0.181317       0.000000
       0.663000       0.181393       0.000000
       0.664000       0.181469       0.000000
       0.665000       0.181543       0.000000
       0.666000       0.181618       0.000000
       0.667000       0.181694       0.000000
       0.668000       0.181771       0.000000
       0.669000       0.181850       0.000000
       0.670000       0.181930       0.000000
       0.671000       0.182013       0.000000
       0.672000       0.182098       0.000000
       0.673000       0.182187       0.000000
       0.674000       0.182278       0.000000
       0.675000       0.182372       0.000000
       0.676000       0.182468       0.000000
       0.677000       0.182566       0.000000
       0.678000       0.182665       0.000000
       0.679000       0.182764       0.000000
       0.680000       0.182867       0.000000
       0.681000       0.182975       0.000000
       0.682000       0.183090       0.000000
       0.683000       0.183212       0.000000
       0.684000       0.183343       0.000000
       0.685000       0.183480       0.000000
       0.686000       0.183623       0.000000
       0.687000       0.183771       0.000000
       0.688000       0.183922       0.000000
       0.689000       0.184075       0.000000
       0.690000       0.184230       0.000000
       0.691000       0.184387       0.000000
       0.692000       0.184544       0.000000
       0.693000       0.184700       0.000000
       0.694000       0.184854       0.000000
       0.695000       0.185007       0.000000
       0.696000       0.185157       0.000000
       0.697000       0.185305       0.000000
       0.698000       0.185451       0.000000
       0.699000       0.185595       0.000000
       0.700000       0.185737       0.000000
       0.701000       0.185876       0.000000
       0.702000       0.186012       0.000000
       0.703000       0.186144       0.000000
       0.704000       0.186273       0.000000
       0.705000       0.186401       0.000000
       0.706000       0.186527       0.000000
       0.707000       0.186652       0.000000
       0.708000       0.186774       0.000000
       0.709000       0.186894       0.000000
       0.710000       0.187011       0.000000
       0.711000       0.187124       0.000000
       0.712000       0.187234       0.000000
       0.713000       0.187341       0.000000
       0.714000       0.187447       0.000000
       0.715000       0.187552       0.000000
       0.716000       0.187656       0.000000
       0.717000       0.187758       0.000000
       0.718000       0.187857       0.000000
       0.719000       0.187954       0.000000
       0.720000       0.188048       0.000000
       0.721000       0.188139       0.000000
       0.722000       0.188230       0.000000
       0.723000       0.188320       0.000000
       0.724000       0.188410       0.000000
       0.725000       0.188500       0.000000
       0.726000       0.188591       0.000000
       0.727000       0.188681       0.000000
       0.728000       0.188770       0.000000
       0.729000       0.188857       0.000000
       0.730000       0.188943       0.000000
       0.731000       0.189026       0.000000
       0.732000       0.189108       0.000000
       0.733000       0.189189       0.000000
       0.734000       0.189269       0.000000
       0.735000       0.189350       0.000000
       0.736000       0.189430       0.000000
       0.737000       0.189511       0.000000
       0.738000       0.189592       0.000000
       0.739000       0.189672       0.000000
       0.740000       0.189752       0.000000
       0.741000       0.189830       0.000000
       0.742000       0.189907       0.000000
       0.743000       0.189983       0.000000
       0.744000       0.190060       0.000000
       0.745000       0.190136       0.000000
       0.746000       0.190213       0.000000
       0.747000       0.190291       0.000000
       0.748000       0.190369       0.000000
       0.749000       0.190448       0.000000
       0.750000       0.190526       0.000000
       0.751000       0.190604       0.000000
       0.752000       0.190682       0.000000
       0.753000       0.190759       0.000000
       0.754000       0.190836       0.000000
       0.755000       0.190913       0.000000
       0.756000       0.190991       0.000000
       0.757000       0.191070       0.000000
       0.758000       0.191150       0.000000
       0.759000       0.191229       0.000000
       0.760000       0.191309       0.000000
       0.761000       0.191389       0.000000
       0.762000       0.191468       0.000000
       0.763000       0.191547       0.000000
       0.764000       0.191625       0.000000
       0.765000       0.191702       0.000000
       0.766000       0.191778       0.000000
       0.767000       0.191854       0.000000
       0.768000       0.191929       0.000000
       0.769000       0.192004       0.000000
       0.770000       0.192079       0.000000
       0.771000       0.192153       0.000000
       0.772000       0.192224       0.000000
       0.773000       0.192293       0.000000
       0.774000       0.192361       0.000000
       0.775000       0.192428       0.000000
       0.776000       0.192496       0.000000
       0.777000       0.192563       0.000000
       0.778000       0.192629       0.000000
       0.779000       0.192694       0.000000
       0.780000       0.192759       0.000000
       0.781000       0.192823       0.000000
       0.782000       0.192886       0.000000
       0.783000       0.192949       0.000000
       0.784000       0.193010       0.000000
       0.785000       0.193070       0.000000
       0.786000       0.193128       0.000000
       0.787000       0.193184       0.000000
       0.788000       0.193238       0.000000
       0.789000       0.193290       0.000000
       0.790000       0.193341       0.000000
       0.791000       0.193389       0.000000
       0.792000       0.193437       0.000000
       0.793000       0.193483       0.000000
       0.794000       0.193528       0.000000
       0.795000       0.193571       0.000000
       0.796000       0.193613       0.000000
       0.797000       0.193652       0.000000
       0.798000       0.193691       0.000000
       0.799000       0.193728       0.000000
       0.800000       0.193764       0.000000
       0.801000       0.193799       0.000000
       0.802000       0.193830       0.000000
       0.803000       0.193860       0.000000
       0.804000       0.193888       0.000000
       0.805000       0.193915       0.000000
