USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cactus Opuntia-1 Purple_pad  W1R1Fa AREF
copy of splib05a r 10802                                    
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000      -1.23e34       -1.23e34 
       0.357000      -1.23e34       -1.23e34 
       0.358000      -1.23e34       -1.23e34 
       0.359000      -1.23e34       -1.23e34 
       0.360000      -1.23e34       -1.23e34 
       0.361000      -1.23e34       -1.23e34 
       0.362000      -1.23e34       -1.23e34 
       0.363000      -1.23e34       -1.23e34 
       0.364000      -1.23e34       -1.23e34 
       0.365000      -1.23e34       -1.23e34 
       0.366000      -1.23e34       -1.23e34 
       0.367000      -1.23e34       -1.23e34 
       0.368000      -1.23e34       -1.23e34 
       0.369000      -1.23e34       -1.23e34 
       0.370000      -1.23e34       -1.23e34 
       0.371000      -1.23e34       -1.23e34 
       0.372000      -1.23e34       -1.23e34 
       0.373000      -1.23e34       -1.23e34 
       0.374000      -1.23e34       -1.23e34 
       0.375000      -1.23e34       -1.23e34 
       0.376000      -1.23e34       -1.23e34 
       0.377000      -1.23e34       -1.23e34 
       0.378000      -1.23e34       -1.23e34 
       0.379000      -1.23e34       -1.23e34 
       0.380000      -1.23e34       -1.23e34 
       0.381000      -1.23e34       -1.23e34 
       0.382000      -1.23e34       -1.23e34 
       0.383000      -1.23e34       -1.23e34 
       0.384000      -1.23e34       -1.23e34 
       0.385000      -1.23e34       -1.23e34 
       0.386000      -1.23e34       -1.23e34 
       0.387000      -1.23e34       -1.23e34 
       0.388000      -1.23e34       -1.23e34 
       0.389000      -1.23e34       -1.23e34 
       0.390000      -1.23e34       -1.23e34 
       0.391000      -1.23e34       -1.23e34 
       0.392000      -1.23e34       -1.23e34 
       0.393000      -1.23e34       -1.23e34 
       0.394000      -1.23e34       -1.23e34 
       0.395000      -1.23e34       -1.23e34 
       0.396000      -1.23e34       -1.23e34 
       0.397000      -1.23e34       -1.23e34 
       0.398000      -1.23e34       -1.23e34 
       0.399000      -1.23e34       -1.23e34 
       0.400000      -1.23e34       -1.23e34 
       0.401000      -1.23e34       -1.23e34 
       0.402000      -1.23e34       -1.23e34 
       0.403000      -1.23e34       -1.23e34 
       0.404000      -1.23e34       -1.23e34 
       0.405000      -1.23e34       -1.23e34 
       0.406000      -1.23e34       -1.23e34 
       0.407000      -1.23e34       -1.23e34 
       0.408000      -1.23e34       -1.23e34 
       0.409000      -1.23e34       -1.23e34 
       0.410000      -1.23e34       -1.23e34 
       0.411000      -1.23e34       -1.23e34 
       0.412000      -1.23e34       -1.23e34 
       0.413000      -1.23e34       -1.23e34 
       0.414000       0.110428       0.000000
       0.415000       0.111437       0.000000
       0.416000       0.112594       0.000000
       0.417000       0.113908       0.000000
       0.418000       0.115387       0.000000
       0.419000       0.117052       0.000000
       0.420000       0.118922       0.000000
       0.421000       0.121012       0.000000
       0.422000       0.123309       0.000000
       0.423000       0.125794       0.000000
       0.424000       0.128447       0.000000
       0.425000       0.131254       0.000000
       0.426000       0.134199       0.000000
       0.427000       0.137276       0.000000
       0.428000       0.140512       0.000000
       0.429000       0.143940       0.000000
       0.430000       0.147579       0.000000
       0.431000       0.151381       0.000000
       0.432000       0.155280       0.000000
       0.433000       0.159211       0.000000
       0.434000       0.163097       0.000000
       0.435000       0.166859       0.000000
       0.436000       0.170436       0.000000
       0.437000       0.173846       0.000000
       0.438000       0.177122       0.000000
       0.439000       0.180289       0.000000
       0.440000       0.183334       0.000000
       0.441000       0.186235       0.000000
       0.442000       0.188971       0.000000
       0.443000       0.191525       0.000000
       0.444000       0.193885       0.000000
       0.445000       0.196039       0.000000
       0.446000       0.197997       0.000000
       0.447000       0.199770       0.000000
       0.448000       0.201369       0.000000
       0.449000       0.202794       0.000000
       0.450000       0.204044       0.000000
       0.451000       0.205118       0.000000
       0.452000       0.206019       0.000000
       0.453000       0.206753       0.000000
       0.454000       0.207325       0.000000
       0.455000       0.207739       0.000000
       0.456000       0.208001       0.000000
       0.457000       0.208117       0.000000
       0.458000       0.208096       0.000000
       0.459000       0.207948       0.000000
       0.460000       0.207685       0.000000
       0.461000       0.207320       0.000000
       0.462000       0.206870       0.000000
       0.463000       0.206346       0.000000
       0.464000       0.205749       0.000000
       0.465000       0.205078       0.000000
       0.466000       0.204332       0.000000
       0.467000       0.203516       0.000000
       0.468000       0.202633       0.000000
       0.469000       0.201691       0.000000
       0.470000       0.200700       0.000000
       0.471000       0.199670       0.000000
       0.472000       0.198611       0.000000
       0.473000       0.197522       0.000000
       0.474000       0.196405       0.000000
       0.475000       0.195259       0.000000
       0.476000       0.194092       0.000000
       0.477000       0.192913       0.000000
       0.478000       0.191728       0.000000
       0.479000       0.190540       0.000000
       0.480000       0.189349       0.000000
       0.481000       0.188155       0.000000
       0.482000       0.186964       0.000000
       0.483000       0.185781       0.000000
       0.484000       0.184609       0.000000
       0.485000       0.183433       0.000000
       0.486000       0.182231       0.000000
       0.487000       0.180993       0.000000
       0.488000       0.179740       0.000000
       0.489000       0.178503       0.000000
       0.490000       0.177309       0.000000
       0.491000       0.176170       0.000000
       0.492000       0.175094       0.000000
       0.493000       0.174085       0.000000
       0.494000       0.173129       0.000000
       0.495000       0.172206       0.000000
       0.496000       0.171301       0.000000
       0.497000       0.170416       0.000000
       0.498000       0.169557       0.000000
       0.499000       0.168729       0.000000
       0.500000       0.167923       0.000000
       0.501000       0.167130       0.000000
       0.502000       0.166345       0.000000
       0.503000       0.165578       0.000000
       0.504000       0.164844       0.000000
       0.505000       0.164153       0.000000
       0.506000       0.163507       0.000000
       0.507000       0.162902       0.000000
       0.508000       0.162334       0.000000
       0.509000       0.161799       0.000000
       0.510000       0.161295       0.000000
       0.511000       0.160817       0.000000
       0.512000       0.160370       0.000000
       0.513000       0.159956       0.000000
       0.514000       0.159578       0.000000
       0.515000       0.159220       0.000000
       0.516000       0.158863       0.000000
       0.517000       0.158493       0.000000
       0.518000       0.158123       0.000000
       0.519000       0.157769       0.000000
       0.520000       0.157447       0.000000
       0.521000       0.157163       0.000000
       0.522000       0.156919       0.000000
       0.523000       0.156714       0.000000
       0.524000       0.156530       0.000000
       0.525000       0.156344       0.000000
       0.526000       0.156141       0.000000
       0.527000       0.155927       0.000000
       0.528000       0.155714       0.000000
       0.529000       0.155513       0.000000
       0.530000       0.155324       0.000000
       0.531000       0.155147       0.000000
       0.532000       0.154981       0.000000
       0.533000       0.154824       0.000000
       0.534000       0.154677       0.000000
       0.535000       0.154538       0.000000
       0.536000       0.154411       0.000000
       0.537000       0.154298       0.000000
       0.538000       0.154202       0.000000
       0.539000       0.154118       0.000000
       0.540000       0.154042       0.000000
       0.541000       0.153970       0.000000
       0.542000       0.153914       0.000000
       0.543000       0.153886       0.000000
       0.544000       0.153895       0.000000
       0.545000       0.153938       0.000000
       0.546000       0.154007       0.000000
       0.547000       0.154095       0.000000
       0.548000       0.154207       0.000000
       0.549000       0.154347       0.000000
       0.550000       0.154517       0.000000
       0.551000       0.154714       0.000000
       0.552000       0.154931       0.000000
       0.553000       0.155164       0.000000
       0.554000       0.155413       0.000000
       0.555000       0.155685       0.000000
       0.556000       0.155980       0.000000
       0.557000       0.156294       0.000000
       0.558000       0.156623       0.000000
       0.559000       0.156962       0.000000
       0.560000       0.157322       0.000000
       0.561000       0.157711       0.000000
       0.562000       0.158142       0.000000
       0.563000       0.158614       0.000000
       0.564000       0.159129       0.000000
       0.565000       0.159685       0.000000
       0.566000       0.160276       0.000000
       0.567000       0.160893       0.000000
       0.568000       0.161533       0.000000
       0.569000       0.162205       0.000000
       0.570000       0.162923       0.000000
       0.571000       0.163698       0.000000
       0.572000       0.164530       0.000000
       0.573000       0.165416       0.000000
       0.574000       0.166356       0.000000
       0.575000       0.167355       0.000000
       0.576000       0.168421       0.000000
       0.577000       0.169561       0.000000
       0.578000       0.170787       0.000000
       0.579000       0.172110       0.000000
       0.580000       0.173538       0.000000
       0.581000       0.175066       0.000000
       0.582000       0.176685       0.000000
       0.583000       0.178389       0.000000
       0.584000       0.180187       0.000000
       0.585000       0.182092       0.000000
       0.586000       0.184112       0.000000
       0.587000       0.186244       0.000000
       0.588000       0.188482       0.000000
       0.589000       0.190825       0.000000
       0.590000       0.193299       0.000000
       0.591000       0.195934       0.000000
       0.592000       0.198751       0.000000
       0.593000       0.201726       0.000000
       0.594000       0.204827       0.000000
       0.595000       0.208025       0.000000
       0.596000       0.211315       0.000000
       0.597000       0.214695       0.000000
       0.598000       0.218159       0.000000
       0.599000       0.221688       0.000000
       0.600000       0.225260       0.000000
       0.601000       0.228855       0.000000
       0.602000       0.232466       0.000000
       0.603000       0.236089       0.000000
       0.604000       0.239715       0.000000
       0.605000       0.243308       0.000000
       0.606000       0.246830       0.000000
       0.607000       0.250249       0.000000
       0.608000       0.253567       0.000000
       0.609000       0.256795       0.000000
       0.610000       0.259946       0.000000
       0.611000       0.263032       0.000000
       0.612000       0.266065       0.000000
       0.613000       0.269053       0.000000
       0.614000       0.271970       0.000000
       0.615000       0.274787       0.000000
       0.616000       0.277482       0.000000
       0.617000       0.280075       0.000000
       0.618000       0.282594       0.000000
       0.619000       0.285062       0.000000
       0.620000       0.287478       0.000000
       0.621000       0.289835       0.000000
       0.622000       0.292129       0.000000
       0.623000       0.294362       0.000000
       0.624000       0.296538       0.000000
       0.625000       0.298664       0.000000
       0.626000       0.300754       0.000000
       0.627000       0.302826       0.000000
       0.628000       0.304888       0.000000
       0.629000       0.306917       0.000000
       0.630000       0.308881       0.000000
       0.631000       0.310750       0.000000
       0.632000       0.312507       0.000000
       0.633000       0.314136       0.000000
       0.634000       0.315621       0.000000
       0.635000       0.316932       0.000000
       0.636000       0.318037       0.000000
       0.637000       0.318905       0.000000
       0.638000       0.319503       0.000000
       0.639000       0.319798       0.000000
       0.640000       0.319770       0.000000
       0.641000       0.319443       0.000000
       0.642000       0.318854       0.000000
       0.643000       0.318039       0.000000
       0.644000       0.317032       0.000000
       0.645000       0.315869       0.000000
       0.646000       0.314586       0.000000
       0.647000       0.313231       0.000000
       0.648000       0.311854       0.000000
       0.649000       0.310507       0.000000
       0.650000       0.309248       0.000000
       0.651000       0.308139       0.000000
       0.652000       0.307209       0.000000
       0.653000       0.306374       0.000000
       0.654000       0.305517       0.000000
       0.655000       0.304541       0.000000
       0.656000       0.303413       0.000000
       0.657000       0.302119       0.000000
       0.658000       0.300651       0.000000
       0.659000       0.299024       0.000000
       0.660000       0.297260       0.000000
       0.661000       0.295380       0.000000
       0.662000       0.293386       0.000000
       0.663000       0.291281       0.000000
       0.664000       0.289076       0.000000
       0.665000       0.286838       0.000000
       0.666000       0.284641       0.000000
       0.667000       0.282556       0.000000
       0.668000       0.280613       0.000000
       0.669000       0.278838       0.000000
       0.670000       0.277249       0.000000
       0.671000       0.275849       0.000000
       0.672000       0.274633       0.000000
       0.673000       0.273598       0.000000
       0.674000       0.272739       0.000000
       0.675000       0.272050       0.000000
       0.676000       0.271526       0.000000
       0.677000       0.271155       0.000000
       0.678000       0.270925       0.000000
       0.679000       0.270840       0.000000
       0.680000       0.270961       0.000000
       0.681000       0.271367       0.000000
       0.682000       0.272132       0.000000
       0.683000       0.273321       0.000000
       0.684000       0.274996       0.000000
       0.685000       0.277231       0.000000
       0.686000       0.280149       0.000000
       0.687000       0.283882       0.000000
       0.688000       0.288561       0.000000
       0.689000       0.294297       0.000000
       0.690000       0.301199       0.000000
       0.691000       0.309346       0.000000
       0.692000       0.318714       0.000000
       0.693000       0.329250       0.000000
       0.694000       0.340902       0.000000
       0.695000       0.353629       0.000000
       0.696000       0.367389       0.000000
       0.697000       0.382123       0.000000
       0.698000       0.397689       0.000000
       0.699000       0.413930       0.000000
       0.700000       0.430709       0.000000
       0.701000       0.447973       0.000000
       0.702000       0.465690       0.000000
       0.703000       0.483798       0.000000
       0.704000       0.502107       0.000000
       0.705000       0.520398       0.000000
       0.706000       0.538492       0.000000
       0.707000       0.556368       0.000000
       0.708000       0.574042       0.000000
       0.709000       0.591530       0.000000
       0.710000       0.608838       0.000000
       0.711000       0.625969       0.000000
       0.712000       0.642913       0.000000
       0.713000       0.659596       0.000000
       0.714000       0.675928       0.000000
       0.715000       0.691818       0.000000
       0.716000       0.707160       0.000000
       0.717000       0.721850       0.000000
       0.718000       0.735882       0.000000
       0.719000       0.749677       0.000000
       0.720000       0.763758       0.000000
       0.721000       0.778448       0.000000
       0.722000       0.793269       0.000000
       0.723000       0.807544       0.000000
       0.724000       0.820761       0.000000
       0.725000       0.833086       0.000000
       0.726000       0.844853       0.000000
       0.727000       0.856316       0.000000
       0.728000       0.867400       0.000000
       0.729000       0.877950       0.000000
       0.730000       0.887856       0.000000
       0.731000       0.897200       0.000000
       0.732000       0.906107       0.000000
       0.733000       0.914668       0.000000
       0.734000       0.922819       0.000000
       0.735000       0.930462       0.000000
       0.736000       0.937529       0.000000
       0.737000       0.944083       0.000000
       0.738000       0.950218       0.000000
       0.739000       0.956019       0.000000
       0.740000       0.961528       0.000000
       0.741000       0.966777       0.000000
       0.742000       0.971793       0.000000
       0.743000       0.976590       0.000000
       0.744000       0.981173       0.000000
       0.745000       0.985544       0.000000
       0.746000       0.989684       0.000000
       0.747000       0.993566       0.000000
       0.748000       0.997167       0.000000
       0.749000       1.000485       0.000000
       0.750000       1.003523       0.000000
       0.751000       1.006294       0.000000
       0.752000       1.008849       0.000000
       0.753000       1.011253       0.000000
       0.754000       1.013548       0.000000
       0.755000       1.015701       0.000000
       0.756000       1.017661       0.000000
       0.757000       1.019388       0.000000
       0.758000       1.020899       0.000000
       0.759000       1.022222       0.000000
       0.760000       1.023386       0.000000
       0.761000       1.024421       0.000000
       0.762000       1.025355       0.000000
       0.763000       1.026216       0.000000
       0.764000       1.027035       0.000000
       0.765000       1.027841       0.000000
       0.766000       1.028661       0.000000
       0.767000       1.029526       0.000000
       0.768000       1.030463       0.000000
       0.769000       1.031503       0.000000
       0.770000       1.032674       0.000000
       0.771000       1.034005       0.000000
       0.772000       1.035490       0.000000
       0.773000       1.036980       0.000000
       0.774000       1.038293       0.000000
       0.775000       1.039299       0.000000
       0.776000       1.040087       0.000000
       0.777000       1.040802       0.000000
       0.778000       1.041556       0.000000
       0.779000       1.042341       0.000000
       0.780000       1.043117       0.000000
       0.781000       1.043853       0.000000
       0.782000       1.044552       0.000000
       0.783000       1.045226       0.000000
       0.784000       1.045889       0.000000
       0.785000       1.046547       0.000000
