USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Espruce-Sfir YNP-SF-5        W1R1Ab RTGC
copy of splib05a r 10965                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.017697       0.000000
       0.419190       0.017758       0.000000
       0.428970      -1.23e34       -1.23e34 
       0.438760       0.020069       0.000000
       0.448550       0.020189       0.000000
       0.458360       0.020550       0.000000
       0.468180       0.019908       0.000000
       0.478000       0.020247       0.000000
       0.487840       0.019472       0.000000
       0.497680       0.019856       0.000000
       0.507530       0.020706       0.000000
       0.517380       0.023869       0.000000
       0.527240       0.028272       0.000000
       0.537100       0.031853       0.000000
       0.546960       0.033800       0.000000
       0.556830       0.034964       0.000000
       0.566710       0.033672       0.000000
       0.576580       0.030464       0.000000
       0.586450       0.029458       0.000000
       0.596330       0.028736       0.000000
       0.606200       0.028575       0.000000
       0.616080       0.026792       0.000000
       0.625950       0.026286       0.000000
       0.635820       0.026058       0.000000
       0.645690       0.024983       0.000000
       0.655560       0.023769       0.000000
       0.665420       0.022489       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.022386       0.000000
       0.685190       0.024186       0.000000
       0.694780       0.033561       0.000000
       0.704370       0.051172       0.000000
       0.713960       0.072969       0.000000
       0.723550       0.100431       0.000000
       0.733140       0.129142       0.000000
       0.742730       0.151594       0.000000
       0.752320       0.164742       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.175536       0.000000
       0.781100       0.177019       0.000000
       0.790700       0.178164       0.000000
       0.800290       0.180103       0.000000
       0.809890       0.181353       0.000000
       0.819480       0.182644       0.000000
       0.829080       0.184619       0.000000
       0.838680       0.186197       0.000000
       0.848280       0.188106       0.000000
       0.857880       0.189892       0.000000
       0.867480       0.192264       0.000000
       0.877080       0.193133       0.000000
       0.886680       0.194728       0.000000
       0.896290       0.194206       0.000000
       0.905890       0.194714       0.000000
       0.915490       0.195514       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.185086       0.000000
       0.963520       0.182986       0.000000
       0.973130       0.183181       0.000000
       0.982740       0.183992       0.000000
       0.992350       0.186172       0.000000
       1.001960       0.189225       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.196467       0.000000
       1.030800       0.199908       0.000000
       1.040410       0.203553       0.000000
       1.050030       0.207031       0.000000
       1.059640       0.209686       0.000000
       1.069260       0.211694       0.000000
       1.078870       0.213053       0.000000
       1.088490       0.213564       0.000000
       1.098110       0.212700       0.000000
       1.107730       0.210739       0.000000
       1.117350       0.204769       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.172628       0.000000
       1.175080       0.170672       0.000000
       1.184700       0.168561       0.000000
       1.194330       0.167247       0.000000
       1.203950       0.167569       0.000000
       1.213580       0.169856       0.000000
       1.223210       0.173925       0.000000
       1.232830       0.178364       0.000000
       1.242460       0.182108       0.000000
       1.252090       0.184381       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.188403       0.000000
       1.274190       0.189586       0.000000
       1.284160       0.189100       0.000000
       1.294130       0.188169       0.000000
       1.304100       0.183939       0.000000
       1.314070       0.177392       0.000000
       1.324040       0.168353       0.000000
       1.334000       0.157453       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.064011       0.000000
       1.433650       0.059289       0.000000
       1.443610       0.056431       0.000000
       1.453570       0.055464       0.000000
       1.463530       0.055383       0.000000
       1.473490       0.057411       0.000000
       1.483450       0.060072       0.000000
       1.493410       0.062450       0.000000
       1.503370       0.065678       0.000000
       1.513320       0.069206       0.000000
       1.523280       0.072278       0.000000
       1.533240       0.076067       0.000000
       1.543190       0.079533       0.000000
       1.553150       0.083100       0.000000
       1.563100       0.085967       0.000000
       1.573050       0.089322       0.000000
       1.583010       0.091539       0.000000
       1.592960       0.094175       0.000000
       1.602910       0.097228       0.000000
       1.612860       0.099831       0.000000
       1.622810       0.102228       0.000000
       1.632760       0.103783       0.000000
       1.642710       0.105689       0.000000
       1.652660       0.106264       0.000000
       1.662610       0.105853       0.000000
       1.672560       0.106236       0.000000
       1.682510       0.106108       0.000000
       1.692460       0.103839       0.000000
       1.702400       0.101919       0.000000
       1.712350       0.099944       0.000000
       1.722290       0.098336       0.000000
       1.732240       0.097622       0.000000
       1.742180       0.096672       0.000000
       1.752120       0.094042       0.000000
       1.762070       0.092964       0.000000
       1.772010       0.091619       0.000000
       1.781950       0.090394       0.000000
       1.791890       0.089736       0.000000
       1.801830       0.089064       0.000000
       1.811770       0.087200       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.037464       0.000000
       1.959480       0.035331       0.000000
       1.969510       0.036644       0.000000
       1.979540       0.036842       0.000000
       1.989570       0.038058       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.042681       0.000000
       2.039670       0.043675       0.000000
       2.049690       0.043097       0.000000
       2.059700       0.044331       0.000000
       2.069700       0.044867       0.000000
       2.079710       0.045422       0.000000
       2.089710       0.046847       0.000000
       2.099710       0.046489       0.000000
       2.109710       0.048631       0.000000
       2.119710       0.048975       0.000000
       2.129700       0.049325       0.000000
       2.139690       0.050136       0.000000
       2.149680       0.051700       0.000000
       2.159660       0.052692       0.000000
       2.169650       0.053464       0.000000
       2.179630       0.054672       0.000000
       2.189610       0.055756       0.000000
       2.199580       0.055672       0.000000
       2.209550       0.057803       0.000000
       2.219520       0.056642       0.000000
       2.229490       0.057592       0.000000
       2.239460       0.055128       0.000000
       2.249420       0.053669       0.000000
       2.259380       0.051647       0.000000
       2.269340       0.049172       0.000000
       2.279300       0.047550       0.000000
       2.289250       0.045942       0.000000
       2.299200       0.044150       0.000000
       2.309150       0.041003       0.000000
       2.319090       0.040269       0.000000
       2.329040       0.040475       0.000000
       2.338980       0.040181       0.000000
       2.348920       0.039753       0.000000
       2.358850       0.036633       0.000000
       2.368780       0.037642       0.000000
       2.378710       0.035197       0.000000
       2.388640       0.036489       0.000000
       2.398570       0.033342       0.000000
       2.408490       0.031675       0.000000
       2.418410       0.030528       0.000000
       2.428330       0.029239       0.000000
       2.438250       0.028828       0.000000
       2.448160       0.026850       0.000000
       2.458070       0.029328       0.000000
       2.467980       0.027656       0.000000
       2.477880       0.029528       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
