USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Fir_Tree IH91-2              W1R1Ba AREF
copy of splib05a r 10974                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100      -1.23e34        0.000000
       0.305100      -1.23e34        0.000000
       0.309100      -1.23e34        0.000000
       0.313100      -1.23e34        0.000000
       0.317100      -1.23e34        0.000000
       0.321100      -1.23e34        0.000000
       0.325100      -1.23e34        0.000000
       0.329100      -1.23e34        0.000000
       0.333100      -1.23e34        0.000000
       0.337100      -1.23e34        0.000000
       0.341100      -1.23e34        0.000000
       0.345100      -1.23e34        0.000000
       0.349100      -1.23e34        0.000000
       0.353100       0.030723       0.000194
       0.357100       0.030729       0.000184
       0.360600       0.030795       0.000221
       0.363600       0.030321       0.000231
       0.366600       0.030476       0.000229
       0.369600       0.030437       0.000191
       0.372600       0.031487       0.000165
       0.375600       0.030833       0.000185
       0.378600       0.031765       0.000210
       0.381100       0.031271       0.000358
       0.383100       0.030572       0.000233
       0.385100       0.031525       0.000217
       0.387100       0.031099       0.000244
       0.389100       0.031586       0.000178
       0.391100       0.031170       0.000193
       0.393100       0.031746       0.000263
       0.395100       0.031671       0.000170
       0.397100       0.031836       0.000282
       0.399100       0.031264       0.000322
       0.401100       0.032260       0.000198
       0.403100       0.032345       0.000179
       0.405100       0.033227       0.000185
       0.407100       0.033365       0.000179
       0.409100       0.033556       0.000159
       0.411100       0.034508       0.000239
       0.412800       0.035735       0.000213
       0.415800       0.036212       0.000332
       0.418800       0.037679       0.000184
       0.421800       0.038777       0.000172
       0.424800       0.040065       0.000206
       0.427800       0.041225       0.000165
       0.430800       0.041825       0.000232
       0.433800       0.043327       0.000163
       0.436800       0.043955       0.000291
       0.439800       0.044476       0.000181
       0.442800       0.045354       0.000290
       0.445800       0.045781       0.000182
       0.448800       0.046975       0.000353
       0.451300       0.045763       0.000339
       0.453300       0.047733       0.000357
       0.455300       0.046862       0.000279
       0.457300       0.048222       0.000325
       0.459300       0.048756       0.000360
       0.461300       0.047801       0.000245
       0.463300       0.048490       0.000228
       0.465300       0.049103       0.000247
       0.467300       0.048294       0.000233
       0.469300       0.049465       0.000279
       0.471300       0.048997       0.000276
       0.473300       0.048848       0.000351
       0.475300       0.048436       0.000246
       0.477300       0.047922       0.000301
       0.479300       0.049184       0.000232
       0.481300       0.049181       0.000240
       0.483300       0.049469       0.000226
       0.485300       0.048736       0.000299
       0.487300       0.049869       0.000257
       0.489300       0.049233       0.000240
       0.491300       0.050013       0.000236
       0.493300       0.049931       0.000234
       0.495300       0.050850       0.000230
       0.497300       0.051655       0.000216
       0.499300       0.053024       0.000259
       0.501300       0.053720       0.000222
       0.503300       0.055001       0.000233
       0.505300       0.056455       0.000164
       0.507300       0.058416       0.000164
       0.509300       0.060441       0.000165
       0.511300       0.063701       0.000155
       0.513300       0.066198       0.000175
       0.515300       0.069672       0.000163
       0.517300       0.073400       0.000165
       0.519300       0.077715       0.000151
       0.521300       0.081974       0.000167
       0.523300       0.086647       0.000163
       0.525300       0.090535       0.000145
       0.527300       0.094854       0.000164
       0.529300       0.098448       0.000158
       0.531300       0.101574       0.000247
       0.533300       0.104756       0.000183
       0.535300       0.106592       0.000170
       0.537300       0.107987       0.000195
       0.539300       0.109249       0.000192
       0.541300       0.110103       0.000149
       0.543300       0.111707       0.000176
       0.545300       0.112700       0.000283
       0.547300       0.113925       0.000285
       0.549300       0.114143       0.000245
       0.551300       0.113572       0.000266
       0.553300       0.114202       0.000344
       0.555300       0.114138       0.000251
       0.557300       0.112386       0.000300
       0.559300       0.112100       0.000306
       0.561300       0.111186       0.000215
       0.563300       0.110427       0.000350
       0.565300       0.108541       0.000217
       0.567300       0.106549       0.000203
       0.569300       0.102713       0.000257
       0.571300       0.101171       0.000258
       0.573300       0.098226       0.000133
       0.575300       0.095861       0.000165
       0.577300       0.094184       0.000166
       0.579300       0.091818       0.000187
       0.581300       0.091632       0.000224
       0.583300       0.089261       0.000182
       0.585300       0.088647       0.000222
       0.587300       0.087146       0.000188
       0.589300       0.086126       0.000296
       0.591300       0.085378       0.000179
       0.593300       0.084729       0.000186
       0.595300       0.085110       0.000164
       0.597300       0.084039       0.000204
       0.599300       0.083867       0.000184
       0.601100       0.082611       0.000210
       0.602700       0.082662       0.000192
       0.604300       0.082833       0.000200
       0.605900       0.081447       0.000199
       0.607500       0.080984       0.000206
       0.609100       0.079274       0.000185
       0.610700       0.078966       0.000184
       0.612300       0.077386       0.000169
       0.613900       0.076993       0.000205
       0.615500       0.075906       0.000184
       0.617100       0.075220       0.000170
       0.618700       0.074069       0.000177
       0.620300       0.073858       0.000185
       0.621900       0.073773       0.000168
       0.623500       0.073226       0.000151
       0.625100       0.073585       0.000172
       0.626700       0.072816       0.000177
       0.628300       0.072497       0.000185
       0.629900       0.073291       0.000176
       0.631700       0.073183       0.000126
       0.633700       0.073052       0.000160
       0.635700       0.072921       0.000138
       0.637700       0.072014       0.000175
       0.639700       0.070917       0.000182
       0.641700       0.069293       0.000196
       0.643700       0.068394       0.000167
       0.645700       0.066048       0.000179
       0.647700       0.065361       0.000174
       0.649700       0.063649       0.000219
       0.651700       0.063470       0.000297
       0.653700       0.062768       0.000200
       0.655700       0.061694       0.000240
       0.657700       0.061935       0.000324
       0.659700       0.060645       0.000207
       0.661700       0.059068       0.000238
       0.663700       0.058232       0.000252
       0.665700       0.056874       0.000233
       0.667700       0.055733       0.000219
       0.670200       0.054975       0.000146
       0.673200       0.054643       0.000170
       0.676200       0.053699       0.000178
       0.679200       0.053859       0.000171
       0.682200       0.054920       0.000181
       0.685200       0.056128       0.000230
       0.688200       0.060984       0.000177
       0.691200       0.069791       0.000340
       0.694200       0.082205       0.000224
       0.697200       0.100598       0.000346
       0.700200       0.123002       0.000195
       0.702000       0.136585       0.000258
       0.704000       0.153500       0.000193
       0.706000       0.170486       0.000256
       0.708000       0.187949       0.000172
       0.710000       0.205711       0.000194
       0.712000       0.224767       0.000174
       0.714000       0.242540       0.000183
       0.716000       0.261919       0.000181
       0.718000       0.280964       0.000225
       0.720000       0.300057       0.000212
       0.722000       0.320564       0.000320
       0.724000       0.339458       0.000238
       0.726000       0.358161       0.000223
       0.728000       0.375740       0.000329
       0.730000       0.393586       0.000212
       0.732000       0.409898       0.000242
       0.734000       0.424751       0.000185
       0.736000       0.437347       0.000206
       0.738000       0.450027       0.000277
       0.740000       0.459487       0.000242
       0.742000       0.470464       0.000236
       0.744000       0.480226       0.000259
       0.746000       0.487143       0.000286
       0.748000       0.494461       0.000222
       0.750500       0.500678       0.000224
       0.753500       0.506977       0.000206
       0.756500       0.513069       0.000216
       0.759500       0.517175       0.000199
       0.762500       0.522124       0.000224
       0.765500       0.523840       0.000281
       0.768500       0.527238       0.000296
       0.771500       0.527562       0.000346
       0.774500       0.529688       0.000280
       0.777500       0.529835       0.000262
       0.781000       0.531112       0.000183
       0.785000       0.533538       0.000205
       0.789000       0.534372       0.000208
       0.793000       0.535290       0.000238
       0.797000       0.535656       0.000337
       0.801500       0.537317       0.000253
       0.806500       0.537681       0.000353
       0.811500       0.539722       0.000249
       0.816500       0.539798       0.000243
       0.822000       0.540114       0.000281
       0.828000       0.542752       0.000259
       0.835000       0.541884       0.000238
       0.843000       0.543381       0.000212
       0.851000       0.544586       0.000402
       0.859000       0.546507       0.000387
       0.871000       0.546767       0.000392
       0.883000       0.549078       0.000351
       0.894000       0.548183       0.000317
       0.904000       0.545957       0.000383
       0.914000       0.543927       0.000371
       0.924000       0.545431       0.000362
       0.933000       0.541588       0.000273
       0.941000       0.536819       0.000214
       0.949000       0.526631       0.000238
       0.957000       0.514402       0.000241
       0.964000       0.507904       0.000274
       0.970000       0.504442       0.000320
       0.976000       0.500954       0.000323
       0.982000       0.502280       0.000346
       0.988000       0.503705       0.000231
       0.994000       0.504800       0.000371
       1.000000       0.508699       0.000300
       1.006000       0.513908       0.000288
       1.012000       0.517540       0.000281
       1.018000       0.521576       0.000363
       1.023500       0.526474       0.000352
       1.028500       0.531315       0.000277
       1.033500       0.533978       0.000340
       1.038500       0.537747       0.000281
       1.043500       0.542087       0.000374
       1.048500       0.544440       0.000227
       1.053500       0.546611       0.000276
       1.058500       0.549049       0.000240
       1.063500       0.552727       0.000289
       1.068500       0.552435       0.000212
       1.073500       0.553309       0.000265
       1.078500       0.552913       0.000239
       1.083500       0.554664       0.000245
       1.088500       0.554259       0.000238
       1.093500       0.552138       0.000251
       1.098500       0.549960       0.000273
       1.103500       0.550086       0.000382
       1.108500       0.547477       0.000173
       1.113500       0.545942       0.000264
       1.118500       0.544836       0.000266
       1.123500       0.539275       0.000185
       1.128500       0.532939       0.000254
       1.133500       0.521871       0.000189
       1.138500       0.505822       0.000224
       1.143500       0.485534       0.000294
       1.148500       0.467451       0.000203
       1.153500       0.450801       0.000271
       1.158500       0.439757       0.000240
       1.163500       0.432649       0.000233
       1.168500       0.428226       0.000207
       1.173500       0.422704       0.000212
       1.178500       0.419493       0.000273
       1.183500       0.415836       0.000303
       1.188500       0.413098       0.000272
       1.193500       0.409827       0.000336
       1.198500       0.408512       0.000202
       1.203500       0.407309       0.000263
       1.208500       0.408601       0.000257
       1.213500       0.411568       0.000246
       1.218500       0.413965       0.000245
       1.223500       0.419129       0.000211
       1.228500       0.426033       0.000325
       1.233500       0.428862       0.000230
       1.238500       0.432398       0.000240
       1.243500       0.436013       0.000219
       1.248500       0.438995       0.000237
       1.253500       0.441584       0.000163
       1.258500       0.443564       0.000322
       1.263500       0.445414       0.000258
       1.268500       0.446486       0.000204
       1.273500       0.446617       0.000208
       1.278500       0.446519       0.000256
       1.283500       0.445777       0.000318
       1.288500       0.444061       0.000323
       1.293500       0.439680       0.000220
       1.298500       0.435449       0.000213
       1.303500       0.430621       0.000224
       1.308500       0.423586       0.000239
       1.313500       0.414306       0.000245
       1.318500       0.405403       0.000220
       1.323500       0.394485       0.000355
       1.328500       0.382601       0.000195
       1.333500       0.368293       0.000197
       1.338500       0.355915       0.000237
       1.343500       0.344672       0.000242
       1.348500       0.334319       0.000266
       1.353500       0.324237       0.000202
       1.358500       0.316626       0.000217
       1.363500       0.307523       0.000287
       1.368500       0.298500       0.000258
       1.373500       0.284756       0.000281
       1.378500       0.267662       0.000241
       1.383500       0.245922       0.000237
       1.388500       0.218829       0.000315
       1.393500       0.191184       0.000303
       1.398500       0.165416       0.000375
       1.403500       0.145776       0.000310
       1.408500       0.130039       0.000238
       1.413500       0.116520       0.000318
       1.418500       0.109133       0.000225
       1.423500       0.103968       0.000185
       1.428500       0.099074       0.000304
       1.433500       0.095259       0.000269
       1.438500       0.094185       0.000261
       1.443500       0.091568       0.000274
       1.448500       0.090945       0.000290
       1.453500       0.092460       0.000239
       1.458500       0.091206       0.000286
       1.463500       0.090868       0.000216
       1.468500       0.092230       0.000206
       1.473500       0.094262       0.000241
       1.478500       0.096123       0.000289
       1.483500       0.098953       0.000236
       1.488500       0.102696       0.000259
       1.493500       0.107098       0.000262
       1.498500       0.109305       0.000283
       1.503500       0.115702       0.000246
       1.508500       0.117003       0.000269
       1.513500       0.121682       0.000284
       1.518500       0.125903       0.000379
       1.523500       0.130460       0.000285
       1.528500       0.134237       0.000336
       1.534000       0.138562       0.000256
       1.540000       0.143473       0.000258
       1.546000       0.146038       0.000251
       1.552000       0.151946       0.000318
       1.558000       0.157624       0.000279
       1.564000       0.161518       0.000267
       1.570500       0.166411       0.000256
       1.577500       0.170169       0.000287
       1.584500       0.174146       0.000269
       1.591500       0.179031       0.000382
       1.598500       0.183344       0.000175
       1.605500       0.188519       0.000243
       1.612500       0.192443       0.000215
       1.619500       0.195604       0.000282
       1.626500       0.198966       0.000220
       1.633500       0.201175       0.000172
       1.640500       0.203998       0.000237
       1.647500       0.206392       0.000175
       1.654500       0.207198       0.000259
       1.661500       0.207900       0.000287
       1.668500       0.205673       0.000160
       1.676000       0.203198       0.000238
       1.684000       0.200702       0.000381
       1.692000       0.198583       0.000316
       1.700000       0.196013       0.000330
       1.708000       0.190684       0.000344
       1.716000       0.188042       0.000304
       1.724000       0.182231       0.000369
       1.732000       0.178693       0.000307
       1.740000       0.176883       0.000383
       1.748000       0.176681       0.000384
       1.756000       0.176691       0.000313
       1.764000       0.170661       0.000331
       1.772000       0.167014       0.000347
       1.780000       0.168764       0.000378
       1.788000       0.169377       0.000386
       1.796000       0.167175       0.000293
       1.805000       0.167834       0.000237
       1.815000       0.168852       0.000264
       1.825000       0.170153       0.000250
       1.835000       0.169428       0.000214
       1.845000       0.164293       0.000374
       1.855000       0.155957       0.000362
       1.865000       0.138813       0.000260
       1.875000       0.110896       0.000336
       1.885000       0.081443       0.000217
       1.895000       0.058682       0.000234
       1.905000       0.048693       0.000298
       1.915000       0.043397       0.000254
       1.925000       0.040954       0.000308
       1.935000       0.041998       0.000299
       1.945000       0.043422       0.000238
       1.955000       0.043827       0.000244
       1.965000       0.043869       0.000228
       1.975000       0.048178       0.000197
       1.985000       0.048899       0.000265
       1.995000       0.050204       0.000251
       2.005000       0.054018       0.000216
       2.015000       0.056835       0.000361
       2.025000       0.058792       0.000354
       2.035000       0.061321       0.000370
       2.045000       0.063118       0.000384
       2.055000       0.063934       0.000320
       2.065000       0.065720       0.000277
       2.075000       0.067589       0.000383
       2.085000       0.069970       0.000371
       2.095000       0.073638       0.000314
       2.105000       0.073816       0.000377
       2.115000       0.073730       0.000374
       2.125000       0.078003       0.000376
       2.135000       0.079858       0.000354
       2.145000       0.082850       0.000296
       2.155000       0.083183       0.000254
       2.165000       0.087496       0.000376
       2.175000       0.087428       0.000387
       2.185000       0.090613       0.000379
       2.195000       0.091361       0.000379
       2.205000       0.092813       0.000384
       2.215000       0.092788       0.000387
       2.225000       0.093398       0.000388
       2.235000       0.089156       0.000385
       2.245000       0.086459       0.000394
       2.255000       0.083877       0.000397
       2.265000       0.079293       0.000395
       2.275000       0.079622       0.000412
       2.285000       0.074260       0.000423
       2.295000       0.071140       0.000436
       2.305000       0.067357       0.000448
