USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Platycodon-2 White    W1R1Fa AREF
copy of splib05a r 11109                                    
       0.350000       0.082690       0.000000
       0.351000       0.082690       0.000000
       0.352000       0.085016       0.000000
       0.353000       0.087356       0.000000
       0.354000       0.089727       0.000000
       0.355000       0.092142       0.000000
       0.356000       0.094618       0.000000
       0.357000       0.097170       0.000000
       0.358000       0.099814       0.000000
       0.359000       0.102583       0.000000
       0.360000       0.105513       0.000000
       0.361000       0.108626       0.000000
       0.362000       0.111900       0.000000
       0.363000       0.115300       0.000000
       0.364000       0.118784       0.000000
       0.365000       0.122278       0.000000
       0.366000       0.125696       0.000000
       0.367000       0.128981       0.000000
       0.368000       0.132172       0.000000
       0.369000       0.135337       0.000000
       0.370000       0.138544       0.000000
       0.371000       0.141869       0.000000
       0.372000       0.145394       0.000000
       0.373000       0.149180       0.000000
       0.374000       0.153225       0.000000
       0.375000       0.157511       0.000000
       0.376000       0.162015       0.000000
       0.377000       0.166709       0.000000
       0.378000       0.171560       0.000000
       0.379000       0.176529       0.000000
       0.380000       0.181555       0.000000
       0.381000       0.186567       0.000000
       0.382000       0.191534       0.000000
       0.383000       0.196566       0.000000
       0.384000       0.201810       0.000000
       0.385000       0.207397       0.000000
       0.386000       0.213406       0.000000
       0.387000       0.219897       0.000000
       0.388000       0.226855       0.000000
       0.389000       0.233946       0.000000
       0.390000       0.240755       0.000000
       0.391000       0.246976       0.000000
       0.392000       0.252724       0.000000
       0.393000       0.258219       0.000000
       0.394000       0.263670       0.000000
       0.395000       0.269223       0.000000
       0.396000       0.275015       0.000000
       0.397000       0.281114       0.000000
       0.398000       0.287327       0.000000
       0.399000       0.293398       0.000000
       0.400000       0.299085       0.000000
       0.401000       0.304210       0.000000
       0.402000       0.308615       0.000000
       0.403000       0.312202       0.000000
       0.404000       0.315143       0.000000
       0.405000       0.317674       0.000000
       0.406000       0.320012       0.000000
       0.407000       0.322302       0.000000
       0.408000       0.324672       0.000000
       0.409000       0.327203       0.000000
       0.410000       0.329800       0.000000
       0.411000       0.332319       0.000000
       0.412000       0.334640       0.000000
       0.413000       0.336720       0.000000
       0.414000       0.338540       0.000000
       0.415000       0.340087       0.000000
       0.416000       0.341398       0.000000
       0.417000       0.342517       0.000000
       0.418000       0.343487       0.000000
       0.419000       0.344337       0.000000
       0.420000       0.345093       0.000000
       0.421000       0.345778       0.000000
       0.422000       0.346407       0.000000
       0.423000       0.346992       0.000000
       0.424000       0.347540       0.000000
       0.425000       0.348038       0.000000
       0.426000       0.348466       0.000000
       0.427000       0.348819       0.000000
       0.428000       0.349151       0.000000
       0.429000       0.349528       0.000000
       0.430000       0.350013       0.000000
       0.431000       0.350647       0.000000
       0.432000       0.351467       0.000000
       0.433000       0.352483       0.000000
       0.434000       0.353596       0.000000
       0.435000       0.354684       0.000000
       0.436000       0.355642       0.000000
       0.437000       0.356449       0.000000
       0.438000       0.357106       0.000000
       0.439000       0.357628       0.000000
       0.440000       0.358091       0.000000
       0.441000       0.358587       0.000000
       0.442000       0.359180       0.000000
       0.443000       0.359829       0.000000
       0.444000       0.360467       0.000000
       0.445000       0.361039       0.000000
       0.446000       0.361553       0.000000
       0.447000       0.362026       0.000000
       0.448000       0.362479       0.000000
       0.449000       0.362922       0.000000
       0.450000       0.363367       0.000000
       0.451000       0.363819       0.000000
       0.452000       0.364252       0.000000
       0.453000       0.364635       0.000000
       0.454000       0.364955       0.000000
       0.455000       0.365269       0.000000
       0.456000       0.365653       0.000000
       0.457000       0.366158       0.000000
       0.458000       0.366755       0.000000
       0.459000       0.367390       0.000000
       0.460000       0.368022       0.000000
       0.461000       0.368656       0.000000
       0.462000       0.369309       0.000000
       0.463000       0.369991       0.000000
       0.464000       0.370691       0.000000
       0.465000       0.371392       0.000000
       0.466000       0.372083       0.000000
       0.467000       0.372786       0.000000
       0.468000       0.373531       0.000000
       0.469000       0.374339       0.000000
       0.470000       0.375192       0.000000
       0.471000       0.376066       0.000000
       0.472000       0.376936       0.000000
       0.473000       0.377778       0.000000
       0.474000       0.378568       0.000000
       0.475000       0.379286       0.000000
       0.476000       0.379928       0.000000
       0.477000       0.380492       0.000000
       0.478000       0.380980       0.000000
       0.479000       0.381407       0.000000
       0.480000       0.381790       0.000000
       0.481000       0.382140       0.000000
       0.482000       0.382430       0.000000
       0.483000       0.382626       0.000000
       0.484000       0.382714       0.000000
       0.485000       0.382765       0.000000
       0.486000       0.382868       0.000000
       0.487000       0.383106       0.000000
       0.488000       0.383523       0.000000
       0.489000       0.384157       0.000000
       0.490000       0.385014       0.000000
       0.491000       0.385993       0.000000
       0.492000       0.386965       0.000000
       0.493000       0.387837       0.000000
       0.494000       0.388671       0.000000
       0.495000       0.389567       0.000000
       0.496000       0.390599       0.000000
       0.497000       0.391742       0.000000
       0.498000       0.392945       0.000000
       0.499000       0.394174       0.000000
       0.500000       0.395464       0.000000
       0.501000       0.396868       0.000000
       0.502000       0.398428       0.000000
       0.503000       0.400144       0.000000
       0.504000       0.402006       0.000000
       0.505000       0.403994       0.000000
       0.506000       0.406048       0.000000
       0.507000       0.408098       0.000000
       0.508000       0.410090       0.000000
       0.509000       0.412049       0.000000
       0.510000       0.414018       0.000000
       0.511000       0.416028       0.000000
       0.512000       0.418058       0.000000
       0.513000       0.420076       0.000000
       0.514000       0.422058       0.000000
       0.515000       0.424012       0.000000
       0.516000       0.425956       0.000000
       0.517000       0.427918       0.000000
       0.518000       0.429967       0.000000
       0.519000       0.432183       0.000000
       0.520000       0.434606       0.000000
       0.521000       0.437115       0.000000
       0.522000       0.439548       0.000000
       0.523000       0.441776       0.000000
       0.524000       0.443792       0.000000
       0.525000       0.445622       0.000000
       0.526000       0.447304       0.000000
       0.527000       0.448925       0.000000
       0.528000       0.450585       0.000000
       0.529000       0.452345       0.000000
       0.530000       0.454117       0.000000
       0.531000       0.455777       0.000000
       0.532000       0.457233       0.000000
       0.533000       0.458518       0.000000
       0.534000       0.459701       0.000000
       0.535000       0.460835       0.000000
       0.536000       0.461915       0.000000
       0.537000       0.462925       0.000000
       0.538000       0.463850       0.000000
       0.539000       0.464698       0.000000
       0.540000       0.465479       0.000000
       0.541000       0.466206       0.000000
       0.542000       0.466909       0.000000
       0.543000       0.467619       0.000000
       0.544000       0.468352       0.000000
       0.545000       0.469069       0.000000
       0.546000       0.469711       0.000000
       0.547000       0.470240       0.000000
       0.548000       0.470682       0.000000
       0.549000       0.471080       0.000000
       0.550000       0.471469       0.000000
       0.551000       0.471848       0.000000
       0.552000       0.472204       0.000000
       0.553000       0.472526       0.000000
       0.554000       0.472795       0.000000
       0.555000       0.472993       0.000000
       0.556000       0.473104       0.000000
       0.557000       0.473142       0.000000
       0.558000       0.473127       0.000000
       0.559000       0.473077       0.000000
       0.560000       0.473007       0.000000
       0.561000       0.472931       0.000000
       0.562000       0.472856       0.000000
       0.563000       0.472755       0.000000
       0.564000       0.472591       0.000000
       0.565000       0.472343       0.000000
       0.566000       0.472033       0.000000
       0.567000       0.471698       0.000000
       0.568000       0.471364       0.000000
       0.569000       0.471019       0.000000
       0.570000       0.470639       0.000000
       0.571000       0.470208       0.000000
       0.572000       0.469743       0.000000
       0.573000       0.469267       0.000000
       0.574000       0.468795       0.000000
       0.575000       0.468316       0.000000
       0.576000       0.467811       0.000000
       0.577000       0.467272       0.000000
       0.578000       0.466731       0.000000
       0.579000       0.466233       0.000000
       0.580000       0.465808       0.000000
       0.581000       0.465440       0.000000
       0.582000       0.465098       0.000000
       0.583000       0.464756       0.000000
       0.584000       0.464408       0.000000
       0.585000       0.464050       0.000000
       0.586000       0.463684       0.000000
       0.587000       0.463337       0.000000
       0.588000       0.463039       0.000000
       0.589000       0.462821       0.000000
       0.590000       0.462711       0.000000
       0.591000       0.462736       0.000000
       0.592000       0.462900       0.000000
       0.593000       0.463125       0.000000
       0.594000       0.463311       0.000000
       0.595000       0.463378       0.000000
       0.596000       0.463347       0.000000
       0.597000       0.463259       0.000000
       0.598000       0.463145       0.000000
       0.599000       0.462992       0.000000
       0.600000       0.462775       0.000000
       0.601000       0.462481       0.000000
       0.602000       0.462134       0.000000
       0.603000       0.461772       0.000000
       0.604000       0.461417       0.000000
       0.605000       0.461050       0.000000
       0.606000       0.460641       0.000000
       0.607000       0.460170       0.000000
       0.608000       0.459674       0.000000
       0.609000       0.459202       0.000000
       0.610000       0.458791       0.000000
       0.611000       0.458428       0.000000
       0.612000       0.458085       0.000000
       0.613000       0.457744       0.000000
       0.614000       0.457408       0.000000
       0.615000       0.457088       0.000000
       0.616000       0.456796       0.000000
       0.617000       0.456562       0.000000
       0.618000       0.456417       0.000000
       0.619000       0.456374       0.000000
       0.620000       0.456366       0.000000
       0.621000       0.456305       0.000000
       0.622000       0.456135       0.000000
       0.623000       0.455913       0.000000
       0.624000       0.455724       0.000000
       0.625000       0.455637       0.000000
       0.626000       0.455644       0.000000
       0.627000       0.455720       0.000000
       0.628000       0.455840       0.000000
       0.629000       0.455982       0.000000
       0.630000       0.456126       0.000000
       0.631000       0.456255       0.000000
       0.632000       0.456370       0.000000
       0.633000       0.456477       0.000000
       0.634000       0.456578       0.000000
       0.635000       0.456662       0.000000
       0.636000       0.456718       0.000000
       0.637000       0.456730       0.000000
       0.638000       0.456671       0.000000
       0.639000       0.456509       0.000000
       0.640000       0.456224       0.000000
       0.641000       0.455842       0.000000
       0.642000       0.455398       0.000000
       0.643000       0.454923       0.000000
       0.644000       0.454431       0.000000
       0.645000       0.453928       0.000000
       0.646000       0.453423       0.000000
       0.647000       0.452919       0.000000
       0.648000       0.452421       0.000000
       0.649000       0.451936       0.000000
       0.650000       0.451481       0.000000
       0.651000       0.451075       0.000000
       0.652000       0.450725       0.000000
       0.653000       0.450377       0.000000
       0.654000       0.449965       0.000000
       0.655000       0.449448       0.000000
       0.656000       0.448902       0.000000
       0.657000       0.448428       0.000000
       0.658000       0.448091       0.000000
       0.659000       0.447801       0.000000
       0.660000       0.447431       0.000000
       0.661000       0.446885       0.000000
       0.662000       0.446187       0.000000
       0.663000       0.445391       0.000000
       0.664000       0.444549       0.000000
       0.665000       0.443697       0.000000
       0.666000       0.442872       0.000000
       0.667000       0.442099       0.000000
       0.668000       0.441380       0.000000
       0.669000       0.440711       0.000000
       0.670000       0.440089       0.000000
       0.671000       0.439528       0.000000
       0.672000       0.439046       0.000000
       0.673000       0.438658       0.000000
       0.674000       0.438357       0.000000
       0.675000       0.438135       0.000000
       0.676000       0.437985       0.000000
       0.677000       0.437913       0.000000
       0.678000       0.437927       0.000000
       0.679000       0.438039       0.000000
       0.680000       0.438272       0.000000
       0.681000       0.438651       0.000000
       0.682000       0.439196       0.000000
       0.683000       0.439909       0.000000
       0.684000       0.440785       0.000000
       0.685000       0.441833       0.000000
       0.686000       0.443110       0.000000
       0.687000       0.444686       0.000000
       0.688000       0.446612       0.000000
       0.689000       0.448861       0.000000
       0.690000       0.451386       0.000000
       0.691000       0.454137       0.000000
       0.692000       0.457037       0.000000
       0.693000       0.460009       0.000000
       0.694000       0.462997       0.000000
       0.695000       0.466050       0.000000
       0.696000       0.469242       0.000000
       0.697000       0.472625       0.000000
       0.698000       0.476165       0.000000
       0.699000       0.479804       0.000000
       0.700000       0.483502       0.000000
       0.701000       0.487291       0.000000
       0.702000       0.491215       0.000000
       0.703000       0.495302       0.000000
       0.704000       0.499494       0.000000
       0.705000       0.503714       0.000000
       0.706000       0.507904       0.000000
       0.707000       0.512083       0.000000
       0.708000       0.516287       0.000000
       0.709000       0.520551       0.000000
       0.710000       0.524895       0.000000
       0.711000       0.529332       0.000000
       0.712000       0.533874       0.000000
       0.713000       0.538515       0.000000
       0.714000       0.543243       0.000000
       0.715000       0.548055       0.000000
       0.716000       0.552978       0.000000
       0.717000       0.558044       0.000000
       0.718000       0.563295       0.000000
       0.719000       0.568809       0.000000
       0.720000       0.574674       0.000000
       0.721000       0.580910       0.000000
       0.722000       0.587280       0.000000
       0.723000       0.593481       0.000000
       0.724000       0.599303       0.000000
       0.725000       0.604926       0.000000
       0.726000       0.610623       0.000000
       0.727000       0.616594       0.000000
       0.728000       0.622738       0.000000
       0.729000       0.628879       0.000000
       0.730000       0.634871       0.000000
       0.731000       0.640684       0.000000
       0.732000       0.646318       0.000000
       0.733000       0.651772       0.000000
       0.734000       0.657031       0.000000
       0.735000       0.662081       0.000000
       0.736000       0.666917       0.000000
       0.737000       0.671575       0.000000
       0.738000       0.676099       0.000000
       0.739000       0.680521       0.000000
       0.740000       0.684811       0.000000
       0.741000       0.688925       0.000000
       0.742000       0.692830       0.000000
       0.743000       0.696531       0.000000
       0.744000       0.700044       0.000000
       0.745000       0.703381       0.000000
       0.746000       0.706536       0.000000
       0.747000       0.709495       0.000000
       0.748000       0.712253       0.000000
       0.749000       0.714823       0.000000
       0.750000       0.717226       0.000000
       0.751000       0.719477       0.000000
       0.752000       0.721575       0.000000
       0.753000       0.723515       0.000000
       0.754000       0.725297       0.000000
       0.755000       0.726952       0.000000
       0.756000       0.728517       0.000000
       0.757000       0.730005       0.000000
       0.758000       0.731350       0.000000
       0.759000       0.732460       0.000000
       0.760000       0.733308       0.000000
       0.761000       0.734108       0.000000
       0.762000       0.735140       0.000000
       0.763000       0.736570       0.000000
       0.764000       0.738132       0.000000
       0.765000       0.739451       0.000000
       0.766000       0.740252       0.000000
       0.767000       0.740665       0.000000
       0.768000       0.740920       0.000000
       0.769000       0.741206       0.000000
       0.770000       0.741540       0.000000
       0.771000       0.741897       0.000000
       0.772000       0.742259       0.000000
       0.773000       0.742630       0.000000
       0.774000       0.743020       0.000000
       0.775000       0.743435       0.000000
       0.776000       0.743859       0.000000
       0.777000       0.744269       0.000000
       0.778000       0.744650       0.000000
       0.779000       0.745012       0.000000
       0.780000       0.745370       0.000000
       0.781000       0.745738       0.000000
       0.782000       0.746112       0.000000
       0.783000       0.746486       0.000000
       0.784000       0.746857       0.000000
       0.785000       0.747227       0.000000
       0.786000       0.747602       0.000000
       0.787000       0.747984       0.000000
       0.788000       0.748380       0.000000
       0.789000       0.748791       0.000000
       0.790000       0.749216       0.000000
       0.791000       0.749623       0.000000
       0.792000       0.749978       0.000000
       0.793000       0.750257       0.000000
       0.794000       0.750498       0.000000
       0.795000       0.750754       0.000000
       0.796000       0.751064       0.000000
       0.797000       0.751414       0.000000
       0.798000       0.751774       0.000000
       0.799000       0.752123       0.000000
       0.800000       0.752460       0.000000
       0.801000       0.752795       0.000000
       0.802000       0.753129       0.000000
       0.803000       0.753449       0.000000
       0.804000       0.753736       0.000000
       0.805000       0.753981       0.000000
