USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Grass-FescueNeedleg YNP-FN-1 W1R1Ab RTGC
copy of splib05a r 11160                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.036391       0.000000
       0.419190       0.039992       0.000000
       0.428970       0.043606       0.000000
       0.438760       0.049758       0.000000
       0.448550       0.053300       0.000000
       0.458360       0.055764       0.000000
       0.468180       0.058536       0.000000
       0.478000       0.060895       0.000000
       0.487840       0.062800       0.000000
       0.497680       0.064727       0.000000
       0.507530       0.068299       0.000000
       0.517380       0.072035       0.000000
       0.527240       0.077340       0.000000
       0.537100       0.082031       0.000000
       0.546960       0.086151       0.000000
       0.556830       0.089238       0.000000
       0.566710       0.090817       0.000000
       0.576580       0.091794       0.000000
       0.586450       0.093973       0.000000
       0.596330       0.095941       0.000000
       0.606200       0.098221       0.000000
       0.616080       0.099651       0.000000
       0.625950       0.101936       0.000000
       0.635820       0.104009       0.000000
       0.645690       0.105084       0.000000
       0.655560       0.104976       0.000000
       0.665420       0.105158       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.106145       0.000000
       0.685190       0.110639       0.000000
       0.694780       0.126445       0.000000
       0.704370       0.148661       0.000000
       0.713960       0.169940       0.000000
       0.723550       0.191717       0.000000
       0.733140       0.209223       0.000000
       0.742730       0.221192       0.000000
       0.752320       0.229077       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.240999       0.000000
       0.781100       0.244441       0.000000
       0.790700       0.248397       0.000000
       0.800290       0.252869       0.000000
       0.809890       0.256037       0.000000
       0.819480       0.259608       0.000000
       0.829080       0.264354       0.000000
       0.838680       0.268641       0.000000
       0.848280       0.271908       0.000000
       0.857880       0.276635       0.000000
       0.867480       0.280572       0.000000
       0.877080       0.284803       0.000000
       0.886680       0.288701       0.000000
       0.896290       0.292572       0.000000
       0.905890       0.297629       0.000000
       0.915490       0.301313       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.306814       0.000000
       0.963520       0.308196       0.000000
       0.973130       0.310267       0.000000
       0.982740       0.312689       0.000000
       0.992350       0.315356       0.000000
       1.001960       0.319575       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.327378       0.000000
       1.030800       0.330737       0.000000
       1.040410       0.334596       0.000000
       1.050030       0.337801       0.000000
       1.059640       0.341027       0.000000
       1.069260       0.344619       0.000000
       1.078870       0.348161       0.000000
       1.088490       0.351907       0.000000
       1.098110       0.355927       0.000000
       1.107730       0.357941       0.000000
       1.117350       0.352894       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.350272       0.000000
       1.175080       0.350177       0.000000
       1.184700       0.351366       0.000000
       1.194330       0.351428       0.000000
       1.203950       0.353834       0.000000
       1.213580       0.357025       0.000000
       1.223210       0.361099       0.000000
       1.232830       0.366117       0.000000
       1.242460       0.369923       0.000000
       1.252090       0.372507       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.371944       0.000000
       1.274190       0.376084       0.000000
       1.284160       0.379294       0.000000
       1.294130       0.384856       0.000000
       1.304100       0.385279       0.000000
       1.314070       0.383366       0.000000
       1.324040       0.380652       0.000000
       1.334000       0.380806       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.242965       0.000000
       1.433650       0.239795       0.000000
       1.443610       0.229250       0.000000
       1.453570       0.228648       0.000000
       1.463530       0.231823       0.000000
       1.473490       0.235033       0.000000
       1.483450       0.242862       0.000000
       1.493410       0.248227       0.000000
       1.503370       0.253840       0.000000
       1.513320       0.261417       0.000000
       1.523280       0.268678       0.000000
       1.533240       0.274887       0.000000
       1.543190       0.280928       0.000000
       1.553150       0.287536       0.000000
       1.563100       0.292844       0.000000
       1.573050       0.297289       0.000000
       1.583010       0.302866       0.000000
       1.592960       0.308602       0.000000
       1.602910       0.315757       0.000000
       1.612860       0.322457       0.000000
       1.622810       0.328759       0.000000
       1.632760       0.333257       0.000000
       1.642710       0.337390       0.000000
       1.652660       0.339946       0.000000
       1.662610       0.340926       0.000000
       1.672560       0.339949       0.000000
       1.682510       0.337154       0.000000
       1.692460       0.331747       0.000000
       1.702400       0.327824       0.000000
       1.712350       0.322620       0.000000
       1.722290       0.318224       0.000000
       1.732240       0.317309       0.000000
       1.742180       0.317405       0.000000
       1.752120       0.315867       0.000000
       1.762070       0.314966       0.000000
       1.772010       0.310716       0.000000
       1.781950       0.313825       0.000000
       1.791890       0.312278       0.000000
       1.801830       0.310563       0.000000
       1.811770       0.296688       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.174492       0.000000
       1.959480       0.187981       0.000000
       1.969510       0.192113       0.000000
       1.979540       0.198778       0.000000
       1.989570       0.202269       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.212553       0.000000
       2.039670       0.207162       0.000000
       2.049690       0.202769       0.000000
       2.059700       0.198940       0.000000
       2.069700       0.196744       0.000000
       2.079710       0.196739       0.000000
       2.089710       0.196535       0.000000
       2.099710       0.197667       0.000000
       2.109710       0.198104       0.000000
       2.119710       0.200091       0.000000
       2.129700       0.202990       0.000000
       2.139690       0.206693       0.000000
       2.149680       0.210369       0.000000
       2.159660       0.212977       0.000000
       2.169650       0.217239       0.000000
       2.179630       0.219107       0.000000
       2.189610       0.224531       0.000000
       2.199580       0.226398       0.000000
       2.209550       0.229213       0.000000
       2.219520       0.229543       0.000000
       2.229490       0.226067       0.000000
       2.239460       0.218340       0.000000
       2.249420       0.209617       0.000000
       2.259380       0.198566       0.000000
       2.269340       0.190055       0.000000
       2.279300       0.185479       0.000000
       2.289250       0.182821       0.000000
       2.299200       0.177055       0.000000
       2.309150       0.172348       0.000000
       2.319090       0.171855       0.000000
       2.329040       0.171208       0.000000
       2.338980       0.169239       0.000000
       2.348920       0.165525       0.000000
       2.358850       0.167030       0.000000
       2.368780       0.165750       0.000000
       2.378710       0.166731       0.000000
       2.388640       0.164847       0.000000
       2.398570       0.164024       0.000000
       2.408490       0.162025       0.000000
       2.418410       0.154031       0.000000
       2.428330       0.151589       0.000000
       2.438250       0.144766       0.000000
       2.448160       0.132930       0.000000
       2.458070       0.133103       0.000000
       2.467980       0.123974       0.000000
       2.477880       0.116641       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
