USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Grass_dry.8+.2green    AMX31 W1R1Ba AREF
copy of splib05a r 12108                                    
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600       0.006384       0.000000
       0.268600       0.007299       0.000000
       0.273100       0.003801       0.000000
       0.277100       0.008422       0.000000
       0.281100       0.005710       0.000000
       0.285100       0.006936       0.000000
       0.289100       0.010695       0.000000
       0.293100       0.009187       0.000000
       0.297100       0.008582       0.000000
       0.301100       0.007174       0.000000
       0.305100       0.011099       0.000000
       0.309100       0.014191       0.000000
       0.313100       0.015384       0.000000
       0.317100       0.013349       0.000000
       0.321100       0.015506       0.000000
       0.325100       0.013875       0.000000
       0.329100       0.014722       0.000000
       0.333100       0.014672       0.000000
       0.337100       0.017749       0.000000
       0.341100       0.016911       0.000000
       0.345100       0.016287       0.000000
       0.349100       0.016431       0.000000
       0.353100       0.020104       0.000000
       0.357100       0.020584       0.000000
       0.360600       0.020290       0.000000
       0.363600       0.021913       0.000000
       0.366600       0.021846       0.000000
       0.369600       0.022766       0.000000
       0.372600       0.023181       0.000000
       0.375600       0.023042       0.000000
       0.378600       0.024383       0.000000
       0.381100       0.024943       0.000000
       0.383100       0.025705       0.000000
       0.385100       0.026770       0.000000
       0.387100       0.027622       0.000000
       0.389100       0.029409       0.000000
       0.391100       0.031019       0.000000
       0.393100       0.032482       0.000000
       0.395100       0.033259       0.000000
       0.397100       0.036039       0.000000
       0.399100       0.037094       0.000000
       0.401100       0.039448       0.000000
       0.403100       0.042116       0.000000
       0.405100       0.045131       0.000000
       0.407100      -1.23e34       -1.23e34 
       0.409100      -1.23e34       -1.23e34 
       0.411100      -1.23e34       -1.23e34 
       0.412800       0.056492       0.000000
       0.415800       0.061316       0.000000
       0.418800       0.066369       0.000000
       0.421800       0.071407       0.000000
       0.424800       0.076999       0.000000
       0.427800       0.082316       0.000000
       0.430800       0.086280       0.000000
       0.433800       0.092232       0.000000
       0.436800       0.096239       0.000000
       0.439800       0.100210       0.000000
       0.442800       0.104294       0.000000
       0.445800       0.107890       0.000000
       0.448800       0.112191       0.000000
       0.451300       0.116537       0.000000
       0.453300       0.118463       0.000000
       0.455300       0.120695       0.000000
       0.457300       0.121592       0.000000
       0.459300       0.123480       0.000000
       0.461300       0.126139       0.000000
       0.463300       0.129573       0.000000
       0.465300       0.130784       0.000000
       0.467300       0.133763       0.000000
       0.469300       0.134655       0.000000
       0.471300       0.136729       0.000000
       0.473300       0.139017       0.000000
       0.475300       0.141772       0.000000
       0.477300       0.142471       0.000000
       0.479300       0.144885       0.000000
       0.481300       0.145691       0.000000
       0.483300       0.147669       0.000000
       0.485300       0.149917       0.000000
       0.487300       0.151813       0.000000
       0.489300       0.152504       0.000000
       0.491300       0.154890       0.000000
       0.493300       0.155640       0.000000
       0.495300       0.158863       0.000000
       0.497300       0.159521       0.000000
       0.499300       0.162072       0.000000
       0.501300       0.162959       0.000000
       0.503300       0.164669       0.000000
       0.505300       0.166817       0.000000
       0.507300       0.168776       0.000000
       0.509300       0.169558       0.000000
       0.511300       0.172565       0.000000
       0.513300       0.173950       0.000000
       0.515300       0.176517       0.000000
       0.517300       0.178610       0.000000
       0.519300       0.180732       0.000000
       0.521300       0.182798       0.000000
       0.523300       0.185139       0.000000
       0.525300       0.187841       0.000000
       0.527300       0.189311       0.000000
       0.529300       0.190632       0.000000
       0.531300       0.193532       0.000000
       0.533300       0.195157       0.000000
       0.535300       0.197455       0.000000
       0.537300       0.199126       0.000000
       0.539300       0.201546       0.000000
       0.541300       0.201914       0.000000
       0.543300       0.204069       0.000000
       0.545300       0.204338       0.000000
       0.547300       0.207144       0.000000
       0.549300       0.206344       0.000000
       0.551300       0.209238       0.000000
       0.553300       0.209230       0.000000
       0.555300       0.211476       0.000000
       0.557300       0.211325       0.000000
       0.559300       0.212642       0.000000
       0.561300       0.214081       0.000000
       0.563300       0.214972       0.000000
       0.565300       0.216786       0.000000
       0.567300       0.216206       0.000000
       0.569300       0.217966       0.000000
       0.571300       0.217887       0.000000
       0.573300       0.218713       0.000000
       0.575300       0.220039       0.000000
       0.577300       0.219964       0.000000
       0.579300       0.223201       0.000000
       0.581300       0.221673       0.000000
       0.583300       0.223856       0.000000
       0.585300       0.224095       0.000000
       0.587300       0.225812       0.000000
       0.589300       0.226571       0.000000
       0.591300       0.227793       0.000000
       0.593300       0.227763       0.000000
       0.595300       0.228423       0.000000
       0.597300       0.228453       0.000000
       0.599300       0.229390       0.000000
       0.601100       0.230811       0.000000
       0.602700       0.231129       0.000000
       0.604300       0.232860       0.000000
       0.605900       0.232489       0.000000
       0.607500       0.233305       0.000000
       0.609100       0.233593       0.000000
       0.610700       0.233616       0.000000
       0.612300       0.234781       0.000000
       0.613900       0.235624       0.000000
       0.615500       0.236829       0.000000
       0.617100       0.236384       0.000000
       0.618700       0.237475       0.000000
       0.620300       0.239281       0.000000
       0.621900       0.238852       0.000000
       0.623500       0.239521       0.000000
       0.625100       0.241375       0.000000
       0.626700       0.241793       0.000000
       0.628300       0.242750       0.000000
       0.629900       0.242915       0.000000
       0.631700       0.244160       0.000000
       0.633700       0.244926       0.000000
       0.635700       0.245298       0.000000
       0.637700       0.247287       0.000000
       0.639700       0.246888       0.000000
       0.641700       0.248853       0.000000
       0.643700       0.248962       0.000000
       0.645700       0.250301       0.000000
       0.647700       0.250363       0.000000
       0.649700       0.251625       0.000000
       0.651700       0.250990       0.000000
       0.653700       0.252367       0.000000
       0.655700       0.253420       0.000000
       0.657700       0.254171       0.000000
       0.659700       0.254882       0.000000
       0.661700       0.254841       0.000000
       0.663700       0.255520       0.000000
       0.665700       0.257193       0.000000
       0.667700       0.256587       0.000000
       0.670200       0.257295       0.000000
       0.673200       0.257312       0.000000
       0.676200       0.259050       0.000000
       0.679200       0.260164       0.000000
       0.682200       0.261711       0.000000
       0.685200       0.264311       0.000000
       0.688200       0.264705       0.000000
       0.691200       0.267791       0.000000
       0.694200       0.270032       0.000000
       0.697200       0.274283       0.000000
       0.700200       0.278351       0.000000
       0.702000       0.282115       0.000000
       0.704000       0.283897       0.000000
       0.706000       0.288632       0.000000
       0.708000       0.290951       0.000000
       0.710000       0.295424       0.000000
       0.712000       0.298513       0.000000
       0.714000       0.303605       0.000000
       0.716000       0.306543       0.000000
       0.718000       0.311912       0.000000
       0.720000       0.315763       0.000000
       0.722000       0.321305       0.000000
       0.724000       0.325940       0.000000
       0.726000       0.331504       0.000000
       0.728000       0.336690       0.000000
       0.730000       0.342747       0.000000
       0.732000       0.347569       0.000000
       0.734000       0.353558       0.000000
       0.736000       0.358892       0.000000
       0.738000       0.364811       0.000000
       0.740000       0.369337       0.000000
       0.742000       0.374856       0.000000
       0.744000       0.379607       0.000000
       0.746000       0.383949       0.000000
       0.748000       0.387526       0.000000
       0.750500       0.391782       0.000000
       0.753500       0.396194       0.000000
       0.756500       0.399946       0.000000
       0.759500       0.403587       0.000000
       0.762500       0.406634       0.000000
       0.765500       0.407476       0.000000
       0.768500       0.409687       0.000000
       0.771500       0.411385       0.000000
       0.774500       0.414148       0.000000
       0.777500       0.414588       0.000000
       0.781000       0.414743       0.000000
       0.785000       0.415194       0.000000
       0.789000       0.416787       0.000000
       0.793000       0.418920       0.000000
       0.797000       0.419107       0.000000
       0.801500       0.418899       0.000000
       0.806500       0.420935       0.000000
       0.811500       0.421100       0.000000
       0.816500       0.422250       0.000000
       0.822000       0.422513       0.000000
       0.828000       0.423299       0.000000
       0.835000      -1.23e34       -1.23e34 
       0.843000      -1.23e34       -1.23e34 
       0.851000       0.427555       0.000000
       0.859000       0.426538       0.000000
       0.871000       0.425871       0.000000
       0.883000       0.428008       0.000000
       0.894000       0.429510       0.000000
       0.904000       0.427713       0.000000
       0.914000       0.427118       0.000000
       0.924000       0.428810       0.000000
       0.933000       0.430117       0.000000
       0.941000       0.428104       0.000000
       0.949000       0.426403       0.000000
       0.957000       0.423314       0.000000
       0.964000       0.421422       0.000000
       0.970000       0.423040       0.000000
       0.976000       0.421753       0.000000
       0.982000       0.422079       0.000000
       0.988000       0.421960       0.000000
       0.994000       0.422848       0.000000
       1.000000       0.423472       0.000000
       1.006000       0.423529       0.000000
       1.012000       0.423190       0.000000
       1.018000       0.425815       0.000000
       1.023500       0.427140       0.000000
       1.028500       0.428368       0.000000
       1.033500       0.428388       0.000000
       1.038500       0.431394       0.000000
       1.043500       0.430379       0.000000
       1.048500       0.431284       0.000000
       1.053500       0.432150       0.000000
       1.058500       0.432020       0.000000
       1.063500       0.432451       0.000000
       1.068500       0.432480       0.000000
       1.073500       0.431475       0.000000
       1.078500       0.432859       0.000000
       1.083500       0.435130       0.000000
       1.088500       0.433473       0.000000
       1.093500       0.432842       0.000000
       1.098500       0.434014       0.000000
       1.103500       0.432125       0.000000
       1.108500       0.433729       0.000000
       1.113500       0.432967       0.000000
       1.118500       0.431851       0.000000
       1.123500       0.431587       0.000000
       1.128500       0.429834       0.000000
       1.133500       0.426962       0.000000
       1.138500       0.421725       0.000000
       1.143500       0.416310       0.000000
       1.148500       0.414200       0.000000
       1.153500       0.410716       0.000000
       1.158500       0.407095       0.000000
       1.163500       0.405135       0.000000
       1.168500       0.404322       0.000000
       1.173500       0.402024       0.000000
       1.178500       0.400439       0.000000
       1.183500       0.399931       0.000000
       1.188500       0.399859       0.000000
       1.193500       0.399591       0.000000
       1.198500       0.398663       0.000000
       1.203500       0.398765       0.000000
       1.208500       0.397654       0.000000
       1.213500       0.397784       0.000000
       1.218500       0.400280       0.000000
       1.223500       0.399858       0.000000
       1.228500       0.400737       0.000000
       1.233500       0.402023       0.000000
       1.238500       0.402525       0.000000
       1.243500       0.404071       0.000000
       1.248500       0.404684       0.000000
       1.253500       0.406636       0.000000
       1.258500       0.406913       0.000000
       1.263500       0.407254       0.000000
       1.268500       0.407112       0.000000
       1.273500       0.406636       0.000000
       1.278500       0.407143       0.000000
       1.283500       0.407484       0.000000
       1.288500       0.407077       0.000000
       1.293500       0.405824       0.000000
       1.298500       0.404899       0.000000
       1.303500       0.404468       0.000000
       1.308500       0.402010       0.000000
       1.313500       0.400991       0.000000
       1.318500       0.398193       0.000000
       1.323500       0.394930       0.000000
       1.328500       0.392046       0.000000
       1.333500       0.387761       0.000000
       1.338500       0.385088       0.000000
       1.343500       0.380058       0.000000
       1.348500       0.374559       0.000000
       1.353500       0.371941       0.000000
       1.358500       0.367765       0.000000
       1.363500       0.364031       0.000000
       1.368500       0.360763       0.000000
       1.373500       0.355945       0.000000
       1.378500       0.349393       0.000000
       1.383500       0.343227       0.000000
       1.388500       0.333101       0.000000
       1.393500       0.320653       0.000000
       1.398500       0.312793       0.000000
       1.403500       0.300759       0.000000
       1.408500       0.291555       0.000000
       1.413500       0.281357       0.000000
       1.418500       0.271283       0.000000
       1.423500       0.264450       0.000000
       1.428500       0.257279       0.000000
       1.433500       0.254051       0.000000
       1.438500       0.250074       0.000000
       1.443500       0.247823       0.000000
       1.448500       0.246394       0.000000
       1.453500       0.246674       0.000000
       1.458500       0.245497       0.000000
       1.463500       0.247745       0.000000
       1.468500       0.244795       0.000000
       1.473500       0.246504       0.000000
       1.478500       0.247774       0.000000
       1.483500       0.250386       0.000000
       1.488500       0.252040       0.000000
       1.493500       0.254035       0.000000
       1.498500       0.256702       0.000000
       1.503500       0.258976       0.000000
       1.508500       0.260393       0.000000
       1.513500       0.262722       0.000000
       1.518500       0.266587       0.000000
       1.523500       0.267787       0.000000
       1.528500       0.271413       0.000000
       1.534000       0.272881       0.000000
       1.540000       0.276936       0.000000
       1.546000       0.278581       0.000000
       1.552000       0.281169       0.000000
       1.558000       0.284380       0.000000
       1.564000       0.284382       0.000000
       1.570500       0.286016       0.000000
       1.577500       0.288046       0.000000
       1.584500       0.291056       0.000000
       1.591500       0.294009       0.000000
       1.598500       0.296726       0.000000
       1.605500       0.301017       0.000000
       1.612500       0.302985       0.000000
       1.619500       0.306310       0.000000
       1.626500       0.308582       0.000000
       1.633500       0.310913       0.000000
       1.640500       0.312353       0.000000
       1.647500       0.312812       0.000000
       1.654500       0.314273       0.000000
       1.661500       0.313257       0.000000
       1.668500       0.313915       0.000000
       1.676000       0.310129       0.000000
       1.684000       0.307373       0.000000
       1.692000       0.307528       0.000000
       1.700000       0.306669       0.000000
       1.708000       0.305143       0.000000
       1.716000       0.297817       0.000000
       1.724000       0.297363       0.000000
       1.732000       0.293643       0.000000
       1.740000       0.294837       0.000000
       1.748000       0.295201       0.000000
       1.756000       0.294967       0.000000
       1.764000       0.290559       0.000000
       1.772000       0.290093       0.000000
       1.780000       0.288819       0.000000
       1.788000       0.292287       0.000000
       1.796000       0.289073       0.000000
       1.805000       0.290408       0.000000
       1.815000       0.291371       0.000000
       1.825000       0.290174       0.000000
       1.835000       0.291888       0.000000
       1.845000       0.292236       0.000000
       1.855000       0.289145       0.000000
       1.865000       0.281522       0.000000
       1.875000       0.265991       0.000000
       1.885000       0.246528       0.000000
       1.895000       0.217162       0.000000
       1.905000       0.192607       0.000000
       1.915000       0.174731       0.000000
       1.925000       0.167362       0.000000
       1.935000       0.168667       0.000000
       1.945000       0.173796       0.000000
       1.955000       0.178027       0.000000
       1.965000       0.189047       0.000000
       1.975000       0.195114       0.000000
       1.985000       0.199649       0.000000
       1.995000       0.206885       0.000000
       2.005000       0.208692       0.000000
       2.015000       0.212199       0.000000
       2.025000       0.208454       0.000000
       2.035000       0.205906       0.000000
       2.045000       0.198905       0.000000
       2.055000       0.194606       0.000000
       2.065000       0.189792       0.000000
       2.075000       0.188181       0.000000
       2.085000       0.189599       0.000000
       2.095000       0.183484       0.000000
       2.105000       0.188294       0.000000
       2.115000       0.189779       0.000000
       2.125000       0.192702       0.000000
       2.135000       0.196175       0.000000
       2.145000       0.200100       0.000000
       2.155000       0.199813       0.000000
       2.165000       0.205536       0.000000
       2.175000       0.208011       0.000000
       2.185000       0.207662       0.000000
       2.195000       0.209104       0.000000
       2.205000       0.211043       0.000000
       2.215000       0.212996       0.000000
       2.225000       0.211070       0.000000
       2.235000       0.205055       0.000000
       2.245000       0.198102       0.000000
       2.255000       0.189812       0.000000
       2.265000       0.186937       0.000000
       2.275000       0.181286       0.000000
       2.285000       0.180128       0.000000
       2.295000       0.180320       0.000000
       2.305000       0.173189       0.000000
