USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lawn_Grass GDS91 shifted 3nm W1R1Ba AREF
copy of splib05a r 12206                                    
       0.205100       0.019783       0.000000
       0.213100       0.019783       0.000000
       0.221100       0.019783       0.000000
       0.229100       0.019783       0.000000
       0.236100       0.019783       0.000000
       0.242100       0.019783       0.000000
       0.248100       0.019783       0.000000
       0.253600       0.019783       0.000000
       0.258600       0.019783       0.000000
       0.263600       0.019783       0.000000
       0.268600       0.019783       0.000000
       0.273100       0.019783       0.000000
       0.277100       0.019783       0.000000
       0.281100       0.019783       0.000000
       0.285100       0.019783       0.000000
       0.289100       0.019783       0.000000
       0.293100       0.019783       0.000000
       0.297100       0.019783       0.000000
       0.301100       0.019783       0.000000
       0.305100       0.019665       0.000000
       0.309100       0.019438       0.000000
       0.313100       0.019635       0.000000
       0.317100       0.019543       0.000000
       0.321100       0.019602       0.000000
       0.325100       0.019768       0.000000
       0.329100       0.018877       0.000000
       0.333100       0.024240       0.000000
       0.337100       0.024636       0.000000
       0.341100       0.021286       0.000000
       0.345100       0.019670       0.000000
       0.349100       0.023316       0.000000
       0.353100       0.025241       0.000000
       0.357100       0.024490       0.000000
       0.360600       0.024418       0.000000
       0.363600       0.025259       0.000000
       0.366600       0.023512       0.000000
       0.369600       0.022063       0.000000
       0.372600       0.019603       0.000000
       0.375600       0.023942       0.000000
       0.378600       0.019830       0.000000
       0.381100       0.020812       0.000000
       0.383100       0.021370       0.000000
       0.385100       0.021527       0.000000
       0.387100       0.021980       0.000000
       0.389100       0.023011       0.000000
       0.391100       0.023350       0.000000
       0.393100       0.023739       0.000000
       0.395100       0.024727       0.000000
       0.397100       0.025173       0.000000
       0.399100       0.025625       0.000000
       0.401100       0.026207       0.000000
       0.403100       0.026743       0.000000
       0.405100       0.027201       0.000000
       0.407100       0.027632       0.000000
       0.409100       0.028089       0.000000
       0.411100       0.028619       0.000000
       0.412800       0.029107       0.000000
       0.415800       0.029792       0.000000
       0.418800       0.029989       0.000000
       0.421800       0.030443       0.000000
       0.424800       0.030570       0.000000
       0.427800       0.030978       0.000000
       0.430800       0.031023       0.000000
       0.433800       0.031599       0.000000
       0.436800       0.031237       0.000000
       0.439800       0.031718       0.000000
       0.442800       0.031861       0.000000
       0.445800       0.035458       0.000000
       0.448800       0.035602       0.000000
       0.451300       0.036235       0.000000
       0.453300       0.036227       0.000000
       0.455300       0.036289       0.000000
       0.457300       0.036437       0.000000
       0.459300       0.036305       0.000000
       0.461300       0.036250       0.000000
       0.463300       0.036199       0.000000
       0.465300       0.036443       0.000000
       0.467300       0.036648       0.000000
       0.469300       0.036357       0.000000
       0.471300       0.036298       0.000000
       0.473300       0.036707       0.000000
       0.475300       0.036635       0.000000
       0.477300       0.036624       0.000000
       0.479300       0.036729       0.000000
       0.481300       0.036670       0.000000
       0.483300       0.036912       0.000000
       0.485300       0.036844       0.000000
       0.487300       0.036751       0.000000
       0.489300       0.037213       0.000000
       0.491300       0.037621       0.000000
       0.493300       0.038325       0.000000
       0.495300       0.038889       0.000000
       0.497300       0.039545       0.000000
       0.499300       0.040675       0.000000
       0.501300       0.041682       0.000000
       0.503300       0.043226       0.000000
       0.505300       0.044851       0.000000
       0.507300       0.046801       0.000000
       0.509300       0.050038       0.000000
       0.511300       0.053002       0.000000
       0.513300       0.055851       0.000000
       0.515300       0.059691       0.000000
       0.517300       0.064478       0.000000
       0.519300       0.068896       0.000000
       0.521300       0.073094       0.000000
       0.523300       0.077367       0.000000
       0.525300       0.081282       0.000000
       0.527300       0.084666       0.000000
       0.529300       0.087540       0.000000
       0.531300       0.089905       0.000000
       0.533300       0.091534       0.000000
       0.535300       0.093289       0.000000
       0.537300       0.094029       0.000000
       0.539300       0.094482       0.000000
       0.541300       0.094923       0.000000
       0.543300       0.095482       0.000000
       0.545300       0.096534       0.000000
       0.547300       0.097224       0.000000
       0.549300       0.097028       0.000000
       0.551300       0.096866       0.000000
       0.553300       0.096701       0.000000
       0.555300       0.095384       0.000000
       0.557300       0.095035       0.000000
       0.559300       0.094018       0.000000
       0.561300       0.091887       0.000000
       0.563300       0.089498       0.000000
       0.565300       0.086763       0.000000
       0.567300       0.083810       0.000000
       0.569300       0.080325       0.000000
       0.571300       0.077676       0.000000
       0.573300       0.075051       0.000000
       0.575300       0.073249       0.000000
       0.577300       0.072376       0.000000
       0.579300       0.069956       0.000000
       0.581300       0.067397       0.000000
       0.583300       0.067320       0.000000
       0.585300       0.067542       0.000000
       0.587300       0.065488       0.000000
       0.589300       0.064404       0.000000
       0.591300       0.064145       0.000000
       0.593300       0.063055       0.000000
       0.595300       0.063490       0.000000
       0.597300       0.063379       0.000000
       0.599300       0.062369       0.000000
       0.601100       0.062635       0.000000
       0.602700       0.061537       0.000000
       0.604300       0.061304       0.000000
       0.605900       0.060933       0.000000
       0.607500       0.059479       0.000000
       0.609100       0.058895       0.000000
       0.610700       0.058860       0.000000
       0.612300       0.057384       0.000000
       0.613900       0.055935       0.000000
       0.615500       0.056007       0.000000
       0.617100       0.055923       0.000000
       0.618700       0.054308       0.000000
       0.620300       0.054016       0.000000
       0.621900       0.054089       0.000000
       0.623500       0.053160       0.000000
       0.625100       0.054286       0.000000
       0.626700       0.053293       0.000000
       0.628300       0.053068       0.000000
       0.629900       0.053267       0.000000
       0.631700       0.052919       0.000000
       0.633700       0.051775       0.000000
       0.635700       0.050548       0.000000
       0.637700       0.049677       0.000000
       0.639700       0.048355       0.000000
       0.641700       0.047759       0.000000
       0.643700       0.046391       0.000000
       0.645700       0.045202       0.000000
       0.647700       0.044556       0.000000
       0.649700       0.043736       0.000000
       0.651700       0.043850       0.000000
       0.653700       0.043300       0.000000
       0.655700       0.042907       0.000000
       0.657700       0.042189       0.000000
       0.659700       0.041143       0.000000
       0.661700       0.040709       0.000000
       0.663700       0.039788       0.000000
       0.665700       0.039065       0.000000
       0.667700       0.038998       0.000000
       0.670200       0.038478       0.000000
       0.673200       0.038824       0.000000
       0.676200       0.038156       0.000000
       0.679200       0.038970       0.000000
       0.682200       0.039697       0.000000
       0.685200       0.042075       0.000000
       0.688200       0.049019       0.000000
       0.691200       0.059077       0.000000
       0.694200       0.071845       0.000000
       0.697200       0.091380       0.000000
       0.700200       0.112659       0.000000
       0.702000       0.126908       0.000000
       0.704000       0.140474       0.000000
       0.706000       0.155132       0.000000
       0.708000       0.171661       0.000000
       0.710000       0.188501       0.000000
       0.712000       0.205976       0.000000
       0.714000       0.224271       0.000000
       0.716000       0.244382       0.000000
       0.718000       0.265257       0.000000
       0.720000       0.287223       0.000000
       0.722000       0.310024       0.000000
       0.724000       0.333928       0.000000
       0.726000       0.358974       0.000000
       0.728000       0.385182       0.000000
       0.730000       0.410529       0.000000
       0.732000       0.435644       0.000000
       0.734000       0.461619       0.000000
       0.736000       0.485374       0.000000
       0.738000       0.507910       0.000000
       0.740000       0.531412       0.000000
       0.742000       0.552958       0.000000
       0.744000       0.570913       0.000000
       0.746000       0.588072       0.000000
       0.748000       0.604505       0.000000
       0.750500       0.620427       0.000000
       0.753500       0.637025       0.000000
       0.756500       0.650617       0.000000
       0.759500       0.660214       0.000000
       0.762500       0.667753       0.000000
       0.765500       0.674394       0.000000
       0.768500       0.678318       0.000000
       0.771500       0.682628       0.000000
       0.774500       0.685887       0.000000
       0.777500       0.687411       0.000000
       0.781000       0.689507       0.000000
       0.785000       0.691684       0.000000
       0.789000       0.693194       0.000000
       0.793000       0.695495       0.000000
       0.797000       0.696940       0.000000
       0.801500       0.698543       0.000000
       0.806500       0.699934       0.000000
       0.811500       0.701188       0.000000
       0.816500       0.703701       0.000000
       0.822000       0.704192       0.000000
       0.828000       0.702536       0.000000
       0.835000       0.703819       0.000000
       0.843000       0.707550       0.000000
       0.851000       0.706754       0.000000
       0.859000       0.703958       0.000000
       0.871000       0.703691       0.000000
       0.883000       0.702712       0.000000
       0.894000       0.706169       0.000000
       0.904000       0.704985       0.000000
       0.914000       0.703512       0.000000
       0.924000       0.699988       0.000000
       0.933000       0.695091       0.000000
       0.941000       0.687053       0.000000
       0.949000       0.674261       0.000000
       0.957000       0.663199       0.000000
       0.964000       0.658790       0.000000
       0.970000       0.657187       0.000000
       0.976000       0.658981       0.000000
       0.982000       0.659254       0.000000
       0.988000       0.659576       0.000000
       0.994000       0.664385       0.000000
       1.000000       0.668383       0.000000
       1.006000       0.670192       0.000000
       1.012000       0.675613       0.000000
       1.018000       0.679831       0.000000
       1.023500       0.682335       0.000000
       1.028500       0.687030       0.000000
       1.033500       0.689564       0.000000
       1.038500       0.692565       0.000000
       1.043500       0.695275       0.000000
       1.048500       0.695138       0.000000
       1.053500       0.697208       0.000000
       1.058500       0.698594       0.000000
       1.063500       0.699411       0.000000
       1.068500       0.698856       0.000000
       1.073500       0.699135       0.000000
       1.078500       0.699566       0.000000
       1.083500       0.698173       0.000000
       1.088500       0.697831       0.000000
       1.093500       0.698062       0.000000
       1.098500       0.693756       0.000000
       1.103500       0.693093       0.000000
       1.108500       0.691166       0.000000
       1.113500       0.689059       0.000000
       1.118500       0.686198       0.000000
       1.123500       0.680563       0.000000
       1.128500       0.670926       0.000000
       1.133500       0.656432       0.000000
       1.138500       0.638156       0.000000
       1.143500       0.618516       0.000000
       1.148500       0.603363       0.000000
       1.153500       0.593427       0.000000
       1.158500       0.586184       0.000000
       1.163500       0.582063       0.000000
       1.168500       0.578710       0.000000
       1.173500       0.576136       0.000000
       1.178500       0.574189       0.000000
       1.183500       0.573592       0.000000
       1.188500       0.573075       0.000000
       1.193500       0.571555       0.000000
       1.198500       0.571659       0.000000
       1.203500       0.571935       0.000000
       1.208500       0.572920       0.000000
       1.213500       0.576180       0.000000
       1.218500       0.578067       0.000000
       1.223500       0.579795       0.000000
       1.228500       0.581517       0.000000
       1.233500       0.584147       0.000000
       1.238500       0.586544       0.000000
       1.243500       0.588778       0.000000
       1.248500       0.591039       0.000000
       1.253500       0.592708       0.000000
       1.258500       0.593830       0.000000
       1.263500       0.593769       0.000000
       1.268500       0.593852       0.000000
       1.273500       0.592176       0.000000
       1.278500       0.590807       0.000000
       1.283500       0.587984       0.000000
       1.288500       0.584973       0.000000
       1.293500       0.580937       0.000000
       1.298500       0.574649       0.000000
       1.303500       0.567739       0.000000
       1.308500       0.559093       0.000000
       1.313500       0.548099       0.000000
       1.318500       0.536634       0.000000
       1.323500       0.523627       0.000000
       1.328500       0.510199       0.000000
       1.333500       0.496753       0.000000
       1.338500       0.483273       0.000000
       1.343500       0.469856       0.000000
       1.348500       0.459991       0.000000
       1.353500       0.451717       0.000000
       1.358500       0.440800       0.000000
       1.363500       0.429123       0.000000
       1.368500       0.413521       0.000000
       1.373500       0.394619       0.000000
       1.378500       0.365653       0.000000
       1.383500       0.329862       0.000000
       1.388500       0.291889       0.000000
       1.393500       0.255284       0.000000
       1.398500       0.224122       0.000000
       1.403500       0.197042       0.000000
       1.408500       0.180803       0.000000
       1.413500       0.169385       0.000000
       1.418500       0.160310       0.000000
       1.423500       0.154199       0.000000
       1.428500       0.149610       0.000000
       1.433500       0.147310       0.000000
       1.438500       0.143276       0.000000
       1.443500       0.141497       0.000000
       1.448500       0.141620       0.000000
       1.453500       0.141966       0.000000
       1.458500       0.144028       0.000000
       1.463500       0.144575       0.000000
       1.468500       0.148390       0.000000
       1.473500       0.153228       0.000000
       1.478500       0.158255       0.000000
       1.483500       0.163862       0.000000
       1.488500       0.170312       0.000000
       1.493500       0.176785       0.000000
       1.498500       0.182428       0.000000
       1.503500       0.189353       0.000000
       1.508500       0.195923       0.000000
       1.513500       0.204463       0.000000
       1.518500       0.212208       0.000000
       1.523500       0.220437       0.000000
       1.528500       0.228315       0.000000
       1.534000       0.234641       0.000000
       1.540000       0.242813       0.000000
       1.546000       0.252412       0.000000
       1.552000       0.260276       0.000000
       1.558000       0.267004       0.000000
       1.564000       0.274415       0.000000
       1.570500       0.281733       0.000000
       1.577500       0.289205       0.000000
       1.584500       0.297090       0.000000
       1.591500       0.304451       0.000000
       1.598500       0.310727       0.000000
       1.605500       0.316348       0.000000
       1.612500       0.323035       0.000000
       1.619500       0.328516       0.000000
       1.626500       0.332273       0.000000
       1.633500       0.336201       0.000000
       1.640500       0.338642       0.000000
       1.647500       0.342291       0.000000
       1.654500       0.344790       0.000000
       1.661500       0.346505       0.000000
       1.668500       0.347001       0.000000
       1.676000       0.344289       0.000000
       1.684000       0.341651       0.000000
       1.692000       0.339686       0.000000
       1.700000       0.337173       0.000000
       1.708000       0.332942       0.000000
       1.716000       0.327455       0.000000
       1.724000       0.320766       0.000000
       1.732000       0.314712       0.000000
       1.740000       0.311519       0.000000
       1.748000       0.302886       0.000000
       1.756000       0.296417       0.000000
       1.764000       0.290038       0.000000
       1.772000       0.285305       0.000000
       1.780000       0.284427       0.000000
       1.788000       0.282962       0.000000
       1.796000       0.281832       0.000000
       1.805000       0.282160       0.000000
       1.815000       0.282719       0.000000
       1.825000       0.282266       0.000000
       1.835000       0.277327       0.000000
       1.845000       0.264352       0.000000
       1.855000       0.242182       0.000000
       1.865000       0.204529       0.000000
       1.875000       0.150356       0.000000
       1.885000       0.099912       0.000000
       1.895000       0.065508       0.000000
       1.905000       0.050089       0.000000
       1.915000       0.043118       0.000000
       1.925000       0.042630       0.000000
       1.935000       0.041793       0.000000
       1.945000       0.041798       0.000000
       1.955000       0.045336       0.000000
       1.965000       0.051737       0.000000
       1.975000       0.054584       0.000000
       1.985000       0.060548       0.000000
       1.995000       0.063812       0.000000
       2.005000       0.071643       0.000000
       2.015000       0.078611       0.000000
       2.025000       0.082962       0.000000
       2.035000       0.087781       0.000000
       2.045000       0.093807       0.000000
       2.055000       0.101988       0.000000
       2.065000       0.107144       0.000000
       2.075000       0.113681       0.000000
       2.085000       0.119362       0.000000
       2.095000       0.126219       0.000000
       2.105000       0.134091       0.000000
       2.115000       0.140124       0.000000
       2.125000       0.143507       0.000000
       2.135000       0.146461       0.000000
       2.145000       0.153118       0.000000
       2.155000       0.154290       0.000000
       2.165000       0.158731       0.000000
       2.175000       0.158758       0.000000
       2.185000       0.161812       0.000000
       2.195000       0.165299       0.000000
       2.205000       0.165538       0.000000
       2.215000       0.167907       0.000000
       2.225000       0.166245       0.000000
       2.235000       0.164331       0.000000
       2.245000       0.161439       0.000000
       2.255000       0.153827       0.000000
       2.265000       0.154755       0.000000
       2.275000       0.145477       0.000000
       2.285000       0.139778       0.000000
       2.295000       0.131408       0.000000
       2.305000       0.125851       0.000000
       2.315000       0.122875       0.000000
       2.325000       0.117289       0.000000
       2.335000       0.112689       0.000000
       2.345000       0.107308       0.000000
