USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
LeafySpurge Spurge-C1-Oct97  W1R1Fa AREF
copy of splib05a r 11416                                    
       0.350000       0.019813       0.000000
       0.351000       0.019813       0.000000
       0.352000       0.019858       0.000000
       0.353000       0.019913       0.000000
       0.354000       0.019990       0.000000
       0.355000       0.020094       0.000000
       0.356000       0.020203       0.000000
       0.357000       0.020292       0.000000
       0.358000       0.020341       0.000000
       0.359000       0.020364       0.000000
       0.360000       0.020381       0.000000
       0.361000       0.020411       0.000000
       0.362000       0.020460       0.000000
       0.363000       0.020529       0.000000
       0.364000       0.020618       0.000000
       0.365000       0.020708       0.000000
       0.366000       0.020780       0.000000
       0.367000       0.020818       0.000000
       0.368000       0.020841       0.000000
       0.369000       0.020872       0.000000
       0.370000       0.020929       0.000000
       0.371000       0.021002       0.000000
       0.372000       0.021073       0.000000
       0.373000       0.021129       0.000000
       0.374000       0.021166       0.000000
       0.375000       0.021185       0.000000
       0.376000       0.021190       0.000000
       0.377000       0.021192       0.000000
       0.378000       0.021208       0.000000
       0.379000       0.021247       0.000000
       0.380000       0.021299       0.000000
       0.381000       0.021347       0.000000
       0.382000       0.021379       0.000000
       0.383000       0.021407       0.000000
       0.384000       0.021446       0.000000
       0.385000       0.021505       0.000000
       0.386000       0.021573       0.000000
       0.387000       0.021630       0.000000
       0.388000       0.021664       0.000000
       0.389000       0.021686       0.000000
       0.390000       0.021713       0.000000
       0.391000       0.021759       0.000000
       0.392000       0.021823       0.000000
       0.393000       0.021897       0.000000
       0.394000       0.021978       0.000000
       0.395000       0.022065       0.000000
       0.396000       0.022160       0.000000
       0.397000       0.022264       0.000000
       0.398000       0.022373       0.000000
       0.399000       0.022485       0.000000
       0.400000       0.022596       0.000000
       0.401000       0.022707       0.000000
       0.402000       0.022819       0.000000
       0.403000       0.022934       0.000000
       0.404000       0.023048       0.000000
       0.405000       0.023157       0.000000
       0.406000       0.023261       0.000000
       0.407000       0.023365       0.000000
       0.408000       0.023478       0.000000
       0.409000       0.023607       0.000000
       0.410000       0.023751       0.000000
       0.411000       0.023908       0.000000
       0.412000       0.024075       0.000000
       0.413000       0.024250       0.000000
       0.414000       0.024431       0.000000
       0.415000       0.024617       0.000000
       0.416000       0.024812       0.000000
       0.417000       0.025021       0.000000
       0.418000       0.025247       0.000000
       0.419000       0.025490       0.000000
       0.420000       0.025746       0.000000
       0.421000       0.026015       0.000000
       0.422000       0.026295       0.000000
       0.423000       0.026584       0.000000
       0.424000       0.026883       0.000000
       0.425000       0.027190       0.000000
       0.426000       0.027504       0.000000
       0.427000       0.027823       0.000000
       0.428000       0.028149       0.000000
       0.429000       0.028485       0.000000
       0.430000       0.028832       0.000000
       0.431000       0.029190       0.000000
       0.432000       0.029561       0.000000
       0.433000       0.029940       0.000000
       0.434000       0.030321       0.000000
       0.435000       0.030693       0.000000
       0.436000       0.031046       0.000000
       0.437000       0.031383       0.000000
       0.438000       0.031708       0.000000
       0.439000       0.032023       0.000000
       0.440000       0.032330       0.000000
       0.441000       0.032629       0.000000
       0.442000       0.032919       0.000000
       0.443000       0.033200       0.000000
       0.444000       0.033467       0.000000
       0.445000       0.033719       0.000000
       0.446000       0.033956       0.000000
       0.447000       0.034179       0.000000
       0.448000       0.034389       0.000000
       0.449000       0.034587       0.000000
       0.450000       0.034775       0.000000
       0.451000       0.034953       0.000000
       0.452000       0.035122       0.000000
       0.453000       0.035281       0.000000
       0.454000       0.035432       0.000000
       0.455000       0.035576       0.000000
       0.456000       0.035715       0.000000
       0.457000       0.035852       0.000000
       0.458000       0.035985       0.000000
       0.459000       0.036113       0.000000
       0.460000       0.036236       0.000000
       0.461000       0.036355       0.000000
       0.462000       0.036472       0.000000
       0.463000       0.036589       0.000000
       0.464000       0.036707       0.000000
       0.465000       0.036827       0.000000
       0.466000       0.036949       0.000000
       0.467000       0.037071       0.000000
       0.468000       0.037190       0.000000
       0.469000       0.037306       0.000000
       0.470000       0.037417       0.000000
       0.471000       0.037525       0.000000
       0.472000       0.037629       0.000000
       0.473000       0.037728       0.000000
       0.474000       0.037821       0.000000
       0.475000       0.037908       0.000000
       0.476000       0.037988       0.000000
       0.477000       0.038061       0.000000
       0.478000       0.038125       0.000000
       0.479000       0.038182       0.000000
       0.480000       0.038231       0.000000
       0.481000       0.038274       0.000000
       0.482000       0.038312       0.000000
       0.483000       0.038351       0.000000
       0.484000       0.038392       0.000000
       0.485000       0.038436       0.000000
       0.486000       0.038479       0.000000
       0.487000       0.038522       0.000000
       0.488000       0.038567       0.000000
       0.489000       0.038619       0.000000
       0.490000       0.038682       0.000000
       0.491000       0.038756       0.000000
       0.492000       0.038842       0.000000
       0.493000       0.038939       0.000000
       0.494000       0.039047       0.000000
       0.495000       0.039160       0.000000
       0.496000       0.039279       0.000000
       0.497000       0.039407       0.000000
       0.498000       0.039548       0.000000
       0.499000       0.039706       0.000000
       0.500000       0.039878       0.000000
       0.501000       0.040061       0.000000
       0.502000       0.040251       0.000000
       0.503000       0.040451       0.000000
       0.504000       0.040666       0.000000
       0.505000       0.040897       0.000000
       0.506000       0.041143       0.000000
       0.507000       0.041398       0.000000
       0.508000       0.041658       0.000000
       0.509000       0.041926       0.000000
       0.510000       0.042203       0.000000
       0.511000       0.042493       0.000000
       0.512000       0.042793       0.000000
       0.513000       0.043103       0.000000
       0.514000       0.043422       0.000000
       0.515000       0.043747       0.000000
       0.516000       0.044078       0.000000
       0.517000       0.044414       0.000000
       0.518000       0.044757       0.000000
       0.519000       0.045108       0.000000
       0.520000       0.045467       0.000000
       0.521000       0.045828       0.000000
       0.522000       0.046185       0.000000
       0.523000       0.046532       0.000000
       0.524000       0.046869       0.000000
       0.525000       0.047197       0.000000
       0.526000       0.047516       0.000000
       0.527000       0.047826       0.000000
       0.528000       0.048126       0.000000
       0.529000       0.048417       0.000000
       0.530000       0.048698       0.000000
       0.531000       0.048971       0.000000
       0.532000       0.049237       0.000000
       0.533000       0.049494       0.000000
       0.534000       0.049740       0.000000
       0.535000       0.049972       0.000000
       0.536000       0.050193       0.000000
       0.537000       0.050406       0.000000
       0.538000       0.050614       0.000000
       0.539000       0.050819       0.000000
       0.540000       0.051021       0.000000
       0.541000       0.051224       0.000000
       0.542000       0.051426       0.000000
       0.543000       0.051630       0.000000
       0.544000       0.051834       0.000000
       0.545000       0.052040       0.000000
       0.546000       0.052247       0.000000
       0.547000       0.052455       0.000000
       0.548000       0.052666       0.000000
       0.549000       0.052883       0.000000
       0.550000       0.053107       0.000000
       0.551000       0.053339       0.000000
       0.552000       0.053576       0.000000
       0.553000       0.053817       0.000000
       0.554000       0.054061       0.000000
       0.555000       0.054310       0.000000
       0.556000       0.054562       0.000000
       0.557000       0.054821       0.000000
       0.558000       0.055089       0.000000
       0.559000       0.055368       0.000000
       0.560000       0.055659       0.000000
       0.561000       0.055961       0.000000
       0.562000       0.056275       0.000000
       0.563000       0.056601       0.000000
       0.564000       0.056941       0.000000
       0.565000       0.057296       0.000000
       0.566000       0.057668       0.000000
       0.567000       0.058058       0.000000
       0.568000       0.058468       0.000000
       0.569000       0.058898       0.000000
       0.570000       0.059349       0.000000
       0.571000       0.059821       0.000000
       0.572000       0.060317       0.000000
       0.573000       0.060836       0.000000
       0.574000       0.061383       0.000000
       0.575000       0.061957       0.000000
       0.576000       0.062562       0.000000
       0.577000       0.063201       0.000000
       0.578000       0.063873       0.000000
       0.579000       0.064579       0.000000
       0.580000       0.065321       0.000000
       0.581000       0.066096       0.000000
       0.582000       0.066902       0.000000
       0.583000       0.067739       0.000000
       0.584000       0.068601       0.000000
       0.585000       0.069484       0.000000
       0.586000       0.070386       0.000000
       0.587000       0.071313       0.000000
       0.588000       0.072270       0.000000
       0.589000       0.073264       0.000000
       0.590000       0.074295       0.000000
       0.591000       0.075363       0.000000
       0.592000       0.076464       0.000000
       0.593000       0.077588       0.000000
       0.594000       0.078721       0.000000
       0.595000       0.079854       0.000000
       0.596000       0.080986       0.000000
       0.597000       0.082118       0.000000
       0.598000       0.083252       0.000000
       0.599000       0.084379       0.000000
       0.600000       0.085493       0.000000
       0.601000       0.086586       0.000000
       0.602000       0.087658       0.000000
       0.603000       0.088708       0.000000
       0.604000       0.089737       0.000000
       0.605000       0.090736       0.000000
       0.606000       0.091693       0.000000
       0.607000       0.092601       0.000000
       0.608000       0.093467       0.000000
       0.609000       0.094299       0.000000
       0.610000       0.095106       0.000000
       0.611000       0.095895       0.000000
       0.612000       0.096671       0.000000
       0.613000       0.097440       0.000000
       0.614000       0.098196       0.000000
       0.615000       0.098932       0.000000
       0.616000       0.099642       0.000000
       0.617000       0.100330       0.000000
       0.618000       0.101001       0.000000
       0.619000       0.101659       0.000000
       0.620000       0.102304       0.000000
       0.621000       0.102935       0.000000
       0.622000       0.103550       0.000000
       0.623000       0.104155       0.000000
       0.624000       0.104755       0.000000
       0.625000       0.105356       0.000000
       0.626000       0.105963       0.000000
       0.627000       0.106580       0.000000
       0.628000       0.107209       0.000000
       0.629000       0.107844       0.000000
       0.630000       0.108475       0.000000
       0.631000       0.109093       0.000000
       0.632000       0.109693       0.000000
       0.633000       0.110269       0.000000
       0.634000       0.110815       0.000000
       0.635000       0.111320       0.000000
       0.636000       0.111771       0.000000
       0.637000       0.112157       0.000000
       0.638000       0.112466       0.000000
       0.639000       0.112689       0.000000
       0.640000       0.112818       0.000000
       0.641000       0.112859       0.000000
       0.642000       0.112822       0.000000
       0.643000       0.112715       0.000000
       0.644000       0.112550       0.000000
       0.645000       0.112336       0.000000
       0.646000       0.112087       0.000000
       0.647000       0.111818       0.000000
       0.648000       0.111546       0.000000
       0.649000       0.111288       0.000000
       0.650000       0.111064       0.000000
       0.651000       0.110893       0.000000
       0.652000       0.110788       0.000000
       0.653000       0.110737       0.000000
       0.654000       0.110720       0.000000
       0.655000       0.110718       0.000000
       0.656000       0.110714       0.000000
       0.657000       0.110685       0.000000
       0.658000       0.110613       0.000000
       0.659000       0.110478       0.000000
       0.660000       0.110260       0.000000
       0.661000       0.109946       0.000000
       0.662000       0.109549       0.000000
       0.663000       0.109090       0.000000
       0.664000       0.108586       0.000000
       0.665000       0.108055       0.000000
       0.666000       0.107511       0.000000
       0.667000       0.106969       0.000000
       0.668000       0.106447       0.000000
       0.669000       0.105961       0.000000
       0.670000       0.105529       0.000000
       0.671000       0.105162       0.000000
       0.672000       0.104871       0.000000
       0.673000       0.104665       0.000000
       0.674000       0.104538       0.000000
       0.675000       0.104483       0.000000
       0.676000       0.104495       0.000000
       0.677000       0.104583       0.000000
       0.678000       0.104761       0.000000
       0.679000       0.105046       0.000000
       0.680000       0.105470       0.000000
       0.681000       0.106070       0.000000
       0.682000       0.106880       0.000000
       0.683000       0.107919       0.000000
       0.684000       0.109201       0.000000
       0.685000       0.110748       0.000000
       0.686000       0.112604       0.000000
       0.687000       0.114822       0.000000
       0.688000       0.117432       0.000000
       0.689000       0.120392       0.000000
       0.690000       0.123642       0.000000
       0.691000       0.127118       0.000000
       0.692000       0.130751       0.000000
       0.693000       0.134470       0.000000
       0.694000       0.138215       0.000000
       0.695000       0.141973       0.000000
       0.696000       0.145743       0.000000
       0.697000       0.149518       0.000000
       0.698000       0.153274       0.000000
       0.699000       0.156980       0.000000
       0.700000       0.160613       0.000000
       0.701000       0.164175       0.000000
       0.702000       0.167674       0.000000
       0.703000       0.171113       0.000000
       0.704000       0.174467       0.000000
       0.705000       0.177703       0.000000
       0.706000       0.180797       0.000000
       0.707000       0.183759       0.000000
       0.708000       0.186607       0.000000
       0.709000       0.189360       0.000000
       0.710000       0.192033       0.000000
       0.711000       0.194640       0.000000
       0.712000       0.197192       0.000000
       0.713000       0.199677       0.000000
       0.714000       0.202081       0.000000
       0.715000       0.204393       0.000000
       0.716000       0.206630       0.000000
       0.717000       0.208814       0.000000
       0.718000       0.210965       0.000000
       0.719000       0.213105       0.000000
       0.720000       0.215252       0.000000
       0.721000       0.217413       0.000000
       0.722000       0.219539       0.000000
       0.723000       0.221571       0.000000
       0.724000       0.223465       0.000000
       0.725000       0.225249       0.000000
       0.726000       0.226971       0.000000
       0.727000       0.228666       0.000000
       0.728000       0.230330       0.000000
       0.729000       0.231949       0.000000
       0.730000       0.233510       0.000000
       0.731000       0.235010       0.000000
       0.732000       0.236445       0.000000
       0.733000       0.237813       0.000000
       0.734000       0.239113       0.000000
       0.735000       0.240345       0.000000
       0.736000       0.241510       0.000000
       0.737000       0.242621       0.000000
       0.738000       0.243695       0.000000
       0.739000       0.244742       0.000000
       0.740000       0.245763       0.000000
       0.741000       0.246751       0.000000
       0.742000       0.247701       0.000000
       0.743000       0.248612       0.000000
       0.744000       0.249482       0.000000
       0.745000       0.250311       0.000000
       0.746000       0.251102       0.000000
       0.747000       0.251861       0.000000
       0.748000       0.252592       0.000000
       0.749000       0.253299       0.000000
       0.750000       0.253985       0.000000
       0.751000       0.254651       0.000000
       0.752000       0.255294       0.000000
       0.753000       0.255912       0.000000
       0.754000       0.256503       0.000000
       0.755000       0.257080       0.000000
       0.756000       0.257658       0.000000
       0.757000       0.258234       0.000000
       0.758000       0.258727       0.000000
       0.759000       0.259036       0.000000
       0.760000       0.259110       0.000000
       0.761000       0.259099       0.000000
       0.762000       0.259202       0.000000
       0.763000       0.259571       0.000000
       0.764000       0.260172       0.000000
       0.765000       0.260926       0.000000
       0.766000       0.261753       0.000000
       0.767000       0.262577       0.000000
       0.768000       0.263320       0.000000
       0.769000       0.263927       0.000000
       0.770000       0.264427       0.000000
       0.771000       0.264867       0.000000
       0.772000       0.265290       0.000000
       0.773000       0.265706       0.000000
       0.774000       0.266120       0.000000
       0.775000       0.266535       0.000000
       0.776000       0.266952       0.000000
       0.777000       0.267369       0.000000
       0.778000       0.267787       0.000000
       0.779000       0.268200       0.000000
       0.780000       0.268602       0.000000
       0.781000       0.268990       0.000000
       0.782000       0.269371       0.000000
       0.783000       0.269753       0.000000
       0.784000       0.270142       0.000000
       0.785000       0.270537       0.000000
       0.786000       0.270935       0.000000
       0.787000       0.271333       0.000000
       0.788000       0.271725       0.000000
       0.789000       0.272108       0.000000
       0.790000       0.272479       0.000000
       0.791000       0.272848       0.000000
       0.792000       0.273226       0.000000
       0.793000       0.273622       0.000000
       0.794000       0.274025       0.000000
       0.795000       0.274422       0.000000
       0.796000       0.274803       0.000000
       0.797000       0.275174       0.000000
       0.798000       0.275543       0.000000
       0.799000       0.275918       0.000000
       0.800000       0.276293       0.000000
       0.801000       0.276656       0.000000
       0.802000       0.277004       0.000000
       0.803000       0.277348       0.000000
       0.804000       0.277703       0.000000
       0.805000       0.278079       0.000000
