USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lichen Licedea-2             W1R1Fb AREF
copy of splib05a r 11482                                    
       0.350000       0.000330       0.000000
       0.351000       0.000330       0.000000
       0.352000       0.002093       0.000000
       0.353000       0.003340       0.000000
       0.354000       0.003557       0.000000
       0.355000       0.002534       0.000000
       0.356000       0.001292       0.000000
       0.357000       0.001158       0.000000
       0.358000       0.002934       0.000000
       0.359000       0.005313       0.000000
       0.360000       0.006463       0.000000
       0.361000       0.005181       0.000000
       0.362000       0.002788       0.000000
       0.363000       0.001236       0.000000
       0.364000       0.001933       0.000000
       0.365000       0.004113       0.000000
       0.366000       0.006463       0.000000
       0.367000       0.007861       0.000000
       0.368000       0.007936       0.000000
       0.369000       0.006507       0.000000
       0.370000       0.003727       0.000000
       0.371000       0.001097       0.000000
       0.372000       0.000456       0.000000
       0.373000       0.002934       0.000000
       0.374000       0.006847       0.000000
       0.375000       0.009802       0.000000
       0.376000       0.010030       0.000000
       0.377000       0.008248       0.000000
       0.378000       0.005794       0.000000
       0.379000       0.003848       0.000000
       0.380000       0.002966       0.000000
       0.381000       0.003543       0.000000
       0.382000       0.005640       0.000000
       0.383000       0.007964       0.000000
       0.384000       0.008886       0.000000
       0.385000       0.007449       0.000000
       0.386000       0.005389       0.000000
       0.387000       0.005113       0.000000
       0.388000       0.008167       0.000000
       0.389000       0.012655       0.000000
       0.390000       0.015814       0.000000
       0.391000       0.015687       0.000000
       0.392000       0.013522       0.000000
       0.393000       0.011369       0.000000
       0.394000       0.010887       0.000000
       0.395000       0.012181       0.000000
       0.396000       0.014963       0.000000
       0.397000       0.018788       0.000000
       0.398000       0.022562       0.000000
       0.399000       0.025031       0.000000
       0.400000       0.025418       0.000000
       0.401000       0.024847       0.000000
       0.402000       0.024918       0.000000
       0.403000       0.026737       0.000000
       0.404000       0.029430       0.000000
       0.405000       0.031628       0.000000
       0.406000       0.032343       0.000000
       0.407000       0.032104       0.000000
       0.408000       0.031821       0.000000
       0.409000       0.032191       0.000000
       0.410000       0.033068       0.000000
       0.411000       0.034091       0.000000
       0.412000       0.034946       0.000000
       0.413000       0.035496       0.000000
       0.414000       0.035647       0.000000
       0.415000       0.035397       0.000000
       0.416000       0.035103       0.000000
       0.417000       0.035212       0.000000
       0.418000       0.036002       0.000000
       0.419000       0.037087       0.000000
       0.420000       0.037909       0.000000
       0.421000       0.038085       0.000000
       0.422000       0.037916       0.000000
       0.423000       0.037877       0.000000
       0.424000       0.038312       0.000000
       0.425000       0.039053       0.000000
       0.426000       0.039803       0.000000
       0.427000       0.040322       0.000000
       0.428000       0.040597       0.000000
       0.429000       0.040675       0.000000
       0.430000       0.040631       0.000000
       0.431000       0.040664       0.000000
       0.432000       0.041002       0.000000
       0.433000       0.041777       0.000000
       0.434000       0.042727       0.000000
       0.435000       0.043491       0.000000
       0.436000       0.043812       0.000000
       0.437000       0.043847       0.000000
       0.438000       0.043854       0.000000
       0.439000       0.044031       0.000000
       0.440000       0.044323       0.000000
       0.441000       0.044616       0.000000
       0.442000       0.044823       0.000000
       0.443000       0.044973       0.000000
       0.444000       0.045123       0.000000
       0.445000       0.045318       0.000000
       0.446000       0.045551       0.000000
       0.447000       0.045803       0.000000
       0.448000       0.046060       0.000000
       0.449000       0.046326       0.000000
       0.450000       0.046613       0.000000
       0.451000       0.046924       0.000000
       0.452000       0.047224       0.000000
       0.453000       0.047473       0.000000
       0.454000       0.047650       0.000000
       0.455000       0.047818       0.000000
       0.456000       0.048064       0.000000
       0.457000       0.048440       0.000000
       0.458000       0.048861       0.000000
       0.459000       0.049211       0.000000
       0.460000       0.049404       0.000000
       0.461000       0.049483       0.000000
       0.462000       0.049524       0.000000
       0.463000       0.049592       0.000000
       0.464000       0.049704       0.000000
       0.465000       0.049865       0.000000
       0.466000       0.050064       0.000000
       0.467000       0.050223       0.000000
       0.468000       0.050245       0.000000
       0.469000       0.050082       0.000000
       0.470000       0.049865       0.000000
       0.471000       0.049769       0.000000
       0.472000       0.049912       0.000000
       0.473000       0.050169       0.000000
       0.474000       0.050357       0.000000
       0.475000       0.050344       0.000000
       0.476000       0.050208       0.000000
       0.477000       0.050078       0.000000
       0.478000       0.050059       0.000000
       0.479000       0.050144       0.000000
       0.480000       0.050301       0.000000
       0.481000       0.050492       0.000000
       0.482000       0.050673       0.000000
       0.483000       0.050794       0.000000
       0.484000       0.050833       0.000000
       0.485000       0.050866       0.000000
       0.486000       0.050999       0.000000
       0.487000       0.051288       0.000000
       0.488000       0.051612       0.000000
       0.489000       0.051802       0.000000
       0.490000       0.051751       0.000000
       0.491000       0.051599       0.000000
       0.492000       0.051545       0.000000
       0.493000       0.051734       0.000000
       0.494000       0.052086       0.000000
       0.495000       0.052465       0.000000
       0.496000       0.052756       0.000000
       0.497000       0.052932       0.000000
       0.498000       0.052985       0.000000
       0.499000       0.052931       0.000000
       0.500000       0.052870       0.000000
       0.501000       0.052923       0.000000
       0.502000       0.053174       0.000000
       0.503000       0.053555       0.000000
       0.504000       0.053959       0.000000
       0.505000       0.054303       0.000000
       0.506000       0.054589       0.000000
       0.507000       0.054840       0.000000
       0.508000       0.055079       0.000000
       0.509000       0.055320       0.000000
       0.510000       0.055574       0.000000
       0.511000       0.055853       0.000000
       0.512000       0.056165       0.000000
       0.513000       0.056516       0.000000
       0.514000       0.056907       0.000000
       0.515000       0.057305       0.000000
       0.516000       0.057674       0.000000
       0.517000       0.057975       0.000000
       0.518000       0.058181       0.000000
       0.519000       0.058265       0.000000
       0.520000       0.058231       0.000000
       0.521000       0.058205       0.000000
       0.522000       0.058343       0.000000
       0.523000       0.058740       0.000000
       0.524000       0.059249       0.000000
       0.525000       0.059664       0.000000
       0.526000       0.059840       0.000000
       0.527000       0.059871       0.000000
       0.528000       0.059914       0.000000
       0.529000       0.060086       0.000000
       0.530000       0.060340       0.000000
       0.531000       0.060587       0.000000
       0.532000       0.060762       0.000000
       0.533000       0.060878       0.000000
       0.534000       0.060967       0.000000
       0.535000       0.061059       0.000000
       0.536000       0.061165       0.000000
       0.537000       0.061291       0.000000
       0.538000       0.061444       0.000000
       0.539000       0.061618       0.000000
       0.540000       0.061808       0.000000
       0.541000       0.062010       0.000000
       0.542000       0.062219       0.000000
       0.543000       0.062433       0.000000
       0.544000       0.062650       0.000000
       0.545000       0.062878       0.000000
       0.546000       0.063124       0.000000
       0.547000       0.063390       0.000000
       0.548000       0.063651       0.000000
       0.549000       0.063876       0.000000
       0.550000       0.064047       0.000000
       0.551000       0.064193       0.000000
       0.552000       0.064356       0.000000
       0.553000       0.064564       0.000000
       0.554000       0.064795       0.000000
       0.555000       0.065014       0.000000
       0.556000       0.065197       0.000000
       0.557000       0.065361       0.000000
       0.558000       0.065531       0.000000
       0.559000       0.065730       0.000000
       0.560000       0.065954       0.000000
       0.561000       0.066192       0.000000
       0.562000       0.066436       0.000000
       0.563000       0.066682       0.000000
       0.564000       0.066925       0.000000
       0.565000       0.067158       0.000000
       0.566000       0.067359       0.000000
       0.567000       0.067501       0.000000
       0.568000       0.067575       0.000000
       0.569000       0.067650       0.000000
       0.570000       0.067809       0.000000
       0.571000       0.068107       0.000000
       0.572000       0.068480       0.000000
       0.573000       0.068831       0.000000
       0.574000       0.069084       0.000000
       0.575000       0.069238       0.000000
       0.576000       0.069314       0.000000
       0.577000       0.069334       0.000000
       0.578000       0.069338       0.000000
       0.579000       0.069371       0.000000
       0.580000       0.069462       0.000000
       0.581000       0.069580       0.000000
       0.582000       0.069683       0.000000
       0.583000       0.069737       0.000000
       0.584000       0.069765       0.000000
       0.585000       0.069798       0.000000
       0.586000       0.069860       0.000000
       0.587000       0.069932       0.000000
       0.588000       0.069985       0.000000
       0.589000       0.070001       0.000000
       0.590000       0.070005       0.000000
       0.591000       0.070032       0.000000
       0.592000       0.070110       0.000000
       0.593000       0.070243       0.000000
       0.594000       0.070425       0.000000
       0.595000       0.070642       0.000000
       0.596000       0.070842       0.000000
       0.597000       0.070964       0.000000
       0.598000       0.070971       0.000000
       0.599000       0.070932       0.000000
       0.600000       0.070940       0.000000
       0.601000       0.071063       0.000000
       0.602000       0.071261       0.000000
       0.603000       0.071467       0.000000
       0.604000       0.071626       0.000000
       0.605000       0.071715       0.000000
       0.606000       0.071724       0.000000
       0.607000       0.071658       0.000000
       0.608000       0.071594       0.000000
       0.609000       0.071626       0.000000
       0.610000       0.071810       0.000000
       0.611000       0.072055       0.000000
       0.612000       0.072234       0.000000
       0.613000       0.072258       0.000000
       0.614000       0.072199       0.000000
       0.615000       0.072169       0.000000
       0.616000       0.072254       0.000000
       0.617000       0.072437       0.000000
       0.618000       0.072675       0.000000
       0.619000       0.072924       0.000000
       0.620000       0.073141       0.000000
       0.621000       0.073286       0.000000
       0.622000       0.073335       0.000000
       0.623000       0.073349       0.000000
       0.624000       0.073406       0.000000
       0.625000       0.073562       0.000000
       0.626000       0.073774       0.000000
       0.627000       0.073976       0.000000
       0.628000       0.074122       0.000000
       0.629000       0.074252       0.000000
       0.630000       0.074430       0.000000
       0.631000       0.074696       0.000000
       0.632000       0.075002       0.000000
       0.633000       0.075279       0.000000
       0.634000       0.075472       0.000000
       0.635000       0.075594       0.000000
       0.636000       0.075676       0.000000
       0.637000       0.075746       0.000000
       0.638000       0.075825       0.000000
       0.639000       0.075935       0.000000
       0.640000       0.076089       0.000000
       0.641000       0.076268       0.000000
       0.642000       0.076444       0.000000
       0.643000       0.076591       0.000000
       0.644000       0.076700       0.000000
       0.645000       0.076762       0.000000
       0.646000       0.076777       0.000000
       0.647000       0.076777       0.000000
       0.648000       0.076799       0.000000
       0.649000       0.076876       0.000000
       0.650000       0.077014       0.000000
       0.651000       0.077216       0.000000
       0.652000       0.077473       0.000000
       0.653000       0.077737       0.000000
       0.654000       0.077955       0.000000
       0.655000       0.078084       0.000000
       0.656000       0.078140       0.000000
       0.657000       0.078148       0.000000
       0.658000       0.078137       0.000000
       0.659000       0.078126       0.000000
       0.660000       0.078134       0.000000
       0.661000       0.078178       0.000000
       0.662000       0.078269       0.000000
       0.663000       0.078419       0.000000
       0.664000       0.078627       0.000000
       0.665000       0.078844       0.000000
       0.666000       0.079008       0.000000
       0.667000       0.079082       0.000000
       0.668000       0.079122       0.000000
       0.669000       0.079209       0.000000
       0.670000       0.079398       0.000000
       0.671000       0.079654       0.000000
       0.672000       0.079919       0.000000
       0.673000       0.080144       0.000000
       0.674000       0.080309       0.000000
       0.675000       0.080406       0.000000
       0.676000       0.080443       0.000000
       0.677000       0.080501       0.000000
       0.678000       0.080680       0.000000
       0.679000       0.081039       0.000000
       0.680000       0.081476       0.000000
       0.681000       0.081848       0.000000
       0.682000       0.082054       0.000000
       0.683000       0.082160       0.000000
       0.684000       0.082275       0.000000
       0.685000       0.082485       0.000000
       0.686000       0.082799       0.000000
       0.687000       0.083208       0.000000
       0.688000       0.083695       0.000000
       0.689000       0.084222       0.000000
       0.690000       0.084745       0.000000
       0.691000       0.085240       0.000000
       0.692000       0.085770       0.000000
       0.693000       0.086415       0.000000
       0.694000       0.087230       0.000000
       0.695000       0.088156       0.000000
       0.696000       0.089110       0.000000
       0.697000       0.090030       0.000000
       0.698000       0.090956       0.000000
       0.699000       0.091954       0.000000
       0.700000       0.093071       0.000000
       0.701000       0.094297       0.000000
       0.702000       0.095601       0.000000
       0.703000       0.096959       0.000000
       0.704000       0.098368       0.000000
       0.705000       0.099826       0.000000
       0.706000       0.101335       0.000000
       0.707000       0.102892       0.000000
       0.708000       0.104498       0.000000
       0.709000       0.106139       0.000000
       0.710000       0.107757       0.000000
       0.711000       0.109283       0.000000
       0.712000       0.110673       0.000000
       0.713000       0.111991       0.000000
       0.714000       0.113324       0.000000
       0.715000       0.114734       0.000000
       0.716000       0.116172       0.000000
       0.717000       0.117562       0.000000
       0.718000       0.118842       0.000000
       0.719000       0.120008       0.000000
       0.720000       0.121071       0.000000
       0.721000       0.122051       0.000000
       0.722000       0.123005       0.000000
       0.723000       0.123998       0.000000
       0.724000       0.125069       0.000000
       0.725000       0.126151       0.000000
       0.726000       0.127149       0.000000
       0.727000       0.127998       0.000000
       0.728000       0.128753       0.000000
       0.729000       0.129497       0.000000
       0.730000       0.130294       0.000000
       0.731000       0.131119       0.000000
       0.732000       0.131928       0.000000
       0.733000       0.132684       0.000000
       0.734000       0.133395       0.000000
       0.735000       0.134081       0.000000
       0.736000       0.134755       0.000000
       0.737000       0.135416       0.000000
       0.738000       0.136057       0.000000
       0.739000       0.136678       0.000000
       0.740000       0.137289       0.000000
       0.741000       0.137907       0.000000
       0.742000       0.138543       0.000000
       0.743000       0.139185       0.000000
       0.744000       0.139818       0.000000
       0.745000       0.140428       0.000000
       0.746000       0.141006       0.000000
       0.747000       0.141547       0.000000
       0.748000       0.142051       0.000000
       0.749000       0.142547       0.000000
       0.750000       0.143071       0.000000
       0.751000       0.143646       0.000000
       0.752000       0.144242       0.000000
       0.753000       0.144820       0.000000
       0.754000       0.145349       0.000000
       0.755000       0.145851       0.000000
       0.756000       0.146359       0.000000
       0.757000       0.146893       0.000000
       0.758000       0.147424       0.000000
       0.759000       0.147910       0.000000
       0.760000       0.148324       0.000000
       0.761000       0.148714       0.000000
       0.762000       0.149139       0.000000
       0.763000       0.149648       0.000000
       0.764000       0.150219       0.000000
       0.765000       0.150816       0.000000
       0.766000       0.151401       0.000000
       0.767000       0.151935       0.000000
       0.768000       0.152378       0.000000
       0.769000       0.152711       0.000000
       0.770000       0.153009       0.000000
       0.771000       0.153365       0.000000
       0.772000       0.153846       0.000000
       0.773000       0.154401       0.000000
       0.774000       0.154953       0.000000
       0.775000       0.155441       0.000000
       0.776000       0.155883       0.000000
       0.777000       0.156316       0.000000
       0.778000       0.156768       0.000000
       0.779000       0.157234       0.000000
       0.780000       0.157700       0.000000
       0.781000       0.158154       0.000000
       0.782000       0.158602       0.000000
       0.783000       0.159054       0.000000
       0.784000       0.159516       0.000000
       0.785000       0.159990       0.000000
       0.786000       0.160478       0.000000
       0.787000       0.160977       0.000000
       0.788000       0.161476       0.000000
       0.789000       0.161961       0.000000
       0.790000       0.162427       0.000000
       0.791000       0.162895       0.000000
       0.792000       0.163399       0.000000
       0.793000       0.163956       0.000000
       0.794000       0.164533       0.000000
       0.795000       0.165086       0.000000
       0.796000       0.165585       0.000000
       0.797000       0.166056       0.000000
       0.798000       0.166539       0.000000
       0.799000       0.167067       0.000000
       0.800000       0.167638       0.000000
       0.801000       0.168243       0.000000
       0.802000       0.168867       0.000000
       0.803000       0.169482       0.000000
       0.804000       0.170055       0.000000
       0.805000       0.170565       0.000000
