USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lichen Xanthoria-1           W1R1Fb AREF
copy of splib05a r 11551                                    
       0.350000       0.000000       0.000000
       0.351000       0.000000       0.000000
       0.352000       0.000000       0.000000
       0.353000       0.000000       0.000000
       0.354000      -0.000000      -0.000000
       0.355000      -0.000000      -0.000000
       0.356000      -0.000000      -0.000000
       0.357000       0.000000       0.000000
       0.358000       0.000000       0.000000
       0.359000       0.000000       0.000000
       0.360000      -0.000000      -0.000000
       0.361000      -0.000000      -0.000000
       0.362000      -0.000000      -0.000000
       0.363000       0.000000       0.000000
       0.364000       0.000000       0.000000
       0.365000       0.000000       0.000000
       0.366000       0.000000       0.000000
       0.367000      -0.000000      -0.000000
       0.368000      -0.000000      -0.000000
       0.369000       0.000000       0.000000
       0.370000       0.000000       0.000000
       0.371000       0.000000       0.000000
       0.372000       0.000000       0.000000
       0.373000      -0.000000      -0.000000
       0.374000      -0.000000      -0.000000
       0.375000       0.000000       0.000000
       0.376000       0.000000       0.000000
       0.377000       0.000000       0.000000
       0.378000       0.000000       0.000000
       0.379000      -0.000000      -0.000000
       0.380000      -0.000000      -0.000000
       0.381000      -0.000000      -0.000000
       0.382000       0.000000       0.000000
       0.383000       0.000000       0.000000
       0.384000      -0.000000      -0.000000
       0.385000      -0.000000      -0.000000
       0.386000      -0.000000      -0.000000
       0.387000       0.000000       0.000000
       0.388000       0.000000       0.000000
       0.389000       0.000000       0.000000
       0.390000      -0.000000      -0.000000
       0.391000      -0.000000      -0.000000
       0.392000      -0.000000      -0.000000
       0.393000       0.000000       0.000000
       0.394000       0.000000       0.000000
       0.395000       0.000000       0.000000
       0.396000      -0.000000      -0.000000
       0.397000      -0.000000      -0.000000
       0.398000      -0.000000      -0.000000
       0.399000       0.000000       0.000000
       0.400000       0.000000       0.000000
       0.401000       0.000000       0.000000
       0.402000      -0.000000      -0.000000
       0.403000      -0.000000      -0.000000
       0.404000      -0.000000      -0.000000
       0.405000       0.000000       0.000000
       0.406000       0.000000       0.000000
       0.407000       0.000000       0.000000
       0.408000       0.000000       0.000000
       0.409000      -0.000001      -0.000000
       0.410000      -0.000001      -0.000000
       0.411000      -0.000000      -0.000000
       0.412000       0.000004       0.000000
       0.413000       0.000005       0.000000
       0.414000       0.000000       0.000000
       0.415000      -0.000013      -0.000000
       0.416000      -0.000020      -0.000000
       0.417000       0.000000       0.000000
       0.418000       0.000055       0.000000
       0.419000       0.000116       0.000000
       0.420000       0.000143       0.000000
       0.421000       0.000114       0.000000
       0.422000       0.000071       0.000000
       0.423000       0.000074       0.000000
       0.424000       0.000168       0.000000
       0.425000       0.000344       0.000000
       0.426000       0.000578       0.000000
       0.427000       0.000842       0.000000
       0.428000       0.001076       0.000000
       0.429000       0.001214       0.000000
       0.430000       0.001231       0.000000
       0.431000       0.001261       0.000000
       0.432000       0.001479       0.000000
       0.433000       0.001989       0.000000
       0.434000       0.002621       0.000000
       0.435000       0.003136       0.000000
       0.436000       0.003366       0.000000
       0.437000       0.003430       0.000000
       0.438000       0.003519       0.000000
       0.439000       0.003772       0.000000
       0.440000       0.004107       0.000000
       0.441000       0.004392       0.000000
       0.442000       0.004535       0.000000
       0.443000       0.004613       0.000000
       0.444000       0.004749       0.000000
       0.445000       0.005028       0.000000
       0.446000       0.005411       0.000000
       0.447000       0.005825       0.000000
       0.448000       0.006207       0.000000
       0.449000       0.006538       0.000000
       0.450000       0.006809       0.000000
       0.451000       0.007022       0.000000
       0.452000       0.007223       0.000000
       0.453000       0.007470       0.000000
       0.454000       0.007805       0.000000
       0.455000       0.008214       0.000000
       0.456000       0.008667       0.000000
       0.457000       0.009126       0.000000
       0.458000       0.009524       0.000000
       0.459000       0.009786       0.000000
       0.460000       0.009868       0.000000
       0.461000       0.009848       0.000000
       0.462000       0.009836       0.000000
       0.463000       0.009919       0.000000
       0.464000       0.010095       0.000000
       0.465000       0.010341       0.000000
       0.466000       0.010622       0.000000
       0.467000       0.010859       0.000000
       0.468000       0.010957       0.000000
       0.469000       0.010870       0.000000
       0.470000       0.010730       0.000000
       0.471000       0.010715       0.000000
       0.472000       0.010941       0.000000
       0.473000       0.011278       0.000000
       0.474000       0.011536       0.000000
       0.475000       0.011582       0.000000
       0.476000       0.011514       0.000000
       0.477000       0.011489       0.000000
       0.478000       0.011625       0.000000
       0.479000       0.011894       0.000000
       0.480000       0.012230       0.000000
       0.481000       0.012579       0.000000
       0.482000       0.012932       0.000000
       0.483000       0.013290       0.000000
       0.484000       0.013661       0.000000
       0.485000       0.014067       0.000000
       0.486000       0.014535       0.000000
       0.487000       0.015073       0.000000
       0.488000       0.015621       0.000000
       0.489000       0.016100       0.000000
       0.490000       0.016464       0.000000
       0.491000       0.016797       0.000000
       0.492000       0.017219       0.000000
       0.493000       0.017820       0.000000
       0.494000       0.018574       0.000000
       0.495000       0.019429       0.000000
       0.496000       0.020327       0.000000
       0.497000       0.021200       0.000000
       0.498000       0.021972       0.000000
       0.499000       0.022612       0.000000
       0.500000       0.023259       0.000000
       0.501000       0.024093       0.000000
       0.502000       0.025241       0.000000
       0.503000       0.026618       0.000000
       0.504000       0.028083       0.000000
       0.505000       0.029523       0.000000
       0.506000       0.030921       0.000000
       0.507000       0.032283       0.000000
       0.508000       0.033626       0.000000
       0.509000       0.034996       0.000000
       0.510000       0.036449       0.000000
       0.511000       0.038025       0.000000
       0.512000       0.039701       0.000000
       0.513000       0.041439       0.000000
       0.514000       0.043201       0.000000
       0.515000       0.044955       0.000000
       0.516000       0.046668       0.000000
       0.517000       0.048312       0.000000
       0.518000       0.049874       0.000000
       0.519000       0.051345       0.000000
       0.520000       0.052737       0.000000
       0.521000       0.054145       0.000000
       0.522000       0.055684       0.000000
       0.523000       0.057422       0.000000
       0.524000       0.059233       0.000000
       0.525000       0.060941       0.000000
       0.526000       0.062424       0.000000
       0.527000       0.063762       0.000000
       0.528000       0.065082       0.000000
       0.529000       0.066479       0.000000
       0.530000       0.067893       0.000000
       0.531000       0.069228       0.000000
       0.532000       0.070410       0.000000
       0.533000       0.071454       0.000000
       0.534000       0.072399       0.000000
       0.535000       0.073280       0.000000
       0.536000       0.074116       0.000000
       0.537000       0.074922       0.000000
       0.538000       0.075710       0.000000
       0.539000       0.076464       0.000000
       0.540000       0.077164       0.000000
       0.541000       0.077800       0.000000
       0.542000       0.078397       0.000000
       0.543000       0.078993       0.000000
       0.544000       0.079613       0.000000
       0.545000       0.080251       0.000000
       0.546000       0.080892       0.000000
       0.547000       0.081521       0.000000
       0.548000       0.082122       0.000000
       0.549000       0.082681       0.000000
       0.550000       0.083191       0.000000
       0.551000       0.083684       0.000000
       0.552000       0.084199       0.000000
       0.553000       0.084768       0.000000
       0.554000       0.085391       0.000000
       0.555000       0.086058       0.000000
       0.556000       0.086772       0.000000
       0.557000       0.087567       0.000000
       0.558000       0.088490       0.000000
       0.559000       0.089577       0.000000
       0.560000       0.090832       0.000000
       0.561000       0.092247       0.000000
       0.562000       0.093816       0.000000
       0.563000       0.095524       0.000000
       0.564000       0.097358       0.000000
       0.565000       0.099303       0.000000
       0.566000       0.101348       0.000000
       0.567000       0.103482       0.000000
       0.568000       0.105704       0.000000
       0.569000       0.108057       0.000000
       0.570000       0.110595       0.000000
       0.571000       0.113350       0.000000
       0.572000       0.116274       0.000000
       0.573000       0.119299       0.000000
       0.574000       0.122363       0.000000
       0.575000       0.125441       0.000000
       0.576000       0.128517       0.000000
       0.577000       0.131583       0.000000
       0.578000       0.134677       0.000000
       0.579000       0.137847       0.000000
       0.580000       0.141123       0.000000
       0.581000       0.144461       0.000000
       0.582000       0.147798       0.000000
       0.583000       0.151090       0.000000
       0.584000       0.154365       0.000000
       0.585000       0.157671       0.000000
       0.586000       0.161040       0.000000
       0.587000       0.164441       0.000000
       0.588000       0.167832       0.000000
       0.589000       0.171179       0.000000
       0.590000       0.174492       0.000000
       0.591000       0.177790       0.000000
       0.592000       0.181092       0.000000
       0.593000       0.184398       0.000000
       0.594000       0.187706       0.000000
       0.595000       0.191003       0.000000
       0.596000       0.194239       0.000000
       0.597000       0.197352       0.000000
       0.598000       0.200304       0.000000
       0.599000       0.203145       0.000000
       0.600000       0.205946       0.000000
       0.601000       0.208756       0.000000
       0.602000       0.211529       0.000000
       0.603000       0.214197       0.000000
       0.604000       0.216701       0.000000
       0.605000       0.219033       0.000000
       0.606000       0.221197       0.000000
       0.607000       0.223208       0.000000
       0.608000       0.225134       0.000000
       0.609000       0.227057       0.000000
       0.610000       0.229024       0.000000
       0.611000       0.230955       0.000000
       0.612000       0.232739       0.000000
       0.613000       0.234300       0.000000
       0.614000       0.235707       0.000000
       0.615000       0.237067       0.000000
       0.616000       0.238462       0.000000
       0.617000       0.239878       0.000000
       0.618000       0.241278       0.000000
       0.619000       0.242628       0.000000
       0.620000       0.243910       0.000000
       0.621000       0.245109       0.000000
       0.622000       0.246221       0.000000
       0.623000       0.247274       0.000000
       0.624000       0.248306       0.000000
       0.625000       0.249344       0.000000
       0.626000       0.250370       0.000000
       0.627000       0.251353       0.000000
       0.628000       0.252273       0.000000
       0.629000       0.253157       0.000000
       0.630000       0.254040       0.000000
       0.631000       0.254947       0.000000
       0.632000       0.255853       0.000000
       0.633000       0.256721       0.000000
       0.634000       0.257519       0.000000
       0.635000       0.258240       0.000000
       0.636000       0.258882       0.000000
       0.637000       0.259446       0.000000
       0.638000       0.259944       0.000000
       0.639000       0.260389       0.000000
       0.640000       0.260792       0.000000
       0.641000       0.261147       0.000000
       0.642000       0.261447       0.000000
       0.643000       0.261683       0.000000
       0.644000       0.261851       0.000000
       0.645000       0.261949       0.000000
       0.646000       0.261978       0.000000
       0.647000       0.261969       0.000000
       0.648000       0.261955       0.000000
       0.649000       0.261973       0.000000
       0.650000       0.262068       0.000000
       0.651000       0.262287       0.000000
       0.652000       0.262655       0.000000
       0.653000       0.263103       0.000000
       0.654000       0.263540       0.000000
       0.655000       0.263891       0.000000
       0.656000       0.264138       0.000000
       0.657000       0.264278       0.000000
       0.658000       0.264318       0.000000
       0.659000       0.264286       0.000000
       0.660000       0.264221       0.000000
       0.661000       0.264156       0.000000
       0.662000       0.264116       0.000000
       0.663000       0.264120       0.000000
       0.664000       0.264176       0.000000
       0.665000       0.264243       0.000000
       0.666000       0.264268       0.000000
       0.667000       0.264218       0.000000
       0.668000       0.264149       0.000000
       0.669000       0.264138       0.000000
       0.670000       0.264240       0.000000
       0.671000       0.264425       0.000000
       0.672000       0.264639       0.000000
       0.673000       0.264836       0.000000
       0.674000       0.265003       0.000000
       0.675000       0.265130       0.000000
       0.676000       0.265223       0.000000
       0.677000       0.265339       0.000000
       0.678000       0.265547       0.000000
       0.679000       0.265888       0.000000
       0.680000       0.266292       0.000000
       0.681000       0.266662       0.000000
       0.682000       0.266933       0.000000
       0.683000       0.267173       0.000000
       0.684000       0.267482       0.000000
       0.685000       0.267948       0.000000
       0.686000       0.268614       0.000000
       0.687000       0.269509       0.000000
       0.688000       0.270659       0.000000
       0.689000       0.272069       0.000000
       0.690000       0.273741       0.000000
       0.691000       0.275684       0.000000
       0.692000       0.277950       0.000000
       0.693000       0.280598       0.000000
       0.694000       0.283666       0.000000
       0.695000       0.287113       0.000000
       0.696000       0.290875       0.000000
       0.697000       0.294902       0.000000
       0.698000       0.299193       0.000000
       0.699000       0.303757       0.000000
       0.700000       0.308602       0.000000
       0.701000       0.313708       0.000000
       0.702000       0.319050       0.000000
       0.703000       0.324597       0.000000
       0.704000       0.330292       0.000000
       0.705000       0.336072       0.000000
       0.706000       0.341877       0.000000
       0.707000       0.347661       0.000000
       0.708000       0.353381       0.000000
       0.709000       0.358992       0.000000
       0.710000       0.364437       0.000000
       0.711000       0.369655       0.000000
       0.712000       0.374607       0.000000
       0.713000       0.379327       0.000000
       0.714000       0.383871       0.000000
       0.715000       0.388272       0.000000
       0.716000       0.392480       0.000000
       0.717000       0.396426       0.000000
       0.718000       0.400059       0.000000
       0.719000       0.403413       0.000000
       0.720000       0.406545       0.000000
       0.721000       0.409505       0.000000
       0.722000       0.412324       0.000000
       0.723000       0.415029       0.000000
       0.724000       0.417634       0.000000
       0.725000       0.420105       0.000000
       0.726000       0.422394       0.000000
       0.727000       0.424475       0.000000
       0.728000       0.426403       0.000000
       0.729000       0.428258       0.000000
       0.730000       0.430095       0.000000
       0.731000       0.431889       0.000000
       0.732000       0.433595       0.000000
       0.733000       0.435180       0.000000
       0.734000       0.436653       0.000000
       0.735000       0.438033       0.000000
       0.736000       0.439339       0.000000
       0.737000       0.440575       0.000000
       0.738000       0.441742       0.000000
       0.739000       0.442845       0.000000
       0.740000       0.443903       0.000000
       0.741000       0.444937       0.000000
       0.742000       0.445963       0.000000
       0.743000       0.446980       0.000000
       0.744000       0.447980       0.000000
       0.745000       0.448954       0.000000
       0.746000       0.449892       0.000000
       0.747000       0.450782       0.000000
       0.748000       0.451616       0.000000
       0.749000       0.452404       0.000000
       0.750000       0.453163       0.000000
       0.751000       0.453903       0.000000
       0.752000       0.454628       0.000000
       0.753000       0.455336       0.000000
       0.754000       0.456025       0.000000
       0.755000       0.456700       0.000000
       0.756000       0.457365       0.000000
       0.757000       0.458021       0.000000
       0.758000       0.458651       0.000000
       0.759000       0.459234       0.000000
       0.760000       0.459761       0.000000
       0.761000       0.460258       0.000000
       0.762000       0.460765       0.000000
       0.763000       0.461313       0.000000
       0.764000       0.461902       0.000000
       0.765000       0.462529       0.000000
       0.766000       0.463179       0.000000
       0.767000       0.463802       0.000000
       0.768000       0.464342       0.000000
       0.769000       0.464764       0.000000
       0.770000       0.465127       0.000000
       0.771000       0.465513       0.000000
       0.772000       0.465980       0.000000
       0.773000       0.466500       0.000000
       0.774000       0.467019       0.000000
       0.775000       0.467501       0.000000
       0.776000       0.467958       0.000000
       0.777000       0.468420       0.000000
       0.778000       0.468907       0.000000
       0.779000       0.469411       0.000000
       0.780000       0.469919       0.000000
       0.781000       0.470418       0.000000
       0.782000       0.470903       0.000000
       0.783000       0.471373       0.000000
       0.784000       0.471827       0.000000
       0.785000       0.472274       0.000000
       0.786000       0.472725       0.000000
       0.787000       0.473186       0.000000
       0.788000       0.473648       0.000000
       0.789000       0.474100       0.000000
       0.790000       0.474536       0.000000
       0.791000       0.474987       0.000000
       0.792000       0.475492       0.000000
       0.793000       0.476073       0.000000
       0.794000       0.476675       0.000000
       0.795000       0.477224       0.000000
       0.796000       0.477676       0.000000
       0.797000       0.478090       0.000000
       0.798000       0.478554       0.000000
       0.799000       0.479127       0.000000
       0.800000       0.479763       0.000000
       0.801000       0.480387       0.000000
       0.802000       0.480942       0.000000
