USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lodgepole-Pine YNP-LP0-MOD   W1R1Ab RTGC
copy of splib05a r 11645                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.038679       0.000000
       0.419190       0.039015       0.000000
       0.428970       0.039420       0.000000
       0.438760       0.040322       0.000000
       0.448550       0.040941       0.000000
       0.458360       0.041568       0.000000
       0.468180       0.041738       0.000000
       0.478000       0.042409       0.000000
       0.487840       0.042308       0.000000
       0.497680       0.042817       0.000000
       0.507530       0.044459       0.000000
       0.517380       0.047113       0.000000
       0.527240       0.051246       0.000000
       0.537100       0.055187       0.000000
       0.546960       0.057551       0.000000
       0.556830       0.059742       0.000000
       0.566710       0.059569       0.000000
       0.576580       0.058274       0.000000
       0.586450       0.058332       0.000000
       0.596330       0.058793       0.000000
       0.606200       0.059148       0.000000
       0.616080       0.058879       0.000000
       0.625950       0.059385       0.000000
       0.635820       0.059871       0.000000
       0.645690       0.059377       0.000000
       0.655560       0.058593       0.000000
       0.665420       0.057931       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.057730       0.000000
       0.685190       0.060164       0.000000
       0.694780       0.070243       0.000000
       0.704370       0.087573       0.000000
       0.713960       0.107310       0.000000
       0.723550       0.128876       0.000000
       0.733140       0.147416       0.000000
       0.742730       0.159868       0.000000
       0.752320       0.166998       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.173952       0.000000
       0.781100       0.176178       0.000000
       0.790700       0.177976       0.000000
       0.800290       0.180300       0.000000
       0.809890       0.181976       0.000000
       0.819480       0.183079       0.000000
       0.829080       0.185400       0.000000
       0.838680       0.187281       0.000000
       0.848280       0.189179       0.000000
       0.857880       0.191437       0.000000
       0.867480       0.193397       0.000000
       0.877080       0.195538       0.000000
       0.886680       0.197090       0.000000
       0.896290       0.197959       0.000000
       0.905890       0.198833       0.000000
       0.915490       0.200033       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.196587       0.000000
       0.963520       0.196118       0.000000
       0.973130       0.197107       0.000000
       0.982740       0.198147       0.000000
       0.992350       0.200415       0.000000
       1.001960       0.203320       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.209704       0.000000
       1.030800       0.212543       0.000000
       1.040410       0.215868       0.000000
       1.050030       0.218432       0.000000
       1.059640       0.221008       0.000000
       1.069260       0.223191       0.000000
       1.078870       0.224395       0.000000
       1.088490       0.225776       0.000000
       1.098110       0.225851       0.000000
       1.107730       0.225757       0.000000
       1.117350       0.222879       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.209172       0.000000
       1.175080       0.208953       0.000000
       1.184700       0.208772       0.000000
       1.194330       0.208716       0.000000
       1.203950       0.209963       0.000000
       1.213580       0.212246       0.000000
       1.223210       0.215855       0.000000
       1.232830       0.219641       0.000000
       1.242460       0.222556       0.000000
       1.252090       0.224773       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.228335       0.000000
       1.274190       0.230027       0.000000
       1.284160       0.230144       0.000000
       1.294130       0.230594       0.000000
       1.304100       0.228195       0.000000
       1.314070       0.225004       0.000000
       1.324040       0.220263       0.000000
       1.334000       0.213406       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.137025       0.000000
       1.433650       0.134340       0.000000
       1.443610       0.133138       0.000000
       1.453570       0.134810       0.000000
       1.463530       0.134918       0.000000
       1.473490       0.137175       0.000000
       1.483450       0.139645       0.000000
       1.493410       0.143933       0.000000
       1.503370       0.148016       0.000000
       1.513320       0.152622       0.000000
       1.523280       0.157199       0.000000
       1.533240       0.160839       0.000000
       1.543190       0.163776       0.000000
       1.553150       0.167722       0.000000
       1.563100       0.170897       0.000000
       1.573050       0.173988       0.000000
       1.583010       0.176993       0.000000
       1.592960       0.180052       0.000000
       1.602910       0.183566       0.000000
       1.612860       0.186955       0.000000
       1.622810       0.189889       0.000000
       1.632760       0.191871       0.000000
       1.642710       0.194106       0.000000
       1.652660       0.195319       0.000000
       1.662610       0.195694       0.000000
       1.672560       0.195998       0.000000
       1.682510       0.195824       0.000000
       1.692460       0.194426       0.000000
       1.702400       0.193071       0.000000
       1.712350       0.191486       0.000000
       1.722290       0.190099       0.000000
       1.732240       0.189374       0.000000
       1.742180       0.188321       0.000000
       1.752120       0.186849       0.000000
       1.762070       0.185523       0.000000
       1.772010       0.184372       0.000000
       1.781950       0.184356       0.000000
       1.791890       0.183530       0.000000
       1.801830       0.181602       0.000000
       1.811770       0.175111       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.121259       0.000000
       1.959480       0.125685       0.000000
       1.969510       0.127193       0.000000
       1.979540       0.130505       0.000000
       1.989570       0.133083       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.139669       0.000000
       2.039670       0.138471       0.000000
       2.049690       0.137518       0.000000
       2.059700       0.135961       0.000000
       2.069700       0.135648       0.000000
       2.079710       0.135717       0.000000
       2.089710       0.136114       0.000000
       2.099710       0.135777       0.000000
       2.109710       0.137444       0.000000
       2.119710       0.138022       0.000000
       2.129700       0.139983       0.000000
       2.139690       0.141536       0.000000
       2.149680       0.142861       0.000000
       2.159660       0.144481       0.000000
       2.169650       0.147152       0.000000
       2.179630       0.147765       0.000000
       2.189610       0.150127       0.000000
       2.199580       0.150685       0.000000
       2.209550       0.152343       0.000000
       2.219520       0.152933       0.000000
       2.229490       0.152548       0.000000
       2.239460       0.149596       0.000000
       2.249420       0.147329       0.000000
       2.259380       0.142223       0.000000
       2.269340       0.137768       0.000000
       2.279300       0.136061       0.000000
       2.289250       0.135153       0.000000
       2.299200       0.132316       0.000000
       2.309150       0.130391       0.000000
       2.319090       0.129579       0.000000
       2.329040       0.127869       0.000000
       2.338980       0.127984       0.000000
       2.348920       0.125840       0.000000
       2.358850       0.125643       0.000000
       2.368780       0.124551       0.000000
       2.378710       0.124435       0.000000
       2.388640       0.122942       0.000000
       2.398570       0.122714       0.000000
       2.408490       0.120598       0.000000
       2.418410       0.118094       0.000000
       2.428330       0.116831       0.000000
       2.438250       0.112632       0.000000
       2.448160       0.107495       0.000000
       2.458070       0.107954       0.000000
       2.467980       0.103738       0.000000
       2.477880       0.103111       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
