USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lodgepole-Pine YNP-LP2-A     W1R1Ab RTGC
copy of splib05a r 11705                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.010656       0.000000
       0.419190       0.011018       0.000000
       0.428970       0.011177       0.000000
       0.438760       0.011818       0.000000
       0.448550       0.012236       0.000000
       0.458360       0.012981       0.000000
       0.468180       0.013405       0.000000
       0.478000       0.014311       0.000000
       0.487840       0.014255       0.000000
       0.497680       0.015007       0.000000
       0.507530       0.016154       0.000000
       0.517380       0.018265       0.000000
       0.527240       0.020943       0.000000
       0.537100       0.024015       0.000000
       0.546960       0.025666       0.000000
       0.556830       0.027137       0.000000
       0.566710       0.026587       0.000000
       0.576580       0.025021       0.000000
       0.586450       0.025008       0.000000
       0.596330       0.025113       0.000000
       0.606200       0.025571       0.000000
       0.616080       0.024908       0.000000
       0.625950       0.025236       0.000000
       0.635820       0.025436       0.000000
       0.645690       0.024789       0.000000
       0.655560       0.024229       0.000000
       0.665420       0.023443       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.022996       0.000000
       0.685190       0.024752       0.000000
       0.694780       0.032227       0.000000
       0.704370       0.044835       0.000000
       0.713960       0.059433       0.000000
       0.723550       0.075666       0.000000
       0.733140       0.090381       0.000000
       0.742730       0.100558       0.000000
       0.752320       0.106220       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.111437       0.000000
       0.781100       0.112836       0.000000
       0.790700       0.114237       0.000000
       0.800290       0.116056       0.000000
       0.809890       0.117370       0.000000
       0.819480       0.118377       0.000000
       0.829080       0.120033       0.000000
       0.838680       0.121429       0.000000
       0.848280       0.123069       0.000000
       0.857880       0.124830       0.000000
       0.867480       0.126167       0.000000
       0.877080       0.127852       0.000000
       0.886680       0.128609       0.000000
       0.896290       0.128712       0.000000
       0.905890       0.128855       0.000000
       0.915490       0.129728       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.126020       0.000000
       0.963520       0.125673       0.000000
       0.973130       0.125721       0.000000
       0.982740       0.126530       0.000000
       0.992350       0.128077       0.000000
       1.001960       0.130124       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.135112       0.000000
       1.030800       0.137387       0.000000
       1.040410       0.140093       0.000000
       1.050030       0.142148       0.000000
       1.059640       0.144025       0.000000
       1.069260       0.145837       0.000000
       1.078870       0.146407       0.000000
       1.088490       0.147116       0.000000
       1.098110       0.146371       0.000000
       1.107730       0.145737       0.000000
       1.117350       0.142680       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.128075       0.000000
       1.175080       0.127238       0.000000
       1.184700       0.126235       0.000000
       1.194330       0.125766       0.000000
       1.203950       0.126248       0.000000
       1.213580       0.128131       0.000000
       1.223210       0.131911       0.000000
       1.232830       0.135979       0.000000
       1.242460       0.139117       0.000000
       1.252090       0.141275       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.144246       0.000000
       1.274190       0.145643       0.000000
       1.284160       0.146364       0.000000
       1.294130       0.145903       0.000000
       1.304100       0.143671       0.000000
       1.314070       0.140194       0.000000
       1.324040       0.134703       0.000000
       1.334000       0.126495       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.063272       0.000000
       1.433650       0.060435       0.000000
       1.443610       0.059978       0.000000
       1.453570       0.060463       0.000000
       1.463530       0.059210       0.000000
       1.473490       0.061039       0.000000
       1.483450       0.062113       0.000000
       1.493410       0.065500       0.000000
       1.503370       0.068480       0.000000
       1.513320       0.071484       0.000000
       1.523280       0.075185       0.000000
       1.533240       0.077166       0.000000
       1.543190       0.079058       0.000000
       1.553150       0.081830       0.000000
       1.563100       0.084071       0.000000
       1.573050       0.086086       0.000000
       1.583010       0.088413       0.000000
       1.592960       0.090362       0.000000
       1.602910       0.092833       0.000000
       1.612860       0.095219       0.000000
       1.622810       0.097202       0.000000
       1.632760       0.098599       0.000000
       1.642710       0.100104       0.000000
       1.652660       0.100539       0.000000
       1.662610       0.100543       0.000000
       1.672560       0.100275       0.000000
       1.682510       0.099822       0.000000
       1.692460       0.098492       0.000000
       1.702400       0.096552       0.000000
       1.712350       0.094527       0.000000
       1.722290       0.092604       0.000000
       1.732240       0.091692       0.000000
       1.742180       0.091803       0.000000
       1.752120       0.090915       0.000000
       1.762070       0.089344       0.000000
       1.772010       0.089798       0.000000
       1.781950       0.088745       0.000000
       1.791890       0.088713       0.000000
       1.801830       0.088738       0.000000
       1.811770       0.084575       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.047772       0.000000
       1.959480       0.049970       0.000000
       1.969510       0.047509       0.000000
       1.979540       0.049309       0.000000
       1.989570       0.049986       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.054468       0.000000
       2.039670       0.053527       0.000000
       2.049690       0.053534       0.000000
       2.059700       0.053413       0.000000
       2.069700       0.053377       0.000000
       2.079710       0.052791       0.000000
       2.089710       0.052503       0.000000
       2.099710       0.052123       0.000000
       2.109710       0.053438       0.000000
       2.119710       0.054038       0.000000
       2.129700       0.054757       0.000000
       2.139690       0.054836       0.000000
       2.149680       0.055970       0.000000
       2.159660       0.057168       0.000000
       2.169650       0.058623       0.000000
       2.179630       0.058861       0.000000
       2.189610       0.060538       0.000000
       2.199580       0.061370       0.000000
       2.209550       0.062539       0.000000
       2.219520       0.062352       0.000000
       2.229490       0.061598       0.000000
       2.239460       0.059285       0.000000
       2.249420       0.057455       0.000000
       2.259380       0.054657       0.000000
       2.269340       0.051620       0.000000
       2.279300       0.051186       0.000000
       2.289250       0.049395       0.000000
       2.299200       0.047705       0.000000
       2.309150       0.045463       0.000000
       2.319090       0.047178       0.000000
       2.329040       0.045440       0.000000
       2.338980       0.045884       0.000000
       2.348920       0.044504       0.000000
       2.358850       0.044500       0.000000
       2.368780       0.044370       0.000000
       2.378710       0.042536       0.000000
       2.388640       0.042531       0.000000
       2.398570       0.042488       0.000000
       2.408490       0.041546       0.000000
       2.418410       0.040289       0.000000
       2.428330       0.039496       0.000000
       2.438250       0.036773       0.000000
       2.448160       0.038497       0.000000
       2.458070       0.036170       0.000000
       2.467980       0.034818       0.000000
       2.477880       0.037297       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
