USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rangeland C04-153 S12% G16%  W1R1Fa AREF
copy of spd0419 r 1005                                      
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000       0.034530       0.000000
       0.357000       0.034407       0.000000
       0.358000       0.034340       0.000000
       0.359000       0.034662       0.000000
       0.360000       0.034736       0.000000
       0.361000       0.034734       0.000000
       0.362000       0.034743       0.000000
       0.363000       0.035013       0.000000
       0.364000       0.035219       0.000000
       0.365000       0.035323       0.000000
       0.366000       0.035305       0.000000
       0.367000       0.035419       0.000000
       0.368000       0.035619       0.000000
       0.369000       0.035859       0.000000
       0.370000       0.035953       0.000000
       0.371000       0.036028       0.000000
       0.372000       0.036128       0.000000
       0.373000       0.036303       0.000000
       0.374000       0.036414       0.000000
       0.375000       0.036488       0.000000
       0.376000       0.036686       0.000000
       0.377000       0.036882       0.000000
       0.378000       0.037049       0.000000
       0.379000       0.037133       0.000000
       0.380000       0.037308       0.000000
       0.381000       0.037546       0.000000
       0.382000       0.037836       0.000000
       0.383000       0.037907       0.000000
       0.384000       0.038111       0.000000
       0.385000       0.038376       0.000000
       0.386000       0.038558       0.000000
       0.387000       0.038804       0.000000
       0.388000       0.039024       0.000000
       0.389000       0.039152       0.000000
       0.390000       0.039384       0.000000
       0.391000       0.039618       0.000000
       0.392000       0.039847       0.000000
       0.393000       0.040118       0.000000
       0.394000       0.040397       0.000000
       0.395000       0.040661       0.000000
       0.396000       0.040897       0.000000
       0.397000       0.041070       0.000000
       0.398000       0.041242       0.000000
       0.399000       0.041433       0.000000
       0.400000       0.041699       0.000000
       0.401000       0.041914       0.000000
       0.402000       0.042098       0.000000
       0.403000       0.042315       0.000000
       0.404000       0.042539       0.000000
       0.405000       0.042744       0.000000
       0.406000       0.042910       0.000000
       0.407000       0.043113       0.000000
       0.408000       0.043352       0.000000
       0.409000       0.043621       0.000000
       0.410000       0.043835       0.000000
       0.411000       0.044079       0.000000
       0.412000       0.044336       0.000000
       0.413000       0.044591       0.000000
       0.414000       0.044842       0.000000
       0.415000       0.045071       0.000000
       0.416000       0.045267       0.000000
       0.417000       0.045595       0.000000
       0.418000       0.045845       0.000000
       0.419000       0.046039       0.000000
       0.420000       0.046353       0.000000
       0.421000       0.046641       0.000000
       0.422000       0.046935       0.000000
       0.423000       0.047278       0.000000
       0.424000       0.047493       0.000000
       0.425000       0.047746       0.000000
       0.426000       0.048078       0.000000
       0.427000       0.048367       0.000000
       0.428000       0.048669       0.000000
       0.429000       0.048973       0.000000
       0.430000       0.049261       0.000000
       0.431000       0.049614       0.000000
       0.432000       0.049932       0.000000
       0.433000       0.050157       0.000000
       0.434000       0.050474       0.000000
       0.435000       0.050773       0.000000
       0.436000       0.051046       0.000000
       0.437000       0.051303       0.000000
       0.438000       0.051557       0.000000
       0.439000       0.051824       0.000000
       0.440000       0.052149       0.000000
       0.441000       0.052411       0.000000
       0.442000       0.052655       0.000000
       0.443000       0.052893       0.000000
       0.444000       0.053168       0.000000
       0.445000       0.053426       0.000000
       0.446000       0.053670       0.000000
       0.447000       0.053918       0.000000
       0.448000       0.054170       0.000000
       0.449000       0.054421       0.000000
       0.450000       0.054672       0.000000
       0.451000       0.054923       0.000000
       0.452000       0.055164       0.000000
       0.453000       0.055392       0.000000
       0.454000       0.055627       0.000000
       0.455000       0.055861       0.000000
       0.456000       0.056093       0.000000
       0.457000       0.056310       0.000000
       0.458000       0.056520       0.000000
       0.459000       0.056732       0.000000
       0.460000       0.056952       0.000000
       0.461000       0.057139       0.000000
       0.462000       0.057311       0.000000
       0.463000       0.057478       0.000000
       0.464000       0.057680       0.000000
       0.465000       0.057858       0.000000
       0.466000       0.058030       0.000000
       0.467000       0.058211       0.000000
       0.468000       0.058382       0.000000
       0.469000       0.058555       0.000000
       0.470000       0.058733       0.000000
       0.471000       0.058881       0.000000
       0.472000       0.059049       0.000000
       0.473000       0.059226       0.000000
       0.474000       0.059376       0.000000
       0.475000       0.059536       0.000000
       0.476000       0.059698       0.000000
       0.477000       0.059859       0.000000
       0.478000       0.060029       0.000000
       0.479000       0.060199       0.000000
       0.480000       0.060369       0.000000
       0.481000       0.060538       0.000000
       0.482000       0.060689       0.000000
       0.483000       0.060837       0.000000
       0.484000       0.061002       0.000000
       0.485000       0.061185       0.000000
       0.486000       0.061364       0.000000
       0.487000       0.061528       0.000000
       0.488000       0.061674       0.000000
       0.489000       0.061854       0.000000
       0.490000       0.062059       0.000000
       0.491000       0.062240       0.000000
       0.492000       0.062420       0.000000
       0.493000       0.062604       0.000000
       0.494000       0.062805       0.000000
       0.495000       0.063004       0.000000
       0.496000       0.063211       0.000000
       0.497000       0.063429       0.000000
       0.498000       0.063644       0.000000
       0.499000       0.063883       0.000000
       0.500000       0.064125       0.000000
       0.501000       0.064321       0.000000
       0.502000       0.064590       0.000000
       0.503000       0.064872       0.000000
       0.504000       0.065141       0.000000
       0.505000       0.065417       0.000000
       0.506000       0.065698       0.000000
       0.507000       0.065987       0.000000
       0.508000       0.066292       0.000000
       0.509000       0.066618       0.000000
       0.510000       0.066956       0.000000
       0.511000       0.067297       0.000000
       0.512000       0.067662       0.000000
       0.513000       0.068043       0.000000
       0.514000       0.068441       0.000000
       0.515000       0.068829       0.000000
       0.516000       0.069230       0.000000
       0.517000       0.069652       0.000000
       0.518000       0.070117       0.000000
       0.519000       0.070598       0.000000
       0.520000       0.071078       0.000000
       0.521000       0.071546       0.000000
       0.522000       0.072020       0.000000
       0.523000       0.072499       0.000000
       0.524000       0.072988       0.000000
       0.525000       0.073454       0.000000
       0.526000       0.073935       0.000000
       0.527000       0.074425       0.000000
       0.528000       0.074917       0.000000
       0.529000       0.075389       0.000000
       0.530000       0.075851       0.000000
       0.531000       0.076307       0.000000
       0.532000       0.076766       0.000000
       0.533000       0.077175       0.000000
       0.534000       0.077552       0.000000
       0.535000       0.077965       0.000000
       0.536000       0.078380       0.000000
       0.537000       0.078773       0.000000
       0.538000       0.079116       0.000000
       0.539000       0.079462       0.000000
       0.540000       0.079822       0.000000
       0.541000       0.080197       0.000000
       0.542000       0.080547       0.000000
       0.543000       0.080871       0.000000
       0.544000       0.081184       0.000000
       0.545000       0.081527       0.000000
       0.546000       0.081840       0.000000
       0.547000       0.082152       0.000000
       0.548000       0.082482       0.000000
       0.549000       0.082796       0.000000
       0.550000       0.083121       0.000000
       0.551000       0.083450       0.000000
       0.552000       0.083703       0.000000
       0.553000       0.083985       0.000000
       0.554000       0.084271       0.000000
       0.555000       0.084525       0.000000
       0.556000       0.084753       0.000000
       0.557000       0.084968       0.000000
       0.558000       0.085172       0.000000
       0.559000       0.085393       0.000000
       0.560000       0.085585       0.000000
       0.561000       0.085755       0.000000
       0.562000       0.085921       0.000000
       0.563000       0.086076       0.000000
       0.564000       0.086223       0.000000
       0.565000       0.086364       0.000000
       0.566000       0.086490       0.000000
       0.567000       0.086628       0.000000
       0.568000       0.086777       0.000000
       0.569000       0.086859       0.000000
       0.570000       0.086938       0.000000
       0.571000       0.087021       0.000000
       0.572000       0.087121       0.000000
       0.573000       0.087204       0.000000
       0.574000       0.087281       0.000000
       0.575000       0.087355       0.000000
       0.576000       0.087472       0.000000
       0.577000       0.087592       0.000000
       0.578000       0.087711       0.000000
       0.579000       0.087808       0.000000
       0.580000       0.087927       0.000000
       0.581000       0.088063       0.000000
       0.582000       0.088217       0.000000
       0.583000       0.088351       0.000000
       0.584000       0.088499       0.000000
       0.585000       0.088670       0.000000
       0.586000       0.088859       0.000000
       0.587000       0.089034       0.000000
       0.588000       0.089199       0.000000
       0.589000       0.089366       0.000000
       0.590000       0.089560       0.000000
       0.591000       0.089754       0.000000
       0.592000       0.089927       0.000000
       0.593000       0.090085       0.000000
       0.594000       0.090278       0.000000
       0.595000       0.090510       0.000000
       0.596000       0.090704       0.000000
       0.597000       0.090900       0.000000
       0.598000       0.091093       0.000000
       0.599000       0.091273       0.000000
       0.600000       0.091475       0.000000
       0.601000       0.091660       0.000000
       0.602000       0.091810       0.000000
       0.603000       0.091994       0.000000
       0.604000       0.092178       0.000000
       0.605000       0.092353       0.000000
       0.606000       0.092503       0.000000
       0.607000       0.092651       0.000000
       0.608000       0.092806       0.000000
       0.609000       0.092975       0.000000
       0.610000       0.093067       0.000000
       0.611000       0.093174       0.000000
       0.612000       0.093308       0.000000
       0.613000       0.093435       0.000000
       0.614000       0.093530       0.000000
       0.615000       0.093616       0.000000
       0.616000       0.093738       0.000000
       0.617000       0.093863       0.000000
       0.618000       0.093975       0.000000
       0.619000       0.094065       0.000000
       0.620000       0.094190       0.000000
       0.621000       0.094348       0.000000
       0.622000       0.094535       0.000000
       0.623000       0.094710       0.000000
       0.624000       0.094896       0.000000
       0.625000       0.095092       0.000000
       0.626000       0.095298       0.000000
       0.627000       0.095519       0.000000
       0.628000       0.095749       0.000000
       0.629000       0.095989       0.000000
       0.630000       0.096204       0.000000
       0.631000       0.096409       0.000000
       0.632000       0.096603       0.000000
       0.633000       0.096790       0.000000
       0.634000       0.096968       0.000000
       0.635000       0.097140       0.000000
       0.636000       0.097306       0.000000
       0.637000       0.097406       0.000000
       0.638000       0.097512       0.000000
       0.639000       0.097631       0.000000
       0.640000       0.097711       0.000000
       0.641000       0.097798       0.000000
       0.642000       0.097881       0.000000
       0.643000       0.097941       0.000000
       0.644000       0.098017       0.000000
       0.645000       0.098075       0.000000
       0.646000       0.098099       0.000000
       0.647000       0.098163       0.000000
       0.648000       0.098220       0.000000
       0.649000       0.098277       0.000000
       0.650000       0.098375       0.000000
       0.651000       0.098472       0.000000
       0.652000       0.098573       0.000000
       0.653000       0.098691       0.000000
       0.654000       0.098797       0.000000
       0.655000       0.098898       0.000000
       0.656000       0.099000       0.000000
       0.657000       0.099077       0.000000
       0.658000       0.099132       0.000000
       0.659000       0.099173       0.000000
       0.660000       0.099221       0.000000
       0.661000       0.099230       0.000000
       0.662000       0.099241       0.000000
       0.663000       0.099273       0.000000
       0.664000       0.099255       0.000000
       0.665000       0.099262       0.000000
       0.666000       0.099298       0.000000
       0.667000       0.099344       0.000000
       0.668000       0.099418       0.000000
       0.669000       0.099497       0.000000
       0.670000       0.099551       0.000000
       0.671000       0.099673       0.000000
       0.672000       0.099810       0.000000
       0.673000       0.099946       0.000000
       0.674000       0.100091       0.000000
       0.675000       0.100241       0.000000
       0.676000       0.100403       0.000000
       0.677000       0.100599       0.000000
       0.678000       0.100798       0.000000
       0.679000       0.101008       0.000000
       0.680000       0.101238       0.000000
       0.681000       0.101517       0.000000
       0.682000       0.101815       0.000000
       0.683000       0.102135       0.000000
       0.684000       0.102540       0.000000
       0.685000       0.103006       0.000000
       0.686000       0.103542       0.000000
       0.687000       0.104208       0.000000
       0.688000       0.104952       0.000000
       0.689000       0.105743       0.000000
       0.690000       0.106559       0.000000
       0.691000       0.107530       0.000000
       0.692000       0.108564       0.000000
       0.693000       0.109665       0.000000
       0.694000       0.110900       0.000000
       0.695000       0.112232       0.000000
       0.696000       0.113618       0.000000
       0.697000       0.115040       0.000000
       0.698000       0.116566       0.000000
       0.699000       0.118129       0.000000
       0.700000       0.119719       0.000000
       0.701000       0.121370       0.000000
       0.702000       0.123032       0.000000
       0.703000       0.124690       0.000000
       0.704000       0.126328       0.000000
       0.705000       0.127954       0.000000
       0.706000       0.129578       0.000000
       0.707000       0.131211       0.000000
       0.708000       0.132854       0.000000
       0.709000       0.134513       0.000000
       0.710000       0.136183       0.000000
       0.711000       0.137849       0.000000
       0.712000       0.139535       0.000000
       0.713000       0.141241       0.000000
       0.714000       0.142959       0.000000
       0.715000       0.144672       0.000000
       0.716000       0.146384       0.000000
       0.717000       0.148127       0.000000
       0.718000       0.149898       0.000000
       0.719000       0.151724       0.000000
       0.720000       0.153547       0.000000
       0.721000       0.155313       0.000000
       0.722000       0.157042       0.000000
       0.723000       0.158751       0.000000
       0.724000       0.160492       0.000000
       0.725000       0.162206       0.000000
       0.726000       0.163902       0.000000
       0.727000       0.165575       0.000000
       0.728000       0.167167       0.000000
       0.729000       0.168737       0.000000
       0.730000       0.170282       0.000000
       0.731000       0.171804       0.000000
       0.732000       0.173220       0.000000
       0.733000       0.174586       0.000000
       0.734000       0.175922       0.000000
       0.735000       0.177192       0.000000
       0.736000       0.178440       0.000000
       0.737000       0.179652       0.000000
       0.738000       0.180737       0.000000
       0.739000       0.181828       0.000000
       0.740000       0.182892       0.000000
       0.741000       0.183872       0.000000
       0.742000       0.184816       0.000000
       0.743000       0.185704       0.000000
       0.744000       0.186531       0.000000
       0.745000       0.187350       0.000000
       0.746000       0.188099       0.000000
       0.747000       0.188797       0.000000
       0.748000       0.189483       0.000000
       0.749000       0.190104       0.000000
       0.750000       0.190705       0.000000
       0.751000       0.191302       0.000000
       0.752000       0.191828       0.000000
       0.753000       0.192344       0.000000
       0.754000       0.192850       0.000000
       0.755000       0.193289       0.000000
       0.756000       0.193725       0.000000
       0.757000       0.194146       0.000000
       0.758000       0.194537       0.000000
       0.759000      -1.23e34       -1.23e34 
       0.760000      -1.23e34       -1.23e34 
       0.761000      -1.23e34       -1.23e34 
       0.762000      -1.23e34       -1.23e34 
       0.763000       0.196302       0.000000
       0.764000       0.196627       0.000000
       0.765000       0.197011       0.000000
       0.766000       0.197347       0.000000
       0.767000       0.197666       0.000000
       0.768000       0.198017       0.000000
       0.769000       0.198329       0.000000
       0.770000       0.198624       0.000000
       0.771000       0.198913       0.000000
       0.772000       0.199225       0.000000
       0.773000       0.199515       0.000000
       0.774000       0.199792       0.000000
       0.775000       0.200063       0.000000
       0.776000       0.200373       0.000000
       0.777000       0.200673       0.000000
       0.778000       0.200942       0.000000
       0.779000       0.201192       0.000000
       0.780000       0.201461       0.000000
       0.781000       0.201747       0.000000
       0.782000       0.202017       0.000000
       0.783000       0.202268       0.000000
       0.784000       0.202518       0.000000
       0.785000       0.202782       0.000000
       0.786000       0.203055       0.000000
       0.787000       0.203313       0.000000
       0.788000       0.203552       0.000000
       0.789000       0.203834       0.000000
       0.790000       0.204106       0.000000
       0.791000       0.204367       0.000000
       0.792000       0.204599       0.000000
       0.793000       0.204852       0.000000
       0.794000       0.205121       0.000000
       0.795000       0.205406       0.000000
       0.796000       0.205647       0.000000
       0.797000       0.205892       0.000000
       0.798000       0.206148       0.000000
       0.799000       0.206439       0.000000
       0.800000       0.206681       0.000000
       0.801000       0.206910       0.000000
       0.802000       0.207177       0.000000
