USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rangeland L02-013 S00% G31%  W1R1Fa AREF
copy of spd0419 r 630                                       
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000       0.027960       0.000000
       0.357000       0.028139       0.000000
       0.358000       0.028280       0.000000
       0.359000       0.028343       0.000000
       0.360000       0.028356       0.000000
       0.361000       0.028369       0.000000
       0.362000       0.028421       0.000000
       0.363000       0.028511       0.000000
       0.364000       0.028629       0.000000
       0.365000       0.028761       0.000000
       0.366000       0.028892       0.000000
       0.367000       0.029003       0.000000
       0.368000       0.029086       0.000000
       0.369000       0.029162       0.000000
       0.370000       0.029260       0.000000
       0.371000       0.029399       0.000000
       0.372000       0.029558       0.000000
       0.373000       0.029707       0.000000
       0.374000       0.029823       0.000000
       0.375000       0.029919       0.000000
       0.376000       0.030016       0.000000
       0.377000       0.030131       0.000000
       0.378000       0.030264       0.000000
       0.379000       0.030411       0.000000
       0.380000       0.030569       0.000000
       0.381000       0.030734       0.000000
       0.382000       0.030905       0.000000
       0.383000       0.031080       0.000000
       0.384000       0.031257       0.000000
       0.385000       0.031432       0.000000
       0.386000       0.031605       0.000000
       0.387000       0.031782       0.000000
       0.388000       0.031971       0.000000
       0.389000       0.032177       0.000000
       0.390000       0.032392       0.000000
       0.391000       0.032605       0.000000
       0.392000       0.032808       0.000000
       0.393000       0.032996       0.000000
       0.394000       0.033166       0.000000
       0.395000       0.033320       0.000000
       0.396000       0.033483       0.000000
       0.397000       0.033682       0.000000
       0.398000       0.033933       0.000000
       0.399000       0.034203       0.000000
       0.400000       0.034448       0.000000
       0.401000       0.034635       0.000000
       0.402000       0.034784       0.000000
       0.403000       0.034930       0.000000
       0.404000       0.035099       0.000000
       0.405000       0.035299       0.000000
       0.406000       0.035530       0.000000
       0.407000       0.035791       0.000000
       0.408000       0.036062       0.000000
       0.409000       0.036324       0.000000
       0.410000       0.036561       0.000000
       0.411000       0.036786       0.000000
       0.412000       0.037019       0.000000
       0.413000       0.037274       0.000000
       0.414000       0.037539       0.000000
       0.415000       0.037796       0.000000
       0.416000       0.038033       0.000000
       0.417000       0.038258       0.000000
       0.418000       0.038487       0.000000
       0.419000       0.038730       0.000000
       0.420000       0.038990       0.000000
       0.421000       0.039269       0.000000
       0.422000       0.039563       0.000000
       0.423000       0.039856       0.000000
       0.424000       0.040127       0.000000
       0.425000       0.040364       0.000000
       0.426000       0.040587       0.000000
       0.427000       0.040829       0.000000
       0.428000       0.041108       0.000000
       0.429000       0.041411       0.000000
       0.430000       0.041713       0.000000
       0.431000       0.041995       0.000000
       0.432000       0.042259       0.000000
       0.433000       0.042511       0.000000
       0.434000       0.042758       0.000000
       0.435000       0.043005       0.000000
       0.436000       0.043256       0.000000
       0.437000       0.043515       0.000000
       0.438000       0.043775       0.000000
       0.439000       0.044031       0.000000
       0.440000       0.044276       0.000000
       0.441000       0.044513       0.000000
       0.442000       0.044745       0.000000
       0.443000       0.044975       0.000000
       0.444000       0.045204       0.000000
       0.445000       0.045433       0.000000
       0.446000       0.045662       0.000000
       0.447000       0.045888       0.000000
       0.448000       0.046106       0.000000
       0.449000       0.046316       0.000000
       0.450000       0.046521       0.000000
       0.451000       0.046726       0.000000
       0.452000       0.046934       0.000000
       0.453000       0.047142       0.000000
       0.454000       0.047343       0.000000
       0.455000       0.047533       0.000000
       0.456000       0.047718       0.000000
       0.457000       0.047903       0.000000
       0.458000       0.048093       0.000000
       0.459000       0.048283       0.000000
       0.460000       0.048467       0.000000
       0.461000       0.048640       0.000000
       0.462000       0.048806       0.000000
       0.463000       0.048972       0.000000
       0.464000       0.049142       0.000000
       0.465000       0.049314       0.000000
       0.466000       0.049484       0.000000
       0.467000       0.049649       0.000000
       0.468000       0.049813       0.000000
       0.469000       0.049979       0.000000
       0.470000       0.050149       0.000000
       0.471000       0.050321       0.000000
       0.472000       0.050492       0.000000
       0.473000       0.050659       0.000000
       0.474000       0.050820       0.000000
       0.475000       0.050975       0.000000
       0.476000       0.051124       0.000000
       0.477000       0.051273       0.000000
       0.478000       0.051430       0.000000
       0.479000       0.051599       0.000000
       0.480000       0.051773       0.000000
       0.481000       0.051944       0.000000
       0.482000       0.052105       0.000000
       0.483000       0.052259       0.000000
       0.484000       0.052410       0.000000
       0.485000       0.052565       0.000000
       0.486000       0.052729       0.000000
       0.487000       0.052906       0.000000
       0.488000       0.053099       0.000000
       0.489000       0.053296       0.000000
       0.490000       0.053484       0.000000
       0.491000       0.053652       0.000000
       0.492000       0.053811       0.000000
       0.493000       0.053976       0.000000
       0.494000       0.054160       0.000000
       0.495000       0.054357       0.000000
       0.496000       0.054559       0.000000
       0.497000       0.054757       0.000000
       0.498000       0.054952       0.000000
       0.499000       0.055147       0.000000
       0.500000       0.055343       0.000000
       0.501000       0.055544       0.000000
       0.502000       0.055750       0.000000
       0.503000       0.055964       0.000000
       0.504000       0.056182       0.000000
       0.505000       0.056398       0.000000
       0.506000       0.056609       0.000000
       0.507000       0.056820       0.000000
       0.508000       0.057039       0.000000
       0.509000       0.057271       0.000000
       0.510000       0.057514       0.000000
       0.511000       0.057761       0.000000
       0.512000       0.058008       0.000000
       0.513000       0.058252       0.000000
       0.514000       0.058489       0.000000
       0.515000       0.058720       0.000000
       0.516000       0.058956       0.000000
       0.517000       0.059212       0.000000
       0.518000       0.059496       0.000000
       0.519000       0.059794       0.000000
       0.520000       0.060081       0.000000
       0.521000       0.060343       0.000000
       0.522000       0.060592       0.000000
       0.523000       0.060843       0.000000
       0.524000       0.061111       0.000000
       0.525000       0.061393       0.000000
       0.526000       0.061681       0.000000
       0.527000       0.061969       0.000000
       0.528000       0.062252       0.000000
       0.529000       0.062523       0.000000
       0.530000       0.062781       0.000000
       0.531000       0.063031       0.000000
       0.532000       0.063284       0.000000
       0.533000       0.063546       0.000000
       0.534000       0.063811       0.000000
       0.535000       0.064072       0.000000
       0.536000       0.064320       0.000000
       0.537000       0.064561       0.000000
       0.538000       0.064800       0.000000
       0.539000       0.065043       0.000000
       0.540000       0.065287       0.000000
       0.541000       0.065531       0.000000
       0.542000       0.065771       0.000000
       0.543000       0.066009       0.000000
       0.544000       0.066243       0.000000
       0.545000       0.066476       0.000000
       0.546000       0.066709       0.000000
       0.547000       0.066945       0.000000
       0.548000       0.067185       0.000000
       0.549000       0.067425       0.000000
       0.550000       0.067657       0.000000
       0.551000       0.067878       0.000000
       0.552000       0.068093       0.000000
       0.553000       0.068307       0.000000
       0.554000       0.068526       0.000000
       0.555000       0.068746       0.000000
       0.556000       0.068963       0.000000
       0.557000       0.069173       0.000000
       0.558000       0.069376       0.000000
       0.559000       0.069573       0.000000
       0.560000       0.069765       0.000000
       0.561000       0.069953       0.000000
       0.562000       0.070140       0.000000
       0.563000       0.070325       0.000000
       0.564000       0.070507       0.000000
       0.565000       0.070685       0.000000
       0.566000       0.070857       0.000000
       0.567000       0.071026       0.000000
       0.568000       0.071196       0.000000
       0.569000       0.071367       0.000000
       0.570000       0.071537       0.000000
       0.571000       0.071697       0.000000
       0.572000       0.071844       0.000000
       0.573000       0.071985       0.000000
       0.574000       0.072129       0.000000
       0.575000       0.072282       0.000000
       0.576000       0.072443       0.000000
       0.577000       0.072607       0.000000
       0.578000       0.072771       0.000000
       0.579000       0.072931       0.000000
       0.580000       0.073085       0.000000
       0.581000       0.073232       0.000000
       0.582000       0.073380       0.000000
       0.583000       0.073537       0.000000
       0.584000       0.073708       0.000000
       0.585000       0.073887       0.000000
       0.586000       0.074065       0.000000
       0.587000       0.074235       0.000000
       0.588000       0.074400       0.000000
       0.589000       0.074564       0.000000
       0.590000       0.074732       0.000000
       0.591000       0.074902       0.000000
       0.592000       0.075073       0.000000
       0.593000       0.075242       0.000000
       0.594000       0.075411       0.000000
       0.595000       0.075581       0.000000
       0.596000       0.075754       0.000000
       0.597000       0.075932       0.000000
       0.598000       0.076118       0.000000
       0.599000       0.076312       0.000000
       0.600000       0.076500       0.000000
       0.601000       0.076667       0.000000
       0.602000       0.076799       0.000000
       0.603000       0.076908       0.000000
       0.604000       0.077008       0.000000
       0.605000       0.077113       0.000000
       0.606000       0.077231       0.000000
       0.607000       0.077370       0.000000
       0.608000       0.077535       0.000000
       0.609000       0.077721       0.000000
       0.610000       0.077925       0.000000
       0.611000       0.078139       0.000000
       0.612000       0.078355       0.000000
       0.613000       0.078562       0.000000
       0.614000       0.078753       0.000000
       0.615000       0.078927       0.000000
       0.616000       0.079087       0.000000
       0.617000       0.079235       0.000000
       0.618000       0.079376       0.000000
       0.619000       0.079516       0.000000
       0.620000       0.079660       0.000000
       0.621000       0.079809       0.000000
       0.622000       0.079963       0.000000
       0.623000       0.080121       0.000000
       0.624000       0.080284       0.000000
       0.625000       0.080454       0.000000
       0.626000       0.080632       0.000000
       0.627000       0.080818       0.000000
       0.628000       0.081013       0.000000
       0.629000       0.081217       0.000000
       0.630000       0.081426       0.000000
       0.631000       0.081636       0.000000
       0.632000       0.081845       0.000000
       0.633000       0.082048       0.000000
       0.634000       0.082242       0.000000
       0.635000       0.082424       0.000000
       0.636000       0.082599       0.000000
       0.637000       0.082773       0.000000
       0.638000       0.082948       0.000000
       0.639000       0.083122       0.000000
       0.640000       0.083290       0.000000
       0.641000       0.083449       0.000000
       0.642000       0.083600       0.000000
       0.643000       0.083747       0.000000
       0.644000       0.083894       0.000000
       0.645000       0.084040       0.000000
       0.646000       0.084186       0.000000
       0.647000       0.084333       0.000000
       0.648000       0.084481       0.000000
       0.649000       0.084633       0.000000
       0.650000       0.084791       0.000000
       0.651000       0.084956       0.000000
       0.652000       0.085129       0.000000
       0.653000       0.085310       0.000000
       0.654000       0.085495       0.000000
       0.655000       0.085678       0.000000
       0.656000       0.085852       0.000000
       0.657000       0.086022       0.000000
       0.658000       0.086189       0.000000
       0.659000       0.086358       0.000000
       0.660000       0.086523       0.000000
       0.661000       0.086680       0.000000
       0.662000       0.086828       0.000000
       0.663000       0.086970       0.000000
       0.664000       0.087115       0.000000
       0.665000       0.087269       0.000000
       0.666000       0.087428       0.000000
       0.667000       0.087590       0.000000
       0.668000       0.087750       0.000000
       0.669000       0.087911       0.000000
       0.670000       0.088078       0.000000
       0.671000       0.088254       0.000000
       0.672000       0.088442       0.000000
       0.673000       0.088641       0.000000
       0.674000       0.088853       0.000000
       0.675000       0.089069       0.000000
       0.676000       0.089280       0.000000
       0.677000       0.089481       0.000000
       0.678000       0.089683       0.000000
       0.679000       0.089901       0.000000
       0.680000       0.090146       0.000000
       0.681000       0.090413       0.000000
       0.682000       0.090691       0.000000
       0.683000       0.090971       0.000000
       0.684000       0.091261       0.000000
       0.685000       0.091569       0.000000
       0.686000       0.091901       0.000000
       0.687000       0.092265       0.000000
       0.688000       0.092662       0.000000
       0.689000       0.093096       0.000000
       0.690000       0.093555       0.000000
       0.691000       0.094027       0.000000
       0.692000       0.094504       0.000000
       0.693000       0.094994       0.000000
       0.694000       0.095513       0.000000
       0.695000       0.096069       0.000000
       0.696000       0.096654       0.000000
       0.697000       0.097255       0.000000
       0.698000       0.097861       0.000000
       0.699000       0.098470       0.000000
       0.700000       0.099084       0.000000
       0.701000       0.099704       0.000000
       0.702000       0.100329       0.000000
       0.703000       0.100958       0.000000
       0.704000       0.101588       0.000000
       0.705000       0.102213       0.000000
       0.706000       0.102826       0.000000
       0.707000       0.103424       0.000000
       0.708000       0.104008       0.000000
       0.709000       0.104584       0.000000
       0.710000       0.105156       0.000000
       0.711000       0.105726       0.000000
       0.712000       0.106296       0.000000
       0.713000       0.106865       0.000000
       0.714000       0.107426       0.000000
       0.715000       0.107970       0.000000
       0.716000       0.108494       0.000000
       0.717000       0.109012       0.000000
       0.718000       0.109541       0.000000
       0.719000       0.110096       0.000000
       0.720000       0.110665       0.000000
       0.721000       0.111233       0.000000
       0.722000       0.111787       0.000000
       0.723000       0.112329       0.000000
       0.724000       0.112863       0.000000
       0.725000       0.113393       0.000000
       0.726000       0.113916       0.000000
       0.727000       0.114432       0.000000
       0.728000       0.114937       0.000000
       0.729000       0.115437       0.000000
       0.730000       0.115937       0.000000
       0.731000       0.116439       0.000000
       0.732000       0.116936       0.000000
       0.733000       0.117420       0.000000
       0.734000       0.117885       0.000000
       0.735000       0.118334       0.000000
       0.736000       0.118775       0.000000
       0.737000       0.119212       0.000000
       0.738000       0.119644       0.000000
       0.739000       0.120066       0.000000
       0.740000       0.120475       0.000000
       0.741000       0.120873       0.000000
       0.742000       0.121260       0.000000
       0.743000       0.121639       0.000000
       0.744000       0.122012       0.000000
       0.745000       0.122380       0.000000
       0.746000       0.122745       0.000000
       0.747000       0.123101       0.000000
       0.748000       0.123443       0.000000
       0.749000       0.123767       0.000000
       0.750000       0.124080       0.000000
       0.751000       0.124387       0.000000
       0.752000       0.124695       0.000000
       0.753000       0.125007       0.000000
       0.754000       0.125322       0.000000
       0.755000       0.125641       0.000000
       0.756000       0.125954       0.000000
       0.757000       0.126248       0.000000
       0.758000       0.126517       0.000000
       0.759000      -1.23e34       -1.23e34 
       0.760000      -1.23e34       -1.23e34 
       0.761000      -1.23e34       -1.23e34 
       0.762000      -1.23e34       -1.23e34 
       0.763000       0.127890       0.000000
       0.764000       0.128174       0.000000
       0.765000       0.128449       0.000000
       0.766000       0.128718       0.000000
       0.767000       0.128981       0.000000
       0.768000       0.129245       0.000000
       0.769000       0.129517       0.000000
       0.770000       0.129800       0.000000
       0.771000       0.130085       0.000000
       0.772000       0.130357       0.000000
       0.773000       0.130606       0.000000
       0.774000       0.130844       0.000000
       0.775000       0.131087       0.000000
       0.776000       0.131347       0.000000
       0.777000       0.131616       0.000000
       0.778000       0.131886       0.000000
       0.779000       0.132148       0.000000
       0.780000       0.132401       0.000000
       0.781000       0.132648       0.000000
       0.782000       0.132892       0.000000
       0.783000       0.133137       0.000000
       0.784000       0.133388       0.000000
       0.785000       0.133648       0.000000
       0.786000       0.133911       0.000000
       0.787000       0.134168       0.000000
       0.788000       0.134412       0.000000
       0.789000       0.134651       0.000000
       0.790000       0.134893       0.000000
       0.791000       0.135145       0.000000
       0.792000       0.135405       0.000000
       0.793000       0.135671       0.000000
       0.794000       0.135937       0.000000
       0.795000       0.136198       0.000000
       0.796000       0.136447       0.000000
       0.797000       0.136679       0.000000
       0.798000       0.136906       0.000000
       0.799000       0.137140       0.000000
       0.800000       0.137392       0.000000
       0.801000       0.137654       0.000000
       0.802000       0.137916       0.000000
