USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sagebrush YNP-SS-3           W1R1Ab RTGC
copy of splib05a r 11878                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.035282       0.000000
       0.419190       0.038674       0.000000
       0.428970       0.041016       0.000000
       0.438760       0.046218       0.000000
       0.448550       0.048882       0.000000
       0.458360       0.050513       0.000000
       0.468180       0.052174       0.000000
       0.478000       0.053628       0.000000
       0.487840       0.055076       0.000000
       0.497680       0.056354       0.000000
       0.507530       0.059438       0.000000
       0.517380       0.062795       0.000000
       0.527240       0.067782       0.000000
       0.537100       0.072544       0.000000
       0.546960       0.076240       0.000000
       0.556830       0.078945       0.000000
       0.566710       0.079862       0.000000
       0.576580       0.080151       0.000000
       0.586450       0.081231       0.000000
       0.596330       0.082464       0.000000
       0.606200       0.083776       0.000000
       0.616080       0.084243       0.000000
       0.625950       0.085590       0.000000
       0.635820       0.086874       0.000000
       0.645690       0.087384       0.000000
       0.655560       0.086953       0.000000
       0.665420       0.086916       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.087252       0.000000
       0.685190       0.090885       0.000000
       0.694780       0.103747       0.000000
       0.704370       0.123312       0.000000
       0.713960       0.142642       0.000000
       0.723550       0.163921       0.000000
       0.733140       0.182173       0.000000
       0.742730       0.194984       0.000000
       0.752320       0.203101       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.213395       0.000000
       0.781100       0.216207       0.000000
       0.790700       0.219260       0.000000
       0.800290       0.222888       0.000000
       0.809890       0.225145       0.000000
       0.819480       0.227996       0.000000
       0.829080       0.231680       0.000000
       0.838680       0.235145       0.000000
       0.848280       0.237810       0.000000
       0.857880       0.241636       0.000000
       0.867480       0.244589       0.000000
       0.877080       0.247981       0.000000
       0.886680       0.250900       0.000000
       0.896290       0.253493       0.000000
       0.905890       0.257415       0.000000
       0.915490       0.260254       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.262669       0.000000
       0.963520       0.263543       0.000000
       0.973130       0.265239       0.000000
       0.982740       0.267098       0.000000
       0.992350       0.269564       0.000000
       1.001960       0.272863       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.279535       0.000000
       1.030800       0.282465       0.000000
       1.040410       0.285750       0.000000
       1.050030       0.288418       0.000000
       1.059640       0.290869       0.000000
       1.069260       0.293979       0.000000
       1.078870       0.296378       0.000000
       1.088490       0.299369       0.000000
       1.098110       0.301802       0.000000
       1.107730       0.302626       0.000000
       1.117350       0.297433       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.290967       0.000000
       1.175080       0.290527       0.000000
       1.184700       0.290770       0.000000
       1.194330       0.290408       0.000000
       1.203950       0.292106       0.000000
       1.213580       0.294743       0.000000
       1.223210       0.298121       0.000000
       1.232830       0.302215       0.000000
       1.242460       0.305320       0.000000
       1.252090       0.306960       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.306540       0.000000
       1.274190       0.309387       0.000000
       1.284160       0.311969       0.000000
       1.294130       0.315773       0.000000
       1.304100       0.315220       0.000000
       1.314070       0.312577       0.000000
       1.324040       0.308863       0.000000
       1.334000       0.307135       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.190229       0.000000
       1.433650       0.188356       0.000000
       1.443610       0.180085       0.000000
       1.453570       0.180821       0.000000
       1.463530       0.183210       0.000000
       1.473490       0.185114       0.000000
       1.483450       0.191439       0.000000
       1.493410       0.195034       0.000000
       1.503370       0.200453       0.000000
       1.513320       0.205846       0.000000
       1.523280       0.211803       0.000000
       1.533240       0.216246       0.000000
       1.543190       0.221175       0.000000
       1.553150       0.226143       0.000000
       1.563100       0.229972       0.000000
       1.573050       0.233829       0.000000
       1.583010       0.237810       0.000000
       1.592960       0.242304       0.000000
       1.602910       0.247303       0.000000
       1.612860       0.252198       0.000000
       1.622810       0.256627       0.000000
       1.632760       0.259957       0.000000
       1.642710       0.262427       0.000000
       1.652660       0.264512       0.000000
       1.662610       0.264947       0.000000
       1.672560       0.264158       0.000000
       1.682510       0.262349       0.000000
       1.692460       0.258217       0.000000
       1.702400       0.255231       0.000000
       1.712350       0.251258       0.000000
       1.722290       0.248367       0.000000
       1.732240       0.247907       0.000000
       1.742180       0.247934       0.000000
       1.752120       0.246711       0.000000
       1.762070       0.245805       0.000000
       1.772010       0.241755       0.000000
       1.781950       0.243669       0.000000
       1.791890       0.242126       0.000000
       1.801830       0.240197       0.000000
       1.811770       0.231477       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.137402       0.000000
       1.959480       0.145351       0.000000
       1.969510       0.149287       0.000000
       1.979540       0.152819       0.000000
       1.989570       0.155928       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.165789       0.000000
       2.039670       0.163826       0.000000
       2.049690       0.161720       0.000000
       2.059700       0.160100       0.000000
       2.069700       0.159099       0.000000
       2.079710       0.161162       0.000000
       2.089710       0.160834       0.000000
       2.099710       0.161119       0.000000
       2.109710       0.161288       0.000000
       2.119710       0.162939       0.000000
       2.129700       0.164897       0.000000
       2.139690       0.168294       0.000000
       2.149680       0.170679       0.000000
       2.159660       0.172171       0.000000
       2.169650       0.175604       0.000000
       2.179630       0.176622       0.000000
       2.189610       0.181069       0.000000
       2.199580       0.180598       0.000000
       2.209550       0.182032       0.000000
       2.219520       0.182496       0.000000
       2.229490       0.179743       0.000000
       2.239460       0.174045       0.000000
       2.249420       0.169488       0.000000
       2.259380       0.161107       0.000000
       2.269340       0.155778       0.000000
       2.279300       0.152379       0.000000
       2.289250       0.149491       0.000000
       2.299200       0.146528       0.000000
       2.309150       0.143886       0.000000
       2.319090       0.142771       0.000000
       2.329040       0.143534       0.000000
       2.338980       0.139503       0.000000
       2.348920       0.137162       0.000000
       2.358850       0.138383       0.000000
       2.368780       0.135775       0.000000
       2.378710       0.136353       0.000000
       2.388640       0.134581       0.000000
       2.398570       0.135570       0.000000
       2.408490       0.132533       0.000000
       2.418410       0.127985       0.000000
       2.428330       0.127183       0.000000
       2.438250       0.121247       0.000000
       2.448160       0.113945       0.000000
       2.458070       0.113450       0.000000
       2.467980       0.104674       0.000000
       2.477880       0.098549       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
