USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Walnut_Leaf SUN (Green)      W1R1Ba AREF
copy of splib05a r 11926                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.041932       0.000619
       0.305100       0.041972       0.000635
       0.309100       0.041740       0.000609
       0.313100       0.041456       0.000677
       0.317100       0.041503       0.000645
       0.321100       0.041851       0.000607
       0.325100       0.041550       0.000598
       0.329100       0.041685       0.000616
       0.333100       0.041763       0.000617
       0.337100       0.041869       0.000584
       0.341100       0.041864       0.000594
       0.345100       0.041982       0.000666
       0.349100       0.041793       0.000589
       0.353100       0.042005       0.000589
       0.357100       0.042131       0.000619
       0.360600       0.042563       0.000618
       0.363600       0.042392       0.000596
       0.366600       0.042164       0.000653
       0.369600       0.042546       0.000605
       0.372600       0.042260       0.000625
       0.375600       0.042356       0.000653
       0.378600       0.042565       0.000631
       0.381100       0.042975       0.000596
       0.383100       0.042655       0.000595
       0.385100       0.042748       0.000604
       0.387100       0.043079       0.000637
       0.389100       0.042900       0.000649
       0.391100       0.043032       0.000640
       0.393100       0.043035       0.000621
       0.395100       0.043116       0.000618
       0.397100       0.043206       0.000647
       0.399100       0.043448       0.000687
       0.401100       0.043503       0.000638
       0.403100       0.043426       0.000629
       0.405100       0.043570       0.000663
       0.407100       0.043777       0.000667
       0.409100       0.044114       0.000632
       0.411100       0.044120       0.000616
       0.412800       0.044731       0.000640
       0.415800       0.044966       0.000641
       0.418800       0.045613       0.000621
       0.421800       0.046867       0.000666
       0.424800       0.048004       0.000612
       0.427800       0.049619       0.000642
       0.430800       0.051178       0.000643
       0.433800       0.052950       0.000666
       0.436800       0.054311       0.000629
       0.439800       0.056184       0.000623
       0.442800       0.057511       0.000650
       0.445800       0.058838       0.000689
       0.448800       0.060284       0.000719
       0.451300       0.061213       0.000615
       0.453300       0.062264       0.000679
       0.455300       0.062601       0.000656
       0.457300       0.063168       0.000656
       0.459300       0.063186       0.000683
       0.461300       0.063913       0.000621
       0.463300       0.064490       0.000672
       0.465300       0.064802       0.000650
       0.467300       0.064853       0.000650
       0.469300       0.065258       0.000616
       0.471300       0.065476       0.000622
       0.473300       0.065614       0.000610
       0.475300       0.065664       0.000585
       0.477300       0.065574       0.000631
       0.479300       0.065788       0.000627
       0.481300       0.065700       0.000620
       0.483300       0.065499       0.000672
       0.485300       0.065753       0.000644
       0.487300       0.066479       0.000642
       0.489300       0.066634       0.000652
       0.491300       0.067424       0.000651
       0.493300       0.068950       0.000688
       0.495300       0.069375       0.000651
       0.497300       0.071028       0.000639
       0.499300       0.072005       0.000697
       0.501300       0.073775       0.000634
       0.503300       0.075307       0.000622
       0.505300       0.077643       0.000711
       0.507300       0.080065       0.000663
       0.509300       0.082996       0.000689
       0.511300       0.086458       0.000633
       0.513300       0.091133       0.000634
       0.515300       0.095471       0.000652
       0.517300       0.100421       0.000635
       0.519300       0.105988       0.000678
       0.521300       0.112280       0.000667
       0.523300       0.119083       0.000652
       0.525300       0.125482       0.000688
       0.527300       0.130770       0.000690
       0.529300       0.135777       0.000684
       0.531300       0.140718       0.000696
       0.533300       0.144840       0.000681
       0.535300       0.148225       0.000687
       0.537300       0.151537       0.000700
       0.539300       0.153613       0.000669
       0.541300       0.155618       0.000614
       0.543300       0.157239       0.000661
       0.545300       0.158668       0.000656
       0.547300       0.160108       0.000705
       0.549300       0.161282       0.000672
       0.551300       0.162540       0.000694
       0.553300       0.163246       0.000646
       0.555300       0.162816       0.000634
       0.557300       0.162926       0.000701
       0.559300       0.161455       0.000645
       0.561300       0.160177       0.000685
       0.563300       0.158206       0.000698
       0.565300       0.156071       0.000641
       0.567300       0.153795       0.000659
       0.569300       0.150575       0.000698
       0.571300       0.146914       0.000679
       0.573300       0.143214       0.000714
       0.575300       0.139689       0.000706
       0.577300       0.136702       0.000685
       0.579300       0.133476       0.000697
       0.581300       0.130986       0.000674
       0.583300       0.128767       0.000658
       0.585300       0.126912       0.000597
       0.587300       0.125473       0.000689
       0.589300       0.124267       0.000691
       0.591300       0.123204       0.000680
       0.593300       0.122372       0.000671
       0.595300       0.121972       0.000684
       0.597300       0.121498       0.000730
       0.599300       0.121263       0.000676
       0.601100       0.120920       0.000638
       0.602700       0.120364       0.000650
       0.604300       0.119235       0.000631
       0.605900       0.118304       0.000680
       0.607500       0.116886       0.000719
       0.609100       0.115258       0.000689
       0.610700       0.113310       0.000677
       0.612300       0.111478       0.000676
       0.613900       0.109981       0.000695
       0.615500       0.107936       0.000665
       0.617100       0.106325       0.000675
       0.618700       0.105315       0.000668
       0.620300       0.103740       0.000675
       0.621900       0.102984       0.000667
       0.623500       0.102080       0.000679
       0.625100       0.101760       0.000678
       0.626700       0.101394       0.000610
       0.628300       0.101503       0.000693
       0.629900       0.101192       0.000696
       0.631700       0.101014       0.000678
       0.633700       0.100766       0.000635
       0.635700       0.100094       0.000610
       0.637700       0.099511       0.000634
       0.639700       0.098779       0.000671
       0.641700       0.097256       0.000643
       0.643700       0.095818       0.000695
       0.645700       0.094550       0.000660
       0.647700       0.092602       0.000671
       0.649700       0.091126       0.000677
       0.651700       0.089381       0.000700
       0.653700       0.088156       0.000700
       0.655700       0.086411       0.000696
       0.657700       0.084347       0.000689
       0.659700       0.081686       0.000633
       0.661700       0.079914       0.000677
       0.663700       0.077566       0.000706
       0.665700       0.075287       0.000684
       0.667700       0.073787       0.000652
       0.670200       0.072524       0.000631
       0.673200       0.071436       0.000616
       0.676200       0.070282       0.000680
       0.679200       0.070302       0.000659
       0.682200       0.070940       0.000633
       0.685200       0.072998       0.000697
       0.688200       0.077539       0.000686
       0.691200       0.087884       0.000689
       0.694200       0.103183       0.000703
       0.697200       0.125866       0.000728
       0.700200       0.155235       0.000697
       0.702000       0.173662       0.000646
       0.704000       0.195395       0.000645
       0.706000       0.215673       0.000678
       0.708000       0.235617       0.000680
       0.710000       0.256699       0.000695
       0.712000       0.277223       0.000661
       0.714000       0.297817       0.000659
       0.716000       0.318571       0.000720
       0.718000       0.337903       0.000705
       0.720000       0.357285       0.000683
       0.722000       0.377156       0.000687
       0.724000       0.394653       0.000671
       0.726000       0.410724       0.000670
       0.728000       0.426077       0.000696
       0.730000       0.440023       0.000679
       0.732000       0.453802       0.000684
       0.734000       0.464381       0.000700
       0.736000       0.474653       0.000723
       0.738000       0.482636       0.000656
       0.740000       0.490869       0.000693
       0.742000       0.496797       0.000702
       0.744000       0.502770       0.000713
       0.746000       0.507203       0.000699
       0.748000       0.511048       0.000729
       0.750500       0.514581       0.000698
       0.753500       0.518621       0.000718
       0.756500       0.521467       0.000723
       0.759500       0.523871       0.000715
       0.762500       0.525914       0.000698
       0.765500       0.526647       0.000672
       0.768500       0.528236       0.000656
       0.771500       0.529027       0.000659
       0.774500       0.529958       0.000672
       0.777500       0.530014       0.000720
       0.781000       0.530901       0.000706
       0.785000       0.531726       0.000713
       0.789000       0.531695       0.000687
       0.793000       0.532524       0.000720
       0.797000       0.532771       0.000712
       0.801500       0.533479       0.000662
       0.806500       0.533831       0.000720
       0.811500       0.533930       0.000708
       0.816500       0.534176       0.000688
       0.822000       0.534423       0.000681
       0.828000       0.534527       0.000700
       0.835000       0.535175       0.000676
       0.843000       0.535754       0.000712
       0.851000       0.536721       0.000745
       0.859000       0.537343       0.000724
       0.871000       0.537465       0.000734
       0.883000       0.537486       0.000738
       0.894000       0.538159       0.000691
       0.904000       0.538083       0.000714
       0.914000       0.535721       0.000728
       0.924000       0.536560       0.000677
       0.933000       0.536798       0.000730
       0.941000       0.535322       0.000720
       0.949000       0.531682       0.000736
       0.957000       0.528745       0.000734
       0.964000       0.528944       0.000720
       0.970000       0.527767       0.000732
       0.976000       0.527686       0.000685
       0.982000       0.527322       0.000705
       0.988000       0.526866       0.000677
       0.994000       0.527819       0.000720
       1.000000       0.528283       0.000707
       1.006000       0.529429       0.000717
       1.012000       0.529127       0.000741
       1.018000       0.528907       0.000738
       1.023500       0.531805       0.000713
       1.028500       0.531997       0.000704
       1.033500       0.533432       0.000727
       1.038500       0.533190       0.000700
       1.043500       0.534666       0.000728
       1.048500       0.534717       0.000694
       1.053500       0.534303       0.000721
       1.058500       0.534943       0.000692
       1.063500       0.535232       0.000698
       1.068500       0.535855       0.000736
       1.073500       0.534859       0.000712
       1.078500       0.534829       0.000706
       1.083500       0.534774       0.000714
       1.088500       0.534949       0.000723
       1.093500       0.533808       0.000692
       1.098500       0.534532       0.000716
       1.103500       0.533500       0.000689
       1.108500       0.533841       0.000710
       1.113500       0.532485       0.000731
       1.118500       0.531783       0.000717
       1.123500       0.530816       0.000727
       1.128500       0.529449       0.000713
       1.133500       0.526537       0.000730
       1.138500       0.522380       0.000724
       1.143500       0.517438       0.000663
       1.148500       0.511900       0.000705
       1.153500       0.507860       0.000682
       1.158500       0.503156       0.000711
       1.163500       0.500167       0.000697
       1.168500       0.497851       0.000730
       1.173500       0.496379       0.000720
       1.178500       0.494609       0.000722
       1.183500       0.493420       0.000649
       1.188500       0.493650       0.000709
       1.193500       0.492717       0.000734
       1.198500       0.490502       0.000720
       1.203500       0.489608       0.000717
       1.208500       0.490550       0.000714
       1.213500       0.491936       0.000688
       1.218500       0.494208       0.000710
       1.223500       0.495069       0.000680
       1.228500       0.496859       0.000705
       1.233500       0.498150       0.000697
       1.238500       0.499540       0.000736
       1.243500       0.500682       0.000716
       1.248500       0.501521       0.000707
       1.253500       0.502055       0.000719
       1.258500       0.502397       0.000691
       1.263500       0.502495       0.000684
       1.268500       0.502978       0.000718
       1.273500       0.502599       0.000724
       1.278500       0.502570       0.000727
       1.283500       0.501678       0.000723
       1.288500       0.500503       0.000711
       1.293500       0.499108       0.000647
       1.298500       0.498065       0.000733
       1.303500       0.495928       0.000714
       1.308500       0.493714       0.000718
       1.313500       0.490036       0.000729
       1.318500       0.486286       0.000722
       1.323500       0.481972       0.000687
       1.328500       0.476539       0.000722
       1.333500       0.470981       0.000717
       1.338500       0.465223       0.000710
       1.343500       0.459208       0.000673
       1.348500       0.454279       0.000712
       1.353500       0.448876       0.000711
       1.358500       0.443627       0.000711
       1.363500       0.438079       0.000714
       1.368500       0.431891       0.000694
       1.373500       0.422760       0.000738
       1.378500       0.409407       0.000686
       1.383500       0.390864       0.000696
       1.388500       0.364903       0.000692
       1.393500       0.336148       0.000684
       1.398500       0.304490       0.000729
       1.403500       0.274842       0.000684
       1.408500       0.249610       0.000698
       1.413500       0.231229       0.000725
       1.418500       0.216766       0.000687
       1.423500       0.207177       0.000694
       1.428500       0.200456       0.000675
       1.433500       0.194730       0.000702
       1.438500       0.190969       0.000698
       1.443500       0.188530       0.000735
       1.448500       0.186721       0.000655
       1.453500       0.186059       0.000646
       1.458500       0.186168       0.000693
       1.463500       0.186783       0.000729
       1.468500       0.190086       0.000733
       1.473500       0.193634       0.000725
       1.478500       0.199087       0.000687
       1.483500       0.204853       0.000688
       1.488500       0.210890       0.000674
       1.493500       0.217285       0.000691
       1.498500       0.223757       0.000670
       1.503500       0.231449       0.000688
       1.508500       0.237923       0.000667
       1.513500       0.245024       0.000699
       1.518500       0.252559       0.000702
       1.523500       0.259428       0.000692
       1.528500       0.266547       0.000683
       1.534000       0.271994       0.000653
       1.540000       0.279721       0.000670
       1.546000       0.286215       0.000679
       1.552000       0.293879       0.000680
       1.558000       0.300197       0.000712
       1.564000       0.305884       0.000659
       1.570500       0.311042       0.000695
       1.577500       0.316672       0.000678
       1.584500       0.322738       0.000675
       1.591500       0.328478       0.000712
       1.598500       0.332993       0.000663
       1.605500       0.337522       0.000705
       1.612500       0.341942       0.000724
       1.619500       0.344936       0.000688
       1.626500       0.348235       0.000720
       1.633500       0.350990       0.000709
       1.640500       0.353134       0.000703
       1.647500       0.355184       0.000725
       1.654500       0.355525       0.000715
       1.661500       0.355206       0.000709
       1.668500       0.354656       0.000694
       1.676000       0.352484       0.000687
       1.684000       0.348570       0.000717
       1.692000       0.343035       0.000712
       1.700000       0.335155       0.000699
       1.708000       0.327975       0.000725
       1.716000       0.319171       0.000691
       1.724000       0.317610       0.000702
       1.732000       0.317711       0.000724
       1.740000       0.317779       0.000734
       1.748000       0.315061       0.000712
       1.756000       0.310085       0.000727
       1.764000       0.306536       0.000706
       1.772000       0.302850       0.000715
       1.780000       0.302399       0.000733
       1.788000       0.306822       0.000727
       1.796000       0.306985       0.000722
       1.805000       0.309167       0.000712
       1.815000       0.310429       0.000653
       1.825000       0.310712       0.000686
       1.835000       0.310621       0.000709
       1.845000       0.304848       0.000727
       1.855000       0.291745       0.000689
       1.865000       0.264188       0.000699
       1.875000       0.218092       0.000705
       1.885000       0.157767       0.000697
       1.895000       0.105432       0.000663
       1.905000       0.078967       0.000680
       1.915000       0.068256       0.000717
       1.925000       0.064555       0.000658
       1.935000       0.064381       0.000719
       1.945000       0.065001       0.000646
       1.955000       0.068084       0.000720
       1.965000       0.071649       0.000664
       1.975000       0.076657       0.000719
       1.985000       0.081840       0.000719
       1.995000       0.088910       0.000676
       2.005000       0.094500       0.000716
       2.015000       0.101900       0.000702
       2.025000       0.108391       0.000676
       2.035000       0.115508       0.000646
       2.045000       0.120108       0.000680
       2.055000       0.125237       0.000694
       2.065000       0.131887       0.000668
       2.075000       0.137434       0.000718
       2.085000       0.143161       0.000685
       2.095000       0.148996       0.000707
       2.105000       0.154354       0.000673
       2.115000       0.159456       0.000659
       2.125000       0.165792       0.000719
       2.135000       0.170340       0.000711
       2.145000       0.173864       0.000711
       2.155000       0.175538       0.000689
       2.165000       0.178193       0.000715
       2.175000       0.181805       0.000701
       2.185000       0.185309       0.000659
       2.195000       0.188420       0.000725
       2.205000       0.191500       0.000720
       2.215000       0.193790       0.000728
       2.225000       0.196115       0.000726
       2.235000       0.193056       0.000725
       2.245000       0.187353       0.000734
       2.255000       0.178152       0.000727
       2.265000       0.167626       0.000735
       2.275000       0.157710       0.000757
       2.285000       0.150740       0.000892
       2.295000       0.141077       0.001270
       2.305000       0.134586       0.001160
       2.315000       0.131517       0.000883
       2.325000       0.129191       0.000726
