USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Whitebark-Pine YNP-WB-1      W1R1Ab RTGC
copy of splib05a r 11954                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420      -1.23e34       -1.23e34 
       0.419190       0.013259       0.000000
       0.428970       0.014669       0.000000
       0.438760       0.015762       0.000000
       0.448550       0.016707       0.000000
       0.458360       0.016874       0.000000
       0.468180       0.016812       0.000000
       0.478000       0.017142       0.000000
       0.487840       0.017223       0.000000
       0.497680       0.016913       0.000000
       0.507530       0.018385       0.000000
       0.517380       0.020505       0.000000
       0.527240       0.023884       0.000000
       0.537100       0.026981       0.000000
       0.546960       0.028799       0.000000
       0.556830       0.030258       0.000000
       0.566710       0.029607       0.000000
       0.576580       0.027956       0.000000
       0.586450       0.027249       0.000000
       0.596330       0.027096       0.000000
       0.606200       0.027051       0.000000
       0.616080       0.026078       0.000000
       0.625950       0.025923       0.000000
       0.635820       0.026209       0.000000
       0.645690       0.025122       0.000000
       0.655560       0.024302       0.000000
       0.665420       0.023263       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.022809       0.000000
       0.685190       0.024903       0.000000
       0.694780       0.032659       0.000000
       0.704370       0.046446       0.000000
       0.713960       0.061843       0.000000
       0.723550       0.080199       0.000000
       0.733140       0.098697       0.000000
       0.742730       0.112710       0.000000
       0.752320       0.120827       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.128208       0.000000
       0.781100       0.129055       0.000000
       0.790700       0.130556       0.000000
       0.800290       0.132190       0.000000
       0.809890       0.133480       0.000000
       0.819480       0.134617       0.000000
       0.829080       0.136337       0.000000
       0.838680       0.137770       0.000000
       0.848280       0.139145       0.000000
       0.857880       0.140908       0.000000
       0.867480       0.142144       0.000000
       0.877080       0.143399       0.000000
       0.886680       0.144294       0.000000
       0.896290       0.143507       0.000000
       0.905890       0.143436       0.000000
       0.915490       0.143997       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.137640       0.000000
       0.963520       0.136588       0.000000
       0.973130       0.136544       0.000000
       0.982740       0.136915       0.000000
       0.992350       0.138533       0.000000
       1.001960       0.140446       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.145873       0.000000
       1.030800       0.148724       0.000000
       1.040410       0.151777       0.000000
       1.050030       0.154090       0.000000
       1.059640       0.156250       0.000000
       1.069260       0.157951       0.000000
       1.078870       0.158313       0.000000
       1.088490       0.158516       0.000000
       1.098110       0.157076       0.000000
       1.107730       0.155695       0.000000
       1.117350       0.151300       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.131304       0.000000
       1.175080       0.129431       0.000000
       1.184700       0.127970       0.000000
       1.194330       0.127369       0.000000
       1.203950       0.127892       0.000000
       1.213580       0.129937       0.000000
       1.223210       0.133663       0.000000
       1.232830       0.137422       0.000000
       1.242460       0.140225       0.000000
       1.252090       0.142841       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.146064       0.000000
       1.274190       0.147086       0.000000
       1.284160       0.146256       0.000000
       1.294130       0.145018       0.000000
       1.304100       0.141898       0.000000
       1.314070       0.137350       0.000000
       1.324040       0.130719       0.000000
       1.334000       0.121650       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.057176       0.000000
       1.433650       0.055647       0.000000
       1.443610       0.053746       0.000000
       1.453570       0.054118       0.000000
       1.463530       0.052968       0.000000
       1.473490       0.054855       0.000000
       1.483450       0.056037       0.000000
       1.493410       0.058508       0.000000
       1.503370       0.061229       0.000000
       1.513320       0.064480       0.000000
       1.523280       0.067126       0.000000
       1.533240       0.069333       0.000000
       1.543190       0.071710       0.000000
       1.553150       0.074000       0.000000
       1.563100       0.075743       0.000000
       1.573050       0.078101       0.000000
       1.583010       0.079980       0.000000
       1.592960       0.081442       0.000000
       1.602910       0.083824       0.000000
       1.612860       0.085919       0.000000
       1.622810       0.087401       0.000000
       1.632760       0.088740       0.000000
       1.642710       0.089887       0.000000
       1.652660       0.090310       0.000000
       1.662610       0.090569       0.000000
       1.672560       0.089803       0.000000
       1.682510       0.089315       0.000000
       1.692460       0.088140       0.000000
       1.702400       0.086440       0.000000
       1.712350       0.084681       0.000000
       1.722290       0.083636       0.000000
       1.732240       0.083094       0.000000
       1.742180       0.082578       0.000000
       1.752120       0.081604       0.000000
       1.762070       0.080010       0.000000
       1.772010       0.079731       0.000000
       1.781950       0.078705       0.000000
       1.791890       0.079110       0.000000
       1.801830       0.079227       0.000000
       1.811770       0.078179       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.044660       0.000000
       1.959480       0.043098       0.000000
       1.969510       0.042208       0.000000
       1.979540       0.042300       0.000000
       1.989570       0.043490       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.047693       0.000000
       2.039670       0.046501       0.000000
       2.049690       0.047342       0.000000
       2.059700       0.047092       0.000000
       2.069700       0.047352       0.000000
       2.079710       0.047043       0.000000
       2.089710       0.047077       0.000000
       2.099710       0.047487       0.000000
       2.109710       0.048154       0.000000
       2.119710       0.048612       0.000000
       2.129700       0.048794       0.000000
       2.139690       0.049082       0.000000
       2.149680       0.049831       0.000000
       2.159660       0.050865       0.000000
       2.169650       0.051681       0.000000
       2.179630       0.052854       0.000000
       2.189610       0.053764       0.000000
       2.199580       0.054555       0.000000
       2.209550       0.055615       0.000000
       2.219520       0.055437       0.000000
       2.229490       0.055249       0.000000
       2.239460       0.053085       0.000000
       2.249420       0.051617       0.000000
       2.259380       0.049826       0.000000
       2.269340       0.047419       0.000000
       2.279300       0.045629       0.000000
       2.289250       0.045538       0.000000
       2.299200       0.042850       0.000000
       2.309150       0.042304       0.000000
       2.319090       0.041459       0.000000
       2.329040       0.041850       0.000000
       2.338980       0.041452       0.000000
       2.348920       0.038675       0.000000
       2.358850       0.039614       0.000000
       2.368780       0.039807       0.000000
       2.378710       0.038690       0.000000
       2.388640       0.037942       0.000000
       2.398570       0.035876       0.000000
       2.408490       0.036508       0.000000
       2.418410       0.033915       0.000000
       2.428330       0.035175       0.000000
       2.438250       0.034241       0.000000
       2.448160       0.031810       0.000000
       2.458070       0.030767       0.000000
       2.467980       0.033840       0.000000
       2.477880       0.032588       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
