USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Willow Willow-Leaves-1 dry   W1R1Fa AREF
copy of splib05a r 11972                                    
       0.350000       0.086327       0.000000
       0.351000       0.086327       0.000000
       0.352000       0.083154       0.000000
       0.353000       0.080174       0.000000
       0.354000       0.077580       0.000000
       0.355000       0.075487       0.000000
       0.356000       0.073690       0.000000
       0.357000       0.071907       0.000000
       0.358000       0.069935       0.000000
       0.359000       0.067894       0.000000
       0.360000       0.065986       0.000000
       0.361000       0.064363       0.000000
       0.362000       0.062993       0.000000
       0.363000       0.061792       0.000000
       0.364000       0.060686       0.000000
       0.365000       0.059619       0.000000
       0.366000       0.058543       0.000000
       0.367000       0.057435       0.000000
       0.368000       0.056385       0.000000
       0.369000       0.055508       0.000000
       0.370000       0.054875       0.000000
       0.371000       0.054368       0.000000
       0.372000       0.053825       0.000000
       0.373000       0.053138       0.000000
       0.374000       0.052417       0.000000
       0.375000       0.051824       0.000000
       0.376000       0.051476       0.000000
       0.377000       0.051286       0.000000
       0.378000       0.051119       0.000000
       0.379000       0.050873       0.000000
       0.380000       0.050568       0.000000
       0.381000       0.050260       0.000000
       0.382000       0.049993       0.000000
       0.383000       0.049767       0.000000
       0.384000       0.049574       0.000000
       0.385000       0.049407       0.000000
       0.386000       0.049265       0.000000
       0.387000       0.049150       0.000000
       0.388000       0.049059       0.000000
       0.389000       0.048974       0.000000
       0.390000       0.048878       0.000000
       0.391000       0.048749       0.000000
       0.392000       0.048577       0.000000
       0.393000       0.048349       0.000000
       0.394000       0.048066       0.000000
       0.395000       0.047777       0.000000
       0.396000       0.047544       0.000000
       0.397000       0.047407       0.000000
       0.398000       0.047327       0.000000
       0.399000       0.047242       0.000000
       0.400000       0.047106       0.000000
       0.401000       0.046932       0.000000
       0.402000       0.046745       0.000000
       0.403000       0.046568       0.000000
       0.404000       0.046395       0.000000
       0.405000       0.046214       0.000000
       0.406000       0.046021       0.000000
       0.407000       0.045834       0.000000
       0.408000       0.045679       0.000000
       0.409000       0.045574       0.000000
       0.410000       0.045513       0.000000
       0.411000       0.045481       0.000000
       0.412000       0.045462       0.000000
       0.413000       0.045428       0.000000
       0.414000       0.045343       0.000000
       0.415000       0.045195       0.000000
       0.416000       0.045042       0.000000
       0.417000       0.044962       0.000000
       0.418000       0.045006       0.000000
       0.419000       0.045124       0.000000
       0.420000       0.045241       0.000000
       0.421000       0.045304       0.000000
       0.422000       0.045352       0.000000
       0.423000       0.045450       0.000000
       0.424000       0.045640       0.000000
       0.425000       0.045894       0.000000
       0.426000       0.046160       0.000000
       0.427000       0.046402       0.000000
       0.428000       0.046635       0.000000
       0.429000       0.046884       0.000000
       0.430000       0.047170       0.000000
       0.431000       0.047494       0.000000
       0.432000       0.047850       0.000000
       0.433000       0.048229       0.000000
       0.434000       0.048611       0.000000
       0.435000       0.048971       0.000000
       0.436000       0.049295       0.000000
       0.437000       0.049612       0.000000
       0.438000       0.049956       0.000000
       0.439000       0.050354       0.000000
       0.440000       0.050784       0.000000
       0.441000       0.051211       0.000000
       0.442000       0.051608       0.000000
       0.443000       0.051978       0.000000
       0.444000       0.052329       0.000000
       0.445000       0.052669       0.000000
       0.446000       0.053003       0.000000
       0.447000       0.053338       0.000000
       0.448000       0.053677       0.000000
       0.449000       0.054014       0.000000
       0.450000       0.054342       0.000000
       0.451000       0.054654       0.000000
       0.452000       0.054951       0.000000
       0.453000       0.055233       0.000000
       0.454000       0.055503       0.000000
       0.455000       0.055765       0.000000
       0.456000       0.056026       0.000000
       0.457000       0.056286       0.000000
       0.458000       0.056534       0.000000
       0.459000       0.056756       0.000000
       0.460000       0.056942       0.000000
       0.461000       0.057112       0.000000
       0.462000       0.057290       0.000000
       0.463000       0.057495       0.000000
       0.464000       0.057723       0.000000
       0.465000       0.057966       0.000000
       0.466000       0.058215       0.000000
       0.467000       0.058459       0.000000
       0.468000       0.058686       0.000000
       0.469000       0.058892       0.000000
       0.470000       0.059088       0.000000
       0.471000       0.059292       0.000000
       0.472000       0.059516       0.000000
       0.473000       0.059751       0.000000
       0.474000       0.059982       0.000000
       0.475000       0.060199       0.000000
       0.476000       0.060400       0.000000
       0.477000       0.060588       0.000000
       0.478000       0.060766       0.000000
       0.479000       0.060943       0.000000
       0.480000       0.061129       0.000000
       0.481000       0.061332       0.000000
       0.482000       0.061541       0.000000
       0.483000       0.061744       0.000000
       0.484000       0.061932       0.000000
       0.485000       0.062114       0.000000
       0.486000       0.062302       0.000000
       0.487000       0.062508       0.000000
       0.488000       0.062732       0.000000
       0.489000       0.062973       0.000000
       0.490000       0.063231       0.000000
       0.491000       0.063515       0.000000
       0.492000       0.063834       0.000000
       0.493000       0.064195       0.000000
       0.494000       0.064588       0.000000
       0.495000       0.064999       0.000000
       0.496000       0.065419       0.000000
       0.497000       0.065856       0.000000
       0.498000       0.066324       0.000000
       0.499000       0.066832       0.000000
       0.500000       0.067379       0.000000
       0.501000       0.067957       0.000000
       0.502000       0.068563       0.000000
       0.503000       0.069202       0.000000
       0.504000       0.069880       0.000000
       0.505000       0.070602       0.000000
       0.506000       0.071365       0.000000
       0.507000       0.072167       0.000000
       0.508000       0.073004       0.000000
       0.509000       0.073878       0.000000
       0.510000       0.074794       0.000000
       0.511000       0.075753       0.000000
       0.512000       0.076763       0.000000
       0.513000       0.077830       0.000000
       0.514000       0.078957       0.000000
       0.515000       0.080146       0.000000
       0.516000       0.081395       0.000000
       0.517000       0.082700       0.000000
       0.518000       0.084054       0.000000
       0.519000       0.085446       0.000000
       0.520000       0.086866       0.000000
       0.521000       0.088299       0.000000
       0.522000       0.089730       0.000000
       0.523000       0.091144       0.000000
       0.524000       0.092526       0.000000
       0.525000       0.093859       0.000000
       0.526000       0.095129       0.000000
       0.527000       0.096320       0.000000
       0.528000       0.097415       0.000000
       0.529000       0.098399       0.000000
       0.530000       0.099258       0.000000
       0.531000       0.099980       0.000000
       0.532000       0.100556       0.000000
       0.533000       0.100992       0.000000
       0.534000       0.101298       0.000000
       0.535000       0.101488       0.000000
       0.536000       0.101599       0.000000
       0.537000       0.101672       0.000000
       0.538000       0.101749       0.000000
       0.539000       0.101866       0.000000
       0.540000       0.102059       0.000000
       0.541000       0.102358       0.000000
       0.542000       0.102774       0.000000
       0.543000       0.103312       0.000000
       0.544000       0.103973       0.000000
       0.545000       0.104746       0.000000
       0.546000       0.105615       0.000000
       0.547000       0.106561       0.000000
       0.548000       0.107557       0.000000
       0.549000       0.108575       0.000000
       0.550000       0.109587       0.000000
       0.551000       0.110580       0.000000
       0.552000       0.111540       0.000000
       0.553000       0.112455       0.000000
       0.554000       0.113311       0.000000
       0.555000       0.114093       0.000000
       0.556000       0.114791       0.000000
       0.557000       0.115406       0.000000
       0.558000       0.115941       0.000000
       0.559000       0.116403       0.000000
       0.560000       0.116801       0.000000
       0.561000       0.117148       0.000000
       0.562000       0.117453       0.000000
       0.563000       0.117715       0.000000
       0.564000       0.117932       0.000000
       0.565000       0.118105       0.000000
       0.566000       0.118245       0.000000
       0.567000       0.118365       0.000000
       0.568000       0.118476       0.000000
       0.569000       0.118583       0.000000
       0.570000       0.118683       0.000000
       0.571000       0.118779       0.000000
       0.572000       0.118875       0.000000
       0.573000       0.118973       0.000000
       0.574000       0.119077       0.000000
       0.575000       0.119182       0.000000
       0.576000       0.119283       0.000000
       0.577000       0.119376       0.000000
       0.578000       0.119462       0.000000
       0.579000       0.119547       0.000000
       0.580000       0.119633       0.000000
       0.581000       0.119715       0.000000
       0.582000       0.119783       0.000000
       0.583000       0.119833       0.000000
       0.584000       0.119863       0.000000
       0.585000       0.119875       0.000000
       0.586000       0.119870       0.000000
       0.587000       0.119844       0.000000
       0.588000       0.119796       0.000000
       0.589000       0.119721       0.000000
       0.590000       0.119621       0.000000
       0.591000       0.119497       0.000000
       0.592000       0.119350       0.000000
       0.593000       0.119177       0.000000
       0.594000       0.118970       0.000000
       0.595000       0.118726       0.000000
       0.596000       0.118440       0.000000
       0.597000       0.118108       0.000000
       0.598000       0.117728       0.000000
       0.599000       0.117301       0.000000
       0.600000       0.116831       0.000000
       0.601000       0.116319       0.000000
       0.602000       0.115761       0.000000
       0.603000       0.115149       0.000000
       0.604000       0.114484       0.000000
       0.605000       0.113788       0.000000
       0.606000       0.113094       0.000000
       0.607000       0.112425       0.000000
       0.608000       0.111792       0.000000
       0.609000       0.111199       0.000000
       0.610000       0.110649       0.000000
       0.611000       0.110148       0.000000
       0.612000       0.109700       0.000000
       0.613000       0.109310       0.000000
       0.614000       0.108984       0.000000
       0.615000       0.108730       0.000000
       0.616000       0.108553       0.000000
       0.617000       0.108446       0.000000
       0.618000       0.108401       0.000000
       0.619000       0.108410       0.000000
       0.620000       0.108472       0.000000
       0.621000       0.108589       0.000000
       0.622000       0.108759       0.000000
       0.623000       0.108973       0.000000
       0.624000       0.109222       0.000000
       0.625000       0.109496       0.000000
       0.626000       0.109788       0.000000
       0.627000       0.110092       0.000000
       0.628000       0.110401       0.000000
       0.629000       0.110703       0.000000
       0.630000       0.110989       0.000000
       0.631000       0.111244       0.000000
       0.632000       0.111453       0.000000
       0.633000       0.111595       0.000000
       0.634000       0.111655       0.000000
       0.635000       0.111620       0.000000
       0.636000       0.111478       0.000000
       0.637000       0.111219       0.000000
       0.638000       0.110838       0.000000
       0.639000       0.110331       0.000000
       0.640000       0.109699       0.000000
       0.641000       0.108963       0.000000
       0.642000       0.108146       0.000000
       0.643000       0.107271       0.000000
       0.644000       0.106351       0.000000
       0.645000       0.105394       0.000000
       0.646000       0.104412       0.000000
       0.647000       0.103419       0.000000
       0.648000       0.102430       0.000000
       0.649000       0.101459       0.000000
       0.650000       0.100510       0.000000
       0.651000       0.099587       0.000000
       0.652000       0.098690       0.000000
       0.653000       0.097801       0.000000
       0.654000       0.096901       0.000000
       0.655000       0.095970       0.000000
       0.656000       0.094990       0.000000
       0.657000       0.093943       0.000000
       0.658000       0.092815       0.000000
       0.659000       0.091603       0.000000
       0.660000       0.090306       0.000000
       0.661000       0.088929       0.000000
       0.662000       0.087498       0.000000
       0.663000       0.086044       0.000000
       0.664000       0.084596       0.000000
       0.665000       0.083191       0.000000
       0.666000       0.081863       0.000000
       0.667000       0.080645       0.000000
       0.668000       0.079555       0.000000
       0.669000       0.078610       0.000000
       0.670000       0.077823       0.000000
       0.671000       0.077206       0.000000
       0.672000       0.076771       0.000000
       0.673000       0.076526       0.000000
       0.674000       0.076467       0.000000
       0.675000       0.076585       0.000000
       0.676000       0.076878       0.000000
       0.677000       0.077347       0.000000
       0.678000       0.077998       0.000000
       0.679000       0.078838       0.000000
       0.680000       0.079882       0.000000
       0.681000       0.081148       0.000000
       0.682000       0.082653       0.000000
       0.683000       0.084419       0.000000
       0.684000       0.086469       0.000000
       0.685000       0.088827       0.000000
       0.686000       0.091529       0.000000
       0.687000       0.094611       0.000000
       0.688000       0.098105       0.000000
       0.689000       0.102020       0.000000
       0.690000       0.106358       0.000000
       0.691000       0.111117       0.000000
       0.692000       0.116285       0.000000
       0.693000       0.121847       0.000000
       0.694000       0.127781       0.000000
       0.695000       0.134046       0.000000
       0.696000       0.140594       0.000000
       0.697000       0.147376       0.000000
       0.698000       0.154326       0.000000
       0.699000       0.161377       0.000000
       0.700000       0.168464       0.000000
       0.701000       0.175535       0.000000
       0.702000       0.182540       0.000000
       0.703000       0.189434       0.000000
       0.704000       0.196174       0.000000
       0.705000       0.202721       0.000000
       0.706000       0.209042       0.000000
       0.707000       0.215116       0.000000
       0.708000       0.220924       0.000000
       0.709000       0.226456       0.000000
       0.710000       0.231715       0.000000
       0.711000       0.236711       0.000000
       0.712000       0.241450       0.000000
       0.713000       0.245942       0.000000
       0.714000       0.250192       0.000000
       0.715000       0.254209       0.000000
       0.716000       0.258005       0.000000
       0.717000       0.261592       0.000000
       0.718000       0.264985       0.000000
       0.719000       0.268201       0.000000
       0.720000       0.271260       0.000000
       0.721000       0.274180       0.000000
       0.722000       0.276966       0.000000
       0.723000       0.279626       0.000000
       0.724000       0.282163       0.000000
       0.725000       0.284592       0.000000
       0.726000       0.286925       0.000000
       0.727000       0.289174       0.000000
       0.728000       0.291343       0.000000
       0.729000       0.293431       0.000000
       0.730000       0.295442       0.000000
       0.731000       0.297381       0.000000
       0.732000       0.299251       0.000000
       0.733000       0.301058       0.000000
       0.734000       0.302805       0.000000
       0.735000       0.304493       0.000000
       0.736000       0.306126       0.000000
       0.737000       0.307707       0.000000
       0.738000       0.309244       0.000000
       0.739000       0.310740       0.000000
       0.740000       0.312198       0.000000
       0.741000       0.313619       0.000000
       0.742000       0.315006       0.000000
       0.743000       0.316359       0.000000
       0.744000       0.317682       0.000000
       0.745000       0.318976       0.000000
       0.746000       0.320241       0.000000
       0.747000       0.321475       0.000000
       0.748000       0.322680       0.000000
       0.749000       0.323860       0.000000
       0.750000       0.325020       0.000000
       0.751000       0.326164       0.000000
       0.752000       0.327290       0.000000
       0.753000       0.328393       0.000000
       0.754000       0.329470       0.000000
       0.755000       0.330528       0.000000
       0.756000       0.331574       0.000000
       0.757000       0.332616       0.000000
       0.758000       0.333657       0.000000
       0.759000       0.334700       0.000000
       0.760000       0.335747       0.000000
       0.761000       0.336789       0.000000
       0.762000       0.337816       0.000000
       0.763000       0.338822       0.000000
       0.764000       0.339819       0.000000
       0.765000       0.340823       0.000000
       0.766000       0.341848       0.000000
       0.767000       0.342886       0.000000
       0.768000       0.343925       0.000000
       0.769000       0.344956       0.000000
       0.770000       0.345978       0.000000
       0.771000       0.346990       0.000000
       0.772000       0.347993       0.000000
       0.773000       0.348994       0.000000
       0.774000       0.349999       0.000000
       0.775000       0.351015       0.000000
       0.776000       0.352040       0.000000
       0.777000       0.353071       0.000000
       0.778000       0.354104       0.000000
       0.779000       0.355134       0.000000
       0.780000       0.356155       0.000000
       0.781000       0.357161       0.000000
       0.782000       0.358159       0.000000
       0.783000       0.359157       0.000000
       0.784000       0.360159       0.000000
       0.785000       0.361166       0.000000
       0.786000       0.362174       0.000000
       0.787000       0.363182       0.000000
       0.788000       0.364193       0.000000
       0.789000       0.365209       0.000000
       0.790000       0.366232       0.000000
       0.791000       0.367256       0.000000
       0.792000       0.368273       0.000000
       0.793000       0.369278       0.000000
       0.794000       0.370276       0.000000
       0.795000       0.371277       0.000000
       0.796000       0.372288       0.000000
       0.797000       0.373307       0.000000
       0.798000       0.374327       0.000000
       0.799000       0.375346       0.000000
       0.800000       0.376364       0.000000
       0.801000       0.377381       0.000000
       0.802000       0.378398       0.000000
       0.803000       0.379415       0.000000
       0.804000       0.380436       0.000000
       0.805000       0.381459       0.000000
