/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS209
  File Name : GDS209.RAW

# Profile Datafile
          comment             = SynAluniteH30-200C 
          date & time         = 08-03-27 07:16:41 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       198
     4.0200       186
     4.0400       208
     4.0600       202
     4.0800       184
     4.1000       198
     4.1200       158
     4.1400       198
     4.1600       166
     4.1800       208
     4.2000       200
     4.2200       154
     4.2400       192
     4.2600       166
     4.2800       166
     4.3000       166
     4.3200       182
     4.3400       152
     4.3600       164
     4.3800       192
     4.4000       164
     4.4200       188
     4.4400       170
     4.4600       164
     4.4800       140
     4.5000       172
     4.5200       188
     4.5400       154
     4.5600       166
     4.5800       156
     4.6000       150
     4.6200       166
     4.6400       184
     4.6600       152
     4.6800       188
     4.7000       166
     4.7200       154
     4.7400       152
     4.7600       164
     4.7800       142
     4.8000       140
     4.8200       186
     4.8400       170
     4.8600       146
     4.8800       178
     4.9000       144
     4.9200       164
     4.9400       156
     4.9600       138
     4.9800       170
     5.0000       146
     5.0200       174
     5.0400       150
     5.0600       134
     5.0800       180
     5.1000       168
     5.1200       150
     5.1400       126
     5.1600       164
     5.1800       150
     5.2000       154
     5.2200       148
     5.2400       184
     5.2600       142
     5.2800       168
     5.3000       134
     5.3200       144
     5.3400       156
     5.3600       164
     5.3800       150
     5.4000       162
     5.4200       142
     5.4400       166
     5.4600       144
     5.4800       154
     5.5000       144
     5.5200       154
     5.5400       170
     5.5600       146
     5.5800       158
     5.6000       154
     5.6200       154
     5.6400       130
     5.6600       126
     5.6800       168
     5.7000       138
     5.7200       144
     5.7400       152
     5.7600       136
     5.7800       168
     5.8000       142
     5.8200       138
     5.8400       140
     5.8600       168
     5.8800       156
     5.9000       182
     5.9200       160
     5.9400       170
     5.9600       150
     5.9800       152
     6.0000       156
     6.0200       150
     6.0400       164
     6.0600       144
     6.0800       174
     6.1000       150
     6.1200       190
     6.1400       134
     6.1600       128
     6.1800       150
     6.2000       130
     6.2200       150
     6.2400       148
     6.2600       148
     6.2800       140
     6.3000       144
     6.3200       140
     6.3400       146
     6.3600       168
     6.3800       144
     6.4000       146
     6.4200       130
     6.4400       114
     6.4600       136
     6.4800       114
     6.5000       146
     6.5200       140
     6.5400       130
     6.5600       124
     6.5800       116
     6.6000       136
     6.6200       152
     6.6400       118
     6.6600       150
     6.6800       138
     6.7000       128
     6.7200       144
     6.7400       126
     6.7600       142
     6.7800       134
     6.8000       124
     6.8200       138
     6.8400       142
     6.8600       144
     6.8800       116
     6.9000       120
     6.9200       120
     6.9400       118
     6.9600       104
     6.9800       132
     7.0000       122
     7.0200       118
     7.0400       106
     7.0600       120
     7.0800       114
     7.1000       118
     7.1200       120
     7.1400       116
     7.1600       124
     7.1800       112
     7.2000       128
     7.2200       134
     7.2400       112
     7.2600       122
     7.2800       110
     7.3000       114
     7.3200       110
     7.3400       122
     7.3600       120
     7.3800       106
     7.4000       112
     7.4200       122
     7.4400       132
     7.4600       128
     7.4800       138
     7.5000       114
     7.5200       116
     7.5400       110
     7.5600       118
     7.5800       122
     7.6000        86
     7.6200       102
     7.6400       102
     7.6600       136
     7.6800       114
     7.7000       106
     7.7200       104
     7.7400       132
     7.7600       118
     7.7800       110
     7.8000        96
     7.8200       100
     7.8400       134
     7.8600       102
     7.8800       102
     7.9000       110
     7.9200       116
     7.9400       136
     7.9600       122
     7.9800       124
     8.0000       110
     8.0200       116
