/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS25
  File Name : GDS25.RAW

# Profile Datafile
          comment             = Butlerite 
          date & time         = 08-03-27 06:45:47 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       202
     4.0200       194
     4.0400       160
     4.0600       202
     4.0800       192
     4.1000       158
     4.1200       176
     4.1400       168
     4.1600       170
     4.1800       188
     4.2000       170
     4.2200       168
     4.2400       186
     4.2600       178
     4.2800       162
     4.3000       182
     4.3200       160
     4.3400       152
     4.3600       168
     4.3800       172
     4.4000       176
     4.4200       182
     4.4400       192
     4.4600       168
     4.4800       168
     4.5000       164
     4.5200       172
     4.5400       172
     4.5600       160
     4.5800       166
     4.6000       152
     4.6200       172
     4.6400       162
     4.6600       164
     4.6800       150
     4.7000       136
     4.7200       148
     4.7400       154
     4.7600       154
     4.7800       142
     4.8000       154
     4.8200       160
     4.8400       160
     4.8600       162
     4.8800       150
     4.9000       180
     4.9200       148
     4.9400       154
     4.9600       164
     4.9800       160
     5.0000       144
     5.0200       154
     5.0400       136
     5.0600       148
     5.0800       128
     5.1000       152
     5.1200       168
     5.1400       158
     5.1600       134
     5.1800       168
     5.2000       162
     5.2200       162
     5.2400       166
     5.2600       174
     5.2800       160
     5.3000       168
     5.3200       150
     5.3400       182
     5.3600       126
     5.3800       158
     5.4000       168
     5.4200       166
     5.4400       128
     5.4600       150
     5.4800       140
     5.5000       148
     5.5200       160
     5.5400       154
     5.5600       162
     5.5800       158
     5.6000       176
     5.6200       144
     5.6400       160
     5.6600       152
     5.6800       134
     5.7000       130
     5.7200       140
     5.7400       116
     5.7600       136
     5.7800       154
     5.8000       152
     5.8200       156
     5.8400       166
     5.8600       140
     5.8800       136
     5.9000       160
     5.9200       140
     5.9400       156
     5.9600       154
     5.9800       154
     6.0000       140
     6.0200       170
     6.0400       150
     6.0600       144
     6.0800       142
     6.1000       142
     6.1200       160
     6.1400       146
     6.1600       156
     6.1800       144
     6.2000       142
     6.2200       134
     6.2400       142
     6.2600       128
     6.2800       154
     6.3000       132
     6.3200       138
     6.3400       130
     6.3600       138
     6.3800       132
     6.4000       126
     6.4200       134
     6.4400       138
     6.4600       110
     6.4800       134
     6.5000       132
     6.5200       136
     6.5400       134
     6.5600       128
     6.5800       136
     6.6000       132
     6.6200       150
     6.6400       124
     6.6600       134
     6.6800       108
     6.7000       138
     6.7200       126
     6.7400       128
     6.7600       154
     6.7800       132
     6.8000       116
     6.8200       112
     6.8400       112
     6.8600       140
     6.8800       118
     6.9000       136
     6.9200       148
     6.9400       124
     6.9600       116
     6.9800       120
     7.0000       100
     7.0200       114
     7.0400       112
     7.0600       134
     7.0800       114
     7.1000       120
     7.1200       118
     7.1400       102
     7.1600       120
     7.1800       116
     7.2000       100
     7.2200       104
     7.2400       102
     7.2600       126
     7.2800       104
     7.3000       126
     7.3200       100
     7.3400       116
     7.3600       108
     7.3800       116
     7.4000       112
     7.4200        94
     7.4400       132
     7.4600       102
     7.4800       120
     7.5000       104
     7.5200       124
     7.5400       112
     7.5600       106
     7.5800       104
     7.6000       118
     7.6200       112
     7.6400       118
     7.6600       110
     7.6800       116
     7.7000       116
     7.7200       102
     7.7400       120
     7.7600       122
     7.7800       100
     7.8000        96
     7.8200       100
     7.8400        94
     7.8600       126
     7.8800       104
     7.9000       120
     7.9200       114
     7.9400       122
     7.9600       120
     7.9800       122
     8.0000        90
     8.0200       108
     8.0400       108
     8.0600       122
     8.0800       106
     8.1000       114
     8.1200        96
     8.1400       106
     8.1600       108
     8.1800        96
     8.2000       116
     8.2200       112
     8.2400       136
     8.2600        98
     8.2800       122
     8.3000       102
