/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS3
  File Name : GDS3.RAW

# Profile Datafile
          comment             = Heulandite 
          date & time         = 08-03-25 07:24:04 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       186
     4.0200       172
     4.0400       214
     4.0600       184
     4.0800       182
     4.1000       182
     4.1200       160
     4.1400       186
     4.1600       188
     4.1800       172
     4.2000       158
     4.2200       180
     4.2400       186
     4.2600       160
     4.2800       176
     4.3000       194
     4.3200       164
     4.3400       172
     4.3600       166
     4.3800       176
     4.4000       170
     4.4200       180
     4.4400       162
     4.4600       206
     4.4800       180
     4.5000       148
     4.5200       168
     4.5400       198
     4.5600       182
     4.5800       164
     4.6000       142
     4.6200       156
     4.6400       174
     4.6600       166
     4.6800       156
     4.7000       152
     4.7200       168
     4.7400       156
     4.7600       166
     4.7800       156
     4.8000       172
     4.8200       170
     4.8400       166
     4.8600       164
     4.8800       148
     4.9000       144
     4.9200       184
     4.9400       166
     4.9600       164
     4.9800       166
     5.0000       148
     5.0200       194
     5.0400       158
     5.0600       178
     5.0800       148
     5.1000       178
     5.1200       160
     5.1400       152
     5.1600       184
     5.1800       166
     5.2000       162
     5.2200       152
     5.2400       160
     5.2600       164
     5.2800       148
     5.3000       130
     5.3200       156
     5.3400       150
     5.3600       134
     5.3800       154
     5.4000       146
     5.4200       150
     5.4400       144
     5.4600       144
     5.4800       160
     5.5000       150
     5.5200       146
     5.5400       158
     5.5600       162
     5.5800       156
     5.6000       166
     5.6200       156
     5.6400       160
     5.6600       182
     5.6800       158
     5.7000       152
     5.7200       166
     5.7400       160
     5.7600       130
     5.7800       176
     5.8000       154
     5.8200       132
     5.8400       168
     5.8600       144
     5.8800       140
     5.9000       152
     5.9200       144
     5.9400       178
     5.9600       160
     5.9800       164
     6.0000       136
     6.0200       130
     6.0400       124
     6.0600       150
     6.0800       178
     6.1000       158
     6.1200       102
     6.1400       158
     6.1600       158
     6.1800       146
     6.2000       140
     6.2200       148
     6.2400       148
     6.2600       138
     6.2800       146
     6.3000       148
     6.3200       156
     6.3400       166
     6.3600       174
     6.3800       148
     6.4000       114
     6.4200       132
     6.4400       138
     6.4600       128
     6.4800       128
     6.5000       126
     6.5200       138
     6.5400       146
     6.5600       120
     6.5800       122
     6.6000       132
     6.6200       124
     6.6400       118
     6.6600       134
     6.6800       114
     6.7000       140
     6.7200       116
     6.7400       134
     6.7600       120
     6.7800       126
     6.8000       126
     6.8200       118
     6.8400       128
     6.8600       114
     6.8800       124
     6.9000       136
     6.9200       112
     6.9400       118
     6.9600       142
     6.9800       128
     7.0000       112
     7.0200       130
     7.0400       114
     7.0600       130
     7.0800       140
     7.1000       118
     7.1200       102
     7.1400       118
     7.1600       124
     7.1800       128
     7.2000       112
     7.2200       102
     7.2400       110
     7.2600       112
     7.2800       128
     7.3000       106
     7.3200       124
     7.3400       118
     7.3600       154
     7.3800       134
     7.4000       122
     7.4200       134
     7.4400       120
     7.4600        90
     7.4800       122
     7.5000       120
     7.5200        96
     7.5400       128
     7.5600       120
     7.5800       112
     7.6000        92
     7.6200       102
     7.6400        98
     7.6600       118
     7.6800       106
     7.7000       120
     7.7200       114
     7.7400       110
     7.7600       114
     7.7800       102
     7.8000       114
     7.8200       122
     7.8400       104
     7.8600       112
     7.8800       116
     7.9000       106
     7.9200       112
     7.9400       122
     7.9600       124
     7.9800       112
     8.0000       112
     8.0200       100
     8.0400       136
     8.0600       126
     8.0800       114
     8.1000       116
     8.1200       116
     8.1400       120
     8.1600       116
     8.1800       106
     8.2000        98
     8.2200       112
     8.2400       128
     8.2600       100
     8.2800       118
     8.3000       140
     8.3200       134
     8.3400       128
     8.3600       130
     8.3800       126
     8.4000       138
     8.4200       132
     8.4400       112
     8.4600       104
     8.4800       126
     8.5000       122
     8.5200       112
     8.5400       122
     8.5600       138
     8.5800       118
     8.6000        96
     8.6200       118
     8.6400       128
     8.6600       130
     8.6800       126
     8.7000       114
     8.7200       130
     8.7400       112
     8.7600       140
     8.7800       150
     8.8000       148
     8.8200       118
     8.8400       132
     8.8600       142
     8.8800       150
     8.9000       134
     8.9200       132
     8.9400       114
     8.9600       126
     8.9800       156
     9.0000       128
     9.0200       112
     9.0400       140
     9.0600       138
     9.0800       132
     9.1000       132
     9.1200       144
     9.1400       134
     9.1600       126
     9.1800       162
     9.2000       180
     9.2200       170
     9.2400       192
     9.2600       192
     9.2800       176
     9.3000       190
     9.3200       198
     9.3400       248
     9.3600       264
     9.3800       322
     9.4000       342
     9.4200       352
     9.4400       408
     9.4600       488
     9.4800       508
     9.5000       516
     9.5200       476
     9.5400       602
     9.5600       588
     9.5800       718
     9.6000       824
     9.6200      1058
     9.6400      1324
     9.6600      1884
     9.6800      2718
     9.7000      4048
     9.7200      5548
     9.7400      6790
     9.7600      7864
     9.7800      8196
     9.8000      8170
     9.8200      7212
     9.8400      5678
     9.8600      3976
     9.8800      2534
     9.9000      1452
     9.9200       820
     9.9400       482
     9.9600       356
     9.9800       282
    10.0000       280
    10.0200       260
    10.0400       238
    10.0600       194
    10.0800       172
    10.1000       160
    10.1200       154
    10.1400       156
    10.1600       108
    10.1800       110
    10.2000       136
    10.2200        96
    10.2400        94
    10.2600       118
    10.2800       122
    10.3000       106
    10.3200       108
    10.3400       126
    10.3600        98
    10.3800       110
    10.4000       112
    10.4200       102
    10.4400       108
    10.4600       112
    10.4800       108
    10.5000       104
    10.5200        88
    10.5400       100
    10.5600       118
    10.5800        98
    10.6000       110
    10.6200       112
    10.6400       128
    10.6600        94
    10.6800       114
    10.7000       108
    10.7200        84
    10.7400        80
    10.7600       118
    10.7800       110
    10.8000       126
    10.8200       102
    10.8400       104
    10.8600       120
    10.8800       124
    10.9000       116
    10.9200       142
    10.9400       114
    10.9600       130
    10.9800       134
    11.0000       152
    11.0200       134
    11.0400       120
    11.0600       136
    11.0800       130
    11.1000       110
    11.1200        98
    11.1400       112
    11.1600        92
    11.1800        88
    11.2000        94
    11.2200        90
    11.2400        82
    11.2600        92
    11.2800        88
    11.3000       104
    11.3200        94
    11.3400        98
    11.3600        90
    11.3800        88
    11.4000        96
    11.4200        74
    11.4400        78
    11.4600        78
    11.4800        94
    11.5000        96
    11.5200        70
    11.5400        94
    11.5600        90
    11.5800        94
    11.6000        64
    11.6200        86
    11.6400        76
    11.6600        90
    11.6800        80
    11.7000        74
    11.7200        78
    11.7400        90
    11.7600        66
    11.7800        78
    11.8000        84
    11.8200        60
    11.8400        82
    11.8600        84
    11.8800        70
    11.9000        80
    11.9200        74
    11.9400        76
    11.9600        94
    11.9800        84
    12.0000        78
    12.0200        78
    12.0400        76
    12.0600        92
    12.0800        82
    12.1000        90
    12.1200        88
    12.1400        82
    12.1600        92
    12.1800        86
    12.2000        86
    12.2200        92
    12.2400        82
    12.2600        72
    12.2800        94
    12.3000        96
    12.3200        82
    12.3400        78
    12.3600        74
    12.3800        68
    12.4000        78
    12.4200        80
    12.4400        84
    12.4600        76
    12.4800        86
    12.5000        86
    12.5200        78
    12.5400        80
    12.5600        76
    12.5800        70
    12.6000        82
    12.6200        94
    12.6400        98
    12.6600        94
    12.6800        56
    12.7000        88
    12.7200        80
    12.7400       106
    12.7600        82
    12.7800       102
    12.8000        98
    12.8200       104
    12.8400       114
    12.8600       110
    12.8800       110
    12.9000        98
    12.9200        94
    12.9400       108
    12.9600       100
    12.9800        88
    13.0000        86
    13.0200        90
    13.0400        80
    13.0600        74
    13.0800        94
    13.1000        94
    13.1200       100
    13.1400        98
    13.1600       106
    13.1800        92
    13.2000       104
    13.2200       126
    13.2400       102
    13.2600        92
    13.2800        86
    13.3000        64
    13.3200        84
    13.3400        80
    13.3600        84
    13.3800        72
    13.4000        80
    13.4200        78
    13.4400        76
    13.4600        70
    13.4800        68
    13.5000        62
    13.5200        74
    13.5400        82
    13.5600        72
    13.5800        70
    13.6000        80
    13.6200        80
    13.6400        84
    13.6600        90
    13.6800        56
    13.7000        72
    13.7200        80
    13.7400        80
    13.7600        54
    13.7800        78
    13.8000        80
    13.8200        74
