/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS39B
  File Name : GDS39B.RAW

# Profile Datafile
          comment             = Scapolite grp. 
          date & time         = 08-03-25 07:55:02 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       170
     4.0200       204
     4.0400       194
     4.0600       176
     4.0800       186
     4.1000       174
     4.1200       186
     4.1400       178
     4.1600       166
     4.1800       168
     4.2000       186
     4.2200       162
     4.2400       180
     4.2600       174
     4.2800       158
     4.3000       164
     4.3200       170
     4.3400       168
     4.3600       194
     4.3800       180
     4.4000       194
     4.4200       174
     4.4400       182
     4.4600       164
     4.4800       144
     4.5000       194
     4.5200       170
     4.5400       164
     4.5600       156
     4.5800       166
     4.6000       164
     4.6200       148
     4.6400       190
     4.6600       158
     4.6800       174
     4.7000       156
     4.7200       160
     4.7400       162
     4.7600       166
     4.7800       172
     4.8000       166
     4.8200       146
     4.8400       162
     4.8600       154
     4.8800       146
     4.9000       150
     4.9200       156
     4.9400       144
     4.9600       138
     4.9800       136
     5.0000       154
     5.0200       174
     5.0400       150
     5.0600       162
     5.0800       164
     5.1000       160
     5.1200       148
     5.1400       146
     5.1600       154
     5.1800       148
     5.2000       180
     5.2200       144
     5.2400       180
     5.2600       184
     5.2800       170
     5.3000       140
     5.3200       144
     5.3400       146
     5.3600       196
     5.3800       140
     5.4000       146
     5.4200       156
     5.4400       166
     5.4600       136
     5.4800       174
     5.5000       150
     5.5200       156
     5.5400       196
     5.5600       126
     5.5800       154
     5.6000       164
     5.6200       150
     5.6400       154
     5.6600       148
     5.6800       164
     5.7000       156
     5.7200       140
