/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS41
  File Name : GDS41.RAW

# Profile Datafile
          comment             = Nontronite 
          date & time         = 08-03-24 07:17:59 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       202
     4.0200       178
     4.0400       218
     4.0600       198
     4.0800       182
     4.1000       194
     4.1200       174
     4.1400       194
     4.1600       188
     4.1800       202
     4.2000       198
     4.2200       162
     4.2400       186
     4.2600       152
     4.2800       168
     4.3000       212
     4.3200       180
     4.3400       180
     4.3600       170
     4.3800       172
     4.4000       188
     4.4200       214
     4.4400       184
     4.4600       196
     4.4800       172
     4.5000       198
     4.5200       180
     4.5400       178
     4.5600       180
     4.5800       188
     4.6000       188
     4.6200       206
     4.6400       150
     4.6600       172
     4.6800       188
     4.7000       174
     4.7200       188
     4.7400       174
     4.7600       156
     4.7800       152
     4.8000       180
     4.8200       172
     4.8400       180
     4.8600       176
     4.8800       196
     4.9000       170
     4.9200       166
     4.9400       178
     4.9600       156
     4.9800       186
     5.0000       178
     5.0200       184
     5.0400       150
     5.0600       170
     5.0800       170
     5.1000       170
     5.1200       176
     5.1400       164
     5.1600       190
     5.1800       168
     5.2000       200
     5.2200       180
     5.2400       198
     5.2600       184
     5.2800       162
     5.3000       196
     5.3200       174
     5.3400       170
     5.3600       190
     5.3800       154
     5.4000       168
     5.4200       196
     5.4400       176
     5.4600       180
     5.4800       188
     5.5000       178
     5.5200       198
     5.5400       180
     5.5600       194
     5.5800       164
     5.6000       176
     5.6200       198
     5.6400       168
     5.6600       204
     5.6800       184
     5.7000       190
     5.7200       198
     5.7400       188
     5.7600       182
     5.7800       184
     5.8000       196
     5.8200       184
     5.8400       192
     5.8600       204
     5.8800       238
     5.9000       214
     5.9200       212
     5.9400       200
     5.9600       212
     5.9800       244
     6.0000       198
     6.0200       242
     6.0400       232
     6.0600       220
     6.0800       234
     6.1000       256
     6.1200       250
     6.1400       236
     6.1600       260
     6.1800       250
     6.2000       244
     6.2200       224
     6.2400       208
     6.2600       198
     6.2800       198
     6.3000       188
     6.3200       184
     6.3400       176
     6.3600       168
     6.3800       158
     6.4000       172
     6.4200       164
     6.4400       190
     6.4600       172
     6.4800       176
     6.5000       166
     6.5200       184
     6.5400       156
     6.5600       174
     6.5800       140
     6.6000       148
     6.6200       164
     6.6400       162
     6.6600       152
     6.6800       160
     6.7000       146
     6.7200       150
     6.7400       174
     6.7600       150
     6.7800       148
     6.8000       134
     6.8200       148
     6.8400       136
     6.8600       132
     6.8800       132
     6.9000       142
     6.9200       138
     6.9400       130
     6.9600       126
     6.9800       152
     7.0000       142
     7.0200       144
     7.0400       114
     7.0600       144
     7.0800       124
     7.1000       122
     7.1200       140
     7.1400       110
     7.1600       140
     7.1800       104
     7.2000       120
     7.2200       156
     7.2400       104
     7.2600       148
     7.2800       108
     7.3000       140
     7.3200       108
     7.3400       122
     7.3600       122
     7.3800       154
     7.4000       122
     7.4200       122
     7.4400       112
     7.4600       110
     7.4800       128
     7.5000       134
     7.5200       126
     7.5400       144
     7.5600       134
     7.5800       108
     7.6000       132
     7.6200       118
     7.6400       128
     7.6600       132
     7.6800       114
     7.7000       126
     7.7200       156
     7.7400       134
     7.7600       154
     7.7800       144
     7.8000       120
     7.8200       142
     7.8400       122
     7.8600       138
     7.8800       136
     7.9000       132
     7.9200       170
     7.9400       148
     7.9600       144
     7.9800       158
     8.0000       144
     8.0200       184
     8.0400       172
     8.0600       164
     8.0800       174
     8.1000       196
     8.1200       186
     8.1400       198
     8.1600       200
     8.1800       236
     8.2000       338
     8.2200       396
     8.2400       494
     8.2600       504
     8.2800       462
     8.3000       360
     8.3200       232
     8.3400       174
     8.3600       162
     8.3800       138
     8.4000       136
     8.4200       144
     8.4400       112
     8.4600       120
     8.4800       122
     8.5000       132
     8.5200       132
     8.5400       134
     8.5600       130
     8.5800       144
     8.6000       122
     8.6200       108
     8.6400       130
     8.6600       112
     8.6800       118
     8.7000       132
     8.7200       150
     8.7400       120
     8.7600       126
     8.7800       120
     8.8000       132
     8.8200       134
     8.8400       124
     8.8600       110
     8.8800       108
     8.9000       122
     8.9200       128
     8.9400       122
     8.9600       120
     8.9800       102
     9.0000       118
     9.0200       126
     9.0400       118
     9.0600       120
     9.0800       126
     9.1000       110
     9.1200       124
     9.1400       110
     9.1600       136
     9.1800       126
     9.2000       138
     9.2200       130
     9.2400       110
     9.2600        98
     9.2800       124
     9.3000       118
     9.3200       122
     9.3400       132
     9.3600       102
     9.3800       128
     9.4000       146
     9.4200       142
     9.4400       116
     9.4600       110
     9.4800       108
     9.5000       138
     9.5200       140
     9.5400       110
     9.5600       116
     9.5800       128
     9.6000       114
     9.6200       128
     9.6400       110
     9.6600       132
     9.6800       104
     9.7000       132
     9.7200       112
     9.7400       132
     9.7600       120
     9.7800       124
     9.8000       132
     9.8200       128
     9.8400       108
     9.8600       122
     9.8800       124
     9.9000       130
     9.9200       122
     9.9400       104
     9.9600       106
     9.9800       118
    10.0000       132
    10.0200       112
    10.0400       110
    10.0600       130
    10.0800       130
    10.1000       128
    10.1200       104
    10.1400       124
    10.1600       114
    10.1800       104
    10.2000       104
    10.2200       128
    10.2400        98
    10.2600       102
    10.2800       120
    10.3000       112
    10.3200       132
    10.3400       100
    10.3600       118
    10.3800       114
    10.4000       100
    10.4200       112
    10.4400       124
    10.4600       116
    10.4800       104
    10.5000       122
    10.5200       114
    10.5400        98
    10.5600       112
    10.5800       116
    10.6000       126
    10.6200       122
    10.6400       102
    10.6600       104
    10.6800       104
    10.7000       110
    10.7200       124
    10.7400       114
    10.7600       102
    10.7800       102
    10.8000       112
    10.8200        94
    10.8400       112
    10.8600       138
    10.8800       110
    10.9000       112
    10.9200       114
    10.9400       112
    10.9600       114
    10.9800       146
    11.0000       136
    11.0200       128
    11.0400       112
    11.0600       154
    11.0800       150
    11.1000       148
    11.1200       162
    11.1400       206
    11.1600       236
    11.1800       208
    11.2000       174
    11.2200       176
    11.2400       188
    11.2600       214
    11.2800       210
    11.3000       208
    11.3200       226
    11.3400       212
    11.3600       234
    11.3800       270
    11.4000       296
    11.4200       342
    11.4400       394
    11.4600       392
    11.4800       530
    11.5000       600
    11.5200       626
    11.5400       726
    11.5600       904
    11.5800       952
    11.6000       886
    11.6200       832
    11.6400       528
    11.6600       390
    11.6800       220
    11.7000       174
    11.7200       138
    11.7400       130
    11.7600       150
    11.7800       128
    11.8000       156
    11.8200       136
    11.8400       126
    11.8600       118
    11.8800       110
    11.9000       142
    11.9200       136
    11.9400       120
    11.9600       118
    11.9800       146
    12.0000       120
    12.0200       146
    12.0400       140
    12.0600       138
    12.0800       140
    12.1000       152
    12.1200       170
    12.1400       138
    12.1600       160
    12.1800       188
    12.2000       170
    12.2200       210
    12.2400       240
    12.2600       194
    12.2800       248
    12.3000       254
    12.3200       256
    12.3400       264
    12.3600       294
    12.3800       298
    12.4000       278
    12.4200       270
    12.4400       282
    12.4600       256
    12.4800       248
    12.5000       260
    12.5200       292
    12.5400       308
    12.5600       336
    12.5800       366
    12.6000       378
    12.6200       592
    12.6400       794
    12.6600       786
    12.6800       590
    12.7000       392
    12.7200       256
    12.7400       244
    12.7600       170
    12.7800       184
    12.8000       182
    12.8200       166
    12.8400       308
    12.8600       368
    12.8800       402
    12.9000       460
    12.9200       426
    12.9400       486
    12.9600       492
    12.9800       504
    13.0000       700
    13.0200       862
    13.0400      1084
    13.0600      1182
    13.0800      1044
    13.1000       752
    13.1200       530
    13.1400       350
    13.1600       232
    13.1800       158
    13.2000       122
