/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS46
  File Name : GDS46.RAW

# Profile Datafile
          comment             = Scapolite 
          date & time         = 08-03-25 06:22:10 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       176
     4.0200       168
     4.0400       174
     4.0600       202
     4.0800       196
     4.1000       190
     4.1200       166
     4.1400       186
     4.1600       170
     4.1800       166
     4.2000       160
     4.2200       182
     4.2400       168
     4.2600       148
     4.2800       168
     4.3000       182
     4.3200       164
     4.3400       182
     4.3600       178
     4.3800       178
     4.4000       168
     4.4200       176
     4.4400       188
     4.4600       166
     4.4800       156
     4.5000       142
     4.5200       176
     4.5400       148
     4.5600       152
     4.5800       162
     4.6000       146
     4.6200       152
     4.6400       158
     4.6600       180
     4.6800       126
     4.7000       164
     4.7200       182
     4.7400       148
     4.7600       156
     4.7800       144
     4.8000       142
     4.8200       150
     4.8400       138
     4.8600       178
     4.8800       162
     4.9000       156
     4.9200       152
     4.9400       152
     4.9600       140
     4.9800       160
     5.0000       140
     5.0200       168
     5.0400       168
     5.0600       150
     5.0800       128
     5.1000       164
     5.1200       162
     5.1400       158
     5.1600       146
     5.1800       150
     5.2000       154
     5.2200       150
     5.2400       150
     5.2600       154
     5.2800       152
     5.3000       168
     5.3200       172
     5.3400       158
     5.3600       152
     5.3800       154
     5.4000       180
     5.4200       166
     5.4400       168
     5.4600       152
     5.4800       162
     5.5000       156
     5.5200       156
     5.5400       140
     5.5600       152
     5.5800       154
     5.6000       168
     5.6200       172
     5.6400       154
     5.6600       144
     5.6800       144
     5.7000       160
     5.7200       144
     5.7400       136
     5.7600       144
     5.7800       150
     5.8000       144
     5.8200       146
     5.8400       168
     5.8600       138
     5.8800       152
     5.9000       154
     5.9200       140
     5.9400       154
     5.9600       142
     5.9800       156
     6.0000       146
     6.0200       154
     6.0400       162
     6.0600       166
     6.0800       158
     6.1000       150
     6.1200       166
     6.1400       142
     6.1600       160
     6.1800       140
     6.2000       174
     6.2200       142
     6.2400       118
     6.2600       148
     6.2800       126
     6.3000       150
     6.3200       150
     6.3400       146
     6.3600       144
     6.3800       162
     6.4000       150
     6.4200       148
     6.4400       148
     6.4600       144
     6.4800       138
     6.5000       126
     6.5200       152
     6.5400       138
     6.5600       130
     6.5800        96
     6.6000       130
     6.6200       138
     6.6400       124
     6.6600       142
     6.6800       126
     6.7000       130
     6.7200       108
     6.7400       130
     6.7600       126
     6.7800       114
     6.8000       118
     6.8200       128
     6.8400       124
     6.8600       126
     6.8800       134
     6.9000       114
     6.9200       122
     6.9400       108
     6.9600       138
     6.9800       110
     7.0000       108
     7.0200       122
     7.0400       122
     7.0600       134
     7.0800       138
     7.1000       124
     7.1200       102
     7.1400       124
     7.1600       108
     7.1800       108
     7.2000       112
     7.2200       120
     7.2400       112
     7.2600       118
     7.2800       106
     7.3000       110
     7.3200       122
     7.3400       114
     7.3600       104
     7.3800       102
     7.4000       108
     7.4200       104
     7.4400       104
     7.4600       116
     7.4800       106
     7.5000       104
     7.5200       102
     7.5400       114
     7.5600       106
     7.5800       110
     7.6000       118
     7.6200       136
     7.6400       120
     7.6600       128
     7.6800       108
     7.7000       112
     7.7200       106
     7.7400        92
     7.7600       116
     7.7800        98
     7.8000       106
     7.8200        98
     7.8400       118
     7.8600       112
     7.8800       120
     7.9000       108
     7.9200       114
     7.9400       130
     7.9600       100
     7.9800       102
     8.0000       106
     8.0200       116
     8.0400        96
     8.0600        94
     8.0800       114
     8.1000       100
     8.1200       108
     8.1400       110
     8.1600       114
     8.1800       126
     8.2000       110
     8.2200       118
     8.2400       110
     8.2600       104
     8.2800       102
     8.3000       118
     8.3200       112
     8.3400       110
     8.3600       122
     8.3800       132
     8.4000       104
     8.4200        98
     8.4400       110
     8.4600        98
     8.4800        88
     8.5000       110
     8.5200        94
     8.5400       130
     8.5600       126
     8.5800       100
     8.6000       116
     8.6200       136
     8.6400       116
     8.6600       126
     8.6800       100
     8.7000       108
     8.7200       118
     8.7400       112
     8.7600       124
     8.7800       112
     8.8000       104
     8.8200       106
     8.8400       112
     8.8600       116
     8.8800       114
     8.9000       104
     8.9200       106
     8.9400       122
     8.9600       106
     8.9800        98
     9.0000       138
     9.0200       108
     9.0400       122
     9.0600       102
     9.0800       114
     9.1000       126
     9.1200       112
     9.1400       104
     9.1600       120
     9.1800       100
     9.2000       114
     9.2200       120
     9.2400       106
     9.2600       122
     9.2800       124
     9.3000        88
     9.3200       122
     9.3400       104
     9.3600       104
     9.3800       100
     9.4000       108
     9.4200       118
     9.4400        98
     9.4600       102
     9.4800       110
     9.5000       106
     9.5200       106
     9.5400       128
     9.5600       128
     9.5800       108
     9.6000        88
     9.6200       102
     9.6400        98
     9.6600       116
     9.6800       124
     9.7000       108
     9.7200        90
     9.7400       104
     9.7600       100
     9.7800        96
     9.8000        96
     9.8200       104
     9.8400        94
     9.8600       118
     9.8800       108
     9.9000       128
     9.9200        90
     9.9400       104
     9.9600       116
     9.9800        92
    10.0000        86
    10.0200        92
    10.0400       102
    10.0600       116
    10.0800       112
    10.1000       118
    10.1200        80
    10.1400       102
    10.1600       124
    10.1800       108
    10.2000       110
    10.2200       116
    10.2400       128
    10.2600       104
    10.2800       106
    10.3000       114
    10.3200       116
    10.3400       136
    10.3600       172
    10.3800       176
    10.4000       162
    10.4200       128
    10.4400       134
    10.4600       104
    10.4800       116
    10.5000       106
    10.5200       100
    10.5400        82
    10.5600        90
    10.5800       100
    10.6000       112
    10.6200        78
    10.6400        90
    10.6600        92
    10.6800        90
    10.7000        88
    10.7200       114
    10.7400        92
    10.7600        92
    10.7800        94
    10.8000        74
    10.8200        90
    10.8400       100
    10.8600        74
    10.8800        90
    10.9000        82
    10.9200        86
