/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS55
  File Name : GDS55.RAW

# Profile Datafile
          comment             = Na-bicarb 
          date & time         = 08-03-13 06:52:47 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       164
     4.0200       196
     4.0400       210
     4.0600       176
     4.0800       196
     4.1000       206
     4.1200       168
     4.1400       174
     4.1600       190
     4.1800       176
     4.2000       156
     4.2200       180
     4.2400       168
     4.2600       180
     4.2800       180
     4.3000       172
     4.3200       170
     4.3400       190
     4.3600       186
     4.3800       170
     4.4000       148
     4.4200       170
     4.4400       144
     4.4600       172
     4.4800       176
     4.5000       174
     4.5200       170
     4.5400       160
     4.5600       154
     4.5800       156
     4.6000       158
     4.6200       138
     4.6400       176
     4.6600       158
     4.6800       172
     4.7000       170
     4.7200       168
     4.7400       160
     4.7600       144
     4.7800       136
     4.8000       158
     4.8200       160
     4.8400       170
     4.8600       154
     4.8800       124
     4.9000       132
     4.9200       154
     4.9400       174
     4.9600       152
     4.9800       164
     5.0000       126
     5.0200       140
     5.0400       154
     5.0600       132
     5.0800       172
     5.1000       148
     5.1200       152
     5.1400       144
     5.1600       160
     5.1800       162
     5.2000       178
     5.2200       140
     5.2400       152
     5.2600       168
     5.2800       160
     5.3000       134
     5.3200       150
     5.3400       156
     5.3600       182
     5.3800       150
     5.4000       142
     5.4200       168
     5.4400       136
     5.4600       154
     5.4800       128
     5.5000       168
     5.5200       150
     5.5400       144
     5.5600       174
     5.5800       160
     5.6000       172
     5.6200       148
     5.6400       164
     5.6600       144
     5.6800       152
     5.7000       166
     5.7200       140
     5.7400       160
     5.7600       152
     5.7800       144
     5.8000       172
     5.8200       176
     5.8400       164
     5.8600       164
     5.8800       148
     5.9000       178
     5.9200       160
     5.9400       164
     5.9600       150
     5.9800       168
     6.0000       154
     6.0200       154
     6.0400       156
     6.0600       154
     6.0800       150
     6.1000       164
     6.1200       138
     6.1400       138
     6.1600       150
     6.1800       152
     6.2000       140
     6.2200       154
     6.2400       130
     6.2600       152
     6.2800       144
     6.3000       142
     6.3200       154
     6.3400       132
     6.3600       154
     6.3800       144
     6.4000       136
     6.4200       122
     6.4400       130
     6.4600       142
     6.4800       142
     6.5000       122
     6.5200       136
     6.5400       132
     6.5600       128
     6.5800       126
     6.6000       140
     6.6200       138
     6.6400       152
     6.6600       136
     6.6800       118
     6.7000       150
     6.7200       130
     6.7400       130
     6.7600       120
     6.7800       132
     6.8000       148
     6.8200       120
     6.8400       118
     6.8600       112
     6.8800       132
     6.9000       116
     6.9200       144
     6.9400       110
     6.9600       126
     6.9800       106
     7.0000       140
     7.0200       134
     7.0400       116
     7.0600       120
     7.0800       124
     7.1000       106
     7.1200       132
     7.1400       116
     7.1600       136
     7.1800       118
     7.2000       108
     7.2200       116
     7.2400       110
     7.2600       130
     7.2800       112
     7.3000       116
     7.3200       116
     7.3400       100
     7.3600       114
     7.3800        98
     7.4000       120
     7.4200       134
     7.4400       114
     7.4600       110
     7.4800       138
     7.5000       102
     7.5200       114
     7.5400       110
     7.5600       118
     7.5800       100
     7.6000       104
     7.6200       110
     7.6400       108
     7.6600        92
     7.6800       120
     7.7000       120
     7.7200       116
     7.7400       124
     7.7600       128
     7.7800       132
     7.8000       110
     7.8200       122
     7.8400       108
     7.8600        98
     7.8800       110
     7.9000       114
     7.9200        94
     7.9400       112
     7.9600       118
     7.9800        94
     8.0000        96
     8.0200       116
     8.0400       106
     8.0600       124
     8.0800       136
     8.1000       146
     8.1200       120
     8.1400       112
     8.1600       104
     8.1800       104
     8.2000       114
     8.2200       118
     8.2400       146
     8.2600       102
     8.2800       120
     8.3000       130
     8.3200       110
     8.3400       110
     8.3600       116
     8.3800       126
     8.4000       110
     8.4200        92
     8.4400       108
     8.4600       122
     8.4800       106
     8.5000       100
     8.5200       122
     8.5400       132
     8.5600       122
     8.5800       128
     8.6000       110
     8.6200       108
     8.6400       120
     8.6600       120
     8.6800       100
     8.7000       122
     8.7200       116
     8.7400       110
     8.7600       128
     8.7800       130
     8.8000       114
     8.8200       110
     8.8400       102
     8.8600       102
     8.8800       104
     8.9000       118
     8.9200       114
     8.9400       120
     8.9600        90
     8.9800       124
     9.0000       124
     9.0200       154
     9.0400       116
     9.0600       106
     9.0800       138
     9.1000       122
     9.1200       110
     9.1400       104
     9.1600       106
     9.1800       124
     9.2000       132
     9.2200       134
     9.2400       124
     9.2600       122
     9.2800       148
     9.3000       114
     9.3200       114
     9.3400       104
     9.3600       132
     9.3800       118
     9.4000       112
     9.4200       104
     9.4400       132
     9.4600       112
     9.4800       122
     9.5000       112
     9.5200       106
     9.5400       104
     9.5600       116
     9.5800       120
     9.6000       108
     9.6200       116
     9.6400       114
     9.6600       142
     9.6800       120
     9.7000       108
     9.7200       132
     9.7400       138
     9.7600       132
     9.7800       140
     9.8000       126
     9.8200       182
     9.8400       146
     9.8600       142
     9.8800       134
     9.9000       144
     9.9200       132
     9.9400        98
     9.9600       104
     9.9800       120
    10.0000        80
    10.0200       106
    10.0400        96
    10.0600       120
    10.0800        98
    10.1000       126
    10.1200        98
    10.1400       140
    10.1600       102
    10.1800       106
    10.2000       112
    10.2200        92
    10.2400        96
    10.2600        90
    10.2800        86
    10.3000       106
    10.3200        82
    10.3400        80
    10.3600       106
    10.3800       102
    10.4000        96
    10.4200       120
    10.4400       100
    10.4600       104
    10.4800        88
    10.5000        96
    10.5200       116
    10.5400        84
    10.5600       108
    10.5800        98
    10.6000        94
    10.6200        96
    10.6400       108
    10.6600        98
    10.6800       104
    10.7000        90
    10.7200       108
    10.7400        96
    10.7600       106
    10.7800        80
    10.8000        86
    10.8200        94
    10.8400        78
    10.8600        90
    10.8800        94
    10.9000       100
    10.9200        96
    10.9400        86
    10.9600       116
    10.9800        80
    11.0000        88
    11.0200        98
    11.0400        94
    11.0600       102
    11.0800        92
    11.1000        96
    11.1200        96
    11.1400       102
    11.1600        88
    11.1800       124
