/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS739B
  File Name : GDS739B.RAW

# Profile Datafile
          comment             =   
          date & time         = 08-03-11 06:05:48 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       186
     4.0200       204
     4.0400       194
     4.0600       202
     4.0800       186
     4.1000       206
     4.1200       214
     4.1400       222
     4.1600       182
     4.1800       208
     4.2000       214
     4.2200       186
     4.2400       188
     4.2600       188
     4.2800       162
     4.3000       186
     4.3200       162
     4.3400       160
     4.3600       176
     4.3800       206
     4.4000       158
     4.4200       190
     4.4400       202
     4.4600       170
     4.4800       200
     4.5000       164
     4.5200       186
     4.5400       184
     4.5600       170
     4.5800       206
     4.6000       178
     4.6200       178
     4.6400       146
     4.6600       188
     4.6800       176
     4.7000       164
     4.7200       180
     4.7400       162
     4.7600       134
     4.7800       186
     4.8000       156
     4.8200       170
     4.8400       166
     4.8600       144
     4.8800       188
     4.9000       176
     4.9200       164
     4.9400       172
     4.9600       184
     4.9800       158
     5.0000       168
     5.0200       172
     5.0400       162
     5.0600       168
     5.0800       144
     5.1000       182
     5.1200       176
     5.1400       162
     5.1600       146
     5.1800       152
     5.2000       158
     5.2200       154
     5.2400       180
     5.2600       172
     5.2800       164
     5.3000       158
     5.3200       150
     5.3400       172
     5.3600       180
     5.3800       158
     5.4000       166
     5.4200       168
     5.4400       156
     5.4600       160
     5.4800       152
     5.5000       160
     5.5200       200
     5.5400       158
     5.5600       160
     5.5800       180
     5.6000       172
     5.6200       152
     5.6400       146
     5.6600       180
     5.6800       168
     5.7000       192
     5.7200       162
     5.7400       150
     5.7600       172
     5.7800       160
     5.8000       152
     5.8200       194
     5.8400       166
     5.8600       170
     5.8800       144
     5.9000       154
     5.9200       152
     5.9400       166
     5.9600       160
     5.9800       176
     6.0000       188
     6.0200       142
     6.0400       168
     6.0600       162
     6.0800       158
     6.1000       156
     6.1200       154
     6.1400       160
     6.1600       172
     6.1800       142
     6.2000       180
     6.2200       160
     6.2400       160
     6.2600       158
     6.2800       150
     6.3000       168
     6.3200       144
     6.3400       176
     6.3600       124
     6.3800       132
     6.4000       148
     6.4200       158
     6.4400       154
     6.4600       138
     6.4800       150
     6.5000       150
     6.5200       150
     6.5400       112
     6.5600       136
     6.5800       136
     6.6000       148
     6.6200       156
     6.6400       144
     6.6600       156
     6.6800       124
     6.7000       162
     6.7200       144
     6.7400       172
     6.7600       124
     6.7800       158
     6.8000       158
     6.8200       148
     6.8400       138
     6.8600       126
     6.8800       132
     6.9000       130
     6.9200       138
     6.9400       136
     6.9600       142
     6.9800       144
     7.0000       134
     7.0200       122
     7.0400       128
     7.0600       126
     7.0800       114
     7.1000       120
     7.1200       130
     7.1400       130
     7.1600       128
     7.1800       126
     7.2000       128
     7.2200       124
     7.2400       118
     7.2600       118
     7.2800       108
     7.3000       126
     7.3200       112
     7.3400       148
     7.3600       126
     7.3800       114
     7.4000       120
     7.4200       122
     7.4400       132
     7.4600       122
     7.4800       128
     7.5000       116
     7.5200       116
     7.5400       104
     7.5600       112
     7.5800       126
     7.6000       134
     7.6200       132
     7.6400       120
     7.6600       118
     7.6800       104
     7.7000       122
     7.7200       116
     7.7400       122
     7.7600       138
     7.7800       134
     7.8000        96
     7.8200        96
     7.8400       120
     7.8600       122
     7.8800        98
     7.9000       112
     7.9200       120
     7.9400       118
     7.9600       106
     7.9800       102
     8.0000       128
     8.0200       110
     8.0400       118
     8.0600       138
     8.0800       126
     8.1000       136
     8.1200       110
     8.1400       124
     8.1600       110
     8.1800       124
     8.2000        78
     8.2200       104
     8.2400       116
     8.2600       124
     8.2800       126
     8.3000       108
     8.3200       128
     8.3400       104
     8.3600       116
     8.3800       104
     8.4000       106
     8.4200       116
     8.4400       132
     8.4600        98
     8.4800       108
     8.5000       122
     8.5200       110
     8.5400       128
     8.5600       116
     8.5800       134
     8.6000       132
     8.6200       108
     8.6400       112
     8.6600       112
     8.6800       136
     8.7000       106
     8.7200       120
     8.7400       144
     8.7600       102
     8.7800       128
     8.8000       126
     8.8200       108
     8.8400       124
     8.8600       124
     8.8800       128
     8.9000       128
     8.9200       128
     8.9400       104
     8.9600       124
     8.9800       132
     9.0000       102
     9.0200       138
     9.0400       108
     9.0600       130
     9.0800       120
     9.1000       118
     9.1200       122
     9.1400       114
     9.1600       104
     9.1800       122
     9.2000       110
     9.2200       110
     9.2400       108
     9.2600       114
     9.2800       124
     9.3000       116
     9.3200       112
     9.3400       144
     9.3600       126
     9.3800       132
     9.4000       122
     9.4200       148
     9.4400       112
     9.4600       124
     9.4800       112
     9.5000       126
     9.5200       138
     9.5400       140
     9.5600       100
     9.5800       118
     9.6000       112
     9.6200       118
     9.6400       120
     9.6600       112
     9.6800       112
     9.7000        96
     9.7200       112
     9.7400       122
     9.7600       136
     9.7800       116
     9.8000       126
     9.8200       110
     9.8400       132
     9.8600       118
     9.8800       118
     9.9000       104
     9.9200       128
     9.9400       108
     9.9600       116
     9.9800       120
    10.0000       106
    10.0200       108
    10.0400       106
    10.0600       118
    10.0800       122
    10.1000       112
    10.1200       128
    10.1400       114
    10.1600        86
    10.1800        92
    10.2000       106
    10.2200       110
    10.2400       114
    10.2600        98
    10.2800        98
    10.3000       112
    10.3200       106
    10.3400       102
    10.3600       114
    10.3800       104
    10.4000        98
    10.4200       112
    10.4400        82
    10.4600       112
    10.4800       100
    10.5000       102
    10.5200       104
    10.5400       104
    10.5600       108
    10.5800        96
    10.6000        98
    10.6200       106
    10.6400       100
    10.6600       112
    10.6800       100
    10.7000       122
    10.7200        92
    10.7400       104
    10.7600       114
    10.7800       112
    10.8000       114
    10.8200       126
    10.8400       110
    10.8600        86
    10.8800       108
    10.9000        96
    10.9200        96
    10.9400       104
    10.9600        92
    10.9800        90
