/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS818
  File Name : GDS818.RAW

# Profile Datafile
          comment             = Palygorskite 
          date & time         = 08-04-01 06:17:01 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       234
     4.0200       242
     4.0400       238
     4.0600       238
     4.0800       224
     4.1000       176
     4.1200       204
     4.1400       190
     4.1600       216
     4.1800       222
     4.2000       200
     4.2200       240
     4.2400       206
     4.2600       176
     4.2800       212
     4.3000       194
     4.3200       202
     4.3400       192
     4.3600       222
     4.3800       194
     4.4000       212
     4.4200       210
     4.4400       188
     4.4600       220
     4.4800       180
     4.5000       200
     4.5200       204
     4.5400       186
     4.5600       192
     4.5800       210
     4.6000       216
     4.6200       192
     4.6400       202
     4.6600       200
     4.6800       182
     4.7000       180
     4.7200       188
     4.7400       192
     4.7600       204
     4.7800       178
     4.8000       184
     4.8200       176
     4.8400       200
     4.8600       180
     4.8800       170
     4.9000       154
     4.9200       182
     4.9400       178
     4.9600       188
     4.9800       202
     5.0000       192
     5.0200       194
     5.0400       190
     5.0600       158
     5.0800       180
     5.1000       176
     5.1200       190
     5.1400       196
     5.1600       188
     5.1800       188
     5.2000       182
     5.2200       194
     5.2400       188
     5.2600       150
     5.2800       200
     5.3000       176
     5.3200       194
     5.3400       158
     5.3600       186
     5.3800       174
     5.4000       172
     5.4200       182
     5.4400       168
     5.4600       166
     5.4800       176
     5.5000       184
     5.5200       186
     5.5400       192
     5.5600       192
     5.5800       166
     5.6000       172
     5.6200       176
     5.6400       182
     5.6600       142
     5.6800       180
     5.7000       182
     5.7200       176
     5.7400       168
     5.7600       162
     5.7800       200
     5.8000       178
     5.8200       166
     5.8400       178
     5.8600       178
     5.8800       180
     5.9000       164
     5.9200       176
     5.9400       170
     5.9600       166
     5.9800       172
     6.0000       174
     6.0200       182
     6.0400       178
     6.0600       186
     6.0800       158
     6.1000       172
     6.1200       182
     6.1400       174
     6.1600       176
     6.1800       164
     6.2000       178
     6.2200       174
     6.2400       174
     6.2600       146
     6.2800       180
     6.3000       164
     6.3200       164
     6.3400       172
     6.3600       188
     6.3800       178
     6.4000       140
     6.4200       160
     6.4400       164
     6.4600       154
     6.4800       166
     6.5000       162
     6.5200       172
     6.5400       160
     6.5600       168
     6.5800       162
     6.6000       166
     6.6200       182
     6.6400       154
     6.6600       166
     6.6800       146
     6.7000       152
     6.7200       160
     6.7400       162
     6.7600       134
     6.7800       152
     6.8000       134
     6.8200       134
     6.8400       138
     6.8600       162
     6.8800       140
     6.9000       132
     6.9200       128
     6.9400       130
     6.9600       144
     6.9800       138
     7.0000       140
     7.0200       144
     7.0400       128
     7.0600       158
     7.0800       140
     7.1000       154
     7.1200       134
     7.1400       158
     7.1600       146
     7.1800       158
     7.2000       174
     7.2200       150
     7.2400       124
     7.2600       144
     7.2800       144
     7.3000       136
     7.3200       172
     7.3400       138
     7.3600       182
     7.3800       182
     7.4000       170
     7.4200       144
     7.4400       160
     7.4600       182
     7.4800       176
     7.5000       162
     7.5200       150
     7.5400       168
     7.5600       214
     7.5800       194
     7.6000       170
     7.6200       188
     7.6400       188
     7.6600       170
     7.6800       194
     7.7000       214
     7.7200       206
     7.7400       240
     7.7600       192
     7.7800       228
     7.8000       232
     7.8200       248
     7.8400       232
     7.8600       254
     7.8800       260
     7.9000       270
     7.9200       274
     7.9400       300
     7.9600       316
     7.9800       326
     8.0000       336
     8.0200       384
     8.0400       382
     8.0600       416
     8.0800       404
     8.1000       438
     8.1200       402
     8.1400       472
     8.1600       496
     8.1800       532
     8.2000       574
     8.2200       600
     8.2400       670
     8.2600       678
     8.2800       788
     8.3000       828
     8.3200       872
     8.3400       960
     8.3600      1054
     8.3800      1132
     8.4000      1200
     8.4200      1248
     8.4400      1382
     8.4600      1344
     8.4800      1340
     8.5000      1306
     8.5200      1328
     8.5400      1220
     8.5600      1150
     8.5800      1022
     8.6000       950
     8.6200       822
     8.6400       770
     8.6600       628
     8.6800       568
     8.7000       486
     8.7200       454
