/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : GDS821
  File Name : GDS821.RAW

# Profile Datafile
          comment             = Stilbite 
          date & time         = 08-04-01 06:47:56 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       184
     4.0200       224
     4.0400       180
     4.0600       178
     4.0800       194
     4.1000       160
     4.1200       168
     4.1400       176
     4.1600       170
     4.1800       186
     4.2000       202
     4.2200       158
     4.2400       164
     4.2600       178
     4.2800       184
     4.3000       182
     4.3200       166
     4.3400       150
     4.3600       180
     4.3800       158
     4.4000       164
     4.4200       156
     4.4400       156
     4.4600       166
     4.4800       158
     4.5000       188
     4.5200       160
     4.5400       162
     4.5600       184
     4.5800       158
     4.6000       160
     4.6200       170
     4.6400       166
     4.6600       162
     4.6800       162
     4.7000       158
     4.7200       154
     4.7400       172
     4.7600       174
     4.7800       160
     4.8000       158
     4.8200       162
     4.8400       154
     4.8600       158
     4.8800       166
     4.9000       166
     4.9200       160
     4.9400       166
     4.9600       162
     4.9800       154
     5.0000       152
     5.0200       166
     5.0400       146
     5.0600       152
     5.0800       146
     5.1000       150
     5.1200       162
     5.1400       150
     5.1600       142
     5.1800       152
     5.2000       130
     5.2200       126
     5.2400       154
     5.2600       150
     5.2800       160
     5.3000       162
     5.3200       178
     5.3400       164
     5.3600       142
     5.3800       140
     5.4000       162
     5.4200       134
     5.4400       158
     5.4600       140
     5.4800       150
     5.5000       148
     5.5200       156
     5.5400       154
     5.5600       158
     5.5800       172
     5.6000       142
     5.6200       148
     5.6400       158
     5.6600       152
     5.6800       174
     5.7000       154
     5.7200       144
     5.7400       144
     5.7600       154
     5.7800       136
     5.8000       162
     5.8200       172
     5.8400       156
     5.8600       168
     5.8800       158
     5.9000       170
     5.9200       152
     5.9400       132
     5.9600       144
     5.9800       142
     6.0000       166
     6.0200       146
     6.0400       144
     6.0600       152
     6.0800       150
     6.1000       150
     6.1200       136
     6.1400       154
     6.1600       142
     6.1800       156
     6.2000       156
     6.2200       122
     6.2400       130
     6.2600       140
     6.2800       144
     6.3000       136
     6.3200       142
     6.3400       136
     6.3600       144
     6.3800       142
     6.4000       120
     6.4200       144
     6.4400       138
     6.4600       128
     6.4800       124
     6.5000       116
     6.5200       130
     6.5400       138
     6.5600       140
     6.5800       164
     6.6000       140
     6.6200       140
     6.6400       116
     6.6600       132
     6.6800       122
     6.7000       112
     6.7200       136
     6.7400       130
     6.7600       114
     6.7800       142
     6.8000       112
     6.8200       132
     6.8400       128
     6.8600       122
     6.8800       106
     6.9000       124
     6.9200       106
     6.9400       124
     6.9600       122
     6.9800       134
     7.0000       124
     7.0200       120
     7.0400       136
     7.0600        86
     7.0800       102
     7.1000       112
     7.1200       118
     7.1400       138
     7.1600       110
     7.1800       124
     7.2000       122
     7.2200       122
     7.2400       104
     7.2600       110
     7.2800       142
     7.3000       112
     7.3200       110
     7.3400       112
     7.3600       100
     7.3800       108
     7.4000       114
     7.4200       126
     7.4400       106
     7.4600       104
     7.4800       118
     7.5000       112
     7.5200       114
     7.5400        94
     7.5600       132
     7.5800        92
     7.6000       110
     7.6200       108
     7.6400       108
     7.6600       108
     7.6800       106
     7.7000       112
     7.7200       110
     7.7400       134
     7.7600       102
     7.7800       106
     7.8000       116
     7.8200        92
     7.8400       104
     7.8600       126
     7.8800       104
     7.9000       118
     7.9200       106
     7.9400       102
     7.9600        90
     7.9800       110
     8.0000        94
     8.0200        92
     8.0400       108
     8.0600       116
     8.0800       110
     8.1000       102
     8.1200       116
     8.1400        98
     8.1600       110
     8.1800       126
     8.2000        96
     8.2200        96
     8.2400       112
     8.2600       106
