/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : LV95-30
  File Name : LV95-30.RAW

# Profile Datafile
          comment             = Epsomite 
          date & time         = 08-04-09 08:22:13 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       184
     4.0200       190
     4.0400       194
     4.0600       186
     4.0800       188
     4.1000       170
     4.1200       184
     4.1400       208
     4.1600       198
     4.1800       186
     4.2000       200
     4.2200       218
     4.2400       180
     4.2600       180
     4.2800       192
     4.3000       188
     4.3200       188
     4.3400       194
     4.3600       196
     4.3800       168
     4.4000       184
     4.4200       204
     4.4400       184
     4.4600       166
     4.4800       182
     4.5000       202
     4.5200       180
     4.5400       176
     4.5600       190
     4.5800       192
     4.6000       176
     4.6200       138
     4.6400       162
     4.6600       160
     4.6800       148
     4.7000       160
     4.7200       160
     4.7400       160
     4.7600       178
     4.7800       148
     4.8000       170
     4.8200       174
     4.8400       170
     4.8600       168
     4.8800       182
     4.9000       166
     4.9200       150
     4.9400       160
     4.9600       214
     4.9800       178
     5.0000       134
     5.0200       168
     5.0400       148
     5.0600       166
     5.0800       166
     5.1000       176
     5.1200       190
     5.1400       196
     5.1600       152
     5.1800       160
     5.2000       162
     5.2200       168
     5.2400       168
     5.2600       176
     5.2800       180
     5.3000       154
     5.3200       178
     5.3400       174
     5.3600       158
     5.3800       162
     5.4000       150
     5.4200       152
     5.4400       182
     5.4600       168
     5.4800       150
     5.5000       182
     5.5200       164
     5.5400       154
     5.5600       148
     5.5800       172
     5.6000       150
     5.6200       164
     5.6400       180
     5.6600       168
     5.6800       146
     5.7000       158
     5.7200       178
     5.7400       176
     5.7600       166
     5.7800       178
     5.8000       174
     5.8200       178
     5.8400       158
     5.8600       162
     5.8800       178
     5.9000       178
     5.9200       186
     5.9400       180
     5.9600       176
     5.9800       152
     6.0000       174
     6.0200       176
     6.0400       168
     6.0600       146
     6.0800       158
     6.1000       148
     6.1200       184
     6.1400       162
     6.1600       152
     6.1800       184
     6.2000       184
     6.2200       142
     6.2400       146
     6.2600       162
     6.2800       176
     6.3000       134
     6.3200       130
     6.3400       148
     6.3600       146
     6.3800       174
     6.4000       142
     6.4200       150
     6.4400       144
     6.4600       146
     6.4800       166
     6.5000       172
     6.5200       138
     6.5400       130
     6.5600       134
     6.5800       142
     6.6000       122
     6.6200       132
     6.6400       170
     6.6600       136
     6.6800       126
     6.7000       130
     6.7200       144
     6.7400       158
     6.7600       140
     6.7800       132
     6.8000       156
     6.8200       136
     6.8400       112
     6.8600       150
     6.8800       130
     6.9000       142
     6.9200       146
     6.9400       122
     6.9600       132
     6.9800       142
     7.0000       128
     7.0200       128
     7.0400       122
     7.0600       132
     7.0800       138
     7.1000       134
     7.1200       122
     7.1400       144
     7.1600       130
     7.1800       136
     7.2000       134
     7.2200       134
     7.2400       106
     7.2600       120
     7.2800       140
     7.3000       128
     7.3200       126
     7.3400       112
     7.3600       144
     7.3800       134
     7.4000       112
     7.4200       130
     7.4400       128
     7.4600       148
     7.4800       126
     7.5000       134
     7.5200       144
     7.5400       122
     7.5600       110
     7.5800       116
     7.6000       146
     7.6200       126
     7.6400       118
     7.6600       110
     7.6800       116
     7.7000       118
     7.7200       102
     7.7400       110
     7.7600       114
     7.7800       112
     7.8000       116
     7.8200       120
     7.8400        96
     7.8600       106
     7.8800       122
     7.9000       104
     7.9200       108
     7.9400       114
     7.9600       116
     7.9800       114
     8.0000       116
     8.0200       128
     8.0400       122
     8.0600       110
     8.0800       122
     8.1000       128
     8.1200       128
     8.1400       150
     8.1600       120
     8.1800       140
     8.2000       148
     8.2200       138
     8.2400       124
     8.2600       122
     8.2800       122
     8.3000       162
     8.3200       148
     8.3400       146
     8.3600       142
     8.3800       148
     8.4000       150
     8.4200       120
     8.4400       138
     8.4600       130
     8.4800       146
     8.5000       122
     8.5200       138
     8.5400       128
     8.5600       122
     8.5800       124
     8.6000       148
     8.6200       156
     8.6400       154
     8.6600       126
     8.6800       150
     8.7000       160
     8.7200       172
     8.7400       128
     8.7600       126
     8.7800       144
     8.8000       136
     8.8200       144
     8.8400       120
     8.8600       124
     8.8800       110
     8.9000       150
     8.9200       110
     8.9400       128
     8.9600       138
     8.9800       128
     9.0000       126
     9.0200       100
     9.0400        94
     9.0600       142
     9.0800       130
     9.1000       128
     9.1200       130
     9.1400       110
     9.1600       120
     9.1800       136
     9.2000       122
     9.2200       104
     9.2400       132
     9.2600       114
     9.2800       130
     9.3000       116
     9.3200       128
     9.3400       112
     9.3600       132
     9.3800       140
     9.4000       144
     9.4200       120
     9.4400       118
     9.4600       120
     9.4800        82
     9.5000       126
     9.5200       118
     9.5400       104
     9.5600       114
     9.5800       130
     9.6000       118
     9.6200        94
     9.6400       114
     9.6600       124
     9.6800       112
     9.7000       126
     9.7200       102
     9.7400       114
     9.7600       108
     9.7800       126
     9.8000       104
     9.8200       114
     9.8400       112
     9.8600       104
     9.8800       108
     9.9000       116
     9.9200       118
     9.9400        90
     9.9600       122
     9.9800       114
    10.0000       114
    10.0200       116
    10.0400       106
    10.0600       114
    10.0800       108
    10.1000       114
    10.1200       118
    10.1400       102
    10.1600       120
    10.1800       100
    10.2000       112
    10.2200       104
    10.2400        94
    10.2600        94
    10.2800       110
    10.3000       100
    10.3200        98
    10.3400       108
    10.3600       110
    10.3800       104
    10.4000        92
    10.4200       116
    10.4400        96
    10.4600       104
    10.4800        92
    10.5000       104
    10.5200        98
    10.5400       100
    10.5600       106
    10.5800        88
    10.6000        88
    10.6200       106
    10.6400       102
    10.6600        98
    10.6800        94
    10.7000        98
    10.7200       104
    10.7400        98
    10.7600       118
    10.7800       114
    10.8000        74
    10.8200       112
    10.8400        88
    10.8600       106
    10.8800       106
    10.9000       112
    10.9200        92
    10.9400       102
    10.9600        86
    10.9800        88
    11.0000       108
    11.0200        84
    11.0400       106
    11.0600       106
    11.0800        98
    11.1000       100
    11.1200       100
    11.1400        80
    11.1600        98
    11.1800        82
    11.2000        92
    11.2200        92
    11.2400        94
    11.2600       110
    11.2800        90
    11.3000        86
    11.3200        86
    11.3400        96
    11.3600        92
    11.3800        84
    11.4000        88
    11.4200        94
    11.4400       120
    11.4600       134
    11.4800       128
    11.5000       108
    11.5200        96
    11.5400        94
    11.5600        92
    11.5800        92
    11.6000       102
    11.6200        88
    11.6400        78
    11.6600        86
    11.6800        88
    11.7000        96
    11.7200       116
    11.7400        90
    11.7600        82
    11.7800        90
    11.8000        98
    11.8200        84
    11.8400        90
    11.8600        86
    11.8800        94
    11.9000       122
    11.9200        88
    11.9400       102
    11.9600        90
    11.9800        90
    12.0000        92
