/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : SCF-NHJ-A
  File Name : SCF-NHJ-A.RAW

# Profile Datafile
          comment             = AmmonioJarosite 
          date & time         = 08-04-09 07:51:18 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       178
     4.0200       176
     4.0400       192
     4.0600       162
     4.0800       176
     4.1000       172
     4.1200       200
     4.1400       180
     4.1600       204
     4.1800       208
     4.2000       182
     4.2200       188
     4.2400       162
     4.2600       158
     4.2800       168
     4.3000       156
     4.3200       196
     4.3400       188
     4.3600       182
     4.3800       160
     4.4000       184
     4.4200       156
     4.4400       138
     4.4600       162
     4.4800       180
     4.5000       158
     4.5200       140
     4.5400       180
     4.5600       168
     4.5800       170
     4.6000       130
     4.6200       180
     4.6400       174
     4.6600       174
     4.6800       164
     4.7000       184
     4.7200       150
     4.7400       166
     4.7600       184
     4.7800       176
     4.8000       164
     4.8200       180
     4.8400       194
     4.8600       132
     4.8800       178
     4.9000       144
     4.9200       134
     4.9400       154
     4.9600       158
     4.9800       126
     5.0000       152
     5.0200       154
     5.0400       134
     5.0600       142
     5.0800       146
     5.1000       160
     5.1200       172
     5.1400       160
     5.1600       136
     5.1800       150
     5.2000       160
     5.2200       142
     5.2400       140
     5.2600       172
     5.2800       168
     5.3000       128
     5.3200       124
     5.3400       166
     5.3600       156
     5.3800       146
     5.4000       150
     5.4200       170
     5.4400       152
     5.4600       156
     5.4800       154
     5.5000       168
     5.5200       152
     5.5400       154
     5.5600       152
     5.5800       154
     5.6000       152
     5.6200       156
     5.6400       158
     5.6600       164
     5.6800       158
     5.7000       144
     5.7200       172
     5.7400       136
     5.7600       178
     5.7800       154
     5.8000       168
     5.8200       142
