/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : WS479
  File Name : WS479.RAW

# Profile Datafile
          comment             = Almandine 
          date & time         = 08-03-14 06:55:54 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       210
     4.0200       210
     4.0400       176
     4.0600       156
     4.0800       192
     4.1000       188
     4.1200       186
     4.1400       202
     4.1600       170
     4.1800       198
     4.2000       190
     4.2200       200
     4.2400       150
     4.2600       196
     4.2800       180
     4.3000       160
     4.3200       178
     4.3400       168
     4.3600       178
     4.3800       188
     4.4000       214
     4.4200       184
     4.4400       200
     4.4600       178
     4.4800       162
     4.5000       184
     4.5200       164
     4.5400       172
     4.5600       158
     4.5800       176
     4.6000       192
     4.6200       170
     4.6400       170
     4.6600       166
     4.6800       178
     4.7000       176
     4.7200       178
     4.7400       184
     4.7600       164
     4.7800       172
     4.8000       174
     4.8200       154
     4.8400       158
     4.8600       156
     4.8800       150
     4.9000       146
     4.9200       188
     4.9400       140
     4.9600       158
     4.9800       194
     5.0000       142
     5.0200       158
     5.0400       170
     5.0600       184
     5.0800       140
     5.1000       164
     5.1200       158
     5.1400       124
     5.1600       160
     5.1800       160
     5.2000       144
     5.2200       178
     5.2400       152
     5.2600       164
     5.2800       160
     5.3000       180
     5.3200       162
     5.3400       158
     5.3600       158
     5.3800       166
     5.4000       146
     5.4200       160
     5.4400       148
     5.4600       182
     5.4800       160
     5.5000       176
     5.5200       140
     5.5400       142
     5.5600       170
     5.5800       184
     5.6000       170
     5.6200       172
     5.6400       168
     5.6600       142
     5.6800       186
     5.7000       178
     5.7200       168
     5.7400       186
     5.7600       148
     5.7800       168
     5.8000       170
     5.8200       166
     5.8400       180
     5.8600       164
     5.8800       166
     5.9000       160
     5.9200       154
     5.9400       170
     5.9600       158
     5.9800       134
     6.0000       162
     6.0200       174
     6.0400       160
     6.0600       174
     6.0800       162
     6.1000       160
     6.1200       154
     6.1400       158
     6.1600       180
     6.1800       160
     6.2000       178
     6.2200       160
     6.2400       176
     6.2600       144
     6.2800       162
     6.3000       152
     6.3200       182
     6.3400       144
     6.3600       138
     6.3800       122
     6.4000       156
     6.4200       160
     6.4400       142
     6.4600       138
     6.4800       176
     6.5000       126
     6.5200       120
     6.5400       148
     6.5600       146
     6.5800       148
     6.6000       132
     6.6200       144
     6.6400       134
     6.6600       128
     6.6800       166
     6.7000       144
     6.7200       120
     6.7400       118
     6.7600       120
     6.7800       144
     6.8000       138
     6.8200       154
     6.8400       130
     6.8600       122
     6.8800       138
     6.9000       122
     6.9200       122
     6.9400       110
     6.9600       138
     6.9800       128
     7.0000       122
     7.0200       110
     7.0400       132
     7.0600       134
     7.0800       114
     7.1000       128
     7.1200       132
     7.1400        98
     7.1600       130
     7.1800       118
     7.2000       142
     7.2200       128
     7.2400       118
     7.2600       114
     7.2800       124
     7.3000       106
     7.3200       136
     7.3400       128
     7.3600       128
     7.3800       114
     7.4000       104
     7.4200       130
     7.4400       116
     7.4600       152
     7.4800       114
     7.5000       130
     7.5200       148
     7.5400       126
     7.5600       104
     7.5800       126
     7.6000        94
     7.6200       118
     7.6400       114
     7.6600       114
     7.6800       124
     7.7000       116
     7.7200       116
     7.7400       142
     7.7600       100
     7.7800       118
     7.8000       104
     7.8200       122
     7.8400       116
     7.8600       114
     7.8800       130
     7.9000       132
     7.9200       126
     7.9400       136
     7.9600       118
     7.9800       124
     8.0000       124
     8.0200       106
     8.0400       108
     8.0600       124
     8.0800       106
     8.1000       130
     8.1200       108
     8.1400       118
     8.1600       112
     8.1800       126
     8.2000       106
     8.2200       110
     8.2400       106
     8.2600       110
     8.2800       114
     8.3000       112
     8.3200       136
     8.3400        92
     8.3600        98
     8.3800       112
     8.4000       118
     8.4200       116
     8.4400       110
     8.4600       120
     8.4800       116
     8.5000       160
     8.5200       110
     8.5400       138
     8.5600       120
     8.5800       120
     8.6000        98
     8.6200       150
     8.6400       130
     8.6600       116
     8.6800       118
     8.7000       110
     8.7200       124
     8.7400       114
     8.7600       108
     8.7800       134
     8.8000       114
     8.8200       118
     8.8400       146
     8.8600       124
     8.8800       130
     8.9000       120
     8.9200       122
     8.9400       120
     8.9600       128
     8.9800       116
     9.0000       118
     9.0200       118
     9.0400       136
     9.0600       154
     9.0800       134
     9.1000       122
     9.1200       128
     9.1400       120
     9.1600       142
     9.1800       128
     9.2000       120
     9.2200       106
     9.2400       114
     9.2600       122
     9.2800       102
     9.3000       116
     9.3200       118
     9.3400       118
     9.3600       126
     9.3800       114
     9.4000       124
     9.4200       122
     9.4400       136
     9.4600       110
     9.4800       104
     9.5000       122
     9.5200       114
     9.5400       122
     9.5600       120
     9.5800       126
     9.6000       100
     9.6200       120
     9.6400       116
     9.6600       112
     9.6800       110
     9.7000       126
     9.7200       108
     9.7400       100
     9.7600       110
     9.7800       102
     9.8000        94
     9.8200       104
     9.8400       100
     9.8600       134
     9.8800       114
     9.9000       132
     9.9200       120
     9.9400       118
     9.9600       122
     9.9800       130
    10.0000       108
    10.0200       124
    10.0400       110
    10.0600       124
    10.0800       116
    10.1000        94
    10.1200       100
    10.1400       110
    10.1600        98
    10.1800       106
    10.2000       116
    10.2200       114
    10.2400        98
    10.2600       120
    10.2800       114
    10.3000       128
    10.3200       110
    10.3400       122
    10.3600        94
    10.3800       104
    10.4000       112
    10.4200        96
    10.4400       116
    10.4600       116
    10.4800       102
    10.5000        98
    10.5200        88
    10.5400       112
    10.5600       102
    10.5800       116
    10.6000       120
    10.6200       100
    10.6400        98
