/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : GPlumlee
  Data      : WS708
  File Name : WS708.RAW

# Profile Datafile
          comment             = Bytownite-Hoefen 
          date & time         = 08-04-16 08:15:19 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       190
     4.0200       166
     4.0400       184
     4.0600       198
     4.0800       162
     4.1000       168
     4.1200       174
     4.1400       182
     4.1600       150
     4.1800       194
     4.2000       186
     4.2200       170
     4.2400       178
     4.2600       180
     4.2800       148
     4.3000       186
     4.3200       140
     4.3400       164
     4.3600       168
     4.3800       164
     4.4000       162
     4.4200       158
     4.4400       154
     4.4600       170
     4.4800       142
     4.5000       140
     4.5200       178
     4.5400       166
     4.5600       140
     4.5800       136
     4.6000       158
     4.6200       150
     4.6400       170
     4.6600       160
     4.6800       166
     4.7000       162
     4.7200       142
     4.7400       154
     4.7600       158
     4.7800       154
     4.8000       158
     4.8200       152
     4.8400       146
     4.8600       146
     4.8800       140
     4.9000       130
     4.9200       172
     4.9400       136
     4.9600       160
     4.9800       154
     5.0000       168
     5.0200       158
     5.0400       160
     5.0600       148
     5.0800       160
     5.1000       148
     5.1200       178
     5.1400       144
     5.1600       152
     5.1800       156
     5.2000       150
     5.2200       148
     5.2400       158
     5.2600       178
     5.2800       168
     5.3000       144
     5.3200       168
     5.3400       146
     5.3600       142
     5.3800       148
     5.4000       156
     5.4200       150
     5.4400       128
     5.4600       140
     5.4800       166
     5.5000       152
     5.5200       170
     5.5400       150
     5.5600       162
     5.5800       132
     5.6000       154
     5.6200       164
     5.6400       160
     5.6600       148
     5.6800       160
