/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Swayze
  Data      : WS738
  File Name : WS738.RAW

# Profile Datafile
          comment             = Clinoptilolite 
          date & time         = 08-03-13 05:50:54 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (deg) 
          scatter slit        = 2.00000 (deg) 
          receiving slit      = 0.15000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    4.000 -   65.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3051 ]
  <2Theta>   <   I   >
     4.0000       238
     4.0200       220
     4.0400       222
     4.0600       212
     4.0800       240
     4.1000       218
     4.1200       214
     4.1400       208
     4.1600       220
     4.1800       192
     4.2000       244
     4.2200       178
     4.2400       216
     4.2600       200
     4.2800       188
     4.3000       186
     4.3200       182
     4.3400       184
     4.3600       172
     4.3800       208
     4.4000       200
     4.4200       228
     4.4400       200
     4.4600       242
     4.4800       218
     4.5000       174
     4.5200       168
     4.5400       172
     4.5600       172
     4.5800       214
     4.6000       172
     4.6200       198
     4.6400       184
     4.6600       170
     4.6800       168
     4.7000       176
     4.7200       176
     4.7400       200
     4.7600       202
     4.7800       174
     4.8000       178
     4.8200       182
     4.8400       176
     4.8600       182
     4.8800       184
     4.9000       172
     4.9200       184
     4.9400       188
     4.9600       180
     4.9800       170
     5.0000       184
     5.0200       178
     5.0400       178
     5.0600       182
     5.0800       186
     5.1000       218
     5.1200       198
     5.1400       164
     5.1600       216
     5.1800       182
     5.2000       208
     5.2200       164
     5.2400       176
     5.2600       186
     5.2800       158
     5.3000       188
     5.3200       178
     5.3400       162
     5.3600       194
     5.3800       178
     5.4000       166
     5.4200       186
     5.4400       184
     5.4600       188
     5.4800       150
     5.5000       166
     5.5200       172
     5.5400       172
     5.5600       192
     5.5800       190
     5.6000       178
     5.6200       154
     5.6400       172
     5.6600       164
     5.6800       200
     5.7000       180
     5.7200       168
     5.7400       170
     5.7600       188
     5.7800       188
     5.8000       202
     5.8200       186
     5.8400       176
     5.8600       190
     5.8800       188
     5.9000       140
     5.9200       198
     5.9400       188
     5.9600       160
     5.9800       180
     6.0000       180
     6.0200       176
     6.0400       150
     6.0600       168
     6.0800       172
     6.1000       148
     6.1200       180
     6.1400       164
     6.1600       176
     6.1800       180
     6.2000       164
     6.2200       172
     6.2400       166
     6.2600       162
     6.2800       160
     6.3000       170
     6.3200       150
     6.3400       158
     6.3600       150
     6.3800       142
     6.4000       164
     6.4200       130
     6.4400       172
     6.4600       138
     6.4800       154
     6.5000       162
     6.5200       164
     6.5400       142
     6.5600       144
     6.5800       154
     6.6000       152
     6.6200       158
     6.6400       150
     6.6600       144
     6.6800       168
     6.7000       126
     6.7200       140
     6.7400       140
     6.7600       142
     6.7800       156
     6.8000       130
     6.8200       150
     6.8400       124
     6.8600       130
     6.8800       146
     6.9000       140
     6.9200       152
     6.9400       166
     6.9600       140
     6.9800       136
     7.0000       144
     7.0200       146
     7.0400       158
     7.0600       144
     7.0800       144
     7.1000       156
     7.1200       126
     7.1400       154
     7.1600       136
     7.1800       136
     7.2000       128
     7.2200       126
     7.2400       150
     7.2600       132
     7.2800       136
     7.3000       138
     7.3200       132
     7.3400       150
     7.3600       160
     7.3800       132
     7.4000       158
     7.4200       136
     7.4400       156
     7.4600       130
     7.4800       130
     7.5000       136
     7.5200       142
     7.5400       150
     7.5600       126
     7.5800       114
     7.6000       130
     7.6200       134
     7.6400       120
     7.6600       122
     7.6800       110
     7.7000       120
     7.7200       162
     7.7400       136
     7.7600       118
     7.7800       122
     7.8000       140
     7.8200       120
     7.8400       140
     7.8600       126
     7.8800       132
     7.9000       132
     7.9200       124
     7.9400       120
     7.9600       124
     7.9800       122
     8.0000       128
     8.0200       116
     8.0400       136
     8.0600       146
     8.0800       148
     8.1000       132
     8.1200       132
     8.1400       122
     8.1600       142
     8.1800       114
     8.2000       132
     8.2200       158
     8.2400       140
     8.2600       102
     8.2800       146
     8.3000       112
     8.3200       148
     8.3400       124
     8.3600       120
     8.3800       144
     8.4000       124
     8.4200       122
     8.4400       144
     8.4600       132
     8.4800       142
     8.5000       142
     8.5200       142
     8.5400       138
     8.5600       138
     8.5800       136
     8.6000       116
     8.6200       140
     8.6400       142
     8.6600       176
     8.6800       124
     8.7000       144
     8.7200       144
     8.7400       146
     8.7600       158
     8.7800       148
     8.8000       142
     8.8200       134
     8.8400       154
     8.8600       104
     8.8800       112
     8.9000       122
     8.9200       148
     8.9400       124
     8.9600       152
     8.9800       140
     9.0000       144
     9.0200       148
     9.0400       122
     9.0600       150
     9.0800       146
     9.1000       124
     9.1200       150
     9.1400       156
     9.1600       140
     9.1800       152
     9.2000       156
     9.2200       144
     9.2400       152
     9.2600       148
     9.2800       154
     9.3000       154
     9.3200       174
     9.3400       130
     9.3600       176
     9.3800       172
     9.4000       188
     9.4200       200
     9.4400       198
     9.4600       212
     9.4800       238
     9.5000       240
     9.5200       246
     9.5400       256
     9.5600       274
     9.5800       298
     9.6000       290
     9.6200       326
     9.6400       334
     9.6600       384
     9.6800       398
     9.7000       430
     9.7200       492
     9.7400       536
     9.7600       606
     9.7800       642
     9.8000       718
     9.8200       684
     9.8400       690
     9.8600       542
