USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Brick GDS347 Paving Tan      W1R1Fa AREF
copy of sprlf02a r 1202                                     
       0.350000       0.047367       0.000000
       0.351000       0.047367       0.000000
       0.352000       0.047367       0.000000
       0.353000       0.047340       0.000000
       0.354000       0.047301       0.000000
       0.355000       0.047261       0.000000
       0.356000       0.047220       0.000000
       0.357000       0.047177       0.000000
       0.358000       0.047132       0.000000
       0.359000       0.047084       0.000000
       0.360000       0.047032       0.000000
       0.361000       0.046973       0.000000
       0.362000       0.046908       0.000000
       0.363000       0.046843       0.000000
       0.364000       0.046791       0.000000
       0.365000       0.046764       0.000000
       0.366000       0.046753       0.000000
       0.367000       0.046734       0.000000
       0.368000       0.046689       0.000000
       0.369000       0.046634       0.000000
       0.370000       0.046603       0.000000
       0.371000       0.046629       0.000000
       0.372000       0.046707       0.000000
       0.373000       0.046809       0.000000
       0.374000       0.046908       0.000000
       0.375000       0.046991       0.000000
       0.376000       0.047050       0.000000
       0.377000       0.047079       0.000000
       0.378000       0.047094       0.000000
       0.379000       0.047123       0.000000
       0.380000       0.047190       0.000000
       0.381000       0.047288       0.000000
       0.382000       0.047393       0.000000
       0.383000       0.047480       0.000000
       0.384000       0.047547       0.000000
       0.385000       0.047601       0.000000
       0.386000       0.047650       0.000000
       0.387000       0.047702       0.000000
       0.388000       0.047768       0.000000
       0.389000       0.047856       0.000000
       0.390000       0.047968       0.000000
       0.391000       0.048103       0.000000
       0.392000       0.048258       0.000000
       0.393000       0.048417       0.000000
       0.394000       0.048550       0.000000
       0.395000       0.048635       0.000000
       0.396000       0.048688       0.000000
       0.397000       0.048751       0.000000
       0.398000       0.048859       0.000000
       0.399000       0.049006       0.000000
       0.400000       0.049158       0.000000
       0.401000       0.049285       0.000000
       0.402000       0.049388       0.000000
       0.403000       0.049486       0.000000
       0.404000       0.049595       0.000000
       0.405000       0.049718       0.000000
       0.406000       0.049845       0.000000
       0.407000       0.049969       0.000000
       0.408000       0.050086       0.000000
       0.409000       0.050193       0.000000
       0.410000       0.050290       0.000000
       0.411000       0.050389       0.000000
       0.412000       0.050511       0.000000
       0.413000       0.050674       0.000000
       0.414000       0.050866       0.000000
       0.415000       0.051057       0.000000
       0.416000       0.051218       0.000000
       0.417000       0.051357       0.000000
       0.418000       0.051497       0.000000
       0.419000       0.051663       0.000000
       0.420000       0.051856       0.000000
       0.421000       0.052061       0.000000
       0.422000       0.052269       0.000000
       0.423000       0.052480       0.000000
       0.424000       0.052703       0.000000
       0.425000       0.052947       0.000000
       0.426000       0.053214       0.000000
       0.427000       0.053498       0.000000
       0.428000       0.053798       0.000000
       0.429000       0.054110       0.000000
       0.430000       0.054432       0.000000
       0.431000       0.054764       0.000000
       0.432000       0.055107       0.000000
       0.433000       0.055467       0.000000
       0.434000       0.055848       0.000000
       0.435000       0.056244       0.000000
       0.436000       0.056648       0.000000
       0.437000       0.057050       0.000000
       0.438000       0.057449       0.000000
       0.439000       0.057845       0.000000
       0.440000       0.058240       0.000000
       0.441000       0.058631       0.000000
       0.442000       0.059015       0.000000
       0.443000       0.059388       0.000000
       0.444000       0.059747       0.000000
       0.445000       0.060090       0.000000
       0.446000       0.060413       0.000000
       0.447000       0.060714       0.000000
       0.448000       0.060991       0.000000
       0.449000       0.061243       0.000000
       0.450000       0.061470       0.000000
       0.451000       0.061677       0.000000
       0.452000       0.061868       0.000000
       0.453000       0.062041       0.000000
       0.454000       0.062194       0.000000
       0.455000       0.062325       0.000000
       0.456000       0.062439       0.000000
       0.457000       0.062544       0.000000
       0.458000       0.062647       0.000000
       0.459000       0.062750       0.000000
       0.460000       0.062851       0.000000
       0.461000       0.062947       0.000000
       0.462000       0.063041       0.000000
       0.463000       0.063134       0.000000
       0.464000       0.063231       0.000000
       0.465000       0.063331       0.000000
       0.466000       0.063431       0.000000
       0.467000       0.063529       0.000000
       0.468000       0.063627       0.000000
       0.469000       0.063729       0.000000
       0.470000       0.063838       0.000000
       0.471000       0.063954       0.000000
       0.472000       0.064070       0.000000
       0.473000       0.064185       0.000000
       0.474000       0.064302       0.000000
       0.475000       0.064426       0.000000
       0.476000       0.064565       0.000000
       0.477000       0.064715       0.000000
       0.478000       0.064869       0.000000
       0.479000       0.065021       0.000000
       0.480000       0.065172       0.000000
       0.481000       0.065331       0.000000
       0.482000       0.065506       0.000000
       0.483000       0.065699       0.000000
       0.484000       0.065906       0.000000
       0.485000       0.066126       0.000000
       0.486000       0.066357       0.000000
       0.487000       0.066597       0.000000
       0.488000       0.066846       0.000000
       0.489000       0.067104       0.000000
       0.490000       0.067376       0.000000
       0.491000       0.067663       0.000000
       0.492000       0.067967       0.000000
       0.493000       0.068286       0.000000
       0.494000       0.068621       0.000000
       0.495000       0.068969       0.000000
       0.496000       0.069327       0.000000
       0.497000       0.069694       0.000000
       0.498000       0.070070       0.000000
       0.499000       0.070460       0.000000
       0.500000       0.070866       0.000000
       0.501000       0.071287       0.000000
       0.502000       0.071715       0.000000
       0.503000       0.072147       0.000000
       0.504000       0.072583       0.000000
       0.505000       0.073026       0.000000
       0.506000       0.073481       0.000000
       0.507000       0.073946       0.000000
       0.508000       0.074416       0.000000
       0.509000       0.074889       0.000000
       0.510000       0.075365       0.000000
       0.511000       0.075848       0.000000
       0.512000       0.076342       0.000000
       0.513000       0.076846       0.000000
       0.514000       0.077359       0.000000
       0.515000       0.077878       0.000000
       0.516000       0.078404       0.000000
       0.517000       0.078935       0.000000
       0.518000       0.079472       0.000000
       0.519000       0.080016       0.000000
       0.520000       0.080567       0.000000
       0.521000       0.081128       0.000000
       0.522000       0.081697       0.000000
       0.523000       0.082273       0.000000
       0.524000       0.082854       0.000000
       0.525000       0.083440       0.000000
       0.526000       0.084030       0.000000
       0.527000       0.084626       0.000000
       0.528000       0.085228       0.000000
       0.529000       0.085838       0.000000
       0.530000       0.086456       0.000000
       0.531000       0.087082       0.000000
       0.532000       0.087715       0.000000
       0.533000       0.088356       0.000000
       0.534000       0.089003       0.000000
       0.535000       0.089658       0.000000
       0.536000       0.090321       0.000000
       0.537000       0.090992       0.000000
       0.538000       0.091671       0.000000
       0.539000       0.092357       0.000000
       0.540000       0.093051       0.000000
       0.541000       0.093756       0.000000
       0.542000       0.094472       0.000000
       0.543000       0.095203       0.000000
       0.544000       0.095951       0.000000
       0.545000       0.096716       0.000000
       0.546000       0.097500       0.000000
       0.547000       0.098302       0.000000
       0.548000       0.099121       0.000000
       0.549000       0.099961       0.000000
       0.550000       0.100825       0.000000
       0.551000       0.101718       0.000000
       0.552000       0.102642       0.000000
       0.553000       0.103597       0.000000
       0.554000       0.104585       0.000000
       0.555000       0.105606       0.000000
       0.556000       0.106663       0.000000
       0.557000       0.107758       0.000000
       0.558000       0.108890       0.000000
       0.559000       0.110061       0.000000
       0.560000       0.111269       0.000000
       0.561000       0.112515       0.000000
       0.562000       0.113795       0.000000
       0.563000       0.115109       0.000000
       0.564000       0.116455       0.000000
       0.565000       0.117828       0.000000
       0.566000       0.119226       0.000000
       0.567000       0.120647       0.000000
       0.568000       0.122088       0.000000
       0.569000       0.123546       0.000000
       0.570000       0.125018       0.000000
       0.571000       0.126498       0.000000
       0.572000       0.127980       0.000000
       0.573000       0.129460       0.000000
       0.574000       0.130933       0.000000
       0.575000       0.132397       0.000000
       0.576000       0.133847       0.000000
       0.577000       0.135278       0.000000
       0.578000       0.136685       0.000000
       0.579000       0.138063       0.000000
       0.580000       0.139409       0.000000
       0.581000       0.140717       0.000000
       0.582000       0.141986       0.000000
       0.583000       0.143217       0.000000
       0.584000       0.144409       0.000000
       0.585000       0.145561       0.000000
       0.586000       0.146674       0.000000
       0.587000       0.147745       0.000000
       0.588000       0.148773       0.000000
       0.589000       0.149755       0.000000
       0.590000       0.150691       0.000000
       0.591000       0.151580       0.000000
       0.592000       0.152427       0.000000
       0.593000       0.153233       0.000000
       0.594000       0.153998       0.000000
       0.595000       0.154721       0.000000
       0.596000       0.155399       0.000000
       0.597000       0.156035       0.000000
       0.598000       0.156632       0.000000
       0.599000       0.157194       0.000000
       0.600000       0.157724       0.000000
       0.601000       0.158223       0.000000
       0.602000       0.158692       0.000000
       0.603000       0.159132       0.000000
       0.604000       0.159544       0.000000
       0.605000       0.159930       0.000000
       0.606000       0.160291       0.000000
       0.607000       0.160633       0.000000
       0.608000       0.160957       0.000000
       0.609000       0.161264       0.000000
       0.610000       0.161552       0.000000
       0.611000       0.161818       0.000000
       0.612000       0.162063       0.000000
       0.613000       0.162290       0.000000
       0.614000       0.162500       0.000000
       0.615000       0.162695       0.000000
       0.616000       0.162873       0.000000
       0.617000       0.163036       0.000000
       0.618000       0.163184       0.000000
       0.619000       0.163321       0.000000
       0.620000       0.163450       0.000000
       0.621000       0.163575       0.000000
       0.622000       0.163696       0.000000
       0.623000       0.163815       0.000000
       0.624000       0.163931       0.000000
       0.625000       0.164044       0.000000
       0.626000       0.164151       0.000000
       0.627000       0.164251       0.000000
       0.628000       0.164342       0.000000
       0.629000       0.164423       0.000000
       0.630000       0.164494       0.000000
       0.631000       0.164556       0.000000
       0.632000       0.164610       0.000000
       0.633000       0.164659       0.000000
       0.634000       0.164706       0.000000
       0.635000       0.164755       0.000000
       0.636000       0.164805       0.000000
       0.637000       0.164856       0.000000
       0.638000       0.164909       0.000000
       0.639000       0.164962       0.000000
       0.640000       0.165017       0.000000
       0.641000       0.165074       0.000000
       0.642000       0.165131       0.000000
       0.643000       0.165190       0.000000
       0.644000       0.165250       0.000000
       0.645000       0.165312       0.000000
       0.646000       0.165378       0.000000
       0.647000       0.165450       0.000000
       0.648000       0.165526       0.000000
       0.649000       0.165604       0.000000
       0.650000       0.165683       0.000000
       0.651000       0.165762       0.000000
       0.652000       0.165840       0.000000
       0.653000       0.165918       0.000000
       0.654000       0.165996       0.000000
       0.655000       0.166074       0.000000
       0.656000       0.166152       0.000000
       0.657000       0.166232       0.000000
       0.658000       0.166314       0.000000
       0.659000       0.166401       0.000000
       0.660000       0.166492       0.000000
       0.661000       0.166587       0.000000
       0.662000       0.166685       0.000000
       0.663000       0.166785       0.000000
       0.664000       0.166887       0.000000
       0.665000       0.166991       0.000000
       0.666000       0.167094       0.000000
       0.667000       0.167196       0.000000
       0.668000       0.167296       0.000000
       0.669000       0.167396       0.000000
       0.670000       0.167497       0.000000
       0.671000       0.167603       0.000000
       0.672000       0.167714       0.000000
       0.673000       0.167826       0.000000
       0.674000       0.167939       0.000000
       0.675000       0.168053       0.000000
       0.676000       0.168168       0.000000
       0.677000       0.168286       0.000000
       0.678000       0.168407       0.000000
       0.679000       0.168529       0.000000
       0.680000       0.168652       0.000000
       0.681000       0.168777       0.000000
       0.682000       0.168905       0.000000
       0.683000       0.169038       0.000000
       0.684000       0.169176       0.000000
       0.685000       0.169316       0.000000
       0.686000       0.169455       0.000000
       0.687000       0.169593       0.000000
       0.688000       0.169729       0.000000
       0.689000       0.169865       0.000000
       0.690000       0.170000       0.000000
       0.691000       0.170136       0.000000
       0.692000       0.170274       0.000000
       0.693000       0.170415       0.000000
       0.694000       0.170558       0.000000
       0.695000       0.170705       0.000000
       0.696000       0.170852       0.000000
       0.697000       0.170998       0.000000
       0.698000       0.171140       0.000000
       0.699000       0.171278       0.000000
       0.700000       0.171415       0.000000
       0.701000       0.171554       0.000000
       0.702000       0.171694       0.000000
       0.703000       0.171834       0.000000
       0.704000       0.171974       0.000000
       0.705000       0.172112       0.000000
       0.706000       0.172247       0.000000
       0.707000       0.172380       0.000000
       0.708000       0.172510       0.000000
       0.709000       0.172640       0.000000
       0.710000       0.172771       0.000000
       0.711000       0.172901       0.000000
       0.712000       0.173030       0.000000
       0.713000       0.173155       0.000000
       0.714000       0.173276       0.000000
       0.715000       0.173394       0.000000
       0.716000       0.173512       0.000000
       0.717000       0.173629       0.000000
       0.718000       0.173743       0.000000
       0.719000       0.173853       0.000000
       0.720000       0.173957       0.000000
       0.721000       0.174057       0.000000
       0.722000       0.174153       0.000000
       0.723000       0.174244       0.000000
       0.724000       0.174333       0.000000
       0.725000       0.174421       0.000000
       0.726000       0.174507       0.000000
       0.727000       0.174588       0.000000
       0.728000       0.174662       0.000000
       0.729000       0.174732       0.000000
       0.730000       0.174799       0.000000
       0.731000       0.174867       0.000000
       0.732000       0.174935       0.000000
       0.733000       0.174998       0.000000
       0.734000       0.175054       0.000000
       0.735000       0.175102       0.000000
       0.736000       0.175146       0.000000
       0.737000       0.175188       0.000000
       0.738000       0.175229       0.000000
       0.739000       0.175267       0.000000
       0.740000       0.175303       0.000000
       0.741000       0.175336       0.000000
       0.742000       0.175367       0.000000
       0.743000       0.175399       0.000000
       0.744000       0.175430       0.000000
       0.745000       0.175456       0.000000
       0.746000       0.175477       0.000000
       0.747000       0.175493       0.000000
       0.748000       0.175505       0.000000
       0.749000       0.175514       0.000000
       0.750000       0.175520       0.000000
       0.751000       0.175520       0.000000
       0.752000       0.175511       0.000000
       0.753000       0.175496       0.000000
       0.754000       0.175478       0.000000
       0.755000       0.175461       0.000000
       0.756000       0.175445       0.000000
       0.757000       0.175426       0.000000
       0.758000       0.175403       0.000000
       0.759000       0.175375       0.000000
       0.760000       0.175343       0.000000
       0.761000       0.175311       0.000000
       0.762000       0.175277       0.000000
       0.763000       0.175242       0.000000
       0.764000       0.175204       0.000000
       0.765000       0.175162       0.000000
       0.766000       0.175113       0.000000
       0.767000       0.175056       0.000000
       0.768000       0.174992       0.000000
       0.769000       0.174927       0.000000
       0.770000       0.174866       0.000000
       0.771000       0.174807       0.000000
       0.772000       0.174749       0.000000
       0.773000       0.174689       0.000000
       0.774000       0.174627       0.000000
       0.775000       0.174562       0.000000
       0.776000       0.174496       0.000000
       0.777000       0.174428       0.000000
       0.778000       0.174357       0.000000
       0.779000       0.174282       0.000000
       0.780000       0.174204       0.000000
       0.781000       0.174120       0.000000
       0.782000       0.174032       0.000000
       0.783000       0.173940       0.000000
       0.784000       0.173849       0.000000
       0.785000       0.173759       0.000000
       0.786000       0.173671       0.000000
       0.787000       0.173584       0.000000
       0.788000       0.173495       0.000000
       0.789000       0.173404       0.000000
       0.790000       0.173312       0.000000
       0.791000       0.173218       0.000000
       0.792000       0.173122       0.000000
       0.793000       0.173025       0.000000
       0.794000       0.172926       0.000000
       0.795000       0.172826       0.000000
       0.796000       0.172725       0.000000
       0.797000       0.172625       0.000000
       0.798000       0.172526       0.000000
       0.799000       0.172427       0.000000
       0.800000       0.172326       0.000000
       0.801000       0.172225       0.000000
       0.802000       0.172122       0.000000
       0.803000       0.172019       0.000000
       0.804000       0.171914       0.000000
       0.805000       0.171809       0.000000
