USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cedar_Shake GDS359 MedWeathr W1R1Fa AREF
copy of sprlf02a r 938                                      
       0.350000       0.042202       0.000000
       0.351000       0.042202       0.000000
       0.352000       0.042202       0.000000
       0.353000       0.042143       0.000000
       0.354000       0.042079       0.000000
       0.355000       0.042067       0.000000
       0.356000       0.042130       0.000000
       0.357000       0.042228       0.000000
       0.358000       0.042285       0.000000
       0.359000       0.042232       0.000000
       0.360000       0.042099       0.000000
       0.361000       0.041975       0.000000
       0.362000       0.041942       0.000000
       0.363000       0.041995       0.000000
       0.364000       0.042080       0.000000
       0.365000       0.042148       0.000000
       0.366000       0.042195       0.000000
       0.367000       0.042241       0.000000
       0.368000       0.042308       0.000000
       0.369000       0.042393       0.000000
       0.370000       0.042482       0.000000
       0.371000       0.042559       0.000000
       0.372000       0.042634       0.000000
       0.373000       0.042724       0.000000
       0.374000       0.042846       0.000000
       0.375000       0.042995       0.000000
       0.376000       0.043149       0.000000
       0.377000       0.043291       0.000000
       0.378000       0.043414       0.000000
       0.379000       0.043522       0.000000
       0.380000       0.043620       0.000000
       0.381000       0.043720       0.000000
       0.382000       0.043841       0.000000
       0.383000       0.043999       0.000000
       0.384000       0.044184       0.000000
       0.385000       0.044370       0.000000
       0.386000       0.044534       0.000000
       0.387000       0.044674       0.000000
       0.388000       0.044798       0.000000
       0.389000       0.044915       0.000000
       0.390000       0.045041       0.000000
       0.391000       0.045195       0.000000
       0.392000       0.045392       0.000000
       0.393000       0.045616       0.000000
       0.394000       0.045831       0.000000
       0.395000       0.046005       0.000000
       0.396000       0.046154       0.000000
       0.397000       0.046318       0.000000
       0.398000       0.046533       0.000000
       0.399000       0.046783       0.000000
       0.400000       0.047018       0.000000
       0.401000       0.047196       0.000000
       0.402000       0.047329       0.000000
       0.403000       0.047465       0.000000
       0.404000       0.047648       0.000000
       0.405000       0.047874       0.000000
       0.406000       0.048111       0.000000
       0.407000       0.048327       0.000000
       0.408000       0.048518       0.000000
       0.409000       0.048693       0.000000
       0.410000       0.048863       0.000000
       0.411000       0.049034       0.000000
       0.412000       0.049214       0.000000
       0.413000       0.049408       0.000000
       0.414000       0.049617       0.000000
       0.415000       0.049838       0.000000
       0.416000       0.050068       0.000000
       0.417000       0.050300       0.000000
       0.418000       0.050527       0.000000
       0.419000       0.050742       0.000000
       0.420000       0.050948       0.000000
       0.421000       0.051155       0.000000
       0.422000       0.051371       0.000000
       0.423000       0.051595       0.000000
       0.424000       0.051823       0.000000
       0.425000       0.052052       0.000000
       0.426000       0.052281       0.000000
       0.427000       0.052511       0.000000
       0.428000       0.052745       0.000000
       0.429000       0.052984       0.000000
       0.430000       0.053226       0.000000
       0.431000       0.053470       0.000000
       0.432000       0.053714       0.000000
       0.433000       0.053956       0.000000
       0.434000       0.054193       0.000000
       0.435000       0.054427       0.000000
       0.436000       0.054664       0.000000
       0.437000       0.054907       0.000000
       0.438000       0.055159       0.000000
       0.439000       0.055421       0.000000
       0.440000       0.055695       0.000000
       0.441000       0.055973       0.000000
       0.442000       0.056245       0.000000
       0.443000       0.056503       0.000000
       0.444000       0.056750       0.000000
       0.445000       0.056997       0.000000
       0.446000       0.057254       0.000000
       0.447000       0.057521       0.000000
       0.448000       0.057793       0.000000
       0.449000       0.058063       0.000000
       0.450000       0.058329       0.000000
       0.451000       0.058593       0.000000
       0.452000       0.058855       0.000000
       0.453000       0.059118       0.000000
       0.454000       0.059386       0.000000
       0.455000       0.059662       0.000000
       0.456000       0.059945       0.000000
       0.457000       0.060227       0.000000
       0.458000       0.060504       0.000000
       0.459000       0.060775       0.000000
       0.460000       0.061043       0.000000
       0.461000       0.061313       0.000000
       0.462000       0.061585       0.000000
       0.463000       0.061858       0.000000
       0.464000       0.062134       0.000000
       0.465000       0.062411       0.000000
       0.466000       0.062691       0.000000
       0.467000       0.062971       0.000000
       0.468000       0.063252       0.000000
       0.469000       0.063532       0.000000
       0.470000       0.063811       0.000000
       0.471000       0.064088       0.000000
       0.472000       0.064364       0.000000
       0.473000       0.064641       0.000000
       0.474000       0.064920       0.000000
       0.475000       0.065201       0.000000
       0.476000       0.065484       0.000000
       0.477000       0.065771       0.000000
       0.478000       0.066060       0.000000
       0.479000       0.066351       0.000000
       0.480000       0.066645       0.000000
       0.481000       0.066943       0.000000
       0.482000       0.067247       0.000000
       0.483000       0.067553       0.000000
       0.484000       0.067853       0.000000
       0.485000       0.068142       0.000000
       0.486000       0.068423       0.000000
       0.487000       0.068708       0.000000
       0.488000       0.069006       0.000000
       0.489000       0.069316       0.000000
       0.490000       0.069628       0.000000
       0.491000       0.069933       0.000000
       0.492000       0.070233       0.000000
       0.493000       0.070532       0.000000
       0.494000       0.070835       0.000000
       0.495000       0.071143       0.000000
       0.496000       0.071453       0.000000
       0.497000       0.071763       0.000000
       0.498000       0.072071       0.000000
       0.499000       0.072379       0.000000
       0.500000       0.072687       0.000000
       0.501000       0.072996       0.000000
       0.502000       0.073308       0.000000
       0.503000       0.073624       0.000000
       0.504000       0.073944       0.000000
       0.505000       0.074265       0.000000
       0.506000       0.074586       0.000000
       0.507000       0.074906       0.000000
       0.508000       0.075226       0.000000
       0.509000       0.075547       0.000000
       0.510000       0.075867       0.000000
       0.511000       0.076185       0.000000
       0.512000       0.076502       0.000000
       0.513000       0.076818       0.000000
       0.514000       0.077138       0.000000
       0.515000       0.077467       0.000000
       0.516000       0.077802       0.000000
       0.517000       0.078137       0.000000
       0.518000       0.078467       0.000000
       0.519000       0.078792       0.000000
       0.520000       0.079115       0.000000
       0.521000       0.079439       0.000000
       0.522000       0.079767       0.000000
       0.523000       0.080099       0.000000
       0.524000       0.080433       0.000000
       0.525000       0.080770       0.000000
       0.526000       0.081105       0.000000
       0.527000       0.081438       0.000000
       0.528000       0.081769       0.000000
       0.529000       0.082104       0.000000
       0.530000       0.082445       0.000000
       0.531000       0.082793       0.000000
       0.532000       0.083139       0.000000
       0.533000       0.083480       0.000000
       0.534000       0.083817       0.000000
       0.535000       0.084156       0.000000
       0.536000       0.084502       0.000000
       0.537000       0.084854       0.000000
       0.538000       0.085210       0.000000
       0.539000       0.085564       0.000000
       0.540000       0.085918       0.000000
       0.541000       0.086271       0.000000
       0.542000       0.086625       0.000000
       0.543000       0.086979       0.000000
       0.544000       0.087335       0.000000
       0.545000       0.087693       0.000000
       0.546000       0.088053       0.000000
       0.547000       0.088416       0.000000
       0.548000       0.088782       0.000000
       0.549000       0.089151       0.000000
       0.550000       0.089520       0.000000
       0.551000       0.089890       0.000000
       0.552000       0.090259       0.000000
       0.553000       0.090630       0.000000
       0.554000       0.091006       0.000000
       0.555000       0.091387       0.000000
       0.556000       0.091770       0.000000
       0.557000       0.092157       0.000000
       0.558000       0.092545       0.000000
       0.559000       0.092934       0.000000
       0.560000       0.093325       0.000000
       0.561000       0.093717       0.000000
       0.562000       0.094110       0.000000
       0.563000       0.094505       0.000000
       0.564000       0.094902       0.000000
       0.565000       0.095301       0.000000
       0.566000       0.095703       0.000000
       0.567000       0.096108       0.000000
       0.568000       0.096514       0.000000
       0.569000       0.096921       0.000000
       0.570000       0.097328       0.000000
       0.571000       0.097734       0.000000
       0.572000       0.098139       0.000000
       0.573000       0.098542       0.000000
       0.574000       0.098948       0.000000
       0.575000       0.099357       0.000000
       0.576000       0.099771       0.000000
       0.577000       0.100185       0.000000
       0.578000       0.100598       0.000000
       0.579000       0.101011       0.000000
       0.580000       0.101424       0.000000
       0.581000       0.101838       0.000000
       0.582000       0.102254       0.000000
       0.583000       0.102673       0.000000
       0.584000       0.103094       0.000000
       0.585000       0.103517       0.000000
       0.586000       0.103944       0.000000
       0.587000       0.104373       0.000000
       0.588000       0.104804       0.000000
       0.589000       0.105238       0.000000
       0.590000       0.105673       0.000000
       0.591000       0.106110       0.000000
       0.592000       0.106553       0.000000
       0.593000       0.107003       0.000000
       0.594000       0.107459       0.000000
       0.595000       0.107919       0.000000
       0.596000       0.108384       0.000000
       0.597000       0.108852       0.000000
       0.598000       0.109327       0.000000
       0.599000       0.109810       0.000000
       0.600000       0.110298       0.000000
       0.601000       0.110782       0.000000
       0.602000       0.111256       0.000000
       0.603000       0.111723       0.000000
       0.604000       0.112189       0.000000
       0.605000       0.112660       0.000000
       0.606000       0.113139       0.000000
       0.607000       0.113625       0.000000
       0.608000       0.114118       0.000000
       0.609000       0.114619       0.000000
       0.610000       0.115127       0.000000
       0.611000       0.115644       0.000000
       0.612000       0.116169       0.000000
       0.613000       0.116700       0.000000
       0.614000       0.117238       0.000000
       0.615000       0.117780       0.000000
       0.616000       0.118326       0.000000
       0.617000       0.118876       0.000000
       0.618000       0.119429       0.000000
       0.619000       0.119988       0.000000
       0.620000       0.120552       0.000000
       0.621000       0.121124       0.000000
       0.622000       0.121703       0.000000
       0.623000       0.122289       0.000000
       0.624000       0.122881       0.000000
       0.625000       0.123475       0.000000
       0.626000       0.124068       0.000000
       0.627000       0.124658       0.000000
       0.628000       0.125250       0.000000
       0.629000       0.125843       0.000000
       0.630000       0.126439       0.000000
       0.631000       0.127037       0.000000
       0.632000       0.127637       0.000000
       0.633000       0.128240       0.000000
       0.634000       0.128848       0.000000
       0.635000       0.129462       0.000000
       0.636000       0.130083       0.000000
       0.637000       0.130709       0.000000
       0.638000       0.131340       0.000000
       0.639000       0.131976       0.000000
       0.640000       0.132618       0.000000
       0.641000       0.133268       0.000000
       0.642000       0.133924       0.000000
       0.643000       0.134584       0.000000
       0.644000       0.135246       0.000000
       0.645000       0.135910       0.000000
       0.646000       0.136578       0.000000
       0.647000       0.137250       0.000000
       0.648000       0.137927       0.000000
       0.649000       0.138605       0.000000
       0.650000       0.139283       0.000000
       0.651000       0.139962       0.000000
       0.652000       0.140641       0.000000
       0.653000       0.141322       0.000000
       0.654000       0.142005       0.000000
       0.655000       0.142693       0.000000
       0.656000       0.143383       0.000000
       0.657000       0.144078       0.000000
       0.658000       0.144774       0.000000
       0.659000       0.145471       0.000000
       0.660000       0.146170       0.000000
       0.661000       0.146869       0.000000
       0.662000       0.147570       0.000000
       0.663000       0.148274       0.000000
       0.664000       0.148979       0.000000
       0.665000       0.149686       0.000000
       0.666000       0.150396       0.000000
       0.667000       0.151108       0.000000
       0.668000       0.151823       0.000000
       0.669000       0.152540       0.000000
       0.670000       0.153258       0.000000
       0.671000       0.153977       0.000000
       0.672000       0.154698       0.000000
       0.673000       0.155422       0.000000
       0.674000       0.156151       0.000000
       0.675000       0.156884       0.000000
       0.676000       0.157619       0.000000
       0.677000       0.158355       0.000000
       0.678000       0.159091       0.000000
       0.679000       0.159829       0.000000
       0.680000       0.160570       0.000000
       0.681000       0.161314       0.000000
       0.682000       0.162061       0.000000
       0.683000       0.162813       0.000000
       0.684000       0.163567       0.000000
       0.685000       0.164323       0.000000
       0.686000       0.165080       0.000000
       0.687000       0.165839       0.000000
       0.688000       0.166602       0.000000
       0.689000       0.167369       0.000000
       0.690000       0.168140       0.000000
       0.691000       0.168915       0.000000
       0.692000       0.169690       0.000000
       0.693000       0.170467       0.000000
       0.694000       0.171247       0.000000
       0.695000       0.172029       0.000000
       0.696000       0.172816       0.000000
       0.697000       0.173607       0.000000
       0.698000       0.174403       0.000000
       0.699000       0.175202       0.000000
       0.700000       0.176001       0.000000
       0.701000       0.176798       0.000000
       0.702000       0.177594       0.000000
       0.703000       0.178392       0.000000
       0.704000       0.179193       0.000000
       0.705000       0.180000       0.000000
       0.706000       0.180811       0.000000
       0.707000       0.181628       0.000000
       0.708000       0.182448       0.000000
       0.709000       0.183271       0.000000
       0.710000       0.184095       0.000000
       0.711000       0.184920       0.000000
       0.712000       0.185745       0.000000
       0.713000       0.186571       0.000000
       0.714000       0.187398       0.000000
       0.715000       0.188229       0.000000
       0.716000       0.189065       0.000000
       0.717000       0.189906       0.000000
       0.718000       0.190749       0.000000
       0.719000       0.191594       0.000000
       0.720000       0.192440       0.000000
       0.721000       0.193288       0.000000
       0.722000       0.194139       0.000000
       0.723000       0.194993       0.000000
       0.724000       0.195847       0.000000
       0.725000       0.196702       0.000000
       0.726000       0.197557       0.000000
       0.727000       0.198412       0.000000
       0.728000       0.199269       0.000000
       0.729000       0.200128       0.000000
       0.730000       0.200989       0.000000
       0.731000       0.201851       0.000000
       0.732000       0.202715       0.000000
       0.733000       0.203581       0.000000
       0.734000       0.204451       0.000000
       0.735000       0.205323       0.000000
       0.736000       0.206197       0.000000
       0.737000       0.207074       0.000000
       0.738000       0.207951       0.000000
       0.739000       0.208829       0.000000
       0.740000       0.209707       0.000000
       0.741000       0.210586       0.000000
       0.742000       0.211468       0.000000
       0.743000       0.212352       0.000000
       0.744000       0.213240       0.000000
       0.745000       0.214128       0.000000
       0.746000       0.215016       0.000000
       0.747000       0.215902       0.000000
       0.748000       0.216784       0.000000
       0.749000       0.217663       0.000000
       0.750000       0.218539       0.000000
       0.751000       0.219419       0.000000
       0.752000       0.220305       0.000000
       0.753000       0.221198       0.000000
       0.754000       0.222097       0.000000
       0.755000       0.223000       0.000000
       0.756000       0.223905       0.000000
       0.757000       0.224810       0.000000
       0.758000       0.225715       0.000000
       0.759000       0.226618       0.000000
       0.760000       0.227522       0.000000
       0.761000       0.228426       0.000000
       0.762000       0.229331       0.000000
       0.763000       0.230236       0.000000
       0.764000       0.231139       0.000000
       0.765000       0.232042       0.000000
       0.766000       0.232946       0.000000
       0.767000       0.233852       0.000000
       0.768000       0.234761       0.000000
       0.769000       0.235671       0.000000
       0.770000       0.236579       0.000000
       0.771000       0.237486       0.000000
       0.772000       0.238394       0.000000
       0.773000       0.239303       0.000000
       0.774000       0.240213       0.000000
       0.775000       0.241122       0.000000
       0.776000       0.242030       0.000000
       0.777000       0.242936       0.000000
       0.778000       0.243844       0.000000
       0.779000       0.244755       0.000000
       0.780000       0.245669       0.000000
       0.781000       0.246584       0.000000
       0.782000       0.247499       0.000000
       0.783000       0.248415       0.000000
       0.784000       0.249330       0.000000
       0.785000       0.250247       0.000000
       0.786000       0.251163       0.000000
       0.787000       0.252079       0.000000
       0.788000       0.252993       0.000000
       0.789000       0.253907       0.000000
       0.790000       0.254820       0.000000
       0.791000       0.255734       0.000000
       0.792000       0.256649       0.000000
       0.793000       0.257564       0.000000
       0.794000       0.258480       0.000000
       0.795000       0.259397       0.000000
       0.796000       0.260315       0.000000
       0.797000       0.261235       0.000000
       0.798000       0.262154       0.000000
       0.799000       0.263075       0.000000
       0.800000       0.263995       0.000000
       0.801000       0.264914       0.000000
       0.802000       0.265834       0.000000
       0.803000       0.266752       0.000000
       0.804000       0.267669       0.000000
       0.805000       0.268583       0.000000
