USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Fiberglass GDS337 Grn Roofng W1R1Fa AREF
copy of splib05a r 9979                                     
       0.350000       0.012162       0.000000
       0.351000       0.012162       0.000000
       0.352000       0.012076       0.000000
       0.353000       0.011991       0.000000
       0.354000       0.011907       0.000000
       0.355000       0.011829       0.000000
       0.356000       0.011772       0.000000
       0.357000       0.011754       0.000000
       0.358000       0.011783       0.000000
       0.359000       0.011828       0.000000
       0.360000       0.011849       0.000000
       0.361000       0.011818       0.000000
       0.362000       0.011756       0.000000
       0.363000       0.011696       0.000000
       0.364000       0.011665       0.000000
       0.365000       0.011666       0.000000
       0.366000       0.011693       0.000000
       0.367000       0.011738       0.000000
       0.368000       0.011788       0.000000
       0.369000       0.011823       0.000000
       0.370000       0.011834       0.000000
       0.371000       0.011831       0.000000
       0.372000       0.011832       0.000000
       0.373000       0.011850       0.000000
       0.374000       0.011883       0.000000
       0.375000       0.011926       0.000000
       0.376000       0.011973       0.000000
       0.377000       0.012025       0.000000
       0.378000       0.012083       0.000000
       0.379000       0.012147       0.000000
       0.380000       0.012210       0.000000
       0.381000       0.012265       0.000000
       0.382000       0.012307       0.000000
       0.383000       0.012340       0.000000
       0.384000       0.012375       0.000000
       0.385000       0.012417       0.000000
       0.386000       0.012467       0.000000
       0.387000       0.012526       0.000000
       0.388000       0.012590       0.000000
       0.389000       0.012650       0.000000
       0.390000       0.012693       0.000000
       0.391000       0.012713       0.000000
       0.392000       0.012724       0.000000
       0.393000       0.012746       0.000000
       0.394000       0.012792       0.000000
       0.395000       0.012858       0.000000
       0.396000       0.012934       0.000000
       0.397000       0.013009       0.000000
       0.398000       0.013079       0.000000
       0.399000       0.013139       0.000000
       0.400000       0.013189       0.000000
       0.401000       0.013238       0.000000
       0.402000       0.013302       0.000000
       0.403000       0.013390       0.000000
       0.404000       0.013489       0.000000
       0.405000       0.013584       0.000000
       0.406000       0.013663       0.000000
       0.407000       0.013731       0.000000
       0.408000       0.013797       0.000000
       0.409000       0.013869       0.000000
       0.410000       0.013949       0.000000
       0.411000       0.014035       0.000000
       0.412000       0.014128       0.000000
       0.413000       0.014227       0.000000
       0.414000       0.014331       0.000000
       0.415000       0.014441       0.000000
       0.416000       0.014559       0.000000
       0.417000       0.014687       0.000000
       0.418000       0.014828       0.000000
       0.419000       0.014979       0.000000
       0.420000       0.015139       0.000000
       0.421000       0.015305       0.000000
       0.422000       0.015483       0.000000
       0.423000       0.015675       0.000000
       0.424000       0.015884       0.000000
       0.425000       0.016108       0.000000
       0.426000       0.016343       0.000000
       0.427000       0.016588       0.000000
       0.428000       0.016844       0.000000
       0.429000       0.017119       0.000000
       0.430000       0.017416       0.000000
       0.431000       0.017737       0.000000
       0.432000       0.018082       0.000000
       0.433000       0.018451       0.000000
       0.434000       0.018841       0.000000
       0.435000       0.019247       0.000000
       0.436000       0.019667       0.000000
       0.437000       0.020105       0.000000
       0.438000       0.020570       0.000000
       0.439000       0.021069       0.000000
       0.440000       0.021605       0.000000
       0.441000       0.022184       0.000000
       0.442000       0.022811       0.000000
       0.443000       0.023497       0.000000
       0.444000       0.024253       0.000000
       0.445000       0.025093       0.000000
       0.446000       0.026022       0.000000
       0.447000       0.027047       0.000000
       0.448000       0.028176       0.000000
       0.449000       0.029410       0.000000
       0.450000       0.030752       0.000000
       0.451000       0.032206       0.000000
       0.452000       0.033780       0.000000
       0.453000       0.035480       0.000000
       0.454000       0.037319       0.000000
       0.455000       0.039325       0.000000
       0.456000       0.041526       0.000000
       0.457000       0.043951       0.000000
       0.458000       0.046627       0.000000
       0.459000       0.049575       0.000000
       0.460000       0.052818       0.000000
       0.461000       0.056362       0.000000
       0.462000       0.060212       0.000000
       0.463000       0.064366       0.000000
       0.464000       0.068808       0.000000
       0.465000       0.073513       0.000000
       0.466000       0.078459       0.000000
       0.467000       0.083621       0.000000
       0.468000       0.088971       0.000000
       0.469000       0.094484       0.000000
       0.470000       0.100137       0.000000
       0.471000       0.105907       0.000000
       0.472000       0.111772       0.000000
       0.473000       0.117708       0.000000
       0.474000       0.123693       0.000000
       0.475000       0.129706       0.000000
       0.476000       0.135740       0.000000
       0.477000       0.141792       0.000000
       0.478000       0.147855       0.000000
       0.479000       0.153909       0.000000
       0.480000       0.159928       0.000000
       0.481000       0.165884       0.000000
       0.482000       0.171739       0.000000
       0.483000       0.177452       0.000000
       0.484000       0.182985       0.000000
       0.485000       0.188313       0.000000
       0.486000       0.193413       0.000000
       0.487000       0.198264       0.000000
       0.488000       0.202848       0.000000
       0.489000       0.207148       0.000000
       0.490000       0.211149       0.000000
       0.491000       0.214842       0.000000
       0.492000       0.218222       0.000000
       0.493000       0.221284       0.000000
       0.494000       0.224031       0.000000
       0.495000       0.226467       0.000000
       0.496000       0.228596       0.000000
       0.497000       0.230431       0.000000
       0.498000       0.231983       0.000000
       0.499000       0.233266       0.000000
       0.500000       0.234295       0.000000
       0.501000       0.235088       0.000000
       0.502000       0.235661       0.000000
       0.503000       0.236032       0.000000
       0.504000       0.236216       0.000000
       0.505000       0.236231       0.000000
       0.506000       0.236088       0.000000
       0.507000       0.235797       0.000000
       0.508000       0.235368       0.000000
       0.509000       0.234810       0.000000
       0.510000       0.234129       0.000000
       0.511000       0.233331       0.000000
       0.512000       0.232424       0.000000
       0.513000       0.231411       0.000000
       0.514000       0.230298       0.000000
       0.515000       0.229086       0.000000
       0.516000       0.227775       0.000000
       0.517000       0.226364       0.000000
       0.518000       0.224855       0.000000
       0.519000       0.223247       0.000000
       0.520000       0.221541       0.000000
       0.521000       0.219738       0.000000
       0.522000       0.217838       0.000000
       0.523000       0.215840       0.000000
       0.524000       0.213746       0.000000
       0.525000       0.211554       0.000000
       0.526000       0.209263       0.000000
       0.527000       0.206873       0.000000
       0.528000       0.204381       0.000000
       0.529000       0.201787       0.000000
       0.530000       0.199088       0.000000
       0.531000       0.196283       0.000000
       0.532000       0.193369       0.000000
       0.533000       0.190346       0.000000
       0.534000       0.187213       0.000000
       0.535000       0.183968       0.000000
       0.536000       0.180611       0.000000
       0.537000       0.177140       0.000000
       0.538000       0.173555       0.000000
       0.539000       0.169860       0.000000
       0.540000       0.166056       0.000000
       0.541000       0.162147       0.000000
       0.542000       0.158140       0.000000
       0.543000       0.154037       0.000000
       0.544000       0.149845       0.000000
       0.545000       0.145574       0.000000
       0.546000       0.141234       0.000000
       0.547000       0.136835       0.000000
       0.548000       0.132392       0.000000
       0.549000       0.127917       0.000000
       0.550000       0.123423       0.000000
       0.551000       0.118926       0.000000
       0.552000       0.114436       0.000000
       0.553000       0.109967       0.000000
       0.554000       0.105532       0.000000
       0.555000       0.101146       0.000000
       0.556000       0.096820       0.000000
       0.557000       0.092565       0.000000
       0.558000       0.088391       0.000000
       0.559000       0.084307       0.000000
       0.560000       0.080317       0.000000
       0.561000       0.076427       0.000000
       0.562000       0.072640       0.000000
       0.563000       0.068962       0.000000
       0.564000       0.065395       0.000000
       0.565000       0.061945       0.000000
       0.566000       0.058613       0.000000
       0.567000       0.055403       0.000000
       0.568000       0.052318       0.000000
       0.569000       0.049356       0.000000
       0.570000       0.046518       0.000000
       0.571000       0.043804       0.000000
       0.572000       0.041216       0.000000
       0.573000       0.038754       0.000000
       0.574000       0.036420       0.000000
       0.575000       0.034213       0.000000
       0.576000       0.032133       0.000000
       0.577000       0.030177       0.000000
       0.578000       0.028344       0.000000
       0.579000       0.026629       0.000000
       0.580000       0.025029       0.000000
       0.581000       0.023544       0.000000
       0.582000       0.022172       0.000000
       0.583000       0.020913       0.000000
       0.584000       0.019759       0.000000
       0.585000       0.018706       0.000000
       0.586000       0.017746       0.000000
       0.587000       0.016876       0.000000
       0.588000       0.016093       0.000000
       0.589000       0.015395       0.000000
       0.590000       0.014775       0.000000
       0.591000       0.014231       0.000000
       0.592000       0.013756       0.000000
       0.593000       0.013344       0.000000
       0.594000       0.012986       0.000000
       0.595000       0.012676       0.000000
       0.596000       0.012407       0.000000
       0.597000       0.012175       0.000000
       0.598000       0.011974       0.000000
       0.599000       0.011799       0.000000
       0.600000       0.011647       0.000000
       0.601000       0.011512       0.000000
       0.602000       0.011393       0.000000
       0.603000       0.011286       0.000000
       0.604000       0.011190       0.000000
       0.605000       0.011102       0.000000
       0.606000       0.011021       0.000000
       0.607000       0.010946       0.000000
       0.608000       0.010875       0.000000
       0.609000       0.010809       0.000000
       0.610000       0.010748       0.000000
       0.611000       0.010691       0.000000
       0.612000       0.010638       0.000000
       0.613000       0.010588       0.000000
       0.614000       0.010540       0.000000
       0.615000       0.010494       0.000000
       0.616000       0.010450       0.000000
       0.617000       0.010410       0.000000
       0.618000       0.010373       0.000000
       0.619000       0.010343       0.000000
       0.620000       0.010318       0.000000
       0.621000       0.010297       0.000000
       0.622000       0.010278       0.000000
       0.623000       0.010261       0.000000
       0.624000       0.010247       0.000000
       0.625000       0.010236       0.000000
       0.626000       0.010227       0.000000
       0.627000       0.010221       0.000000
       0.628000       0.010218       0.000000
       0.629000       0.010216       0.000000
       0.630000       0.010215       0.000000
       0.631000       0.010214       0.000000
       0.632000       0.010214       0.000000
       0.633000       0.010216       0.000000
       0.634000       0.010220       0.000000
       0.635000       0.010226       0.000000
       0.636000       0.010233       0.000000
       0.637000       0.010241       0.000000
       0.638000       0.010251       0.000000
       0.639000       0.010262       0.000000
       0.640000       0.010274       0.000000
       0.641000       0.010288       0.000000
       0.642000       0.010303       0.000000
       0.643000       0.010320       0.000000
       0.644000       0.010339       0.000000
       0.645000       0.010359       0.000000
       0.646000       0.010382       0.000000
       0.647000       0.010406       0.000000
       0.648000       0.010431       0.000000
       0.649000       0.010456       0.000000
       0.650000       0.010482       0.000000
       0.651000       0.010509       0.000000
       0.652000       0.010536       0.000000
       0.653000       0.010565       0.000000
       0.654000       0.010596       0.000000
       0.655000       0.010627       0.000000
       0.656000       0.010661       0.000000
       0.657000       0.010695       0.000000
       0.658000       0.010732       0.000000
       0.659000       0.010770       0.000000
       0.660000       0.010808       0.000000
       0.661000       0.010847       0.000000
       0.662000       0.010885       0.000000
       0.663000       0.010924       0.000000
       0.664000       0.010963       0.000000
       0.665000       0.011001       0.000000
       0.666000       0.011040       0.000000
       0.667000       0.011078       0.000000
       0.668000       0.011116       0.000000
       0.669000       0.011153       0.000000
       0.670000       0.011189       0.000000
       0.671000       0.011226       0.000000
       0.672000       0.011262       0.000000
       0.673000       0.011298       0.000000
       0.674000       0.011334       0.000000
       0.675000       0.011369       0.000000
       0.676000       0.011404       0.000000
       0.677000       0.011439       0.000000
       0.678000       0.011474       0.000000
       0.679000       0.011510       0.000000
       0.680000       0.011547       0.000000
       0.681000       0.011584       0.000000
       0.682000       0.011621       0.000000
       0.683000       0.011659       0.000000
       0.684000       0.011696       0.000000
       0.685000       0.011733       0.000000
       0.686000       0.011770       0.000000
       0.687000       0.011808       0.000000
       0.688000       0.011846       0.000000
       0.689000       0.011883       0.000000
       0.690000       0.011920       0.000000
       0.691000       0.011957       0.000000
       0.692000       0.011992       0.000000
       0.693000       0.012026       0.000000
       0.694000       0.012059       0.000000
       0.695000       0.012090       0.000000
       0.696000       0.012121       0.000000
       0.697000       0.012151       0.000000
       0.698000       0.012179       0.000000
       0.699000       0.012205       0.000000
       0.700000       0.012228       0.000000
       0.701000       0.012247       0.000000
       0.702000       0.012262       0.000000
       0.703000       0.012270       0.000000
       0.704000       0.012273       0.000000
       0.705000       0.012272       0.000000
       0.706000       0.012267       0.000000
       0.707000       0.012258       0.000000
       0.708000       0.012246       0.000000
       0.709000       0.012230       0.000000
       0.710000       0.012210       0.000000
       0.711000       0.012186       0.000000
       0.712000       0.012156       0.000000
       0.713000       0.012124       0.000000
       0.714000       0.012092       0.000000
       0.715000       0.012063       0.000000
       0.716000       0.012036       0.000000
       0.717000       0.012013       0.000000
       0.718000       0.011993       0.000000
       0.719000       0.011977       0.000000
       0.720000       0.011967       0.000000
       0.721000       0.011964       0.000000
       0.722000       0.011969       0.000000
       0.723000       0.011983       0.000000
       0.724000       0.012007       0.000000
       0.725000       0.012040       0.000000
       0.726000       0.012081       0.000000
       0.727000       0.012129       0.000000
       0.728000       0.012185       0.000000
       0.729000       0.012250       0.000000
       0.730000       0.012323       0.000000
       0.731000       0.012406       0.000000
       0.732000       0.012498       0.000000
       0.733000       0.012600       0.000000
       0.734000       0.012712       0.000000
       0.735000       0.012831       0.000000
       0.736000       0.012957       0.000000
       0.737000       0.013092       0.000000
       0.738000       0.013235       0.000000
       0.739000       0.013389       0.000000
       0.740000       0.013552       0.000000
       0.741000       0.013725       0.000000
       0.742000       0.013908       0.000000
       0.743000       0.014101       0.000000
       0.744000       0.014302       0.000000
       0.745000       0.014513       0.000000
       0.746000       0.014731       0.000000
       0.747000       0.014957       0.000000
       0.748000       0.015189       0.000000
       0.749000       0.015428       0.000000
       0.750000       0.015671       0.000000
       0.751000       0.015918       0.000000
       0.752000       0.016168       0.000000
       0.753000       0.016422       0.000000
       0.754000       0.016680       0.000000
       0.755000       0.016940       0.000000
       0.756000       0.017200       0.000000
       0.757000       0.017459       0.000000
       0.758000       0.017715       0.000000
       0.759000       0.017967       0.000000
       0.760000       0.018213       0.000000
       0.761000       0.018452       0.000000
       0.762000       0.018684       0.000000
       0.763000       0.018908       0.000000
       0.764000       0.019122       0.000000
       0.765000       0.019325       0.000000
       0.766000       0.019516       0.000000
       0.767000       0.019695       0.000000
       0.768000       0.019862       0.000000
       0.769000       0.020018       0.000000
       0.770000       0.020163       0.000000
       0.771000       0.020299       0.000000
       0.772000       0.020426       0.000000
       0.773000       0.020545       0.000000
       0.774000       0.020656       0.000000
       0.775000       0.020762       0.000000
       0.776000       0.020865       0.000000
       0.777000       0.020967       0.000000
       0.778000       0.021073       0.000000
       0.779000       0.021184       0.000000
       0.780000       0.021302       0.000000
       0.781000       0.021430       0.000000
       0.782000       0.021570       0.000000
       0.783000       0.021726       0.000000
       0.784000       0.021902       0.000000
       0.785000       0.022100       0.000000
       0.786000       0.022323       0.000000
       0.787000       0.022574       0.000000
       0.788000       0.022857       0.000000
       0.789000       0.023172       0.000000
       0.790000       0.023523       0.000000
       0.791000       0.023913       0.000000
       0.792000       0.024343       0.000000
       0.793000       0.024816       0.000000
       0.794000       0.025336       0.000000
       0.795000       0.025903       0.000000
       0.796000       0.026522       0.000000
       0.797000       0.027193       0.000000
       0.798000       0.027919       0.000000
       0.799000       0.028701       0.000000
       0.800000       0.029543       0.000000
       0.801000       0.030447       0.000000
       0.802000       0.031416       0.000000
       0.803000       0.032453       0.000000
       0.804000       0.033556       0.000000
       0.805000       0.034728       0.000000
