USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Nylon_Webbing GDS438 Flr Yel W1R1Fa AREF
copy of sprlf02a r 1340                                     
       0.350000       0.370209       0.000000
       0.351000       0.370209       0.000000
       0.352000       0.370209       0.000000
       0.353000       0.370128       0.000000
       0.354000       0.369892       0.000000
       0.355000       0.369357       0.000000
       0.356000       0.368369       0.000000
       0.357000       0.366982       0.000000
       0.358000       0.365375       0.000000
       0.359000       0.363715       0.000000
       0.360000       0.362009       0.000000
       0.361000       0.360173       0.000000
       0.362000       0.358125       0.000000
       0.363000       0.355808       0.000000
       0.364000       0.353180       0.000000
       0.365000       0.350206       0.000000
       0.366000       0.346950       0.000000
       0.367000       0.343528       0.000000
       0.368000       0.340046       0.000000
       0.369000       0.336470       0.000000
       0.370000       0.332686       0.000000
       0.371000       0.328592       0.000000
       0.372000       0.324208       0.000000
       0.373000       0.319628       0.000000
       0.374000       0.314938       0.000000
       0.375000       0.310148       0.000000
       0.376000       0.305219       0.000000
       0.377000       0.300117       0.000000
       0.378000       0.294872       0.000000
       0.379000       0.289544       0.000000
       0.380000       0.284194       0.000000
       0.381000       0.278823       0.000000
       0.382000       0.273400       0.000000
       0.383000       0.267899       0.000000
       0.384000       0.262324       0.000000
       0.385000       0.256700       0.000000
       0.386000       0.251053       0.000000
       0.387000       0.245421       0.000000
       0.388000       0.239851       0.000000
       0.389000       0.234385       0.000000
       0.390000       0.229026       0.000000
       0.391000       0.223756       0.000000
       0.392000       0.218554       0.000000
       0.393000       0.213406       0.000000
       0.394000       0.208301       0.000000
       0.395000       0.203231       0.000000
       0.396000       0.198216       0.000000
       0.397000       0.193291       0.000000
       0.398000       0.188490       0.000000
       0.399000       0.183810       0.000000
       0.400000       0.179228       0.000000
       0.401000       0.174721       0.000000
       0.402000       0.170284       0.000000
       0.403000       0.165921       0.000000
       0.404000       0.161636       0.000000
       0.405000       0.157459       0.000000
       0.406000       0.153434       0.000000
       0.407000       0.149597       0.000000
       0.408000       0.145933       0.000000
       0.409000       0.142395       0.000000
       0.410000       0.138938       0.000000
       0.411000       0.135570       0.000000
       0.412000       0.132323       0.000000
       0.413000       0.129229       0.000000
       0.414000       0.126287       0.000000
       0.415000       0.123474       0.000000
       0.416000       0.120769       0.000000
       0.417000       0.118159       0.000000
       0.418000       0.115633       0.000000
       0.419000       0.113182       0.000000
       0.420000       0.110809       0.000000
       0.421000       0.108524       0.000000
       0.422000       0.106333       0.000000
       0.423000       0.104232       0.000000
       0.424000       0.102208       0.000000
       0.425000       0.100248       0.000000
       0.426000       0.098356       0.000000
       0.427000       0.096543       0.000000
       0.428000       0.094820       0.000000
       0.429000       0.093178       0.000000
       0.430000       0.091599       0.000000
       0.431000       0.090066       0.000000
       0.432000       0.088594       0.000000
       0.433000       0.087217       0.000000
       0.434000       0.085966       0.000000
       0.435000       0.084847       0.000000
       0.436000       0.083846       0.000000
       0.437000       0.082955       0.000000
       0.438000       0.082171       0.000000
       0.439000       0.081499       0.000000
       0.440000       0.080943       0.000000
       0.441000       0.080500       0.000000
       0.442000       0.080164       0.000000
       0.443000       0.079928       0.000000
       0.444000       0.079789       0.000000
       0.445000       0.079745       0.000000
       0.446000       0.079796       0.000000
       0.447000       0.079936       0.000000
       0.448000       0.080156       0.000000
       0.449000       0.080449       0.000000
       0.450000       0.080807       0.000000
       0.451000       0.081224       0.000000
       0.452000       0.081694       0.000000
       0.453000       0.082227       0.000000
       0.454000       0.082843       0.000000
       0.455000       0.083559       0.000000
       0.456000       0.084388       0.000000
       0.457000       0.085334       0.000000
       0.458000       0.086407       0.000000
       0.459000       0.087629       0.000000
       0.460000       0.089031       0.000000
       0.461000       0.090648       0.000000
       0.462000       0.092516       0.000000
       0.463000       0.094676       0.000000
       0.464000       0.097168       0.000000
       0.465000       0.100021       0.000000
       0.466000       0.103258       0.000000
       0.467000       0.106904       0.000000
       0.468000       0.111017       0.000000
       0.469000       0.115675       0.000000
       0.470000       0.120952       0.000000
       0.471000       0.126904       0.000000
       0.472000       0.133571       0.000000
       0.473000       0.140995       0.000000
       0.474000       0.149222       0.000000
       0.475000       0.158295       0.000000
       0.476000       0.168266       0.000000
       0.477000       0.179201       0.000000
       0.478000       0.191182       0.000000
       0.479000       0.204291       0.000000
       0.480000       0.218589       0.000000
       0.481000       0.234128       0.000000
       0.482000       0.250959       0.000000
       0.483000       0.269096       0.000000
       0.484000       0.288537       0.000000
       0.485000       0.309275       0.000000
       0.486000       0.331294       0.000000
       0.487000       0.354569       0.000000
       0.488000       0.379070       0.000000
       0.489000       0.404702       0.000000
       0.490000       0.431329       0.000000
       0.491000       0.458816       0.000000
       0.492000       0.487010       0.000000
       0.493000       0.515748       0.000000
       0.494000       0.544863       0.000000
       0.495000       0.574132       0.000000
       0.496000       0.603298       0.000000
       0.497000       0.632109       0.000000
       0.498000       0.660338       0.000000
       0.499000       0.687776       0.000000
       0.500000       0.714217       0.000000
       0.501000       0.739480       0.000000
       0.502000       0.763396       0.000000
       0.503000       0.785808       0.000000
       0.504000       0.806616       0.000000
       0.505000       0.825765       0.000000
       0.506000       0.843203       0.000000
       0.507000       0.858914       0.000000
       0.508000       0.872905       0.000000
       0.509000       0.885191       0.000000
       0.510000       0.895828       0.000000
       0.511000       0.904904       0.000000
       0.512000       0.912503       0.000000
       0.513000       0.918711       0.000000
       0.514000       0.923611       0.000000
       0.515000       0.927286       0.000000
       0.516000       0.929824       0.000000
       0.517000       0.931317       0.000000
       0.518000       0.931854       0.000000
       0.519000       0.931520       0.000000
       0.520000       0.930394       0.000000
       0.521000       0.928555       0.000000
       0.522000       0.926077       0.000000
       0.523000       0.923028       0.000000
       0.524000       0.919474       0.000000
       0.525000       0.915478       0.000000
       0.526000       0.911096       0.000000
       0.527000       0.906386       0.000000
       0.528000       0.901392       0.000000
       0.529000       0.896155       0.000000
       0.530000       0.890713       0.000000
       0.531000       0.885109       0.000000
       0.532000       0.879383       0.000000
       0.533000       0.873578       0.000000
       0.534000       0.867726       0.000000
       0.535000       0.861851       0.000000
       0.536000       0.855979       0.000000
       0.537000       0.850137       0.000000
       0.538000       0.844353       0.000000
       0.539000       0.838654       0.000000
       0.540000       0.833051       0.000000
       0.541000       0.827544       0.000000
       0.542000       0.822137       0.000000
       0.543000       0.816839       0.000000
       0.544000       0.811663       0.000000
       0.545000       0.806624       0.000000
       0.546000       0.801722       0.000000
       0.547000       0.796956       0.000000
       0.548000       0.792322       0.000000
       0.549000       0.787822       0.000000
       0.550000       0.783459       0.000000
       0.551000       0.779236       0.000000
       0.552000       0.775150       0.000000
       0.553000       0.771191       0.000000
       0.554000       0.767352       0.000000
       0.555000       0.763628       0.000000
       0.556000       0.760018       0.000000
       0.557000       0.756520       0.000000
       0.558000       0.753132       0.000000
       0.559000       0.749855       0.000000
       0.560000       0.746686       0.000000
       0.561000       0.743623       0.000000
       0.562000       0.740659       0.000000
       0.563000       0.737789       0.000000
       0.564000       0.735009       0.000000
       0.565000       0.732319       0.000000
       0.566000       0.729716       0.000000
       0.567000       0.727201       0.000000
       0.568000       0.724775       0.000000
       0.569000       0.722439       0.000000
       0.570000       0.720187       0.000000
       0.571000       0.718008       0.000000
       0.572000       0.715894       0.000000
       0.573000       0.713840       0.000000
       0.574000       0.711849       0.000000
       0.575000       0.709920       0.000000
       0.576000       0.708048       0.000000
       0.577000       0.706224       0.000000
       0.578000       0.704440       0.000000
       0.579000       0.702696       0.000000
       0.580000       0.700996       0.000000
       0.581000       0.699345       0.000000
       0.582000       0.697741       0.000000
       0.583000       0.696182       0.000000
       0.584000       0.694665       0.000000
       0.585000       0.693188       0.000000
       0.586000       0.691747       0.000000
       0.587000       0.690340       0.000000
       0.588000       0.688966       0.000000
       0.589000       0.687626       0.000000
       0.590000       0.686321       0.000000
       0.591000       0.685053       0.000000
       0.592000       0.683825       0.000000
       0.593000       0.682638       0.000000
       0.594000       0.681490       0.000000
       0.595000       0.680377       0.000000
       0.596000       0.679292       0.000000
       0.597000       0.678240       0.000000
       0.598000       0.677230       0.000000
       0.599000       0.676269       0.000000
       0.600000       0.675355       0.000000
       0.601000       0.674478       0.000000
       0.602000       0.673631       0.000000
       0.603000       0.672809       0.000000
       0.604000       0.672009       0.000000
       0.605000       0.671230       0.000000
       0.606000       0.670475       0.000000
       0.607000       0.669751       0.000000
       0.608000       0.669064       0.000000
       0.609000       0.668421       0.000000
       0.610000       0.667828       0.000000
       0.611000       0.667289       0.000000
       0.612000       0.666797       0.000000
       0.613000       0.666342       0.000000
       0.614000       0.665912       0.000000
       0.615000       0.665506       0.000000
       0.616000       0.665130       0.000000
       0.617000       0.664789       0.000000
       0.618000       0.664489       0.000000
       0.619000       0.664237       0.000000
       0.620000       0.664037       0.000000
       0.621000       0.663888       0.000000
       0.622000       0.663783       0.000000
       0.623000       0.663716       0.000000
       0.624000       0.663687       0.000000
       0.625000       0.663701       0.000000
       0.626000       0.663762       0.000000
       0.627000       0.663867       0.000000
       0.628000       0.664005       0.000000
       0.629000       0.664169       0.000000
       0.630000       0.664356       0.000000
       0.631000       0.664570       0.000000
       0.632000       0.664813       0.000000
       0.633000       0.665085       0.000000
       0.634000       0.665388       0.000000
       0.635000       0.665721       0.000000
       0.636000       0.666084       0.000000
       0.637000       0.666472       0.000000
       0.638000       0.666884       0.000000
       0.639000       0.667318       0.000000
       0.640000       0.667772       0.000000
       0.641000       0.668247       0.000000
       0.642000       0.668743       0.000000
       0.643000       0.669261       0.000000
       0.644000       0.669803       0.000000
       0.645000       0.670370       0.000000
       0.646000       0.670965       0.000000
       0.647000       0.671587       0.000000
       0.648000       0.672231       0.000000
       0.649000       0.672889       0.000000
       0.650000       0.673553       0.000000
       0.651000       0.674225       0.000000
       0.652000       0.674911       0.000000
       0.653000       0.675618       0.000000
       0.654000       0.676342       0.000000
       0.655000       0.677075       0.000000
       0.656000       0.677810       0.000000
       0.657000       0.678547       0.000000
       0.658000       0.679294       0.000000
       0.659000       0.680055       0.000000
       0.660000       0.680828       0.000000
       0.661000       0.681606       0.000000
       0.662000       0.682383       0.000000
       0.663000       0.683158       0.000000
       0.664000       0.683939       0.000000
       0.665000       0.684731       0.000000
       0.666000       0.685533       0.000000
       0.667000       0.686341       0.000000
       0.668000       0.687151       0.000000
       0.669000       0.687961       0.000000
       0.670000       0.688770       0.000000
       0.671000       0.689581       0.000000
       0.672000       0.690394       0.000000
       0.673000       0.691215       0.000000
       0.674000       0.692047       0.000000
       0.675000       0.692891       0.000000
       0.676000       0.693744       0.000000
       0.677000       0.694605       0.000000
       0.678000       0.695473       0.000000
       0.679000       0.696347       0.000000
       0.680000       0.697226       0.000000
       0.681000       0.698111       0.000000
       0.682000       0.699000       0.000000
       0.683000       0.699894       0.000000
       0.684000       0.700793       0.000000
       0.685000       0.701698       0.000000
       0.686000       0.702611       0.000000
       0.687000       0.703529       0.000000
       0.688000       0.704448       0.000000
       0.689000       0.705362       0.000000
       0.690000       0.706274       0.000000
       0.691000       0.707189       0.000000
       0.692000       0.708110       0.000000
       0.693000       0.709039       0.000000
       0.694000       0.709971       0.000000
       0.695000       0.710903       0.000000
       0.696000       0.711833       0.000000
       0.697000       0.712757       0.000000
       0.698000       0.713672       0.000000
       0.699000       0.714579       0.000000
       0.700000       0.715478       0.000000
       0.701000       0.716368       0.000000
       0.702000       0.717250       0.000000
       0.703000       0.718121       0.000000
       0.704000       0.718978       0.000000
       0.705000       0.719822       0.000000
       0.706000       0.720653       0.000000
       0.707000       0.721473       0.000000
       0.708000       0.722278       0.000000
       0.709000       0.723067       0.000000
       0.710000       0.723837       0.000000
       0.711000       0.724586       0.000000
       0.712000       0.725316       0.000000
       0.713000       0.726027       0.000000
       0.714000       0.726719       0.000000
       0.715000       0.727389       0.000000
       0.716000       0.728038       0.000000
       0.717000       0.728665       0.000000
       0.718000       0.729271       0.000000
       0.719000       0.729858       0.000000
       0.720000       0.730424       0.000000
       0.721000       0.730969       0.000000
       0.722000       0.731490       0.000000
       0.723000       0.731990       0.000000
       0.724000       0.732472       0.000000
       0.725000       0.732937       0.000000
       0.726000       0.733384       0.000000
       0.727000       0.733811       0.000000
       0.728000       0.734215       0.000000
       0.729000       0.734597       0.000000
       0.730000       0.734964       0.000000
       0.731000       0.735319       0.000000
       0.732000       0.735662       0.000000
       0.733000       0.735989       0.000000
       0.734000       0.736296       0.000000
       0.735000       0.736584       0.000000
       0.736000       0.736857       0.000000
       0.737000       0.737118       0.000000
       0.738000       0.737366       0.000000
       0.739000       0.737599       0.000000
       0.740000       0.737814       0.000000
       0.741000       0.738011       0.000000
       0.742000       0.738191       0.000000
       0.743000       0.738358       0.000000
       0.744000       0.738517       0.000000
       0.745000       0.738677       0.000000
       0.746000       0.738846       0.000000
       0.747000       0.739023       0.000000
       0.748000       0.739199       0.000000
       0.749000       0.739369       0.000000
       0.750000       0.739536       0.000000
       0.751000       0.739713       0.000000
       0.752000       0.739908       0.000000
       0.753000       0.740120       0.000000
       0.754000       0.740341       0.000000
       0.755000       0.740564       0.000000
       0.756000       0.740791       0.000000
       0.757000       0.741032       0.000000
       0.758000       0.741296       0.000000
       0.759000       0.741583       0.000000
       0.760000       0.741890       0.000000
       0.761000       0.742214       0.000000
       0.762000       0.742550       0.000000
       0.763000       0.742891       0.000000
       0.764000       0.743229       0.000000
       0.765000       0.743563       0.000000
       0.766000       0.743891       0.000000
       0.767000       0.744215       0.000000
       0.768000       0.744529       0.000000
       0.769000       0.744828       0.000000
       0.770000       0.745109       0.000000
       0.771000       0.745371       0.000000
       0.772000       0.745621       0.000000
       0.773000       0.745863       0.000000
       0.774000       0.746097       0.000000
       0.775000       0.746318       0.000000
       0.776000       0.746522       0.000000
       0.777000       0.746713       0.000000
       0.778000       0.746895       0.000000
       0.779000       0.747074       0.000000
       0.780000       0.747250       0.000000
       0.781000       0.747418       0.000000
       0.782000       0.747575       0.000000
       0.783000       0.747720       0.000000
       0.784000       0.747855       0.000000
       0.785000       0.747982       0.000000
       0.786000       0.748103       0.000000
       0.787000       0.748219       0.000000
       0.788000       0.748332       0.000000
       0.789000       0.748438       0.000000
       0.790000       0.748532       0.000000
       0.791000       0.748611       0.000000
       0.792000       0.748678       0.000000
       0.793000       0.748744       0.000000
       0.794000       0.748819       0.000000
       0.795000       0.748902       0.000000
       0.796000       0.748985       0.000000
       0.797000       0.749062       0.000000
       0.798000       0.749132       0.000000
       0.799000       0.749195       0.000000
       0.800000       0.749252       0.000000
       0.801000       0.749308       0.000000
       0.802000       0.749365       0.000000
       0.803000       0.749425       0.000000
       0.804000       0.749487       0.000000
       0.805000       0.749543       0.000000
