USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Paper_Cotton_Bond PAPR1 100% W1R1Fa AREF
copy of splib05a r 10132                                    
       0.350000       0.137103       0.000000
       0.351000       0.137103       0.000000
       0.352000       0.138291       0.000000
       0.353000       0.139499       0.000000
       0.354000       0.140745       0.000000
       0.355000       0.142075       0.000000
       0.356000       0.143640       0.000000
       0.357000       0.145615       0.000000
       0.358000       0.148124       0.000000
       0.359000       0.151085       0.000000
       0.360000       0.154363       0.000000
       0.361000       0.157856       0.000000
       0.362000       0.161597       0.000000
       0.363000       0.165650       0.000000
       0.364000       0.170064       0.000000
       0.365000       0.174806       0.000000
       0.366000       0.179829       0.000000
       0.367000       0.185077       0.000000
       0.368000       0.190477       0.000000
       0.369000       0.195950       0.000000
       0.370000       0.201426       0.000000
       0.371000       0.206878       0.000000
       0.372000       0.212289       0.000000
       0.373000       0.217646       0.000000
       0.374000       0.222953       0.000000
       0.375000       0.228218       0.000000
       0.376000       0.233435       0.000000
       0.377000       0.238538       0.000000
       0.378000       0.243445       0.000000
       0.379000       0.248119       0.000000
       0.380000       0.252695       0.000000
       0.381000       0.257352       0.000000
       0.382000       0.262227       0.000000
       0.383000       0.267284       0.000000
       0.384000       0.272445       0.000000
       0.385000       0.277652       0.000000
       0.386000       0.282935       0.000000
       0.387000       0.288344       0.000000
       0.388000       0.293918       0.000000
       0.389000       0.299655       0.000000
       0.390000       0.305540       0.000000
       0.391000       0.311562       0.000000
       0.392000       0.317716       0.000000
       0.393000       0.324001       0.000000
       0.394000       0.330434       0.000000
       0.395000       0.337109       0.000000
       0.396000       0.344138       0.000000
       0.397000       0.351585       0.000000
       0.398000       0.359326       0.000000
       0.399000       0.367186       0.000000
       0.400000       0.375020       0.000000
       0.401000       0.382800       0.000000
       0.402000      -1.23e34       -1.23e34 
       0.403000      -1.23e34       -1.23e34 
       0.404000      -1.23e34       -1.23e34 
       0.405000      -1.23e34       -1.23e34 
       0.406000      -1.23e34       -1.23e34 
       0.407000      -1.23e34       -1.23e34 
       0.408000      -1.23e34       -1.23e34 
       0.409000      -1.23e34       -1.23e34 
       0.410000      -1.23e34       -1.23e34 
       0.411000      -1.23e34       -1.23e34 
       0.412000      -1.23e34       -1.23e34 
       0.413000      -1.23e34       -1.23e34 
       0.414000      -1.23e34       -1.23e34 
       0.415000      -1.23e34       -1.23e34 
       0.416000      -1.23e34       -1.23e34 
       0.417000      -1.23e34       -1.23e34 
       0.418000      -1.23e34       -1.23e34 
       0.419000      -1.23e34       -1.23e34 
       0.420000      -1.23e34       -1.23e34 
       0.421000      -1.23e34       -1.23e34 
       0.422000      -1.23e34       -1.23e34 
       0.423000      -1.23e34       -1.23e34 
       0.424000      -1.23e34       -1.23e34 
       0.425000      -1.23e34       -1.23e34 
       0.426000      -1.23e34       -1.23e34 
       0.427000      -1.23e34       -1.23e34 
       0.428000      -1.23e34       -1.23e34 
       0.429000      -1.23e34       -1.23e34 
       0.430000      -1.23e34       -1.23e34 
       0.431000      -1.23e34       -1.23e34 
       0.432000      -1.23e34       -1.23e34 
       0.433000      -1.23e34       -1.23e34 
       0.434000      -1.23e34       -1.23e34 
       0.435000      -1.23e34       -1.23e34 
       0.436000      -1.23e34       -1.23e34 
       0.437000      -1.23e34       -1.23e34 
       0.438000      -1.23e34       -1.23e34 
       0.439000      -1.23e34       -1.23e34 
       0.440000      -1.23e34       -1.23e34 
       0.441000      -1.23e34       -1.23e34 
       0.442000      -1.23e34       -1.23e34 
       0.443000      -1.23e34       -1.23e34 
       0.444000      -1.23e34       -1.23e34 
       0.445000      -1.23e34       -1.23e34 
       0.446000      -1.23e34       -1.23e34 
       0.447000      -1.23e34       -1.23e34 
       0.448000      -1.23e34       -1.23e34 
       0.449000      -1.23e34       -1.23e34 
       0.450000      -1.23e34       -1.23e34 
       0.451000      -1.23e34       -1.23e34 
       0.452000      -1.23e34       -1.23e34 
       0.453000      -1.23e34       -1.23e34 
       0.454000      -1.23e34       -1.23e34 
       0.455000      -1.23e34       -1.23e34 
       0.456000      -1.23e34       -1.23e34 
       0.457000      -1.23e34       -1.23e34 
       0.458000      -1.23e34       -1.23e34 
       0.459000      -1.23e34       -1.23e34 
       0.460000      -1.23e34       -1.23e34 
       0.461000      -1.23e34       -1.23e34 
       0.462000      -1.23e34       -1.23e34 
       0.463000      -1.23e34       -1.23e34 
       0.464000      -1.23e34       -1.23e34 
       0.465000      -1.23e34       -1.23e34 
       0.466000      -1.23e34       -1.23e34 
       0.467000      -1.23e34       -1.23e34 
       0.468000      -1.23e34       -1.23e34 
       0.469000      -1.23e34       -1.23e34 
       0.470000      -1.23e34       -1.23e34 
       0.471000      -1.23e34       -1.23e34 
       0.472000      -1.23e34       -1.23e34 
       0.473000      -1.23e34       -1.23e34 
       0.474000      -1.23e34       -1.23e34 
       0.475000      -1.23e34       -1.23e34 
       0.476000      -1.23e34       -1.23e34 
       0.477000      -1.23e34       -1.23e34 
       0.478000      -1.23e34       -1.23e34 
       0.479000      -1.23e34       -1.23e34 
       0.480000      -1.23e34       -1.23e34 
       0.481000      -1.23e34       -1.23e34 
       0.482000      -1.23e34       -1.23e34 
       0.483000      -1.23e34       -1.23e34 
       0.484000      -1.23e34       -1.23e34 
       0.485000      -1.23e34       -1.23e34 
       0.486000      -1.23e34       -1.23e34 
       0.487000      -1.23e34       -1.23e34 
       0.488000      -1.23e34       -1.23e34 
       0.489000      -1.23e34       -1.23e34 
       0.490000      -1.23e34       -1.23e34 
       0.491000      -1.23e34       -1.23e34 
       0.492000      -1.23e34       -1.23e34 
       0.493000      -1.23e34       -1.23e34 
       0.494000      -1.23e34       -1.23e34 
       0.495000      -1.23e34       -1.23e34 
       0.496000      -1.23e34       -1.23e34 
       0.497000      -1.23e34       -1.23e34 
       0.498000      -1.23e34       -1.23e34 
       0.499000      -1.23e34       -1.23e34 
       0.500000      -1.23e34       -1.23e34 
       0.501000      -1.23e34       -1.23e34 
       0.502000      -1.23e34       -1.23e34 
       0.503000      -1.23e34       -1.23e34 
       0.504000      -1.23e34       -1.23e34 
       0.505000      -1.23e34       -1.23e34 
       0.506000      -1.23e34       -1.23e34 
       0.507000      -1.23e34       -1.23e34 
       0.508000      -1.23e34       -1.23e34 
       0.509000      -1.23e34       -1.23e34 
       0.510000      -1.23e34       -1.23e34 
       0.511000      -1.23e34       -1.23e34 
       0.512000      -1.23e34       -1.23e34 
       0.513000      -1.23e34       -1.23e34 
       0.514000      -1.23e34       -1.23e34 
       0.515000      -1.23e34       -1.23e34 
       0.516000      -1.23e34       -1.23e34 
       0.517000      -1.23e34       -1.23e34 
       0.518000      -1.23e34       -1.23e34 
       0.519000      -1.23e34       -1.23e34 
       0.520000       0.840664       0.000000
       0.521000       0.840217       0.000000
       0.522000       0.839791       0.000000
       0.523000       0.839385       0.000000
       0.524000       0.838991       0.000000
       0.525000       0.838599       0.000000
       0.526000       0.838202       0.000000
       0.527000       0.837812       0.000000
       0.528000       0.837448       0.000000
       0.529000       0.837120       0.000000
       0.530000       0.836822       0.000000
       0.531000       0.836546       0.000000
       0.532000       0.836281       0.000000
       0.533000       0.836023       0.000000
       0.534000       0.835771       0.000000
       0.535000       0.835523       0.000000
       0.536000       0.835282       0.000000
       0.537000       0.835053       0.000000
       0.538000       0.834840       0.000000
       0.539000       0.834642       0.000000
       0.540000       0.834460       0.000000
       0.541000       0.834291       0.000000
       0.542000       0.834130       0.000000
       0.543000       0.833970       0.000000
       0.544000       0.833808       0.000000
       0.545000       0.833652       0.000000
       0.546000       0.833514       0.000000
       0.547000       0.833399       0.000000
       0.548000       0.833298       0.000000
       0.549000       0.833197       0.000000
       0.550000       0.833087       0.000000
       0.551000       0.832979       0.000000
       0.552000       0.832893       0.000000
       0.553000       0.832840       0.000000
       0.554000       0.832808       0.000000
       0.555000       0.832779       0.000000
       0.556000       0.832738       0.000000
       0.557000       0.832690       0.000000
       0.558000       0.832644       0.000000
       0.559000       0.832605       0.000000
       0.560000       0.832571       0.000000
       0.561000       0.832536       0.000000
       0.562000       0.832496       0.000000
       0.563000       0.832448       0.000000
       0.564000       0.832393       0.000000
       0.565000       0.832330       0.000000
       0.566000       0.832263       0.000000
       0.567000       0.832196       0.000000
       0.568000       0.832132       0.000000
       0.569000       0.832071       0.000000
       0.570000       0.832013       0.000000
       0.571000       0.831956       0.000000
       0.572000       0.831900       0.000000
       0.573000       0.831842       0.000000
       0.574000       0.831780       0.000000
       0.575000       0.831717       0.000000
       0.576000       0.831653       0.000000
       0.577000       0.831590       0.000000
       0.578000       0.831520       0.000000
       0.579000       0.831439       0.000000
       0.580000       0.831342       0.000000
       0.581000       0.831234       0.000000
       0.582000       0.831123       0.000000
       0.583000       0.831016       0.000000
       0.584000       0.830911       0.000000
       0.585000       0.830805       0.000000
       0.586000       0.830694       0.000000
       0.587000       0.830582       0.000000
       0.588000       0.830472       0.000000
       0.589000       0.830366       0.000000
       0.590000       0.830261       0.000000
       0.591000       0.830153       0.000000
       0.592000       0.830038       0.000000
       0.593000       0.829916       0.000000
       0.594000       0.829788       0.000000
       0.595000       0.829655       0.000000
       0.596000       0.829515       0.000000
       0.597000       0.829370       0.000000
       0.598000       0.829221       0.000000
       0.599000       0.829068       0.000000
       0.600000       0.828917       0.000000
       0.601000       0.828769       0.000000
       0.602000       0.828629       0.000000
       0.603000       0.828500       0.000000
       0.604000       0.828384       0.000000
       0.605000       0.828272       0.000000
       0.606000       0.828153       0.000000
       0.607000       0.828016       0.000000
       0.608000       0.827865       0.000000
       0.609000       0.827700       0.000000
       0.610000       0.827528       0.000000
       0.611000       0.827361       0.000000
       0.612000       0.827214       0.000000
       0.613000       0.827095       0.000000
       0.614000       0.826996       0.000000
       0.615000       0.826902       0.000000
       0.616000       0.826801       0.000000
       0.617000       0.826699       0.000000
       0.618000       0.826604       0.000000
       0.619000       0.826522       0.000000
       0.620000       0.826452       0.000000
       0.621000       0.826391       0.000000
       0.622000       0.826336       0.000000
       0.623000       0.826284       0.000000
       0.624000       0.826230       0.000000
       0.625000       0.826171       0.000000
       0.626000       0.826108       0.000000
       0.627000       0.826042       0.000000
       0.628000       0.825975       0.000000
       0.629000       0.825915       0.000000
       0.630000       0.825869       0.000000
       0.631000       0.825843       0.000000
       0.632000       0.825832       0.000000
       0.633000       0.825828       0.000000
       0.634000       0.825825       0.000000
       0.635000       0.825815       0.000000
       0.636000       0.825790       0.000000
       0.637000       0.825745       0.000000
       0.638000       0.825687       0.000000
       0.639000       0.825624       0.000000
       0.640000       0.825565       0.000000
       0.641000       0.825506       0.000000
       0.642000       0.825443       0.000000
       0.643000       0.825373       0.000000
       0.644000       0.825299       0.000000
       0.645000       0.825229       0.000000
       0.646000       0.825166       0.000000
       0.647000       0.825111       0.000000
       0.648000       0.825061       0.000000
       0.649000       0.825014       0.000000
       0.650000       0.824960       0.000000
       0.651000       0.824892       0.000000
       0.652000       0.824804       0.000000
       0.653000       0.824707       0.000000
       0.654000       0.824618       0.000000
       0.655000       0.824547       0.000000
       0.656000       0.824488       0.000000
       0.657000       0.824432       0.000000
       0.658000       0.824371       0.000000
       0.659000       0.824303       0.000000
       0.660000       0.824230       0.000000
       0.661000       0.824154       0.000000
       0.662000       0.824078       0.000000
       0.663000       0.824011       0.000000
       0.664000       0.823954       0.000000
       0.665000       0.823897       0.000000
       0.666000       0.823826       0.000000
       0.667000       0.823734       0.000000
       0.668000       0.823628       0.000000
       0.669000       0.823522       0.000000
       0.670000       0.823427       0.000000
       0.671000       0.823342       0.000000
       0.672000       0.823265       0.000000
       0.673000       0.823190       0.000000
       0.674000       0.823117       0.000000
       0.675000       0.823042       0.000000
       0.676000       0.822965       0.000000
       0.677000       0.822888       0.000000
       0.678000       0.822817       0.000000
       0.679000       0.822754       0.000000
       0.680000       0.822693       0.000000
       0.681000       0.822625       0.000000
       0.682000       0.822543       0.000000
       0.683000       0.822451       0.000000
       0.684000       0.822352       0.000000
       0.685000       0.822252       0.000000
       0.686000       0.822160       0.000000
       0.687000       0.822088       0.000000
       0.688000       0.822041       0.000000
       0.689000       0.822008       0.000000
       0.690000       0.821973       0.000000
       0.691000       0.821923       0.000000
       0.692000       0.821857       0.000000
       0.693000       0.821780       0.000000
       0.694000       0.821694       0.000000
       0.695000       0.821606       0.000000
       0.696000       0.821522       0.000000
       0.697000       0.821448       0.000000
       0.698000       0.821386       0.000000
       0.699000       0.821338       0.000000
       0.700000       0.821304       0.000000
       0.701000       0.821274       0.000000
       0.702000       0.821237       0.000000
       0.703000       0.821183       0.000000
       0.704000       0.821110       0.000000
       0.705000       0.821021       0.000000
       0.706000       0.820918       0.000000
       0.707000       0.820812       0.000000
       0.708000       0.820714       0.000000
       0.709000       0.820634       0.000000
       0.710000       0.820568       0.000000
       0.711000       0.820511       0.000000
       0.712000       0.820455       0.000000
       0.713000       0.820401       0.000000
       0.714000       0.820347       0.000000
       0.715000       0.820292       0.000000
       0.716000       0.820239       0.000000
       0.717000       0.820188       0.000000
       0.718000       0.820141       0.000000
       0.719000       0.820093       0.000000
       0.720000       0.820038       0.000000
       0.721000       0.819973       0.000000
       0.722000       0.819897       0.000000
       0.723000       0.819809       0.000000
       0.724000       0.819711       0.000000
       0.725000       0.819613       0.000000
       0.726000       0.819522       0.000000
       0.727000       0.819447       0.000000
       0.728000       0.819390       0.000000
       0.729000       0.819347       0.000000
       0.730000       0.819318       0.000000
       0.731000       0.819291       0.000000
       0.732000       0.819256       0.000000
       0.733000       0.819203       0.000000
       0.734000       0.819130       0.000000
       0.735000       0.819041       0.000000
       0.736000       0.818938       0.000000
       0.737000       0.818835       0.000000
       0.738000       0.818747       0.000000
       0.739000       0.818684       0.000000
       0.740000       0.818636       0.000000
       0.741000       0.818586       0.000000
       0.742000       0.818524       0.000000
       0.743000       0.818455       0.000000
       0.744000       0.818392       0.000000
       0.745000       0.818343       0.000000
       0.746000       0.818295       0.000000
       0.747000       0.818233       0.000000
       0.748000       0.818143       0.000000
       0.749000       0.818031       0.000000
       0.750000       0.817903       0.000000
       0.751000       0.817769       0.000000
       0.752000       0.817639       0.000000
       0.753000       0.817523       0.000000
       0.754000       0.817427       0.000000
       0.755000       0.817343       0.000000
       0.756000       0.817259       0.000000
       0.757000       0.817163       0.000000
       0.758000       0.817059       0.000000
       0.759000       0.816951       0.000000
       0.760000       0.816844       0.000000
       0.761000       0.816740       0.000000
       0.762000       0.816637       0.000000
       0.763000       0.816536       0.000000
       0.764000       0.816440       0.000000
       0.765000       0.816353       0.000000
       0.766000       0.816277       0.000000
       0.767000       0.816210       0.000000
       0.768000       0.816149       0.000000
