USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Plastic_PETE GDS382 Black    W1R1Fa AREF
copy of splib05a r 10339                                    
       0.350000       0.082365       0.000000
       0.351000       0.082365       0.000000
       0.352000       0.082217       0.000000
       0.353000       0.082045       0.000000
       0.354000       0.081824       0.000000
       0.355000       0.081538       0.000000
       0.356000       0.081211       0.000000
       0.357000       0.080876       0.000000
       0.358000       0.080562       0.000000
       0.359000       0.080280       0.000000
       0.360000       0.080037       0.000000
       0.361000       0.079838       0.000000
       0.362000       0.079674       0.000000
       0.363000       0.079536       0.000000
       0.364000       0.079413       0.000000
       0.365000       0.079300       0.000000
       0.366000       0.079191       0.000000
       0.367000       0.079081       0.000000
       0.368000       0.078966       0.000000
       0.369000       0.078840       0.000000
       0.370000       0.078700       0.000000
       0.371000       0.078546       0.000000
       0.372000       0.078376       0.000000
       0.373000       0.078194       0.000000
       0.374000       0.078005       0.000000
       0.375000       0.077817       0.000000
       0.376000       0.077636       0.000000
       0.377000       0.077462       0.000000
       0.378000       0.077295       0.000000
       0.379000       0.077134       0.000000
       0.380000       0.076974       0.000000
       0.381000       0.076815       0.000000
       0.382000       0.076651       0.000000
       0.383000       0.076485       0.000000
       0.384000       0.076314       0.000000
       0.385000       0.076140       0.000000
       0.386000       0.075961       0.000000
       0.387000       0.075775       0.000000
       0.388000       0.075582       0.000000
       0.389000       0.075389       0.000000
       0.390000       0.075206       0.000000
       0.391000       0.075040       0.000000
       0.392000       0.074893       0.000000
       0.393000       0.074769       0.000000
       0.394000       0.074665       0.000000
       0.395000       0.074565       0.000000
       0.396000       0.074446       0.000000
       0.397000       0.074295       0.000000
       0.398000       0.074129       0.000000
       0.399000       0.073972       0.000000
       0.400000       0.073841       0.000000
       0.401000       0.073733       0.000000
       0.402000       0.073635       0.000000
       0.403000       0.073537       0.000000
       0.404000       0.073433       0.000000
       0.405000       0.073318       0.000000
       0.406000       0.073189       0.000000
       0.407000       0.073053       0.000000
       0.408000       0.072919       0.000000
       0.409000       0.072794       0.000000
       0.410000       0.072677       0.000000
       0.411000       0.072565       0.000000
       0.412000       0.072455       0.000000
       0.413000       0.072348       0.000000
       0.414000       0.072245       0.000000
       0.415000       0.072150       0.000000
       0.416000       0.072059       0.000000
       0.417000       0.071974       0.000000
       0.418000       0.071893       0.000000
       0.419000       0.071817       0.000000
       0.420000       0.071744       0.000000
       0.421000       0.071675       0.000000
       0.422000       0.071607       0.000000
       0.423000       0.071535       0.000000
       0.424000       0.071459       0.000000
       0.425000       0.071379       0.000000
       0.426000       0.071299       0.000000
       0.427000       0.071223       0.000000
       0.428000       0.071151       0.000000
       0.429000       0.071081       0.000000
       0.430000       0.071014       0.000000
       0.431000       0.070950       0.000000
       0.432000       0.070889       0.000000
       0.433000       0.070831       0.000000
       0.434000       0.070779       0.000000
       0.435000       0.070732       0.000000
       0.436000       0.070691       0.000000
       0.437000       0.070655       0.000000
       0.438000       0.070620       0.000000
       0.439000       0.070585       0.000000
       0.440000       0.070546       0.000000
       0.441000       0.070502       0.000000
       0.442000       0.070450       0.000000
       0.443000       0.070395       0.000000
       0.444000       0.070342       0.000000
       0.445000       0.070294       0.000000
       0.446000       0.070252       0.000000
       0.447000       0.070211       0.000000
       0.448000       0.070169       0.000000
       0.449000       0.070128       0.000000
       0.450000       0.070085       0.000000
       0.451000       0.070043       0.000000
       0.452000       0.070004       0.000000
       0.453000       0.069969       0.000000
       0.454000       0.069941       0.000000
       0.455000       0.069914       0.000000
       0.456000       0.069884       0.000000
       0.457000       0.069846       0.000000
       0.458000       0.069802       0.000000
       0.459000       0.069757       0.000000
       0.460000       0.069713       0.000000
       0.461000       0.069670       0.000000
       0.462000       0.069626       0.000000
       0.463000       0.069580       0.000000
       0.464000       0.069534       0.000000
       0.465000       0.069489       0.000000
       0.466000       0.069449       0.000000
       0.467000       0.069412       0.000000
       0.468000       0.069379       0.000000
       0.469000       0.069348       0.000000
       0.470000       0.069314       0.000000
       0.471000       0.069272       0.000000
       0.472000       0.069218       0.000000
       0.473000       0.069156       0.000000
       0.474000       0.069096       0.000000
       0.475000       0.069045       0.000000
       0.476000       0.069000       0.000000
       0.477000       0.068962       0.000000
       0.478000       0.068927       0.000000
       0.479000       0.068893       0.000000
       0.480000       0.068857       0.000000
       0.481000       0.068817       0.000000
       0.482000       0.068774       0.000000
       0.483000       0.068731       0.000000
       0.484000       0.068691       0.000000
       0.485000       0.068653       0.000000
       0.486000       0.068617       0.000000
       0.487000       0.068583       0.000000
       0.488000       0.068549       0.000000
       0.489000       0.068511       0.000000
       0.490000       0.068469       0.000000
       0.491000       0.068426       0.000000
       0.492000       0.068386       0.000000
       0.493000       0.068351       0.000000
       0.494000       0.068319       0.000000
       0.495000       0.068284       0.000000
       0.496000       0.068244       0.000000
       0.497000       0.068201       0.000000
       0.498000       0.068159       0.000000
       0.499000       0.068119       0.000000
       0.500000       0.068084       0.000000
       0.501000       0.068051       0.000000
       0.502000       0.068021       0.000000
       0.503000       0.067991       0.000000
       0.504000       0.067961       0.000000
       0.505000       0.067928       0.000000
       0.506000       0.067894       0.000000
       0.507000       0.067863       0.000000
       0.508000       0.067836       0.000000
       0.509000       0.067811       0.000000
       0.510000       0.067784       0.000000
       0.511000       0.067751       0.000000
       0.512000       0.067716       0.000000
       0.513000       0.067681       0.000000
       0.514000       0.067647       0.000000
       0.515000       0.067615       0.000000
       0.516000       0.067585       0.000000
       0.517000       0.067555       0.000000
       0.518000       0.067524       0.000000
       0.519000       0.067490       0.000000
       0.520000       0.067452       0.000000
       0.521000       0.067413       0.000000
       0.522000       0.067377       0.000000
       0.523000       0.067347       0.000000
       0.524000       0.067323       0.000000
       0.525000       0.067301       0.000000
       0.526000       0.067282       0.000000
       0.527000       0.067262       0.000000
       0.528000       0.067242       0.000000
       0.529000       0.067221       0.000000
       0.530000       0.067197       0.000000
       0.531000       0.067170       0.000000
       0.532000       0.067140       0.000000
       0.533000       0.067107       0.000000
       0.534000       0.067074       0.000000
       0.535000       0.067043       0.000000
       0.536000       0.067013       0.000000
       0.537000       0.066986       0.000000
       0.538000       0.066963       0.000000
       0.539000       0.066941       0.000000
       0.540000       0.066919       0.000000
       0.541000       0.066895       0.000000
       0.542000       0.066872       0.000000
       0.543000       0.066849       0.000000
       0.544000       0.066827       0.000000
       0.545000       0.066807       0.000000
       0.546000       0.066786       0.000000
       0.547000       0.066764       0.000000
       0.548000       0.066741       0.000000
       0.549000       0.066717       0.000000
       0.550000       0.066692       0.000000
       0.551000       0.066669       0.000000
       0.552000       0.066648       0.000000
       0.553000       0.066629       0.000000
       0.554000       0.066613       0.000000
       0.555000       0.066595       0.000000
       0.556000       0.066576       0.000000
       0.557000       0.066557       0.000000
       0.558000       0.066539       0.000000
       0.559000       0.066524       0.000000
       0.560000       0.066512       0.000000
       0.561000       0.066499       0.000000
       0.562000       0.066486       0.000000
       0.563000       0.066471       0.000000
       0.564000       0.066456       0.000000
       0.565000       0.066439       0.000000
       0.566000       0.066423       0.000000
       0.567000       0.066407       0.000000
       0.568000       0.066392       0.000000
       0.569000       0.066377       0.000000
       0.570000       0.066363       0.000000
       0.571000       0.066347       0.000000
       0.572000       0.066329       0.000000
       0.573000       0.066310       0.000000
       0.574000       0.066289       0.000000
       0.575000       0.066266       0.000000
       0.576000       0.066243       0.000000
       0.577000       0.066220       0.000000
       0.578000       0.066198       0.000000
       0.579000       0.066176       0.000000
       0.580000       0.066155       0.000000
       0.581000       0.066133       0.000000
       0.582000       0.066111       0.000000
       0.583000       0.066087       0.000000
       0.584000       0.066063       0.000000
       0.585000       0.066038       0.000000
       0.586000       0.066014       0.000000
       0.587000       0.065989       0.000000
       0.588000       0.065962       0.000000
       0.589000       0.065933       0.000000
       0.590000       0.065902       0.000000
       0.591000       0.065871       0.000000
       0.592000       0.065841       0.000000
       0.593000       0.065816       0.000000
       0.594000       0.065798       0.000000
       0.595000       0.065789       0.000000
       0.596000       0.065790       0.000000
       0.597000       0.065801       0.000000
       0.598000       0.065819       0.000000
       0.599000       0.065842       0.000000
       0.600000       0.065863       0.000000
       0.601000       0.065878       0.000000
       0.602000       0.065887       0.000000
       0.603000       0.065891       0.000000
       0.604000       0.065891       0.000000
       0.605000       0.065885       0.000000
       0.606000       0.065873       0.000000
       0.607000       0.065855       0.000000
       0.608000       0.065830       0.000000
       0.609000       0.065798       0.000000
       0.610000       0.065760       0.000000
       0.611000       0.065722       0.000000
       0.612000       0.065690       0.000000
       0.613000       0.065666       0.000000
       0.614000       0.065650       0.000000
       0.615000       0.065639       0.000000
       0.616000       0.065629       0.000000
       0.617000       0.065621       0.000000
       0.618000       0.065614       0.000000
       0.619000       0.065607       0.000000
       0.620000       0.065603       0.000000
       0.621000       0.065602       0.000000
       0.622000       0.065604       0.000000
       0.623000       0.065609       0.000000
       0.624000       0.065615       0.000000
       0.625000       0.065620       0.000000
       0.626000       0.065623       0.000000
       0.627000       0.065625       0.000000
       0.628000       0.065623       0.000000
       0.629000       0.065617       0.000000
       0.630000       0.065606       0.000000
       0.631000       0.065590       0.000000
       0.632000       0.065568       0.000000
       0.633000       0.065541       0.000000
       0.634000       0.065509       0.000000
       0.635000       0.065476       0.000000
       0.636000       0.065445       0.000000
       0.637000       0.065418       0.000000
       0.638000       0.065395       0.000000
       0.639000       0.065373       0.000000
       0.640000       0.065353       0.000000
       0.641000       0.065334       0.000000
       0.642000       0.065315       0.000000
       0.643000       0.065297       0.000000
       0.644000       0.065281       0.000000
       0.645000       0.065266       0.000000
       0.646000       0.065254       0.000000
       0.647000       0.065244       0.000000
       0.648000       0.065236       0.000000
       0.649000       0.065231       0.000000
       0.650000       0.065226       0.000000
       0.651000       0.065220       0.000000
       0.652000       0.065212       0.000000
       0.653000       0.065204       0.000000
       0.654000       0.065195       0.000000
       0.655000       0.065186       0.000000
       0.656000       0.065180       0.000000
       0.657000       0.065174       0.000000
       0.658000       0.065170       0.000000
       0.659000       0.065166       0.000000
       0.660000       0.065162       0.000000
       0.661000       0.065157       0.000000
       0.662000       0.065151       0.000000
       0.663000       0.065145       0.000000
       0.664000       0.065139       0.000000
       0.665000       0.065132       0.000000
       0.666000       0.065124       0.000000
       0.667000       0.065114       0.000000
       0.668000       0.065104       0.000000
       0.669000       0.065096       0.000000
       0.670000       0.065088       0.000000
       0.671000       0.065083       0.000000
       0.672000       0.065077       0.000000
       0.673000       0.065073       0.000000
       0.674000       0.065068       0.000000
       0.675000       0.065065       0.000000
       0.676000       0.065063       0.000000
       0.677000       0.065061       0.000000
       0.678000       0.065057       0.000000
       0.679000       0.065050       0.000000
       0.680000       0.065041       0.000000
       0.681000       0.065030       0.000000
       0.682000       0.065018       0.000000
       0.683000       0.065006       0.000000
       0.684000       0.064994       0.000000
       0.685000       0.064983       0.000000
       0.686000       0.064974       0.000000
       0.687000       0.064970       0.000000
       0.688000       0.064970       0.000000
       0.689000       0.064972       0.000000
       0.690000       0.064974       0.000000
       0.691000       0.064972       0.000000
       0.692000       0.064967       0.000000
       0.693000       0.064958       0.000000
       0.694000       0.064947       0.000000
       0.695000       0.064935       0.000000
       0.696000       0.064926       0.000000
       0.697000       0.064919       0.000000
       0.698000       0.064915       0.000000
       0.699000       0.064911       0.000000
       0.700000       0.064907       0.000000
       0.701000       0.064901       0.000000
       0.702000       0.064894       0.000000
       0.703000       0.064887       0.000000
       0.704000       0.064879       0.000000
       0.705000       0.064872       0.000000
       0.706000       0.064866       0.000000
       0.707000       0.064862       0.000000
       0.708000       0.064859       0.000000
       0.709000       0.064855       0.000000
       0.710000       0.064850       0.000000
       0.711000       0.064844       0.000000
       0.712000       0.064838       0.000000
       0.713000       0.064831       0.000000
       0.714000       0.064825       0.000000
       0.715000       0.064820       0.000000
       0.716000       0.064815       0.000000
       0.717000       0.064810       0.000000
       0.718000       0.064805       0.000000
       0.719000       0.064800       0.000000
       0.720000       0.064795       0.000000
       0.721000       0.064792       0.000000
       0.722000       0.064789       0.000000
       0.723000       0.064786       0.000000
       0.724000       0.064783       0.000000
       0.725000       0.064778       0.000000
       0.726000       0.064772       0.000000
       0.727000       0.064764       0.000000
       0.728000       0.064755       0.000000
       0.729000       0.064748       0.000000
       0.730000       0.064744       0.000000
       0.731000       0.064743       0.000000
       0.732000       0.064746       0.000000
       0.733000       0.064752       0.000000
       0.734000       0.064759       0.000000
       0.735000       0.064764       0.000000
       0.736000       0.064764       0.000000
       0.737000       0.064759       0.000000
       0.738000       0.064754       0.000000
       0.739000       0.064748       0.000000
       0.740000       0.064742       0.000000
       0.741000       0.064738       0.000000
       0.742000       0.064736       0.000000
       0.743000       0.064735       0.000000
       0.744000       0.064732       0.000000
       0.745000       0.064727       0.000000
       0.746000       0.064721       0.000000
       0.747000       0.064717       0.000000
       0.748000       0.064715       0.000000
       0.749000       0.064714       0.000000
       0.750000       0.064712       0.000000
       0.751000       0.064708       0.000000
       0.752000       0.064702       0.000000
       0.753000       0.064696       0.000000
       0.754000       0.064689       0.000000
       0.755000       0.064683       0.000000
       0.756000       0.064680       0.000000
       0.757000       0.064681       0.000000
       0.758000       0.064681       0.000000
       0.759000       0.064680       0.000000
       0.760000       0.064673       0.000000
       0.761000       0.064663       0.000000
       0.762000       0.064652       0.000000
       0.763000       0.064643       0.000000
       0.764000       0.064637       0.000000
       0.765000       0.064633       0.000000
       0.766000       0.064632       0.000000
       0.767000       0.064632       0.000000
       0.768000       0.064632       0.000000
       0.769000       0.064629       0.000000
       0.770000       0.064625       0.000000
       0.771000       0.064620       0.000000
       0.772000       0.064614       0.000000
       0.773000       0.064608       0.000000
       0.774000       0.064600       0.000000
       0.775000       0.064590       0.000000
       0.776000       0.064579       0.000000
       0.777000       0.064570       0.000000
       0.778000       0.064563       0.000000
       0.779000       0.064559       0.000000
       0.780000       0.064557       0.000000
       0.781000       0.064557       0.000000
       0.782000       0.064556       0.000000
       0.783000       0.064555       0.000000
       0.784000       0.064552       0.000000
       0.785000       0.064548       0.000000
       0.786000       0.064543       0.000000
       0.787000       0.064536       0.000000
       0.788000       0.064528       0.000000
       0.789000       0.064519       0.000000
       0.790000       0.064508       0.000000
       0.791000       0.064498       0.000000
       0.792000       0.064488       0.000000
       0.793000       0.064479       0.000000
       0.794000       0.064472       0.000000
       0.795000       0.064466       0.000000
       0.796000       0.064460       0.000000
       0.797000       0.064453       0.000000
       0.798000       0.064445       0.000000
       0.799000       0.064436       0.000000
       0.800000       0.064426       0.000000
       0.801000       0.064417       0.000000
       0.802000       0.064409       0.000000
       0.803000       0.064404       0.000000
       0.804000       0.064401       0.000000
       0.805000       0.064401       0.000000
