USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Polyester_Pile GDS435 DkGrn  W1R1Fa AREF
copy of sprlf02a r 1334                                     
       0.350000       0.070030       0.000000
       0.351000       0.070030       0.000000
       0.352000       0.070030       0.000000
       0.353000       0.069984       0.000000
       0.354000       0.069870       0.000000
       0.355000       0.069637       0.000000
       0.356000       0.069227       0.000000
       0.357000       0.068696       0.000000
       0.358000       0.068168       0.000000
       0.359000       0.067758       0.000000
       0.360000       0.067470       0.000000
       0.361000       0.067243       0.000000
       0.362000       0.067016       0.000000
       0.363000       0.066730       0.000000
       0.364000       0.066329       0.000000
       0.365000       0.065769       0.000000
       0.366000       0.065109       0.000000
       0.367000       0.064470       0.000000
       0.368000       0.063959       0.000000
       0.369000       0.063531       0.000000
       0.370000       0.063047       0.000000
       0.371000       0.062382       0.000000
       0.372000       0.061538       0.000000
       0.373000       0.060594       0.000000
       0.374000       0.059621       0.000000
       0.375000       0.058631       0.000000
       0.376000       0.057600       0.000000
       0.377000       0.056506       0.000000
       0.378000       0.055364       0.000000
       0.379000       0.054213       0.000000
       0.380000       0.053085       0.000000
       0.381000       0.051989       0.000000
       0.382000       0.050912       0.000000
       0.383000       0.049844       0.000000
       0.384000       0.048788       0.000000
       0.385000       0.047753       0.000000
       0.386000       0.046749       0.000000
       0.387000       0.045797       0.000000
       0.388000       0.044924       0.000000
       0.389000       0.044153       0.000000
       0.390000       0.043480       0.000000
       0.391000       0.042882       0.000000
       0.392000       0.042337       0.000000
       0.393000       0.041807       0.000000
       0.394000       0.041245       0.000000
       0.395000       0.040609       0.000000
       0.396000       0.039898       0.000000
       0.397000       0.039139       0.000000
       0.398000       0.038357       0.000000
       0.399000       0.037571       0.000000
       0.400000       0.036794       0.000000
       0.401000       0.036041       0.000000
       0.402000       0.035306       0.000000
       0.403000       0.034570       0.000000
       0.404000       0.033822       0.000000
       0.405000       0.033093       0.000000
       0.406000       0.032438       0.000000
       0.407000       0.031909       0.000000
       0.408000       0.031493       0.000000
       0.409000       0.031139       0.000000
       0.410000       0.030798       0.000000
       0.411000       0.030467       0.000000
       0.412000       0.030165       0.000000
       0.413000       0.029912       0.000000
       0.414000       0.029700       0.000000
       0.415000       0.029506       0.000000
       0.416000       0.029307       0.000000
       0.417000       0.029083       0.000000
       0.418000       0.028818       0.000000
       0.419000       0.028497       0.000000
       0.420000       0.028138       0.000000
       0.421000       0.027777       0.000000
       0.422000       0.027448       0.000000
       0.423000       0.027150       0.000000
       0.424000       0.026863       0.000000
       0.425000       0.026570       0.000000
       0.426000       0.026278       0.000000
       0.427000       0.026006       0.000000
       0.428000       0.025776       0.000000
       0.429000       0.025578       0.000000
       0.430000       0.025391       0.000000
       0.431000       0.025194       0.000000
       0.432000       0.024992       0.000000
       0.433000       0.024805       0.000000
       0.434000       0.024654       0.000000
       0.435000       0.024540       0.000000
       0.436000       0.024456       0.000000
       0.437000       0.024394       0.000000
       0.438000       0.024347       0.000000
       0.439000       0.024309       0.000000
       0.440000       0.024273       0.000000
       0.441000       0.024244       0.000000
       0.442000       0.024228       0.000000
       0.443000       0.024232       0.000000
       0.444000       0.024255       0.000000
       0.445000       0.024289       0.000000
       0.446000       0.024328       0.000000
       0.447000       0.024375       0.000000
       0.448000       0.024435       0.000000
       0.449000       0.024515       0.000000
       0.450000       0.024611       0.000000
       0.451000       0.024714       0.000000
       0.452000       0.024818       0.000000
       0.453000       0.024928       0.000000
       0.454000       0.025060       0.000000
       0.455000       0.025228       0.000000
       0.456000       0.025429       0.000000
       0.457000       0.025648       0.000000
       0.458000       0.025874       0.000000
       0.459000       0.026109       0.000000
       0.460000       0.026362       0.000000
       0.461000       0.026643       0.000000
       0.462000       0.026956       0.000000
       0.463000       0.027305       0.000000
       0.464000       0.027691       0.000000
       0.465000       0.028107       0.000000
       0.466000       0.028539       0.000000
       0.467000       0.028978       0.000000
       0.468000       0.029430       0.000000
       0.469000       0.029916       0.000000
       0.470000       0.030452       0.000000
       0.471000       0.031036       0.000000
       0.472000       0.031655       0.000000
       0.473000       0.032296       0.000000
       0.474000       0.032950       0.000000
       0.475000       0.033613       0.000000
       0.476000       0.034283       0.000000
       0.477000       0.034955       0.000000
       0.478000       0.035628       0.000000
       0.479000       0.036299       0.000000
       0.480000       0.036966       0.000000
       0.481000       0.037625       0.000000
       0.482000       0.038272       0.000000
       0.483000       0.038901       0.000000
       0.484000       0.039507       0.000000
       0.485000       0.040083       0.000000
       0.486000       0.040627       0.000000
       0.487000       0.041136       0.000000
       0.488000       0.041609       0.000000
       0.489000       0.042045       0.000000
       0.490000       0.042445       0.000000
       0.491000       0.042807       0.000000
       0.492000       0.043136       0.000000
       0.493000       0.043436       0.000000
       0.494000       0.043714       0.000000
       0.495000       0.043971       0.000000
       0.496000       0.044209       0.000000
       0.497000       0.044428       0.000000
       0.498000       0.044628       0.000000
       0.499000       0.044807       0.000000
       0.500000       0.044963       0.000000
       0.501000       0.045100       0.000000
       0.502000       0.045225       0.000000
       0.503000       0.045344       0.000000
       0.504000       0.045456       0.000000
       0.505000       0.045558       0.000000
       0.506000       0.045648       0.000000
       0.507000       0.045725       0.000000
       0.508000       0.045792       0.000000
       0.509000       0.045851       0.000000
       0.510000       0.045902       0.000000
       0.511000       0.045946       0.000000
       0.512000       0.045981       0.000000
       0.513000       0.046008       0.000000
       0.514000       0.046026       0.000000
       0.515000       0.046035       0.000000
       0.516000       0.046035       0.000000
       0.517000       0.046027       0.000000
       0.518000       0.046013       0.000000
       0.519000       0.045991       0.000000
       0.520000       0.045957       0.000000
       0.521000       0.045911       0.000000
       0.522000       0.045852       0.000000
       0.523000       0.045784       0.000000
       0.524000       0.045709       0.000000
       0.525000       0.045626       0.000000
       0.526000       0.045528       0.000000
       0.527000       0.045410       0.000000
       0.528000       0.045272       0.000000
       0.529000       0.045116       0.000000
       0.530000       0.044945       0.000000
       0.531000       0.044760       0.000000
       0.532000       0.044561       0.000000
       0.533000       0.044347       0.000000
       0.534000       0.044119       0.000000
       0.535000       0.043875       0.000000
       0.536000       0.043615       0.000000
       0.537000       0.043339       0.000000
       0.538000       0.043048       0.000000
       0.539000       0.042740       0.000000
       0.540000       0.042418       0.000000
       0.541000       0.042083       0.000000
       0.542000       0.041734       0.000000
       0.543000       0.041373       0.000000
       0.544000       0.040997       0.000000
       0.545000       0.040606       0.000000
       0.546000       0.040204       0.000000
       0.547000       0.039794       0.000000
       0.548000       0.039380       0.000000
       0.549000       0.038962       0.000000
       0.550000       0.038537       0.000000
       0.551000       0.038101       0.000000
       0.552000       0.037654       0.000000
       0.553000       0.037199       0.000000
       0.554000       0.036739       0.000000
       0.555000       0.036274       0.000000
       0.556000       0.035806       0.000000
       0.557000       0.035335       0.000000
       0.558000       0.034861       0.000000
       0.559000       0.034382       0.000000
       0.560000       0.033895       0.000000
       0.561000       0.033404       0.000000
       0.562000       0.032910       0.000000
       0.563000       0.032420       0.000000
       0.564000       0.031931       0.000000
       0.565000       0.031443       0.000000
       0.566000       0.030953       0.000000
       0.567000       0.030461       0.000000
       0.568000       0.029971       0.000000
       0.569000       0.029483       0.000000
       0.570000       0.029000       0.000000
       0.571000       0.028521       0.000000
       0.572000       0.028046       0.000000
       0.573000       0.027575       0.000000
       0.574000       0.027108       0.000000
       0.575000       0.026645       0.000000
       0.576000       0.026189       0.000000
       0.577000       0.025741       0.000000
       0.578000       0.025306       0.000000
       0.579000       0.024883       0.000000
       0.580000       0.024469       0.000000
       0.581000       0.024065       0.000000
       0.582000       0.023672       0.000000
       0.583000       0.023294       0.000000
       0.584000       0.022932       0.000000
       0.585000       0.022587       0.000000
       0.586000       0.022254       0.000000
       0.587000       0.021930       0.000000
       0.588000       0.021617       0.000000
       0.589000       0.021316       0.000000
       0.590000       0.021031       0.000000
       0.591000       0.020761       0.000000
       0.592000       0.020505       0.000000
       0.593000       0.020264       0.000000
       0.594000       0.020034       0.000000
       0.595000       0.019815       0.000000
       0.596000       0.019606       0.000000
       0.597000       0.019405       0.000000
       0.598000       0.019214       0.000000
       0.599000       0.019032       0.000000
       0.600000       0.018861       0.000000
       0.601000       0.018701       0.000000
       0.602000       0.018556       0.000000
       0.603000       0.018422       0.000000
       0.604000       0.018297       0.000000
       0.605000       0.018176       0.000000
       0.606000       0.018058       0.000000
       0.607000       0.017941       0.000000
       0.608000       0.017827       0.000000
       0.609000       0.017714       0.000000
       0.610000       0.017603       0.000000
       0.611000       0.017494       0.000000
       0.612000       0.017389       0.000000
       0.613000       0.017288       0.000000
       0.614000       0.017191       0.000000
       0.615000       0.017098       0.000000
       0.616000       0.017007       0.000000
       0.617000       0.016918       0.000000
       0.618000       0.016828       0.000000
       0.619000       0.016740       0.000000
       0.620000       0.016652       0.000000
       0.621000       0.016566       0.000000
       0.622000       0.016481       0.000000
       0.623000       0.016396       0.000000
       0.624000       0.016312       0.000000
       0.625000       0.016229       0.000000
       0.626000       0.016148       0.000000
       0.627000       0.016069       0.000000
       0.628000       0.015993       0.000000
       0.629000       0.015920       0.000000
       0.630000       0.015852       0.000000
       0.631000       0.015788       0.000000
       0.632000       0.015729       0.000000
       0.633000       0.015676       0.000000
       0.634000       0.015628       0.000000
       0.635000       0.015585       0.000000
       0.636000       0.015547       0.000000
       0.637000       0.015514       0.000000
       0.638000       0.015487       0.000000
       0.639000       0.015466       0.000000
       0.640000       0.015453       0.000000
       0.641000       0.015448       0.000000
       0.642000       0.015451       0.000000
       0.643000       0.015463       0.000000
       0.644000       0.015485       0.000000
       0.645000       0.015519       0.000000
       0.646000       0.015566       0.000000
       0.647000       0.015627       0.000000
       0.648000       0.015702       0.000000
       0.649000       0.015788       0.000000
       0.650000       0.015884       0.000000
       0.651000       0.015993       0.000000
       0.652000       0.016118       0.000000
       0.653000       0.016265       0.000000
       0.654000       0.016433       0.000000
       0.655000       0.016622       0.000000
       0.656000       0.016830       0.000000
       0.657000       0.017059       0.000000
       0.658000       0.017308       0.000000
       0.659000       0.017581       0.000000
       0.660000       0.017879       0.000000
       0.661000       0.018206       0.000000
       0.662000       0.018567       0.000000
       0.663000       0.018962       0.000000
       0.664000       0.019395       0.000000
       0.665000       0.019867       0.000000
       0.666000       0.020378       0.000000
       0.667000       0.020929       0.000000
       0.668000       0.021521       0.000000
       0.669000       0.022159       0.000000
       0.670000       0.022850       0.000000
       0.671000       0.023600       0.000000
       0.672000       0.024413       0.000000
       0.673000       0.025292       0.000000
       0.674000       0.026239       0.000000
       0.675000       0.027257       0.000000
       0.676000       0.028352       0.000000
       0.677000       0.029529       0.000000
       0.678000       0.030793       0.000000
       0.679000       0.032151       0.000000
       0.680000       0.033610       0.000000
       0.681000       0.035174       0.000000
       0.682000       0.036843       0.000000
       0.683000       0.038620       0.000000
       0.684000       0.040511       0.000000
       0.685000       0.042523       0.000000
       0.686000       0.044663       0.000000
       0.687000       0.046940       0.000000
       0.688000       0.049357       0.000000
       0.689000       0.051922       0.000000
       0.690000       0.054639       0.000000
       0.691000       0.057511       0.000000
       0.692000       0.060542       0.000000
       0.693000       0.063734       0.000000
       0.694000       0.067090       0.000000
       0.695000       0.070613       0.000000
       0.696000       0.074308       0.000000
       0.697000       0.078178       0.000000
       0.698000       0.082227       0.000000
       0.699000       0.086460       0.000000
       0.700000       0.090876       0.000000
       0.701000       0.095480       0.000000
       0.702000       0.100272       0.000000
       0.703000       0.105253       0.000000
       0.704000       0.110426       0.000000
       0.705000       0.115790       0.000000
       0.706000       0.121345       0.000000
       0.707000       0.127092       0.000000
       0.708000       0.133031       0.000000
       0.709000       0.139166       0.000000
       0.710000       0.145497       0.000000
       0.711000       0.152021       0.000000
       0.712000       0.158733       0.000000
       0.713000       0.165628       0.000000
       0.714000       0.172700       0.000000
       0.715000       0.179950       0.000000
       0.716000       0.187376       0.000000
       0.717000       0.194975       0.000000
       0.718000       0.202742       0.000000
       0.719000       0.210673       0.000000
       0.720000       0.218763       0.000000
       0.721000       0.227007       0.000000
       0.722000       0.235398       0.000000
       0.723000       0.243926       0.000000
       0.724000       0.252577       0.000000
       0.725000       0.261338       0.000000
       0.726000       0.270199       0.000000
       0.727000       0.279151       0.000000
       0.728000       0.288185       0.000000
       0.729000       0.297288       0.000000
       0.730000       0.306448       0.000000
       0.731000       0.315651       0.000000
       0.732000       0.324881       0.000000
       0.733000       0.334123       0.000000
       0.734000       0.343359       0.000000
       0.735000       0.352572       0.000000
       0.736000       0.361740       0.000000
       0.737000       0.370844       0.000000
       0.738000       0.379870       0.000000
       0.739000       0.388805       0.000000
       0.740000       0.397639       0.000000
       0.741000       0.406352       0.000000
       0.742000       0.414923       0.000000
       0.743000       0.423332       0.000000
       0.744000       0.431571       0.000000
       0.745000       0.439640       0.000000
       0.746000       0.447536       0.000000
       0.747000       0.455243       0.000000
       0.748000       0.462734       0.000000
       0.749000       0.469985       0.000000
       0.750000       0.476993       0.000000
       0.751000       0.483766       0.000000
       0.752000       0.490315       0.000000
       0.753000       0.496638       0.000000
       0.754000       0.502731       0.000000
       0.755000       0.508589       0.000000
       0.756000       0.514212       0.000000
       0.757000       0.519602       0.000000
       0.758000       0.524759       0.000000
       0.759000       0.529689       0.000000
       0.760000       0.534399       0.000000
       0.761000       0.538896       0.000000
       0.762000       0.543184       0.000000
       0.763000       0.547267       0.000000
       0.764000       0.551150       0.000000
       0.765000       0.554837       0.000000
       0.766000       0.558332       0.000000
       0.767000       0.561640       0.000000
       0.768000       0.564769       0.000000
       0.769000       0.567728       0.000000
       0.770000       0.570528       0.000000
       0.771000       0.573174       0.000000
       0.772000       0.575670       0.000000
       0.773000       0.578022       0.000000
       0.774000       0.580238       0.000000
       0.775000       0.582330       0.000000
       0.776000       0.584308       0.000000
       0.777000       0.586176       0.000000
       0.778000       0.587936       0.000000
       0.779000       0.589586       0.000000
       0.780000       0.591133       0.000000
       0.781000       0.592585       0.000000
       0.782000       0.593951       0.000000
       0.783000       0.595236       0.000000
       0.784000       0.596445       0.000000
       0.785000       0.597585       0.000000
       0.786000       0.598657       0.000000
       0.787000       0.599664       0.000000
       0.788000       0.600608       0.000000
       0.789000       0.601492       0.000000
       0.790000       0.602322       0.000000
       0.791000       0.603101       0.000000
       0.792000       0.603833       0.000000
       0.793000       0.604520       0.000000
       0.794000       0.605164       0.000000
       0.795000       0.605769       0.000000
       0.796000       0.606342       0.000000
       0.797000       0.606888       0.000000
       0.798000       0.607407       0.000000
       0.799000       0.607896       0.000000
       0.800000       0.608353       0.000000
       0.801000       0.608779       0.000000
       0.802000       0.609179       0.000000
       0.803000       0.609556       0.000000
       0.804000       0.609912       0.000000
       0.805000       0.610249       0.000000
