USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Jarosite_on_Qtzite BR93-34A2 W1R1Bb AREF
copy of splib05a r 9200                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.048302       0.000702
       0.305100       0.049169       0.000929
       0.309100       0.050192       0.000660
       0.313100       0.050878       0.000499
       0.317100       0.051355       0.000817
       0.321100       0.052271       0.000848
       0.325100       0.052751       0.000619
       0.329100       0.052891       0.000598
       0.333100       0.053201       0.000520
       0.337100       0.053454       0.000502
       0.341100       0.053635       0.000506
       0.345100       0.053903       0.000597
       0.349100       0.054194       0.000525
       0.353100       0.054253       0.000664
       0.357100       0.054633       0.000497
       0.360600       0.054666       0.000519
       0.363600       0.055268       0.000607
       0.366600       0.055183       0.000482
       0.369600       0.055539       0.000444
       0.372600       0.055577       0.000549
       0.375600       0.055557       0.000794
       0.378600       0.056113       0.000436
       0.381100       0.055742       0.000482
       0.383100       0.056692       0.000513
       0.385100       0.056758       0.000481
       0.387100       0.056994       0.000668
       0.389100       0.057468       0.000490
       0.391100       0.057788       0.000480
       0.393100       0.058191       0.000508
       0.395100       0.058699       0.000441
       0.397100       0.059188       0.000614
       0.399100       0.060122       0.000646
       0.401100       0.060637       0.000477
       0.403100       0.061649       0.000434
       0.405100       0.062102       0.000462
       0.407100       0.063294       0.000524
       0.409100       0.063655       0.000434
       0.411100       0.064337       0.000698
       0.412800       0.064937       0.000550
       0.415800       0.065667       0.000479
       0.418800       0.065469       0.000528
       0.421800       0.066123       0.000617
       0.424800       0.065582       0.000486
       0.427800       0.065482       0.000509
       0.430800       0.064771       0.000438
       0.433800       0.064455       0.000457
       0.436800       0.064830       0.000551
       0.439800       0.065783       0.000666
       0.442800       0.067082       0.000828
       0.445800       0.068344       0.000470
       0.448800       0.069641       0.000533
       0.451300       0.070585       0.000665
       0.453300       0.071976       0.000826
       0.455300       0.072925       0.000604
       0.457300       0.073177       0.000930
       0.459300       0.073726       0.000700
       0.461300       0.074375       0.000545
       0.463300       0.074971       0.000755
       0.465300       0.076165       0.000526
       0.467300       0.076341       0.000574
       0.469300       0.076249       0.000578
       0.471300       0.077524       0.000697
       0.473300       0.077667       0.000560
       0.475300       0.078187       0.000556
       0.477300       0.078673       0.000587
       0.479300       0.078742       0.000763
       0.481300       0.079294       0.000568
       0.483300       0.079970       0.000510
       0.485300       0.080553       0.000623
       0.487300       0.081301       0.000570
       0.489300       0.081736       0.000551
       0.491300       0.082159       0.000674
       0.493300       0.082851       0.000492
       0.495300       0.083465       0.000595
       0.497300       0.084827       0.000596
       0.499300       0.085564       0.000538
       0.501300       0.086162       0.000601
       0.503300       0.087609       0.000546
       0.505300       0.088104       0.000714
       0.507300       0.088837       0.000637
       0.509300       0.091072       0.000533
       0.511300       0.091229       0.000595
       0.513300       0.093005       0.000791
       0.515300       0.094116       0.000557
       0.517300       0.096285       0.000711
       0.519300       0.097097       0.000590
       0.521300       0.098929       0.000570
       0.523300       0.100294       0.000537
       0.525300       0.102386       0.000570
       0.527300       0.104650       0.000599
       0.529300       0.106301       0.000605
       0.531300       0.108077       0.000849
       0.533300       0.110399       0.000658
       0.535300       0.112691       0.000592
       0.537300       0.115299       0.000871
       0.539300       0.117342       0.000667
       0.541300       0.120670       0.000830
       0.543300       0.123060       0.000694
       0.545300       0.126038       0.000769
       0.547300       0.129498       0.000668
       0.549300       0.132623       0.000559
       0.551300       0.135347       0.000607
       0.553300       0.138964       0.000541
       0.555300       0.142477       0.000602
       0.557300       0.145652       0.000632
       0.559300       0.148993       0.000902
       0.561300       0.153204       0.000543
       0.563300       0.156788       0.000515
       0.565300       0.159925       0.000627
       0.567300       0.162946       0.000575
       0.569300       0.165637       0.000598
       0.571300       0.169126       0.000846
       0.573300       0.171991       0.000570
       0.575300       0.174741       0.000565
       0.577300       0.176417       0.000617
       0.579300       0.179276       0.000471
       0.581300       0.182185       0.000459
       0.583300       0.184963       0.000493
       0.585300       0.187163       0.000482
       0.587300       0.189503       0.000598
       0.589300       0.192098       0.000608
       0.591300       0.193657       0.000443
       0.593300       0.196570       0.000473
       0.595300       0.198138       0.000476
       0.597300       0.199523       0.001043
       0.599300       0.201803       0.001269
       0.601100       0.203229       0.000772
       0.602700       0.204191       0.000555
       0.604300       0.205546       0.000591
       0.605900       0.206663       0.000608
       0.607500       0.207918       0.000457
       0.609100       0.209131       0.000653
       0.610700       0.209942       0.000659
       0.612300       0.211020       0.000682
       0.613900       0.211487       0.000695
       0.615500       0.214081       0.000690
       0.617100       0.214224       0.000643
       0.618700       0.215600       0.000601
       0.620300       0.215315       0.000713
       0.621900       0.216390       0.000674
       0.623500       0.217794       0.000685
       0.625100       0.218408       0.000756
       0.626700       0.219312       0.000608
       0.628300       0.220566       0.000917
       0.629900       0.220464       0.000669
       0.631700       0.221347       0.000558
       0.633700       0.222675       0.000781
       0.635700       0.223399       0.000607
       0.637700       0.224574       0.000537
       0.639700       0.226420       0.000576
       0.641700       0.226564       0.000665
       0.643700       0.227637       0.000636
       0.645700       0.228540       0.000835
       0.647700       0.230238       0.000473
       0.649700       0.231396       0.000423
       0.651700       0.232947       0.000569
       0.653700       0.234511       0.000466
       0.655700       0.235896       0.000504
       0.657700       0.237158       0.000495
       0.659700       0.238242       0.000503
       0.661700       0.240203       0.000652
       0.663700       0.242436       0.000492
       0.665700       0.244619       0.000450
       0.667700       0.246059       0.000662
       0.670200       0.248568       0.000550
       0.673200       0.252164       0.000652
       0.676200       0.254667       0.000671
       0.679200       0.257837       0.000374
       0.682200       0.261442       0.000482
       0.685200       0.264883       0.000548
       0.688200       0.268116       0.000468
       0.691200       0.271628       0.000499
       0.694200       0.275301       0.000499
       0.697200       0.278359       0.000605
       0.700200       0.282365       0.000650
       0.702000       0.283205       0.000750
       0.704000       0.285445       0.000738
       0.706000       0.287250       0.000684
       0.708000       0.289497       0.000620
       0.710000       0.291220       0.000810
       0.712000       0.292941       0.000586
       0.714000       0.295010       0.000630
       0.716000       0.296142       0.000657
       0.718000       0.297305       0.000493
       0.720000       0.298494       0.000458
       0.722000       0.299494       0.000482
       0.724000       0.300843       0.000564
       0.726000       0.301445       0.000497
       0.728000       0.301702       0.000575
       0.730000       0.302762       0.000418
       0.732000       0.302436       0.000434
       0.734000       0.303082       0.000448
       0.736000       0.302293       0.000523
       0.738000       0.302421       0.000673
       0.740000       0.301860       0.000614
       0.742000       0.301516       0.000543
       0.744000       0.300256       0.000536
       0.746000       0.299650       0.000586
       0.748000       0.298128       0.000463
       0.750500       0.296838       0.000583
       0.753500       0.294172       0.000428
       0.756500       0.291419       0.000515
       0.759500       0.288792       0.000506
       0.762500       0.285659       0.000498
       0.765500       0.282276       0.000555
       0.768500       0.279091       0.000557
       0.771500       0.274831       0.000523
       0.774500       0.272311       0.000545
       0.777500       0.267521       0.000526
       0.781000       0.262841       0.000472
       0.785000       0.257417       0.000502
       0.789000       0.252177       0.000552
       0.793000       0.246715       0.000505
       0.797000       0.241478       0.000442
       0.801500       0.235594       0.000513
       0.806500       0.230002       0.000515
       0.811500       0.224501       0.000541
       0.816500       0.219041       0.000552
       0.822000       0.213720       0.000601
       0.828000       0.207053       0.000701
       0.835000       0.200759       0.000740
       0.843000       0.195531       0.001304
       0.851000       0.190301       0.001397
       0.859000       0.184173       0.001341
       0.871000       0.181373       0.001347
       0.883000       0.175841       0.001292
       0.894000       0.174238       0.000960
       0.904000       0.170576       0.000777
       0.914000       0.168857       0.000873
       0.924000       0.170571       0.001117
       0.933000       0.171109       0.000713
       0.941000       0.170164       0.000882
       0.949000       0.169739       0.000905
       0.957000       0.173421       0.000809
       0.964000       0.172079       0.001052
       0.970000       0.175242       0.001109
       0.976000       0.178510       0.000966
       0.982000       0.180173       0.000768
       0.988000       0.183610       0.000757
       0.994000       0.185720       0.000752
       1.000000       0.187152       0.000909
       1.006000       0.191839       0.000693
       1.012000       0.193541       0.000748
       1.018000       0.199117       0.000864
       1.023500       0.202528       0.000925
       1.028500       0.206060       0.000851
       1.033500       0.207326       0.000785
       1.038500       0.212365       0.000801
       1.043500       0.216954       0.000924
       1.048500       0.219259       0.000746
       1.053500       0.224220       0.000617
       1.058500       0.228848       0.000832
       1.063500       0.232176       0.000888
       1.068500       0.235899       0.000834
       1.073500       0.241333       0.000900
       1.078500       0.245797       0.000766
       1.083500       0.250815       0.000749
       1.088500       0.253447       0.000707
       1.093500       0.257922       0.000723
       1.098500       0.262669       0.000611
       1.103500       0.267582       0.000799
       1.108500       0.270521       0.000654
       1.113500       0.275086       0.000677
       1.118500       0.279432       0.000719
       1.123500       0.284925       0.000666
       1.128500       0.288433       0.000591
       1.133500       0.293177       0.000832
       1.138500       0.298085       0.000606
       1.143500       0.302910       0.000783
       1.148500       0.306303       0.000750
       1.153500       0.310110       0.000742
       1.158500       0.315732       0.000678
       1.163500       0.320087       0.000815
       1.168500       0.322717       0.000781
       1.173500       0.329281       0.000786
       1.178500       0.335209       0.000781
       1.183500       0.339590       0.000676
       1.188500       0.345589       0.000963
       1.193500       0.349105       0.000711
       1.198500       0.353148       0.000683
       1.203500       0.360007       0.000741
       1.208500       0.364511       0.000783
       1.213500       0.369859       0.000708
       1.218500       0.375035       0.000720
       1.223500       0.380665       0.000739
       1.228500       0.385120       0.000661
       1.233500       0.390821       0.000707
       1.238500       0.395603       0.000690
       1.243500       0.400481       0.000814
       1.248500       0.406210       0.000728
       1.253500       0.411933       0.000616
       1.258500       0.417600       0.000651
       1.263500       0.422208       0.000718
       1.268500       0.428454       0.000690
       1.273500       0.432153       0.000718
       1.278500       0.439239       0.000623
       1.283500       0.444542       0.000554
       1.288500       0.449011       0.000707
       1.293500       0.453598       0.000748
       1.298500       0.457472       0.000565
       1.303500       0.462552       0.000675
       1.308500       0.466605       0.000542
       1.313500       0.472521       0.000624
       1.318500       0.477704       0.000626
       1.323500       0.482524       0.000630
       1.328500       0.488777       0.000679
       1.333500       0.494209       0.000785
       1.338500       0.500447       0.000719
       1.343500       0.506032       0.000668
       1.348500       0.509392       0.000719
       1.353500       0.514512       0.000889
       1.358500       0.517761       0.000893
       1.363500       0.521460       0.000952
       1.368500       0.523766       0.000715
       1.373500       0.523800       0.000917
       1.378500       0.524615       0.000759
       1.383500       0.525719       0.000898
       1.388500       0.515912       0.000968
       1.393500       0.496832       0.000879
       1.398500       0.455137       0.000995
       1.403500       0.421156       0.000943
       1.408500       0.404333       0.001130
       1.413500       0.397648       0.000913
       1.418500       0.419388       0.000984
       1.423500       0.454890       0.001001
       1.428500       0.485794       0.000759
       1.433500       0.509947       0.000887
       1.438500       0.521604       0.000933
       1.443500       0.523609       0.000932
       1.448500       0.518058       0.000911
       1.453500       0.504018       0.000679
       1.458500       0.488659       0.000897
       1.463500       0.464886       0.000740
       1.468500       0.447384       0.000781
       1.473500       0.461287       0.000914
       1.478500       0.488139       0.000857
       1.483500       0.502236       0.000886
       1.488500       0.507338       0.000961
       1.493500       0.510220       0.001183
       1.498500       0.514475       0.001047
       1.503500       0.512774       0.000979
       1.508500       0.513941       0.000916
       1.513500       0.512729       0.000909
       1.518500       0.513552       0.001326
       1.523500       0.517376       0.001107
       1.528500       0.519519       0.001068
       1.534000       0.524041       0.000920
       1.540000       0.532444       0.000881
       1.546000       0.539517       0.000957
       1.552000       0.545018       0.000886
       1.558000       0.552457       0.000989
       1.564000       0.556270       0.000877
       1.570500       0.560025       0.000700
       1.577500       0.564696       0.000588
       1.584500       0.569648       0.000669
       1.591500       0.573306       0.000647
       1.598500       0.576074       0.000696
       1.605500       0.577642       0.000675
       1.612500       0.579842       0.000653
       1.619500       0.581386       0.000724
       1.626500       0.582500       0.000720
       1.633500       0.583150       0.000559
       1.640500       0.583699       0.000663
       1.647500       0.585341       0.000860
       1.654500       0.584256       0.000856
       1.661500       0.582866       0.000859
       1.668500       0.584819       0.000820
       1.676000       0.583217       0.000815
       1.684000       0.585088       0.000988
       1.692000       0.585472       0.001351
       1.700000       0.585666       0.001201
       1.708000       0.586615       0.001333
       1.716000       0.584141       0.001093
       1.724000       0.583239       0.001134
       1.732000       0.581513       0.001338
       1.740000       0.578432       0.001339
       1.748000       0.574527       0.001360
       1.756000       0.571686       0.001329
       1.764000       0.570038       0.001134
       1.772000       0.564965       0.001008
       1.780000       0.564504       0.001334
       1.788000       0.564822       0.001131
       1.796000       0.561057       0.000845
       1.805000       0.551396       0.000671
       1.815000       0.543061       0.000716
       1.825000       0.529774       0.000751
       1.835000       0.501304       0.000815
       1.845000       0.449713       0.000790
       1.855000       0.444332       0.000986
       1.865000       0.460624       0.000722
       1.875000       0.498927       0.000888
       1.885000       0.504932       0.000808
       1.895000       0.483238       0.000755
       1.905000       0.454094       0.000878
       1.915000       0.437677       0.000993
       1.925000       0.427047       0.000901
       1.935000       0.422322       0.000963
       1.945000       0.423963       0.001016
       1.955000       0.424518       0.000896
       1.965000       0.423061       0.000878
       1.975000       0.426334       0.000834
       1.985000       0.427162       0.001055
       1.995000       0.427598       0.001083
       2.005000       0.429369       0.001197
       2.015000       0.432152       0.001225
       2.025000       0.433629       0.001301
       2.035000       0.431561       0.001249
       2.045000       0.427715       0.001223
       2.055000       0.424792       0.001303
       2.065000       0.420510       0.001265
       2.075000       0.418575       0.001012
       2.085000       0.410985       0.001321
       2.095000       0.399741       0.001318
       2.105000       0.385409       0.001324
       2.115000       0.375677       0.001325
       2.125000       0.369088       0.001299
       2.135000       0.364311       0.001306
       2.145000       0.353629       0.001306
       2.155000       0.339774       0.000934
       2.165000       0.319486       0.001283
       2.175000       0.291939       0.001318
       2.185000       0.255740       0.001312
       2.195000       0.223089       0.001321
       2.205000       0.207155       0.001318
       2.215000       0.209433       0.001327
       2.225000       0.227250       0.001333
       2.235000       0.242104       0.001337
       2.245000       0.238197       0.001360
       2.255000       0.208814       0.001355
       2.265000       0.199480       0.001396
       2.275000       0.212191       0.001510
       2.285000       0.242799       0.002065
       2.295000       0.259873       0.002952
       2.305000       0.273532       0.002525
       2.315000       0.274717       0.001818
       2.325000       0.272328       0.001363
