USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Melting_snow mSnw4           W1R1Fa AREF
copy of splib05a r 9457                                     
       0.350000       0.668144       0.000000
       0.351000       0.668144       0.000000
       0.352000       0.668202       0.000000
       0.353000       0.668085       0.000000
       0.354000       0.667616       0.000000
       0.355000       0.666707       0.000000
       0.356000       0.665602       0.000000
       0.357000       0.664632       0.000000
       0.358000       0.664009       0.000000
       0.359000       0.663465       0.000000
       0.360000       0.662613       0.000000
       0.361000       0.661221       0.000000
       0.362000       0.659673       0.000000
       0.363000       0.658505       0.000000
       0.364000       0.658102       0.000000
       0.365000       0.658222       0.000000
       0.366000       0.658470       0.000000
       0.367000       0.658509       0.000000
       0.368000       0.658248       0.000000
       0.369000       0.657652       0.000000
       0.370000       0.656749       0.000000
       0.371000       0.655804       0.000000
       0.372000       0.655144       0.000000
       0.373000       0.654996       0.000000
       0.374000       0.655193       0.000000
       0.375000       0.655471       0.000000
       0.376000       0.655602       0.000000
       0.377000       0.655494       0.000000
       0.378000       0.655094       0.000000
       0.379000       0.654407       0.000000
       0.380000       0.653676       0.000000
       0.381000       0.653203       0.000000
       0.382000       0.653201       0.000000
       0.383000       0.653523       0.000000
       0.384000       0.653929       0.000000
       0.385000       0.654224       0.000000
       0.386000       0.654385       0.000000
       0.387000       0.654429       0.000000
       0.388000       0.654396       0.000000
       0.389000       0.654406       0.000000
       0.390000       0.654601       0.000000
       0.391000       0.655061       0.000000
       0.392000       0.655623       0.000000
       0.393000       0.656063       0.000000
       0.394000       0.656225       0.000000
       0.395000       0.656221       0.000000
       0.396000       0.656235       0.000000
       0.397000       0.656407       0.000000
       0.398000       0.656719       0.000000
       0.399000       0.657115       0.000000
       0.400000       0.657535       0.000000
       0.401000       0.657924       0.000000
       0.402000       0.658224       0.000000
       0.403000       0.658406       0.000000
       0.404000       0.658549       0.000000
       0.405000       0.658756       0.000000
       0.406000       0.659100       0.000000
       0.407000       0.659505       0.000000
       0.408000       0.659862       0.000000
       0.409000       0.660091       0.000000
       0.410000       0.660232       0.000000
       0.411000       0.660354       0.000000
       0.412000       0.660511       0.000000
       0.413000       0.660702       0.000000
       0.414000       0.660910       0.000000
       0.415000       0.661120       0.000000
       0.416000       0.661321       0.000000
       0.417000       0.661502       0.000000
       0.418000       0.661651       0.000000
       0.419000       0.661760       0.000000
       0.420000       0.661820       0.000000
       0.421000       0.661828       0.000000
       0.422000       0.661806       0.000000
       0.423000       0.661782       0.000000
       0.424000       0.661782       0.000000
       0.425000       0.661819       0.000000
       0.426000       0.661905       0.000000
       0.427000       0.662041       0.000000
       0.428000       0.662197       0.000000
       0.429000       0.662333       0.000000
       0.430000       0.662426       0.000000
       0.431000       0.662499       0.000000
       0.432000       0.662593       0.000000
       0.433000       0.662734       0.000000
       0.434000       0.662896       0.000000
       0.435000       0.663037       0.000000
       0.436000       0.663129       0.000000
       0.437000       0.663183       0.000000
       0.438000       0.663219       0.000000
       0.439000       0.663255       0.000000
       0.440000       0.663299       0.000000
       0.441000       0.663354       0.000000
       0.442000       0.663422       0.000000
       0.443000       0.663492       0.000000
       0.444000       0.663552       0.000000
       0.445000       0.663593       0.000000
       0.446000       0.663634       0.000000
       0.447000       0.663699       0.000000
       0.448000       0.663805       0.000000
       0.449000       0.663927       0.000000
       0.450000       0.664036       0.000000
       0.451000       0.664108       0.000000
       0.452000       0.664162       0.000000
       0.453000       0.664225       0.000000
       0.454000       0.664314       0.000000
       0.455000       0.664411       0.000000
       0.456000       0.664485       0.000000
       0.457000       0.664519       0.000000
       0.458000       0.664532       0.000000
       0.459000       0.664555       0.000000
       0.460000       0.664608       0.000000
       0.461000       0.664682       0.000000
       0.462000       0.664760       0.000000
       0.463000       0.664825       0.000000
       0.464000       0.664866       0.000000
       0.465000       0.664875       0.000000
       0.466000       0.664849       0.000000
       0.467000       0.664813       0.000000
       0.468000       0.664802       0.000000
       0.469000       0.664838       0.000000
       0.470000       0.664906       0.000000
       0.471000       0.664982       0.000000
       0.472000       0.665043       0.000000
       0.473000       0.665081       0.000000
       0.474000       0.665090       0.000000
       0.475000       0.665071       0.000000
       0.476000       0.665048       0.000000
       0.477000       0.665052       0.000000
       0.478000       0.665106       0.000000
       0.479000       0.665192       0.000000
       0.480000       0.665286       0.000000
       0.481000       0.665365       0.000000
       0.482000       0.665423       0.000000
       0.483000       0.665454       0.000000
       0.484000       0.665459       0.000000
       0.485000       0.665460       0.000000
       0.486000       0.665484       0.000000
       0.487000       0.665548       0.000000
       0.488000       0.665632       0.000000
       0.489000       0.665707       0.000000
       0.490000       0.665752       0.000000
       0.491000       0.665781       0.000000
       0.492000       0.665813       0.000000
       0.493000       0.665864       0.000000
       0.494000       0.665922       0.000000
       0.495000       0.665970       0.000000
       0.496000       0.665994       0.000000
       0.497000       0.666008       0.000000
       0.498000       0.666029       0.000000
       0.499000       0.666069       0.000000
       0.500000       0.666123       0.000000
       0.501000       0.666180       0.000000
       0.502000       0.666233       0.000000
       0.503000       0.666288       0.000000
       0.504000       0.666358       0.000000
       0.505000       0.666448       0.000000
       0.506000       0.666538       0.000000
       0.507000       0.666603       0.000000
       0.508000       0.666628       0.000000
       0.509000       0.666638       0.000000
       0.510000       0.666667       0.000000
       0.511000       0.666739       0.000000
       0.512000       0.666834       0.000000
       0.513000       0.666922       0.000000
       0.514000       0.666980       0.000000
       0.515000       0.667022       0.000000
       0.516000       0.667069       0.000000
       0.517000       0.667136       0.000000
       0.518000       0.667213       0.000000
       0.519000       0.667285       0.000000
       0.520000       0.667338       0.000000
       0.521000       0.667379       0.000000
       0.522000       0.667415       0.000000
       0.523000       0.667453       0.000000
       0.524000       0.667493       0.000000
       0.525000       0.667535       0.000000
       0.526000       0.667576       0.000000
       0.527000       0.667613       0.000000
       0.528000       0.667642       0.000000
       0.529000       0.667663       0.000000
       0.530000       0.667682       0.000000
       0.531000       0.667712       0.000000
       0.532000       0.667757       0.000000
       0.533000       0.667807       0.000000
       0.534000       0.667845       0.000000
       0.535000       0.667858       0.000000
       0.536000       0.667856       0.000000
       0.537000       0.667853       0.000000
       0.538000       0.667860       0.000000
       0.539000       0.667874       0.000000
       0.540000       0.667892       0.000000
       0.541000       0.667910       0.000000
       0.542000       0.667930       0.000000
       0.543000       0.667957       0.000000
       0.544000       0.667993       0.000000
       0.545000       0.668032       0.000000
       0.546000       0.668064       0.000000
       0.547000       0.668082       0.000000
       0.548000       0.668083       0.000000
       0.549000       0.668065       0.000000
       0.550000       0.668029       0.000000
       0.551000       0.667989       0.000000
       0.552000       0.667964       0.000000
       0.553000       0.667965       0.000000
       0.554000       0.667982       0.000000
       0.555000       0.667997       0.000000
       0.556000       0.667998       0.000000
       0.557000       0.667985       0.000000
       0.558000       0.667966       0.000000
       0.559000       0.667948       0.000000
       0.560000       0.667936       0.000000
       0.561000       0.667935       0.000000
       0.562000       0.667950       0.000000
       0.563000       0.667973       0.000000
       0.564000       0.667996       0.000000
       0.565000       0.668012       0.000000
       0.566000       0.668019       0.000000
       0.567000       0.668015       0.000000
       0.568000       0.668000       0.000000
       0.569000       0.667975       0.000000
       0.570000       0.667939       0.000000
       0.571000       0.667895       0.000000
       0.572000       0.667855       0.000000
       0.573000       0.667831       0.000000
       0.574000       0.667831       0.000000
       0.575000       0.667842       0.000000
       0.576000       0.667847       0.000000
       0.577000       0.667830       0.000000
       0.578000       0.667789       0.000000
       0.579000       0.667724       0.000000
       0.580000       0.667636       0.000000
       0.581000       0.667546       0.000000
       0.582000       0.667473       0.000000
       0.583000       0.667434       0.000000
       0.584000       0.667417       0.000000
       0.585000       0.667403       0.000000
       0.586000       0.667379       0.000000
       0.587000       0.667350       0.000000
       0.588000       0.667324       0.000000
       0.589000       0.667310       0.000000
       0.590000       0.667298       0.000000
       0.591000       0.667280       0.000000
       0.592000       0.667246       0.000000
       0.593000       0.667194       0.000000
       0.594000       0.667121       0.000000
       0.595000       0.667029       0.000000
       0.596000       0.666925       0.000000
       0.597000       0.666819       0.000000
       0.598000       0.666721       0.000000
       0.599000       0.666630       0.000000
       0.600000       0.666543       0.000000
       0.601000       0.666458       0.000000
       0.602000       0.666373       0.000000
       0.603000       0.666287       0.000000
       0.604000       0.666199       0.000000
       0.605000       0.666120       0.000000
       0.606000       0.666063       0.000000
       0.607000       0.666036       0.000000
       0.608000       0.666028       0.000000
       0.609000       0.666024       0.000000
       0.610000       0.666010       0.000000
       0.611000       0.665981       0.000000
       0.612000       0.665932       0.000000
       0.613000       0.665860       0.000000
       0.614000       0.665773       0.000000
       0.615000       0.665681       0.000000
       0.616000       0.665589       0.000000
       0.617000       0.665495       0.000000
       0.618000       0.665392       0.000000
       0.619000       0.665277       0.000000
       0.620000       0.665157       0.000000
       0.621000       0.665041       0.000000
       0.622000       0.664935       0.000000
       0.623000       0.664836       0.000000
       0.624000       0.664735       0.000000
       0.625000       0.664629       0.000000
       0.626000       0.664522       0.000000
       0.627000       0.664423       0.000000
       0.628000       0.664336       0.000000
       0.629000       0.664253       0.000000
       0.630000       0.664163       0.000000
       0.631000       0.664056       0.000000
       0.632000       0.663931       0.000000
       0.633000       0.663787       0.000000
       0.634000       0.663630       0.000000
       0.635000       0.663473       0.000000
       0.636000       0.663335       0.000000
       0.637000       0.663227       0.000000
       0.638000       0.663131       0.000000
       0.639000       0.663022       0.000000
       0.640000       0.662881       0.000000
       0.641000       0.662723       0.000000
       0.642000       0.662571       0.000000
       0.643000       0.662441       0.000000
       0.644000       0.662322       0.000000
       0.645000       0.662196       0.000000
       0.646000       0.662051       0.000000
       0.647000       0.661894       0.000000
       0.648000       0.661736       0.000000
       0.649000       0.661586       0.000000
       0.650000       0.661441       0.000000
       0.651000       0.661297       0.000000
       0.652000       0.661150       0.000000
       0.653000       0.661001       0.000000
       0.654000       0.660850       0.000000
       0.655000       0.660699       0.000000
       0.656000       0.660543       0.000000
       0.657000       0.660377       0.000000
       0.658000       0.660201       0.000000
       0.659000       0.660029       0.000000
       0.660000       0.659878       0.000000
       0.661000       0.659757       0.000000
       0.662000       0.659651       0.000000
       0.663000       0.659533       0.000000
       0.664000       0.659386       0.000000
       0.665000       0.659225       0.000000
       0.666000       0.659073       0.000000
       0.667000       0.658947       0.000000
       0.668000       0.658837       0.000000
       0.669000       0.658729       0.000000
       0.670000       0.658612       0.000000
       0.671000       0.658491       0.000000
       0.672000       0.658373       0.000000
       0.673000       0.658264       0.000000
       0.674000       0.658159       0.000000
       0.675000       0.658049       0.000000
       0.676000       0.657930       0.000000
       0.677000       0.657804       0.000000
       0.678000       0.657675       0.000000
       0.679000       0.657547       0.000000
       0.680000       0.657423       0.000000
       0.681000       0.657307       0.000000
       0.682000       0.657201       0.000000
       0.683000       0.657103       0.000000
       0.684000       0.657015       0.000000
       0.685000       0.656934       0.000000
       0.686000       0.656851       0.000000
       0.687000       0.656759       0.000000
       0.688000       0.656650       0.000000
       0.689000       0.656528       0.000000
       0.690000       0.656397       0.000000
       0.691000       0.656262       0.000000
       0.692000       0.656116       0.000000
       0.693000       0.655953       0.000000
       0.694000       0.655767       0.000000
       0.695000       0.655561       0.000000
       0.696000       0.655339       0.000000
       0.697000       0.655104       0.000000
       0.698000       0.654853       0.000000
       0.699000       0.654577       0.000000
       0.700000       0.654272       0.000000
       0.701000       0.653948       0.000000
       0.702000       0.653617       0.000000
       0.703000       0.653286       0.000000
       0.704000       0.652954       0.000000
       0.705000       0.652611       0.000000
       0.706000       0.652255       0.000000
       0.707000       0.651894       0.000000
       0.708000       0.651539       0.000000
       0.709000       0.651198       0.000000
       0.710000       0.650865       0.000000
       0.711000       0.650532       0.000000
       0.712000       0.650192       0.000000
       0.713000       0.649851       0.000000
       0.714000       0.649515       0.000000
       0.715000       0.649189       0.000000
       0.716000       0.648866       0.000000
       0.717000       0.648537       0.000000
       0.718000       0.648196       0.000000
       0.719000       0.647847       0.000000
       0.720000       0.647496       0.000000
       0.721000       0.647147       0.000000
       0.722000       0.646797       0.000000
       0.723000       0.646439       0.000000
       0.724000       0.646065       0.000000
       0.725000       0.645670       0.000000
       0.726000       0.645251       0.000000
       0.727000       0.644804       0.000000
       0.728000       0.644336       0.000000
       0.729000       0.643856       0.000000
       0.730000       0.643370       0.000000
       0.731000       0.642886       0.000000
       0.732000       0.642408       0.000000
       0.733000       0.641941       0.000000
       0.734000       0.641487       0.000000
       0.735000       0.641049       0.000000
       0.736000       0.640628       0.000000
       0.737000       0.640221       0.000000
       0.738000       0.639824       0.000000
       0.739000       0.639435       0.000000
       0.740000       0.639051       0.000000
       0.741000       0.638673       0.000000
       0.742000       0.638297       0.000000
       0.743000       0.637918       0.000000
       0.744000       0.637528       0.000000
       0.745000       0.637120       0.000000
       0.746000       0.636691       0.000000
       0.747000       0.636239       0.000000
       0.748000       0.635765       0.000000
       0.749000       0.635274       0.000000
       0.750000       0.634775       0.000000
       0.751000       0.634272       0.000000
       0.752000       0.633758       0.000000
       0.753000       0.633217       0.000000
       0.754000       0.632641       0.000000
       0.755000       0.632035       0.000000
       0.756000       0.631407       0.000000
       0.757000       0.630763       0.000000
       0.758000       0.630108       0.000000
       0.759000       0.629441       0.000000
       0.760000       0.628765       0.000000
       0.761000       0.628084       0.000000
       0.762000       0.627399       0.000000
       0.763000       0.626713       0.000000
       0.764000       0.626020       0.000000
       0.765000       0.625315       0.000000
       0.766000       0.624592       0.000000
       0.767000       0.623856       0.000000
       0.768000       0.623110       0.000000
       0.769000       0.622362       0.000000
       0.770000       0.621612       0.000000
       0.771000       0.620864       0.000000
       0.772000       0.620120       0.000000
       0.773000       0.619382       0.000000
       0.774000       0.618650       0.000000
       0.775000       0.617927       0.000000
       0.776000       0.617217       0.000000
       0.777000       0.616524       0.000000
       0.778000       0.615851       0.000000
       0.779000       0.615199       0.000000
       0.780000       0.614564       0.000000
       0.781000       0.613945       0.000000
       0.782000       0.613335       0.000000
       0.783000       0.612730       0.000000
       0.784000       0.612127       0.000000
       0.785000       0.611540       0.000000
       0.786000       0.610986       0.000000
       0.787000       0.610476       0.000000
       0.788000       0.610005       0.000000
       0.789000       0.609560       0.000000
       0.790000       0.609133       0.000000
       0.791000       0.608725       0.000000
       0.792000       0.608339       0.000000
       0.793000       0.607978       0.000000
       0.794000       0.607649       0.000000
       0.795000       0.607356       0.000000
       0.796000       0.607105       0.000000
       0.797000       0.606889       0.000000
       0.798000       0.606702       0.000000
       0.799000       0.606538       0.000000
       0.800000       0.606396       0.000000
       0.801000       0.606278       0.000000
       0.802000       0.606185       0.000000
       0.803000       0.606114       0.000000
       0.804000       0.606062       0.000000
       0.805000       0.606027       0.000000
