USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Melting_snow mSnw1a+0.5_veg  W1R1Fa AREF
copy of splib05a r 9389                                     
       0.350000       0.421831       0.000000
       0.351000       0.421831       0.000000
       0.352000       0.423815       0.000000
       0.353000       0.425109       0.000000
       0.354000       0.425021       0.000000
       0.355000       0.423235       0.000000
       0.356000       0.420932       0.000000
       0.357000       0.419669       0.000000
       0.358000       0.420483       0.000000
       0.359000       0.422335       0.000000
       0.360000       0.423671       0.000000
       0.361000       0.423356       0.000000
       0.362000       0.421955       0.000000
       0.363000       0.420454       0.000000
       0.364000       0.419635       0.000000
       0.365000       0.419453       0.000000
       0.366000       0.419660       0.000000
       0.367000       0.420009       0.000000
       0.368000       0.420266       0.000000
       0.369000       0.420198       0.000000
       0.370000       0.419673       0.000000
       0.371000       0.418941       0.000000
       0.372000       0.418354       0.000000
       0.373000       0.418170       0.000000
       0.374000       0.418283       0.000000
       0.375000       0.418499       0.000000
       0.376000       0.418631       0.000000
       0.377000       0.418536       0.000000
       0.378000       0.418078       0.000000
       0.379000       0.417222       0.000000
       0.380000       0.416312       0.000000
       0.381000       0.415792       0.000000
       0.382000       0.415958       0.000000
       0.383000       0.416524       0.000000
       0.384000       0.417062       0.000000
       0.385000       0.417242       0.000000
       0.386000       0.417157       0.000000
       0.387000       0.416999       0.000000
       0.388000       0.416941       0.000000
       0.389000       0.417074       0.000000
       0.390000       0.417467       0.000000
       0.391000       0.418132       0.000000
       0.392000       0.418854       0.000000
       0.393000       0.419362       0.000000
       0.394000       0.419483       0.000000
       0.395000       0.419443       0.000000
       0.396000       0.419564       0.000000
       0.397000       0.420095       0.000000
       0.398000       0.420970       0.000000
       0.399000       0.422046       0.000000
       0.400000       0.423184       0.000000
       0.401000       0.424265       0.000000
       0.402000       0.425175       0.000000
       0.403000       0.425837       0.000000
       0.404000       0.426320       0.000000
       0.405000       0.426731       0.000000
       0.406000       0.427149       0.000000
       0.407000       0.427539       0.000000
       0.408000       0.427839       0.000000
       0.409000       0.428007       0.000000
       0.410000       0.428084       0.000000
       0.411000       0.428129       0.000000
       0.412000       0.428200       0.000000
       0.413000       0.428338       0.000000
       0.414000       0.428580       0.000000
       0.415000       0.428945       0.000000
       0.416000       0.429387       0.000000
       0.417000       0.429841       0.000000
       0.418000       0.430259       0.000000
       0.419000       0.430657       0.000000
       0.420000       0.431069       0.000000
       0.421000       0.431512       0.000000
       0.422000       0.431936       0.000000
       0.423000       0.432277       0.000000
       0.424000       0.432501       0.000000
       0.425000       0.432692       0.000000
       0.426000       0.432965       0.000000
       0.427000       0.433400       0.000000
       0.428000       0.433938       0.000000
       0.429000       0.434484       0.000000
       0.430000       0.434965       0.000000
       0.431000       0.435385       0.000000
       0.432000       0.435768       0.000000
       0.433000       0.436134       0.000000
       0.434000       0.436482       0.000000
       0.435000       0.436809       0.000000
       0.436000       0.437110       0.000000
       0.437000       0.437374       0.000000
       0.438000       0.437585       0.000000
       0.439000       0.437739       0.000000
       0.440000       0.437849       0.000000
       0.441000       0.437935       0.000000
       0.442000       0.438015       0.000000
       0.443000       0.438085       0.000000
       0.444000       0.438140       0.000000
       0.445000       0.438182       0.000000
       0.446000       0.438260       0.000000
       0.447000       0.438431       0.000000
       0.448000       0.438721       0.000000
       0.449000       0.439029       0.000000
       0.450000       0.439219       0.000000
       0.451000       0.439207       0.000000
       0.452000       0.439107       0.000000
       0.453000       0.439081       0.000000
       0.454000       0.439248       0.000000
       0.455000       0.439542       0.000000
       0.456000       0.439853       0.000000
       0.457000       0.440089       0.000000
       0.458000       0.440227       0.000000
       0.459000       0.440265       0.000000
       0.460000       0.440215       0.000000
       0.461000       0.440149       0.000000
       0.462000       0.440156       0.000000
       0.463000       0.440293       0.000000
       0.464000       0.440480       0.000000
       0.465000       0.440602       0.000000
       0.466000       0.440583       0.000000
       0.467000       0.440492       0.000000
       0.468000       0.440432       0.000000
       0.469000       0.440482       0.000000
       0.470000       0.440615       0.000000
       0.471000       0.440778       0.000000
       0.472000       0.440922       0.000000
       0.473000       0.441012       0.000000
       0.474000       0.441017       0.000000
       0.475000       0.440927       0.000000
       0.476000       0.440816       0.000000
       0.477000       0.440782       0.000000
       0.478000       0.440885       0.000000
       0.479000       0.441054       0.000000
       0.480000       0.441179       0.000000
       0.481000       0.441184       0.000000
       0.482000       0.441099       0.000000
       0.483000       0.440986       0.000000
       0.484000       0.440898       0.000000
       0.485000       0.440868       0.000000
       0.486000       0.440919       0.000000
       0.487000       0.441060       0.000000
       0.488000       0.441223       0.000000
       0.489000       0.441321       0.000000
       0.490000       0.441299       0.000000
       0.491000       0.441215       0.000000
       0.492000       0.441153       0.000000
       0.493000       0.441185       0.000000
       0.494000       0.441313       0.000000
       0.495000       0.441522       0.000000
       0.496000       0.441794       0.000000
       0.497000       0.442082       0.000000
       0.498000       0.442336       0.000000
       0.499000       0.442524       0.000000
       0.500000       0.442680       0.000000
       0.501000       0.442857       0.000000
       0.502000       0.443096       0.000000
       0.503000       0.443392       0.000000
       0.504000       0.443730       0.000000
       0.505000       0.444097       0.000000
       0.506000       0.444488       0.000000
       0.507000       0.444901       0.000000
       0.508000       0.445341       0.000000
       0.509000       0.445839       0.000000
       0.510000       0.446431       0.000000
       0.511000       0.447132       0.000000
       0.512000       0.447865       0.000000
       0.513000       0.448533       0.000000
       0.514000       0.449074       0.000000
       0.515000       0.449576       0.000000
       0.516000       0.450165       0.000000
       0.517000       0.450936       0.000000
       0.518000       0.451860       0.000000
       0.519000       0.452876       0.000000
       0.520000       0.453926       0.000000
       0.521000       0.454946       0.000000
       0.522000       0.455877       0.000000
       0.523000       0.456679       0.000000
       0.524000       0.457409       0.000000
       0.525000       0.458148       0.000000
       0.526000       0.458952       0.000000
       0.527000       0.459782       0.000000
       0.528000       0.460572       0.000000
       0.529000       0.461269       0.000000
       0.530000       0.461861       0.000000
       0.531000       0.462349       0.000000
       0.532000       0.462751       0.000000
       0.533000       0.463158       0.000000
       0.534000       0.463681       0.000000
       0.535000       0.464377       0.000000
       0.536000       0.465074       0.000000
       0.537000       0.465547       0.000000
       0.538000       0.465648       0.000000
       0.539000       0.465540       0.000000
       0.540000       0.465464       0.000000
       0.541000       0.465601       0.000000
       0.542000       0.465900       0.000000
       0.543000       0.466248       0.000000
       0.544000       0.466551       0.000000
       0.545000       0.466779       0.000000
       0.546000       0.466916       0.000000
       0.547000       0.466967       0.000000
       0.548000       0.466997       0.000000
       0.549000       0.467091       0.000000
       0.550000       0.467303       0.000000
       0.551000       0.467579       0.000000
       0.552000       0.467835       0.000000
       0.553000       0.467997       0.000000
       0.554000       0.468044       0.000000
       0.555000       0.467964       0.000000
       0.556000       0.467765       0.000000
       0.557000       0.467528       0.000000
       0.558000       0.467352       0.000000
       0.559000       0.467300       0.000000
       0.560000       0.467284       0.000000
       0.561000       0.467181       0.000000
       0.562000       0.466906       0.000000
       0.563000       0.466539       0.000000
       0.564000       0.466201       0.000000
       0.565000       0.465968       0.000000
       0.566000       0.465745       0.000000
       0.567000       0.465394       0.000000
       0.568000       0.464823       0.000000
       0.569000       0.464130       0.000000
       0.570000       0.463459       0.000000
       0.571000       0.462921       0.000000
       0.572000       0.462487       0.000000
       0.573000       0.462096       0.000000
       0.574000       0.461697       0.000000
       0.575000       0.461290       0.000000
       0.576000       0.460887       0.000000
       0.577000       0.460497       0.000000
       0.578000       0.460126       0.000000
       0.579000       0.459777       0.000000
       0.580000       0.459452       0.000000
       0.581000       0.459163       0.000000
       0.582000       0.458921       0.000000
       0.583000       0.458723       0.000000
       0.584000       0.458515       0.000000
       0.585000       0.458229       0.000000
       0.586000       0.457825       0.000000
       0.587000       0.457365       0.000000
       0.588000       0.456941       0.000000
       0.589000       0.456618       0.000000
       0.590000       0.456371       0.000000
       0.591000       0.456149       0.000000
       0.592000       0.455914       0.000000
       0.593000       0.455667       0.000000
       0.594000       0.455420       0.000000
       0.595000       0.455186       0.000000
       0.596000       0.454975       0.000000
       0.597000       0.454798       0.000000
       0.598000       0.454657       0.000000
       0.599000       0.454525       0.000000
       0.600000       0.454369       0.000000
       0.601000       0.454166       0.000000
       0.602000       0.453941       0.000000
       0.603000       0.453734       0.000000
       0.604000       0.453566       0.000000
       0.605000       0.453389       0.000000
       0.606000       0.453140       0.000000
       0.607000       0.452780       0.000000
       0.608000       0.452367       0.000000
       0.609000       0.451985       0.000000
       0.610000       0.451687       0.000000
       0.611000       0.451405       0.000000
       0.612000       0.451040       0.000000
       0.613000       0.450537       0.000000
       0.614000       0.450014       0.000000
       0.615000       0.449633       0.000000
       0.616000       0.449493       0.000000
       0.617000       0.449447       0.000000
       0.618000       0.449283       0.000000
       0.619000       0.448860       0.000000
       0.620000       0.448314       0.000000
       0.621000       0.447850       0.000000
       0.622000       0.447616       0.000000
       0.623000       0.447530       0.000000
       0.624000       0.447452       0.000000
       0.625000       0.447276       0.000000
       0.626000       0.447030       0.000000
       0.627000       0.446772       0.000000
       0.628000       0.446554       0.000000
       0.629000       0.446392       0.000000
       0.630000       0.446294       0.000000
       0.631000       0.446257       0.000000
       0.632000       0.446233       0.000000
       0.633000       0.446163       0.000000
       0.634000       0.446005       0.000000
       0.635000       0.445779       0.000000
       0.636000       0.445521       0.000000
       0.637000       0.445263       0.000000
       0.638000       0.445015       0.000000
       0.639000       0.444782       0.000000
       0.640000       0.444564       0.000000
       0.641000       0.444339       0.000000
       0.642000       0.444081       0.000000
       0.643000       0.443771       0.000000
       0.644000       0.443404       0.000000
       0.645000       0.442983       0.000000
       0.646000       0.442509       0.000000
       0.647000       0.441993       0.000000
       0.648000       0.441445       0.000000
       0.649000       0.440889       0.000000
       0.650000       0.440409       0.000000
       0.651000       0.440103       0.000000
       0.652000       0.440024       0.000000
       0.653000       0.440044       0.000000
       0.654000       0.439988       0.000000
       0.655000       0.439729       0.000000
       0.656000       0.439324       0.000000
       0.657000       0.438875       0.000000
       0.658000       0.438466       0.000000
       0.659000       0.438101       0.000000
       0.660000       0.437762       0.000000
       0.661000       0.437433       0.000000
       0.662000       0.437096       0.000000
       0.663000       0.436730       0.000000
       0.664000       0.436328       0.000000
       0.665000       0.435930       0.000000
       0.666000       0.435589       0.000000
       0.667000       0.435338       0.000000
       0.668000       0.435136       0.000000
       0.669000       0.434922       0.000000
       0.670000       0.434658       0.000000
       0.671000       0.434395       0.000000
       0.672000       0.434207       0.000000
       0.673000       0.434137       0.000000
       0.674000       0.434115       0.000000
       0.675000       0.434042       0.000000
       0.676000       0.433855       0.000000
       0.677000       0.433629       0.000000
       0.678000       0.433476       0.000000
       0.679000       0.433472       0.000000
       0.680000       0.433567       0.000000
       0.681000       0.433675       0.000000
       0.682000       0.433738       0.000000
       0.683000       0.433804       0.000000
       0.684000       0.433951       0.000000
       0.685000       0.434241       0.000000
       0.686000       0.434678       0.000000
       0.687000       0.435254       0.000000
       0.688000       0.435967       0.000000
       0.689000       0.436852       0.000000
       0.690000       0.437947       0.000000
       0.691000       0.439280       0.000000
       0.692000       0.440815       0.000000
       0.693000       0.442502       0.000000
       0.694000       0.444309       0.000000
       0.695000       0.446283       0.000000
       0.696000       0.448490       0.000000
       0.697000       0.450967       0.000000
       0.698000       0.453641       0.000000
       0.699000       0.456410       0.000000
       0.700000       0.459201       0.000000
       0.701000       0.462069       0.000000
       0.702000       0.465099       0.000000
       0.703000       0.468349       0.000000
       0.704000       0.471765       0.000000
       0.705000       0.475268       0.000000
       0.706000       0.478793       0.000000
       0.707000       0.482348       0.000000
       0.708000       0.485955       0.000000
       0.709000       0.489633       0.000000
       0.710000       0.493386       0.000000
       0.711000       0.497212       0.000000
       0.712000       0.501121       0.000000
       0.713000       0.505162       0.000000
       0.714000       0.509395       0.000000
       0.715000       0.513847       0.000000
       0.716000       0.518415       0.000000
       0.717000       0.522967       0.000000
       0.718000       0.527423       0.000000
       0.719000       0.531933       0.000000
       0.720000       0.536702       0.000000
       0.721000       0.541857       0.000000
       0.722000       0.547209       0.000000
       0.723000       0.552495       0.000000
       0.724000       0.557514       0.000000
       0.725000       0.562338       0.000000
       0.726000       0.567103       0.000000
       0.727000       0.571916       0.000000
       0.728000       0.576776       0.000000
       0.729000       0.581653       0.000000
       0.730000       0.586514       0.000000
       0.731000       0.591317       0.000000
       0.732000       0.596021       0.000000
       0.733000       0.600583       0.000000
       0.734000       0.604975       0.000000
       0.735000       0.609170       0.000000
       0.736000       0.613150       0.000000
       0.737000       0.616924       0.000000
       0.738000       0.620507       0.000000
       0.739000       0.623923       0.000000
       0.740000       0.627211       0.000000
       0.741000       0.630415       0.000000
       0.742000       0.633552       0.000000
       0.743000       0.636525       0.000000
       0.744000       0.639204       0.000000
       0.745000       0.641508       0.000000
       0.746000       0.643529       0.000000
       0.747000       0.645402       0.000000
       0.748000       0.647236       0.000000
       0.749000       0.649034       0.000000
       0.750000       0.650770       0.000000
       0.751000       0.652411       0.000000
       0.752000       0.653893       0.000000
       0.753000       0.655146       0.000000
       0.754000       0.656127       0.000000
       0.755000       0.656899       0.000000
       0.756000       0.657552       0.000000
       0.757000       0.658168       0.000000
       0.758000       0.658784       0.000000
       0.759000       0.659425       0.000000
       0.760000       0.660098       0.000000
       0.761000       0.660732       0.000000
       0.762000       0.661235       0.000000
       0.763000       0.661548       0.000000
       0.764000       0.661742       0.000000
       0.765000       0.661919       0.000000
       0.766000       0.662154       0.000000
       0.767000       0.662398       0.000000
       0.768000       0.662574       0.000000
       0.769000       0.662628       0.000000
       0.770000       0.662599       0.000000
       0.771000       0.662548       0.000000
       0.772000       0.662520       0.000000
       0.773000       0.662499       0.000000
       0.774000       0.662450       0.000000
       0.775000       0.662343       0.000000
       0.776000       0.662158       0.000000
       0.777000       0.661879       0.000000
       0.778000       0.661504       0.000000
       0.779000       0.661101       0.000000
       0.780000       0.660753       0.000000
       0.781000       0.660525       0.000000
       0.782000       0.660412       0.000000
       0.783000       0.660391       0.000000
       0.784000       0.660435       0.000000
       0.785000       0.660511       0.000000
       0.786000       0.660579       0.000000
       0.787000       0.660602       0.000000
       0.788000       0.660547       0.000000
       0.789000       0.660384       0.000000
       0.790000       0.660102       0.000000
       0.791000       0.659782       0.000000
       0.792000       0.659528       0.000000
       0.793000       0.659417       0.000000
       0.794000       0.659430       0.000000
       0.795000       0.659519       0.000000
       0.796000       0.659642       0.000000
       0.797000       0.659758       0.000000
       0.798000       0.659831       0.000000
       0.799000       0.659834       0.000000
       0.800000       0.659780       0.000000
       0.801000       0.659692       0.000000
       0.802000       0.659594       0.000000
       0.803000       0.659512       0.000000
       0.804000       0.659474       0.000000
       0.805000       0.659503       0.000000
