USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Water+Montmor SWy-2+5.01g/l  W1R1Fa AREF
copy of splib05a r 9713                                     
       0.350000       0.045887       0.000000
       0.351000       0.045887       0.000000
       0.352000       0.051140       0.000000
       0.353000       0.055574       0.000000
       0.354000       0.058370       0.000000
       0.355000       0.058996       0.000000
       0.356000       0.058069       0.000000
       0.357000       0.056493       0.000000
       0.358000       0.055140       0.000000
       0.359000       0.054756       0.000000
       0.360000       0.056056       0.000000
       0.361000       0.059196       0.000000
       0.362000       0.062101       0.000000
       0.363000       0.062139       0.000000
       0.364000       0.057868       0.000000
       0.365000       0.052608       0.000000
       0.366000       0.050872       0.000000
       0.367000       0.055640       0.000000
       0.368000       0.063773       0.000000
       0.369000       0.070603       0.000000
       0.370000       0.072632       0.000000
       0.371000       0.071061       0.000000
       0.372000       0.068262       0.000000
       0.373000       0.066295       0.000000
       0.374000       0.065964       0.000000
       0.375000       0.067761       0.000000
       0.376000       0.071748       0.000000
       0.377000       0.076260       0.000000
       0.378000       0.079204       0.000000
       0.379000       0.079247       0.000000
       0.380000       0.078104       0.000000
       0.381000       0.078255       0.000000
       0.382000       0.081441       0.000000
       0.383000       0.086465       0.000000
       0.384000       0.091396       0.000000
       0.385000       0.094641       0.000000
       0.386000       0.095975       0.000000
       0.387000       0.095511       0.000000
       0.388000       0.093632       0.000000
       0.389000       0.091791       0.000000
       0.390000       0.091710       0.000000
       0.391000       0.094465       0.000000
       0.392000       0.098554       0.000000
       0.393000       0.101830       0.000000
       0.394000       0.102781       0.000000
       0.395000       0.102443       0.000000
       0.396000       0.102484       0.000000
       0.397000       0.104137       0.000000
       0.398000       0.106871       0.000000
       0.399000       0.109721       0.000000
       0.400000       0.111872       0.000000
       0.401000       0.113127       0.000000
       0.402000       0.113440       0.000000
       0.403000       0.112913       0.000000
       0.404000       0.112223       0.000000
       0.405000       0.112196       0.000000
       0.406000       0.113417       0.000000
       0.407000       0.115525       0.000000
       0.408000       0.117921       0.000000
       0.409000       0.120111       0.000000
       0.410000       0.122027       0.000000
       0.411000       0.123705       0.000000
       0.412000       0.125200       0.000000
       0.413000       0.126628       0.000000
       0.414000       0.128121       0.000000
       0.415000       0.129739       0.000000
       0.416000       0.131260       0.000000
       0.417000       0.132387       0.000000
       0.418000       0.132965       0.000000
       0.419000       0.133398       0.000000
       0.420000       0.134232       0.000000
       0.421000       0.135848       0.000000
       0.422000       0.137980       0.000000
       0.423000       0.140199       0.000000
       0.424000       0.142147       0.000000
       0.425000       0.143748       0.000000
       0.426000       0.145000       0.000000
       0.427000       0.145946       0.000000
       0.428000       0.146826       0.000000
       0.429000       0.147925       0.000000
       0.430000       0.149424       0.000000
       0.431000       0.151078       0.000000
       0.432000       0.152538       0.000000
       0.433000       0.153567       0.000000
       0.434000       0.154377       0.000000
       0.435000       0.155293       0.000000
       0.436000       0.156570       0.000000
       0.437000       0.158178       0.000000
       0.438000       0.160015       0.000000
       0.439000       0.161962       0.000000
       0.440000       0.163832       0.000000
       0.441000       0.165420       0.000000
       0.442000       0.166591       0.000000
       0.443000       0.167491       0.000000
       0.444000       0.168339       0.000000
       0.445000       0.169313       0.000000
       0.446000       0.170427       0.000000
       0.447000       0.171659       0.000000
       0.448000       0.172969       0.000000
       0.449000       0.174264       0.000000
       0.450000       0.175435       0.000000
       0.451000       0.176418       0.000000
       0.452000       0.177316       0.000000
       0.453000       0.178276       0.000000
       0.454000       0.179391       0.000000
       0.455000       0.180539       0.000000
       0.456000       0.181543       0.000000
       0.457000       0.182281       0.000000
       0.458000       0.182838       0.000000
       0.459000       0.183357       0.000000
       0.460000       0.183962       0.000000
       0.461000       0.184723       0.000000
       0.462000       0.185698       0.000000
       0.463000       0.186900       0.000000
       0.464000       0.188181       0.000000
       0.465000       0.189354       0.000000
       0.466000       0.190285       0.000000
       0.467000       0.191058       0.000000
       0.468000       0.191813       0.000000
       0.469000       0.192657       0.000000
       0.470000       0.193571       0.000000
       0.471000       0.194501       0.000000
       0.472000       0.195400       0.000000
       0.473000       0.196231       0.000000
       0.474000       0.196961       0.000000
       0.475000       0.197585       0.000000
       0.476000       0.198205       0.000000
       0.477000       0.198951       0.000000
       0.478000       0.199893       0.000000
       0.479000       0.200871       0.000000
       0.480000       0.201663       0.000000
       0.481000       0.202124       0.000000
       0.482000       0.202411       0.000000
       0.483000       0.202755       0.000000
       0.484000       0.203325       0.000000
       0.485000       0.204037       0.000000
       0.486000       0.204745       0.000000
       0.487000       0.205337       0.000000
       0.488000       0.205844       0.000000
       0.489000       0.206333       0.000000
       0.490000       0.206872       0.000000
       0.491000       0.207536       0.000000
       0.492000       0.208399       0.000000
       0.493000       0.209489       0.000000
       0.494000       0.210640       0.000000
       0.495000       0.211638       0.000000
       0.496000       0.212335       0.000000
       0.497000       0.212847       0.000000
       0.498000       0.213359       0.000000
       0.499000       0.214012       0.000000
       0.500000       0.214774       0.000000
       0.501000       0.215571       0.000000
       0.502000       0.216345       0.000000
       0.503000       0.217096       0.000000
       0.504000       0.217838       0.000000
       0.505000       0.218590       0.000000
       0.506000       0.219376       0.000000
       0.507000       0.220226       0.000000
       0.508000       0.221153       0.000000
       0.509000       0.222115       0.000000
       0.510000       0.223055       0.000000
       0.511000       0.223932       0.000000
       0.512000       0.224764       0.000000
       0.513000       0.225582       0.000000
       0.514000       0.226426       0.000000
       0.515000       0.227369       0.000000
       0.516000       0.228489       0.000000
       0.517000       0.229823       0.000000
       0.518000       0.231241       0.000000
       0.519000       0.232567       0.000000
       0.520000       0.233679       0.000000
       0.521000       0.234653       0.000000
       0.522000       0.235615       0.000000
       0.523000       0.236660       0.000000
       0.524000       0.237752       0.000000
       0.525000       0.238824       0.000000
       0.526000       0.239816       0.000000
       0.527000       0.240708       0.000000
       0.528000       0.241487       0.000000
       0.529000       0.242159       0.000000
       0.530000       0.242806       0.000000
       0.531000       0.243528       0.000000
       0.532000       0.244394       0.000000
       0.533000       0.245338       0.000000
       0.534000       0.246261       0.000000
       0.535000       0.247088       0.000000
       0.536000       0.247828       0.000000
       0.537000       0.248515       0.000000
       0.538000       0.249181       0.000000
       0.539000       0.249857       0.000000
       0.540000       0.250573       0.000000
       0.541000       0.251346       0.000000
       0.542000       0.252130       0.000000
       0.543000       0.252864       0.000000
       0.544000       0.253509       0.000000
       0.545000       0.254127       0.000000
       0.546000       0.254802       0.000000
       0.547000       0.255589       0.000000
       0.548000       0.256425       0.000000
       0.549000       0.257218       0.000000
       0.550000       0.257896       0.000000
       0.551000       0.258472       0.000000
       0.552000       0.258981       0.000000
       0.553000       0.259455       0.000000
       0.554000       0.259927       0.000000
       0.555000       0.260431       0.000000
       0.556000       0.260983       0.000000
       0.557000       0.261541       0.000000
       0.558000       0.262046       0.000000
       0.559000       0.262460       0.000000
       0.560000       0.262823       0.000000
       0.561000       0.263195       0.000000
       0.562000       0.263618       0.000000
       0.563000       0.264065       0.000000
       0.564000       0.264490       0.000000
       0.565000       0.264856       0.000000
       0.566000       0.265149       0.000000
       0.567000       0.265363       0.000000
       0.568000       0.265501       0.000000
       0.569000       0.265614       0.000000
       0.570000       0.265762       0.000000
       0.571000       0.265989       0.000000
       0.572000       0.266271       0.000000
       0.573000       0.266567       0.000000
       0.574000       0.266838       0.000000
       0.575000       0.267060       0.000000
       0.576000       0.267210       0.000000
       0.577000       0.267278       0.000000
       0.578000       0.267312       0.000000
       0.579000       0.267372       0.000000
       0.580000       0.267497       0.000000
       0.581000       0.267634       0.000000
       0.582000       0.267710       0.000000
       0.583000       0.267675       0.000000
       0.584000       0.267586       0.000000
       0.585000       0.267525       0.000000
       0.586000       0.267552       0.000000
       0.587000       0.267647       0.000000
       0.588000       0.267769       0.000000
       0.589000       0.267876       0.000000
       0.590000       0.267920       0.000000
       0.591000       0.267849       0.000000
       0.592000       0.267641       0.000000
       0.593000       0.267379       0.000000
       0.594000       0.267173       0.000000
       0.595000       0.267099       0.000000
       0.596000       0.267089       0.000000
       0.597000       0.267042       0.000000
       0.598000       0.266883       0.000000
       0.599000       0.266646       0.000000
       0.600000       0.266394       0.000000
       0.601000       0.266183       0.000000
       0.602000       0.266037       0.000000
       0.603000       0.265978       0.000000
       0.604000       0.266007       0.000000
       0.605000       0.266061       0.000000
       0.606000       0.266061       0.000000
       0.607000       0.265954       0.000000
       0.608000       0.265789       0.000000
       0.609000       0.265642       0.000000
       0.610000       0.265572       0.000000
       0.611000       0.265581       0.000000
       0.612000       0.265653       0.000000
       0.613000       0.265766       0.000000
       0.614000       0.265869       0.000000
       0.615000       0.265905       0.000000
       0.616000       0.265837       0.000000
       0.617000       0.265726       0.000000
       0.618000       0.265656       0.000000
       0.619000       0.265685       0.000000
       0.620000       0.265773       0.000000
       0.621000       0.265855       0.000000
       0.622000       0.265880       0.000000
       0.623000       0.265848       0.000000
       0.624000       0.265770       0.000000
       0.625000       0.265668       0.000000
       0.626000       0.265591       0.000000
       0.627000       0.265597       0.000000
       0.628000       0.265719       0.000000
       0.629000       0.265896       0.000000
       0.630000       0.266044       0.000000
       0.631000       0.266100       0.000000
       0.632000       0.266085       0.000000
       0.633000       0.266041       0.000000
       0.634000       0.266007       0.000000
       0.635000       0.266003       0.000000
       0.636000       0.266047       0.000000
       0.637000       0.266144       0.000000
       0.638000       0.266246       0.000000
       0.639000       0.266296       0.000000
       0.640000       0.266261       0.000000
       0.641000       0.266213       0.000000
       0.642000       0.266251       0.000000
       0.643000       0.266436       0.000000
       0.644000       0.266689       0.000000
       0.645000       0.266893       0.000000
       0.646000       0.266962       0.000000
       0.647000       0.266936       0.000000
       0.648000       0.266886       0.000000
       0.649000       0.266872       0.000000
       0.650000       0.266903       0.000000
       0.651000       0.266976       0.000000
       0.652000       0.267083       0.000000
       0.653000       0.267183       0.000000
       0.654000       0.267230       0.000000
       0.655000       0.267197       0.000000
       0.656000       0.267138       0.000000
       0.657000       0.267127       0.000000
       0.658000       0.267218       0.000000
       0.659000       0.267377       0.000000
       0.660000       0.267552       0.000000
       0.661000       0.267696       0.000000
       0.662000       0.267801       0.000000
       0.663000       0.267866       0.000000
       0.664000       0.267898       0.000000
       0.665000       0.267944       0.000000
       0.666000       0.268056       0.000000
       0.667000       0.268269       0.000000
       0.668000       0.268533       0.000000
       0.669000       0.268780       0.000000
       0.670000       0.268960       0.000000
       0.671000       0.269090       0.000000
       0.672000       0.269203       0.000000
       0.673000       0.269329       0.000000
       0.674000       0.269479       0.000000
       0.675000       0.269659       0.000000
       0.676000       0.269865       0.000000
       0.677000       0.270060       0.000000
       0.678000       0.270193       0.000000
       0.679000       0.270237       0.000000
       0.680000       0.270248       0.000000
       0.681000       0.270302       0.000000
       0.682000       0.270451       0.000000
       0.683000       0.270651       0.000000
       0.684000       0.270836       0.000000
       0.685000       0.270950       0.000000
       0.686000       0.270997       0.000000
       0.687000       0.270992       0.000000
       0.688000       0.270953       0.000000
       0.689000       0.270909       0.000000
       0.690000       0.270893       0.000000
       0.691000       0.270920       0.000000
       0.692000       0.270949       0.000000
       0.693000       0.270923       0.000000
       0.694000       0.270803       0.000000
       0.695000       0.270619       0.000000
       0.696000       0.270418       0.000000
       0.697000       0.270239       0.000000
       0.698000       0.270090       0.000000
       0.699000       0.269969       0.000000
       0.700000       0.269864       0.000000
       0.701000       0.269719       0.000000
       0.702000       0.269469       0.000000
       0.703000       0.269074       0.000000
       0.704000       0.268600       0.000000
       0.705000       0.268137       0.000000
       0.706000       0.267749       0.000000
       0.707000       0.267389       0.000000
       0.708000       0.266983       0.000000
       0.709000       0.266475       0.000000
       0.710000       0.265871       0.000000
       0.711000       0.265192       0.000000
       0.712000       0.264456       0.000000
       0.713000       0.263669       0.000000
       0.714000       0.262832       0.000000
       0.715000       0.261943       0.000000
       0.716000       0.260993       0.000000
       0.717000       0.259969       0.000000
       0.718000       0.258867       0.000000
       0.719000       0.257711       0.000000
       0.720000       0.256531       0.000000
       0.721000       0.255352       0.000000
       0.722000       0.254165       0.000000
       0.723000       0.252953       0.000000
       0.724000       0.251689       0.000000
       0.725000       0.250304       0.000000
       0.726000       0.248718       0.000000
       0.727000       0.246878       0.000000
       0.728000       0.244842       0.000000
       0.729000       0.242690       0.000000
       0.730000       0.240500       0.000000
       0.731000       0.238327       0.000000
       0.732000       0.236222       0.000000
       0.733000       0.234240       0.000000
       0.734000       0.232451       0.000000
       0.735000       0.230934       0.000000
       0.736000       0.229741       0.000000
       0.737000       0.228840       0.000000
       0.738000       0.228173       0.000000
       0.739000       0.227684       0.000000
       0.740000       0.227321       0.000000
       0.741000       0.227033       0.000000
       0.742000       0.226778       0.000000
       0.743000       0.226561       0.000000
       0.744000       0.226394       0.000000
       0.745000       0.226284       0.000000
       0.746000       0.226213       0.000000
       0.747000       0.226156       0.000000
       0.748000       0.226094       0.000000
       0.749000       0.226022       0.000000
       0.750000       0.225940       0.000000
       0.751000       0.225854       0.000000
       0.752000       0.225786       0.000000
       0.753000       0.225763       0.000000
       0.754000       0.225800       0.000000
       0.755000       0.225859       0.000000
       0.756000       0.225889       0.000000
       0.757000       0.225853       0.000000
       0.758000       0.225775       0.000000
       0.759000       0.225694       0.000000
       0.760000       0.225642       0.000000
       0.761000       0.225630       0.000000
       0.762000       0.225666       0.000000
       0.763000       0.225749       0.000000
       0.764000       0.225852       0.000000
       0.765000       0.225941       0.000000
       0.766000       0.225995       0.000000
       0.767000       0.226049       0.000000
       0.768000       0.226147       0.000000
       0.769000       0.226323       0.000000
       0.770000       0.226549       0.000000
       0.771000       0.226783       0.000000
       0.772000       0.226991       0.000000
       0.773000       0.227169       0.000000
       0.774000       0.227323       0.000000
       0.775000       0.227462       0.000000
       0.776000       0.227622       0.000000
       0.777000       0.227845       0.000000
       0.778000       0.228158       0.000000
       0.779000       0.228525       0.000000
       0.780000       0.228896       0.000000
       0.781000       0.229234       0.000000
       0.782000       0.229556       0.000000
       0.783000       0.229892       0.000000
       0.784000       0.230263       0.000000
       0.785000       0.230652       0.000000
       0.786000       0.231033       0.000000
       0.787000       0.231384       0.000000
       0.788000       0.231714       0.000000
       0.789000       0.232037       0.000000
       0.790000       0.232370       0.000000
       0.791000       0.232729       0.000000
       0.792000       0.233131       0.000000
       0.793000       0.233580       0.000000
       0.794000       0.234040       0.000000
       0.795000       0.234460       0.000000
       0.796000       0.234805       0.000000
       0.797000       0.235088       0.000000
       0.798000       0.235338       0.000000
       0.799000       0.235577       0.000000
       0.800000       0.235803       0.000000
       0.801000       0.236011       0.000000
       0.802000       0.236194       0.000000
       0.803000       0.236342       0.000000
       0.804000       0.236448       0.000000
       0.805000       0.236503       0.000000
