USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Actinolite NMNHR16485        W1R1Bb AREF
copy of splib05a r 119                                      
       0.205100      -1.23e34        0.091001
       0.213100      -1.23e34        0.044011
       0.221100      -1.23e34        0.021574
       0.229100      -1.23e34        0.014374
       0.236100      -1.23e34        0.009245
       0.242100      -1.23e34        0.005096
       0.248100       0.043473       0.003739
       0.253600       0.047184       0.003739
       0.258600       0.041883       0.003290
       0.263600       0.045457       0.003072
       0.268600       0.041440       0.002870
       0.273100       0.038996       0.003664
       0.277100       0.041145       0.003161
       0.281100       0.053056       0.003320
       0.285100       0.056413       0.002732
       0.289100       0.060396       0.002613
       0.293100       0.067981       0.002515
       0.297100       0.082799       0.002398
       0.301100       0.096638       0.002909
       0.305100       0.107738       0.002727
       0.309100       0.128766       0.002371
       0.313100       0.152298       0.002310
       0.317100       0.172502       0.002194
       0.321100       0.193884       0.002114
       0.325100       0.216812       0.002057
       0.329100       0.238297       0.001953
       0.333100       0.255456       0.001951
       0.337100       0.268778       0.002027
       0.341100       0.281181       0.002004
       0.345100       0.294908       0.001977
       0.349100       0.303744       0.001967
       0.353100       0.320389       0.000787
       0.357100       0.331771       0.000605
       0.360600       0.340739       0.000884
       0.363600       0.351915       0.000600
       0.366600       0.359129       0.000430
       0.369600       0.363621       0.000686
       0.372600       0.368296       0.000794
       0.375600       0.370940       0.000562
       0.378600       0.375258       0.000480
       0.381100       0.377400       0.000389
       0.383100       0.379698       0.000525
       0.385100       0.382230       0.000468
       0.387100       0.385279       0.000470
       0.389100       0.388516       0.000613
       0.391100       0.391005       0.000441
       0.393100       0.393902       0.000588
       0.395100       0.397264       0.000548
       0.397100       0.399011       0.000634
       0.399100       0.401576       0.000546
       0.401100       0.400587       0.001109
       0.403100       0.402789       0.000618
       0.405100       0.406203       0.000618
       0.407100       0.408251       0.000523
       0.409100       0.410395       0.000614
       0.411100       0.412947       0.000842
       0.412800       0.417584       0.000621
       0.415800       0.419902       0.000467
       0.418800       0.424416       0.000522
       0.421800       0.428574       0.000896
       0.424800       0.434127       0.000597
       0.427800       0.437103       0.000418
       0.430800       0.442143       0.000435
       0.433800       0.445980       0.000615
       0.436800       0.449786       0.000517
       0.439800       0.446714       0.000417
       0.442800       0.447851       0.000449
       0.445800       0.451172       0.000799
       0.448800       0.454752       0.000718
       0.451300       0.458329       0.000509
       0.453300       0.460635       0.000613
       0.455300       0.464939       0.000578
       0.457300       0.466844       0.000417
       0.459300       0.468424       0.001371
       0.461300       0.471649       0.000677
       0.463300       0.475591       0.000769
       0.465300       0.476650       0.000796
       0.467300       0.479805       0.000625
       0.469300       0.482089       0.000724
       0.471300       0.485585       0.000818
       0.473300       0.489196       0.000569
       0.475300       0.492234       0.000689
       0.477300       0.493964       0.000994
       0.479300       0.498699       0.000494
       0.481300       0.501493       0.000533
       0.483300       0.504455       0.000698
       0.485300       0.507004       0.000782
       0.487300       0.509242       0.000552
       0.489300       0.510489       0.000677
       0.491300       0.512666       0.000645
       0.493300       0.514341       0.000789
       0.495300       0.516457       0.000677
       0.497300       0.518560       0.000662
       0.499300       0.521030       0.000627
       0.501300       0.523509       0.001105
       0.503300       0.527057       0.000704
       0.505300       0.527094       0.001024
       0.507300       0.527799       0.000586
       0.509300       0.528321       0.000679
       0.511300       0.531668       0.000564
       0.513300       0.534117       0.000699
       0.515300       0.535673       0.000740
       0.517300       0.537442       0.000701
       0.519300       0.537716       0.000814
       0.521300       0.538994       0.000564
       0.523300       0.539001       0.001169
       0.525300       0.538386       0.000823
       0.527300       0.539380       0.000739
       0.529300       0.539672       0.000775
       0.531300       0.539151       0.000876
       0.533300       0.538594       0.000771
       0.535300       0.536987       0.001281
       0.537300       0.538910       0.000651
       0.539300       0.536618       0.000592
       0.541300       0.536378       0.001192
       0.543300       0.536936       0.000769
       0.545300       0.536034       0.000716
       0.547300       0.535013       0.000649
       0.549300       0.533079       0.000809
       0.551300       0.533710       0.000666
       0.553300       0.531361       0.001095
       0.555300       0.532776       0.000606
       0.557300       0.532331       0.001036
       0.559300       0.531338       0.000684
       0.561300       0.529803       0.000692
       0.563300       0.528630       0.000764
       0.565300       0.526838       0.001128
       0.567300       0.526026       0.000883
       0.569300       0.525099       0.000641
       0.571300       0.523793       0.000653
       0.573300       0.522591       0.000468
       0.575300       0.520606       0.000388
       0.577300       0.519211       0.000554
       0.579300       0.517784       0.000609
       0.581300       0.516836       0.000536
       0.583300       0.515002       0.000447
       0.585300       0.512899       0.000863
       0.587300       0.512179       0.000473
       0.589300       0.509563       0.000783
       0.591300       0.508397       0.000509
       0.593300       0.506382       0.000560
       0.595300       0.505024       0.000438
       0.597300       0.502223       0.000628
       0.599300       0.501215       0.000408
       0.601100       0.501329       0.000607
       0.602700       0.498855       0.000629
       0.604300       0.497097       0.000916
       0.605900       0.495637       0.000462
       0.607500       0.494126       0.001037
       0.609100       0.494124       0.000634
       0.610700       0.491724       0.000763
       0.612300       0.491125       0.001291
       0.613900       0.489381       0.000838
       0.615500       0.488494       0.000615
       0.617100       0.486757       0.000514
       0.618700       0.485869       0.000496
       0.620300       0.484723       0.001161
       0.621900       0.483650       0.000751
       0.623500       0.482805       0.000803
       0.625100       0.481435       0.000722
       0.626700       0.480909       0.000828
       0.628300       0.480267       0.000827
       0.629900       0.480020       0.000720
       0.631700       0.478351       0.000667
       0.633700       0.477672       0.000786
       0.635700       0.475858       0.000701
       0.637700       0.475530       0.000519
       0.639700       0.474084       0.000845
       0.641700       0.473877       0.000665
       0.643700       0.473927       0.000417
       0.645700       0.473119       0.000501
       0.647700       0.473618       0.000580
       0.649700       0.472854       0.000452
       0.651700       0.473073       0.000376
       0.653700       0.472389       0.000506
       0.655700       0.471864       0.000591
       0.657700       0.471248       0.000663
       0.659700       0.471707       0.000926
       0.661700       0.472377       0.000593
       0.663700       0.471496       0.000496
       0.665700       0.471937       0.000645
       0.667700       0.472022       0.000471
       0.670200       0.472107       0.000694
       0.673200       0.472594       0.000577
       0.676200       0.473807       0.000511
       0.679200       0.475990       0.000402
       0.682200       0.476194       0.000480
       0.685200       0.477539       0.000449
       0.688200       0.478142       0.000489
       0.691200       0.477080       0.000545
       0.694200       0.476817       0.000768
       0.697200       0.478347       0.000494
       0.700200       0.480240       0.001482
       0.702000       0.480430       0.000478
       0.704000       0.482305       0.000576
       0.706000       0.483328       0.000533
       0.708000       0.483733       0.000481
       0.710000       0.485445       0.000601
       0.712000       0.486433       0.000573
       0.714000       0.487207       0.000864
       0.716000       0.488095       0.000819
       0.718000       0.490601       0.000516
       0.720000       0.490837       0.000648
       0.722000       0.492654       0.000571
       0.724000       0.493511       0.000649
       0.726000       0.494177       0.000474
       0.728000       0.496435       0.000798
       0.730000       0.496046       0.000557
       0.732000       0.497325       0.000671
       0.734000       0.498942       0.000565
       0.736000       0.500211       0.000638
       0.738000       0.501045       0.000705
       0.740000       0.501475       0.000928
       0.742000       0.502618       0.000713
       0.744000       0.505125       0.000751
       0.746000       0.505744       0.000788
       0.748000       0.506805       0.000643
       0.750500       0.509717       0.000498
       0.753500       0.510866       0.000586
       0.756500       0.512451       0.000934
       0.759500       0.514800       0.000618
       0.762500       0.517137       0.000575
       0.765500       0.518346       0.000565
       0.768500       0.520098       0.001149
       0.771500       0.523177       0.000698
       0.774500       0.524824       0.001373
       0.777500       0.527412       0.000843
       0.781000       0.529431       0.000639
       0.785000       0.531190       0.000720
       0.789000       0.533817       0.000657
       0.793000       0.533428       0.000988
       0.797000       0.536162       0.000868
       0.801500       0.537821       0.000506
       0.806500       0.538525       0.000592
       0.811500       0.539019       0.001072
       0.816500       0.539592       0.001135
       0.822000       0.539310       0.000592
       0.828000       0.538763       0.000724
       0.835000       0.536005       0.000575
       0.843000       0.534017       0.000950
       0.851000       0.529994       0.001926
       0.859000       0.529088       0.001613
       0.871000       0.523970       0.001593
       0.883000       0.514255       0.001522
       0.894000       0.508018       0.001548
       0.904000       0.496897       0.000978
       0.914000       0.485443       0.001154
       0.924000       0.474110       0.001296
       0.933000       0.460449       0.001642
       0.941000       0.452797       0.000837
       0.949000       0.437871       0.000874
       0.957000       0.426880       0.001529
       0.964000       0.417257       0.001323
       0.970000       0.408857       0.000969
       0.976000       0.399954       0.001284
       0.982000       0.391925       0.000988
       0.988000       0.383999       0.000715
       0.994000       0.375876       0.000901
       1.000000       0.369305       0.000995
       1.006000       0.365452       0.000960
       1.012000       0.359890       0.000810
       1.018000       0.360825       0.001038
       1.023500       0.360475       0.001369
       1.028500       0.360015       0.001354
       1.033500       0.362661       0.000982
       1.038500       0.363371       0.001424
       1.043500       0.370459       0.000895
       1.048500       0.376200       0.001131
       1.053500       0.384659       0.001026
       1.058500       0.393829       0.000836
       1.063500       0.401694       0.001219
       1.068500       0.416346       0.000891
       1.073500       0.424886       0.001008
       1.078500       0.440284       0.000980
       1.083500       0.451623       0.001445
       1.088500       0.464196       0.001207
       1.093500       0.479139       0.001277
       1.098500       0.490757       0.001203
       1.103500       0.500690       0.000932
       1.108500       0.511626       0.000801
       1.113500       0.520248       0.000796
       1.118500       0.531077       0.000901
       1.123500       0.538647       0.001106
       1.128500       0.547148       0.000763
       1.133500       0.555904       0.001025
       1.138500       0.561921       0.000971
       1.143500       0.569488       0.000834
       1.148500       0.575952       0.000552
       1.153500       0.581368       0.000890
       1.158500       0.586481       0.000782
       1.163500       0.591271       0.001084
       1.168500       0.595521       0.000995
       1.173500       0.601786       0.001079
       1.178500       0.607238       0.000996
       1.183500       0.610685       0.001178
       1.188500       0.615784       0.001166
       1.193500       0.619518       0.000983
       1.198500       0.623148       0.000994
       1.203500       0.629889       0.001073
       1.208500       0.629335       0.001115
       1.213500       0.634007       0.000869
       1.218500       0.639560       0.000616
       1.223500       0.643078       0.000970
       1.228500       0.646025       0.000839
       1.233500       0.650136       0.000958
       1.238500       0.653401       0.000874
       1.243500       0.658354       0.001033
       1.248500       0.659975       0.001017
       1.253500       0.664322       0.000727
       1.258500       0.669026       0.001110
       1.263500       0.672620       0.000978
       1.268500       0.677190       0.000837
       1.273500       0.677071       0.001053
       1.278500       0.680215       0.000987
       1.283500       0.685501       0.001028
       1.288500       0.687938       0.000974
       1.293500       0.690718       0.000670
       1.298500       0.693372       0.000917
       1.303500       0.697250       0.000677
       1.308500       0.703301       0.000674
       1.313500       0.703549       0.000775
       1.318500       0.706768       0.000721
       1.323500       0.710192       0.000979
       1.328500       0.712213       0.000604
       1.333500       0.715568       0.000819
       1.338500       0.718233       0.001000
       1.343500       0.720059       0.000796
       1.348500       0.724167       0.000910
       1.353500       0.724470       0.000954
       1.358500       0.725242       0.001034
       1.363500       0.729398       0.001275
       1.368500       0.727793       0.001172
       1.373500       0.723219       0.001179
       1.378500       0.722938       0.001136
       1.383500       0.725232       0.000978
       1.388500       0.679181       0.001443
       1.393500       0.570616       0.001240
       1.398500       0.635726       0.001158
       1.403500       0.692856       0.000949
       1.408500       0.718269       0.001200
       1.413500       0.733538       0.001461
       1.418500       0.744827       0.001287
       1.423500       0.752276       0.001059
       1.428500       0.755572       0.001053
       1.433500       0.758198       0.001234
       1.438500       0.758210       0.001034
       1.443500       0.762713       0.001133
       1.448500       0.764394       0.000901
       1.453500       0.766025       0.001095
       1.458500       0.765275       0.001229
       1.463500       0.769187       0.001220
       1.468500       0.770181       0.001215
       1.473500       0.770740       0.001342
       1.478500       0.773830       0.001284
       1.483500       0.773359       0.001234
       1.488500       0.776195       0.001417
       1.493500       0.776245       0.001437
       1.498500       0.780145       0.000995
       1.503500       0.780245       0.001448
       1.508500       0.778292       0.001176
       1.513500       0.783097       0.001254
       1.518500       0.783950       0.001271
       1.523500       0.782830       0.001625
       1.528500       0.783393       0.001567
       1.534000       0.787444       0.000939
       1.540000       0.787758       0.001341
       1.546000       0.789565       0.000978
       1.552000       0.790079       0.001199
       1.558000       0.791913       0.001316
       1.564000       0.794478       0.001017
       1.570500       0.790959       0.001124
       1.577500       0.795947       0.000986
       1.584500       0.797336       0.000599
       1.591500       0.797312       0.000920
       1.598500       0.795345       0.000832
       1.605500       0.798800       0.001069
       1.612500       0.798811       0.001013
       1.619500       0.801254       0.000981
       1.626500       0.799437       0.001068
       1.633500       0.802639       0.001014
       1.640500       0.804254       0.001253
       1.647500       0.802725       0.001225
       1.654500       0.802328       0.001183
       1.661500       0.803822       0.001413
       1.668500       0.806340       0.001082
       1.676000       0.804044       0.001556
       1.684000       0.803589       0.001272
       1.692000       0.810201       0.001438
       1.700000       0.808510       0.001710
       1.708000       0.809214       0.001560
       1.716000       0.809277       0.001452
       1.724000       0.804986       0.001076
       1.732000       0.807926       0.001714
       1.740000       0.802187       0.001716
       1.748000       0.806174       0.001715
       1.756000       0.806330       0.001728
       1.764000       0.805483       0.001378
       1.772000       0.802694       0.001213
       1.780000       0.800797       0.001643
       1.788000       0.805825       0.001540
       1.796000       0.801880       0.001537
       1.805000       0.800806       0.000843
       1.815000       0.800026       0.001174
       1.825000       0.793653       0.001175
       1.835000       0.792957       0.001447
       1.845000       0.792233       0.001046
       1.855000       0.786244       0.001424
       1.865000       0.782296       0.000763
       1.875000       0.784381       0.000998
       1.885000       0.779431       0.000966
       1.895000       0.775097       0.001525
       1.905000       0.772734       0.001091
       1.915000       0.768420       0.001475
       1.925000       0.764464       0.001061
       1.935000       0.764778       0.001470
       1.945000       0.757771       0.001723
       1.955000       0.756785       0.001440
       1.965000       0.755182       0.000892
       1.975000       0.751448       0.001528
       1.985000       0.743202       0.001431
       1.995000       0.738393       0.001711
       2.005000       0.733605       0.001378
       2.015000       0.732549       0.001197
       2.025000       0.728190       0.001653
       2.035000       0.724301       0.001698
       2.045000       0.719734       0.001681
       2.055000       0.717412       0.001675
       2.065000       0.711169       0.001701
       2.075000       0.704239       0.001706
       2.085000       0.697181       0.001621
       2.095000       0.698613       0.001682
       2.105000       0.686611       0.001681
       2.115000       0.678946       0.001695
       2.125000       0.672587       0.001619
       2.135000       0.671913       0.001694
       2.145000       0.673617       0.001669
       2.155000       0.665879       0.001698
       2.165000       0.665725       0.001588
       2.175000       0.659614       0.001399
       2.185000       0.651853       0.001695
       2.195000       0.647557       0.001702
       2.205000       0.644428       0.001685
       2.215000       0.637937       0.001714
       2.225000       0.631665       0.001715
       2.235000       0.624655       0.001705
       2.245000       0.601916       0.001714
       2.255000       0.597308       0.001710
       2.265000       0.590558       0.001710
       2.275000       0.560805       0.001944
       2.285000       0.535128       0.002853
       2.295000       0.488344       0.003906
       2.305000       0.469757       0.003855
       2.315000       0.453696       0.002350
       2.325000       0.497757       0.001705
       2.335000       0.550156       0.001704
       2.345000       0.566705       0.001665
