USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Almandine WS478 Garnet       W1R1Bb AREF
copy of splib05a r 246                                      
       0.205100      -1.23e34        0.364540
       0.213100      -1.23e34        0.029302
       0.221100       0.038288       0.007094
       0.229100       0.051972       0.002916
       0.236100       0.055538       0.001897
       0.242100       0.057310       0.001142
       0.248100       0.059093       0.001088
       0.253600       0.059980       0.001059
       0.258600       0.060205       0.001048
       0.263600       0.063955       0.001050
       0.268600       0.064002       0.001062
       0.273100       0.066259       0.001088
       0.277100       0.069699       0.001109
       0.281100       0.073103       0.001145
       0.285100       0.077422       0.001183
       0.289100       0.080747       0.001230
       0.293100       0.087010       0.001273
       0.297100       0.092330       0.001322
       0.301100       0.096232       0.001341
       0.305100       0.105899       0.001399
       0.309100       0.111410       0.001410
       0.313100       0.118825       0.001414
       0.317100       0.125634       0.001457
       0.321100       0.133642       0.001498
       0.325100       0.143392       0.001504
       0.329100       0.150318       0.001508
       0.333100       0.156154       0.001523
       0.337100       0.163057       0.001517
       0.341100       0.172380       0.001541
       0.345100       0.179795       0.001494
       0.349100       0.190208       0.001553
       0.353100       0.193967       0.001026
       0.357100       0.201563       0.000518
       0.360600       0.207665       0.000705
       0.363600       0.209088       0.001457
       0.366600       0.212861       0.001551
       0.369600       0.214587       0.001014
       0.372600       0.220050       0.001357
       0.375600       0.227007       0.001378
       0.378600       0.234848       0.001553
       0.381100       0.239086       0.001247
       0.383100       0.245330       0.001005
       0.385100       0.247456       0.001182
       0.387100       0.251953       0.000955
       0.389100       0.254625       0.001520
       0.391100       0.258358       0.001002
       0.393100       0.260920       0.000869
       0.395100       0.263652       0.000928
       0.397100       0.265658       0.001015
       0.399100       0.267904       0.000962
       0.401100       0.271183       0.001279
       0.403100       0.273717       0.000890
       0.405100       0.276173       0.000909
       0.407100       0.278135       0.000721
       0.409100       0.279214       0.001100
       0.411100       0.281803       0.001167
       0.412800       0.283245       0.000861
       0.415800       0.285478       0.000898
       0.418800       0.288814       0.000975
       0.421800       0.290667       0.001023
       0.424800       0.291538       0.001254
       0.427800       0.294911       0.000880
       0.430800       0.298348       0.000856
       0.433800       0.300415       0.000855
       0.436800       0.306039       0.000860
       0.439800       0.311790       0.000886
       0.442800       0.315738       0.001253
       0.445800       0.318885       0.000888
       0.448800       0.321596       0.001037
       0.451300       0.325669       0.001104
       0.453300       0.323690       0.001608
       0.455300       0.325144       0.001185
       0.457300       0.326372       0.001304
       0.459300       0.325059       0.001465
       0.461300       0.325447       0.001486
       0.463300       0.326218       0.001158
       0.465300       0.326061       0.001158
       0.467300       0.328803       0.001253
       0.469300       0.327996       0.000989
       0.471300       0.328268       0.001256
       0.473300       0.331533       0.001475
       0.475300       0.329785       0.001154
       0.477300       0.330810       0.001024
       0.479300       0.331410       0.000878
       0.481300       0.331964       0.001208
       0.483300       0.334359       0.001595
       0.485300       0.332791       0.001097
       0.487300       0.334041       0.001096
       0.489300       0.332882       0.001172
       0.491300       0.334204       0.001090
       0.493300       0.333916       0.001026
       0.495300       0.333884       0.000967
       0.497300       0.334645       0.001076
       0.499300       0.332728       0.001093
       0.501300       0.333945       0.001041
       0.503300       0.333478       0.001232
       0.505300       0.335857       0.001116
       0.507300       0.336276       0.001054
       0.509300       0.340206       0.000970
       0.511300       0.345067       0.001054
       0.513300       0.349641       0.001123
       0.515300       0.352632       0.001156
       0.517300       0.354820       0.001063
       0.519300       0.357789       0.001046
       0.521300       0.358217       0.001148
       0.523300       0.360893       0.001085
       0.525300       0.364531       0.001013
       0.527300       0.365494       0.001275
       0.529300       0.370255       0.001074
       0.531300       0.373802       0.001592
       0.533300       0.379814       0.001232
       0.535300       0.382907       0.001600
       0.537300       0.389536       0.001159
       0.539300       0.393642       0.001375
       0.541300       0.398019       0.001321
       0.543300       0.400651       0.001087
       0.545300       0.404713       0.001097
       0.547300       0.407241       0.001417
       0.549300       0.411937       0.000990
       0.551300       0.414680       0.001194
       0.553300       0.417503       0.001257
       0.555300       0.419930       0.001009
       0.557300       0.420082       0.000953
       0.559300       0.422578       0.001074
       0.561300       0.424707       0.000940
       0.563300       0.425487       0.001084
       0.565300       0.424725       0.001065
       0.567300       0.425196       0.000934
       0.569300       0.426444       0.001470
       0.571300       0.428377       0.001184
       0.573300       0.428951       0.001146
       0.575300       0.429154       0.000792
       0.577300       0.432170       0.000712
       0.579300       0.435483       0.000871
       0.581300       0.438237       0.000852
       0.583300       0.444739       0.000618
       0.585300       0.447512       0.000911
       0.587300       0.452430       0.001666
       0.589300       0.459070       0.001644
       0.591300       0.463436       0.001428
       0.593300       0.468024       0.001686
       0.595300       0.472125       0.001176
       0.597300       0.474685       0.001155
       0.599300       0.478776       0.001114
       0.601100       0.480588       0.001493
       0.602700       0.481345       0.001357
       0.604300       0.481269       0.001317
       0.605900       0.483938       0.001141
       0.607500       0.482862       0.001652
       0.609100       0.487914       0.001451
       0.610700       0.491235       0.001187
       0.612300       0.489495       0.001073
       0.613900       0.490535       0.001260
       0.615500       0.494536       0.000973
       0.617100       0.493923       0.001056
       0.618700       0.494844       0.001543
       0.620300       0.497383       0.001077
       0.621900       0.498611       0.001189
       0.623500       0.501535       0.001179
       0.625100       0.504372       0.001352
       0.626700       0.503909       0.001661
       0.628300       0.505752       0.001120
       0.629900       0.509230       0.001104
       0.631700       0.512623       0.000977
       0.633700       0.516064       0.001182
       0.635700       0.519402       0.001033
       0.637700       0.519605       0.001124
       0.639700       0.522982       0.001492
       0.641700       0.526454       0.001134
       0.643700       0.525272       0.001600
       0.645700       0.529430       0.000832
       0.647700       0.532954       0.000894
       0.649700       0.533558       0.000847
       0.651700       0.535372       0.001095
       0.653700       0.536080       0.000961
       0.655700       0.537609       0.001041
       0.657700       0.538192       0.000920
       0.659700       0.539200       0.000856
       0.661700       0.539766       0.001001
       0.663700       0.540211       0.000922
       0.665700       0.541586       0.000927
       0.667700       0.543237       0.001704
       0.670200       0.540578       0.001094
       0.673200       0.541249       0.001088
       0.676200       0.544572       0.001189
       0.679200       0.541852       0.000982
       0.682200       0.543111       0.001042
       0.685200       0.543823       0.000977
       0.688200       0.545065       0.000866
       0.691200       0.547807       0.000983
       0.694200       0.546687       0.001040
       0.697200       0.547550       0.001033
       0.700200       0.549968       0.001476
       0.702000       0.550068       0.001335
       0.704000       0.551711       0.001236
       0.706000       0.551693       0.000842
       0.708000       0.552878       0.000884
       0.710000       0.556144       0.000817
       0.712000       0.557379       0.000780
       0.714000       0.559752       0.000929
       0.716000       0.561128       0.000909
       0.718000       0.562232       0.000966
       0.720000       0.564283       0.000792
       0.722000       0.567786       0.000864
       0.724000       0.568104       0.001345
       0.726000       0.571578       0.000915
       0.728000       0.574375       0.000918
       0.730000       0.576996       0.000977
       0.732000       0.580525       0.001115
       0.734000       0.580812       0.001044
       0.736000       0.583973       0.001055
       0.738000       0.584913       0.001169
       0.740000       0.587202       0.001128
       0.742000       0.588690       0.001527
       0.744000       0.590897       0.001223
       0.746000       0.594226       0.000959
       0.748000       0.596275       0.000919
       0.750500       0.597413       0.000943
       0.753500       0.601813       0.000849
       0.756500       0.602903       0.000939
       0.759500       0.604231       0.000937
       0.762500       0.607807       0.000887
       0.765500       0.609712       0.000977
       0.768500       0.612365       0.001057
       0.771500       0.612617       0.001201
       0.774500       0.615745       0.001228
       0.777500       0.618120       0.000967
       0.781000       0.617754       0.000892
       0.785000       0.620462       0.000899
       0.789000       0.620734       0.000990
       0.793000       0.623848       0.001314
       0.797000       0.622949       0.000944
       0.801500       0.621459       0.001261
       0.806500       0.624524       0.000893
       0.811500       0.626049       0.001212
       0.816500       0.625969       0.001107
       0.822000       0.624697       0.001164
       0.828000       0.624568       0.001070
       0.835000       0.621939       0.001801
       0.843000      -1.23e34        0.000000
       0.851000       0.619472       0.002099
       0.859000       0.620605       0.001920
       0.871000       0.620246       0.001942
       0.883000       0.617124       0.001910
       0.894000       0.614333       0.001845
       0.904000       0.609821       0.001573
       0.914000       0.612198       0.001654
       0.924000       0.608271       0.001619
       0.933000       0.607377       0.001877
       0.941000       0.602770       0.001334
       0.949000       0.601406       0.001379
       0.957000       0.599218       0.001686
       0.964000       0.602099       0.001198
       0.970000       0.595182       0.001687
       0.976000       0.592409       0.001513
       0.982000       0.594580       0.001083
       0.988000       0.589314       0.001273
       0.994000       0.584991       0.001399
       1.000000       0.582603       0.001311
       1.006000       0.579926       0.001002
       1.012000       0.574610       0.001604
       1.018000       0.567520       0.001294
       1.023500       0.568014       0.001351
       1.028500       0.562638       0.001216
       1.033500       0.555563       0.001362
       1.038500       0.552786       0.001031
       1.043500       0.547902       0.001191
       1.048500       0.541219       0.001203
       1.053500       0.535815       0.001218
       1.058500       0.532930       0.001065
       1.063500       0.525454       0.001263
       1.068500       0.519394       0.001192
       1.073500       0.513412       0.001306
       1.078500       0.508764       0.001156
       1.083500       0.500905       0.000994
       1.088500       0.495181       0.001220
       1.093500       0.490489       0.001078
       1.098500       0.483873       0.001160
       1.103500       0.475723       0.001030
       1.108500       0.470769       0.000896
       1.113500       0.465705       0.000835
       1.118500       0.456538       0.000993
       1.123500       0.451412       0.000919
       1.128500       0.445441       0.000894
       1.133500       0.437993       0.000793
       1.138500       0.432936       0.000763
       1.143500       0.428168       0.001011
       1.148500       0.421512       0.000873
       1.153500       0.415502       0.001130
       1.158500       0.410268       0.000895
       1.163500       0.403378       0.001039
       1.168500       0.397894       0.000786
       1.173500       0.393154       0.000696
       1.178500       0.388858       0.001100
       1.183500       0.384318       0.001150
       1.188500       0.378413       0.001387
       1.193500       0.374722       0.001164
       1.198500       0.371136       0.000887
       1.203500       0.365673       0.000880
       1.208500       0.360863       0.001288
       1.213500       0.358147       0.001008
       1.218500       0.354914       0.001031
       1.223500       0.350195       0.000880
       1.228500       0.349187       0.000708
       1.233500       0.344258       0.001050
       1.238500       0.342480       0.001242
       1.243500       0.339206       0.000730
       1.248500       0.335720       0.000928
       1.253500       0.334964       0.000937
       1.258500       0.331804       0.000889
       1.263500       0.329240       0.000851
       1.268500       0.329110       0.000857
       1.273500       0.326783       0.001251
       1.278500       0.324481       0.001237
       1.283500       0.323878       0.000922
       1.288500       0.322912       0.001056
       1.293500       0.320654       0.000956
       1.298500       0.320785       0.001042
       1.303500       0.322003       0.000802
       1.308500       0.320533       0.000818
       1.313500       0.321733       0.000862
       1.318500       0.319986       0.000971
       1.323500       0.321444       0.000811
       1.328500       0.322362       0.000805
       1.333500       0.322409       0.001019
       1.338500       0.323096       0.000772
       1.343500       0.323699       0.000847
       1.348500       0.324565       0.000751
       1.353500       0.327527       0.000932
       1.358500       0.327885       0.001456
       1.363500       0.328917       0.000982
       1.368500       0.332942       0.001468
       1.373500       0.335271       0.001232
       1.378500       0.335991       0.001447
       1.383500       0.340827       0.001583
       1.388500       0.341830       0.001771
       1.393500       0.343530       0.001216
       1.398500       0.346908       0.000884
       1.403500       0.347188       0.001804
       1.408500       0.351625       0.001206
       1.413500       0.352005       0.000783
       1.418500       0.356192       0.001517
       1.423500       0.357659       0.001161
       1.428500       0.360290       0.000888
       1.433500       0.365031       0.001182
       1.438500       0.364118       0.001584
       1.443500       0.368266       0.001030
       1.448500       0.369138       0.001435
       1.453500       0.373770       0.001466
       1.458500       0.375261       0.001419
       1.463500       0.377344       0.001438
       1.468500       0.379611       0.001387
       1.473500       0.381042       0.001073
       1.478500       0.380321       0.001387
       1.483500       0.381904       0.001184
       1.488500       0.384988       0.001634
       1.493500       0.385638       0.001367
       1.498500       0.386199       0.001447
       1.503500       0.386913       0.001227
       1.508500       0.389029       0.001581
       1.513500       0.384345       0.001488
       1.518500       0.388933       0.000919
       1.523500       0.388777       0.001034
       1.528500       0.386849       0.001095
       1.534000       0.387273       0.001166
       1.540000       0.386596       0.001171
       1.546000       0.386338       0.001443
       1.552000       0.386871       0.000816
       1.558000       0.387279       0.001123
       1.564000       0.387558       0.000599
       1.570500       0.383720       0.000808
       1.577500       0.383870       0.000881
       1.584500       0.381657       0.000839
       1.591500       0.380800       0.000904
       1.598500       0.380402       0.001052
       1.605500       0.378779       0.000929
       1.612500       0.378356       0.001003
       1.619500       0.377218       0.000894
       1.626500       0.374139       0.001123
       1.633500       0.373548       0.001230
       1.640500       0.373118       0.000966
       1.647500       0.372723       0.001373
       1.654500       0.370868       0.001085
       1.661500       0.370869       0.001504
       1.668500       0.369339       0.001491
       1.676000       0.370206       0.001102
       1.684000       0.368494       0.000777
       1.692000       0.365157       0.001582
       1.700000       0.372425       0.001899
       1.708000       0.371898       0.001671
       1.716000       0.369616       0.001223
       1.724000       0.367203       0.001479
       1.732000       0.364945       0.001596
       1.740000       0.369115       0.001890
       1.748000       0.371117       0.001882
       1.756000       0.373814       0.001568
       1.764000       0.372649       0.001233
       1.772000       0.375422       0.001120
       1.780000       0.375931       0.001844
       1.788000       0.375336       0.001589
       1.796000       0.379544       0.001052
       1.805000       0.381998       0.000720
       1.815000       0.383529       0.001024
       1.825000       0.383766       0.001679
       1.835000       0.387738       0.001222
       1.845000       0.387515       0.001501
       1.855000       0.391023       0.001004
       1.865000       0.390728       0.001091
       1.875000       0.392838       0.001208
       1.885000       0.394142       0.001128
       1.895000       0.396482       0.001217
       1.905000       0.396889       0.001150
       1.915000       0.399377       0.001415
       1.925000       0.399658       0.001356
       1.935000       0.400814       0.001077
       1.945000       0.400634       0.001111
       1.955000       0.401396       0.001356
       1.965000       0.405104       0.001493
       1.975000       0.403316       0.001654
       1.985000       0.403401       0.001878
       1.995000       0.403489       0.001744
       2.005000       0.406908       0.001581
       2.015000       0.404252       0.001229
       2.025000       0.404363       0.001752
       2.035000       0.401705       0.001778
       2.045000       0.401405       0.001830
       2.055000       0.402689       0.001846
       2.065000       0.401669       0.001670
       2.075000       0.398980       0.001900
       2.085000       0.398553       0.001630
       2.095000       0.402416       0.001905
       2.105000       0.403904       0.001837
       2.115000       0.397452       0.001861
       2.125000       0.395605       0.001847
       2.135000       0.396050       0.001848
       2.145000       0.395963       0.001867
       2.155000       0.394131       0.001483
       2.165000       0.394492       0.001787
       2.175000       0.391175       0.001730
       2.185000       0.385343       0.001885
       2.195000       0.383104       0.001648
       2.205000       0.383891       0.001822
       2.215000       0.383702       0.001902
       2.225000       0.385870       0.001928
       2.235000       0.381384       0.001916
       2.245000       0.380199       0.001919
       2.255000       0.384550       0.001925
       2.265000       0.379363       0.001930
       2.275000       0.378863       0.001957
       2.285000       0.378538       0.002689
       2.295000       0.375263       0.003588
       2.305000       0.378620       0.003182
       2.315000       0.379419       0.002069
       2.325000       0.385174       0.001897
       2.335000       0.378076       0.001858
       2.345000       0.387482       0.001863
