USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alunite AL706 Na__           W1R1Bb AREF
copy of splib05a r 269                                      
       0.205100      -1.23e34        0.075093
       0.213100      -1.23e34        0.017868
       0.221100       0.175487       0.005631
       0.229100       0.199842       0.002532
       0.236100       0.210632       0.002495
       0.242100       0.214605       0.001500
       0.248100       0.216859       0.001430
       0.253600       0.219901       0.001388
       0.258600       0.220581       0.001376
       0.263600       0.228739       0.001377
       0.268600       0.235611       0.001386
       0.273100       0.243900       0.001498
       0.277100       0.250142       0.001434
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100       0.293858       0.001786
       0.301100       0.303571       0.001002
       0.305100       0.314905       0.000868
       0.309100       0.325072       0.000699
       0.313100       0.336394       0.000882
       0.317100       0.348118       0.000994
       0.321100       0.358257       0.000834
       0.325100       0.368293       0.000727
       0.329100       0.374761       0.000864
       0.333100       0.382962       0.000665
       0.337100       0.389490       0.000553
       0.341100       0.396072       0.000896
       0.345100       0.403249       0.000605
       0.349100       0.410077       0.001003
       0.353100       0.420040       0.000980
       0.357100       0.430907       0.001770
       0.360600       0.440927       0.000655
       0.363600       0.450090       0.001185
       0.366600       0.458960       0.000902
       0.369600       0.467371       0.000632
       0.372600       0.475541       0.000577
       0.375600       0.483807       0.001830
       0.378600       0.492924       0.000590
       0.381100       0.503009       0.001065
       0.383100       0.511678       0.000596
       0.385100       0.519139       0.000616
       0.387100       0.527199       0.000570
       0.389100       0.536459       0.003108
       0.391100       0.544787       0.001634
       0.393100      -1.23e34        0.012415
       0.395100       0.563038       0.000856
       0.397100       0.572452       0.001855
       0.399100       0.580346       0.001029
       0.401100       0.591233       0.000896
       0.403100       0.600019       0.000909
       0.405100       0.608070       0.001443
       0.407100       0.615383       0.000602
       0.409100       0.622056       0.000750
       0.411100       0.630891       0.001055
       0.412800       0.635168       0.000581
       0.415800       0.643149       0.000885
       0.418800       0.647961       0.000832
       0.421800       0.651940       0.000715
       0.424800       0.656130       0.000748
       0.427800       0.656292       0.001057
       0.430800       0.656409       0.000592
       0.433800       0.655920       0.000652
       0.436800       0.659421       0.001844
       0.439800       0.666166       0.000793
       0.442800       0.674199       0.001375
       0.445800       0.681470       0.000986
       0.448800       0.689731       0.000682
       0.451300       0.696457       0.000888
       0.453300       0.700992       0.000949
       0.455300       0.706053       0.000905
       0.457300       0.708486       0.001642
       0.459300       0.714182       0.001453
       0.461300       0.715856       0.000932
       0.463300       0.717481       0.000729
       0.465300       0.719798       0.000752
       0.467300       0.721314       0.000892
       0.469300       0.723759       0.001340
       0.471300       0.724952       0.000867
       0.473300       0.728565       0.000954
       0.475300       0.729276       0.000744
       0.477300       0.732230       0.001119
       0.479300       0.735045       0.000907
       0.481300       0.734666       0.000842
       0.483300       0.737433       0.000811
       0.485300       0.738928       0.000921
       0.487300       0.740307       0.001691
       0.489300       0.743284       0.001804
       0.491300       0.743033       0.001299
       0.493300       0.745364       0.000879
       0.495300       0.747152       0.000882
       0.497300       0.749521       0.000828
       0.499300       0.752254       0.000824
       0.501300       0.752785       0.000878
       0.503300       0.754973       0.000970
       0.505300       0.756726       0.000962
       0.507300       0.757975       0.001163
       0.509300       0.759228       0.000924
       0.511300       0.760903       0.000946
       0.513300       0.763103       0.000700
       0.515300       0.764964       0.000842
       0.517300       0.768285       0.000909
       0.519300       0.768201       0.000978
       0.521300       0.770252       0.000863
       0.523300       0.772781       0.000683
       0.525300       0.775695       0.000617
       0.527300       0.776515       0.001034
       0.529300       0.778634       0.000501
       0.531300       0.780073       0.000726
       0.533300       0.783057       0.000530
       0.535300       0.784319       0.001164
       0.537300       0.784427       0.001519
       0.539300       0.786946       0.000529
       0.541300       0.788299       0.000996
       0.543300       0.788186       0.000909
       0.545300       0.791469       0.001092
       0.547300       0.794575       0.000841
       0.549300       0.793100       0.001129
       0.551300       0.794968       0.000799
       0.553300       0.795576       0.000881
       0.555300       0.798378       0.001031
       0.557300       0.797726       0.000944
       0.559300       0.799348       0.000811
       0.561300       0.804340       0.000866
       0.563300       0.805263       0.000763
       0.565300       0.805310       0.000745
       0.567300       0.807863       0.000778
       0.569300       0.807890       0.000591
       0.571300       0.808663       0.000502
       0.573300       0.809776       0.000620
       0.575300       0.810156       0.000708
       0.577300       0.811324       0.000672
       0.579300       0.811456       0.000888
       0.581300       0.812524       0.000751
       0.583300       0.812815       0.000725
       0.585300       0.812284       0.000822
       0.587300       0.814574       0.001157
       0.589300       0.814544       0.000900
       0.591300       0.815058       0.000707
       0.593300       0.817125       0.000768
       0.595300       0.814996       0.000688
       0.597300       0.815799       0.001827
       0.599300       0.816577       0.001491
       0.601100       0.815699       0.000636
       0.602700       0.815251       0.000624
       0.604300       0.816331       0.000657
       0.605900       0.816275       0.000556
       0.607500       0.817547       0.000575
       0.609100       0.817403       0.001600
       0.610700       0.817845       0.000760
       0.612300       0.817019       0.001002
       0.613900       0.817533       0.000732
       0.615500       0.817794       0.000809
       0.617100       0.817756       0.001464
       0.618700       0.820107       0.000902
       0.620300       0.818563       0.000746
       0.621900       0.818718       0.000799
       0.623500       0.820525       0.000997
       0.625100       0.819284       0.000908
       0.626700       0.819418       0.000786
       0.628300       0.819053       0.001003
       0.629900       0.819605       0.001659
       0.631700       0.819380       0.000837
       0.633700       0.819282       0.000886
       0.635700       0.818436       0.001276
       0.637700       0.820432       0.000927
       0.639700       0.821691       0.000864
       0.641700       0.821319       0.000643
       0.643700       0.821478       0.000654
       0.645700       0.823511       0.000558
       0.647700       0.822915       0.000612
       0.649700       0.824405       0.000641
       0.651700       0.823598       0.000576
       0.653700       0.823125       0.000922
       0.655700       0.825203       0.000580
       0.657700       0.825454       0.000813
       0.659700       0.826074       0.000610
       0.661700       0.827595       0.001003
       0.663700       0.826693       0.000683
       0.665700       0.826430       0.000725
       0.667700       0.827814       0.000614
       0.670200       0.827478       0.000629
       0.673200       0.828807       0.000572
       0.676200       0.829081       0.000652
       0.679200       0.831879       0.000750
       0.682200       0.831867       0.000720
       0.685200       0.832884       0.000628
       0.688200       0.832143       0.000697
       0.691200       0.834062       0.000703
       0.694200       0.834012       0.000938
       0.697200       0.837370       0.001249
       0.700200       0.834504       0.000577
       0.702000       0.833153       0.000619
       0.704000       0.835788       0.000574
       0.706000       0.835031       0.000788
       0.708000       0.836323       0.000617
       0.710000       0.836590       0.000890
       0.712000       0.836545       0.000686
       0.714000       0.837659       0.000594
       0.716000       0.837402       0.000699
       0.718000       0.838109       0.000643
       0.720000       0.838332       0.000649
       0.722000       0.838735       0.000749
       0.724000       0.838091       0.000751
       0.726000       0.839041       0.000725
       0.728000       0.840543       0.000628
       0.730000       0.840141       0.000813
       0.732000       0.840231       0.000828
       0.734000       0.840445       0.000790
       0.736000       0.841170       0.000650
       0.738000       0.840059       0.000816
       0.740000       0.841495       0.000758
       0.742000       0.842522       0.000684
       0.744000       0.841511       0.001226
       0.746000       0.842362       0.000890
       0.748000       0.842013       0.000732
       0.750500       0.843233       0.000653
       0.753500       0.842454       0.000696
       0.756500       0.842607       0.000761
       0.759500       0.843419       0.001025
       0.762500       0.843139       0.000639
       0.765500       0.843667       0.000769
       0.768500       0.843887       0.000842
       0.771500       0.844846       0.000676
       0.774500       0.842354       0.001168
       0.777500       0.844614       0.000694
       0.781000       0.843870       0.000660
       0.785000       0.844296       0.000760
       0.789000       0.844494       0.000714
       0.793000       0.844739       0.000816
       0.797000       0.845463       0.000825
       0.801500       0.844845       0.001177
       0.806500       0.845878       0.000619
       0.811500       0.845822       0.001810
       0.816500       0.845391       0.001313
       0.822000       0.846618       0.000895
       0.828000       0.844761       0.000851
       0.835000       0.845721       0.000906
       0.843000       0.845835       0.000902
       0.851000       0.843767       0.001964
       0.859000       0.842613       0.001163
       0.871000       0.843062       0.001924
       0.883000       0.842090       0.001891
       0.894000       0.842714       0.001420
       0.904000       0.842292       0.000940
       0.914000       0.840872       0.000929
       0.924000       0.839643       0.001016
       0.933000       0.841574       0.000649
       0.941000       0.841873       0.000813
       0.949000       0.840033       0.000795
       0.957000       0.838734       0.000766
       0.964000       0.842001       0.000850
       0.970000       0.841105       0.000783
       0.976000       0.840876       0.001104
       0.982000       0.840971       0.001090
       0.988000       0.840055       0.000965
       0.994000       0.841497       0.001168
       1.000000       0.839599       0.001064
       1.006000       0.838940       0.000758
       1.012000       0.839281       0.000725
       1.018000       0.839616       0.000713
       1.023500       0.843554       0.001028
       1.028500       0.843911       0.000774
       1.033500       0.843482       0.001259
       1.038500       0.844473       0.001139
       1.043500       0.844894       0.001220
       1.048500       0.845233       0.000637
       1.053500       0.846090       0.000953
       1.058500       0.846248       0.000917
       1.063500       0.845538       0.000817
       1.068500       0.845826       0.001225
       1.073500       0.846103       0.001928
       1.078500       0.846132       0.000896
       1.083500       0.844968       0.000586
       1.088500       0.846950       0.001043
       1.093500       0.847395       0.001020
       1.098500       0.846820       0.000744
       1.103500       0.846100       0.000820
       1.108500       0.847351       0.000827
       1.113500       0.846049       0.000794
       1.118500       0.847163       0.000840
       1.123500       0.847047       0.000843
       1.128500       0.848430       0.000554
       1.133500       0.848864       0.001603
       1.138500       0.847338       0.000953
       1.143500       0.847884       0.000768
       1.148500       0.848842       0.000681
       1.153500       0.847815       0.000880
       1.158500       0.848134       0.000670
       1.163500       0.848000       0.000668
       1.168500       0.849211       0.000951
       1.173500       0.848657       0.000925
       1.178500       0.848641       0.000842
       1.183500       0.849860       0.000607
       1.188500       0.849865       0.001653
       1.193500       0.850484       0.001464
       1.198500       0.846374       0.001502
       1.203500       0.848459       0.000885
       1.208500       0.846718       0.001291
       1.213500       0.846308       0.001022
       1.218500       0.845819       0.000695
       1.223500       0.845165       0.000735
       1.228500       0.845212       0.000753
       1.233500       0.842527       0.000753
       1.238500       0.843556       0.000600
       1.243500       0.842214       0.000867
       1.248500       0.843363       0.000868
       1.253500       0.841444       0.000921
       1.258500       0.841220       0.000853
       1.263500       0.840385       0.000581
       1.268500       0.835698       0.000703
       1.273500       0.833236       0.000617
       1.278500       0.833052       0.000744
       1.283500       0.836644       0.001813
       1.288500       0.838917       0.000972
       1.293500       0.841435       0.001054
       1.298500       0.844154       0.000616
       1.303500       0.845773       0.000798
       1.308500       0.844861       0.000680
       1.313500       0.844571       0.000724
       1.318500       0.843520       0.000525
       1.323500       0.843387       0.000826
       1.328500       0.839507       0.000552
       1.333500       0.838166       0.000541
       1.338500       0.836904       0.000658
       1.343500       0.836789       0.000923
       1.348500       0.834764       0.000743
       1.353500       0.836683       0.000835
       1.358500       0.838307       0.000749
       1.363500       0.836340       0.001245
       1.368500       0.837362       0.000965
       1.373500       0.839522       0.000914
       1.378500       0.838527       0.001176
       1.383500       0.838458       0.001180
       1.388500       0.838251       0.001182
       1.393500       0.837365       0.001908
       1.398500       0.836555       0.001233
       1.403500       0.834187       0.001244
       1.408500       0.829514       0.001832
       1.413500       0.823326       0.000740
       1.418500       0.811291       0.000836
       1.423500       0.790966       0.001162
       1.428500       0.762365       0.000922
       1.433500       0.708550       0.001066
       1.438500       0.689908       0.000689
       1.443500       0.713864       0.000716
       1.448500       0.746353       0.000862
       1.453500       0.776987       0.001946
       1.458500       0.778937       0.000917
       1.463500       0.771977       0.000752
       1.468500       0.764882       0.001398
       1.473500       0.751689       0.001139
       1.478500       0.734808       0.000963
       1.483500       0.732019       0.001236
       1.488500       0.712679       0.000927
       1.493500       0.668510       0.001077
       1.498500       0.664820       0.000885
       1.503500       0.735337       0.000927
       1.508500       0.773858       0.001807
       1.513500       0.784422       0.000697
       1.518500       0.786852       0.000857
       1.523500       0.794285       0.001061
       1.528500       0.802121       0.001129
       1.534000       0.812960       0.001042
       1.540000       0.821750       0.000937
       1.546000       0.823467       0.001093
       1.552000       0.824008       0.001026
       1.558000       0.826679       0.000997
       1.564000       0.832371       0.000775
       1.570500       0.829288       0.000622
       1.577500       0.832511       0.000824
       1.584500       0.832488       0.000842
       1.591500       0.832443       0.001036
       1.598500       0.832628       0.000703
       1.605500       0.834785       0.000915
       1.612500       0.836164       0.000638
       1.619500       0.836175       0.000606
       1.626500       0.837039       0.000718
       1.633500       0.837743       0.000625
       1.640500       0.837751       0.000729
       1.647500       0.837414       0.000777
       1.654500       0.836066       0.000613
       1.661500       0.835100       0.000611
       1.668500       0.835076       0.001486
       1.676000       0.830512       0.001092
       1.684000       0.830258       0.001051
       1.692000       0.829890       0.001007
       1.700000       0.828115       0.000918
       1.708000       0.819911       0.000914
       1.716000       0.808711       0.000796
       1.724000       0.790542       0.001062
       1.732000       0.769318       0.001002
       1.740000       0.748504       0.001287
       1.748000       0.726715       0.001427
       1.756000       0.714226       0.001268
       1.764000       0.703622       0.001158
       1.772000       0.712047       0.000631
       1.780000       0.739856       0.000876
       1.788000       0.771963       0.001478
       1.796000       0.798766       0.000837
       1.805000       0.813462       0.001469
       1.815000       0.818354       0.000914
       1.825000       0.819104       0.000732
       1.835000       0.817473       0.000778
       1.845000       0.813230       0.001172
       1.855000       0.808303       0.000809
       1.865000       0.803714       0.001252
       1.875000       0.797161       0.000773
       1.885000       0.787529       0.000708
       1.895000       0.777670       0.000799
       1.905000       0.770559       0.000749
       1.915000       0.765144       0.000694
       1.925000       0.760384       0.001164
       1.935000       0.761790       0.001376
       1.945000       0.760367       0.001087
       1.955000       0.752748       0.000876
       1.965000       0.748131       0.001100
       1.975000       0.747510       0.001315
       1.985000       0.737111       0.001510
       1.995000       0.724337       0.001171
       2.005000       0.713303       0.001602
       2.015000       0.704842       0.000908
       2.025000       0.704417       0.000993
       2.035000       0.694581       0.001409
       2.045000       0.686094       0.001733
       2.055000       0.677786       0.000880
       2.065000       0.673157       0.001907
       2.075000       0.670261       0.001904
       2.085000       0.660806       0.001224
       2.095000       0.656096       0.001864
       2.105000       0.646192       0.001835
       2.115000       0.638370       0.001610
       2.125000       0.615541       0.001849
       2.135000       0.579070       0.001476
       2.145000       0.531635       0.000896
       2.155000       0.491638       0.001368
       2.165000       0.470605       0.001148
       2.175000       0.467273       0.001683
       2.185000       0.481941       0.000952
       2.195000       0.516372       0.001207
       2.205000       0.557522       0.001880
       2.215000       0.549052       0.001906
       2.225000       0.576136       0.001899
       2.235000       0.633218       0.001915
       2.245000       0.691124       0.001955
       2.255000       0.713686       0.001939
       2.265000       0.711234       0.002003
       2.275000       0.712914       0.001991
       2.285000       0.707439       0.002156
       2.295000       0.688609       0.002951
       2.305000       0.652439       0.002759
       2.315000       0.588319       0.002170
       2.325000       0.558089       0.001917
       2.335000       0.579317       0.001894
       2.345000       0.613529       0.001678
