USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Ammonio-Illite/Smectit GDS87 W1R1Bb AREF
copy of splib05a r 841                                      
       0.205100      -1.23e34        0.048378
       0.213100      -1.23e34        0.009951
       0.221100       0.326199       0.002918
       0.229100       0.339236       0.001757
       0.236100       0.339247       0.001610
       0.242100       0.335916       0.001509
       0.248100       0.338376       0.001435
       0.253600       0.338915       0.001400
       0.258600       0.347297       0.001384
       0.263600       0.351898       0.001385
       0.268600       0.359437       0.001400
       0.273100       0.368629       0.001425
       0.277100       0.376382       0.001437
       0.281100       0.386299       0.001467
       0.285100       0.395499       0.001501
       0.289100       0.405093       0.001571
       0.293100       0.417055       0.001323
       0.297100       0.429907       0.001793
       0.301100       0.430931       0.000462
       0.305100       0.444948       0.000784
       0.309100       0.453966       0.000629
       0.313100       0.465160       0.001017
       0.317100       0.477182       0.000677
       0.321100       0.486247       0.001061
       0.325100       0.495432       0.000719
       0.329100       0.503436       0.000828
       0.333100       0.512396       0.000687
       0.337100       0.519202       0.000643
       0.341100       0.526822       0.000589
       0.345100       0.533115       0.000770
       0.349100       0.540730       0.000515
       0.353100       0.546933       0.000792
       0.357100       0.554151       0.000664
       0.360600       0.559316       0.000608
       0.363600       0.565238       0.000648
       0.366600       0.569817       0.000585
       0.369600       0.575720       0.000561
       0.372600       0.580496       0.000869
       0.375600       0.585293       0.001857
       0.378600       0.592726       0.000675
       0.381100       0.597693       0.000715
       0.383100       0.600583       0.000614
       0.385100       0.604234       0.000650
       0.387100       0.606644       0.000723
       0.389100       0.609138       0.000926
       0.391100       0.612600       0.000679
       0.393100       0.615896       0.000643
       0.395100       0.617605       0.000568
       0.397100       0.620840       0.000766
       0.399100       0.623690       0.000759
       0.401100       0.626633       0.000956
       0.403100       0.628808       0.000620
       0.405100       0.631723       0.000565
       0.407100       0.633892       0.000577
       0.409100       0.634487       0.001275
       0.411100       0.636518       0.001820
       0.412800       0.638697       0.000654
       0.415800       0.642940       0.000786
       0.418800       0.644738       0.000615
       0.421800       0.647177       0.000659
       0.424800       0.649177       0.000630
       0.427800       0.652505       0.001060
       0.430800       0.653006       0.000653
       0.433800       0.655671       0.000615
       0.436800       0.656981       0.000615
       0.439800       0.659164       0.000556
       0.442800       0.659491       0.000648
       0.445800       0.662567       0.001844
       0.448800       0.663063       0.001851
       0.451300       0.665417       0.001602
       0.453300       0.667027       0.000832
       0.455300       0.667508       0.001286
       0.457300       0.667242       0.001069
       0.459300       0.670219       0.000985
       0.461300       0.669005       0.001012
       0.463300       0.668879       0.001339
       0.465300       0.669645       0.000876
       0.467300       0.670532       0.000857
       0.469300       0.671157       0.000917
       0.471300       0.673986       0.000718
       0.473300       0.673570       0.000765
       0.475300       0.676232       0.001025
       0.477300       0.678839       0.000849
       0.479300       0.680301       0.000699
       0.481300       0.682276       0.000776
       0.483300       0.684048       0.001389
       0.485300       0.687279       0.000735
       0.487300       0.690782       0.000751
       0.489300       0.695172       0.000772
       0.491300       0.697864       0.001464
       0.493300       0.702674       0.000844
       0.495300       0.706048       0.000781
       0.497300       0.709536       0.000808
       0.499300       0.714887       0.000866
       0.501300       0.718639       0.000699
       0.503300       0.723011       0.000884
       0.505300       0.727542       0.000762
       0.507300       0.731140       0.000801
       0.509300       0.737183       0.000857
       0.511300       0.738326       0.001093
       0.513300       0.742389       0.001462
       0.515300       0.743929       0.000569
       0.517300       0.748448       0.000571
       0.519300       0.751583       0.000562
       0.521300       0.752579       0.000561
       0.523300       0.755959       0.000605
       0.525300       0.757617       0.000611
       0.527300       0.758469       0.000869
       0.529300       0.761808       0.000636
       0.531300       0.762709       0.000594
       0.533300       0.764438       0.000589
       0.535300       0.767458       0.000680
       0.537300       0.768051       0.000614
       0.539300       0.769769       0.000613
       0.541300       0.772145       0.000746
       0.543300       0.773977       0.001000
       0.545300       0.775006       0.001860
       0.547300       0.775884       0.000973
       0.549300       0.776520       0.001546
       0.551300       0.777879       0.000812
       0.553300       0.779427       0.000831
       0.555300       0.781918       0.001390
       0.557300       0.780917       0.001232
       0.559300       0.783284       0.001086
       0.561300       0.784442       0.000779
       0.563300       0.786234       0.000694
       0.565300       0.787380       0.000873
       0.567300       0.790696       0.000863
       0.569300       0.791648       0.000810
       0.571300       0.793368       0.000843
       0.573300       0.794311       0.000594
       0.575300       0.795248       0.000804
       0.577300       0.797438       0.000659
       0.579300       0.798566       0.000692
       0.581300       0.799548       0.000635
       0.583300       0.801778       0.000672
       0.585300       0.803177       0.000771
       0.587300       0.803465       0.000791
       0.589300       0.805384       0.000675
       0.591300       0.805458       0.000770
       0.593300       0.806828       0.000588
       0.595300       0.806546       0.000716
       0.597300       0.807007       0.001766
       0.599300       0.808631       0.000891
       0.601100       0.809142       0.000764
       0.602700       0.809983       0.000788
       0.604300       0.811347       0.000807
       0.605900       0.811133       0.000640
       0.607500       0.812782       0.000711
       0.609100       0.814012       0.000587
       0.610700       0.814288       0.000696
       0.612300       0.814283       0.000726
       0.613900       0.814631       0.000562
       0.615500       0.816346       0.000668
       0.617100       0.816678       0.000639
       0.618700       0.817603       0.001641
       0.620300       0.819496       0.000636
       0.621900       0.819832       0.000749
       0.623500       0.820662       0.000597
       0.625100       0.823122       0.000655
       0.626700       0.821722       0.000708
       0.628300       0.822712       0.000672
       0.629900       0.825079       0.000914
       0.631700       0.825216       0.000799
       0.633700       0.825841       0.000608
       0.635700       0.825259       0.000585
       0.637700       0.827545       0.000574
       0.639700       0.828365       0.000628
       0.641700       0.829525       0.000587
       0.643700       0.830497       0.000594
       0.645700       0.831739       0.000896
       0.647700       0.831769       0.000671
       0.649700       0.832552       0.000664
       0.651700       0.834264       0.000705
       0.653700       0.834054       0.000661
       0.655700       0.835522       0.000765
       0.657700       0.836496       0.000700
       0.659700       0.837033       0.001008
       0.661700       0.836946       0.001170
       0.663700       0.838018       0.000643
       0.665700       0.838926       0.000835
       0.667700       0.838607       0.001442
       0.670200       0.838628       0.000885
       0.673200       0.840421       0.000583
       0.676200       0.842409       0.000720
       0.679200       0.842535       0.000652
       0.682200       0.843966       0.000730
       0.685200       0.845178       0.000747
       0.688200       0.845778       0.000664
       0.691200       0.847720       0.000718
       0.694200       0.848488       0.000991
       0.697200       0.849534       0.001145
       0.700200       0.848239       0.000841
       0.702000       0.848853       0.000662
       0.704000       0.849091       0.000748
       0.706000       0.850042       0.000645
       0.708000       0.851713       0.000689
       0.710000       0.851983       0.000804
       0.712000       0.851854       0.000698
       0.714000       0.853076       0.000726
       0.716000       0.853448       0.000702
       0.718000       0.852176       0.000944
       0.720000       0.852767       0.000875
       0.722000       0.856167       0.000741
       0.724000       0.852621       0.000691
       0.726000       0.855307       0.000763
       0.728000       0.853839       0.001725
       0.730000       0.857157       0.000750
       0.732000       0.854345       0.000813
       0.734000       0.855929       0.000770
       0.736000       0.856661       0.000789
       0.738000       0.857544       0.000810
       0.740000       0.855904       0.001502
       0.742000       0.856311       0.001008
       0.744000       0.857297       0.001099
       0.746000       0.857344       0.001017
       0.748000       0.858995       0.000644
       0.750500       0.858593       0.000679
       0.753500       0.859276       0.000675
       0.756500       0.860077       0.000806
       0.759500       0.861190       0.001036
       0.762500       0.860815       0.000950
       0.765500       0.862914       0.000895
       0.768500       0.861129       0.000825
       0.771500       0.861463       0.000790
       0.774500       0.862813       0.001122
       0.777500       0.862714       0.000700
       0.781000       0.863918       0.000734
       0.785000       0.862974       0.001182
       0.789000       0.866706       0.000891
       0.793000       0.864190       0.001096
       0.797000       0.865314       0.001331
       0.801500       0.865918       0.000845
       0.806500       0.867450       0.000829
       0.811500       0.867042       0.000799
       0.816500       0.867283       0.000972
       0.822000       0.868669       0.000894
       0.828000       0.867477       0.000840
       0.835000       0.869538       0.000935
       0.843000       0.868464       0.000912
       0.851000       0.862618       0.001965
       0.859000       0.864541       0.001922
       0.871000       0.863954       0.001679
       0.883000       0.864488       0.001006
       0.894000       0.863109       0.001398
       0.904000       0.861984       0.001841
       0.914000       0.861162       0.001178
       0.924000       0.858567       0.001883
       0.933000       0.859253       0.001143
       0.941000       0.857267       0.001129
       0.949000       0.845767       0.001911
       0.957000       0.836250       0.001917
       0.964000       0.836750       0.001423
       0.970000       0.841774       0.001226
       0.976000       0.850529       0.000976
       0.982000       0.855012       0.001195
       0.988000       0.856280       0.000778
       0.994000       0.857645       0.000992
       1.000000       0.859855       0.000936
       1.006000       0.856784       0.000799
       1.012000       0.859350       0.000854
       1.018000       0.859011       0.000869
       1.023500       0.857387       0.001066
       1.028500       0.858510       0.000899
       1.033500       0.856567       0.000875
       1.038500       0.856497       0.000940
       1.043500       0.857694       0.000797
       1.048500       0.856882       0.001091
       1.053500       0.857255       0.000825
       1.058500       0.858377       0.000728
       1.063500       0.856333       0.000913
       1.068500       0.858530       0.000823
       1.073500       0.858887       0.000841
       1.078500       0.857203       0.000764
       1.083500       0.859563       0.000631
       1.088500       0.858311       0.000903
       1.093500       0.859905       0.000647
       1.098500       0.859809       0.001033
       1.103500       0.859087       0.000568
       1.108500       0.857283       0.000999
       1.113500       0.856355       0.000748
       1.118500       0.858046       0.000700
       1.123500       0.856405       0.000996
       1.128500       0.855113       0.000908
       1.133500       0.854403       0.000943
       1.138500       0.851062       0.000866
       1.143500       0.847980       0.001080
       1.148500       0.844258       0.000902
       1.153500       0.840079       0.000934
       1.158500       0.840781       0.000905
       1.163500       0.841796       0.000961
       1.168500       0.844244       0.000926
       1.173500       0.843115       0.001009
       1.178500       0.843965       0.000909
       1.183500       0.845471       0.001156
       1.188500       0.845094       0.000993
       1.193500       0.843903       0.001029
       1.198500       0.841890       0.000920
       1.203500       0.840918       0.000793
       1.208500       0.839268       0.000759
       1.213500       0.837620       0.000769
       1.218500       0.833788       0.000644
       1.223500       0.833612       0.000704
       1.228500       0.829461       0.000818
       1.233500       0.825340       0.000699
       1.238500       0.822831       0.000728
       1.243500       0.824916       0.000732
       1.248500       0.823009       0.000667
       1.253500       0.823960       0.000765
       1.258500       0.823367       0.000799
       1.263500       0.825961       0.000742
       1.268500       0.824138       0.000898
       1.273500       0.824831       0.000722
       1.278500       0.823782       0.000698
       1.283500       0.821553       0.000758
       1.288500       0.822204       0.000629
       1.293500       0.817570       0.001019
       1.298500       0.816945       0.000809
       1.303500       0.811506       0.000699
       1.308500       0.808225       0.000870
       1.313500       0.804643       0.000839
       1.318500       0.801360       0.000692
       1.323500       0.796419       0.000811
       1.328500       0.794051       0.000945
       1.333500       0.789873       0.000906
       1.338500       0.788602       0.000598
       1.343500       0.782808       0.000854
       1.348500       0.779306       0.000729
       1.353500       0.776310       0.001069
       1.358500       0.771461       0.001310
       1.363500       0.757596       0.000848
       1.368500       0.745159       0.000939
       1.373500       0.726041       0.001145
       1.378500       0.703699       0.000983
       1.383500       0.666513       0.001284
       1.388500       0.611755       0.001290
       1.393500       0.565924       0.000880
       1.398500       0.525891       0.000797
       1.403500       0.503059       0.001264
       1.408500       0.494778       0.001288
       1.413500       0.504202       0.001117
       1.418500       0.537926       0.000917
       1.423500       0.580605       0.000885
       1.428500       0.608650       0.000867
       1.433500       0.630655       0.001310
       1.438500       0.645220       0.000780
       1.443500       0.656342       0.001088
       1.448500       0.661159       0.001042
       1.453500       0.661993       0.001219
       1.458500       0.664752       0.000990
       1.463500       0.666707       0.001093
       1.468500       0.667993       0.000828
       1.473500       0.673787       0.001006
       1.478500       0.678113       0.001025
       1.483500       0.678033       0.001253
       1.488500       0.681233       0.001036
       1.493500       0.681071       0.001051
       1.498500       0.679487       0.001396
       1.503500       0.677888       0.000999
       1.508500       0.675788       0.001179
       1.513500       0.673120       0.001347
       1.518500       0.667895       0.001203
       1.523500       0.664170       0.001501
       1.528500       0.662481       0.001194
       1.534000       0.656827       0.000932
       1.540000       0.653545       0.000891
       1.546000       0.651971       0.000723
       1.552000       0.649678       0.001061
       1.558000       0.652777       0.000974
       1.564000       0.658366       0.001057
       1.570500       0.663621       0.000649
       1.577500       0.672841       0.000838
       1.584500       0.678760       0.000889
       1.591500       0.683403       0.000680
       1.598500       0.688632       0.000980
       1.605500       0.691570       0.000942
       1.612500       0.691073       0.000809
       1.619500       0.692484       0.000697
       1.626500       0.694066       0.000729
       1.633500       0.692927       0.000916
       1.640500       0.695425       0.000823
       1.647500       0.696939       0.000774
       1.654500       0.698348       0.001137
       1.661500       0.701761       0.001156
       1.668500       0.701305       0.001353
       1.676000       0.699714       0.000997
       1.684000       0.702744       0.000985
       1.692000       0.704226       0.001595
       1.700000       0.704134       0.001868
       1.708000       0.705425       0.001419
       1.716000       0.703142       0.001242
       1.724000       0.701619       0.001153
       1.732000       0.704144       0.001546
       1.740000       0.695772       0.001633
       1.748000       0.704545       0.001700
       1.756000       0.696436       0.001589
       1.764000       0.691503       0.001752
       1.772000       0.685370       0.001080
       1.780000       0.685757       0.001257
       1.788000       0.685773       0.001279
       1.796000       0.676587       0.001340
       1.805000       0.674192       0.000905
       1.815000       0.671252       0.000978
       1.825000       0.666021       0.000943
       1.835000       0.664529       0.000905
       1.845000       0.658488       0.001477
       1.855000       0.650550       0.001518
       1.865000       0.627222       0.001231
       1.875000       0.578082       0.001472
       1.885000       0.510519       0.000873
       1.895000       0.433370       0.001130
       1.905000       0.368375       0.001110
       1.915000       0.373766       0.001368
       1.925000       0.400705       0.001323
       1.935000       0.418122       0.001159
       1.945000       0.425291       0.000812
       1.955000       0.426025       0.001435
       1.965000       0.421751       0.001580
       1.975000       0.410178       0.001923
       1.985000       0.403081       0.001397
       1.995000       0.386095       0.001612
       2.005000       0.380551       0.001777
       2.015000       0.375658       0.001500
       2.025000       0.384642       0.001579
       2.035000       0.385167       0.001837
       2.045000       0.380924       0.001678
       2.055000       0.369015       0.001339
       2.065000       0.353873       0.001612
       2.075000       0.343245       0.001484
       2.085000       0.322256       0.001901
       2.095000       0.310036       0.001865
       2.105000       0.304298       0.001857
       2.115000       0.309650       0.001827
       2.125000       0.310054       0.001862
       2.135000       0.315660       0.001865
       2.145000       0.314021       0.001893
       2.155000       0.304483       0.001592
       2.165000       0.283464       0.001887
       2.175000       0.266014       0.001882
       2.185000       0.264954       0.001866
       2.195000       0.276148       0.001927
       2.205000       0.297505       0.001892
       2.215000       0.332376       0.001922
       2.225000       0.362592       0.001931
       2.235000       0.380315       0.001928
       2.245000       0.385626       0.001931
       2.255000       0.388391       0.001938
       2.265000       0.392564       0.001970
       2.275000       0.393688       0.002134
       2.285000       0.403673       0.002829
       2.295000       0.390717       0.004057
       2.305000       0.389917       0.003777
       2.315000       0.377051       0.002847
       2.325000       0.380817       0.001935
       2.335000       0.373672       0.001907
       2.345000       0.359072       0.001686
