USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Andesine HS142.3B            W1R1Bc AREF
copy of splib05a r 961                                      
       0.205100      -1.23e34        0.299082
       0.213100      -1.23e34        0.027876
       0.221100      -1.23e34        0.006044
       0.229100      -1.23e34        0.002886
       0.236100      -1.23e34        0.001675
       0.242100      -1.23e34        0.001158
       0.248100      -1.23e34        0.001094
       0.253600       0.094987       0.001058
       0.258600       0.096246       0.001042
       0.263600       0.100282       0.001044
       0.268600       0.103561       0.001064
       0.273100       0.110389       0.001091
       0.277100       0.115586       0.001110
       0.281100       0.122210       0.001133
       0.285100       0.134024       0.001178
       0.289100       0.142025       0.001231
       0.293100       0.151321       0.001243
       0.297100       0.159307       0.001309
       0.301100       0.169286       0.001371
       0.305100       0.176756       0.001411
       0.309100       0.180992       0.001434
       0.313100       0.189702       0.001456
       0.317100       0.194903       0.001460
       0.321100       0.202858       0.001488
       0.325100       0.206414       0.001475
       0.329100       0.213626       0.001515
       0.333100       0.217625       0.001535
       0.337100       0.222608       0.001531
       0.341100       0.227395       0.001543
       0.345100       0.235403       0.001544
       0.349100       0.241056       0.001542
       0.353100       0.243507       0.001538
       0.357100       0.245096       0.001505
       0.360600       0.247095       0.001506
       0.363600       0.249551       0.001537
       0.366600       0.252930       0.001229
       0.369600       0.252832       0.001064
       0.372600       0.251619       0.001549
       0.375600       0.252545       0.001564
       0.378600       0.254114       0.001542
       0.381100       0.258203       0.001555
       0.383100       0.262198       0.001537
       0.385100       0.266882       0.001508
       0.387100       0.269911       0.001412
       0.389100       0.272309       0.001501
       0.391100       0.277151       0.001338
       0.393100       0.277593       0.000985
       0.395100       0.282616       0.001471
       0.397100       0.284098       0.001519
       0.399100       0.286068       0.001528
       0.401100       0.292134       0.001514
       0.403100       0.290484       0.000895
       0.405100       0.295378       0.000929
       0.407100       0.298056       0.001008
       0.409100       0.300206       0.001222
       0.411100       0.302520       0.001397
       0.412800       0.302624       0.000958
       0.415800       0.303726       0.001565
       0.418800       0.309945       0.001580
       0.421800       0.311099       0.001249
       0.424800       0.311717       0.001591
       0.427800       0.314856       0.001499
       0.430800       0.319113       0.001252
       0.433800       0.322470       0.000864
       0.436800       0.324663       0.001502
       0.439800       0.330645       0.001469
       0.442800       0.334188       0.000746
       0.445800       0.337874       0.000739
       0.448800       0.342128       0.000935
       0.451300       0.345907       0.001638
       0.453300       0.350161       0.001627
       0.455300       0.351488       0.001600
       0.457300       0.352879       0.001639
       0.459300       0.358318       0.001616
       0.461300       0.355097       0.001635
       0.463300       0.359660       0.001160
       0.465300       0.361307       0.001041
       0.467300       0.362072       0.001344
       0.469300       0.364712       0.001652
       0.471300       0.364866       0.001656
       0.473300       0.369168       0.001625
       0.475300       0.368574       0.001620
       0.477300       0.368994       0.001592
       0.479300       0.373427       0.001628
       0.481300       0.372828       0.001360
       0.483300       0.374865       0.001338
       0.485300       0.374558       0.001648
       0.487300       0.378955       0.001662
       0.489300       0.378915       0.001608
       0.491300       0.380918       0.001647
       0.493300       0.383830       0.001664
       0.495300       0.384211       0.001616
       0.497300       0.387415       0.001624
       0.499300       0.391168       0.001626
       0.501300       0.392121       0.001020
       0.503300       0.395262       0.001646
       0.505300       0.397896       0.001320
       0.507300       0.399919       0.000946
       0.509300       0.402376       0.001665
       0.511300       0.405103       0.001464
       0.513300       0.410381       0.001644
       0.515300       0.411297       0.001689
       0.517300       0.413000       0.001055
       0.519300       0.416328       0.000973
       0.521300       0.420017       0.001645
       0.523300       0.423090       0.001650
       0.525300       0.425324       0.001691
       0.527300       0.426927       0.001651
       0.529300       0.428625       0.001646
       0.531300       0.435292       0.001360
       0.533300       0.440936       0.001677
       0.535300       0.441619       0.001699
       0.537300       0.443892       0.001318
       0.539300       0.447117       0.001698
       0.541300       0.451382       0.001640
       0.543300       0.452306       0.001664
       0.545300       0.454676       0.001411
       0.547300       0.453151       0.001418
       0.549300       0.460335       0.001680
       0.551300       0.460670       0.000746
       0.553300       0.459365       0.001170
       0.555300       0.466012       0.001660
       0.557300       0.463168       0.001191
       0.559300       0.469380       0.001670
       0.561300       0.471134       0.001352
       0.563300       0.472101       0.001529
       0.565300       0.470831       0.001570
       0.567300       0.473897       0.001657
       0.569300       0.474890       0.001699
       0.571300       0.478286       0.001663
       0.573300       0.479045       0.001621
       0.575300       0.478826       0.001324
       0.577300       0.480952       0.001104
       0.579300       0.482630       0.001159
       0.581300       0.481860       0.001349
       0.583300       0.483374       0.001622
       0.585300       0.480760       0.001687
       0.587300       0.482328       0.001659
       0.589300       0.486147       0.001673
       0.591300       0.486159       0.001712
       0.593300       0.488716       0.001702
       0.595300       0.488071       0.001304
       0.597300       0.486779       0.001671
       0.599300       0.490085       0.001533
       0.601100       0.486880       0.001350
       0.602700       0.488195       0.001695
       0.604300       0.487470       0.001713
       0.605900       0.491422       0.001686
       0.607500       0.488649       0.001710
       0.609100       0.490010       0.001422
       0.610700       0.490105       0.001685
       0.612300       0.492157       0.001665
       0.613900       0.491662       0.001699
       0.615500       0.493325       0.001678
       0.617100       0.491590       0.001612
       0.618700       0.492673       0.001639
       0.620300       0.491585       0.001325
       0.621900       0.491458       0.001538
       0.623500       0.492372       0.001613
       0.625100       0.489479       0.001144
       0.626700       0.492812       0.001687
       0.628300       0.490484       0.001692
       0.629900       0.491573       0.001660
       0.631700       0.492095       0.001398
       0.633700       0.491684       0.001339
       0.635700       0.494898       0.001673
       0.637700       0.492936       0.001490
       0.639700       0.496255       0.001319
       0.641700       0.494598       0.001700
       0.643700       0.494045       0.001285
       0.645700       0.493842       0.001697
       0.647700       0.495298       0.001639
       0.649700       0.494591       0.001335
       0.651700       0.495926       0.001161
       0.653700       0.496632       0.000838
       0.655700       0.496280       0.001343
       0.657700       0.495521       0.000841
       0.659700       0.496734       0.000864
       0.661700       0.498217       0.001665
       0.663700       0.496698       0.001262
       0.665700       0.499593       0.001322
       0.667700       0.500180       0.001663
       0.670200       0.497449       0.001676
       0.673200       0.500295       0.001705
       0.676200       0.503081       0.001632
       0.679200       0.500351       0.001708
       0.682200       0.499880       0.000756
       0.685200       0.501164       0.001686
       0.688200       0.500689       0.001181
       0.691200       0.502676       0.001096
       0.694200       0.501956       0.001022
       0.697200       0.502639       0.001451
       0.700200       0.499971       0.001718
       0.702000       0.501103       0.001682
       0.704000       0.503226       0.001678
       0.706000       0.502251       0.000821
       0.708000       0.502439       0.001254
       0.710000       0.505067       0.001395
       0.712000       0.503586       0.000847
       0.714000       0.504258       0.001620
       0.716000       0.506029       0.001409
       0.718000       0.503733       0.000755
       0.720000       0.505660       0.001420
       0.722000       0.505025       0.001649
       0.724000       0.503925       0.001036
       0.726000       0.503853       0.001293
       0.728000       0.505765       0.000980
       0.730000       0.507181       0.000991
       0.732000       0.505220       0.001429
       0.734000       0.505724       0.001018
       0.736000       0.509543       0.001699
       0.738000       0.506353       0.001717
       0.740000       0.507460       0.001691
       0.742000       0.505270       0.001580
       0.744000       0.507320       0.001408
       0.746000       0.509223       0.001676
       0.748000       0.508683       0.001141
       0.750500       0.507457       0.001045
       0.753500       0.507921       0.001120
       0.756500       0.507307       0.001365
       0.759500       0.509034       0.001398
       0.762500       0.507451       0.001699
       0.765500       0.508399       0.000869
       0.768500       0.507660       0.001283
       0.771500       0.506607       0.001308
       0.774500       0.508617       0.001278
       0.777500       0.510138       0.000907
       0.781000       0.508684       0.001068
       0.785000       0.511486       0.001212
       0.789000       0.511798       0.001714
       0.793000       0.511676       0.000701
       0.797000       0.512108       0.001234
       0.801500       0.507573       0.000972
       0.806500       0.512703       0.001006
       0.811500       0.512427       0.001290
       0.816500       0.511045       0.001095
       0.822000       0.514565       0.001633
       0.828000       0.513464       0.001645
       0.835000       0.510477       0.000987
       0.843000      -1.23e34        0.000000
       0.851000       0.518983       0.001963
       0.859000       0.524242       0.001902
       0.871000       0.521392       0.001873
       0.883000       0.527044       0.001892
       0.894000       0.526026       0.001886
       0.904000       0.524903       0.001749
       0.914000       0.528266       0.001850
       0.924000       0.529871       0.001691
       0.933000       0.530409       0.001474
       0.941000       0.528611       0.001576
       0.949000       0.530066       0.001063
       0.957000       0.531749       0.001461
       0.964000       0.536708       0.001844
       0.970000       0.532724       0.001870
       0.976000       0.532988       0.001815
       0.982000       0.537546       0.001518
       0.988000       0.533155       0.001223
       0.994000       0.533787       0.001230
       1.000000       0.535016       0.001490
       1.006000       0.535804       0.001773
       1.012000       0.535829       0.001821
       1.018000       0.533940       0.001854
       1.023500       0.538629       0.001650
       1.028500       0.537257       0.001254
       1.033500       0.536238       0.001583
       1.038500       0.536568       0.001325
       1.043500       0.541499       0.001536
       1.048500       0.538786       0.001256
       1.053500       0.538339       0.000996
       1.058500       0.542061       0.001250
       1.063500       0.541252       0.001740
       1.068500       0.541744       0.001517
       1.073500       0.542772       0.001334
       1.078500       0.542783       0.001767
       1.083500       0.541866       0.001787
       1.088500       0.543817       0.001695
       1.093500       0.545170       0.001688
       1.098500       0.546487       0.001110
       1.103500       0.545931       0.001047
       1.108500       0.546129       0.000931
       1.113500       0.547603       0.000874
       1.118500       0.548237       0.001156
       1.123500       0.549137       0.001561
       1.128500       0.547378       0.001197
       1.133500       0.548890       0.000737
       1.138500       0.547972       0.001113
       1.143500       0.550209       0.001258
       1.148500       0.547911       0.001057
       1.153500       0.550312       0.001154
       1.158500       0.551967       0.001033
       1.163500       0.549612       0.001208
       1.168500       0.549819       0.000951
       1.173500       0.550090       0.001419
       1.178500       0.551918       0.001182
       1.183500       0.551461       0.001570
       1.188500       0.550800       0.001176
       1.193500       0.552680       0.001150
       1.198500       0.552012       0.001165
       1.203500       0.553944       0.001416
       1.208500       0.554744       0.001214
       1.213500       0.554305       0.001180
       1.218500       0.554074       0.000974
       1.223500       0.554941       0.000960
       1.228500       0.556607       0.001065
       1.233500       0.556300       0.001851
       1.238500       0.555752       0.001186
       1.243500       0.558207       0.001316
       1.248500       0.559611       0.001198
       1.253500       0.558141       0.000991
       1.258500       0.557568       0.000964
       1.263500       0.559355       0.000827
       1.268500       0.558658       0.001353
       1.273500       0.560789       0.001265
       1.278500       0.559801       0.001042
       1.283500       0.563078       0.000928
       1.288500       0.562593       0.001096
       1.293500       0.562602       0.000872
       1.298500       0.562978       0.001532
       1.303500       0.565697       0.000810
       1.308500       0.566048       0.000871
       1.313500       0.565239       0.001241
       1.318500       0.565168       0.001246
       1.323500       0.565190       0.000776
       1.328500       0.567345       0.001096
       1.333500       0.570143       0.001785
       1.338500       0.568313       0.000727
       1.343500       0.571235       0.001299
       1.348500       0.571157       0.001509
       1.353500       0.574237       0.001612
       1.358500       0.572104       0.001322
       1.363500       0.571670       0.001607
       1.368500       0.577139       0.001067
       1.373500       0.576980       0.001696
       1.378500       0.575898       0.000995
       1.383500       0.573165       0.001345
       1.388500       0.576245       0.001348
       1.393500       0.580031       0.001708
       1.398500       0.579070       0.001878
       1.403500       0.576522       0.001444
       1.408500       0.575504       0.001216
       1.413500       0.578106       0.001474
       1.418500       0.577329       0.001838
       1.423500       0.577695       0.001257
       1.428500       0.580484       0.001092
       1.433500       0.577914       0.001026
       1.438500       0.581934       0.000875
       1.443500       0.581756       0.000941
       1.448500       0.585282       0.001301
       1.453500       0.586852       0.001554
       1.458500       0.592944       0.001529
       1.463500       0.593698       0.001431
       1.468500       0.595565       0.001441
       1.473500       0.595826       0.001255
       1.478500       0.595799       0.001330
       1.483500       0.596699       0.001486
       1.488500       0.600282       0.001098
       1.493500       0.602671       0.001287
       1.498500       0.605098       0.001510
       1.503500       0.604868       0.001655
       1.508500       0.606144       0.001698
       1.513500       0.600971       0.001611
       1.518500       0.605153       0.001831
       1.523500       0.611840       0.001509
       1.528500       0.607989       0.001378
       1.534000       0.612098       0.001461
       1.540000       0.612621       0.001838
       1.546000       0.616912       0.001018
       1.552000       0.616348       0.001217
       1.558000       0.617577       0.001577
       1.564000       0.620070       0.000911
       1.570500       0.620020       0.000914
       1.577500       0.619968       0.000706
       1.584500       0.620860       0.001071
       1.591500       0.625102       0.001396
       1.598500       0.624273       0.000944
       1.605500       0.626995       0.000932
       1.612500       0.628305       0.001017
       1.619500       0.629867       0.001159
       1.626500       0.631934       0.001034
       1.633500       0.633992       0.000823
       1.640500       0.631898       0.000940
       1.647500       0.632925       0.001547
       1.654500       0.636408       0.001701
       1.661500       0.637498       0.001836
       1.668500       0.638824       0.001630
       1.676000       0.640246       0.001723
       1.684000       0.638795       0.001477
       1.692000       0.640473       0.001985
       1.700000       0.643806       0.001965
       1.708000       0.643362       0.001981
       1.716000       0.647621       0.001899
       1.724000       0.648055       0.001378
       1.732000       0.643802       0.001394
       1.740000       0.646325       0.001988
       1.748000       0.652759       0.002012
       1.756000       0.652911       0.001933
       1.764000       0.650408       0.002000
       1.772000       0.657352       0.001992
       1.780000       0.656494       0.001999
       1.788000       0.656256       0.001922
       1.796000       0.654090       0.001237
       1.805000       0.658924       0.001054
       1.815000       0.661926       0.001246
       1.825000       0.658472       0.001232
       1.835000       0.659597       0.001185
       1.845000       0.663158       0.001719
       1.855000       0.663520       0.001702
       1.865000       0.660980       0.001146
       1.875000       0.661496       0.001362
       1.885000       0.653908       0.001268
       1.895000       0.652159       0.001261
       1.905000       0.628161       0.001610
       1.915000       0.628103       0.001329
       1.925000       0.631977       0.001338
       1.935000       0.636351       0.001705
       1.945000       0.645485       0.001512
       1.955000       0.643344       0.001888
       1.965000       0.644168       0.001943
       1.975000       0.653515       0.001632
       1.985000       0.659131       0.001940
       1.995000       0.661527       0.001580
       2.005000       0.661985       0.001568
       2.015000       0.666966       0.001883
       2.025000       0.670129       0.001798
       2.035000       0.671437       0.001870
       2.045000       0.673392       0.001989
       2.055000       0.675992       0.001627
       2.065000       0.679493       0.001984
       2.075000       0.681946       0.001866
       2.085000       0.678213       0.001953
       2.095000       0.678456       0.001998
       2.105000       0.684911       0.002016
       2.115000       0.687196       0.001991
       2.125000       0.684496       0.002005
       2.135000       0.689829       0.001975
       2.145000       0.688714       0.001956
       2.155000       0.694275       0.001769
       2.165000       0.687315       0.001944
       2.175000       0.687696       0.001885
       2.185000       0.682584       0.002029
       2.195000       0.683281       0.002005
       2.205000       0.678905       0.002038
       2.215000       0.676023       0.002029
       2.225000       0.681488       0.002070
       2.235000       0.670516       0.002043
       2.245000       0.672596       0.002062
       2.255000       0.672571       0.002067
       2.265000       0.672318       0.002075
       2.275000       0.667878       0.002081
       2.285000       0.666230       0.002498
       2.295000       0.667049       0.004349
       2.305000       0.667577       0.003876
       2.315000       0.676249       0.002409
       2.325000       0.680438       0.002046
       2.335000       0.678826       0.002009
