USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Andradite NMNH113829 Garnet  W1R1Bb AREF
copy of splib05a r 999                                      
       0.205100      -1.23e34        0.323674
       0.213100      -1.23e34        0.027688
       0.221100       0.033896       0.006450
       0.229100       0.038481       0.002916
       0.236100       0.042876       0.001776
       0.242100       0.038074       0.001144
       0.248100       0.037167       0.001088
       0.253600       0.036344       0.001059
       0.258600       0.037874       0.001038
       0.263600       0.039285       0.001050
       0.268600       0.040766       0.001068
       0.273100       0.043652       0.001091
       0.277100       0.046313       0.001108
       0.281100       0.046902       0.001132
       0.285100       0.048828       0.001164
       0.289100       0.050443       0.001211
       0.293100       0.051500       0.001269
       0.297100       0.050502       0.001302
       0.301100       0.050514       0.001366
       0.305100       0.050827       0.001382
       0.309100       0.052165       0.001427
       0.313100       0.049846       0.001187
       0.317100       0.050564       0.001477
       0.321100       0.049309       0.001475
       0.325100       0.050140       0.001453
       0.329100       0.050103       0.001490
       0.333100       0.050551       0.001404
       0.337100       0.047269       0.001523
       0.341100       0.049787       0.001493
       0.345100       0.050934       0.001526
       0.349100       0.049314       0.001545
       0.353100       0.052375       0.001491
       0.357100       0.055654       0.001486
       0.360600       0.056741       0.001482
       0.363600       0.064696       0.001460
       0.366600       0.067897       0.000894
       0.369600       0.071285       0.001479
       0.372600       0.069527       0.001484
       0.375600       0.070419       0.001469
       0.378600       0.070780       0.001533
       0.381100       0.070249       0.001525
       0.383100       0.069212       0.001026
       0.385100       0.071009       0.001532
       0.387100       0.074897       0.001202
       0.389100       0.086090       0.001086
       0.391100       0.107320       0.001229
       0.393100       0.134100       0.001557
       0.395100       0.163893       0.001561
       0.397100       0.191127       0.001544
       0.399100       0.213797       0.001123
       0.401100       0.232927       0.001519
       0.403100       0.244143       0.001542
       0.405100       0.249192       0.001428
       0.407100       0.252846       0.001339
       0.409100       0.250371       0.001193
       0.411100       0.255556       0.001163
       0.412800       0.253942       0.001514
       0.415800       0.251009       0.001514
       0.418800       0.238412       0.001277
       0.421800       0.234147       0.001538
       0.424800       0.213322       0.000822
       0.427800       0.193300       0.000821
       0.430800       0.162988       0.001497
       0.433800       0.139352       0.000900
       0.436800       0.130955       0.001492
       0.439800       0.109039       0.001082
       0.442800       0.162933       0.001491
       0.445800       0.266092       0.000794
       0.448800       0.336047       0.001593
       0.451300       0.379823       0.001625
       0.453300       0.408083       0.001642
       0.455300       0.430993       0.001666
       0.457300       0.443111       0.001449
       0.459300       0.458413       0.001664
       0.461300       0.473774       0.001636
       0.463300       0.483996       0.001236
       0.465300       0.496334       0.001635
       0.467300       0.503026       0.001304
       0.469300       0.510467       0.001651
       0.471300       0.521521       0.001709
       0.473300       0.530172       0.001653
       0.475300       0.533271       0.001656
       0.477300       0.539742       0.001712
       0.479300       0.548205       0.001679
       0.481300       0.552454       0.001642
       0.483300       0.560822       0.001717
       0.485300       0.564784       0.001685
       0.487300       0.570121       0.001673
       0.489300       0.573211       0.001657
       0.491300       0.574973       0.001669
       0.493300       0.581242       0.001707
       0.495300       0.580880       0.001665
       0.497300       0.591898       0.001684
       0.499300       0.588986       0.001697
       0.501300       0.594895       0.001719
       0.503300       0.594139       0.001020
       0.505300       0.597800       0.001714
       0.507300       0.599022       0.001734
       0.509300       0.598102       0.001174
       0.511300       0.604179       0.001014
       0.513300       0.605345       0.001371
       0.515300       0.606335       0.001649
       0.517300       0.604921       0.001725
       0.519300       0.601690       0.001687
       0.521300       0.604690       0.001647
       0.523300       0.604689       0.001707
       0.525300       0.607136       0.001735
       0.527300       0.602702       0.001729
       0.529300       0.598420       0.001688
       0.531300       0.604029       0.001747
       0.533300       0.599192       0.001719
       0.535300       0.594253       0.001311
       0.537300       0.593716       0.001534
       0.539300       0.593649       0.001641
       0.541300       0.587736       0.001751
       0.543300       0.586932       0.001719
       0.545300       0.581435       0.001739
       0.547300       0.574236       0.001707
       0.549300       0.573936       0.001725
       0.551300       0.563785       0.001449
       0.553300       0.561362       0.001227
       0.555300       0.560516       0.001526
       0.557300       0.553045       0.001398
       0.559300       0.552252       0.001375
       0.561300       0.550804       0.001614
       0.563300       0.547182       0.001592
       0.565300       0.544827       0.001320
       0.567300       0.543722       0.001676
       0.569300       0.542341       0.001741
       0.571300       0.540005       0.001171
       0.573300       0.538107       0.001311
       0.575300       0.536574       0.001436
       0.577300       0.536701       0.001034
       0.579300       0.536974       0.001220
       0.581300       0.534675       0.000989
       0.583300       0.537560       0.000786
       0.585300       0.537516       0.001681
       0.587300       0.538820       0.001677
       0.589300       0.538119       0.001711
       0.591300       0.539449       0.001511
       0.593300       0.541014       0.001677
       0.595300       0.541627       0.001691
       0.597300       0.540879       0.001254
       0.599300       0.544532       0.001670
       0.601100       0.544231       0.001726
       0.602700       0.543312       0.001663
       0.604300       0.543922       0.001729
       0.605900       0.542043       0.001187
       0.607500       0.544112       0.001722
       0.609100       0.546502       0.001719
       0.610700       0.543088       0.001360
       0.612300       0.544593       0.001697
       0.613900       0.544867       0.001381
       0.615500       0.548643       0.001676
       0.617100       0.545010       0.001186
       0.618700       0.546956       0.001709
       0.620300       0.548117       0.001693
       0.621900       0.548521       0.001691
       0.623500       0.548556       0.001707
       0.625100       0.551871       0.001738
       0.626700       0.549099       0.001718
       0.628300       0.555654       0.001699
       0.629900       0.555701       0.001712
       0.631700       0.558990       0.001623
       0.633700       0.563697       0.001676
       0.635700       0.564944       0.000976
       0.637700       0.566354       0.001160
       0.639700       0.570801       0.001350
       0.641700       0.575285       0.001312
       0.643700       0.578334       0.001721
       0.645700       0.581165       0.000993
       0.647700       0.588151       0.001082
       0.649700       0.593252       0.000896
       0.651700       0.599050       0.001480
       0.653700       0.606442       0.000996
       0.655700       0.611503       0.001048
       0.657700       0.613731       0.001217
       0.659700       0.624616       0.001334
       0.661700       0.628261       0.001274
       0.663700       0.635038       0.001213
       0.665700       0.643868       0.001379
       0.667700       0.650191       0.001711
       0.670200       0.655401       0.001724
       0.673200       0.668302       0.001779
       0.676200       0.677309       0.001737
       0.679200       0.684843       0.001753
       0.682200       0.692275       0.001332
       0.685200       0.699267       0.001105
       0.688200       0.706403       0.001059
       0.691200       0.716235       0.001539
       0.694200       0.721641       0.001736
       0.697200       0.722505       0.001391
       0.700200       0.729223       0.001808
       0.702000       0.730824       0.001787
       0.704000       0.733061       0.001843
       0.706000       0.736232       0.001819
       0.708000       0.735305       0.000918
       0.710000       0.736907       0.001135
       0.712000       0.738564       0.001111
       0.714000       0.737884       0.000893
       0.716000       0.740464       0.001111
       0.718000       0.741483       0.001086
       0.720000       0.740400       0.000991
       0.722000       0.740418       0.000912
       0.724000       0.736634       0.001112
       0.726000       0.739170       0.000907
       0.728000       0.739037       0.001138
       0.730000       0.739215       0.001690
       0.732000       0.739383       0.001050
       0.734000       0.734524       0.001784
       0.736000       0.732834       0.001256
       0.738000       0.731339       0.001409
       0.740000       0.730506       0.001804
       0.742000       0.723876       0.001094
       0.744000       0.723282       0.001111
       0.746000       0.717304       0.001067
       0.748000       0.717811       0.000992
       0.750500       0.712431       0.001695
       0.753500       0.705676       0.001007
       0.756500       0.697254       0.000785
       0.759500       0.689452       0.001034
       0.762500       0.684446       0.001589
       0.765500       0.678702       0.000926
       0.768500       0.669188       0.001323
       0.771500       0.659695       0.001731
       0.774500       0.648997       0.001828
       0.777500       0.644254       0.001679
       0.781000       0.632112       0.000858
       0.785000       0.619619       0.001575
       0.789000       0.605472       0.001201
       0.793000       0.595127       0.001226
       0.797000       0.582559       0.001702
       0.801500       0.567985       0.001259
       0.806500       0.553860       0.001285
       0.811500       0.542664       0.001525
       0.816500       0.531396       0.001493
       0.822000       0.514907       0.001596
       0.828000       0.503340       0.001735
       0.835000       0.481657       0.001791
       0.843000      -1.23e34        0.000000
       0.851000       0.480190       0.001938
       0.859000       0.473977       0.001865
       0.871000       0.480746       0.001887
       0.883000       0.487523       0.001886
       0.894000       0.502347       0.001802
       0.904000       0.519384       0.001889
       0.914000       0.537999       0.001163
       0.924000       0.561679       0.001285
       0.933000       0.582554       0.001890
       0.941000       0.604733       0.001895
       0.949000       0.626263       0.001260
       0.957000       0.649215       0.001865
       0.964000       0.672970       0.001876
       0.970000       0.681173       0.001597
       0.976000       0.703712       0.001748
       0.982000       0.717360       0.001276
       0.988000       0.735542       0.001499
       0.994000       0.744344       0.001283
       1.000000       0.757325       0.001698
       1.006000       0.773035       0.001550
       1.012000       0.780573       0.001450
       1.018000       0.788664       0.001328
       1.023500       0.800030       0.001731
       1.028500       0.806268       0.002010
       1.033500       0.811278       0.001317
       1.038500       0.823447       0.001751
       1.043500       0.828080       0.001957
       1.048500       0.830967       0.001530
       1.053500       0.833696       0.001882
       1.058500       0.838857       0.001240
       1.063500       0.840154       0.001566
       1.068500       0.843293       0.001706
       1.073500       0.843392       0.001624
       1.078500       0.849500       0.001195
       1.083500       0.849750       0.001443
       1.088500       0.848875       0.001155
       1.093500       0.856017       0.001425
       1.098500       0.859733       0.001726
       1.103500       0.857393       0.001481
       1.108500       0.860848       0.001303
       1.113500       0.861814       0.001801
       1.118500       0.861278       0.001026
       1.123500       0.864554       0.001249
       1.128500       0.867753       0.001155
       1.133500       0.866000       0.001165
       1.138500       0.866582       0.001185
       1.143500       0.869672       0.001285
       1.148500       0.870427       0.001171
       1.153500       0.873080       0.001169
       1.158500       0.875124       0.000905
       1.163500       0.875513       0.001549
       1.168500       0.873872       0.001176
       1.173500       0.874205       0.001493
       1.178500       0.874683       0.001143
       1.183500       0.876507       0.001938
       1.188500       0.874193       0.001667
       1.193500       0.882305       0.001865
       1.198500       0.879799       0.001583
       1.203500       0.877795       0.001540
       1.208500       0.880811       0.001260
       1.213500       0.878638       0.000880
       1.218500       0.882711       0.001312
       1.223500       0.879453       0.001716
       1.228500       0.883008       0.001155
       1.233500       0.882674       0.001387
       1.238500       0.882476       0.001200
       1.243500       0.886937       0.001303
       1.248500       0.885569       0.000999
       1.253500       0.881657       0.001505
       1.258500       0.884853       0.001129
       1.263500       0.883062       0.001200
       1.268500       0.884299       0.001405
       1.273500       0.885848       0.001562
       1.278500       0.883469       0.001471
       1.283500       0.882950       0.001105
       1.288500       0.882985       0.001207
       1.293500       0.883049       0.001402
       1.298500       0.882297       0.001179
       1.303500       0.885883       0.001224
       1.308500       0.882763       0.001275
       1.313500       0.882991       0.001154
       1.318500       0.881871       0.001114
       1.323500       0.885660       0.000817
       1.328500       0.882296       0.001374
       1.333500       0.882859       0.001381
       1.338500       0.881475       0.001365
       1.343500       0.881863       0.001221
       1.348500       0.883318       0.001131
       1.353500       0.881300       0.001049
       1.358500       0.876673       0.001242
       1.363500       0.880636       0.001607
       1.368500       0.880723       0.001644
       1.373500       0.886430       0.001845
       1.378500       0.878861       0.001610
       1.383500       0.876864       0.001652
       1.388500       0.873346       0.001179
       1.393500       0.872072       0.001477
       1.398500       0.873891       0.001898
       1.403500       0.870143       0.001594
       1.408500       0.870817       0.001945
       1.413500       0.865066       0.001034
       1.418500       0.859416       0.001721
       1.423500       0.854497       0.001357
       1.428500       0.852822       0.001527
       1.433500       0.850184       0.001717
       1.438500       0.846511       0.001132
       1.443500       0.848663       0.001590
       1.448500       0.847031       0.001429
       1.453500       0.848578       0.001394
       1.458500       0.861723       0.001174
       1.463500       0.864848       0.001709
       1.468500       0.869699       0.001562
       1.473500       0.876824       0.001742
       1.478500       0.878133       0.001971
       1.483500       0.875894       0.001764
       1.488500       0.880091       0.001908
       1.493500       0.879931       0.001434
       1.498500       0.876540       0.001568
       1.503500       0.878967       0.001395
       1.508500       0.878640       0.001959
       1.513500       0.876178       0.001618
       1.518500       0.881086       0.001437
       1.523500       0.878543       0.002012
       1.528500       0.878814       0.001401
       1.534000       0.879549       0.001601
       1.540000       0.879190       0.001730
       1.546000       0.878820       0.001821
       1.552000       0.880026       0.001288
       1.558000       0.881983       0.001943
       1.564000       0.881047       0.001510
       1.570500       0.880558       0.000861
       1.577500       0.878275       0.001187
       1.584500       0.875794       0.001021
       1.591500       0.874840       0.001005
       1.598500       0.877452       0.001155
       1.605500       0.874196       0.001068
       1.612500       0.876500       0.001074
       1.619500       0.876327       0.001354
       1.626500       0.873709       0.001789
       1.633500       0.872571       0.001019
       1.640500       0.875151       0.001375
       1.647500       0.871805       0.001280
       1.654500       0.870735       0.001425
       1.661500       0.869690       0.001493
       1.668500       0.866949       0.001489
       1.676000       0.869019       0.001089
       1.684000       0.867639       0.001869
       1.692000       0.861241       0.002093
       1.700000       0.872874       0.002143
       1.708000       0.864740       0.002066
       1.716000       0.862325       0.001925
       1.724000       0.857141       0.001856
       1.732000       0.858073       0.002079
       1.740000       0.855711       0.002076
       1.748000       0.860958       0.002154
       1.756000       0.856891       0.002050
       1.764000       0.854332       0.002096
       1.772000       0.857443       0.002138
       1.780000       0.851999       0.002155
       1.788000       0.846272       0.001708
       1.796000       0.850815       0.001480
       1.805000       0.850186       0.001603
       1.815000       0.847308       0.001086
       1.825000       0.845157       0.001434
       1.835000       0.847085       0.001790
       1.845000       0.841619       0.001931
       1.855000       0.838981       0.001837
       1.865000       0.833908       0.001737
       1.875000       0.835851       0.001451
       1.885000       0.828904       0.001419
       1.895000       0.828853       0.001381
       1.905000       0.824386       0.001595
       1.915000       0.826395       0.001591
       1.925000       0.825020       0.001744
       1.935000       0.818366       0.001267
       1.945000       0.814670       0.001964
       1.955000       0.813668       0.001122
       1.965000       0.818108       0.001459
       1.975000       0.811974       0.001304
       1.985000       0.809534       0.001693
       1.995000       0.810548       0.001411
       2.005000       0.808995       0.001615
       2.015000       0.807889       0.001761
       2.025000       0.807712       0.001983
       2.035000       0.801852       0.001765
       2.045000       0.805896       0.001876
       2.055000       0.805404       0.002023
       2.065000       0.804193       0.001736
       2.075000       0.805635       0.001772
       2.085000       0.799964       0.001966
       2.095000       0.795685       0.002054
       2.105000       0.794977       0.002078
       2.115000       0.794434       0.001960
       2.125000       0.793057       0.002079
       2.135000       0.787363       0.002013
       2.145000       0.786600       0.001977
       2.155000       0.786993       0.001776
       2.165000       0.774604       0.001676
       2.175000       0.769510       0.002079
       2.185000       0.764143       0.002075
       2.195000       0.753085       0.002090
       2.205000       0.746679       0.002093
       2.215000       0.740530       0.002098
       2.225000       0.733743       0.002092
       2.235000       0.710622       0.002069
       2.245000       0.707920       0.002080
       2.255000       0.701429       0.002086
       2.265000       0.695023       0.002091
       2.275000       0.697575       0.002102
       2.285000       0.692040       0.002583
       2.295000       0.709210       0.004263
       2.305000       0.704549       0.003742
       2.315000       0.708567       0.002419
       2.325000       0.714856       0.002061
       2.335000       0.708272       0.002011
       2.345000       0.717063       0.002019
