USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Bronzite HS9.3B Pyroxene     W1R1Bc AREF
copy of splib05a r 1381                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.160097
       0.221100      -1.23e34        0.019130
       0.229100      -1.23e34        0.007543
       0.236100       0.043874       0.003961
       0.242100       0.042100       0.002655
       0.248100       0.043070       0.002435
       0.253600       0.047728       0.001536
       0.258600       0.049267       0.001384
       0.263600       0.051487       0.001180
       0.268600       0.054290       0.001126
       0.273100       0.056764       0.001222
       0.277100       0.058586       0.001075
       0.281100       0.060948       0.001078
       0.285100       0.062693       0.001109
       0.289100       0.064106       0.001145
       0.293100       0.065790       0.001185
       0.297100       0.067125       0.001229
       0.301100       0.068571       0.001282
       0.305100       0.072423       0.001319
       0.309100       0.075464       0.001349
       0.313100       0.078517       0.001362
       0.317100       0.082473       0.001390
       0.321100       0.087484       0.001406
       0.325100       0.091794       0.001418
       0.329100       0.098217       0.001413
       0.333100       0.105385       0.001427
       0.337100       0.111323       0.001431
       0.341100       0.117985       0.001438
       0.345100       0.125634       0.001428
       0.349100       0.133540       0.001446
       0.353100       0.139637       0.000783
       0.357100       0.146945       0.000965
       0.360600       0.153914       0.001161
       0.363600       0.159402       0.001413
       0.366600       0.162492       0.001064
       0.369600       0.166022       0.001145
       0.372600       0.168713       0.000795
       0.375600       0.171212       0.000656
       0.378600       0.175133       0.000907
       0.381100       0.177529       0.001141
       0.383100       0.180321       0.000943
       0.385100       0.181768       0.000805
       0.387100       0.184454       0.000943
       0.389100       0.185954       0.000829
       0.391100       0.187951       0.000768
       0.393100       0.189626       0.001199
       0.395100       0.190766       0.000928
       0.397100       0.192767       0.000900
       0.399100       0.195031       0.000758
       0.401100       0.195129       0.000801
       0.403100       0.196143       0.000769
       0.405100       0.197719       0.000637
       0.407100       0.199361       0.000637
       0.409100       0.200100       0.000701
       0.411100       0.202000       0.000843
       0.412800       0.202965       0.001138
       0.415800       0.204309       0.000839
       0.418800       0.206451       0.000839
       0.421800       0.207541       0.000740
       0.424800       0.208131       0.000841
       0.427800       0.209617       0.000691
       0.430800       0.214150       0.000611
       0.433800       0.219510       0.000853
       0.436800       0.222899       0.000718
       0.439800       0.226360       0.000617
       0.442800       0.228859       0.000579
       0.445800       0.230063       0.000643
       0.448800       0.232712       0.000676
       0.451300       0.236728       0.001409
       0.453300       0.237099       0.001044
       0.455300       0.238523       0.000903
       0.457300       0.240698       0.000919
       0.459300       0.240909       0.001160
       0.461300       0.244041       0.000972
       0.463300       0.244906       0.000840
       0.465300       0.246766       0.000959
       0.467300       0.246435       0.000973
       0.469300       0.248675       0.000846
       0.471300       0.250417       0.000938
       0.473300       0.252623       0.000886
       0.475300       0.252541       0.001211
       0.477300       0.254463       0.000850
       0.479300       0.255308       0.001010
       0.481300       0.257076       0.000775
       0.483300       0.260205       0.000870
       0.485300       0.263069       0.001028
       0.487300       0.265832       0.000920
       0.489300       0.269477       0.000779
       0.491300       0.270865       0.001176
       0.493300       0.274119       0.000788
       0.495300       0.277537       0.000902
       0.497300       0.280896       0.000900
       0.499300       0.284794       0.000748
       0.501300       0.287982       0.000787
       0.503300       0.291864       0.000761
       0.505300       0.287245       0.000711
       0.507300       0.287612       0.000798
       0.509300       0.303437       0.000821
       0.511300       0.310474       0.000810
       0.513300       0.316997       0.001219
       0.515300       0.322156       0.001249
       0.517300       0.326583       0.001197
       0.519300       0.332745       0.000785
       0.521300       0.337531       0.000910
       0.523300       0.342327       0.000815
       0.525300       0.346060       0.000866
       0.527300       0.350432       0.001259
       0.529300       0.354354       0.000982
       0.531300       0.359196       0.000839
       0.533300       0.360929       0.000872
       0.535300       0.364883       0.000959
       0.537300       0.365891       0.000885
       0.539300       0.367884       0.000844
       0.541300       0.368578       0.001326
       0.543300       0.367840       0.000928
       0.545300       0.368540       0.000958
       0.547300       0.369060       0.000850
       0.549300       0.370303       0.001115
       0.551300       0.371601       0.000770
       0.553300       0.374397       0.000615
       0.555300       0.376689       0.000836
       0.557300       0.378508       0.000787
       0.559300       0.381057       0.000920
       0.561300       0.381649       0.000980
       0.563300       0.382839       0.000666
       0.565300       0.385030       0.000782
       0.567300       0.385802       0.000843
       0.569300       0.386892       0.000904
       0.571300       0.388235       0.000938
       0.573300       0.386726       0.001267
       0.575300       0.388295       0.001015
       0.577300       0.389024       0.001050
       0.579300       0.388297       0.001495
       0.581300       0.391690       0.001149
       0.583300       0.391736       0.001128
       0.585300       0.391460       0.000987
       0.587300       0.392320       0.001141
       0.589300       0.393729       0.001149
       0.591300       0.393900       0.000856
       0.593300       0.395020       0.000991
       0.595300       0.395957       0.001001
       0.597300       0.396206       0.001184
       0.599300       0.397587       0.000970
       0.601100       0.398139       0.000999
       0.602700       0.398766       0.001097
       0.604300       0.400225       0.000918
       0.605900       0.400179       0.000831
       0.607500       0.401258       0.001200
       0.609100       0.401464       0.000819
       0.610700       0.402268       0.000771
       0.612300       0.402645       0.000926
       0.613900       0.404249       0.000877
       0.615500       0.404053       0.001033
       0.617100       0.405461       0.000789
       0.618700       0.406737       0.000980
       0.620300       0.407264       0.000968
       0.621900       0.408032       0.000853
       0.623500       0.409199       0.000909
       0.625100       0.411125       0.000834
       0.626700       0.411437       0.000929
       0.628300       0.412215       0.000992
       0.629900       0.411899       0.000865
       0.631700       0.412869       0.001149
       0.633700       0.413568       0.000780
       0.635700       0.415935       0.000851
       0.637700       0.415708       0.000924
       0.639700       0.416259       0.000902
       0.641700       0.416850       0.000827
       0.643700       0.418040       0.000890
       0.645700       0.417652       0.000933
       0.647700       0.418714       0.000989
       0.649700       0.420710       0.001026
       0.651700       0.421007       0.001045
       0.653700       0.422645       0.001027
       0.655700       0.422237       0.000698
       0.657700       0.422334       0.000854
       0.659700       0.423305       0.000635
       0.661700       0.425511       0.000819
       0.663700       0.425478       0.000970
       0.665700       0.427186       0.000735
       0.667700       0.428509       0.001103
       0.670200       0.429914       0.000945
       0.673200       0.431659       0.000744
       0.676200       0.434614       0.000939
       0.679200       0.436866       0.001025
       0.682200       0.440976       0.001049
       0.685200       0.444051       0.000927
       0.688200       0.444961       0.001104
       0.691200       0.444633       0.001015
       0.694200       0.444953       0.001542
       0.697200       0.445362       0.001231
       0.700200       0.448066       0.001297
       0.702000       0.449593       0.000978
       0.704000       0.450070       0.001053
       0.706000       0.451253       0.000980
       0.708000       0.452155       0.001033
       0.710000       0.455139       0.001084
       0.712000       0.455040       0.001480
       0.714000       0.455852       0.000792
       0.716000       0.456211       0.000815
       0.718000       0.457019       0.000841
       0.720000       0.456402       0.000776
       0.722000       0.456587       0.000688
       0.724000       0.456851       0.001076
       0.726000       0.456580       0.000855
       0.728000       0.454882       0.000853
       0.730000       0.453466       0.000833
       0.732000       0.451106       0.000518
       0.734000       0.448255       0.000931
       0.736000       0.443801       0.001049
       0.738000       0.443251       0.000915
       0.740000       0.440330       0.000897
       0.742000       0.437702       0.001121
       0.744000       0.433692       0.000921
       0.746000       0.429500       0.000903
       0.748000       0.424727       0.000745
       0.750500       0.418450       0.001242
       0.753500       0.411199       0.000776
       0.756500       0.402116       0.000966
       0.759500       0.393960       0.000826
       0.762500       0.385819       0.000882
       0.765500       0.374829       0.000877
       0.768500       0.365780       0.000882
       0.771500       0.356261       0.000678
       0.774500       0.345485       0.000718
       0.777500       0.335239       0.000712
       0.781000       0.322967       0.000868
       0.785000       0.308609       0.000625
       0.789000       0.296093       0.001159
       0.793000       0.283417       0.000930
       0.797000       0.271369       0.000697
       0.801500       0.257540       0.000624
       0.806500       0.243587       0.000660
       0.811500       0.230710       0.000774
       0.816500       0.218321       0.000753
       0.822000       0.205896       0.000704
       0.828000       0.193616       0.000859
       0.835000       0.181172       0.000905
       0.843000       0.169892       0.001103
       0.851000       0.160227       0.001853
       0.859000       0.150928       0.001709
       0.871000       0.138616       0.001728
       0.883000       0.134723       0.001712
       0.894000       0.130529       0.001724
       0.904000       0.127527       0.001661
       0.914000       0.124709       0.000832
       0.924000       0.125334       0.001106
       0.933000       0.129426       0.001469
       0.941000       0.130728       0.001193
       0.949000       0.133674       0.000911
       0.957000       0.141463       0.000917
       0.964000       0.146124       0.001340
       0.970000       0.154303       0.001223
       0.976000       0.160013       0.001294
       0.982000       0.168986       0.001190
       0.988000       0.179376       0.001191
       0.994000       0.189253       0.000938
       1.000000       0.199748       0.001217
       1.006000       0.214469       0.000843
       1.012000       0.226600       0.001050
       1.018000       0.240029       0.001285
       1.023500       0.255231       0.001324
       1.028500       0.267295       0.001047
       1.033500       0.282226       0.001336
       1.038500       0.294511       0.000865
       1.043500       0.308561       0.001418
       1.048500       0.322307       0.001165
       1.053500       0.335649       0.001120
       1.058500       0.348639       0.001056
       1.063500       0.361523       0.000799
       1.068500       0.374073       0.001111
       1.073500       0.386096       0.000908
       1.078500       0.398635       0.000999
       1.083500       0.408697       0.001234
       1.088500       0.420419       0.000746
       1.093500       0.428998       0.001206
       1.098500       0.438987       0.000773
       1.103500       0.448379       0.001050
       1.108500       0.456675       0.001004
       1.113500       0.463936       0.000724
       1.118500       0.471043       0.000824
       1.123500       0.478067       0.000690
       1.128500       0.484870       0.000882
       1.133500       0.488924       0.001012
       1.138500       0.496208       0.000753
       1.143500       0.500640       0.000876
       1.148500       0.503633       0.001076
       1.153500       0.508089       0.000891
       1.158500       0.511610       0.000965
       1.163500       0.514121       0.001090
       1.168500       0.517358       0.000910
       1.173500       0.519894       0.001171
       1.178500       0.522595       0.000884
       1.183500       0.525497       0.000841
       1.188500       0.530166       0.001072
       1.193500       0.532077       0.000888
       1.198500       0.532214       0.000933
       1.203500       0.534159       0.000865
       1.208500       0.535815       0.000971
       1.213500       0.537567       0.000879
       1.218500       0.540512       0.000895
       1.223500       0.539687       0.001149
       1.228500       0.540200       0.000826
       1.233500       0.543044       0.001232
       1.238500       0.542405       0.000811
       1.243500       0.542511       0.001068
       1.248500       0.543191       0.000881
       1.253500       0.542446       0.000709
       1.258500       0.543432       0.000771
       1.263500       0.545697       0.000856
       1.268500       0.545486       0.000596
       1.273500       0.545004       0.000753
       1.278500       0.544183       0.000863
       1.283500       0.544474       0.001083
       1.288500       0.543848       0.000853
       1.293500       0.543772       0.000749
       1.298500       0.542905       0.000776
       1.303500       0.541517       0.000857
       1.308500       0.540796       0.000942
       1.313500       0.540151       0.000978
       1.318500       0.538619       0.001078
       1.323500       0.537620       0.000786
       1.328500       0.535886       0.000891
       1.333500       0.533591       0.000804
       1.338500       0.531566       0.000785
       1.343500       0.529640       0.000813
       1.348500       0.525675       0.001203
       1.353500       0.521396       0.001103
       1.358500       0.521212       0.001052
       1.363500       0.517766       0.001025
       1.368500       0.512826       0.001207
       1.373500       0.508759       0.001192
       1.378500       0.503497       0.001336
       1.383500       0.499663       0.001080
       1.388500       0.486986       0.001240
       1.393500       0.473077       0.001566
       1.398500       0.478900       0.001385
       1.403500       0.481486       0.001326
       1.408500       0.476164       0.001279
       1.413500       0.471167       0.000821
       1.418500       0.466835       0.000891
       1.423500       0.463334       0.000842
       1.428500       0.459082       0.001082
       1.433500       0.452789       0.001324
       1.438500       0.447636       0.001369
       1.443500       0.442662       0.001185
       1.448500       0.437015       0.001060
       1.453500       0.430613       0.001439
       1.458500       0.426321       0.000844
       1.463500       0.418123       0.000719
       1.468500       0.414676       0.001174
       1.473500       0.409209       0.001084
       1.478500       0.404353       0.001652
       1.483500       0.396079       0.001030
       1.488500       0.392163       0.001054
       1.493500       0.384838       0.001315
       1.498500       0.378914       0.001126
       1.503500       0.369675       0.001080
       1.508500       0.367788       0.001196
       1.513500       0.359255       0.001119
       1.518500       0.355479       0.001630
       1.523500       0.349913       0.001003
       1.528500       0.344988       0.001294
       1.534000       0.338228       0.001094
       1.540000       0.330559       0.001383
       1.546000       0.325136       0.000883
       1.552000       0.318977       0.000884
       1.558000       0.314532       0.001078
       1.564000       0.307138       0.000982
       1.570500       0.300384       0.000973
       1.577500       0.293280       0.000740
       1.584500       0.287090       0.001025
       1.591500       0.281370       0.000792
       1.598500       0.274925       0.000653
       1.605500       0.270181       0.000794
       1.612500       0.262528       0.000756
       1.619500       0.258400       0.000976
       1.626500       0.251907       0.000873
       1.633500       0.246268       0.001534
       1.640500       0.244034       0.000836
       1.647500       0.237388       0.000907
       1.654500       0.233317       0.001446
       1.661500       0.229915       0.001260
       1.668500       0.226007       0.000660
       1.676000       0.220528       0.001249
       1.684000       0.217765       0.001272
       1.692000       0.213641       0.001305
       1.700000       0.207649       0.001574
       1.708000       0.207039       0.001126
       1.716000       0.203214       0.001238
       1.724000       0.197437       0.000970
       1.732000       0.197115       0.001499
       1.740000       0.190908       0.001683
       1.748000       0.190930       0.001698
       1.756000       0.189524       0.001759
       1.764000       0.187782       0.001198
       1.772000       0.185903       0.001296
       1.780000       0.185435       0.001671
       1.788000       0.182389       0.001677
       1.796000       0.182166       0.001136
       1.805000       0.179655       0.000935
       1.815000       0.179363       0.000966
       1.825000       0.179166       0.000937
       1.835000       0.176832       0.001733
       1.845000       0.178737       0.001044
       1.855000       0.176917       0.001766
       1.865000       0.178065       0.001147
       1.875000       0.176869       0.001308
       1.885000       0.178100       0.000791
       1.895000       0.179913       0.001041
       1.905000       0.181492       0.001166
       1.915000       0.183202       0.001443
       1.925000       0.184446       0.001567
       1.935000       0.185200       0.001474
       1.945000       0.188805       0.001104
       1.955000       0.192032       0.001541
       1.965000       0.194536       0.001237
       1.975000       0.202484       0.001561
       1.985000       0.205205       0.001383
       1.995000       0.209861       0.001749
       2.005000       0.212137       0.001737
       2.015000       0.215611       0.001509
       2.025000       0.220826       0.001413
       2.035000       0.228110       0.001685
       2.045000       0.230758       0.001685
       2.055000       0.239324       0.001742
       2.065000       0.247716       0.001519
       2.075000       0.251551       0.001687
       2.085000       0.258967       0.001562
       2.095000       0.263913       0.001704
       2.105000       0.272786       0.001696
       2.115000       0.276346       0.001732
       2.125000       0.287534       0.001708
       2.135000       0.296037       0.001729
       2.145000       0.299999       0.001732
       2.155000       0.308676       0.001406
       2.165000       0.313035       0.001637
       2.175000       0.317245       0.001477
       2.185000       0.322821       0.001707
       2.195000       0.330406       0.001729
       2.205000       0.332859       0.001735
       2.215000       0.339296       0.001746
       2.225000       0.349106       0.001720
       2.235000       0.350039       0.001755
       2.245000       0.350435       0.001771
       2.255000       0.355891       0.001770
       2.265000       0.359887       0.001769
       2.275000       0.356873       0.001883
       2.285000       0.361642       0.002546
       2.295000       0.363890       0.003315
       2.305000       0.357233       0.002860
       2.315000       0.362575       0.002197
       2.325000       0.376443       0.001774
       2.335000       0.381498       0.001706
