USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Buddingtonite NHB2301        W1R1Bb AREF
copy of splib05a r 1428                                     
       0.205100      -1.23e34        0.009632
       0.213100      -1.23e34        0.002278
       0.221100       0.115110       0.001807
       0.229100       0.115527       0.001664
       0.236100       0.114543       0.001299
       0.242100       0.114611       0.000816
       0.248100       0.112024       0.000766
       0.253600       0.112270       0.000711
       0.258600       0.112329       0.000553
       0.263600       0.114792       0.000680
       0.268600       0.117299       0.000666
       0.273100       0.120827       0.000699
       0.277100       0.124752       0.000556
       0.281100       0.129092       0.000592
       0.285100       0.134143       0.000664
       0.289100       0.139128       0.000919
       0.293100       0.143614       0.001285
       0.297100       0.148772       0.001364
       0.301100       0.154417       0.000647
       0.305100       0.158919       0.000861
       0.309100       0.164272       0.000713
       0.313100       0.166990       0.000647
       0.317100       0.171850       0.000644
       0.321100       0.177522       0.001544
       0.325100       0.181951       0.000789
       0.329100       0.188380       0.000935
       0.333100       0.197032       0.001085
       0.337100       0.205385       0.000617
       0.341100       0.214694       0.000679
       0.345100       0.224174       0.000954
       0.349100       0.233135       0.000704
       0.353100       0.242905       0.000973
       0.357100       0.252266       0.000597
       0.360600       0.261262       0.000696
       0.363600       0.267622       0.000862
       0.366600       0.273505       0.000514
       0.369600       0.278761       0.000555
       0.372600       0.283721       0.000714
       0.375600       0.288607       0.000549
       0.378600       0.293557       0.000485
       0.381100       0.298340       0.000535
       0.383100       0.300816       0.000782
       0.385100       0.304288       0.000579
       0.387100       0.306460       0.000697
       0.389100       0.310212       0.000746
       0.391100       0.312558       0.000635
       0.393100       0.316239       0.000705
       0.395100       0.318852       0.000571
       0.397100       0.322028       0.000679
       0.399100       0.324701       0.000680
       0.401100       0.326481       0.000769
       0.403100       0.330035       0.000943
       0.405100       0.331953       0.000563
       0.407100       0.334220       0.000649
       0.409100       0.336831       0.000621
       0.411100       0.340196       0.000667
       0.412800       0.342151       0.000585
       0.415800       0.345131       0.000535
       0.418800       0.348359       0.001053
       0.421800       0.351527       0.000658
       0.424800       0.354093       0.000573
       0.427800       0.357989       0.000905
       0.430800       0.360435       0.000554
       0.433800       0.363594       0.000917
       0.436800       0.366588       0.000637
       0.439800       0.371582       0.000560
       0.442800       0.373976       0.000623
       0.445800       0.378421       0.000607
       0.448800       0.381547       0.000982
       0.451300       0.385765       0.000875
       0.453300       0.386503       0.000794
       0.455300       0.387805       0.000820
       0.457300       0.388539       0.001381
       0.459300       0.392264       0.001829
       0.461300       0.392263       0.000744
       0.463300       0.393745       0.000780
       0.465300       0.394200       0.000890
       0.467300       0.397186       0.001512
       0.469300       0.398579       0.000759
       0.471300       0.399044       0.000843
       0.473300       0.400124       0.000853
       0.475300       0.402428       0.000698
       0.477300       0.403527       0.000788
       0.479300       0.404777       0.000762
       0.481300       0.406506       0.000737
       0.483300       0.408234       0.000774
       0.485300       0.408189       0.001029
       0.487300       0.410549       0.000727
       0.489300       0.411897       0.000682
       0.491300       0.413960       0.000686
       0.493300       0.416124       0.000765
       0.495300       0.417263       0.000856
       0.497300       0.419025       0.000770
       0.499300       0.420416       0.001347
       0.501300       0.422968       0.000753
       0.503300       0.424877       0.000715
       0.505300       0.427353       0.000896
       0.507300       0.428726       0.001278
       0.509300       0.431633       0.000704
       0.511300       0.432759       0.000846
       0.513300       0.436044       0.000657
       0.515300       0.438719       0.000816
       0.517300       0.437905       0.000428
       0.519300       0.441116       0.000486
       0.521300       0.442939       0.000853
       0.523300       0.444595       0.000572
       0.525300       0.447686       0.000393
       0.527300       0.449542       0.000451
       0.529300       0.452151       0.000490
       0.531300       0.453028       0.000736
       0.533300       0.455166       0.000553
       0.535300       0.457723       0.000807
       0.537300       0.459223       0.000674
       0.539300       0.460911       0.000937
       0.541300       0.463740       0.000552
       0.543300       0.465005       0.000573
       0.545300       0.466424       0.000826
       0.547300       0.467292       0.000799
       0.549300       0.470120       0.001515
       0.551300       0.471325       0.000942
       0.553300       0.473187       0.000919
       0.555300       0.475094       0.000752
       0.557300       0.476599       0.001752
       0.559300       0.476428       0.000997
       0.561300       0.479325       0.000783
       0.563300       0.480558       0.001322
       0.565300       0.482593       0.000791
       0.567300       0.482554       0.000822
       0.569300       0.484601       0.000727
       0.571300       0.484997       0.000535
       0.573300       0.487425       0.000581
       0.575300       0.487997       0.000595
       0.577300       0.489442       0.000566
       0.579300       0.491444       0.000607
       0.581300       0.491300       0.000635
       0.583300       0.492413       0.000775
       0.585300       0.493040       0.000607
       0.587300       0.495007       0.000995
       0.589300       0.494858       0.000568
       0.591300       0.496498       0.000561
       0.593300       0.498051       0.000633
       0.595300       0.498710       0.000528
       0.597300       0.499428       0.000632
       0.599300       0.500751       0.000559
       0.601100       0.502684       0.000509
       0.602700       0.502379       0.000726
       0.604300       0.502615       0.000780
       0.605900       0.503743       0.000937
       0.607500       0.504552       0.000584
       0.609100       0.505857       0.000660
       0.610700       0.506629       0.000518
       0.612300       0.506941       0.000604
       0.613900       0.507865       0.000612
       0.615500       0.508241       0.000525
       0.617100       0.509256       0.000862
       0.618700       0.509872       0.000537
       0.620300       0.511047       0.000498
       0.621900       0.512618       0.000540
       0.623500       0.511847       0.000561
       0.625100       0.512747       0.000666
       0.626700       0.513793       0.000532
       0.628300       0.514763       0.000649
       0.629900       0.515355       0.000838
       0.631700       0.514414       0.001006
       0.633700       0.516212       0.001283
       0.635700       0.517153       0.000866
       0.637700       0.518379       0.000506
       0.639700       0.518742       0.000467
       0.641700       0.520362       0.000451
       0.643700       0.521035       0.000517
       0.645700       0.522115       0.000549
       0.647700       0.522836       0.000584
       0.649700       0.523459       0.000594
       0.651700       0.525653       0.000673
       0.653700       0.525756       0.000586
       0.655700       0.527514       0.000656
       0.657700       0.527938       0.000675
       0.659700       0.528553       0.000620
       0.661700       0.529837       0.000715
       0.663700       0.530386       0.000622
       0.665700       0.530771       0.000800
       0.667700       0.532207       0.000479
       0.670200       0.533356       0.000489
       0.673200       0.533648       0.000537
       0.676200       0.536138       0.000549
       0.679200       0.537023       0.000649
       0.682200       0.538236       0.000653
       0.685200       0.539084       0.000682
       0.688200       0.540861       0.001028
       0.691200       0.542301       0.000803
       0.694200       0.542919       0.000935
       0.697200       0.545140       0.000717
       0.700200       0.545541       0.000742
       0.702000       0.545849       0.000552
       0.704000       0.546619       0.000495
       0.706000       0.547722       0.000762
       0.708000       0.549311       0.000529
       0.710000       0.550191       0.000548
       0.712000       0.550096       0.000850
       0.714000       0.551323       0.000570
       0.716000       0.552155       0.000707
       0.718000       0.552515       0.000642
       0.720000       0.553420       0.000641
       0.722000       0.555268       0.000568
       0.724000       0.556753       0.000653
       0.726000       0.556381       0.000627
       0.728000       0.557375       0.000626
       0.730000       0.558406       0.000570
       0.732000       0.558049       0.000752
       0.734000       0.558473       0.000654
       0.736000       0.560095       0.000652
       0.738000       0.561108       0.000752
       0.740000       0.561250       0.000899
       0.742000       0.562594       0.000861
       0.744000       0.563399       0.000864
       0.746000       0.562358       0.000967
       0.748000       0.565452       0.000806
       0.750500       0.564790       0.000793
       0.753500       0.566029       0.001135
       0.756500       0.567979       0.000764
       0.759500       0.567709       0.000758
       0.762500       0.570613       0.000757
       0.765500       0.570359       0.000796
       0.768500       0.571183       0.000704
       0.771500       0.573731       0.000892
       0.774500       0.572064       0.000664
       0.777500       0.574112       0.000727
       0.781000       0.575394       0.000587
       0.785000       0.576037       0.000636
       0.789000       0.576972       0.000785
       0.793000       0.578368       0.000829
       0.797000       0.580096       0.000693
       0.801500       0.580285       0.000770
       0.806500       0.581399       0.000783
       0.811500       0.582265       0.001310
       0.816500       0.583289       0.000833
       0.822000       0.585680       0.000741
       0.828000       0.586164       0.000764
       0.835000       0.588141       0.000880
       0.843000       0.588341       0.000537
       0.851000       0.592845       0.001914
       0.859000       0.590334       0.001501
       0.871000       0.588760       0.001169
       0.883000       0.588299       0.000656
       0.894000       0.593794       0.001496
       0.904000       0.592000       0.000820
       0.914000       0.593055       0.000881
       0.924000       0.591413       0.001457
       0.933000       0.592676       0.001017
       0.941000       0.595426       0.001201
       0.949000       0.594278       0.001139
       0.957000       0.592906       0.000902
       0.964000       0.596619       0.001343
       0.970000       0.596479       0.001133
       0.976000       0.598175       0.000884
       0.982000       0.595957       0.000916
       0.988000       0.596932       0.001102
       0.994000       0.596995       0.000940
       1.000000       0.596056       0.001046
       1.006000       0.597371       0.000647
       1.012000       0.597390       0.001055
       1.018000       0.596034       0.000663
       1.023500       0.600630       0.001369
       1.028500       0.600984       0.000994
       1.033500       0.599650       0.000811
       1.038500       0.601094       0.000807
       1.043500       0.601524       0.000731
       1.048500       0.600553       0.000582
       1.053500       0.600086       0.000989
       1.058500       0.601690       0.000579
       1.063500       0.601388       0.000932
       1.068500       0.602528       0.000787
       1.073500       0.602109       0.000825
       1.078500       0.604057       0.000772
       1.083500       0.603201       0.000638
       1.088500       0.604275       0.000835
       1.093500       0.602413       0.000587
       1.098500       0.602917       0.000852
       1.103500       0.604056       0.000804
       1.108500       0.604758       0.000652
       1.113500       0.604279       0.000590
       1.118500       0.605762       0.000788
       1.123500       0.605087       0.000792
       1.128500       0.605694       0.000626
       1.133500       0.605866       0.000711
       1.138500       0.605565       0.000711
       1.143500       0.605549       0.000466
       1.148500       0.605506       0.000668
       1.153500       0.606037       0.000821
       1.158500       0.604980       0.000638
       1.163500       0.603912       0.000720
       1.168500       0.605757       0.000581
       1.173500       0.605545       0.000634
       1.178500       0.604943       0.000870
       1.183500       0.608964       0.001077
       1.188500       0.608882       0.001008
       1.193500       0.607274       0.000799
       1.198500       0.606003       0.001055
       1.203500       0.605629       0.000747
       1.208500       0.606927       0.001015
       1.213500       0.606439       0.000647
       1.218500       0.607309       0.000782
       1.223500       0.606412       0.000702
       1.228500       0.605614       0.000611
       1.233500       0.606230       0.000628
       1.238500       0.606765       0.000644
       1.243500       0.605646       0.000730
       1.248500       0.606521       0.000808
       1.253500       0.604810       0.000550
       1.258500       0.606233       0.000718
       1.263500       0.604367       0.000883
       1.268500       0.606186       0.000826
       1.273500       0.604248       0.000585
       1.278500       0.606291       0.000645
       1.283500       0.605546       0.000778
       1.288500       0.605058       0.000593
       1.293500       0.606264       0.000717
       1.298500       0.604727       0.000798
       1.303500       0.604616       0.000731
       1.308500       0.605308       0.000641
       1.313500       0.605570       0.000670
       1.318500       0.606042       0.000663
       1.323500       0.605070       0.000745
       1.328500       0.604281       0.000770
       1.333500       0.605488       0.000704
       1.338500       0.603928       0.000513
       1.343500       0.603923       0.000621
       1.348500       0.603611       0.000745
       1.353500       0.603024       0.000832
       1.358500       0.602796       0.000938
       1.363500       0.603514       0.001083
       1.368500       0.603221       0.001109
       1.373500       0.600670       0.000875
       1.378500       0.603685       0.000986
       1.383500       0.601258       0.000876
       1.388500       0.599086       0.001166
       1.393500       0.596965       0.001096
       1.398500       0.597975       0.001140
       1.403500       0.593553       0.000903
       1.408500       0.591393       0.000866
       1.413500       0.588080       0.000832
       1.418500       0.591405       0.000724
       1.423500       0.594207       0.000911
       1.428500       0.595730       0.000796
       1.433500       0.598214       0.000938
       1.438500       0.598565       0.000837
       1.443500       0.598832       0.001063
       1.448500       0.598593       0.000717
       1.453500       0.598409       0.000883
       1.458500       0.598314       0.000920
       1.463500       0.597112       0.001324
       1.468500       0.597226       0.000903
       1.473500       0.595827       0.001294
       1.478500       0.595886       0.000892
       1.483500       0.598451       0.000776
       1.488500       0.596348       0.000886
       1.493500       0.593479       0.001048
       1.498500       0.595593       0.001248
       1.503500       0.593313       0.001305
       1.508500       0.592520       0.001256
       1.513500       0.591768       0.001135
       1.518500       0.590132       0.000875
       1.523500       0.588678       0.001052
       1.528500       0.588023       0.000827
       1.534000       0.584747       0.000546
       1.540000       0.582438       0.000753
       1.546000       0.581096       0.000630
       1.552000       0.580004       0.001192
       1.558000       0.577298       0.000762
       1.564000       0.580054       0.000874
       1.570500       0.577980       0.000643
       1.577500       0.579481       0.000539
       1.584500       0.580684       0.000689
       1.591500       0.582091       0.000596
       1.598500       0.584088       0.000752
       1.605500       0.585709       0.000403
       1.612500       0.585226       0.000709
       1.619500       0.585162       0.000608
       1.626500       0.585256       0.000703
       1.633500       0.584726       0.000779
       1.640500       0.584379       0.000675
       1.647500       0.585555       0.000728
       1.654500       0.588125       0.001003
       1.661500       0.586117       0.000917
       1.668500       0.586161       0.000923
       1.676000       0.587523       0.000971
       1.684000       0.585948       0.000901
       1.692000       0.586769       0.001467
       1.700000       0.590413       0.001678
       1.708000       0.589900       0.001286
       1.716000       0.588523       0.001183
       1.724000       0.586316       0.001446
       1.732000       0.588857       0.001517
       1.740000       0.588182       0.001684
       1.748000       0.586482       0.001666
       1.756000       0.588053       0.001411
       1.764000       0.587612       0.001742
       1.772000       0.585476       0.001252
       1.780000       0.587023       0.001217
       1.788000       0.586753       0.001284
       1.796000       0.584251       0.000824
       1.805000       0.583244       0.000958
       1.815000       0.582435       0.001095
       1.825000       0.581493       0.000668
       1.835000       0.579828       0.001000
       1.845000       0.579038       0.001269
       1.855000       0.579737       0.000885
       1.865000       0.575781       0.000998
       1.875000       0.574053       0.000933
       1.885000       0.565647       0.001056
       1.895000       0.553946       0.001078
       1.905000       0.545829       0.001085
       1.915000       0.546469       0.000930
       1.925000       0.548202       0.000834
       1.935000       0.547623       0.000833
       1.945000       0.543898       0.000953
       1.955000       0.542065       0.000829
       1.965000       0.536979       0.001277
       1.975000       0.529964       0.001751
       1.985000       0.519028       0.001760
       1.995000       0.498832       0.001373
       2.005000       0.476600       0.001593
       2.015000       0.463548       0.001216
       2.025000       0.466323       0.001611
       2.035000       0.463093       0.001861
       2.045000       0.461736       0.001459
       2.055000       0.460464       0.001267
       2.065000       0.460532       0.001548
       2.075000       0.450889       0.001856
       2.085000       0.442312       0.001874
       2.095000       0.430054       0.001840
       2.105000       0.408001       0.001860
       2.115000       0.403002       0.001552
       2.125000       0.400796       0.001870
       2.135000       0.405423       0.001864
       2.145000       0.409656       0.001556
       2.155000       0.418558       0.001842
       2.165000       0.426101       0.001443
       2.175000       0.434764       0.001442
       2.185000       0.445026       0.001352
       2.195000       0.443606       0.001847
       2.205000       0.456944       0.001902
       2.215000       0.460831       0.001927
       2.225000       0.464729       0.001923
       2.235000       0.477116       0.001930
       2.245000       0.480871       0.001926
       2.255000       0.487574       0.001937
       2.265000       0.492021       0.001956
       2.275000       0.503470       0.001970
       2.285000       0.509187       0.002814
       2.295000       0.518336       0.003859
       2.305000       0.513196       0.003436
       2.315000       0.517378       0.002502
       2.325000       0.517530       0.001934
       2.335000       0.520485       0.001907
       2.345000       0.520227       0.001875
