USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Bytownite HS105.3B Plagio    W1R1Bb AREF
copy of splib05a r 1451                                     
       0.205100      -1.23e34        0.173151
       0.213100      -1.23e34        0.022469
       0.221100       0.069945       0.005632
       0.229100       0.059844       0.002276
       0.236100       0.061703       0.001597
       0.242100       0.058309       0.001023
       0.248100       0.057403       0.000964
       0.253600       0.057812       0.000945
       0.258600       0.057486       0.000933
       0.263600       0.059734       0.000935
       0.268600       0.060764       0.000965
       0.273100       0.064038       0.000983
       0.277100       0.067735       0.001003
       0.281100       0.070020       0.001038
       0.285100       0.077355       0.001073
       0.289100       0.086058       0.001118
       0.293100       0.096629       0.001161
       0.297100       0.109942       0.001219
       0.301100       0.125907       0.001268
       0.305100       0.141455       0.001327
       0.309100       0.157808       0.001328
       0.313100       0.175471       0.001350
       0.317100       0.191355       0.001395
       0.321100       0.207183       0.001413
       0.325100       0.218967       0.001427
       0.329100       0.227230       0.001471
       0.333100       0.236951       0.001466
       0.337100       0.245185       0.001487
       0.341100       0.250594       0.001500
       0.345100       0.257974       0.001520
       0.349100       0.263917       0.001525
       0.353100       0.267210       0.001465
       0.357100       0.274886       0.001486
       0.360600       0.278370       0.001455
       0.363600       0.286483       0.001334
       0.366600       0.289205       0.001459
       0.369600       0.292380       0.001251
       0.372600       0.297073       0.001237
       0.375600       0.298966       0.000785
       0.378600       0.302429       0.001466
       0.381100       0.305114       0.001508
       0.383100       0.305601       0.001540
       0.385100       0.308392       0.001514
       0.387100       0.312498       0.001534
       0.389100       0.313297       0.001523
       0.391100       0.317639       0.001514
       0.393100       0.318096       0.001231
       0.395100       0.320480       0.001472
       0.397100       0.319594       0.001228
       0.399100       0.322615       0.001311
       0.401100       0.325845       0.001156
       0.403100       0.326621       0.000683
       0.405100       0.328606       0.000668
       0.407100       0.328737       0.001497
       0.409100       0.329119       0.000913
       0.411100       0.332642       0.001524
       0.412800       0.333688       0.001573
       0.415800       0.331620       0.001530
       0.418800       0.335589       0.001536
       0.421800       0.337087       0.001569
       0.424800       0.337378       0.001566
       0.427800       0.340894       0.001070
       0.430800       0.343405       0.001012
       0.433800       0.343796       0.001344
       0.436800       0.346505       0.001538
       0.439800       0.349606       0.001209
       0.442800       0.350456       0.000857
       0.445800       0.354564       0.001443
       0.448800       0.354486       0.000795
       0.451300       0.354048       0.001568
       0.453300       0.357418       0.001610
       0.455300       0.358092       0.001614
       0.457300       0.359229       0.001552
       0.459300       0.358898       0.001622
       0.461300       0.361605       0.001589
       0.463300       0.360036       0.001577
       0.465300       0.361734       0.000856
       0.467300       0.363583       0.001580
       0.469300       0.361850       0.001284
       0.471300       0.362399       0.001590
       0.473300       0.363988       0.001604
       0.475300       0.364620       0.001630
       0.477300       0.365749       0.001546
       0.479300       0.365555       0.001614
       0.481300       0.366970       0.001330
       0.483300       0.366577       0.001564
       0.485300       0.368188       0.001031
       0.487300       0.368635       0.001128
       0.489300       0.369092       0.001531
       0.491300       0.369082       0.001591
       0.493300       0.371287       0.001601
       0.495300       0.369245       0.001114
       0.497300       0.374580       0.000989
       0.499300       0.373668       0.001628
       0.501300       0.375006       0.001648
       0.503300       0.372547       0.001461
       0.505300       0.374355       0.001598
       0.507300       0.374233       0.001643
       0.509300       0.375949       0.001605
       0.511300       0.374302       0.001250
       0.513300       0.378791       0.001549
       0.515300       0.380989       0.001165
       0.517300       0.378637       0.001609
       0.519300       0.378250       0.001447
       0.521300       0.380582       0.001622
       0.523300       0.380851       0.001648
       0.525300       0.381739       0.001640
       0.527300       0.380657       0.001614
       0.529300       0.382002       0.001612
       0.531300       0.382859       0.001640
       0.533300       0.383208       0.001636
       0.535300       0.383501       0.001487
       0.537300       0.384829       0.001302
       0.539300       0.384990       0.001585
       0.541300       0.386686       0.001630
       0.543300       0.384889       0.001656
       0.545300       0.383842       0.001603
       0.547300       0.383340       0.001647
       0.549300       0.386876       0.001597
       0.551300       0.386594       0.001491
       0.553300       0.385746       0.001624
       0.555300       0.388247       0.001179
       0.557300       0.386922       0.001414
       0.559300       0.385013       0.001118
       0.561300       0.387043       0.001366
       0.563300       0.388388       0.001483
       0.565300       0.384094       0.001166
       0.567300       0.389100       0.001610
       0.569300       0.385162       0.001438
       0.571300       0.389062       0.001204
       0.573300       0.386177       0.001617
       0.575300       0.387775       0.001608
       0.577300       0.385518       0.001464
       0.579300       0.388837       0.001597
       0.581300       0.385929       0.001635
       0.583300       0.386950       0.001617
       0.585300       0.383399       0.001611
       0.587300       0.385349       0.001599
       0.589300       0.388258       0.001639
       0.591300       0.385228       0.001659
       0.593300       0.387399       0.001390
       0.595300       0.388388       0.001516
       0.597300       0.388536       0.001644
       0.599300       0.387900       0.001640
       0.601100       0.385696       0.001337
       0.602700       0.387907       0.001636
       0.604300       0.381839       0.001538
       0.605900       0.385407       0.001619
       0.607500       0.385867       0.001128
       0.609100       0.385953       0.001584
       0.610700       0.387725       0.001638
       0.612300       0.387691       0.001641
       0.613900       0.384986       0.000773
       0.615500       0.387945       0.001640
       0.617100       0.383945       0.001118
       0.618700       0.385041       0.001643
       0.620300       0.387179       0.001613
       0.621900       0.383011       0.001638
       0.623500       0.383724       0.001579
       0.625100       0.385817       0.001362
       0.626700       0.381501       0.001638
       0.628300       0.383390       0.001643
       0.629900       0.382284       0.001631
       0.631700       0.382848       0.001592
       0.633700       0.382708       0.001633
       0.635700       0.383310       0.001613
       0.637700       0.381339       0.001117
       0.639700       0.380072       0.001396
       0.641700       0.384211       0.001641
       0.643700       0.382226       0.001618
       0.645700       0.383141       0.001210
       0.647700       0.381660       0.000702
       0.649700       0.382417       0.000890
       0.651700       0.383309       0.000894
       0.653700       0.382695       0.001530
       0.655700       0.381545       0.001551
       0.657700       0.382531       0.000748
       0.659700       0.382743       0.001463
       0.661700       0.383551       0.001285
       0.663700       0.380692       0.000986
       0.665700       0.385133       0.001508
       0.667700       0.381761       0.001590
       0.670200       0.382233       0.001593
       0.673200       0.383451       0.001636
       0.676200       0.384942       0.001648
       0.679200       0.382645       0.001606
       0.682200       0.383073       0.001100
       0.685200       0.383461       0.000909
       0.688200       0.383513       0.001029
       0.691200       0.385302       0.001630
       0.694200       0.383371       0.001186
       0.697200       0.382443       0.001298
       0.700200       0.387294       0.001588
       0.702000       0.378598       0.001353
       0.704000       0.385421       0.001605
       0.706000       0.384575       0.001161
       0.708000       0.384679       0.000972
       0.710000       0.385112       0.000883
       0.712000       0.387093       0.001015
       0.714000       0.385169       0.000716
       0.716000       0.388903       0.001496
       0.718000       0.385791       0.000612
       0.720000       0.386248       0.001595
       0.722000       0.388611       0.001435
       0.724000       0.386426       0.001171
       0.726000       0.388696       0.001634
       0.728000       0.387773       0.001194
       0.730000       0.388525       0.001305
       0.732000       0.388360       0.001591
       0.734000       0.389641       0.000886
       0.736000       0.393119       0.001111
       0.738000       0.391149       0.001604
       0.740000       0.391708       0.001705
       0.742000       0.390126       0.000956
       0.744000       0.390171       0.001631
       0.746000       0.389727       0.001072
       0.748000       0.390869       0.001013
       0.750500       0.390207       0.000994
       0.753500       0.391988       0.001399
       0.756500       0.391730       0.001061
       0.759500       0.393477       0.001535
       0.762500       0.392703       0.001343
       0.765500       0.392891       0.001315
       0.768500       0.393528       0.001139
       0.771500       0.391790       0.001203
       0.774500       0.392185       0.001479
       0.777500       0.394427       0.001658
       0.781000       0.394956       0.001458
       0.785000       0.393201       0.000826
       0.789000       0.395147       0.001028
       0.793000       0.394295       0.001577
       0.797000       0.391972       0.000988
       0.801500       0.392016       0.001692
       0.806500       0.394137       0.001344
       0.811500       0.393254       0.000939
       0.816500       0.395104       0.001436
       0.822000       0.395316       0.001744
       0.828000       0.392517       0.001723
       0.835000       0.393524       0.001721
       0.843000      -1.23e34        0.000000
       0.851000       0.396708       0.001890
       0.859000       0.394801       0.001811
       0.871000       0.391601       0.001831
       0.883000       0.388935       0.001811
       0.894000       0.390659       0.001435
       0.904000       0.389622       0.001460
       0.914000       0.387899       0.001765
       0.924000       0.385762       0.001530
       0.933000       0.387409       0.001784
       0.941000       0.386148       0.001511
       0.949000       0.383518       0.001495
       0.957000       0.381534       0.001486
       0.964000       0.386101       0.001830
       0.970000       0.381618       0.001348
       0.976000       0.380922       0.000977
       0.982000       0.381483       0.001465
       0.988000       0.379752       0.001785
       0.994000       0.377015       0.001313
       1.000000       0.380728       0.001156
       1.006000       0.378868       0.001675
       1.012000       0.377295       0.001355
       1.018000       0.374792       0.001188
       1.023500       0.378683       0.001801
       1.028500       0.375657       0.001690
       1.033500       0.375615       0.001793
       1.038500       0.374982       0.001583
       1.043500       0.373621       0.001596
       1.048500       0.375598       0.001408
       1.053500       0.375158       0.001733
       1.058500       0.374286       0.001365
       1.063500       0.374922       0.001619
       1.068500       0.371920       0.001459
       1.073500       0.372353       0.001398
       1.078500       0.373251       0.001454
       1.083500       0.371020       0.001185
       1.088500       0.369470       0.000954
       1.093500       0.368802       0.001496
       1.098500       0.374583       0.001587
       1.103500       0.374154       0.001227
       1.108500       0.371132       0.001276
       1.113500       0.371968       0.000984
       1.118500       0.370559       0.001342
       1.123500       0.370650       0.001064
       1.128500       0.371638       0.001392
       1.133500       0.372424       0.000676
       1.138500       0.371106       0.001329
       1.143500       0.371547       0.001031
       1.148500       0.372100       0.001178
       1.153500       0.372241       0.001591
       1.158500       0.373727       0.001374
       1.163500       0.372307       0.001151
       1.168500       0.371722       0.000904
       1.173500       0.371261       0.001525
       1.178500       0.371422       0.001782
       1.183500       0.373351       0.000841
       1.188500       0.371155       0.001380
       1.193500       0.370495       0.001439
       1.198500       0.372535       0.000983
       1.203500       0.371931       0.001076
       1.208500       0.370792       0.000881
       1.213500       0.372364       0.001057
       1.218500       0.372923       0.000985
       1.223500       0.372305       0.001301
       1.228500       0.373582       0.000990
       1.233500       0.374721       0.001211
       1.238500       0.373322       0.000997
       1.243500       0.373966       0.001609
       1.248500       0.374656       0.001082
       1.253500       0.373948       0.001064
       1.258500       0.373469       0.001141
       1.263500       0.373839       0.000645
       1.268500       0.376161       0.001746
       1.273500       0.374426       0.001218
       1.278500       0.375239       0.001024
       1.283500       0.375362       0.001011
       1.288500       0.374687       0.000804
       1.293500       0.374601       0.001170
       1.298500       0.374803       0.000889
       1.303500       0.377646       0.001111
       1.308500       0.377276       0.000894
       1.313500       0.376668       0.001122
       1.318500       0.377531       0.001235
       1.323500       0.376755       0.001075
       1.328500       0.377708       0.000821
       1.333500       0.377344       0.000915
       1.338500       0.379762       0.001108
       1.343500       0.379183       0.001800
       1.348500       0.378554       0.001244
       1.353500       0.380742       0.001208
       1.358500       0.379417       0.001477
       1.363500       0.382179       0.001626
       1.368500       0.383192       0.001457
       1.373500       0.380173       0.001092
       1.378500       0.383660       0.001637
       1.383500       0.379670       0.001173
       1.388500       0.380947       0.001523
       1.393500       0.381200       0.001424
       1.398500       0.381310       0.001791
       1.403500       0.378667       0.001678
       1.408500       0.382787       0.001821
       1.413500       0.381420       0.001524
       1.418500       0.386447       0.001329
       1.423500       0.381340       0.001579
       1.428500       0.384594       0.001484
       1.433500       0.384630       0.000960
       1.438500       0.384854       0.001125
       1.443500       0.388944       0.001357
       1.448500       0.387242       0.001073
       1.453500       0.388892       0.001522
       1.458500       0.391639       0.001791
       1.463500       0.391115       0.001858
       1.468500       0.389351       0.001455
       1.473500       0.390120       0.001357
       1.478500       0.391237       0.001816
       1.483500       0.392729       0.001830
       1.488500       0.394497       0.001812
       1.493500       0.394995       0.001843
       1.498500       0.395371       0.001830
       1.503500       0.396292       0.001172
       1.508500       0.396572       0.001818
       1.513500       0.394786       0.001824
       1.518500       0.397524       0.001840
       1.523500       0.396923       0.001801
       1.528500       0.394996       0.001822
       1.534000       0.397853       0.000996
       1.540000       0.400120       0.001013
       1.546000       0.400118       0.001611
       1.552000       0.399297       0.001008
       1.558000       0.401025       0.001354
       1.564000       0.403322       0.001355
       1.570500       0.402675       0.001078
       1.577500       0.403997       0.000721
       1.584500       0.401862       0.000859
       1.591500       0.403664       0.001192
       1.598500       0.406510       0.001344
       1.605500       0.405703       0.001098
       1.612500       0.405629       0.001126
       1.619500       0.406707       0.001391
       1.626500       0.404388       0.001489
       1.633500       0.406540       0.001745
       1.640500       0.406844       0.000909
       1.647500       0.407386       0.001186
       1.654500       0.405078       0.001135
       1.661500       0.408132       0.001742
       1.668500       0.410340       0.001224
       1.676000       0.409510       0.001798
       1.684000       0.408167       0.001855
       1.692000       0.406913       0.001863
       1.700000       0.411551       0.001859
       1.708000       0.413026       0.001666
       1.716000       0.412301       0.001035
       1.724000       0.412241       0.001584
       1.732000       0.412144       0.001323
       1.740000       0.413068       0.001898
       1.748000       0.415472       0.001652
       1.756000       0.414595       0.001882
       1.764000       0.411856       0.001906
       1.772000       0.413485       0.001515
       1.780000       0.411269       0.001729
       1.788000       0.413971       0.001774
       1.796000       0.415336       0.001830
       1.805000       0.415237       0.000946
       1.815000       0.412637       0.001277
       1.825000       0.414265       0.001012
       1.835000       0.414353       0.001784
       1.845000       0.416247       0.001204
       1.855000       0.417777       0.001526
       1.865000       0.416822       0.001717
       1.875000       0.415958       0.001738
       1.885000       0.415083       0.001481
       1.895000       0.414468       0.001547
       1.905000       0.412626       0.001846
       1.915000       0.408618       0.001380
       1.925000       0.409830       0.001349
       1.935000       0.411271       0.001369
       1.945000       0.412762       0.001895
       1.955000       0.410133       0.001411
       1.965000       0.413451       0.001528
       1.975000       0.413370       0.001840
       1.985000       0.414728       0.001688
       1.995000       0.415963       0.001621
       2.005000       0.415023       0.001834
       2.015000       0.417235       0.001856
       2.025000       0.416764       0.001594
       2.035000       0.419607       0.001439
       2.045000       0.417814       0.001549
       2.055000       0.420159       0.001788
       2.065000       0.420604       0.001403
       2.075000       0.419480       0.001859
       2.085000       0.422663       0.001799
       2.095000       0.425618       0.001896
       2.105000       0.420447       0.001892
       2.115000       0.423082       0.001895
       2.125000       0.423397       0.001863
       2.135000       0.424542       0.001859
       2.145000       0.422274       0.001820
       2.155000       0.420922       0.001747
       2.165000       0.417220       0.001812
       2.175000       0.414432       0.001459
       2.185000       0.414562       0.001437
       2.195000       0.410778       0.001904
       2.205000       0.414855       0.001891
       2.215000       0.413193       0.001916
       2.225000       0.415539       0.001918
       2.235000       0.411784       0.001902
       2.245000       0.411301       0.001916
       2.255000       0.408081       0.001928
       2.265000       0.402068       0.001937
       2.275000       0.402852       0.001947
       2.285000       0.410043       0.002258
       2.295000       0.405625       0.003590
       2.305000       0.406130       0.003071
       2.315000       0.408466       0.002097
       2.325000       0.399581       0.001898
       2.335000       0.396614       0.001871
       2.345000       0.396730       0.001880
