USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Carnallite NMNH98011         W1R1Bb AREF
copy of splib05a r 1556                                     
       0.205100      -1.23e34        0.007863
       0.213100       0.246961       0.001688
       0.221100       0.264733       0.001043
       0.229100       0.274167       0.000929
       0.236100       0.277766       0.000862
       0.242100       0.279474       0.000806
       0.248100       0.282282       0.000761
       0.253600       0.286334       0.000505
       0.258600       0.289662       0.000737
       0.263600       0.291939       0.000665
       0.268600       0.295774       0.000534
       0.273100       0.299358       0.000645
       0.277100       0.303531       0.000771
       0.281100       0.306059       0.000672
       0.285100       0.311285       0.000810
       0.289100       0.314199       0.000656
       0.293100       0.318392       0.000778
       0.297100       0.321458       0.000561
       0.301100       0.327401       0.000623
       0.305100       0.329514       0.000629
       0.309100       0.331807       0.000579
       0.313100       0.334906       0.000467
       0.317100       0.336757       0.000723
       0.321100       0.340749       0.000685
       0.325100       0.342433       0.000636
       0.329100       0.344628       0.000538
       0.333100       0.347052       0.000586
       0.337100       0.349416       0.000518
       0.341100       0.350917       0.000584
       0.345100       0.352473       0.000509
       0.349100       0.352585       0.000569
       0.353100       0.355370       0.000487
       0.357100       0.357575       0.000618
       0.360600       0.358828       0.000565
       0.363600       0.358977       0.000478
       0.366600       0.359718       0.000519
       0.369600       0.360879       0.000484
       0.372600       0.361797       0.000470
       0.375600       0.362193       0.000512
       0.378600       0.364457       0.000580
       0.381100       0.366298       0.000537
       0.383100       0.366892       0.000596
       0.385100       0.367675       0.000546
       0.387100       0.369557       0.000485
       0.389100       0.369816       0.000648
       0.391100       0.371106       0.000601
       0.393100       0.372223       0.000557
       0.395100       0.373499       0.000508
       0.397100       0.374606       0.000629
       0.399100       0.376007       0.000632
       0.401100       0.377786       0.000506
       0.403100       0.378857       0.000531
       0.405100       0.379355       0.000604
       0.407100       0.380526       0.000509
       0.409100       0.381776       0.000511
       0.411100       0.384888       0.000564
       0.412800       0.384927       0.000597
       0.415800       0.386326       0.000564
       0.418800       0.388231       0.000777
       0.421800       0.390330       0.000775
       0.424800       0.393298       0.000667
       0.427800       0.394691       0.000543
       0.430800       0.397229       0.000608
       0.433800       0.399595       0.000623
       0.436800       0.402554       0.000709
       0.439800       0.404917       0.000558
       0.442800       0.408044       0.000752
       0.445800       0.410770       0.000624
       0.448800       0.413747       0.000991
       0.451300       0.417338       0.000845
       0.453300       0.419168       0.000991
       0.455300       0.420087       0.000710
       0.457300       0.421500       0.000873
       0.459300       0.424049       0.000956
       0.461300       0.424700       0.000646
       0.463300       0.426244       0.000653
       0.465300       0.427302       0.000726
       0.467300       0.429144       0.000807
       0.469300       0.430899       0.000602
       0.471300       0.432127       0.000873
       0.473300       0.433713       0.000675
       0.475300       0.434917       0.000661
       0.477300       0.436179       0.000854
       0.479300       0.437652       0.000806
       0.481300       0.439359       0.000644
       0.483300       0.440826       0.000708
       0.485300       0.442415       0.000636
       0.487300       0.442974       0.000693
       0.489300       0.444977       0.000790
       0.491300       0.446153       0.000666
       0.493300       0.448348       0.000778
       0.495300       0.449404       0.000672
       0.497300       0.451382       0.000685
       0.499300       0.453022       0.000722
       0.501300       0.454990       0.000781
       0.503300       0.455810       0.000635
       0.505300       0.457371       0.000629
       0.507300       0.459164       0.000926
       0.509300       0.460080       0.000639
       0.511300       0.461685       0.000625
       0.513300       0.463141       0.000802
       0.515300       0.464343       0.000649
       0.517300       0.466266       0.000669
       0.519300       0.466555       0.000743
       0.521300       0.469053       0.000750
       0.523300       0.470590       0.000938
       0.525300       0.472324       0.000713
       0.527300       0.474021       0.000731
       0.529300       0.475763       0.000765
       0.531300       0.478310       0.000983
       0.533300       0.479827       0.000908
       0.535300       0.482391       0.000747
       0.537300       0.485261       0.000896
       0.539300       0.488049       0.000759
       0.541300       0.490830       0.000742
       0.543300       0.494411       0.000773
       0.545300       0.497985       0.000678
       0.547300       0.501633       0.000782
       0.549300       0.504728       0.000959
       0.551300       0.509802       0.000866
       0.553300       0.515136       0.000884
       0.555300       0.520419       0.000622
       0.557300       0.525768       0.000962
       0.559300       0.531853       0.000616
       0.561300       0.535899       0.000781
       0.563300       0.542540       0.000851
       0.565300       0.550040       0.000641
       0.567300       0.557879       0.000883
       0.569300       0.565989       0.000875
       0.571300       0.574746       0.000659
       0.573300       0.581399       0.000979
       0.575300       0.590606       0.000835
       0.577300       0.597992       0.000586
       0.579300       0.606405       0.000506
       0.581300       0.612935       0.000542
       0.583300       0.619254       0.000639
       0.585300       0.626072       0.000508
       0.587300       0.631953       0.000592
       0.589300       0.637244       0.000645
       0.591300       0.643051       0.000515
       0.593300       0.647232       0.000647
       0.595300       0.651452       0.000544
       0.597300       0.654442       0.000992
       0.599300       0.657903       0.000988
       0.601100       0.660637       0.000785
       0.602700       0.662527       0.000867
       0.604300       0.665724       0.000701
       0.605900       0.668436       0.000556
       0.607500       0.668761       0.000577
       0.609100       0.671709       0.000590
       0.610700       0.672628       0.000605
       0.612300       0.673596       0.000615
       0.613900       0.675229       0.000603
       0.615500       0.676715       0.000558
       0.617100       0.677146       0.000739
       0.618700       0.679107       0.000601
       0.620300       0.679227       0.000568
       0.621900       0.680732       0.000633
       0.623500       0.682447       0.000631
       0.625100       0.683236       0.000586
       0.626700       0.684942       0.000563
       0.628300       0.684546       0.000581
       0.629900       0.686860       0.000817
       0.631700       0.688337       0.000817
       0.633700       0.689232       0.000660
       0.635700       0.690192       0.000554
       0.637700       0.691027       0.000728
       0.639700       0.692095       0.000598
       0.641700       0.693997       0.000604
       0.643700       0.694170       0.000624
       0.645700       0.696095       0.000558
       0.647700       0.696392       0.000511
       0.649700       0.698520       0.000616
       0.651700       0.698462       0.000583
       0.653700       0.699476       0.000797
       0.655700       0.701563       0.000567
       0.657700       0.702634       0.000637
       0.659700       0.702665       0.000633
       0.661700       0.704167       0.000690
       0.663700       0.704857       0.000800
       0.665700       0.707247       0.000694
       0.667700       0.706951       0.000611
       0.670200       0.709570       0.000517
       0.673200       0.710812       0.000695
       0.676200       0.712304       0.000629
       0.679200       0.713368       0.000547
       0.682200       0.715731       0.000501
       0.685200       0.717461       0.000651
       0.688200       0.719817       0.000607
       0.691200       0.721854       0.000757
       0.694200       0.722634       0.000968
       0.697200       0.723688       0.000621
       0.700200       0.729477       0.000678
       0.702000       0.729328       0.000550
       0.704000       0.731369       0.000560
       0.706000       0.732862       0.000579
       0.708000       0.734039       0.000688
       0.710000       0.733582       0.000642
       0.712000       0.735553       0.000582
       0.714000       0.737329       0.000574
       0.716000       0.736967       0.000592
       0.718000       0.737949       0.000529
       0.720000       0.739839       0.000538
       0.722000       0.739924       0.000547
       0.724000       0.741134       0.000480
       0.726000       0.741368       0.000587
       0.728000       0.741603       0.000709
       0.730000       0.742935       0.000785
       0.732000       0.742499       0.000571
       0.734000       0.743706       0.000644
       0.736000       0.742688       0.000790
       0.738000       0.744468       0.000687
       0.740000       0.744136       0.000673
       0.742000       0.745465       0.000693
       0.744000       0.745317       0.000884
       0.746000       0.745300       0.000907
       0.748000       0.746819       0.000594
       0.750500       0.746700       0.000614
       0.753500       0.747511       0.000589
       0.756500       0.746861       0.000576
       0.759500       0.746861       0.000841
       0.762500       0.745993       0.000710
       0.765500       0.746879       0.000854
       0.768500       0.746240       0.000812
       0.771500       0.746679       0.000660
       0.774500       0.746680       0.000689
       0.777500       0.746195       0.000745
       0.781000       0.745052       0.000568
       0.785000       0.744859       0.000714
       0.789000       0.744869       0.000662
       0.793000       0.744690       0.000637
       0.797000       0.744516       0.000656
       0.801500       0.743900       0.000655
       0.806500       0.743253       0.000590
       0.811500       0.742778       0.000844
       0.816500       0.742079       0.000649
       0.822000       0.739768       0.000557
       0.828000       0.738348       0.000733
       0.835000       0.737316       0.000696
       0.843000       0.736676       0.000625
       0.851000       0.736129       0.001061
       0.859000       0.735308       0.001041
       0.871000       0.736750       0.001038
       0.883000       0.734390       0.001046
       0.894000       0.740252       0.001038
       0.904000       0.738893       0.001033
       0.914000       0.739414       0.000969
       0.924000       0.738776       0.000975
       0.933000       0.741326       0.001017
       0.941000       0.744047       0.000892
       0.949000       0.743619       0.001036
       0.957000       0.744001       0.001040
       0.964000       0.744790       0.001036
       0.970000       0.740704       0.001032
       0.976000       0.739218       0.001037
       0.982000       0.738822       0.001022
       0.988000       0.736581       0.001015
       0.994000       0.735997       0.001038
       1.000000       0.732390       0.000926
       1.006000       0.732835       0.000814
       1.012000       0.732638       0.000797
       1.018000       0.737614       0.001031
       1.023500       0.741221       0.001028
       1.028500       0.743810       0.001035
       1.033500       0.748069       0.001000
       1.038500       0.750706       0.000880
       1.043500       0.748522       0.001029
       1.048500       0.750734       0.000903
       1.053500       0.750446       0.000738
       1.058500       0.749940       0.000963
       1.063500       0.749034       0.000946
       1.068500       0.748066       0.000838
       1.073500       0.748506       0.000940
       1.078500       0.750131       0.000819
       1.083500       0.750434       0.000870
       1.088500       0.752652       0.001016
       1.093500       0.752775       0.000909
       1.098500       0.753598       0.001039
       1.103500       0.755245       0.000794
       1.108500       0.756594       0.001009
       1.113500       0.756033       0.000837
       1.118500       0.753343       0.000880
       1.123500       0.753716       0.000886
       1.128500       0.751221       0.000976
       1.133500       0.750271       0.000905
       1.138500       0.748588       0.000842
       1.143500       0.746422       0.000889
       1.148500       0.744358       0.000873
       1.153500       0.744593       0.000963
       1.158500       0.738959       0.000953
       1.163500       0.735160       0.000956
       1.168500       0.729129       0.000894
       1.173500       0.720199       0.000941
       1.178500       0.712621       0.000855
       1.183500       0.705624       0.001024
       1.188500       0.701916       0.000858
       1.193500       0.697335       0.000997
       1.198500       0.690718       0.001017
       1.203500       0.680162       0.000943
       1.208500       0.676614       0.000867
       1.213500       0.679184       0.000992
       1.218500       0.682578       0.000859
       1.223500       0.680959       0.000759
       1.228500       0.677756       0.000751
       1.233500       0.676267       0.000830
       1.238500       0.682306       0.000752
       1.243500       0.692098       0.000933
       1.248500       0.702949       0.000887
       1.253500       0.711545       0.000896
       1.258500       0.722598       0.000818
       1.263500       0.725618       0.000887
       1.268500       0.729805       0.000785
       1.273500       0.732917       0.000702
       1.278500       0.734974       0.000923
       1.283500       0.736388       0.000885
       1.288500       0.735556       0.000842
       1.293500       0.735497       0.000851
       1.298500       0.736686       0.000825
       1.303500       0.734578       0.000790
       1.308500       0.734211       0.000858
       1.313500       0.732762       0.000768
       1.318500       0.730518       0.000685
       1.323500       0.727266       0.000782
       1.328500       0.722001       0.000846
       1.333500       0.712533       0.000646
       1.338500       0.706483       0.000901
       1.343500       0.694503       0.000694
       1.348500       0.685280       0.000769
       1.353500       0.674032       0.000894
       1.358500       0.662035       0.001026
       1.363500       0.647779       0.000949
       1.368500       0.631177       0.000920
       1.373500       0.620463       0.001007
       1.378500       0.609142       0.001021
       1.383500       0.594939       0.001015
       1.388500       0.586066       0.001003
       1.393500       0.578417       0.000939
       1.398500       0.571918       0.001017
       1.403500       0.562384       0.001008
       1.408500       0.552671       0.001012
       1.413500       0.536656       0.001019
       1.418500       0.516900       0.001001
       1.423500       0.492294       0.000990
       1.428500       0.464189       0.001001
       1.433500       0.433710       0.001006
       1.438500       0.400442       0.001006
       1.443500       0.365678       0.001006
       1.448500       0.330743       0.000960
       1.453500       0.298923       0.000998
       1.458500       0.278112       0.000991
       1.463500       0.277502       0.001001
       1.468500       0.295515       0.000983
       1.473500       0.321919       0.001003
       1.478500       0.348473       0.000996
       1.483500       0.364977       0.001010
       1.488500       0.378121       0.001002
       1.493500       0.384818       0.001012
       1.498500       0.392645       0.000997
       1.503500       0.397787       0.001005
       1.508500       0.402827       0.001005
       1.513500       0.401136       0.000999
       1.518500       0.396266       0.001006
       1.523500       0.395522       0.001013
       1.528500       0.392593       0.001004
       1.534000       0.399937       0.001006
       1.540000       0.413781       0.000979
       1.546000       0.432733       0.001007
       1.552000       0.451416       0.001001
       1.558000       0.473264       0.000851
       1.564000       0.492057       0.000798
       1.570500       0.514069       0.000730
       1.577500       0.535419       0.000776
       1.584500       0.553957       0.000898
       1.591500       0.573718       0.000820
       1.598500       0.593330       0.000924
       1.605500       0.609760       0.000875
       1.612500       0.624704       0.000950
       1.619500       0.638233       0.001032
       1.626500       0.649091       0.000881
       1.633500       0.660101       0.000923
       1.640500       0.669582       0.001001
       1.647500       0.679867       0.001026
       1.654500       0.688012       0.001021
       1.661500       0.694358       0.001031
       1.668500       0.697652       0.000966
       1.676000       0.700648       0.000986
       1.684000       0.698083       0.001001
       1.692000       0.694847       0.001029
       1.700000       0.684852       0.001033
       1.708000       0.666392       0.001033
       1.716000       0.643361       0.001023
       1.724000       0.610965       0.001023
       1.732000       0.574227       0.001014
       1.740000       0.526646       0.001017
       1.748000       0.486608       0.001013
       1.756000       0.458401       0.001013
       1.764000       0.447198       0.001007
       1.772000       0.449142       0.001017
       1.780000       0.453756       0.001017
       1.788000       0.463964       0.001016
       1.796000       0.472748       0.001018
       1.805000       0.481397       0.000842
       1.815000       0.494975       0.000933
       1.825000       0.511795       0.001016
       1.835000       0.532560       0.000861
       1.845000       0.554755       0.000883
       1.855000       0.568013       0.001017
       1.865000       0.567504       0.000950
       1.875000       0.545808       0.001019
       1.885000       0.501110       0.001010
       1.895000       0.427452       0.001479
       1.905000       0.343412       0.013142
       1.915000       0.289481       0.001004
       1.925000       0.252001       0.001004
       1.935000       0.216992       0.001001
       1.945000       0.185397       0.000998
       1.955000       0.153852       0.000999
       1.965000       0.126721       0.000999
       1.975000       0.105134       0.000999
       1.985000       0.098031       0.000998
       1.995000       0.120102       0.000998
       2.005000       0.170795       0.000995
       2.015000       0.221164       0.000997
       2.025000       0.268835       0.000997
       2.035000       0.306819       0.000998
       2.045000       0.346278       0.000997
       2.055000       0.377316       0.000999
       2.065000       0.398424       0.000999
       2.075000       0.408396       0.000998
       2.085000       0.406668       0.000997
       2.095000       0.404423       0.000996
       2.105000       0.400495       0.000994
       2.115000       0.399460       0.001008
       2.125000       0.395214       0.001103
       2.135000       0.391389       0.001040
       2.145000       0.389952       0.000991
       2.155000       0.381710       0.000990
       2.165000       0.371604       0.000993
       2.175000       0.360190       0.000997
       2.185000       0.345717       0.001000
       2.195000       0.332786       0.001060
       2.205000       0.319965       0.001113
       2.215000       0.303897       0.001342
       2.225000       0.292214       0.001540
       2.235000       0.271356       0.001913
       2.245000       0.265190       0.002194
       2.255000       0.258913       0.002304
       2.265000       0.259512       0.002792
       2.275000       0.262501       0.003486
       2.285000       0.263745       0.004580
       2.295000       0.277244       0.006746
       2.305000       0.286791       0.006565
       2.315000       0.290969       0.004550
       2.325000       0.297692       0.002260
       2.335000       0.300638       0.001271
       2.345000       0.299488       0.000987
