USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chlorapatite WS423           W1R1Bb AREF
copy of splib05a r 1650                                     
       0.205100       0.168414       0.008875
       0.213100       0.172409       0.001691
       0.221100       0.171997       0.000980
       0.229100       0.173014       0.000886
       0.236100       0.180394       0.000827
       0.242100       0.183884       0.000776
       0.248100       0.186234       0.000733
       0.253600       0.189531       0.000713
       0.258600       0.198946       0.000644
       0.263600       0.205647       0.000723
       0.268600       0.211982       0.000588
       0.273100       0.217596       0.000760
       0.277100       0.222724       0.000703
       0.281100       0.227745       0.000794
       0.285100       0.233542       0.000737
       0.289100       0.236916       0.000818
       0.293100       0.241920       0.000609
       0.297100       0.246192       0.000873
       0.301100       0.253219       0.000893
       0.305100       0.258239       0.000716
       0.309100       0.266274       0.000820
       0.313100       0.274175       0.000906
       0.317100       0.282192       0.000521
       0.321100       0.291749       0.000725
       0.325100       0.301993       0.000823
       0.329100       0.309527       0.000939
       0.333100       0.319289       0.000806
       0.337100       0.327587       0.000725
       0.341100       0.337104       0.000940
       0.345100       0.346611       0.000928
       0.349100       0.354752       0.000882
       0.353100       0.364748       0.000759
       0.357100       0.375629       0.000931
       0.360600       0.384104       0.000635
       0.363600       0.393606       0.000672
       0.366600       0.400589       0.000752
       0.369600       0.408812       0.000605
       0.372600       0.417503       0.000618
       0.375600       0.425153       0.000526
       0.378600       0.434980       0.000576
       0.381100       0.442748       0.000661
       0.383100       0.448590       0.000743
       0.385100       0.455773       0.000730
       0.387100       0.461293       0.000964
       0.389100       0.468479       0.000645
       0.391100       0.473938       0.000695
       0.393100       0.479351       0.000677
       0.395100       0.485950       0.000686
       0.397100       0.492796       0.000969
       0.399100       0.498890       0.000583
       0.401100       0.503972       0.000782
       0.403100       0.509971       0.000638
       0.405100       0.515584       0.000637
       0.407100       0.521205       0.000686
       0.409100       0.526597       0.000895
       0.411100       0.532678       0.000664
       0.412800       0.536453       0.000817
       0.415800       0.544481       0.000787
       0.418800       0.551663       0.000737
       0.421800       0.559315       0.000732
       0.424800       0.565446       0.000709
       0.427800       0.573391       0.000589
       0.430800       0.579155       0.000723
       0.433800       0.586085       0.000612
       0.436800       0.592914       0.000567
       0.439800       0.598178       0.000699
       0.442800       0.604459       0.000614
       0.445800       0.609339       0.000844
       0.448800       0.614389       0.000973
       0.451300       0.618467       0.000758
       0.453300       0.622690       0.000964
       0.455300       0.625293       0.000879
       0.457300       0.627401       0.000776
       0.459300       0.631232       0.000969
       0.461300       0.632860       0.000877
       0.463300       0.633683       0.000954
       0.465300       0.636732       0.000746
       0.467300       0.639026       0.000839
       0.469300       0.641427       0.000793
       0.471300       0.642107       0.000696
       0.473300       0.643625       0.000912
       0.475300       0.646545       0.000880
       0.477300       0.646888       0.000964
       0.479300       0.649718       0.000747
       0.481300       0.652014       0.000977
       0.483300       0.653447       0.000697
       0.485300       0.655635       0.000683
       0.487300       0.658022       0.000728
       0.489300       0.659942       0.000734
       0.491300       0.661114       0.000877
       0.493300       0.662117       0.000744
       0.495300       0.665663       0.000858
       0.497300       0.667014       0.000963
       0.499300       0.669075       0.000772
       0.501300       0.670340       0.000846
       0.503300       0.670852       0.000943
       0.505300       0.673654       0.000650
       0.507300       0.673608       0.000821
       0.509300       0.675499       0.000890
       0.511300       0.676351       0.000930
       0.513300       0.677891       0.000954
       0.515300       0.678882       0.000800
       0.517300       0.678858       0.000956
       0.519300       0.680622       0.000843
       0.521300       0.681923       0.000871
       0.523300       0.681787       0.000906
       0.525300       0.682357       0.000974
       0.527300       0.683504       0.000774
       0.529300       0.685800       0.000842
       0.531300       0.687313       0.000833
       0.533300       0.691342       0.000968
       0.535300       0.692193       0.000960
       0.537300       0.694220       0.000970
       0.539300       0.695487       0.000927
       0.541300       0.699252       0.000851
       0.543300       0.699551       0.000889
       0.545300       0.702596       0.000767
       0.547300       0.703794       0.000901
       0.549300       0.702871       0.000791
       0.551300       0.704024       0.000952
       0.553300       0.707267       0.000744
       0.555300       0.707881       0.000762
       0.557300       0.710983       0.000799
       0.559300       0.711772       0.000966
       0.561300       0.715966       0.000811
       0.563300       0.715728       0.000763
       0.565300       0.717581       0.000760
       0.567300       0.719231       0.000709
       0.569300       0.719380       0.000740
       0.571300       0.720141       0.000814
       0.573300       0.716271       0.000972
       0.575300       0.713506       0.000948
       0.577300       0.713308       0.000785
       0.579300       0.714977       0.000877
       0.581300       0.714818       0.000577
       0.583300       0.715019       0.000582
       0.585300       0.716819       0.000716
       0.587300       0.716347       0.000687
       0.589300       0.722586       0.000754
       0.591300       0.728471       0.000945
       0.593300       0.733269       0.000946
       0.595300       0.735600       0.000953
       0.597300       0.739451       0.000938
       0.599300       0.739288       0.000851
       0.601100       0.741267       0.000643
       0.602700       0.743308       0.000830
       0.604300       0.745889       0.000923
       0.605900       0.747135       0.000929
       0.607500       0.749093       0.000933
       0.609100       0.748344       0.000903
       0.610700       0.750105       0.000934
       0.612300       0.750443       0.000958
       0.613900       0.750827       0.000744
       0.615500       0.752117       0.000736
       0.617100       0.753349       0.000745
       0.618700       0.751915       0.000855
       0.620300       0.753010       0.000696
       0.621900       0.753373       0.000768
       0.623500       0.753088       0.000757
       0.625100       0.755434       0.000861
       0.626700       0.755725       0.000876
       0.628300       0.755102       0.000957
       0.629900       0.756362       0.000742
       0.631700       0.756332       0.000631
       0.633700       0.756927       0.000621
       0.635700       0.759074       0.000655
       0.637700       0.758257       0.000752
       0.639700       0.760994       0.000714
       0.641700       0.760023       0.000733
       0.643700       0.760466       0.000817
       0.645700       0.759915       0.000731
       0.647700       0.761297       0.000830
       0.649700       0.762263       0.000757
       0.651700       0.761998       0.000798
       0.653700       0.764315       0.000743
       0.655700       0.763646       0.000952
       0.657700       0.764814       0.000564
       0.659700       0.765421       0.000607
       0.661700       0.766573       0.000630
       0.663700       0.766933       0.000902
       0.665700       0.767933       0.000961
       0.667700       0.768951       0.000947
       0.670200       0.771058       0.000652
       0.673200       0.771246       0.000839
       0.676200       0.770549       0.000959
       0.679200       0.771210       0.000773
       0.682200       0.772569       0.000766
       0.685200       0.773271       0.000851
       0.688200       0.775479       0.000861
       0.691200       0.777644       0.000814
       0.694200       0.778833       0.000918
       0.697200       0.779152       0.000958
       0.700200       0.780607       0.000694
       0.702000       0.780143       0.000902
       0.704000       0.780849       0.000693
       0.706000       0.783113       0.000828
       0.708000       0.782817       0.000748
       0.710000       0.783552       0.000909
       0.712000       0.784330       0.000516
       0.714000       0.785502       0.000650
       0.716000       0.785584       0.000709
       0.718000       0.784059       0.000688
       0.720000       0.785748       0.000605
       0.722000       0.787032       0.000732
       0.724000       0.787103       0.000577
       0.726000       0.789097       0.000605
       0.728000       0.787280       0.000670
       0.730000       0.788616       0.000635
       0.732000       0.785705       0.000828
       0.734000       0.785628       0.000675
       0.736000       0.774490       0.000825
       0.738000       0.770197       0.000742
       0.740000       0.776643       0.000784
       0.742000       0.777198       0.000970
       0.744000       0.770771       0.000652
       0.746000       0.769826       0.000770
       0.748000       0.765637       0.000765
       0.750500       0.769376       0.000815
       0.753500       0.774379       0.000975
       0.756500       0.780240       0.000899
       0.759500       0.785913       0.000843
       0.762500       0.791134       0.000654
       0.765500       0.793894       0.000956
       0.768500       0.795811       0.000739
       0.771500       0.797737       0.000978
       0.774500       0.797659       0.000577
       0.777500       0.800791       0.000678
       0.781000       0.800133       0.000611
       0.785000       0.799393       0.000656
       0.789000       0.797561       0.000538
       0.793000       0.793778       0.000767
       0.797000       0.782809       0.000508
       0.801500       0.772010       0.000949
       0.806500       0.767497       0.000793
       0.811500       0.785728       0.000802
       0.816500       0.794678       0.000792
       0.822000       0.799185       0.000618
       0.828000       0.803143       0.000618
       0.835000       0.807607       0.000970
       0.843000       0.808237       0.000976
       0.851000       0.807460       0.001107
       0.859000       0.805396       0.001025
       0.871000       0.803255       0.001021
       0.883000       0.800853       0.001026
       0.894000       0.804149       0.001028
       0.904000       0.803961       0.001023
       0.914000       0.805311       0.001007
       0.924000       0.806708       0.000940
       0.933000       0.808498       0.000821
       0.941000       0.808454       0.001004
       0.949000       0.805869       0.000751
       0.957000       0.808658       0.001022
       0.964000       0.811192       0.001027
       0.970000       0.808210       0.000989
       0.976000       0.807453       0.001009
       0.982000       0.807610       0.000974
       0.988000       0.810014       0.000878
       0.994000       0.809076       0.000848
       1.000000       0.809090       0.001000
       1.006000       0.808511       0.000793
       1.012000       0.806976       0.001017
       1.018000       0.807842       0.000890
       1.023500       0.808977       0.001006
       1.028500       0.808211       0.001003
       1.033500       0.808135       0.001018
       1.038500       0.806791       0.000929
       1.043500       0.807630       0.000993
       1.048500       0.806145       0.000845
       1.053500       0.805765       0.000861
       1.058500       0.806013       0.000743
       1.063500       0.805579       0.000996
       1.068500       0.802815       0.000988
       1.073500       0.803439       0.000848
       1.078500       0.802264       0.000741
       1.083500       0.797614       0.000948
       1.088500       0.799330       0.001010
       1.093500       0.798815       0.000806
       1.098500       0.798250       0.001007
       1.103500       0.798718       0.001014
       1.108500       0.798932       0.000828
       1.113500       0.799148       0.000619
       1.118500       0.800155       0.000930
       1.123500       0.800314       0.000857
       1.128500       0.801674       0.001019
       1.133500       0.800537       0.000881
       1.138500       0.802104       0.000779
       1.143500       0.802169       0.000947
       1.148500       0.800742       0.001006
       1.153500       0.799016       0.000796
       1.158500       0.802068       0.000846
       1.163500       0.799735       0.000946
       1.168500       0.799804       0.000754
       1.173500       0.799943       0.000771
       1.178500       0.799190       0.000951
       1.183500       0.799161       0.001020
       1.188500       0.800497       0.001011
       1.193500       0.801367       0.001018
       1.198500       0.799571       0.000814
       1.203500       0.797863       0.000656
       1.208500       0.799972       0.000993
       1.213500       0.798944       0.000876
       1.218500       0.797173       0.000838
       1.223500       0.794993       0.000899
       1.228500       0.794985       0.000609
       1.233500       0.794776       0.000828
       1.238500       0.794975       0.000761
       1.243500       0.796030       0.000778
       1.248500       0.796860       0.000741
       1.253500       0.795185       0.000651
       1.258500       0.795740       0.000913
       1.263500       0.796569       0.000813
       1.268500       0.797617       0.000827
       1.273500       0.798704       0.000867
       1.278500       0.798724       0.000635
       1.283500       0.801067       0.000859
       1.288500       0.800958       0.000880
       1.293500       0.801529       0.000889
       1.298500       0.802423       0.000704
       1.303500       0.803275       0.000912
       1.308500       0.801432       0.000700
       1.313500       0.804417       0.000756
       1.318500       0.804411       0.001015
       1.323500       0.805157       0.000658
       1.328500       0.805686       0.000756
       1.333500       0.805106       0.001016
       1.338500       0.805751       0.000759
       1.343500       0.806312       0.000774
       1.348500       0.805944       0.000797
       1.353500       0.807544       0.000783
       1.358500       0.807449       0.000937
       1.363500       0.808268       0.001003
       1.368500       0.807183       0.000727
       1.373500       0.804230       0.000971
       1.378500       0.805587       0.001008
       1.383500       0.809056       0.000870
       1.388500       0.803382       0.001019
       1.393500       0.795670       0.001024
       1.398500       0.800618       0.000994
       1.403500       0.803736       0.000933
       1.408500       0.808981       0.001004
       1.413500       0.808077       0.000998
       1.418500       0.806275       0.000887
       1.423500       0.808944       0.001028
       1.428500       0.807990       0.000817
       1.433500       0.802270       0.000974
       1.438500       0.807688       0.000808
       1.443500       0.810645       0.000871
       1.448500       0.811292       0.001017
       1.453500       0.810925       0.001015
       1.458500       0.812126       0.000995
       1.463500       0.813983       0.000810
       1.468500       0.813934       0.001018
       1.473500       0.813577       0.001004
       1.478500       0.812537       0.001011
       1.483500       0.809815       0.001029
       1.488500       0.811180       0.001007
       1.493500       0.811280       0.001011
       1.498500       0.813330       0.000930
       1.503500       0.813186       0.000997
       1.508500       0.810871       0.001029
       1.513500       0.810795       0.001009
       1.518500       0.811689       0.001021
       1.523500       0.815564       0.001031
       1.528500       0.813443       0.001017
       1.534000       0.814021       0.001027
       1.540000       0.813906       0.000932
       1.546000       0.816539       0.001006
       1.552000       0.816272       0.000993
       1.558000       0.818229       0.000953
       1.564000       0.819457       0.001023
       1.570500       0.818357       0.000850
       1.577500       0.820726       0.000804
       1.584500       0.820452       0.000684
       1.591500       0.822335       0.000893
       1.598500       0.821335       0.000719
       1.605500       0.820911       0.000638
       1.612500       0.821546       0.001015
       1.619500       0.822982       0.000891
       1.626500       0.824269       0.000794
       1.633500       0.821924       0.001032
       1.640500       0.823662       0.001028
       1.647500       0.824986       0.001018
       1.654500       0.824663       0.000997
       1.661500       0.825346       0.001014
       1.668500       0.822363       0.001017
       1.676000       0.823764       0.000960
       1.684000       0.822375       0.001021
       1.692000       0.822588       0.001017
       1.700000       0.824282       0.001030
       1.708000       0.825353       0.001030
       1.716000       0.821242       0.000907
       1.724000       0.818384       0.001023
       1.732000       0.822191       0.001023
       1.740000       0.821485       0.001013
       1.748000       0.823597       0.001029
       1.756000       0.824045       0.001028
       1.764000       0.821629       0.001022
       1.772000       0.821342       0.001030
       1.780000       0.821180       0.001025
       1.788000       0.822754       0.001027
       1.796000       0.818511       0.001031
       1.805000       0.816842       0.001002
       1.815000       0.816243       0.000926
       1.825000       0.816383       0.000947
       1.835000       0.814819       0.000909
       1.845000       0.814455       0.001012
       1.855000       0.814180       0.001024
       1.865000       0.811412       0.001012
       1.875000       0.809565       0.001026
       1.885000       0.807516       0.001001
       1.895000       0.805318       0.001012
       1.905000       0.801275       0.000992
       1.915000       0.800196       0.000986
       1.925000       0.799121       0.000986
       1.935000       0.793577       0.001027
       1.945000       0.795344       0.001011
       1.955000       0.792564       0.001010
       1.965000       0.795201       0.001020
       1.975000       0.795181       0.001027
       1.985000       0.795353       0.001021
       1.995000       0.797814       0.001020
       2.005000       0.798281       0.001028
       2.015000       0.802301       0.001025
       2.025000       0.800992       0.000967
       2.035000       0.802915       0.001007
       2.045000       0.804735       0.001023
       2.055000       0.807284       0.001008
       2.065000       0.810516       0.001006
       2.075000       0.810395       0.001017
       2.085000       0.812642       0.001017
       2.095000       0.814405       0.001004
       2.105000       0.816959       0.001012
       2.115000       0.818577       0.001010
       2.125000       0.818183       0.001014
       2.135000       0.816108       0.001013
       2.145000       0.814823       0.001011
       2.155000       0.817527       0.000984
       2.165000       0.817961       0.001009
       2.175000       0.815267       0.001016
       2.185000       0.816245       0.001026
       2.195000       0.815789       0.001025
       2.205000       0.814319       0.001024
       2.215000       0.816037       0.001030
       2.225000       0.810598       0.001029
       2.235000       0.813400       0.001028
       2.245000       0.815237       0.001051
       2.255000       0.815297       0.001046
       2.265000       0.812573       0.001135
       2.275000       0.814081       0.001382
       2.285000       0.804586       0.001799
       2.295000       0.797475       0.002590
       2.305000       0.793850       0.002503
       2.315000       0.786735       0.001682
       2.325000       0.799732       0.001083
       2.335000       0.806673       0.001018
       2.345000       0.810781       0.001011
