USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chlorite HS197.3B            W1R1Bb AREF
copy of spd0035 r 3933                                      
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100       0.023529       0.000000
       0.253600       0.031327       0.000000
       0.258600       0.029520       0.000000
       0.263600       0.035901       0.000000
       0.268600       0.038356       0.000000
       0.273100       0.043700       0.000000
       0.277100       0.044272       0.000000
       0.281100       0.046268       0.000000
       0.285100       0.051200       0.000000
       0.289100       0.055916       0.000000
       0.293100       0.061521       0.000000
       0.297100       0.066576       0.000000
       0.301100       0.071431       0.000000
       0.305100       0.075540       0.000000
       0.309100       0.078685       0.000000
       0.313100       0.082249       0.000000
       0.317100       0.084413       0.000000
       0.321100       0.086681       0.000000
       0.325100       0.087656       0.000000
       0.329100       0.088343       0.000000
       0.333100       0.090566       0.000000
       0.337100       0.088276       0.000000
       0.341100       0.089224       0.000000
       0.345100       0.092199       0.000000
       0.349100       0.092773       0.000000
       0.353100       0.095215       0.000000
       0.357100       0.096655       0.000000
       0.360600       0.097242       0.000000
       0.363600       0.099275       0.000000
       0.366600       0.100300       0.000000
       0.369600       0.101229       0.000000
       0.372600       0.102026       0.000000
       0.375600       0.102712       0.000000
       0.378600       0.102767       0.000000
       0.381100       0.103332       0.000000
       0.383100       0.103667       0.000000
       0.385100       0.104556       0.000000
       0.387100       0.106072       0.000000
       0.389100       0.106708       0.000000
       0.391100       0.106571       0.000000
       0.393100       0.107799       0.000000
       0.395100       0.108042       0.000000
       0.397100       0.108384       0.000000
       0.399100       0.109190       0.000000
       0.401100       0.109236       0.000000
       0.403100       0.109243       0.000000
       0.405100       0.109270       0.000000
       0.407100       0.109846       0.000000
       0.409100       0.110331       0.000000
       0.411100       0.112568       0.000000
       0.412800       0.112097       0.000000
       0.415800       0.114010       0.000000
       0.418800       0.115516       0.000000
       0.421800       0.117857       0.000000
       0.424800       0.120292       0.000000
       0.427800       0.122325       0.000000
       0.430800       0.123549       0.000000
       0.433800       0.125088       0.000000
       0.436800       0.126915       0.000000
       0.439800       0.128525       0.000000
       0.442800       0.130705       0.000000
       0.445800       0.131247       0.000000
       0.448800       0.132407       0.000000
       0.451300       0.131908       0.000000
       0.453300       0.133571       0.000000
       0.455300       0.133232       0.000000
       0.457300       0.133904       0.000000
       0.459300       0.134609       0.000000
       0.461300       0.134908       0.000000
       0.463300       0.136786       0.000000
       0.465300       0.137883       0.000000
       0.467300       0.139512       0.000000
       0.469300       0.140088       0.000000
       0.471300       0.141326       0.000000
       0.473300       0.142916       0.000000
       0.475300       0.143824       0.000000
       0.477300       0.145775       0.000000
       0.479300       0.147102       0.000000
       0.481300       0.148440       0.000000
       0.483300       0.150681       0.000000
       0.485300       0.151380       0.000000
       0.487300       0.152807       0.000000
       0.489300       0.152899       0.000000
       0.491300       0.153776       0.000000
       0.493300       0.154687       0.000000
       0.495300       0.153530       0.000000
       0.497300       0.154132       0.000000
       0.499300       0.156224       0.000000
       0.501300       0.157350       0.000000
       0.503300       0.159266       0.000000
       0.505300       0.160718       0.000000
       0.507300       0.161252       0.000000
       0.509300       0.162711       0.000000
       0.511300       0.163897       0.000000
       0.513300       0.163736       0.000000
       0.515300       0.164535       0.000000
       0.517300       0.165209       0.000000
       0.519300       0.165183       0.000000
       0.521300       0.166394       0.000000
       0.523300       0.166737       0.000000
       0.525300       0.167096       0.000000
       0.527300       0.167792       0.000000
       0.529300       0.167180       0.000000
       0.531300       0.167779       0.000000
       0.533300       0.167443       0.000000
       0.535300       0.168176       0.000000
       0.537300       0.168332       0.000000
       0.539300       0.169374       0.000000
       0.541300       0.170128       0.000000
       0.543300       0.170599       0.000000
       0.545300       0.170671       0.000000
       0.547300       0.171479       0.000000
       0.549300       0.171034       0.000000
       0.551300       0.172632       0.000000
       0.553300       0.172013       0.000000
       0.555300       0.173089       0.000000
       0.557300       0.173016       0.000000
       0.559300       0.173599       0.000000
       0.561300       0.173821       0.000000
       0.563300       0.174140       0.000000
       0.565300       0.174969       0.000000
       0.567300       0.174393       0.000000
       0.569300       0.174301       0.000000
       0.571300       0.173893       0.000000
       0.573300       0.175022       0.000000
       0.575300       0.174422       0.000000
       0.577300       0.174286       0.000000
       0.579300       0.174872       0.000000
       0.581300       0.173124       0.000000
       0.583300       0.173478       0.000000
       0.585300       0.172537       0.000000
       0.587300       0.172441       0.000000
       0.589300       0.171496       0.000000
       0.591300       0.171548       0.000000
       0.593300       0.170859       0.000000
       0.595300       0.170268       0.000000
       0.597300       0.170437       0.000000
       0.599300       0.168808       0.000000
       0.601100       0.168043       0.000000
       0.602700       0.168354       0.000000
       0.604300       0.167211       0.000000
       0.605900       0.167593       0.000000
       0.607500       0.166013       0.000000
       0.609100       0.166314       0.000000
       0.610700       0.164529       0.000000
       0.612300       0.165094       0.000000
       0.613900       0.164360       0.000000
       0.615500       0.164119       0.000000
       0.617100       0.162981       0.000000
       0.618700       0.162606       0.000000
       0.620300       0.161331       0.000000
       0.621900       0.160770       0.000000
       0.623500       0.161012       0.000000
       0.625100       0.159505       0.000000
       0.626700       0.159514       0.000000
       0.628300       0.159094       0.000000
       0.629900       0.157596       0.000000
       0.631700       0.157603       0.000000
       0.633700       0.157514       0.000000
       0.635700       0.155900       0.000000
       0.637700       0.155851       0.000000
       0.639700       0.155287       0.000000
       0.641700       0.153694       0.000000
       0.643700       0.152610       0.000000
       0.645700       0.151772       0.000000
       0.647700       0.151822       0.000000
       0.649700       0.151655       0.000000
       0.651700       0.150156       0.000000
       0.653700       0.150602       0.000000
       0.655700       0.149117       0.000000
       0.657700       0.148754       0.000000
       0.659700       0.147186       0.000000
       0.661700       0.147200       0.000000
       0.663700       0.146698       0.000000
       0.665700       0.145736       0.000000
       0.667700       0.145188       0.000000
       0.670200       0.145070       0.000000
       0.673200       0.144798       0.000000
       0.676200       0.143246       0.000000
       0.679200       0.142241       0.000000
       0.682200       0.142961       0.000000
       0.685200       0.142315       0.000000
       0.688200       0.140402       0.000000
       0.691200       0.141112       0.000000
       0.694200       0.139528       0.000000
       0.697200       0.140394       0.000000
       0.700200       0.140656       0.000000
       0.702000       0.140093       0.000000
       0.704000       0.139078       0.000000
       0.706000       0.138376       0.000000
       0.708000       0.139049       0.000000
       0.710000       0.139962       0.000000
       0.712000       0.139153       0.000000
       0.714000       0.139620       0.000000
       0.716000       0.139134       0.000000
       0.718000       0.139449       0.000000
       0.720000       0.139845       0.000000
       0.722000       0.139329       0.000000
       0.724000       0.140387       0.000000
       0.726000       0.140297       0.000000
       0.728000       0.140634       0.000000
       0.730000       0.141613       0.000000
       0.732000       0.141211       0.000000
       0.734000       0.141514       0.000000
       0.736000       0.141820       0.000000
       0.738000       0.142469       0.000000
       0.740000       0.143869       0.000000
       0.742000       0.143437       0.000000
       0.744000       0.144456       0.000000
       0.746000       0.144278       0.000000
       0.748000       0.145174       0.000000
       0.750500       0.146169       0.000000
       0.753500       0.147191       0.000000
       0.756500       0.147878       0.000000
       0.759500       0.148699       0.000000
       0.762500       0.150393       0.000000
       0.765500       0.150620       0.000000
       0.768500       0.153094       0.000000
       0.771500       0.153121       0.000000
       0.774500       0.155283       0.000000
       0.777500       0.155761       0.000000
       0.781000       0.156305       0.000000
       0.785000       0.157064       0.000000
       0.789000       0.158738       0.000000
       0.793000       0.160104       0.000000
       0.797000       0.159432       0.000000
       0.801500       0.160985       0.000000
       0.806500       0.161803       0.000000
       0.811500       0.161559       0.000000
       0.816500       0.161448       0.000000
       0.822000       0.161084       0.000000
       0.828000       0.160059       0.000000
       0.835000       0.158840       0.000000
       0.843000       0.158584       0.000000
       0.851000       0.157555       0.000000
       0.859000       0.157117       0.000000
       0.871000       0.153445       0.000000
       0.883000       0.149723       0.000000
       0.894000       0.151591       0.000000
       0.904000       0.152863       0.000000
       0.914000       0.150411       0.000000
       0.924000       0.152837       0.000000
       0.933000       0.154726       0.000000
       0.941000       0.154250       0.000000
       0.949000       0.156932       0.000000
       0.957000       0.159196       0.000000
       0.964000       0.159803       0.000000
       0.970000       0.162535       0.000000
       0.976000       0.161644       0.000000
       0.982000       0.162930       0.000000
       0.988000       0.164419       0.000000
       0.994000       0.165149       0.000000
       1.000000       0.164705       0.000000
       1.006000       0.164950       0.000000
       1.012000       0.164922       0.000000
       1.018000       0.165233       0.000000
       1.023500       0.165298       0.000000
       1.028500       0.164573       0.000000
       1.033500       0.166278       0.000000
       1.038500       0.164785       0.000000
       1.043500       0.166069       0.000000
       1.048500       0.166246       0.000000
       1.053500       0.165373       0.000000
       1.058500       0.166852       0.000000
       1.063500       0.164599       0.000000
       1.068500       0.166714       0.000000
       1.073500       0.164966       0.000000
       1.078500       0.166480       0.000000
       1.083500       0.165102       0.000000
       1.088500       0.165828       0.000000
       1.093500       0.166465       0.000000
       1.098500       0.166428       0.000000
       1.103500       0.166711       0.000000
       1.108500       0.169066       0.000000
       1.113500       0.169032       0.000000
       1.118500       0.169945       0.000000
       1.123500       0.169499       0.000000
       1.128500       0.171858       0.000000
       1.133500       0.171467       0.000000
       1.138500       0.173048       0.000000
       1.143500       0.172974       0.000000
       1.148500       0.173102       0.000000
       1.153500       0.174763       0.000000
       1.158500       0.175404       0.000000
       1.163500       0.177599       0.000000
       1.168500       0.179236       0.000000
       1.173500       0.180190       0.000000
       1.178500       0.181938       0.000000
       1.183500       0.184114       0.000000
       1.188500       0.186271       0.000000
       1.193500       0.186926       0.000000
       1.198500       0.189000       0.000000
       1.203500       0.190645       0.000000
       1.208500       0.193135       0.000000
       1.213500       0.195893       0.000000
       1.218500       0.197264       0.000000
       1.223500       0.198294       0.000000
       1.228500       0.201005       0.000000
       1.233500       0.204341       0.000000
       1.238500       0.204558       0.000000
       1.243500       0.208125       0.000000
       1.248500       0.209876       0.000000
       1.253500       0.212546       0.000000
       1.258500       0.214456       0.000000
       1.263500       0.216898       0.000000
       1.268500       0.220833       0.000000
       1.273500       0.221159       0.000000
       1.278500       0.224331       0.000000
       1.283500       0.225926       0.000000
       1.288500       0.228080       0.000000
       1.293500       0.229932       0.000000
       1.298500       0.233057       0.000000
       1.303500       0.234775       0.000000
       1.308500       0.237036       0.000000
       1.313500       0.240621       0.000000
       1.318500       0.243278       0.000000
       1.323500       0.244940       0.000000
       1.328500       0.248659       0.000000
       1.333500       0.250928       0.000000
       1.338500       0.253108       0.000000
       1.343500       0.255014       0.000000
       1.348500       0.258469       0.000000
       1.353500       0.261723       0.000000
       1.358500       0.263980       0.000000
       1.363500       0.263797       0.000000
       1.368500       0.269098       0.000000
       1.373500       0.269146       0.000000
       1.378500       0.272352       0.000000
       1.383500       0.261673       0.000000
       1.388500       0.234916       0.000000
       1.393500       0.235860       0.000000
       1.398500       0.255289       0.000000
       1.403500       0.263401       0.000000
       1.408500       0.266600       0.000000
       1.413500       0.270237       0.000000
       1.418500       0.274452       0.000000
       1.423500       0.277812       0.000000
       1.428500       0.278876       0.000000
       1.433500       0.279915       0.000000
       1.438500       0.279266       0.000000
       1.443500       0.282845       0.000000
       1.448500       0.283718       0.000000
       1.453500       0.288838       0.000000
       1.458500       0.292125       0.000000
       1.463500       0.297445       0.000000
       1.468500       0.301646       0.000000
       1.473500       0.304564       0.000000
       1.478500       0.308999       0.000000
       1.483500       0.309426       0.000000
       1.488500       0.315838       0.000000
       1.493500       0.317840       0.000000
       1.498500       0.317165       0.000000
       1.503500       0.318830       0.000000
       1.508500       0.320875       0.000000
       1.513500       0.321207       0.000000
       1.518500       0.325303       0.000000
       1.523500       0.327359       0.000000
       1.528500       0.328751       0.000000
       1.534000       0.331368       0.000000
       1.540000       0.334718       0.000000
       1.546000       0.338305       0.000000
       1.552000       0.340586       0.000000
       1.558000       0.345159       0.000000
       1.564000       0.347359       0.000000
       1.570500       0.351991       0.000000
       1.577500       0.358525       0.000000
       1.584500       0.360070       0.000000
       1.591500       0.366911       0.000000
       1.598500       0.371660       0.000000
       1.605500       0.375924       0.000000
       1.612500       0.380076       0.000000
       1.619500       0.383874       0.000000
       1.626500       0.389303       0.000000
       1.633500       0.394789       0.000000
       1.640500       0.398793       0.000000
       1.647500       0.403898       0.000000
       1.654500       0.405874       0.000000
       1.661500       0.411226       0.000000
       1.668500       0.416773       0.000000
       1.676000       0.417481       0.000000
       1.684000       0.422807       0.000000
       1.692000       0.429338       0.000000
       1.700000       0.433095       0.000000
       1.708000       0.439283       0.000000
       1.716000       0.441527       0.000000
       1.724000       0.444269       0.000000
       1.732000       0.446974       0.000000
       1.740000       0.452621       0.000000
       1.748000       0.455134       0.000000
       1.756000       0.461050       0.000000
       1.764000       0.459959       0.000000
       1.772000       0.465186       0.000000
       1.780000       0.470243       0.000000
       1.788000       0.472493       0.000000
       1.796000       0.472621       0.000000
       1.805000       0.473278       0.000000
       1.815000       0.473956       0.000000
       1.825000       0.473711       0.000000
       1.835000       0.473431       0.000000
       1.845000       0.470247       0.000000
       1.855000       0.466107       0.000000
       1.865000       0.461756       0.000000
       1.875000       0.455800       0.000000
       1.885000       0.451167       0.000000
       1.895000       0.449938       0.000000
       1.905000       0.442725       0.000000
       1.915000       0.436755       0.000000
       1.925000       0.437853       0.000000
       1.935000       0.438418       0.000000
       1.945000       0.433364       0.000000
       1.955000       0.428260       0.000000
       1.965000       0.428824       0.000000
       1.975000       0.423272       0.000000
       1.985000       0.419066       0.000000
       1.995000       0.418109       0.000000
       2.005000       0.425018       0.000000
       2.015000       0.439358       0.000000
       2.025000       0.459337       0.000000
       2.035000       0.472813       0.000000
       2.045000       0.487503       0.000000
       2.055000       0.498994       0.000000
       2.065000       0.508644       0.000000
       2.075000       0.514764       0.000000
       2.085000       0.521301       0.000000
       2.095000       0.512444       0.000000
       2.105000       0.510693       0.000000
       2.115000       0.508088       0.000000
       2.125000       0.511229       0.000000
       2.135000       0.518047       0.000000
       2.145000       0.519617       0.000000
       2.155000       0.507851       0.000000
       2.165000       0.506364       0.000000
       2.175000       0.496977       0.000000
       2.185000       0.487219       0.000000
       2.195000       0.472098       0.000000
       2.205000       0.455986       0.000000
       2.215000       0.435468       0.000000
       2.225000       0.406311       0.000000
       2.235000       0.355305       0.000000
       2.245000       0.310319       0.000000
       2.255000       0.307389       0.000000
       2.265000       0.310665       0.000000
       2.275000       0.309703       0.000000
       2.285000       0.286553       0.000000
       2.295000       0.257347       0.000000
       2.305000       0.248024       0.000000
       2.315000       0.233111       0.000000
       2.325000       0.221010       0.000000
