USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Clinochlore NMNH83369        W1R1Bb AREF
copy of splib05a r 1924                                     
       0.205100      -1.23e34        0.036963
       0.213100      -1.23e34        0.020956
       0.221100      -1.23e34        0.009416
       0.229100      -1.23e34        0.004969
       0.236100      -1.23e34        0.003374
       0.242100      -1.23e34        0.001752
       0.248100      -1.23e34        0.001463
       0.253600      -1.23e34        0.001391
       0.258600       0.074796       0.001334
       0.263600       0.074725       0.001005
       0.268600       0.080295       0.000900
       0.273100       0.087342       0.001034
       0.277100       0.097726       0.001126
       0.281100       0.106879       0.000862
       0.285100       0.121541       0.001074
       0.289100       0.135574       0.000782
       0.293100       0.151049       0.000799
       0.297100       0.169967       0.000973
       0.301100       0.192380       0.001065
       0.305100       0.205780       0.000778
       0.309100       0.222096       0.000758
       0.313100       0.236124       0.000827
       0.317100       0.249181       0.001002
       0.321100       0.258257       0.000826
       0.325100       0.267283       0.001185
       0.329100       0.274293       0.000691
       0.333100       0.278520       0.000821
       0.337100       0.281913       0.000754
       0.341100       0.285557       0.000855
       0.345100       0.288182       0.000931
       0.349100       0.288969       0.000972
       0.353100       0.285707       0.000595
       0.357100       0.289282       0.000436
       0.360600       0.291574       0.000462
       0.363600       0.291961       0.000477
       0.366600       0.291698       0.000952
       0.369600       0.293131       0.000565
       0.372600       0.291919       0.000953
       0.375600       0.291890       0.000532
       0.378600       0.291857       0.000423
       0.381100       0.291876       0.000540
       0.383100       0.291710       0.000588
       0.385100       0.291564       0.000390
       0.387100       0.291993       0.000925
       0.389100       0.293398       0.000642
       0.391100       0.293654       0.000646
       0.393100       0.293856       0.000805
       0.395100       0.291547       0.000636
       0.397100       0.289830       0.000710
       0.399100       0.287182       0.000457
       0.401100       0.283495       0.000716
       0.403100       0.282385       0.000518
       0.405100       0.281383       0.000446
       0.407100       0.281057       0.000951
       0.409100       0.280613       0.000496
       0.411100       0.281054       0.000827
       0.412800       0.281173       0.000574
       0.415800       0.279908       0.000947
       0.418800       0.279357       0.000918
       0.421800       0.278934       0.000941
       0.424800       0.281287       0.000504
       0.427800       0.282716       0.000535
       0.430800       0.287722       0.000846
       0.433800       0.294764       0.000548
       0.436800       0.304152       0.000778
       0.439800       0.314242       0.000501
       0.442800       0.327381       0.000484
       0.445800       0.339159       0.000507
       0.448800       0.347537       0.000678
       0.451300       0.355967       0.000601
       0.453300       0.361697       0.000764
       0.455300       0.367030       0.000708
       0.457300       0.372575       0.000824
       0.459300       0.377510       0.001347
       0.461300       0.383380       0.000598
       0.463300       0.386293       0.001000
       0.465300       0.391043       0.000639
       0.467300       0.395852       0.000688
       0.469300       0.400630       0.000721
       0.471300       0.404256       0.000468
       0.473300       0.408657       0.000641
       0.475300       0.411220       0.000592
       0.477300       0.415726       0.000611
       0.479300       0.418770       0.000634
       0.481300       0.422240       0.000714
       0.483300       0.425214       0.000645
       0.485300       0.428320       0.000503
       0.487300       0.430518       0.000448
       0.489300       0.431618       0.000806
       0.491300       0.432488       0.000603
       0.493300       0.431200       0.000610
       0.495300       0.432341       0.000630
       0.497300       0.433350       0.000667
       0.499300       0.434432       0.000555
       0.501300       0.438031       0.000637
       0.503300       0.440412       0.000669
       0.505300       0.440937       0.000508
       0.507300       0.443592       0.000536
       0.509300       0.442833       0.000943
       0.511300       0.444007       0.000538
       0.513300       0.444509       0.000966
       0.515300       0.445580       0.000689
       0.517300       0.445960       0.000571
       0.519300       0.446037       0.000550
       0.521300       0.447334       0.000606
       0.523300       0.445304       0.000665
       0.525300       0.447500       0.000630
       0.527300       0.444989       0.000629
       0.529300       0.445297       0.000715
       0.531300       0.445611       0.000692
       0.533300       0.444918       0.000690
       0.535300       0.445076       0.000606
       0.537300       0.446307       0.000628
       0.539300       0.445927       0.000698
       0.541300       0.444927       0.000822
       0.543300       0.445123       0.000614
       0.545300       0.445768       0.000548
       0.547300       0.445303       0.000699
       0.549300       0.444427       0.000710
       0.551300       0.445960       0.000642
       0.553300       0.444662       0.000930
       0.555300       0.444334       0.000544
       0.557300       0.443532       0.000639
       0.559300       0.443728       0.000669
       0.561300       0.442458       0.000713
       0.563300       0.442212       0.000632
       0.565300       0.441379       0.000563
       0.567300       0.441565       0.001014
       0.569300       0.439878       0.000526
       0.571300       0.441020       0.000614
       0.573300       0.439755       0.000507
       0.575300       0.439740       0.000414
       0.577300       0.438717       0.000462
       0.579300       0.438514       0.000580
       0.581300       0.438287       0.000533
       0.583300       0.437167       0.000703
       0.585300       0.436473       0.000495
       0.587300       0.435493       0.000458
       0.589300       0.435075       0.000751
       0.591300       0.432629       0.001185
       0.593300       0.432421       0.001371
       0.595300       0.430831       0.000628
       0.597300       0.429438       0.000969
       0.599300       0.428999       0.000757
       0.601100       0.427773       0.000732
       0.602700       0.425085       0.001189
       0.604300       0.425629       0.000636
       0.605900       0.425274       0.000727
       0.607500       0.423366       0.000774
       0.609100       0.423113       0.000654
       0.610700       0.421182       0.000792
       0.612300       0.419505       0.000686
       0.613900       0.419303       0.000668
       0.615500       0.418958       0.000650
       0.617100       0.417154       0.000632
       0.618700       0.416386       0.000592
       0.620300       0.416379       0.000706
       0.621900       0.415019       0.000681
       0.623500       0.414233       0.000676
       0.625100       0.412999       0.000726
       0.626700       0.412141       0.000565
       0.628300       0.412043       0.000727
       0.629900       0.411254       0.000793
       0.631700       0.409718       0.000929
       0.633700       0.408972       0.000661
       0.635700       0.407765       0.000692
       0.637700       0.406684       0.000584
       0.639700       0.405662       0.000698
       0.641700       0.404546       0.001138
       0.643700       0.403845       0.000675
       0.645700       0.402542       0.000686
       0.647700       0.402083       0.000687
       0.649700       0.400548       0.000487
       0.651700       0.400158       0.000492
       0.653700       0.398485       0.000731
       0.655700       0.398246       0.000471
       0.657700       0.397362       0.000502
       0.659700       0.396361       0.000524
       0.661700       0.395368       0.000562
       0.663700       0.394552       0.000540
       0.665700       0.393396       0.000619
       0.667700       0.393332       0.000816
       0.670200       0.391248       0.000651
       0.673200       0.390471       0.000569
       0.676200       0.389377       0.000603
       0.679200       0.388608       0.000616
       0.682200       0.387834       0.000570
       0.685200       0.386641       0.000526
       0.688200       0.386333       0.000547
       0.691200       0.385855       0.000560
       0.694200       0.385244       0.000701
       0.697200       0.384424       0.000489
       0.700200       0.385904       0.000685
       0.702000       0.384513       0.000480
       0.704000       0.384551       0.000417
       0.706000       0.384359       0.000514
       0.708000       0.384277       0.000602
       0.710000       0.383491       0.000513
       0.712000       0.384262       0.000482
       0.714000       0.384732       0.000589
       0.716000       0.384195       0.000567
       0.718000       0.384977       0.000561
       0.720000       0.384557       0.000925
       0.722000       0.385140       0.000568
       0.724000       0.385709       0.000628
       0.726000       0.385279       0.000750
       0.728000       0.385793       0.000624
       0.730000       0.386054       0.000689
       0.732000       0.386528       0.000797
       0.734000       0.389347       0.000808
       0.736000       0.388161       0.000649
       0.738000       0.388688       0.000771
       0.740000       0.390327       0.000667
       0.742000       0.390832       0.000614
       0.744000       0.392079       0.000761
       0.746000       0.392550       0.000857
       0.748000       0.392645       0.001080
       0.750500       0.394170       0.000470
       0.753500       0.396309       0.000608
       0.756500       0.396784       0.000461
       0.759500       0.398757       0.000521
       0.762500       0.399691       0.000550
       0.765500       0.402451       0.000602
       0.768500       0.404496       0.000634
       0.771500       0.405343       0.000610
       0.774500       0.407769       0.000577
       0.777500       0.407790       0.000591
       0.781000       0.409606       0.000629
       0.785000       0.411173       0.000758
       0.789000       0.412141       0.000573
       0.793000       0.412334       0.000588
       0.797000       0.414027       0.000598
       0.801500       0.414820       0.000802
       0.806500       0.414955       0.000662
       0.811500       0.414411       0.000737
       0.816500       0.413130       0.000730
       0.822000       0.411534       0.000667
       0.828000       0.410098       0.000584
       0.835000       0.405976       0.000669
       0.843000       0.402757       0.000856
       0.851000       0.406343       0.001675
       0.859000       0.400844       0.001598
       0.871000       0.401981       0.001600
       0.883000       0.399192       0.001622
       0.894000       0.399247       0.001596
       0.904000       0.401441       0.001608
       0.914000       0.401624       0.001575
       0.924000       0.402751       0.001059
       0.933000       0.406779       0.000842
       0.941000       0.409416       0.001077
       0.949000       0.409457       0.001114
       0.957000       0.413287       0.001110
       0.964000       0.419469       0.001571
       0.970000       0.417789       0.001322
       0.976000       0.420602       0.001173
       0.982000       0.421391       0.000896
       0.988000       0.422807       0.000831
       0.994000       0.423333       0.000951
       1.000000       0.423768       0.001369
       1.006000       0.426221       0.001079
       1.012000       0.424659       0.001284
       1.018000       0.425010       0.001006
       1.023500       0.424567       0.001180
       1.028500       0.426312       0.001192
       1.033500       0.427644       0.001005
       1.038500       0.426466       0.000965
       1.043500       0.425683       0.001016
       1.048500       0.425612       0.001043
       1.053500       0.425292       0.001158
       1.058500       0.427003       0.001023
       1.063500       0.424582       0.000759
       1.068500       0.427124       0.000719
       1.073500       0.427281       0.001179
       1.078500       0.426292       0.001076
       1.083500       0.427813       0.000896
       1.088500       0.428175       0.001154
       1.093500       0.427567       0.000913
       1.098500       0.430218       0.000953
       1.103500       0.429895       0.001025
       1.108500       0.429983       0.000934
       1.113500       0.431589       0.000762
       1.118500       0.432388       0.000980
       1.123500       0.434454       0.000622
       1.128500       0.434206       0.000789
       1.133500       0.436655       0.000821
       1.138500       0.439393       0.000938
       1.143500       0.438928       0.000814
       1.148500       0.440473       0.000848
       1.153500       0.443655       0.000535
       1.158500       0.443339       0.000607
       1.163500       0.446038       0.000905
       1.168500       0.448666       0.000802
       1.173500       0.450491       0.000697
       1.178500       0.452035       0.001093
       1.183500       0.454370       0.001098
       1.188500       0.458364       0.000920
       1.193500       0.461609       0.000986
       1.198500       0.461622       0.001216
       1.203500       0.462666       0.000856
       1.208500       0.467925       0.000979
       1.213500       0.468164       0.000941
       1.218500       0.473940       0.001067
       1.223500       0.474980       0.000779
       1.228500       0.477612       0.000947
       1.233500       0.479988       0.000946
       1.238500       0.481177       0.001062
       1.243500       0.486587       0.000847
       1.248500       0.488178       0.000788
       1.253500       0.489279       0.000933
       1.258500       0.491147       0.000688
       1.263500       0.495149       0.000602
       1.268500       0.495229       0.000694
       1.273500       0.497223       0.000819
       1.278500       0.500350       0.001018
       1.283500       0.501286       0.000609
       1.288500       0.504144       0.000966
       1.293500       0.506669       0.000724
       1.298500       0.508399       0.000698
       1.303500       0.510744       0.000759
       1.308500       0.512940       0.000785
       1.313500       0.515805       0.000734
       1.318500       0.518228       0.000674
       1.323500       0.519247       0.000800
       1.328500       0.523862       0.000610
       1.333500       0.525362       0.000650
       1.338500       0.528707       0.000936
       1.343500       0.531672       0.000849
       1.348500       0.531827       0.000857
       1.353500       0.531938       0.000909
       1.358500       0.534938       0.000831
       1.363500       0.535819       0.001179
       1.368500       0.536506       0.000778
       1.373500       0.533998       0.000992
       1.378500       0.529592       0.001166
       1.383500       0.495752       0.001023
       1.388500       0.427917       0.001403
       1.393500       0.431839       0.001047
       1.398500       0.482851       0.001552
       1.403500       0.506237       0.001186
       1.408500       0.507458       0.001249
       1.413500       0.505699       0.000993
       1.418500       0.507947       0.001066
       1.423500       0.505358       0.001001
       1.428500       0.503465       0.001117
       1.433500       0.505227       0.001166
       1.438500       0.509451       0.001112
       1.443500       0.514104       0.001037
       1.448500       0.519669       0.000924
       1.453500       0.526522       0.001008
       1.458500       0.533112       0.001185
       1.463500       0.537024       0.001107
       1.468500       0.544107       0.001227
       1.473500       0.545560       0.001095
       1.478500       0.549061       0.001010
       1.483500       0.550823       0.001424
       1.488500       0.550424       0.001121
       1.493500       0.553792       0.000867
       1.498500       0.552462       0.001330
       1.503500       0.553175       0.000823
       1.508500       0.555616       0.001106
       1.513500       0.558171       0.001505
       1.518500       0.559163       0.001268
       1.523500       0.563404       0.001193
       1.528500       0.562925       0.000888
       1.534000       0.563774       0.001053
       1.540000       0.567048       0.001224
       1.546000       0.570322       0.001084
       1.552000       0.573616       0.000759
       1.558000       0.575378       0.000999
       1.564000       0.580872       0.001048
       1.570500       0.582778       0.000760
       1.577500       0.586706       0.000836
       1.584500       0.591593       0.000952
       1.591500       0.594337       0.001154
       1.598500       0.595910       0.000805
       1.605500       0.600859       0.000838
       1.612500       0.604406       0.000978
       1.619500       0.607302       0.001026
       1.626500       0.609678       0.001041
       1.633500       0.611845       0.000919
       1.640500       0.615810       0.000820
       1.647500       0.617484       0.000942
       1.654500       0.618899       0.001212
       1.661500       0.621231       0.000884
       1.668500       0.621544       0.000994
       1.676000       0.623461       0.001122
       1.684000       0.625393       0.001046
       1.692000       0.633136       0.001642
       1.700000       0.629217       0.001684
       1.708000       0.631614       0.001692
       1.716000       0.633427       0.001330
       1.724000       0.629677       0.001358
       1.732000       0.632690       0.001490
       1.740000       0.637456       0.001542
       1.748000       0.635744       0.001686
       1.756000       0.639938       0.001654
       1.764000       0.637051       0.001450
       1.772000       0.635361       0.001192
       1.780000       0.636281       0.001356
       1.788000       0.637451       0.001711
       1.796000       0.633857       0.001045
       1.805000       0.632759       0.000898
       1.815000       0.629010       0.001107
       1.825000       0.626597       0.000970
       1.835000       0.619602       0.000900
       1.845000       0.615685       0.001194
       1.855000       0.605745       0.001467
       1.865000       0.598676       0.000987
       1.875000       0.593251       0.001024
       1.885000       0.591197       0.000898
       1.895000       0.590913       0.001092
       1.905000       0.590863       0.001297
       1.915000       0.585595       0.001287
       1.925000       0.576462       0.001048
       1.935000       0.572874       0.001162
       1.945000       0.562672       0.001465
       1.955000       0.556418       0.001584
       1.965000       0.547216       0.001646
       1.975000       0.541280       0.001288
       1.985000       0.537425       0.000964
       1.995000       0.538286       0.001486
       2.005000       0.544706       0.001274
       2.015000       0.546485       0.001540
       2.025000       0.562239       0.001566
       2.035000       0.575754       0.001222
       2.045000       0.587779       0.001394
       2.055000       0.597189       0.001616
       2.065000       0.602766       0.001421
       2.075000       0.609258       0.001664
       2.085000       0.607186       0.001451
       2.095000       0.602694       0.001667
       2.105000       0.594921       0.001653
       2.115000       0.596272       0.001634
       2.125000       0.594102       0.001671
       2.135000       0.596407       0.001683
       2.145000       0.594572       0.001638
       2.155000       0.592732       0.001271
       2.165000       0.587775       0.001369
       2.175000       0.581029       0.001685
       2.185000       0.570217       0.001685
       2.195000       0.554809       0.001691
       2.205000       0.538539       0.001704
       2.215000       0.517074       0.001685
       2.225000       0.483770       0.001696
       2.235000       0.435232       0.001688
       2.245000       0.404680       0.001683
       2.255000       0.402872       0.001692
       2.265000       0.407516       0.001691
       2.275000       0.407528       0.001909
       2.285000       0.383276       0.002528
       2.295000       0.350748       0.003653
       2.305000       0.335760       0.003689
       2.315000       0.309158       0.002297
       2.325000       0.299922       0.001685
       2.335000       0.309766       0.001677
