USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Corundum HS283.3B            W1R1Bc AREF
copy of splib05a r 2249                                     
       0.205100      -1.23e34        0.695595
       0.213100      -1.23e34        0.100592
       0.221100      -1.23e34        0.017189
       0.229100       0.053961       0.006815
       0.236100       0.055383       0.004014
       0.242100       0.058609       0.002120
       0.248100       0.057449       0.001507
       0.253600       0.059465       0.001387
       0.258600       0.056449       0.001090
       0.263600       0.057557       0.001011
       0.268600       0.060479       0.001011
       0.273100       0.060727       0.001030
       0.277100       0.062107       0.001049
       0.281100       0.064296       0.001076
       0.285100       0.069661       0.001112
       0.289100       0.074715       0.001150
       0.293100       0.086039       0.001189
       0.297100       0.102572       0.001212
       0.301100       0.123871       0.001276
       0.305100       0.146816       0.001319
       0.309100       0.168988       0.001340
       0.313100       0.196996       0.001372
       0.317100       0.219332       0.001386
       0.321100       0.233558       0.001356
       0.325100       0.233618       0.001425
       0.329100       0.238226       0.001430
       0.333100       0.243956       0.001443
       0.337100       0.253404       0.001445
       0.341100       0.271041       0.001443
       0.345100       0.301882       0.001462
       0.349100       0.348097       0.001467
       0.353100       0.399301       0.001103
       0.357100       0.444137       0.001478
       0.360600       0.469532       0.001106
       0.363600       0.484555       0.000988
       0.366600       0.487565       0.001031
       0.369600       0.486571       0.000851
       0.372600       0.477114       0.000919
       0.375600       0.445815       0.000898
       0.378600       0.443795       0.000776
       0.381100       0.450250       0.001010
       0.383100       0.450909       0.000890
       0.385100       0.448941       0.000921
       0.387100       0.443959       0.000767
       0.389100       0.445766       0.000723
       0.391100       0.468285       0.000803
       0.393100       0.487477       0.000871
       0.395100       0.507608       0.000909
       0.397100       0.524548       0.000762
       0.399100       0.538147       0.001046
       0.401100       0.551040       0.000962
       0.403100       0.558160       0.000685
       0.405100       0.565886       0.000624
       0.407100       0.571958       0.000729
       0.409100       0.575461       0.000572
       0.411100       0.580327       0.001136
       0.412800       0.584679       0.000930
       0.415800       0.588218       0.000848
       0.418800       0.591085       0.001061
       0.421800       0.594313       0.000784
       0.424800       0.597103       0.001079
       0.427800       0.599393       0.000725
       0.430800       0.597666       0.000661
       0.433800       0.594259       0.000732
       0.436800       0.588125       0.000679
       0.439800       0.579804       0.000648
       0.442800       0.569863       0.000631
       0.445800       0.560228       0.000722
       0.448800       0.545620       0.001157
       0.451300       0.535139       0.000897
       0.453300       0.544813       0.001115
       0.455300       0.552674       0.000978
       0.457300       0.560824       0.000933
       0.459300       0.566517       0.001525
       0.461300       0.576125       0.000910
       0.463300       0.586820       0.000834
       0.465300       0.596521       0.000825
       0.467300       0.604498       0.001212
       0.469300       0.609179       0.000825
       0.471300       0.614724       0.001039
       0.473300       0.622267       0.000825
       0.475300       0.629979       0.000822
       0.477300       0.637864       0.000828
       0.479300       0.641877       0.000901
       0.481300       0.644321       0.001207
       0.483300       0.649104       0.000970
       0.485300       0.649264       0.000831
       0.487300       0.649869       0.000842
       0.489300       0.648970       0.000971
       0.491300       0.648653       0.000823
       0.493300       0.648168       0.000899
       0.495300       0.646720       0.000846
       0.497300       0.645845       0.000943
       0.499300       0.643971       0.000883
       0.501300       0.640656       0.000853
       0.503300       0.638795       0.000942
       0.505300       0.636306       0.000808
       0.507300       0.633834       0.000867
       0.509300       0.630489       0.000766
       0.511300       0.628979       0.000911
       0.513300       0.625282       0.000945
       0.515300       0.623182       0.000878
       0.517300       0.619950       0.000999
       0.519300       0.617046       0.001047
       0.521300       0.613792       0.000853
       0.523300       0.612049       0.000792
       0.525300       0.608033       0.000915
       0.527300       0.606256       0.000958
       0.529300       0.605616       0.000825
       0.531300       0.601864       0.000850
       0.533300       0.599561       0.000999
       0.535300       0.596232       0.001010
       0.537300       0.594936       0.000982
       0.539300       0.592213       0.000910
       0.541300       0.590238       0.001337
       0.543300       0.589627       0.000866
       0.545300       0.586789       0.000775
       0.547300       0.583629       0.000911
       0.549300       0.582668       0.000803
       0.551300       0.580717       0.000986
       0.553300       0.579612       0.000783
       0.555300       0.578226       0.000817
       0.557300       0.577634       0.000796
       0.559300       0.577012       0.000791
       0.561300       0.576304       0.000813
       0.563300       0.576094       0.000749
       0.565300       0.576344       0.000637
       0.567300       0.575030       0.000766
       0.569300       0.576740       0.000901
       0.571300       0.575677       0.000901
       0.573300       0.576245       0.000935
       0.575300       0.576482       0.000966
       0.577300       0.577903       0.001009
       0.579300       0.577471       0.001372
       0.581300       0.578380       0.001085
       0.583300       0.578425       0.001102
       0.585300       0.579382       0.001171
       0.587300       0.581182       0.001084
       0.589300       0.583434       0.000902
       0.591300       0.585542       0.000935
       0.593300       0.585890       0.000929
       0.595300       0.587058       0.000955
       0.597300       0.589091       0.000844
       0.599300       0.589935       0.001297
       0.601100       0.591806       0.001032
       0.602700       0.593001       0.001376
       0.604300       0.594854       0.000977
       0.605900       0.595495       0.000994
       0.607500       0.596886       0.000881
       0.609100       0.596948       0.000788
       0.610700       0.597743       0.000897
       0.612300       0.598817       0.000857
       0.613900       0.600348       0.000796
       0.615500       0.599398       0.001311
       0.617100       0.601798       0.000830
       0.618700       0.601854       0.001150
       0.620300       0.604461       0.000798
       0.621900       0.604307       0.001077
       0.623500       0.605084       0.000895
       0.625100       0.605471       0.000973
       0.626700       0.606858       0.001008
       0.628300       0.608555       0.000996
       0.629900       0.608034       0.000829
       0.631700       0.608220       0.000741
       0.633700       0.608686       0.000832
       0.635700       0.610520       0.000682
       0.637700       0.611058       0.000843
       0.639700       0.610838       0.000984
       0.641700       0.612025       0.000878
       0.643700       0.610565       0.001197
       0.645700       0.612997       0.000873
       0.647700       0.612988       0.001338
       0.649700       0.614011       0.000930
       0.651700       0.614285       0.001080
       0.653700       0.614250       0.000840
       0.655700       0.614976       0.001220
       0.657700       0.615295       0.001489
       0.659700       0.616919       0.001070
       0.661700       0.617802       0.001514
       0.663700       0.616983       0.001280
       0.665700       0.617892       0.001200
       0.667700       0.619187       0.001059
       0.670200       0.618660       0.001177
       0.673200       0.619080       0.000826
       0.676200       0.619791       0.000988
       0.679200       0.620521       0.000972
       0.682200       0.618920       0.000896
       0.685200       0.622861       0.001059
       0.688200       0.621846       0.001288
       0.691200       0.623150       0.001199
       0.694200       0.622072       0.001147
       0.697200       0.624915       0.001127
       0.700200       0.626253       0.001462
       0.702000       0.627501       0.000890
       0.704000       0.628306       0.000967
       0.706000       0.628394       0.001123
       0.708000       0.629565       0.000901
       0.710000       0.630539       0.001078
       0.712000       0.631457       0.001142
       0.714000       0.634095       0.001078
       0.716000       0.632365       0.001205
       0.718000       0.636143       0.001156
       0.720000       0.635082       0.000946
       0.722000       0.637285       0.000745
       0.724000       0.638789       0.000958
       0.726000       0.640147       0.001078
       0.728000       0.641551       0.000948
       0.730000       0.640998       0.001057
       0.732000       0.643415       0.000796
       0.734000       0.644160       0.000648
       0.736000       0.644087       0.000772
       0.738000       0.646546       0.000786
       0.740000       0.646367       0.000852
       0.742000       0.649083       0.000876
       0.744000       0.651222       0.000798
       0.746000       0.651760       0.000720
       0.748000       0.653381       0.001229
       0.750500       0.655205       0.001160
       0.753500       0.657099       0.001590
       0.756500       0.658949       0.000792
       0.759500       0.662066       0.000784
       0.762500       0.664077       0.001055
       0.765500       0.666874       0.000907
       0.768500       0.669143       0.000882
       0.771500       0.671079       0.000849
       0.774500       0.672724       0.000838
       0.777500       0.675352       0.001223
       0.781000       0.680182       0.000945
       0.785000       0.680951       0.000791
       0.789000       0.685158       0.000671
       0.793000       0.687443       0.000829
       0.797000       0.690868       0.000948
       0.801500       0.693673       0.000754
       0.806500       0.697611       0.000840
       0.811500       0.702441       0.000865
       0.816500       0.705137       0.000795
       0.822000       0.708638       0.000883
       0.828000       0.710683       0.000977
       0.835000       0.715148       0.000880
       0.843000       0.721479       0.001247
       0.851000       0.736669       0.001829
       0.859000       0.736910       0.001724
       0.871000       0.740367       0.001780
       0.883000       0.749126       0.001736
       0.894000       0.754935       0.001755
       0.904000       0.757286       0.001359
       0.914000       0.757045       0.001080
       0.924000       0.762185       0.001676
       0.933000       0.766341       0.001684
       0.941000       0.764564       0.001120
       0.949000       0.766488       0.001070
       0.957000       0.767611       0.001174
       0.964000       0.769637       0.001063
       0.970000       0.770891       0.001603
       0.976000       0.770378       0.000987
       0.982000       0.772199       0.001293
       0.988000       0.768515       0.001330
       0.994000       0.770973       0.001020
       1.000000       0.772740       0.001157
       1.006000       0.771364       0.000858
       1.012000       0.771329       0.000868
       1.018000       0.771635       0.001066
       1.023500       0.774261       0.001513
       1.028500       0.774076       0.001019
       1.033500       0.775243       0.001170
       1.038500       0.771886       0.001409
       1.043500       0.773967       0.000937
       1.048500       0.772314       0.001258
       1.053500       0.772969       0.001109
       1.058500       0.776231       0.000983
       1.063500       0.773286       0.001003
       1.068500       0.774731       0.000969
       1.073500       0.774892       0.001546
       1.078500       0.774872       0.000984
       1.083500       0.776432       0.000870
       1.088500       0.777004       0.001035
       1.093500       0.779728       0.001278
       1.098500       0.778221       0.001318
       1.103500       0.781429       0.001110
       1.108500       0.780180       0.000936
       1.113500       0.781717       0.000994
       1.118500       0.783502       0.001020
       1.123500       0.785718       0.001063
       1.128500       0.786144       0.000742
       1.133500       0.788375       0.000804
       1.138500       0.792708       0.001009
       1.143500       0.793289       0.000937
       1.148500       0.794735       0.001050
       1.153500       0.795730       0.000911
       1.158500       0.798674       0.001171
       1.163500       0.799704       0.001036
       1.168500       0.802242       0.001154
       1.173500       0.805348       0.000786
       1.178500       0.803381       0.000871
       1.183500       0.807066       0.001082
       1.188500       0.813731       0.001171
       1.193500       0.815176       0.001098
       1.198500       0.815691       0.001185
       1.203500       0.818762       0.000993
       1.208500       0.821101       0.001086
       1.213500       0.821333       0.001031
       1.218500       0.825834       0.001167
       1.223500       0.828100       0.001054
       1.228500       0.830047       0.001067
       1.233500       0.831892       0.000871
       1.238500       0.833786       0.001206
       1.243500       0.836123       0.000900
       1.248500       0.839425       0.001226
       1.253500       0.842479       0.001070
       1.258500       0.841471       0.000960
       1.263500       0.845964       0.000842
       1.268500       0.847134       0.000937
       1.273500       0.849568       0.000908
       1.278500       0.851653       0.001029
       1.283500       0.851055       0.000976
       1.288500       0.855399       0.000850
       1.293500       0.856468       0.000725
       1.298500       0.857784       0.000851
       1.303500       0.859907       0.000829
       1.308500       0.860134       0.000962
       1.313500       0.862368       0.000909
       1.318500       0.862358       0.000830
       1.323500       0.864760       0.000722
       1.328500       0.863326       0.001125
       1.333500       0.865332       0.000884
       1.338500       0.866904       0.000891
       1.343500       0.867711       0.001088
       1.348500       0.866893       0.000896
       1.353500       0.868464       0.001054
       1.358500       0.867442       0.001166
       1.363500       0.865706       0.001423
       1.368500       0.868386       0.000901
       1.373500       0.867534       0.001059
       1.378500       0.867454       0.000980
       1.383500       0.865834       0.001385
       1.388500       0.865726       0.001218
       1.393500       0.860718       0.001167
       1.398500       0.859832       0.001012
       1.403500       0.853971       0.001538
       1.408500       0.855165       0.001392
       1.413500       0.853249       0.000963
       1.418500       0.857644       0.001321
       1.423500       0.859707       0.001597
       1.428500       0.859929       0.000986
       1.433500       0.859352       0.001121
       1.438500       0.860998       0.000968
       1.443500       0.860390       0.001178
       1.448500       0.859667       0.001087
       1.453500       0.858116       0.001230
       1.458500       0.858824       0.001122
       1.463500       0.854773       0.001187
       1.468500       0.855117       0.001138
       1.473500       0.854433       0.001013
       1.478500       0.851310       0.001119
       1.483500       0.850253       0.001199
       1.488500       0.847089       0.001499
       1.493500       0.846107       0.001202
       1.498500       0.848036       0.001088
       1.503500       0.841864       0.001348
       1.508500       0.840558       0.001319
       1.513500       0.836921       0.001345
       1.518500       0.831076       0.001210
       1.523500       0.827598       0.001827
       1.528500       0.823276       0.001180
       1.534000       0.819669       0.001079
       1.540000       0.815159       0.001201
       1.546000       0.809881       0.001262
       1.552000       0.800782       0.001051
       1.558000       0.793451       0.001073
       1.564000       0.787170       0.000996
       1.570500       0.778419       0.000832
       1.577500       0.767401       0.000823
       1.584500       0.757231       0.000970
       1.591500       0.748675       0.000943
       1.598500       0.738159       0.001005
       1.605500       0.729591       0.001011
       1.612500       0.718583       0.000806
       1.619500       0.708691       0.000827
       1.626500       0.701352       0.001184
       1.633500       0.693504       0.001040
       1.640500       0.682552       0.000965
       1.647500       0.672377       0.000868
       1.654500       0.665755       0.001147
       1.661500       0.655607       0.001041
       1.668500       0.645892       0.001365
       1.676000       0.638694       0.001225
       1.684000       0.630704       0.001735
       1.692000       0.621253       0.001538
       1.700000       0.610185       0.001406
       1.708000       0.605500       0.001690
       1.716000       0.591872       0.001081
       1.724000       0.581008       0.001760
       1.732000       0.571824       0.001685
       1.740000       0.564319       0.001791
       1.748000       0.553845       0.001750
       1.756000       0.546063       0.001278
       1.764000       0.537050       0.001743
       1.772000       0.528641       0.001188
       1.780000       0.525406       0.001119
       1.788000       0.520934       0.001231
       1.796000       0.517800       0.000918
       1.805000       0.513693       0.000725
       1.815000       0.513179       0.000950
       1.825000       0.511934       0.001033
       1.835000       0.514317       0.001654
       1.845000       0.515960       0.001081
       1.855000       0.520616       0.001207
       1.865000       0.525308       0.001240
       1.875000       0.528431       0.000807
       1.885000       0.531264       0.000932
       1.895000       0.533989       0.000807
       1.905000       0.532511       0.000978
       1.915000       0.536030       0.001572
       1.925000       0.536171       0.001436
       1.935000       0.537201       0.001406
       1.945000       0.534790       0.001323
       1.955000       0.530384       0.001422
       1.965000       0.526731       0.001179
       1.975000       0.518454       0.001291
       1.985000       0.508235       0.001191
       1.995000       0.507922       0.001762
       2.005000       0.497074       0.001458
       2.015000       0.494026       0.001764
       2.025000       0.492653       0.001507
       2.035000       0.490669       0.001744
       2.045000       0.486933       0.001693
       2.055000       0.487206       0.001725
       2.065000       0.488414       0.001727
       2.075000       0.490568       0.001735
       2.085000       0.490158       0.001332
       2.095000       0.490497       0.001757
       2.105000       0.489949       0.001763
       2.115000       0.489580       0.001729
       2.125000       0.491967       0.001711
       2.135000       0.494227       0.001706
       2.145000       0.491874       0.001728
       2.155000       0.491193       0.001734
       2.165000       0.488055       0.001746
       2.175000       0.487428       0.001284
       2.185000       0.489270       0.001771
       2.195000       0.485904       0.001739
       2.205000       0.486201       0.001767
       2.215000       0.484507       0.001769
       2.225000       0.491195       0.001641
       2.235000       0.487590       0.001777
       2.245000       0.484256       0.001788
       2.255000       0.485214       0.001778
       2.265000       0.485148       0.001782
       2.275000       0.485803       0.001779
       2.285000       0.482330       0.002213
       2.295000       0.481092       0.002960
       2.305000       0.475215       0.002944
       2.315000       0.478708       0.001884
       2.325000       0.475985       0.001777
       2.335000       0.471846       0.001740
       2.345000       0.469701       0.001722
