USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Dickite NMNH106242           W1R1Bb AREF
copy of splib05a r 2344                                     
       0.205100      -1.23e34        0.021361
       0.213100       0.165666       0.004436
       0.221100       0.178663       0.001923
       0.229100       0.189264       0.001711
       0.236100       0.196832       0.001594
       0.242100       0.202550       0.001318
       0.248100       0.207129       0.000982
       0.253600       0.212791       0.001042
       0.258600       0.217195       0.000894
       0.263600       0.219551       0.001011
       0.268600       0.222542       0.000719
       0.273100       0.226201       0.001377
       0.277100       0.227519       0.000978
       0.281100       0.229613       0.001241
       0.285100       0.233090       0.000984
       0.289100       0.237388       0.001112
       0.293100       0.243389       0.000961
       0.297100       0.247800       0.000925
       0.301100       0.258808       0.000763
       0.305100       0.265690       0.001011
       0.309100       0.275278       0.001140
       0.313100       0.284308       0.000602
       0.317100       0.294482       0.000476
       0.321100       0.304020       0.001135
       0.325100       0.315777       0.000792
       0.329100       0.326020       0.000817
       0.333100       0.337678       0.001044
       0.337100       0.349777       0.000665
       0.341100       0.361497       0.000583
       0.345100       0.375996       0.000627
       0.349100       0.389770       0.000505
       0.353100       0.406539       0.000773
       0.357100       0.423571       0.000579
       0.360600       0.438330       0.000791
       0.363600       0.453069       0.000978
       0.366600       0.466252       0.000749
       0.369600       0.477954       0.000624
       0.372600       0.491932       0.000562
       0.375600       0.501465       0.000565
       0.378600       0.513234       0.000986
       0.381100       0.523435       0.000663
       0.383100       0.531585       0.000649
       0.385100       0.536493       0.000803
       0.387100       0.544305       0.000698
       0.389100       0.550379       0.000561
       0.391100       0.556794       0.000676
       0.393100       0.563597       0.000578
       0.395100       0.569468       0.001026
       0.397100       0.575423       0.000933
       0.399100       0.581647       0.000815
       0.401100       0.587608       0.000704
       0.403100       0.592522       0.000618
       0.405100       0.596947       0.000627
       0.407100       0.601203       0.000603
       0.409100       0.605668       0.000598
       0.411100       0.609384       0.000699
       0.412800       0.614241       0.001809
       0.415800       0.618953       0.000634
       0.418800       0.624732       0.000730
       0.421800       0.628245       0.001090
       0.424800       0.633083       0.000705
       0.427800       0.634923       0.000608
       0.430800       0.637726       0.000565
       0.433800       0.638631       0.000677
       0.436800       0.642230       0.000609
       0.439800       0.647671       0.000600
       0.442800       0.650440       0.000659
       0.445800       0.656074       0.000641
       0.448800       0.659365       0.001846
       0.451300       0.662559       0.000805
       0.453300       0.666510       0.000812
       0.455300       0.668843       0.000865
       0.457300       0.672061       0.000854
       0.459300       0.673631       0.000699
       0.461300       0.676026       0.000810
       0.463300       0.678001       0.001316
       0.465300       0.679437       0.000840
       0.467300       0.683419       0.000711
       0.469300       0.684712       0.000798
       0.471300       0.687148       0.000937
       0.473300       0.690286       0.000689
       0.475300       0.691106       0.001309
       0.477300       0.694204       0.000794
       0.479300       0.695962       0.000886
       0.481300       0.697593       0.001254
       0.483300       0.700523       0.000742
       0.485300       0.702373       0.000761
       0.487300       0.703252       0.000761
       0.489300       0.706018       0.000710
       0.491300       0.708093       0.000803
       0.493300       0.710365       0.000716
       0.495300       0.710990       0.000981
       0.497300       0.711976       0.000670
       0.499300       0.714919       0.000773
       0.501300       0.716362       0.000922
       0.503300       0.717996       0.001320
       0.505300       0.720030       0.000729
       0.507300       0.721146       0.000702
       0.509300       0.723099       0.001388
       0.511300       0.724382       0.000711
       0.513300       0.727622       0.000757
       0.515300       0.729255       0.000730
       0.517300       0.730070       0.000603
       0.519300       0.733985       0.000836
       0.521300       0.733820       0.000844
       0.523300       0.735458       0.000779
       0.525300       0.736418       0.000876
       0.527300       0.738454       0.001045
       0.529300       0.741908       0.000701
       0.531300       0.741571       0.000797
       0.533300       0.744179       0.000758
       0.535300       0.745871       0.000876
       0.537300       0.746546       0.000933
       0.539300       0.748392       0.001030
       0.541300       0.749846       0.000890
       0.543300       0.750440       0.000963
       0.545300       0.753079       0.000751
       0.547300       0.754109       0.001381
       0.549300       0.754485       0.000890
       0.551300       0.756675       0.000735
       0.553300       0.757931       0.000882
       0.555300       0.759515       0.000796
       0.557300       0.761359       0.001028
       0.559300       0.760558       0.000791
       0.561300       0.763876       0.000952
       0.563300       0.765402       0.001199
       0.565300       0.767618       0.000837
       0.567300       0.768974       0.000841
       0.569300       0.770487       0.000702
       0.571300       0.771337       0.000793
       0.573300       0.771904       0.000975
       0.575300       0.772638       0.000703
       0.577300       0.775093       0.000926
       0.579300       0.776375       0.000708
       0.581300       0.778025       0.000675
       0.583300       0.778302       0.000560
       0.585300       0.780329       0.000718
       0.587300       0.781731       0.000732
       0.589300       0.781557       0.000685
       0.591300       0.783092       0.000700
       0.593300       0.784227       0.000770
       0.595300       0.786315       0.000626
       0.597300       0.787284       0.000709
       0.599300       0.787758       0.000841
       0.601100       0.787734       0.000674
       0.602700       0.789733       0.000738
       0.604300       0.790489       0.000644
       0.605900       0.790220       0.000772
       0.607500       0.792043       0.000753
       0.609100       0.792046       0.000714
       0.610700       0.793452       0.000576
       0.612300       0.792685       0.000664
       0.613900       0.794872       0.000629
       0.615500       0.794305       0.000575
       0.617100       0.795856       0.000948
       0.618700       0.796506       0.000542
       0.620300       0.796408       0.000551
       0.621900       0.798735       0.000670
       0.623500       0.800391       0.000651
       0.625100       0.799580       0.000668
       0.626700       0.800853       0.000736
       0.628300       0.802367       0.000608
       0.629900       0.802333       0.000995
       0.631700       0.803599       0.000778
       0.633700       0.803722       0.000602
       0.635700       0.804549       0.000527
       0.637700       0.805856       0.000612
       0.639700       0.807039       0.000667
       0.641700       0.807825       0.000707
       0.643700       0.808018       0.000980
       0.645700       0.810975       0.000599
       0.647700       0.809860       0.000739
       0.649700       0.812304       0.000629
       0.651700       0.811840       0.000648
       0.653700       0.812113       0.000671
       0.655700       0.813036       0.001258
       0.657700       0.815445       0.000683
       0.659700       0.816101       0.000915
       0.661700       0.816892       0.000689
       0.663700       0.818412       0.000852
       0.665700       0.818251       0.000763
       0.667700       0.819025       0.000711
       0.670200       0.819035       0.000572
       0.673200       0.821017       0.000556
       0.676200       0.821519       0.000902
       0.679200       0.823985       0.000665
       0.682200       0.824546       0.000693
       0.685200       0.825181       0.000668
       0.688200       0.826290       0.000706
       0.691200       0.827426       0.000923
       0.694200       0.828714       0.000654
       0.697200       0.829823       0.001041
       0.700200       0.829977       0.000726
       0.702000       0.830604       0.000671
       0.704000       0.831309       0.000567
       0.706000       0.831904       0.000596
       0.708000       0.832115       0.000745
       0.710000       0.832473       0.000588
       0.712000       0.832917       0.000658
       0.714000       0.834324       0.000771
       0.716000       0.834854       0.000661
       0.718000       0.835259       0.000831
       0.720000       0.834895       0.001189
       0.722000       0.834838       0.000770
       0.724000       0.836882       0.000704
       0.726000       0.837589       0.000859
       0.728000       0.837002       0.000788
       0.730000       0.837890       0.000896
       0.732000       0.837696       0.001346
       0.734000       0.837633       0.000937
       0.736000       0.839049       0.000974
       0.738000       0.838779       0.000782
       0.740000       0.838549       0.000779
       0.742000       0.837736       0.001418
       0.744000       0.835684       0.000997
       0.746000       0.836999       0.001830
       0.748000       0.839207       0.000810
       0.750500       0.840189       0.000746
       0.753500       0.842000       0.000690
       0.756500       0.843778       0.000798
       0.759500       0.843801       0.000975
       0.762500       0.843295       0.000999
       0.765500       0.844289       0.000877
       0.768500       0.847658       0.000830
       0.771500       0.844753       0.000912
       0.774500       0.847478       0.000926
       0.777500       0.847692       0.000792
       0.781000       0.847511       0.000701
       0.785000       0.847128       0.000657
       0.789000       0.848532       0.000818
       0.793000       0.848015       0.001033
       0.797000       0.849761       0.000745
       0.801500       0.849649       0.000753
       0.806500       0.849572       0.000850
       0.811500       0.851668       0.000887
       0.816500       0.849225       0.000947
       0.822000       0.849791       0.001427
       0.828000       0.847931       0.000959
       0.835000       0.851022       0.000841
       0.843000       0.850125       0.000945
       0.851000       0.851326       0.001947
       0.859000       0.856777       0.001628
       0.871000       0.851642       0.001234
       0.883000       0.854708       0.001267
       0.894000       0.852070       0.001031
       0.904000       0.847452       0.000975
       0.914000       0.839782       0.000879
       0.924000       0.839003       0.000713
       0.933000       0.837908       0.000931
       0.941000       0.818107       0.000953
       0.949000       0.816899       0.000752
       0.957000       0.827650       0.001040
       0.964000       0.811922       0.000951
       0.970000       0.798258       0.000914
       0.976000       0.831568       0.000881
       0.982000       0.847896       0.000806
       0.988000       0.854248       0.001034
       0.994000       0.854568       0.000917
       1.000000       0.857707       0.000637
       1.006000       0.858995       0.000635
       1.012000       0.857648       0.000933
       1.018000       0.857985       0.000848
       1.023500       0.860455       0.000954
       1.028500       0.860465       0.000701
       1.033500       0.859730       0.000781
       1.038500       0.861299       0.000701
       1.043500       0.860367       0.000757
       1.048500       0.861061       0.000748
       1.053500       0.861089       0.000731
       1.058500       0.862400       0.000687
       1.063500       0.861243       0.000662
       1.068500       0.861441       0.000862
       1.073500       0.860953       0.000785
       1.078500       0.862016       0.000690
       1.083500       0.862350       0.000724
       1.088500       0.863582       0.000723
       1.093500       0.862828       0.000749
       1.098500       0.861665       0.000706
       1.103500       0.863282       0.000617
       1.108500       0.862109       0.000818
       1.113500       0.860802       0.000753
       1.118500       0.859382       0.000714
       1.123500       0.862126       0.000747
       1.128500       0.861495       0.000706
       1.133500       0.862128       0.000733
       1.138500       0.862020       0.000758
       1.143500       0.862629       0.000682
       1.148500       0.863136       0.000506
       1.153500       0.862688       0.000656
       1.158500       0.860121       0.000658
       1.163500       0.860845       0.000789
       1.168500       0.860414       0.000881
       1.173500       0.860258       0.000770
       1.178500       0.858700       0.000804
       1.183500       0.859615       0.000903
       1.188500       0.859031       0.000705
       1.193500       0.857412       0.001090
       1.198500       0.855308       0.000826
       1.203500       0.850449       0.000743
       1.208500       0.849073       0.000618
       1.213500       0.846716       0.000788
       1.218500       0.842182       0.000523
       1.223500       0.835865       0.000609
       1.228500       0.828456       0.000712
       1.233500       0.821728       0.000600
       1.238500       0.815785       0.000628
       1.243500       0.803500       0.000720
       1.248500       0.803699       0.000658
       1.253500       0.810781       0.000663
       1.258500       0.813292       0.000707
       1.263500       0.821907       0.000654
       1.268500       0.822322       0.000667
       1.273500       0.816504       0.000643
       1.278500       0.812444       0.000612
       1.283500       0.803781       0.000553
       1.288500       0.789430       0.000653
       1.293500       0.776318       0.000646
       1.298500       0.762350       0.000780
       1.303500       0.741524       0.000745
       1.308500       0.731902       0.000734
       1.313500       0.737348       0.000753
       1.318500       0.739389       0.000519
       1.323500       0.730606       0.000636
       1.328500       0.729173       0.000722
       1.333500       0.728835       0.000670
       1.338500       0.720898       0.000725
       1.343500       0.712720       0.000596
       1.348500       0.695984       0.000574
       1.353500       0.674137       0.000615
       1.358500       0.626429       0.000879
       1.363500       0.622867       0.000775
       1.368500       0.616798       0.000838
       1.373500       0.545969       0.000836
       1.378500       0.440400       0.001157
       1.383500       0.411751       0.001020
       1.388500       0.511543       0.001265
       1.393500       0.592831       0.000981
       1.398500       0.619062       0.000862
       1.403500       0.597190       0.001030
       1.408500       0.528661       0.000802
       1.413500       0.335463       0.000838
       1.418500       0.382289       0.000936
       1.423500       0.576523       0.000869
       1.428500       0.690131       0.000724
       1.433500       0.745664       0.000903
       1.438500       0.778304       0.000777
       1.443500       0.796003       0.000785
       1.448500       0.803278       0.000850
       1.453500       0.818683       0.000945
       1.458500       0.831725       0.000908
       1.463500       0.838982       0.000740
       1.468500       0.841995       0.000961
       1.473500       0.845519       0.000710
       1.478500       0.850026       0.001024
       1.483500       0.849850       0.001169
       1.488500       0.851230       0.000786
       1.493500       0.852998       0.000896
       1.498500       0.853160       0.000894
       1.503500       0.854923       0.001136
       1.508500       0.858298       0.000993
       1.513500       0.854809       0.000965
       1.518500       0.856989       0.000897
       1.523500       0.858268       0.001159
       1.528500       0.859757       0.000919
       1.534000       0.856000       0.000942
       1.540000       0.855806       0.000804
       1.546000       0.855044       0.000811
       1.552000       0.856581       0.000776
       1.558000       0.854598       0.000876
       1.564000       0.856691       0.000725
       1.570500       0.855880       0.000736
       1.577500       0.856245       0.000762
       1.584500       0.857093       0.000674
       1.591500       0.859062       0.000801
       1.598500       0.859153       0.000688
       1.605500       0.859757       0.000685
       1.612500       0.857168       0.000782
       1.619500       0.858214       0.000631
       1.626500       0.854065       0.000714
       1.633500       0.856450       0.000906
       1.640500       0.854495       0.000751
       1.647500       0.852956       0.000891
       1.654500       0.853125       0.000813
       1.661500       0.851832       0.000901
       1.668500       0.849576       0.000827
       1.676000       0.848758       0.000832
       1.684000       0.847412       0.000984
       1.692000       0.843741       0.001406
       1.700000       0.845646       0.001142
       1.708000       0.840507       0.001585
       1.716000       0.839272       0.001310
       1.724000       0.833722       0.001266
       1.732000       0.826845       0.001141
       1.740000       0.821983       0.001691
       1.748000       0.818269       0.001881
       1.756000       0.814022       0.001354
       1.764000       0.806527       0.001480
       1.772000       0.796082       0.001025
       1.780000       0.785169       0.001461
       1.788000       0.766725       0.001276
       1.796000       0.743349       0.000824
       1.805000       0.734763       0.000710
       1.815000       0.740077       0.000779
       1.825000       0.730689       0.000799
       1.835000       0.735955       0.000935
       1.845000       0.748601       0.001140
       1.855000       0.777128       0.001250
       1.865000       0.784188       0.000719
       1.875000       0.782758       0.001089
       1.885000       0.774586       0.000866
       1.895000       0.766504       0.000976
       1.905000       0.753138       0.000981
       1.915000       0.740208       0.001335
       1.925000       0.729957       0.001392
       1.935000       0.724761       0.001007
       1.945000       0.717343       0.001406
       1.955000       0.713193       0.001217
       1.965000       0.716309       0.001567
       1.975000       0.713249       0.000997
       1.985000       0.713839       0.001544
       1.995000       0.711064       0.001633
       2.005000       0.705971       0.001007
       2.015000       0.699069       0.001443
       2.025000       0.691032       0.001181
       2.035000       0.677783       0.001408
       2.045000       0.664471       0.001589
       2.055000       0.639006       0.001622
       2.065000       0.626849       0.001569
       2.075000       0.608184       0.001521
       2.085000       0.594245       0.001910
       2.095000       0.575363       0.001772
       2.105000       0.563643       0.001890
       2.115000       0.530257       0.001867
       2.125000       0.536475       0.001893
       2.135000       0.493579       0.001856
       2.145000       0.442277       0.001818
       2.155000       0.404233       0.001302
       2.165000       0.316463       0.001832
       2.175000       0.258009       0.001556
       2.185000       0.267943       0.001840
       2.195000       0.335269       0.001851
       2.205000       0.251912       0.001912
       2.215000       0.285802       0.001927
       2.225000       0.413980       0.001910
       2.235000       0.470973       0.001919
       2.245000       0.468916       0.001929
       2.255000       0.434848       0.001931
       2.265000       0.433759       0.001953
       2.275000       0.432342       0.001953
       2.285000       0.402935       0.002473
       2.295000       0.366620       0.003514
       2.305000       0.344254       0.003140
       2.315000       0.351485       0.002331
       2.325000       0.352872       0.001923
       2.335000       0.352304       0.001883
       2.345000       0.329167       0.001856
