USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Diopside HS15.3B Pyroxene    W1R1Bc AREF
copy of splib05a r 2404                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.399551
       0.221100      -1.23e34        0.175989
       0.229100      -1.23e34        0.035209
       0.236100      -1.23e34        0.012211
       0.242100      -1.23e34        0.006220
       0.248100       0.050766       0.003614
       0.253600       0.049587       0.003701
       0.258600       0.052195       0.002781
       0.263600       0.050838       0.002138
       0.268600       0.052443       0.001992
       0.273100       0.053360       0.002227
       0.277100       0.051059       0.002000
       0.281100       0.054383       0.001633
       0.285100       0.061113       0.001550
       0.289100       0.062575       0.001392
       0.293100       0.065677       0.001270
       0.297100       0.070199       0.001237
       0.301100       0.075988       0.001456
       0.305100       0.083077       0.001274
       0.309100       0.090195       0.001296
       0.313100       0.100701       0.001312
       0.317100       0.108156       0.001328
       0.321100       0.121911       0.001328
       0.325100       0.136796       0.001346
       0.329100       0.150148       0.001347
       0.333100       0.166316       0.001347
       0.337100       0.179837       0.001355
       0.341100       0.191303       0.001361
       0.345100       0.205181       0.001351
       0.349100       0.214766       0.001368
       0.353100       0.225736       0.001098
       0.357100       0.235229       0.000662
       0.360600       0.242316       0.000950
       0.363600       0.249271       0.000981
       0.366600       0.253502       0.000916
       0.369600       0.256096       0.001234
       0.372600       0.259309       0.000810
       0.375600       0.261877       0.001076
       0.378600       0.264857       0.000955
       0.381100       0.266878       0.000904
       0.383100       0.268855       0.001348
       0.385100       0.271312       0.001023
       0.387100       0.275617       0.000842
       0.389100       0.276266       0.000746
       0.391100       0.278829       0.001069
       0.393100       0.281229       0.000898
       0.395100       0.284470       0.000827
       0.397100       0.285862       0.000767
       0.399100       0.287836       0.000731
       0.401100       0.290281       0.000748
       0.403100       0.291073       0.000660
       0.405100       0.293372       0.000672
       0.407100       0.295811       0.000843
       0.409100       0.297810       0.000710
       0.411100       0.300251       0.000865
       0.412800       0.303165       0.000785
       0.415800       0.307564       0.000774
       0.418800       0.311697       0.000756
       0.421800       0.314984       0.000724
       0.424800       0.318373       0.000691
       0.427800       0.322188       0.000660
       0.430800       0.325345       0.000716
       0.433800       0.329784       0.000696
       0.436800       0.329842       0.000703
       0.439800       0.332906       0.000672
       0.442800       0.336791       0.000629
       0.445800       0.339615       0.000691
       0.448800       0.343584       0.001063
       0.451300       0.346800       0.000885
       0.453300       0.348883       0.001016
       0.455300       0.350995       0.000900
       0.457300       0.352927       0.000991
       0.459300       0.356183       0.001085
       0.461300       0.357648       0.000913
       0.463300       0.360264       0.001117
       0.465300       0.362808       0.000826
       0.467300       0.364739       0.000935
       0.469300       0.368041       0.000862
       0.471300       0.370916       0.001186
       0.473300       0.373072       0.000840
       0.475300       0.376708       0.000873
       0.477300       0.378388       0.000858
       0.479300       0.381463       0.000753
       0.481300       0.383220       0.000854
       0.483300       0.385636       0.000891
       0.485300       0.389438       0.000782
       0.487300       0.391363       0.000713
       0.489300       0.392900       0.000875
       0.491300       0.393296       0.000785
       0.493300       0.397015       0.000854
       0.495300       0.399979       0.000909
       0.497300       0.404337       0.000625
       0.499300       0.407760       0.000874
       0.501300       0.411379       0.000829
       0.503300       0.412920       0.001087
       0.505300       0.415296       0.000847
       0.507300       0.417973       0.000818
       0.509300       0.419296       0.000784
       0.511300       0.421450       0.000919
       0.513300       0.423912       0.000842
       0.515300       0.426616       0.000954
       0.517300       0.427795       0.000788
       0.519300       0.429801       0.000703
       0.521300       0.431201       0.000854
       0.523300       0.432675       0.000912
       0.525300       0.434077       0.000775
       0.527300       0.435327       0.001147
       0.529300       0.438078       0.000989
       0.531300       0.438301       0.000809
       0.533300       0.440022       0.000849
       0.535300       0.441081       0.000997
       0.537300       0.441845       0.000941
       0.539300       0.443356       0.000840
       0.541300       0.443668       0.001186
       0.543300       0.445579       0.000895
       0.545300       0.445723       0.000956
       0.547300       0.446167       0.000804
       0.549300       0.446035       0.000683
       0.551300       0.446742       0.000717
       0.553300       0.447502       0.000672
       0.555300       0.447944       0.000657
       0.557300       0.448656       0.000724
       0.559300       0.448898       0.000628
       0.561300       0.449038       0.000788
       0.563300       0.448980       0.000648
       0.565300       0.449162       0.000702
       0.567300       0.448582       0.000738
       0.569300       0.448693       0.000931
       0.571300       0.449843       0.000799
       0.573300       0.448023       0.000774
       0.575300       0.447284       0.001230
       0.577300       0.446131       0.001007
       0.579300       0.447294       0.001352
       0.581300       0.446842       0.001213
       0.583300       0.445506       0.001010
       0.585300       0.444941       0.001156
       0.587300       0.443667       0.001440
       0.589300       0.443339       0.001049
       0.591300       0.442413       0.000919
       0.593300       0.441926       0.000991
       0.595300       0.441384       0.000969
       0.597300       0.441198       0.000732
       0.599300       0.439759       0.000751
       0.601100       0.438854       0.001060
       0.602700       0.437365       0.001005
       0.604300       0.437316       0.000903
       0.605900       0.435801       0.000816
       0.607500       0.435222       0.000795
       0.609100       0.434428       0.000927
       0.610700       0.433810       0.000857
       0.612300       0.432363       0.001182
       0.613900       0.431709       0.000842
       0.615500       0.431858       0.000840
       0.617100       0.430912       0.000793
       0.618700       0.429423       0.000716
       0.620300       0.427877       0.000690
       0.621900       0.427264       0.000905
       0.623500       0.426083       0.000866
       0.625100       0.425562       0.000865
       0.626700       0.425431       0.000894
       0.628300       0.424145       0.000864
       0.629900       0.422177       0.001043
       0.631700       0.422756       0.000817
       0.633700       0.420420       0.000759
       0.635700       0.420102       0.000917
       0.637700       0.418680       0.000770
       0.639700       0.417415       0.000821
       0.641700       0.415583       0.000905
       0.643700       0.413665       0.000855
       0.645700       0.412756       0.000991
       0.647700       0.412532       0.001263
       0.649700       0.410314       0.000923
       0.651700       0.408434       0.000991
       0.653700       0.406466       0.000937
       0.655700       0.404857       0.000814
       0.657700       0.404499       0.000640
       0.659700       0.403658       0.000601
       0.661700       0.401041       0.000762
       0.663700       0.399220       0.000689
       0.665700       0.398188       0.000702
       0.667700       0.395709       0.001055
       0.670200       0.393746       0.000715
       0.673200       0.391442       0.000772
       0.676200       0.389058       0.000832
       0.679200       0.385639       0.001017
       0.682200       0.382492       0.001271
       0.685200       0.381575       0.000832
       0.688200       0.377770       0.001305
       0.691200       0.375768       0.000942
       0.694200       0.374150       0.000841
       0.697200       0.371051       0.001107
       0.700200       0.366491       0.001290
       0.702000       0.366586       0.000935
       0.704000       0.363716       0.001051
       0.706000       0.362839       0.001052
       0.708000       0.360969       0.001041
       0.710000       0.360036       0.001008
       0.712000       0.357782       0.000597
       0.714000       0.356895       0.000626
       0.716000       0.354223       0.000824
       0.718000       0.353553       0.000677
       0.720000       0.351465       0.000535
       0.722000       0.349134       0.000622
       0.724000       0.348309       0.000943
       0.726000       0.345962       0.000828
       0.728000       0.344320       0.000839
       0.730000       0.342447       0.000766
       0.732000       0.341384       0.000865
       0.734000       0.340440       0.000826
       0.736000       0.339355       0.001193
       0.738000       0.336986       0.000942
       0.740000       0.335497       0.000847
       0.742000       0.333731       0.000911
       0.744000       0.331777       0.000783
       0.746000       0.331755       0.000927
       0.748000       0.329767       0.001279
       0.750500       0.326668       0.001128
       0.753500       0.326018       0.000644
       0.756500       0.322905       0.000764
       0.759500       0.321780       0.000772
       0.762500       0.319384       0.000727
       0.765500       0.318233       0.000721
       0.768500       0.316126       0.000808
       0.771500       0.314491       0.000752
       0.774500       0.312851       0.000588
       0.777500       0.310420       0.000938
       0.781000       0.308716       0.000674
       0.785000       0.306813       0.000653
       0.789000       0.306010       0.000641
       0.793000       0.304541       0.000911
       0.797000       0.303491       0.000610
       0.801500       0.302393       0.000733
       0.806500       0.302359       0.000677
       0.811500       0.302243       0.000850
       0.816500       0.302568       0.000861
       0.822000       0.302617       0.000842
       0.828000       0.304139       0.000714
       0.835000       0.305497       0.000966
       0.843000       0.307843       0.001042
       0.851000       0.312259       0.001856
       0.859000       0.314148       0.001617
       0.871000       0.315883       0.001619
       0.883000       0.314703       0.001290
       0.894000       0.313149       0.001613
       0.904000       0.309299       0.001544
       0.914000       0.306762       0.001589
       0.924000       0.302232       0.000749
       0.933000       0.297691       0.001247
       0.941000       0.291860       0.001357
       0.949000       0.288151       0.000765
       0.957000       0.285417       0.000954
       0.964000       0.283258       0.001011
       0.970000       0.280528       0.001334
       0.976000       0.280975       0.001119
       0.982000       0.278678       0.001029
       0.988000       0.276330       0.001111
       0.994000       0.274825       0.001468
       1.000000       0.274906       0.001212
       1.006000       0.274203       0.001406
       1.012000       0.273474       0.001000
       1.018000       0.270549       0.000748
       1.023500       0.271824       0.001547
       1.028500       0.273879       0.001171
       1.033500       0.270009       0.001419
       1.038500       0.270412       0.001422
       1.043500       0.267692       0.001067
       1.048500       0.269164       0.001191
       1.053500       0.267858       0.001032
       1.058500       0.267824       0.000967
       1.063500       0.269239       0.001126
       1.068500       0.269449       0.000953
       1.073500       0.269611       0.001305
       1.078500       0.269860       0.001148
       1.083500       0.271338       0.001050
       1.088500       0.270795       0.001157
       1.093500       0.271588       0.001091
       1.098500       0.271469       0.001169
       1.103500       0.274657       0.001089
       1.108500       0.274267       0.001279
       1.113500       0.276814       0.000933
       1.118500       0.275214       0.001236
       1.123500       0.277372       0.000825
       1.128500       0.279009       0.001184
       1.133500       0.278036       0.000933
       1.138500       0.278734       0.001073
       1.143500       0.278256       0.000614
       1.148500       0.279659       0.001005
       1.153500       0.281248       0.001166
       1.158500       0.279999       0.001025
       1.163500       0.281950       0.000921
       1.168500       0.282379       0.000899
       1.173500       0.283162       0.000920
       1.178500       0.282454       0.001168
       1.183500       0.283572       0.001140
       1.188500       0.286838       0.001324
       1.193500       0.288048       0.000805
       1.198500       0.288110       0.001051
       1.203500       0.289914       0.001216
       1.208500       0.291022       0.000757
       1.213500       0.293044       0.000878
       1.218500       0.294100       0.000691
       1.223500       0.295530       0.000885
       1.228500       0.297749       0.000968
       1.233500       0.298494       0.001056
       1.238500       0.300592       0.000907
       1.243500       0.302290       0.001025
       1.248500       0.304911       0.000828
       1.253500       0.307089       0.000738
       1.258500       0.307624       0.000635
       1.263500       0.311106       0.000998
       1.268500       0.313553       0.000944
       1.273500       0.313909       0.000929
       1.278500       0.318257       0.000736
       1.283500       0.319598       0.000928
       1.288500       0.320929       0.000682
       1.293500       0.324710       0.000789
       1.298500       0.325974       0.000923
       1.303500       0.328309       0.000982
       1.308500       0.330656       0.000950
       1.313500       0.333475       0.000683
       1.318500       0.335476       0.000774
       1.323500       0.338100       0.000924
       1.328500       0.340266       0.000847
       1.333500       0.341871       0.000929
       1.338500       0.344605       0.000837
       1.343500       0.346749       0.000579
       1.348500       0.348649       0.001178
       1.353500       0.351650       0.000934
       1.358500       0.352204       0.000858
       1.363500       0.354381       0.001217
       1.368500       0.358128       0.001036
       1.373500       0.359878       0.000835
       1.378500       0.362189       0.000904
       1.383500       0.364552       0.000833
       1.388500       0.363338       0.001012
       1.393500       0.363930       0.001466
       1.398500       0.368787       0.001089
       1.403500       0.373256       0.000797
       1.408500       0.375009       0.000907
       1.413500       0.377043       0.001541
       1.418500       0.378591       0.001164
       1.423500       0.379120       0.000988
       1.428500       0.382939       0.001044
       1.433500       0.384989       0.000997
       1.438500       0.386136       0.001071
       1.443500       0.389233       0.001157
       1.448500       0.389550       0.000879
       1.453500       0.392725       0.001222
       1.458500       0.396328       0.000904
       1.463500       0.396770       0.000803
       1.468500       0.400335       0.000906
       1.473500       0.400070       0.001143
       1.478500       0.402370       0.001275
       1.483500       0.404437       0.000916
       1.488500       0.408727       0.001223
       1.493500       0.410645       0.001475
       1.498500       0.410385       0.001519
       1.503500       0.412043       0.000935
       1.508500       0.414575       0.000907
       1.513500       0.416613       0.001267
       1.518500       0.418613       0.001489
       1.523500       0.421960       0.001089
       1.528500       0.422130       0.001197
       1.534000       0.422968       0.001024
       1.540000       0.427765       0.001095
       1.546000       0.430120       0.000931
       1.552000       0.431586       0.000734
       1.558000       0.432342       0.000901
       1.564000       0.435513       0.001100
       1.570500       0.436726       0.000753
       1.577500       0.440315       0.000825
       1.584500       0.442759       0.000702
       1.591500       0.445196       0.000845
       1.598500       0.447645       0.000834
       1.605500       0.450753       0.000818
       1.612500       0.452047       0.001081
       1.619500       0.455584       0.000770
       1.626500       0.457092       0.000696
       1.633500       0.458657       0.000936
       1.640500       0.462138       0.000808
       1.647500       0.463894       0.001238
       1.654500       0.465640       0.000952
       1.661500       0.469320       0.001084
       1.668500       0.470048       0.000904
       1.676000       0.471399       0.000847
       1.684000       0.474638       0.001581
       1.692000       0.478510       0.001669
       1.700000       0.481972       0.001645
       1.708000       0.483769       0.001600
       1.716000       0.487142       0.001083
       1.724000       0.489079       0.001007
       1.732000       0.491455       0.001597
       1.740000       0.492794       0.001610
       1.748000       0.497267       0.001660
       1.756000       0.498463       0.001439
       1.764000       0.503182       0.001246
       1.772000       0.503993       0.001641
       1.780000       0.510374       0.001413
       1.788000       0.509958       0.001413
       1.796000       0.512485       0.001153
       1.805000       0.512628       0.000755
       1.815000       0.516056       0.001165
       1.825000       0.518002       0.001160
       1.835000       0.518658       0.001097
       1.845000       0.522558       0.001093
       1.855000       0.526164       0.001224
       1.865000       0.527878       0.001068
       1.875000       0.529276       0.001191
       1.885000       0.530903       0.000969
       1.895000       0.528302       0.001144
       1.905000       0.527331       0.001338
       1.915000       0.524272       0.001574
       1.925000       0.528110       0.001372
       1.935000       0.529556       0.001455
       1.945000       0.533444       0.001260
       1.955000       0.534349       0.001470
       1.965000       0.536633       0.001633
       1.975000       0.542139       0.001655
       1.985000       0.543876       0.001485
       1.995000       0.548586       0.001460
       2.005000       0.551248       0.001351
       2.015000       0.553290       0.001642
       2.025000       0.555603       0.001168
       2.035000       0.563049       0.001624
       2.045000       0.560457       0.000976
       2.055000       0.562169       0.001568
       2.065000       0.565843       0.001367
       2.075000       0.566554       0.001022
       2.085000       0.566735       0.001291
       2.095000       0.568734       0.001621
       2.105000       0.568999       0.001642
       2.115000       0.571224       0.001642
       2.125000       0.571232       0.001600
       2.135000       0.572626       0.001502
       2.145000       0.573438       0.001640
       2.155000       0.568374       0.001069
       2.165000       0.569222       0.001543
       2.175000       0.569589       0.001627
       2.185000       0.569684       0.001513
       2.195000       0.570779       0.001631
       2.205000       0.571703       0.001669
       2.215000       0.567736       0.001668
       2.225000       0.570166       0.001672
       2.235000       0.567193       0.001677
       2.245000       0.568444       0.001672
       2.255000       0.567430       0.001675
       2.265000       0.568990       0.001680
       2.275000       0.560140       0.001861
       2.285000       0.556453       0.002462
       2.295000       0.552193       0.003267
       2.305000       0.551920       0.002931
       2.315000       0.544334       0.002023
       2.325000       0.553734       0.001665
       2.335000       0.565718       0.001608
